,HON US Equity,HON US Equity,HON US Equity,HON US Equity,HON US Equity
2019-04-30,155.3134,156.2111,154.8376,155.8699,3651686.0
2019-05-01,155.9866,156.5073,153.3563,153.4551,3762255.0
2019-05-02,152.9793,153.9937,152.2162,153.8501,4421720.0
2019-05-03,154.0296,155.8789,153.8635,155.7891,4128754.0
2019-05-04,154.0296,155.8789,153.8635,155.7891,4128754.0
2019-05-05,154.0296,155.8789,153.8635,155.7891,4128754.0
2019-05-06,153.0511,155.7487,152.8446,154.9543,3002038.0
2019-05-07,153.2307,154.2002,151.6013,152.4766,4683910.0
2019-05-08,152.3868,153.9039,152.1624,152.9344,2899684.0
2019-05-09,151.911,153.0601,150.9774,152.9613,2959786.0
2019-05-10,152.3958,154.4964,150.8338,154.0745,2342267.0
2019-05-11,152.3958,154.4964,150.8338,154.0745,2342267.0
2019-05-12,152.3958,154.4964,150.8338,154.0745,2342267.0
2019-05-13,151.2467,151.6238,148.401,149.7565,3705165.0
2019-05-14,149.8553,151.9649,149.7386,150.9594,2620656.0
2019-05-15,149.9181,152.6134,149.4971,152.0547,1869389.0
2019-05-16,152.4856,154.4515,152.4093,153.3204,3032822.0
2019-05-17,151.9559,153.6975,151.5789,152.5664,2095370.0
2019-05-18,151.9559,153.6975,151.5789,152.5664,2095370.0
2019-05-19,151.9559,153.6975,151.5789,152.5664,2095370.0
2019-05-20,152.0636,152.5753,150.8248,151.3724,2061740.0
2019-05-21,152.4766,153.1229,151.7674,152.2522,2536433.0
2019-05-22,152.1354,153.0466,151.7135,151.9918,2251462.0
2019-05-23,150.6116,150.9003,149.1412,150.1425,2716316.0
2019-05-24,151.3242,151.4235,150.2327,150.359,2035506.0
2019-05-25,151.3242,151.4235,150.2327,150.359,2035506.0
2019-05-26,151.3242,151.4235,150.2327,150.359,2035506.0
2019-05-27,151.3242,151.4235,150.2327,150.359,2035506.0
2019-05-28,150.5214,151.207,148.7894,149.0781,3877408.0
2019-05-29,147.6889,148.9608,146.7507,148.2752,2527944.0
2019-05-30,148.5368,149.5111,148.4737,149.2495,1951760.0
2019-05-31,147.7069,149.042,147.6212,148.2211,1895549.0
2019-06-01,147.7069,149.042,147.6212,148.2211,1895549.0
2019-06-02,147.7069,149.042,147.6212,148.2211,1895549.0
2019-06-03,148.3744,150.6206,148.2301,150.1696,2384786.0
2019-06-04,151.5949,152.2714,150.5936,151.6851,2700203.0
2019-06-05,152.6052,153.0653,151.7482,152.8217,2707507.0
2019-06-06,152.8758,153.9673,152.3797,153.5885,2229228.0
2019-06-07,154.3101,156.2767,154.1929,155.3926,2028005.0
2019-06-08,154.3101,156.2767,154.1929,155.3926,2028005.0
2019-06-09,154.3101,156.2767,154.1929,155.3926,2028005.0
2019-06-10,156.5027,156.9352,154.4364,154.5086,3015768.0
2019-06-11,155.6001,156.43,153.7057,154.8424,1726691.0
2019-06-12,155.0318,156.2135,154.6529,155.97,1570768.0
2019-06-13,156.5744,156.5924,155.4558,156.2316,1400703.0
2019-06-14,156.0061,156.5202,154.3473,155.8888,1627587.0
2019-06-15,156.0061,156.5202,154.3473,155.8888,1627587.0
2019-06-16,156.0061,156.5202,154.3473,155.8888,1627587.0
2019-06-17,156.403,156.5112,155.1761,155.4828,1646464.0
2019-06-18,156.5653,159.1543,156.1865,158.5409,2883709.0
2019-06-19,158.4417,158.9017,157.1878,158.2342,2187377.0
2019-06-20,159.1453,159.9933,157.9816,159.028,4234383.0
2019-06-21,159.5603,159.5693,156.5653,157.2419,3813763.0
2019-06-22,159.5603,159.5693,156.5653,157.2419,3813763.0
2019-06-23,159.5603,159.5693,156.5653,157.2419,3813763.0
2019-06-24,157.2239,158.3244,157.1517,157.5125,1795632.0
2019-06-25,157.8824,158.2342,156.6285,156.9081,1843769.0
2019-06-26,157.4584,157.6749,156.5473,156.5924,1815762.0
2019-06-27,157.0344,157.5215,156.2462,156.8179,1811606.0
2019-06-28,157.1337,158.2071,156.9623,157.4945,3551260.0
2019-06-29,157.1337,158.2071,156.9623,157.4945,3551260.0
2019-06-30,157.1337,158.2071,156.9623,157.4945,3551260.0
2019-07-01,159.3347,159.6595,158.4597,159.4971,1614492.0
2019-07-02,159.6595,160.1015,158.9017,159.3257,1407031.0
2019-07-03,159.461,160.9946,158.9559,160.9314,1239991.0
2019-07-04,159.461,160.9946,158.9559,160.9314,1239991.0
2019-07-05,159.8579,160.0745,157.5667,159.2987,1208857.0
2019-07-06,159.8579,160.0745,157.5667,159.2987,1208857.0
2019-07-07,159.8579,160.0745,157.5667,159.2987,1208857.0
2019-07-08,159.037,159.0461,157.6839,158.4687,1573880.0
2019-07-09,157.8643,158.5499,157.4945,158.3334,1595943.0
2019-07-10,158.8747,159.6144,157.296,157.3772,1865615.0
2019-07-11,157.711,157.8914,156.2782,157.4494,2426431.0
2019-07-12,157.6388,159.8399,157.6388,159.7948,2197269.0
2019-07-13,157.6388,159.8399,157.6388,159.7948,2197269.0
2019-07-14,157.6388,159.8399,157.6388,159.7948,2197269.0
2019-07-15,159.9933,159.9933,157.4404,157.8734,1668036.0
2019-07-16,157.8643,158.6672,157.2329,157.6659,1988957.0
2019-07-17,157.4764,157.5486,152.0188,152.1091,5475537.0
2019-07-18,153.8952,156.854,153.0788,156.854,4128122.0
2019-07-19,156.9983,157.8643,155.988,156.0512,3038060.0
2019-07-20,156.9983,157.8643,155.988,156.0512,3038060.0
2019-07-21,156.9983,157.8643,155.988,156.0512,3038060.0
2019-07-22,156.0782,157.4043,155.546,156.5834,1764201.0
2019-07-23,158.0538,158.3957,156.4842,157.738,2081259.0
2019-07-24,157.1878,158.144,156.783,156.9262,1751356.0
2019-07-25,157.4584,157.5576,156.0692,156.7548,1759220.0
2019-07-26,156.5293,156.7187,155.7535,156.6104,1759020.0
2019-07-27,156.5293,156.7187,155.7535,156.6104,1759020.0
2019-07-28,156.5293,156.7187,155.7535,156.6104,1759020.0
2019-07-29,156.836,157.738,156.403,157.4404,1519766.0
2019-07-30,157.1607,157.8192,156.3669,156.8811,1433511.0
2019-07-31,156.4932,156.9442,153.5073,155.5731,2896926.0
2019-08-01,155.0589,156.7909,152.6734,152.948,2751843.0
2019-08-02,152.3526,152.497,150.3229,151.5588,2154660.0
2019-08-03,152.3526,152.497,150.3229,151.5588,2154660.0
2019-08-04,152.3526,152.497,150.3229,151.5588,2154660.0
2019-08-05,149.0059,149.7366,145.1362,146.1463,3295414.0
2019-08-06,147.3731,149.3216,147.2378,148.4105,3604812.0
2019-08-07,147.0033,147.7971,145.3028,147.3912,3079246.0
2019-08-08,148.4737,151.0446,148.1219,150.6567,2428762.0
2019-08-09,150.5485,151.2521,149.069,150.35,1802123.0
2019-08-10,150.5485,151.2521,149.069,150.35,1802123.0
2019-08-11,150.5485,151.2521,149.069,150.35,1802123.0
2019-08-12,149.2224,150.5308,148.3203,148.5639,1444113.0
2019-08-13,148.7623,153.381,148.3925,151.5317,3232463.0
2019-08-14,149.7727,150.4582,147.9234,147.9775,2457343.0
2019-08-15,148.0682,148.585,146.0555,147.1163,2220423.0
2019-08-16,148.5125,150.099,147.9776,149.6185,1748198.0
2019-08-17,148.5125,150.099,147.9776,149.6185,1748198.0
2019-08-18,148.5125,150.099,147.9776,149.6185,1748198.0
2019-08-19,151.5949,151.7037,150.0446,150.371,1647185.0
2019-08-20,150.1444,150.362,148.1317,148.2042,1726226.0
2019-08-21,149.5913,149.5913,147.5786,148.4943,1732207.0
2019-08-22,149.3012,149.5007,146.4907,147.6874,1940022.0
2019-08-23,146.4,147.1253,140.9694,141.876,4343003.0
2019-08-24,146.4,147.1253,140.9694,141.876,4343003.0
2019-08-25,146.4,147.1253,140.9694,141.876,4343003.0
2019-08-26,143.1272,143.2722,140.4436,142.2568,3094037.0
2019-08-27,143.3448,143.4264,141.6494,142.7736,2530262.0
2019-08-28,142.4925,145.0583,141.8488,144.6503,2363438.0
2019-08-29,146.4,148.6847,145.9105,148.3221,3919314.0
2019-08-30,149.5913,150.1716,148.7754,149.2468,3156602.0
2019-08-31,149.5913,150.1716,148.7754,149.2468,3156602.0
2019-09-01,149.5913,150.1716,148.7754,149.2468,3156602.0
2019-09-02,149.5913,150.1716,148.7754,149.2468,3156602.0
2019-09-03,148.2405,149.1018,147.4608,148.2586,2799483.0
2019-09-04,149.7545,152.0664,149.7545,151.5315,3974670.0
2019-09-05,152.8642,154.9947,152.7735,154.4598,4511561.0
2019-09-06,154.9857,155.7472,154.5958,155.1761,3327798.0
2019-09-07,154.9857,155.7472,154.5958,155.1761,3327798.0
2019-09-08,154.9857,155.7472,154.5958,155.1761,3327798.0
2019-09-09,155.8379,156.5995,153.2722,153.8162,4991815.0
2019-09-10,152.8823,153.798,151.3139,153.7708,4221597.0
2019-09-11,153.934,155.3574,153.3991,155.2849,4047464.0
2019-09-12,155.5115,155.9376,152.6738,152.8823,2777459.0
2019-09-13,153.1543,153.381,151.8397,152.0483,2739557.0
2019-09-14,153.1543,153.381,151.8397,152.0483,2739557.0
2019-09-15,153.1543,153.381,151.8397,152.0483,2739557.0
2019-09-16,151.4408,151.7763,150.2804,150.6883,2427721.0
2019-09-17,150.9422,151.2142,149.827,150.915,2293128.0
2019-09-18,150.3982,152.3021,150.0537,152.284,1844065.0
2019-09-19,152.3837,153.0002,150.9784,151.196,1953051.0
2019-09-20,151.9485,152.9549,151.1235,152.5922,5079513.0
2019-09-21,151.9485,152.9549,151.1235,152.5922,5079513.0
2019-09-22,151.9485,152.9549,151.1235,152.5922,5079513.0
2019-09-23,151.1688,152.1389,150.6883,151.5315,2650396.0
2019-09-24,152.1208,152.7191,149.5279,150.2804,2649744.0
2019-09-25,150.4345,151.6584,149.827,151.3411,1663593.0
2019-09-26,151.2867,152.3112,150.9241,151.4318,1998255.0
2019-09-27,152.1842,152.7463,150.7787,152.3474,2514777.0
2019-09-28,152.1842,152.7463,150.7787,152.3474,2514777.0
2019-09-29,152.1842,152.7463,150.7787,152.3474,2514777.0
2019-09-30,153.0637,153.7028,152.3633,153.3991,2089426.0
2019-10-01,153.7164,154.2679,148.7028,148.857,2815172.0
2019-10-02,146.9984,147.624,144.5506,146.0374,4563415.0
2019-10-03,145.6113,146.4454,144.0066,146.4363,3111091.0
2019-10-04,146.8715,148.4762,146.7174,148.3493,2761489.0
2019-10-05,146.8715,148.4762,146.7174,148.3493,2761489.0
2019-10-06,146.8715,148.4762,146.7174,148.3493,2761489.0
2019-10-07,148.032,149.2015,147.3611,147.9413,2250229.0
2019-10-08,146.255,146.3003,143.7799,143.8071,3438415.0
2019-10-09,145.6294,145.6657,143.925,144.9132,1698483.0
2019-10-10,144.9313,147.0981,144.9205,145.9377,1813542.0
2019-10-11,147.7872,149.9086,147.5424,148.2586,2271293.0
2019-10-12,147.7872,149.9086,147.5424,148.2586,2271293.0
2019-10-13,147.7872,149.9086,147.5424,148.2586,2271293.0
2019-10-14,148.3402,148.8822,147.3339,147.76,1142819.0
2019-10-15,148.2495,149.4281,147.8869,148.3583,2817642.0
2019-10-16,148.3311,148.993,147.488,148.3493,3462805.0
2019-10-17,150.7699,153.2087,150.1262,151.876,3593919.0
2019-10-18,151.5405,151.8307,147.2613,150.1081,4421898.0
2019-10-19,151.5405,151.8307,147.2613,150.1081,4421898.0
2019-10-20,151.5405,151.8307,147.2613,150.1081,4421898.0
2019-10-21,151.3774,153.4354,151.0181,153.1634,2700646.0
2019-10-22,152.9458,154.2241,152.2114,153.1634,3354927.0
2019-10-23,154.07,154.1244,153.2133,153.9884,2443587.0
2019-10-24,154.0881,155.6838,153.1815,155.4481,2288673.0
2019-10-25,155.2486,156.0283,154.7137,155.6022,1950184.0
2019-10-26,155.2486,156.0283,154.7137,155.6022,1950184.0
2019-10-27,155.2486,156.0283,154.7137,155.6022,1950184.0
2019-10-28,155.9104,157.497,155.9104,156.5541,2367178.0
2019-10-29,156.0283,157.1253,155.6112,156.9893,2714045.0
2019-10-30,157.0618,158.6575,156.8896,158.2948,1956378.0
2019-10-31,157.905,158.2948,155.6022,156.5995,2143246.0
2019-11-01,158.0138,159.8225,157.6874,159.6729,2835247.0
2019-11-02,158.0138,159.8225,157.6874,159.6729,2835247.0
2019-11-03,158.0138,159.8225,157.6874,159.6729,2835247.0
2019-11-04,160.1081,163.1905,160.1081,163.1905,4383265.0
2019-11-05,162.982,164.8496,162.4924,163.807,5156230.0
2019-11-06,163.807,164.079,162.9367,163.9249,2742409.0
2019-11-07,164.8224,164.9947,162.6284,162.8823,2548911.0
2019-11-08,162.8823,164.3057,162.7826,164.2875,1636957.0
2019-11-09,162.8823,164.3057,162.7826,164.2875,1636957.0
2019-11-10,162.8823,164.3057,162.7826,164.2875,1636957.0
2019-11-11,163.8161,164.4961,163.0002,163.943,1594573.0
2019-11-12,164.2513,166.0146,164.1878,165.0128,1816952.0
2019-11-13,163.9068,165.7158,163.6484,164.9584,1859264.0
2019-11-14,164.6121,165.2536,163.1908,163.6828,2208536.0
2019-11-15,164.8308,165.7784,164.603,165.5962,3242951.0
2019-11-16,164.8308,165.7784,164.603,165.5962,3242951.0
2019-11-17,164.8308,165.7784,164.603,165.5962,3242951.0
2019-11-18,165.3137,165.3137,163.4368,163.8195,2405887.0
2019-11-19,164.4527,164.6395,163.0997,164.111,2673238.0
2019-11-20,164.849,165.546,160.8492,161.4688,4190901.0
2019-11-21,161.2046,161.897,159.8105,160.8401,3135128.0
2019-11-22,161.159,161.7421,160.0474,161.077,1852180.0
2019-11-23,161.159,161.7421,160.0474,161.077,1852180.0
2019-11-24,161.159,161.7421,160.0474,161.077,1852180.0
2019-11-25,162.0519,162.1339,160.3299,160.8219,2657600.0
2019-11-26,161.7239,163.7192,161.323,162.6532,4579316.0
2019-11-27,162.717,163.6828,162.2933,163.4732,1044751.0
2019-11-28,162.717,163.6828,162.2933,163.4732,1044751.0
2019-11-29,162.8901,163.2455,161.8879,162.6806,1633110.0
2019-11-30,162.8901,163.2455,161.8879,162.6806,1633110.0
2019-12-01,162.8901,163.2455,161.8879,162.6806,1633110.0
2019-12-02,162.6806,162.8628,158.8083,158.8265,3054339.0
2019-12-03,157.2412,157.9063,156.0385,157.2138,3969074.0
2019-12-04,158.5076,160.3481,157.7605,157.8152,2933362.0
2019-12-05,158.2343,158.8083,157.2849,158.5441,2342080.0
2019-12-06,159.3641,160.5668,159.2092,159.8652,2118004.0
2019-12-07,159.3641,160.5668,159.2092,159.8652,2118004.0
2019-12-08,159.3641,160.5668,159.2092,159.8652,2118004.0
2019-12-09,159.6101,160.1366,158.7627,158.9814,1614017.0
2019-12-10,158.9814,159.2639,158.2243,158.5714,2027786.0
2019-12-11,159.0725,160.5303,158.7081,160.3663,2174131.0
2019-12-12,160.667,162.3207,159.6283,161.6237,2277640.0
2019-12-13,161.6237,162.8992,161.1134,161.2501,2050206.0
2019-12-14,161.6237,162.8992,161.1134,161.2501,2050206.0
2019-12-15,161.6237,162.8992,161.1134,161.2501,2050206.0
2019-12-16,161.5143,162.1749,160.4848,160.7217,3207692.0
2019-12-17,160.585,161.487,160.1841,160.995,3039797.0
2019-12-18,160.8674,161.2957,158.9085,159.1181,3614707.0
2019-12-19,159.4552,160.9221,158.9814,160.8128,2680623.0
2019-12-20,161.405,161.897,160.4939,160.7308,4351970.0
2019-12-21,161.405,161.897,160.4939,160.7308,4351970.0
2019-12-22,161.405,161.897,160.4939,160.7308,4351970.0
2019-12-23,161.6146,161.6146,160.1841,160.749,2577740.0
2019-12-24,160.7581,161.1317,160.1112,160.6397,625477.0
2019-12-25,160.7581,161.1317,160.1112,160.6397,625477.0
2019-12-26,160.8674,161.1772,160.1021,161.159,1270050.0
2019-12-27,161.3412,161.487,160.6214,160.7945,1303946.0
2019-12-28,161.3412,161.487,160.6214,160.7945,1303946.0
2019-12-29,161.3412,161.487,160.6214,160.7945,1303946.0
2019-12-30,160.8674,161.2683,160.1385,160.7399,1670057.0
2019-12-31,160.7763,161.3412,159.8652,161.2683,1728875.0
2020-01-01,160.7763,161.3412,159.8652,161.2683,1728875.0
2020-01-02,161.7239,164.7306,161.3959,164.7215,2857534.0
2020-01-03,162.4892,163.8468,161.6419,162.963,2805282.0
2020-01-04,162.4892,163.8468,161.6419,162.963,2805282.0
2020-01-05,162.4892,163.8468,161.6419,162.963,2805282.0
2020-01-06,162.0337,162.5257,161.2046,161.733,3278035.0
2020-01-07,161.6054,162.2432,159.9837,161.8241,3003313.0
2020-01-08,161.8788,163.1817,161.0223,161.9608,2545596.0
2020-01-09,162.8172,163.4778,162.2341,163.1544,1789478.0
2020-01-10,163.9106,163.9106,162.307,162.799,1671686.0
2020-01-11,163.9106,163.9106,162.307,162.799,1671686.0
2020-01-12,163.9106,163.9106,162.307,162.799,1671686.0
2020-01-13,163.3184,165.2226,162.8081,165.1588,2261879.0
2020-01-14,164.4481,165.1087,163.5552,164.4117,2191156.0
2020-01-15,165.177,166.2248,163.865,164.6668,2600804.0
2020-01-16,165.3684,166.2704,164.7215,166.0608,2215388.0
2020-01-17,166.6075,167.7008,166.3068,166.9446,2608185.0
2020-01-18,166.6075,167.7008,166.3068,166.9446,2608185.0
2020-01-19,166.6075,167.7008,166.3068,166.9446,2608185.0
2020-01-20,166.6075,167.7008,166.3068,166.9446,2608185.0
2020-01-21,166.7715,167.0083,164.4299,164.849,2188596.0
2020-01-22,165.423,165.7141,163.8286,164.0472,1881658.0
2020-01-23,163.8286,164.4937,163.1179,163.619,2434051.0
2020-01-24,163.9288,164.2403,160.8037,161.3868,2736973.0
2020-01-25,163.9288,164.2403,160.8037,161.3868,2736973.0
2020-01-26,163.9288,164.2403,160.8037,161.3868,2736973.0
2020-01-27,158.781,159.7559,158.0521,158.1159,2491530.0
2020-01-28,158.6443,161.0406,157.8425,159.8652,2178600.0
2020-01-29,161.2683,161.9426,160.0201,160.0565,2199419.0
2020-01-30,158.3527,162.881,158.3527,162.4892,3076114.0
2020-01-31,162.0975,162.0975,156.1072,157.8243,5500076.0
2020-02-01,162.0975,162.0975,156.1072,157.8243,5500076.0
2020-02-02,162.0975,162.0975,156.1072,157.8243,5500076.0
2020-02-03,158.9541,160.011,155.5009,156.0932,3542932.0
2020-02-04,158.6079,160.4119,158.535,159.6374,2992496.0
2020-02-05,161.1863,161.8423,159.8105,161.1772,2818117.0
2020-02-06,162.1795,162.1795,160.503,160.6761,2427522.0
2020-02-07,160.2205,161.0087,159.1728,159.7012,3254641.0
2020-02-08,160.2205,161.0087,159.1728,159.7012,3254641.0
2020-02-09,160.2205,161.0087,159.1728,159.7012,3254641.0
2020-02-10,159.3732,161.3777,158.6352,161.2228,2399768.0
2020-02-11,162.4072,163.947,161.4506,163.2272,2948548.0
2020-02-12,163.5279,165.4959,163.1361,165.0768,2950847.0
2020-02-13,164.3024,164.8707,162.8081,164.111,1985746.0
2020-02-14,164.4664,165.6964,163.9789,164.7397,2489020.0
2020-02-15,164.4664,165.6964,163.9789,164.7397,2489020.0
2020-02-16,164.4664,165.6964,163.9789,164.7397,2489020.0
2020-02-17,164.4664,165.6964,163.9789,164.7397,2489020.0
2020-02-18,164.0928,164.4476,163.045,163.4732,1818587.0
2020-02-19,163.8468,165.5278,163.5461,164.7853,2464654.0
2020-02-20,164.849,166.0153,163.0997,164.6395,2337143.0
2020-02-21,163.6464,164.9037,162.8664,163.8924,1940507.0
2020-02-22,163.6464,164.9037,162.8664,163.8924,1940507.0
2020-02-23,163.6464,164.9037,162.8664,163.8924,1940507.0
2020-02-24,158.9359,161.6054,158.043,159.6921,3204282.0
2020-02-25,160.0292,160.8583,152.0022,152.886,4092333.0
2020-02-26,153.6058,156.7855,151.9476,152.3211,3412306.0
2020-02-27,149.3256,152.8249,146.1286,146.156,3951276.0
2020-02-28,140.8429,148.5561,137.9757,148.5561,9558366.0
2020-02-29,140.8429,148.5561,137.9757,148.5561,9558366.0
2020-03-01,140.8429,148.5561,137.9757,148.5561,9558366.0
