,CW US Equity,CW US Equity,CW US Equity,CW US Equity,CW US Equity
2020-03-23,75.6844,76.8427,72.1753,74.7949,333573.0
2020-03-24,79.8581,84.3642,78.9491,82.5364,322934.0
2020-03-25,83.4178,90.4795,79.1377,86.6695,297443.0
2020-03-26,88.3444,96.9682,87.9428,96.3659,354960.0
2020-03-27,96.2385,96.2385,90.7537,91.8017,410886.0
2020-03-28,96.2385,96.2385,90.7537,91.8017,410886.0
2020-03-29,96.2385,96.2385,90.7537,91.8017,410886.0
2020-03-30,91.361,92.2325,87.7371,89.5491,380868.0
2020-03-31,88.9026,92.8105,88.1646,90.5089,735579.0
2020-04-01,86.4149,88.3248,83.4276,84.8576,241212.0
2020-04-02,83.9271,87.9575,82.4286,84.7499,395407.0
2020-04-03,84.0838,85.6118,81.0182,81.9389,293840.0
2020-04-04,84.0838,85.6118,81.0182,81.9389,293840.0
2020-04-05,84.0838,85.6118,81.0182,81.9389,293840.0
2020-04-06,86.2092,90.3718,85.504,89.6078,438819.0
2020-04-07,94.2895,97.3012,92.0172,92.1249,300223.0
2020-04-08,94.1034,97.0515,92.2523,95.6999,214423.0
2020-04-09,98.1484,100.7047,96.3169,98.9516,313951.0
2020-04-10,98.1484,100.7047,96.3169,98.9516,313951.0
2020-04-11,98.1484,100.7047,96.3169,98.9516,313951.0
2020-04-12,98.1484,100.7047,96.3169,98.9516,313951.0
2020-04-13,98.2562,98.9124,94.5833,95.406,173306.0
2020-04-14,96.7283,98.452,94.5181,95.3864,373430.0
2020-04-15,92.3796,93.3786,91.0917,92.3894,199587.0
2020-04-16,92.3992,92.3992,87.982,88.9712,202026.0
2020-04-17,93.5353,95.7488,92.6587,95.4942,135068.0
2020-04-18,93.5353,95.7488,92.6587,95.4942,135068.0
2020-04-19,93.5353,95.7488,92.6587,95.4942,135068.0
2020-04-20,93.3296,95.2787,92.4881,93.0848,238739.0
2020-04-21,90.0584,91.8409,88.0162,89.1475,125112.0
2020-04-22,91.5667,92.3894,89.8608,91.1455,127617.0
2020-04-23,92.3502,93.9075,91.1357,91.2924,122024.0
2020-04-24,92.8105,92.9183,90.2836,92.5363,167346.0
2020-04-25,92.8105,92.9183,90.2836,92.5363,167346.0
2020-04-26,92.8105,92.9183,90.2836,92.5363,167346.0
2020-04-27,93.075,96.4736,93.075,96.2483,167796.0
2020-04-28,98.1386,100.9202,97.1592,99.5392,278741.0
2020-04-29,102.595,104.6812,101.1808,104.0152,247325.0
2020-04-30,101.7233,102.9574,99.5882,101.5177,481119.0
2020-05-01,99.0593,99.0593,94.8086,97.0711,280363.0
2020-05-02,99.0593,99.0593,94.8086,97.0711,280363.0
2020-05-03,99.0593,99.0593,94.8086,97.0711,280363.0
2020-05-04,95.1024,96.4344,93.7067,94.6617,195378.0
2020-05-05,96.454,97.8644,94.9947,95.2689,205731.0
2020-05-06,95.7488,96.3169,92.8203,92.8203,174861.0
2020-05-07,91.1945,94.1426,88.3737,89.2454,414758.0
2020-05-08,90.3228,96.4148,90.3228,96.072,361228.0
2020-05-09,90.3228,96.4148,90.3228,96.072,361228.0
2020-05-10,90.3228,96.4148,90.3228,96.072,361228.0
2020-05-11,94.456,94.9751,92.977,92.977,381143.0
2020-05-12,92.977,93.3101,87.3258,87.4237,260693.0
2020-05-13,86.6989,86.6989,83.4227,84.3287,292687.0
2020-05-14,82.2817,85.1465,80.0388,84.0447,240714.0
2020-05-15,82.9379,85.4355,82.8106,84.2112,580637.0
2020-05-16,82.9379,85.4355,82.8106,84.2112,580637.0
2020-05-17,82.9379,85.4355,82.8106,84.2112,580637.0
2020-05-18,88.5892,93.3198,88.5892,92.6342,262515.0
2020-05-19,92.8497,93.5941,90.1857,90.2444,205602.0
2020-05-20,91.978,92.7053,89.8821,90.0681,321197.0
2020-05-21,90.2053,91.8115,89.7058,91.3806,340291.0
2020-05-22,92.1935,92.1935,89.9604,90.6656,105320.0
2020-05-23,92.1935,92.1935,89.9604,90.6656,105320.0
2020-05-24,92.1935,92.1935,89.9604,90.6656,105320.0
2020-05-25,92.1935,92.1935,89.9604,90.6656,105320.0
2020-05-26,94.9947,97.3384,93.692,96.1406,222411.0
2020-05-27,99.3139,103.1337,97.7322,103.1239,251964.0
2020-05-28,105.2003,105.2003,99.8428,99.9408,261090.0
2020-05-29,98.2268,99.2356,96.694,98.2366,347333.0
2020-05-30,98.2268,99.2356,96.694,98.2366,347333.0
2020-05-31,98.2268,99.2356,96.694,98.2366,347333.0
2020-06-01,98.9809,100.7733,98.1876,98.7165,265448.0
2020-06-02,99.8232,101.1944,98.4423,98.7067,187459.0
2020-06-03,100.6753,104.4677,100.6753,103.5842,251396.0
2020-06-04,103.3982,104.9359,102.3208,104.1425,221078.0
2020-06-05,110.1954,112.7125,108.2463,109.5881,337849.0
2020-06-06,110.1954,112.7125,108.2463,109.5881,337849.0
2020-06-07,110.1954,112.7125,108.2463,109.5881,337849.0
2020-06-08,112.9965,113.6919,111.4197,113.5548,470576.0
2020-06-09,110.6557,110.7537,107.316,107.7272,312776.0
2020-06-10,107.1983,107.1983,99.882,99.9016,395884.0
2020-06-11,94.3091,95.7089,90.4599,90.5383,308001.0
2020-06-12,95.1318,96.1161,91.6156,94.4364,449383.0
2020-06-13,95.1318,96.1161,91.6156,94.4364,449383.0
2020-06-14,95.1318,96.1161,91.6156,94.4364,449383.0
2020-06-15,90.6362,95.0632,90.2738,93.9173,223018.0
2020-06-16,98.7067,99.6861,94.4756,95.0534,265820.0
2020-06-17,94.9065,95.1122,91.5863,91.8605,346451.0
2020-06-18,90.3593,93.5482,89.9128,90.2023,286727.0
2020-06-19,91.2424,91.4386,86.8466,87.1409,642462.0
2020-06-20,91.2424,91.4386,86.8466,87.1409,642462.0
2020-06-21,91.2424,91.4386,86.8466,87.1409,642462.0
2020-06-22,86.2775,88.181,84.894,87.9455,336454.0
2020-06-23,88.9562,88.9562,85.9733,87.2881,388817.0
2020-06-24,85.9242,85.9242,81.3813,81.4205,358737.0
2020-06-25,81.2635,82.9806,80.4884,82.7648,624096.0
2020-06-26,82.4115,83.3044,81.1948,82.7844,773427.0
2020-06-27,82.4115,83.3044,81.1948,82.7844,773427.0
2020-06-28,82.4115,83.3044,81.1948,82.7844,773427.0
2020-06-29,84.5604,88.3184,83.6871,88.2595,320792.0
2020-06-30,87.2881,88.6814,86.8171,87.6021,364694.0
2020-07-01,87.9553,88.9758,85.3355,85.5121,218075.0
2020-07-02,87.5727,88.8188,85.7574,86.2677,190423.0
2020-07-03,87.5727,88.8188,85.7574,86.2677,190423.0
2020-07-04,87.5727,88.8188,85.7574,86.2677,190423.0
2020-07-05,87.5727,88.8188,85.7574,86.2677,190423.0
2020-07-06,88.5146,88.5637,85.7673,87.19,267263.0
2020-07-07,86.042,87.7738,84.6291,84.6977,516455.0
2020-07-08,84.4524,86.356,84.3837,85.4827,348278.0
2020-07-09,85.3355,85.3355,81.9307,82.333,421801.0
2020-07-10,82.127,84.4622,82.127,84.0403,212101.0
2020-07-11,82.127,84.4622,82.127,84.0403,212101.0
2020-07-12,82.127,84.4622,82.127,84.0403,212101.0
2020-07-13,85.1393,86.1597,83.0395,83.0984,274208.0
2020-07-14,82.7549,84.3347,81.7443,83.5693,361721.0
2020-07-15,86.2382,89.5056,85.9046,88.809,549740.0
2020-07-16,88.7796,91.3405,87.9553,90.1336,324999.0
2020-07-17,89.957,91.3601,89.6528,90.3887,198186.0
2020-07-18,89.957,91.3601,89.6528,90.3887,198186.0
2020-07-19,89.957,91.3601,89.6528,90.3887,198186.0
2020-07-20,89.6626,90.0453,87.0723,87.6512,276970.0
2020-07-21,88.652,90.7714,88.5735,89.3388,149362.0
2020-07-22,89.0445,90.7322,88.7697,89.6725,187360.0
2020-07-23,89.2702,91.0756,89.0052,90.2121,158725.0
2020-07-24,90.5457,90.7518,89.1328,89.5056,257013.0
2020-07-25,90.5457,90.7518,89.1328,89.5056,257013.0
2020-07-26,90.5457,90.7518,89.1328,89.5056,257013.0
2020-07-27,89.0837,89.6725,87.7493,88.3086,267490.0
2020-07-28,88.338,88.8777,88.0044,88.338,296700.0
2020-07-29,89.0837,89.7608,88.338,89.4173,154433.0
2020-07-30,88.289,89.2407,87.8474,88.2988,210279.0
2020-07-31,87.9259,88.0927,86.4148,87.4451,280390.0
2020-08-01,87.9259,88.0927,86.4148,87.4451,280390.0
2020-08-02,87.9259,88.0927,86.4148,87.4451,280390.0
2020-08-03,87.8082,90.7714,86.3462,89.9374,453907.0
2020-08-04,90.634,95.2653,89.8098,95.1868,605365.0
2020-08-05,96.168,98.0569,95.02,97.5319,483619.0
2020-08-06,96.9334,98.3071,96.9334,97.8165,414607.0
2020-08-07,97.8459,101.1526,97.1787,101.0937,378521.0
2020-08-08,97.8459,101.1526,97.1787,101.0937,378521.0
2020-08-09,97.8459,101.1526,97.1787,101.0937,378521.0
2020-08-10,101.339,105.4012,101.339,104.8713,380525.0
2020-08-11,107.2164,108.5509,105.9997,106.5786,517841.0
2020-08-12,107.8542,108.3546,105.6171,105.8231,316487.0
2020-08-13,104.9695,105.931,103.9294,104.9008,225120.0
2020-08-14,103.8116,107.4274,103.5761,106.1273,213606.0
2020-08-15,103.8116,107.4274,103.5761,106.1273,213606.0
2020-08-16,103.8116,107.4274,103.5761,106.1273,213606.0
2020-08-17,105.9507,105.9507,104.0766,104.1943,170837.0
2020-08-18,103.9392,104.6064,101.1133,101.2016,386130.0
2020-08-19,100.711,102.2515,100.2106,100.5344,263040.0
2020-08-20,99.2785,100.9661,99.0135,99.8868,235523.0
2020-08-21,99.1607,99.9751,98.3169,98.7584,185791.0
2020-08-22,99.1607,99.9751,98.3169,98.7584,185791.0
2020-08-23,99.1607,99.9751,98.3169,98.7584,185791.0
2020-08-24,99.6906,101.5941,99.0233,101.3782,253352.0
2020-08-25,102.1043,102.2074,99.8476,100.662,201731.0
2020-08-26,100.554,100.8386,98.7584,100.1812,195151.0
2020-08-27,100.8288,101.9306,100.1223,101.0054,210634.0
2020-08-28,101.3292,101.3292,100.0046,101.2213,120853.0
2020-08-29,101.3292,101.3292,100.0046,101.2213,120853.0
2020-08-30,101.3292,101.3292,100.0046,101.2213,120853.0
2020-08-31,100.819,101.3979,99.9064,100.397,252307.0
2020-09-01,99.5434,100.6423,98.5426,100.4461,332709.0
2020-09-02,100.554,103.0267,100.2302,102.5655,326903.0
2020-09-03,102.8108,103.9686,97.2768,98.052,204953.0
2020-09-04,99.9457,100.3284,97.267,97.9146,140759.0
2020-09-05,99.9457,100.3284,97.267,97.9146,140759.0
2020-09-06,99.9457,100.3284,97.267,97.9146,140759.0
2020-09-07,99.9457,100.3284,97.267,97.9146,140759.0
2020-09-08,97.1394,97.1394,94.5638,94.7159,283524.0
2020-09-09,94.7159,95.5695,92.9595,95.0495,254016.0
2020-09-10,95.6774,95.9816,91.3699,91.5564,245476.0
2020-09-11,92.0568,94.1762,91.9194,92.7142,466585.0
2020-09-12,92.0568,94.1762,91.9194,92.7142,466585.0
2020-09-13,92.0568,94.1762,91.9194,92.7142,466585.0
2020-09-14,93.5286,95.1181,93.2048,93.6954,371683.0
2020-09-15,94.0879,94.5687,91.5171,91.7134,271843.0
2020-09-16,91.89,95.2457,91.2031,93.9015,726099.0
2020-09-17,93.0478,97.7183,92.7633,97.11,532112.0
2020-09-18,97.5221,98.935,96.4428,96.8451,675143.0
2020-09-19,97.5221,98.935,96.4428,96.8451,675143.0
2020-09-20,97.5221,98.935,96.4428,96.8451,675143.0
2020-09-21,94.2056,95.8442,93.5384,94.4902,472321.0
2020-09-22,95.0495,96.742,94.7355,95.962,319035.0
2020-09-23,95.962,97.4338,91.1933,91.2718,348719.0
2020-09-24,91.0756,92.8565,89.4664,91.3111,213927.0
2020-09-25,91.1443,91.9587,90.6858,91.5662,220485.0
2020-09-26,91.1443,91.9587,90.6858,91.5662,220485.0
2020-09-27,91.1443,91.9587,90.6858,91.5662,220485.0
2020-09-28,93.3127,95.2261,93.0674,93.4108,162169.0
2020-09-29,93.4697,93.8131,91.939,92.3413,140954.0
2020-09-30,92.4396,93.9927,91.2207,91.6729,210278.0
2020-10-01,92.5379,94.2483,91.8596,92.3315,204749.0
2020-10-02,90.6211,94.435,90.6211,93.8551,193541.0
2020-10-03,90.6211,94.435,90.6211,93.8551,193541.0
2020-10-04,90.6211,94.435,90.6211,93.8551,193541.0
2020-10-05,95.1723,95.7719,92.5182,93.226,277663.0
2020-10-06,94.3662,95.3885,92.5576,92.7148,230267.0
2020-10-07,93.8846,94.8381,92.823,93.8453,231305.0
2020-10-08,94.4842,96.2437,94.1205,96.2437,191515.0
2020-10-09,97.7575,98.249,96.057,96.1651,207149.0
2020-10-10,97.7575,98.249,96.057,96.1651,207149.0
2020-10-11,97.7575,98.249,96.057,96.1651,207149.0
2020-10-12,96.1651,97.1186,95.7277,96.863,257992.0
2020-10-13,95.7916,96.6074,93.5307,93.629,238067.0
2020-10-14,93.5897,95.7522,93.5897,93.9534,153681.0
2020-10-15,92.4199,95.0347,92.2086,94.671,145004.0
2020-10-16,95.1723,96.1848,94.4842,95.2411,149670.0
2020-10-17,95.1723,96.1848,94.4842,95.2411,149670.0
2020-10-18,95.1723,96.1848,94.4842,95.2411,149670.0
2020-10-19,95.5262,96.1061,91.9874,92.1447,209769.0
2020-10-20,92.8623,95.6441,92.6952,92.7738,223057.0
2020-10-21,92.5281,93.3439,91.1421,91.1912,297281.0
2020-10-22,91.3485,93.1375,91.3485,92.2627,221469.0
2020-10-23,93.3636,93.8747,92.302,92.6853,136857.0
2020-10-24,93.3636,93.8747,92.302,92.6853,136857.0
2020-10-25,93.3636,93.8747,92.302,92.6853,136857.0
2020-10-26,91.4271,91.4271,88.5372,89.5201,226751.0
2020-10-27,89.1564,89.1564,86.0502,86.119,217617.0
2020-10-28,84.3988,85.4604,82.2068,82.3345,261477.0
2020-10-29,82.2559,86.6105,82.0003,82.7376,384590.0
2020-10-30,82.02,83.5829,81.6268,82.9243,463071.0
2020-10-31,82.02,83.5829,81.6268,82.9243,463071.0
2020-11-01,82.02,83.5829,81.6268,82.9243,463071.0
2020-11-02,84.5561,88.8812,83.986,88.3012,362451.0
2020-11-03,89.5791,91.4075,88.8026,90.7292,320981.0
2020-11-04,89.5791,92.9901,87.8483,91.4566,336985.0
2020-11-05,92.0366,95.4475,92.0366,94.5039,333693.0
2020-11-06,94.2286,94.9855,92.4887,94.209,280641.0
2020-11-07,94.2286,94.9855,92.4887,94.209,280641.0
2020-11-08,94.2286,94.9855,92.4887,94.209,280641.0
2020-11-09,103.8913,104.894,101.2422,103.046,456880.0
2020-11-10,103.6358,107.0664,103.1295,106.3291,364719.0
2020-11-11,105.8671,105.8671,102.1121,102.7216,278613.0
2020-11-12,100.9227,102.6724,100.6278,101.3159,332064.0
2020-11-13,102.5545,105.6312,102.0752,105.4051,151557.0
2020-11-14,102.5545,105.6312,102.0752,105.4051,151557.0
2020-11-15,102.5545,105.6312,102.0752,105.4051,151557.0
2020-11-16,108.1771,111.3423,106.8599,111.303,359674.0
2020-11-17,109.5435,112.9544,108.5703,112.7971,337253.0
2020-11-18,113.4557,115.9918,111.8584,113.672,393378.0
2020-11-19,112.9053,115.1268,111.6765,114.3797,396678.0
2020-11-20,113.7998,113.9964,109.5336,109.7499,482140.0
2020-11-21,113.7998,113.9964,109.5336,109.7499,482140.0
2020-11-22,113.7998,113.9964,109.5336,109.7499,482140.0
2020-11-23,111.0671,114.478,110.9885,114.1242,203550.0
2020-11-24,116.1619,120.2965,115.9896,120.1094,244701.0
2020-11-25,119.4302,119.4302,116.5163,118.6328,598921.0
2020-11-26,119.4302,119.4302,116.5163,118.6328,598921.0
2020-11-27,117.9339,119.0856,116.9593,118.5737,119999.0
2020-11-28,117.9339,119.0856,116.9593,118.5737,119999.0
2020-11-29,117.9339,119.0856,116.9593,118.5737,119999.0
2020-11-30,118.2193,118.8297,112.8444,113.4646,403694.0
2020-12-01,116.2308,116.9637,114.2521,114.3801,271143.0
2020-12-02,113.9568,116.3785,113.0068,116.0536,286691.0
2020-12-03,116.408,118.0717,116.3588,116.6541,171586.0
2020-12-04,118.6919,120.0001,117.7517,119.4597,176070.0
2020-12-05,118.6919,120.0001,117.7517,119.4597,176070.0
2020-12-06,118.6919,120.0001,117.7517,119.4597,176070.0
2020-12-07,118.6328,119.0364,116.0044,116.6541,183240.0
2020-12-08,116.0438,117.4023,115.5417,117.1168,201934.0
2020-12-09,117.3432,118.891,116.8411,117.2349,176121.0
2020-12-10,116.1914,117.7665,115.5811,116.0438,269246.0
2020-12-11,115.2168,116.1521,113.7008,114.0355,304867.0
2020-12-12,115.2168,116.1521,113.7008,114.0355,304867.0
2020-12-13,115.2168,116.1521,113.7008,114.0355,304867.0
2020-12-14,115.8961,116.0684,111.3087,111.3973,255537.0
2020-12-15,113.0413,114.2226,111.2595,114.1143,210124.0
2020-12-16,114.3112,114.4588,111.5154,112.3325,214418.0
2020-12-17,112.3719,113.0019,110.8066,111.2792,228081.0
2020-12-18,111.6532,113.1003,110.4424,110.9937,522576.0
2020-12-19,111.6532,113.1003,110.4424,110.9937,522576.0
2020-12-20,111.6532,113.1003,110.4424,110.9937,522576.0
2020-12-21,108.2964,109.645,106.5736,108.2767,366475.0
2020-12-22,108.8181,109.1134,107.5777,108.7098,187010.0
2020-12-23,109.7927,111.924,109.7927,111.4465,126553.0
2020-12-24,111.8206,111.8206,109.8419,111.5253,69224.0
2020-12-25,111.8206,111.8206,109.8419,111.5253,69224.0
2020-12-26,111.8206,111.8206,109.8419,111.5253,69224.0
2020-12-27,111.8206,111.8206,109.8419,111.5253,69224.0
2020-12-28,112.4506,114.1045,112.116,113.2775,178158.0
2020-12-29,114.262,114.2915,112.0077,112.3325,132374.0
2020-12-30,112.3226,115.2759,112.3226,114.449,94576.0
2020-12-31,114.0749,115.6205,112.8149,114.5376,184197.0
2021-01-01,114.0749,115.6205,112.8149,114.5376,184197.0
2021-01-02,114.0749,115.6205,112.8149,114.5376,184197.0
2021-01-03,114.0749,115.6205,112.8149,114.5376,184197.0
2021-01-04,114.7837,114.7837,109.015,109.586,213010.0
2021-01-05,109.8025,113.8387,109.8025,112.8345,178456.0
2021-01-06,114.3604,118.4851,114.3604,117.5598,226617.0
2021-01-07,116.0241,117.2054,114.5376,115.6598,320053.0
2021-01-08,115.4137,115.7091,113.2972,115.1676,205206.0
2021-01-09,115.4137,115.7091,113.2972,115.1676,205206.0
2021-01-10,115.4137,115.7091,113.2972,115.1676,205206.0
2021-01-11,113.4646,116.093,112.8936,115.7484,122728.0
2021-01-12,116.1028,117.7665,115.9059,116.6738,204112.0
2021-01-13,116.6246,116.8707,114.6065,115.8173,152910.0
2021-01-14,117.2448,118.18,115.2168,115.8173,215054.0
2021-01-15,114.4687,114.9855,113.1299,114.2029,247364.0
2021-01-16,114.4687,114.9855,113.1299,114.2029,247364.0
2021-01-17,114.4687,114.9855,113.1299,114.2029,247364.0
2021-01-18,114.4687,114.9855,113.1299,114.2029,247364.0
2021-01-19,115.1676,116.6295,114.8231,116.1816,202950.0
2021-01-20,117.0183,117.4711,115.5516,116.0438,120135.0
2021-01-21,115.65,116.0241,113.1496,113.5532,137987.0
2021-01-22,112.0864,112.9724,111.604,112.2537,125356.0
2021-01-23,112.0864,112.9724,111.604,112.2537,125356.0
2021-01-24,112.0864,112.9724,111.604,112.2537,125356.0
2021-01-25,111.4465,112.1848,109.202,110.3144,211537.0
2021-01-26,111.86,112.0667,106.7902,106.8788,189230.0
2021-01-27,104.7721,105.097,101.937,102.6753,303280.0
2021-01-28,104.2208,107.307,103.2561,106.2881,330256.0
2021-01-29,105.5203,106.1602,102.0453,102.1732,173699.0
2021-01-30,105.5203,106.1602,102.0453,102.1732,173699.0
2021-01-31,105.5203,106.1602,102.0453,102.1732,173699.0
2021-02-01,103.2955,106.4407,102.38,106.298,273874.0
2021-02-02,108.0207,110.1274,107.4202,108.6212,193981.0
2021-02-03,107.7451,110.6491,107.1593,110.3341,182858.0
2021-02-04,111.2398,112.1553,110.2258,111.9289,174684.0
2021-02-05,112.2242,112.8247,110.3243,110.9641,170054.0
2021-02-06,112.2242,112.8247,110.3243,110.9641,170054.0
2021-02-07,112.2242,112.8247,110.3243,110.9641,170054.0
2021-02-08,111.5253,112.3866,110.4719,111.8206,144668.0
2021-02-09,111.8107,111.9683,110.3243,111.3579,107457.0
2021-02-10,111.4662,112.1947,110.8559,111.8206,118960.0
2021-02-11,112.0076,114.2669,111.3481,113.8977,175825.0
2021-02-12,113.2283,114.2521,112.9379,113.7107,108491.0
2021-02-13,113.2283,114.2521,112.9379,113.7107,108491.0
2021-02-14,113.2283,114.2521,112.9379,113.7107,108491.0
2021-02-15,113.2283,114.2521,112.9379,113.7107,108491.0
2021-02-16,114.3407,114.9707,112.4605,113.4449,117622.0
2021-02-17,112.7558,114.134,112.2488,113.248,150352.0
2021-02-18,112.3226,112.7164,111.1709,111.7517,190727.0
2021-02-19,112.6672,115.7583,112.3817,115.3645,131745.0
2021-02-20,112.6672,115.7583,112.3817,115.3645,131745.0
2021-02-21,112.6672,115.7583,112.3817,115.3645,131745.0
2021-02-22,114.3899,117.9929,114.3899,116.28,301534.0
2021-02-23,115.965,116.1225,113.4941,115.7287,272114.0
2021-02-24,115.2267,117.9732,115.2267,117.8551,398859.0
2021-02-25,118.0028,118.0028,109.8025,110.6294,291618.0
2021-02-26,109.9207,110.8263,108.444,108.7689,302080.0
2021-02-27,109.9207,110.8263,108.444,108.7689,302080.0
2021-02-28,109.9207,110.8263,108.444,108.7689,302080.0
2021-03-01,111.161,114.1438,110.7919,113.0216,210073.0
2021-03-02,112.4014,112.5392,110.7082,111.6729,182091.0
2021-03-03,112.1455,114.134,111.1315,112.8149,388860.0
2021-03-04,112.9035,114.5671,110.4621,112.2636,327644.0
2021-03-05,114.2226,116.9396,113.3169,116.4868,289897.0
2021-03-06,114.2226,116.9396,113.3169,116.4868,289897.0
2021-03-07,114.2226,116.9396,113.3169,116.4868,289897.0
2021-03-08,117.1562,118.9872,116.3194,117.4023,221244.0
2021-03-09,118.1603,118.1603,114.6557,115.0298,287572.0
2021-03-10,115.6697,119.1152,115.1578,118.0225,166637.0
2021-03-11,118.6033,120.7099,117.7419,117.924,232681.0
2021-03-12,118.2587,121.9897,118.2587,121.9897,318695.0
2021-03-13,118.2587,121.9897,118.2587,121.9897,318695.0
2021-03-14,118.2587,121.9897,118.2587,121.9897,318695.0
