,SNA US Equity,SNA US Equity,SNA US Equity,SNA US Equity,SNA US Equity
2019-04-27,147.436,149.156,146.611,148.989,299621.0
2019-04-28,147.436,149.156,146.611,148.989,299621.0
2019-04-29,149.428,150.665,148.015,148.34,312573.0
2019-04-30,148.261,148.717,146.975,147.681,345083.0
2019-05-01,148.103,148.103,145.597,146.33,404490.0
2019-05-02,146.014,149.243,145.443,148.664,608630.0
2019-05-03,148.559,151.323,148.559,150.472,543971.0
2019-05-04,148.559,151.323,148.559,150.472,543971.0
2019-05-05,148.559,151.323,148.559,150.472,543971.0
2019-05-06,147.883,150.182,147.317,149.647,453282.0
2019-05-07,148.287,148.822,146.839,147.936,614527.0
2019-05-08,148.313,148.48,146.698,147.33,549100.0
2019-05-09,145.777,147.519,144.601,147.172,526192.0
2019-05-10,147.006,148.129,144.647,147.681,455495.0
2019-05-11,147.006,148.129,144.647,147.681,455495.0
2019-05-12,147.006,148.129,144.647,147.681,455495.0
2019-05-13,144.82,145.022,140.353,140.766,580026.0
2019-05-14,141.187,143.68,141.187,142.381,348142.0
2019-05-15,141.679,143.916,141.231,143.443,576244.0
2019-05-16,144.092,146.128,144.074,145.171,386566.0
2019-05-17,143.723,145.511,143.021,143.171,470184.0
2019-05-18,143.723,145.511,143.021,143.171,470184.0
2019-05-19,143.723,145.511,143.021,143.171,470184.0
2019-05-20,142.553,142.614,137.503,137.636,640927.0
2019-05-21,139.039,141.37,138.616,140.293,536685.0
2019-05-22,139.357,140.92,139.03,140.716,448669.0
2019-05-23,139.136,139.401,136.974,138.872,501793.0
2019-05-24,139.94,140.222,138.024,139.737,316183.0
2019-05-25,139.94,140.222,138.024,139.737,316183.0
2019-05-26,139.94,140.222,138.024,139.737,316183.0
2019-05-27,139.94,140.222,138.024,139.737,316183.0
2019-05-28,139.816,140.425,136.824,136.938,565820.0
2019-05-29,135.976,138.589,135.508,138.236,791211.0
2019-05-30,138.289,140.363,137.715,138.651,318747.0
2019-05-31,137.15,138.651,136.343,137.636,384278.0
2019-06-01,137.15,138.651,136.343,137.636,384278.0
2019-06-02,137.15,138.651,136.343,137.636,384278.0
2019-06-03,137.556,138.435,136.153,137.892,275333.0
2019-06-04,139.428,141.273,139.119,141.061,471204.0
2019-06-05,142.005,142.764,139.851,142.658,335852.0
2019-06-06,143.453,143.585,140.716,143.179,320937.0
2019-06-07,144.0,144.698,143.109,143.391,259187.0
2019-06-08,144.0,144.698,143.109,143.391,259187.0
2019-06-09,144.0,144.698,143.109,143.391,259187.0
2019-06-10,143.894,145.775,143.541,143.903,302289.0
2019-06-11,145.024,145.916,143.329,143.435,288757.0
2019-06-12,143.506,143.916,142.469,142.985,253785.0
2019-06-13,143.479,146.11,143.479,145.801,254131.0
2019-06-14,145.368,145.474,143.162,144.848,304817.0
2019-06-15,145.368,145.474,143.162,144.848,304817.0
2019-06-16,145.368,145.474,143.162,144.848,304817.0
2019-06-17,145.36,145.907,142.5,142.694,299918.0
2019-06-18,143.921,147.514,143.912,146.445,343779.0
2019-06-19,146.869,147.125,144.627,145.704,326582.0
2019-06-20,147.055,148.467,145.633,148.29,340967.0
2019-06-21,147.416,147.637,140.955,142.844,879634.0
2019-06-22,147.416,147.637,140.955,142.844,879634.0
2019-06-23,147.416,147.637,140.955,142.844,879634.0
2019-06-24,143.003,144.645,142.164,143.524,390440.0
2019-06-25,143.885,144.848,142.711,144.751,362426.0
2019-06-26,144.556,145.686,143.859,144.353,383175.0
2019-06-27,144.759,145.086,143.735,144.309,391435.0
2019-06-28,144.804,146.604,144.777,146.216,665295.0
2019-06-29,144.804,146.604,144.777,146.216,665295.0
2019-06-30,144.804,146.604,144.777,146.216,665295.0
2019-07-01,146.216,147.302,143.148,145.96,879028.0
2019-07-02,146.057,146.781,141.846,143.85,678850.0
2019-07-03,144.256,144.962,143.329,143.718,344905.0
2019-07-04,144.256,144.962,143.329,143.718,344905.0
2019-07-05,143.056,143.25,140.99,142.738,456883.0
2019-07-06,143.056,143.25,140.99,142.738,456883.0
2019-07-07,143.056,143.25,140.99,142.738,456883.0
2019-07-08,142.217,142.553,140.615,141.149,307603.0
2019-07-09,140.046,140.213,138.227,138.766,590632.0
2019-07-10,139.648,139.693,138.015,138.298,411346.0
2019-07-11,137.742,138.307,136.877,138.148,353267.0
2019-07-12,138.739,141.758,138.739,141.025,321208.0
2019-07-13,138.739,141.758,138.739,141.025,321208.0
2019-07-14,138.739,141.758,138.739,141.025,321208.0
2019-07-15,141.158,141.176,139.075,139.79,336990.0
2019-07-16,139.825,141.767,139.498,141.273,441379.0
2019-07-17,141.379,141.379,135.508,135.72,762786.0
2019-07-18,133.734,138.66,131.686,133.584,961306.0
2019-07-19,134.343,135.164,132.286,132.41,710980.0
2019-07-20,134.343,135.164,132.286,132.41,710980.0
2019-07-21,134.343,135.164,132.286,132.41,710980.0
2019-07-22,132.604,133.452,130.998,133.116,621621.0
2019-07-23,134.281,136.753,133.293,136.682,490470.0
2019-07-24,135.756,137.839,135.27,136.612,476209.0
2019-07-25,136.603,136.859,135.641,136.047,506634.0
2019-07-26,135.464,137.221,134.996,137.115,305577.0
2019-07-27,135.464,137.221,134.996,137.115,305577.0
2019-07-28,135.464,137.221,134.996,137.115,305577.0
2019-07-29,136.974,137.115,136.188,136.462,237588.0
2019-07-30,135.5,137.539,134.899,137.539,269824.0
2019-07-31,137.777,137.777,133.752,134.714,341319.0
2019-08-01,134.396,135.729,131.121,132.216,543821.0
2019-08-02,132.145,132.778,130.803,131.748,495087.0
2019-08-03,132.145,132.778,130.803,131.748,495087.0
2019-08-04,132.145,132.778,130.803,131.748,495087.0
2019-08-05,129.744,130.697,128.906,130.327,565760.0
2019-08-06,131.439,133.937,130.927,133.752,533644.0
2019-08-07,131.801,134.431,131.457,133.999,366627.0
2019-08-08,135.305,136.859,135.12,136.356,344807.0
2019-08-09,136.32,136.735,134.97,135.058,337526.0
2019-08-10,136.32,136.735,134.97,135.058,337526.0
2019-08-11,136.32,136.735,134.97,135.058,337526.0
2019-08-12,134.343,135.173,132.022,132.295,326675.0
2019-08-13,132.481,135.861,131.96,133.646,256640.0
2019-08-14,131.624,131.977,128.835,129.25,342456.0
2019-08-15,129.488,129.488,126.337,127.131,402012.0
2019-08-16,127.943,130.645,127.943,130.133,243652.0
2019-08-17,127.943,130.645,127.943,130.133,243652.0
2019-08-18,127.943,130.645,127.943,130.133,243652.0
2019-08-19,132.069,133.029,131.785,132.389,289959.0
2019-08-20,132.176,132.594,130.372,130.435,268205.0
2019-08-21,131.874,132.602,131.225,131.812,263900.0
2019-08-22,132.363,133.749,132.043,132.878,294928.0
2019-08-23,132.114,132.728,128.311,128.889,384102.0
2019-08-24,132.114,132.728,128.311,128.889,384102.0
2019-08-25,132.114,132.728,128.311,128.889,384102.0
2019-08-26,130.292,130.632,128.427,129.75,194890.0
2019-08-27,130.594,130.852,128.662,128.915,330165.0
2019-08-28,128.356,130.195,128.064,129.955,303909.0
2019-08-29,131.794,132.771,131.492,131.989,286035.0
2019-08-30,133.02,133.677,131.901,132.096,234566.0
2019-08-31,133.02,133.677,131.901,132.096,234566.0
2019-09-01,133.02,133.677,131.901,132.096,234566.0
2019-09-02,133.02,133.677,131.901,132.096,234566.0
2019-09-03,130.621,131.723,129.36,130.897,458254.0
2019-09-04,132.025,132.825,131.261,132.247,287037.0
2019-09-05,133.34,135.739,133.34,134.815,317166.0
2019-09-06,135.366,135.996,133.926,134.219,251667.0
2019-09-07,135.366,135.996,133.926,134.219,251667.0
2019-09-08,135.366,135.996,133.926,134.219,251667.0
2019-09-09,134.77,136.378,134.202,135.401,274348.0
2019-09-10,135.294,140.394,135.214,140.394,362049.0
2019-09-11,140.963,143.566,139.337,143.566,410013.0
2019-09-12,144.25,145.219,143.655,144.694,599563.0
2019-09-13,145.583,146.302,143.954,144.33,510100.0
2019-09-14,145.583,146.302,143.954,144.33,510100.0
2019-09-15,145.583,146.302,143.954,144.33,510100.0
2019-09-16,143.69,144.605,143.238,143.975,352050.0
2019-09-17,143.495,143.495,139.097,140.234,365112.0
2019-09-18,139.355,139.719,136.707,137.88,371395.0
2019-09-19,137.818,139.612,137.436,137.835,328411.0
2019-09-20,138.155,139.479,137.445,138.342,405304.0
2019-09-21,138.155,139.479,137.445,138.342,405304.0
2019-09-22,138.155,139.479,137.445,138.342,405304.0
2019-09-23,137.231,139.115,136.441,138.022,386552.0
2019-09-24,138.626,138.626,135.623,136.245,339726.0
2019-09-25,135.97,138.688,135.752,138.235,320539.0
2019-09-26,138.262,138.848,136.929,137.64,296051.0
2019-09-27,138.324,139.168,137.142,138.013,217560.0
2019-09-28,138.324,139.168,137.142,138.013,217560.0
2019-09-29,138.324,139.168,137.142,138.013,217560.0
2019-09-30,138.804,140.021,138.507,139.079,338882.0
2019-10-01,140.154,141.86,136.858,137.516,499116.0
2019-10-02,136.503,137.551,134.766,135.748,612278.0
2019-10-03,134.912,135.854,133.278,135.143,397677.0
2019-10-04,135.828,138.209,135.152,138.111,240381.0
2019-10-05,135.828,138.209,135.152,138.111,240381.0
2019-10-06,135.828,138.209,135.152,138.111,240381.0
2019-10-07,137.347,138.155,136.156,137.249,399952.0
2019-10-08,135.934,136.521,134.788,134.948,317449.0
2019-10-09,136.325,136.325,134.717,134.904,386171.0
2019-10-10,135.517,136.698,135.135,136.067,350128.0
2019-10-11,138.102,141.727,137.844,139.008,243308.0
2019-10-12,138.102,141.727,137.844,139.008,243308.0
2019-10-13,138.102,141.727,137.844,139.008,243308.0
2019-10-14,138.28,140.376,137.747,140.332,256322.0
2019-10-15,139.914,141.709,139.595,140.643,499209.0
2019-10-16,140.412,142.304,139.861,140.403,531535.0
2019-10-17,140.35,144.286,135.792,138.297,848830.0
2019-10-18,137.542,140.381,137.24,139.95,490816.0
2019-10-19,137.542,140.381,137.24,139.95,490816.0
2019-10-20,137.542,140.381,137.24,139.95,490816.0
2019-10-21,141.034,143.042,141.034,141.585,483780.0
2019-10-22,141.709,145.263,140.989,144.499,355855.0
2019-10-23,144.312,146.667,143.939,146.533,397831.0
2019-10-24,147.146,147.546,145.574,147.084,449448.0
2019-10-25,147.04,148.808,147.04,148.053,327771.0
2019-10-26,147.04,148.808,147.04,148.053,327771.0
2019-10-27,147.04,148.808,147.04,148.053,327771.0
2019-10-28,148.799,149.261,147.462,147.777,247612.0
2019-10-29,146.782,148.55,146.507,147.218,319828.0
2019-10-30,146.898,146.898,144.828,146.48,298780.0
2019-10-31,145.832,146.498,143.793,144.526,371462.0
2019-11-01,145.965,148.257,144.854,148.257,331835.0
2019-11-02,145.965,148.257,144.854,148.257,331835.0
2019-11-03,145.965,148.257,144.854,148.257,331835.0
2019-11-04,149.643,150.087,148.453,149.714,730129.0
2019-11-05,149.394,150.034,147.919,149.323,448929.0
2019-11-06,148.763,148.763,146.667,148.204,624753.0
2019-11-07,149.261,149.634,147.915,148.346,324521.0
2019-11-08,148.346,149.243,147.04,148.319,497886.0
2019-11-09,148.346,149.243,147.04,148.319,497886.0
2019-11-10,148.346,149.243,147.04,148.319,497886.0
2019-11-11,147.04,149.234,147.04,149.217,167396.0
2019-11-12,149.687,150.576,148.63,150.096,280077.0
2019-11-13,148.799,149.759,145.956,145.983,319476.0
2019-11-14,145.787,146.818,144.752,146.187,477987.0
2019-11-15,146.453,146.969,145.014,145.414,305705.0
2019-11-16,146.453,146.969,145.014,145.414,305705.0
2019-11-17,146.453,146.969,145.014,145.414,305705.0
2019-11-18,144.836,145.707,143.566,143.975,340552.0
2019-11-19,144.851,144.851,143.507,144.368,282770.0
2019-11-20,144.002,144.404,141.873,141.935,425491.0
2019-11-21,141.864,142.901,141.146,141.3,309729.0
2019-11-22,141.739,142.543,141.023,142.114,319418.0
2019-11-23,141.739,142.543,141.023,142.114,319418.0
2019-11-24,141.739,142.543,141.023,142.114,319418.0
2019-11-25,142.74,146.256,142.284,145.307,1695766.0
2019-11-26,145.817,145.994,144.744,145.701,314722.0
2019-11-27,145.281,145.719,144.476,145.236,266484.0
2019-11-28,145.281,145.719,144.476,145.236,266484.0
2019-11-29,144.708,144.815,143.232,143.519,129022.0
2019-11-30,144.708,144.815,143.232,143.519,129022.0
2019-12-01,144.708,144.815,143.232,143.519,129022.0
2019-12-02,143.993,144.404,141.122,141.166,329646.0
2019-12-03,139.521,140.173,138.242,140.039,421598.0
2019-12-04,140.46,143.094,140.46,142.365,550479.0
2019-12-05,142.991,145.133,142.901,145.066,440387.0
2019-12-06,146.148,147.597,145.146,147.552,362640.0
2019-12-07,146.148,147.597,145.146,147.552,362640.0
2019-12-08,146.148,147.597,145.146,147.552,362640.0
2019-12-09,147.15,148.304,146.573,148.241,348931.0
2019-12-10,148.053,149.019,146.828,147.722,525268.0
2019-12-11,148.626,150.307,148.25,149.976,308919.0
2019-12-12,149.78,152.767,149.252,152.427,387307.0
2019-12-13,152.463,153.465,150.842,152.391,648150.0
2019-12-14,152.463,153.465,150.842,152.391,648150.0
2019-12-15,152.463,153.465,150.842,152.391,648150.0
2019-12-16,153.84,154.225,152.297,153.071,342854.0
2019-12-17,153.107,154.386,152.409,153.706,435476.0
2019-12-18,153.787,154.126,152.987,153.5,451565.0
2019-12-19,153.312,153.312,149.529,150.039,563190.0
2019-12-20,151.059,152.168,149.949,151.765,537509.0
2019-12-21,151.059,152.168,149.949,151.765,537509.0
2019-12-22,151.059,152.168,149.949,151.765,537509.0
2019-12-23,152.373,152.373,151.228,151.89,206160.0
2019-12-24,151.72,151.72,150.898,151.085,54973.0
2019-12-25,151.72,151.72,150.898,151.085,54973.0
2019-12-26,151.613,151.89,149.851,151.855,175465.0
2019-12-27,152.096,152.503,151.085,151.336,117540.0
2019-12-28,152.096,152.503,151.085,151.336,117540.0
2019-12-29,152.096,152.503,151.085,151.336,117540.0
2019-12-30,151.595,151.694,150.146,151.014,176525.0
2019-12-31,150.647,151.828,150.647,151.515,198904.0
2020-01-01,150.647,151.828,150.647,151.515,198904.0
2020-01-02,152.409,152.815,150.283,151.157,460297.0
2020-01-03,148.554,149.699,147.794,149.449,362477.0
2020-01-04,148.554,149.699,147.794,149.449,362477.0
2020-01-05,148.554,149.699,147.794,149.449,362477.0
2020-01-06,148.796,148.876,147.462,148.348,407845.0
2020-01-07,147.713,148.143,146.358,147.391,438261.0
2020-01-08,147.803,149.681,147.552,149.019,305014.0
2020-01-09,149.52,149.797,147.749,149.064,213503.0
2020-01-10,149.064,149.556,147.964,148.966,227594.0
2020-01-11,149.064,149.556,147.964,148.966,227594.0
2020-01-12,149.064,149.556,147.964,148.966,227594.0
2020-01-13,149.422,149.826,148.76,149.797,162338.0
2020-01-14,150.084,151.738,149.717,150.683,182905.0
2020-01-15,150.227,150.737,148.331,149.52,309672.0
2020-01-16,150.468,151.667,150.136,150.862,255260.0
2020-01-17,151.407,153.527,150.728,152.051,429036.0
2020-01-18,151.407,153.527,150.728,152.051,429036.0
2020-01-19,151.407,153.527,150.728,152.051,429036.0
2020-01-20,151.407,153.527,150.728,152.051,429036.0
2020-01-21,151.828,152.042,150.182,150.987,396456.0
2020-01-22,151.479,151.685,149.529,149.949,257154.0
2020-01-23,149.073,150.817,148.134,150.656,189219.0
2020-01-24,151.05,151.05,147.025,148.447,352816.0
2020-01-25,151.05,151.05,147.025,148.447,352816.0
2020-01-26,151.05,151.05,147.025,148.447,352816.0
2020-01-27,145.558,147.114,145.23,145.701,239702.0
2020-01-28,146.399,148.644,146.13,147.4,286220.0
2020-01-29,148.223,148.474,146.712,147.517,203581.0
2020-01-30,146.166,147.49,144.95,146.095,328337.0
2020-01-31,145.272,146.202,142.231,142.776,368539.0
2020-02-01,145.272,146.202,142.231,142.776,368539.0
2020-02-02,145.272,146.202,142.231,142.776,368539.0
2020-02-03,144.011,145.388,142.83,144.735,587264.0
2020-02-04,147.213,147.83,145.003,145.451,606961.0
2020-02-05,146.059,147.696,145.276,146.452,752248.0
2020-02-06,148.071,148.107,141.327,143.161,726802.0
2020-02-07,141.721,141.721,138.944,139.297,428287.0
2020-02-08,141.721,141.721,138.944,139.297,428287.0
2020-02-09,141.721,141.721,138.944,139.297,428287.0
2020-02-10,138.85,139.744,137.84,139.172,662623.0
2020-02-11,139.655,140.549,138.778,139.1,615154.0
2020-02-12,139.664,140.728,139.02,140.424,582236.0
2020-02-13,139.69,140.674,138.635,138.939,348053.0
2020-02-14,139.082,139.807,138.671,139.762,465735.0
2020-02-15,139.082,139.807,138.671,139.762,465735.0
2020-02-16,139.082,139.807,138.671,139.762,465735.0
2020-02-17,139.082,139.807,138.671,139.762,465735.0
2020-02-18,139.127,140.974,139.082,140.907,438875.0
2020-02-19,141.372,141.882,140.75,141.318,531496.0
2020-02-20,141.104,143.116,140.674,143.062,365153.0
2020-02-21,143.567,144.377,142.153,144.143,511924.0
2020-02-22,143.567,144.377,142.153,144.143,511924.0
2020-02-23,143.567,144.377,142.153,144.143,511924.0
2020-02-24,140.28,143.945,140.28,143.27,979892.0
2020-02-25,143.477,143.477,138.227,138.344,710212.0
2020-02-26,139.235,139.884,134.4,134.58,623259.0
2020-02-27,132.707,136.435,131.923,132.382,784103.0
2020-02-28,128.555,131.437,126.988,130.347,1026126.0
2020-02-29,128.555,131.437,126.988,130.347,1026126.0
2020-03-01,128.555,131.437,126.988,130.347,1026126.0
2020-03-02,131.203,133.913,128.69,133.913,653460.0
2020-03-03,133.247,136.011,128.961,129.798,532853.0
2020-03-04,131.779,135.12,130.59,134.67,546795.0
2020-03-05,132.815,132.99,126.291,127.448,468581.0
2020-03-06,124.053,127.925,123.549,127.664,420387.0
2020-03-07,124.053,127.925,123.549,127.664,420387.0
2020-03-08,124.053,127.925,123.549,127.664,420387.0
2020-03-09,121.378,123.882,116.813,118.812,870364.0
2020-03-10,122.126,126.556,119.388,126.412,574327.0
2020-03-11,123.242,123.317,115.512,116.579,693964.0
2020-03-12,108.303,114.733,106.331,106.997,814047.0
2020-03-13,113.211,114.34,104.971,113.661,1055332.0
2020-03-14,113.211,114.34,104.971,113.661,1055332.0
2020-03-15,113.211,114.34,104.971,113.661,1055332.0
2020-03-16,99.28,109.051,98.776,104.89,859182.0
2020-03-17,106.88,113.022,101.212,112.959,872276.0
2020-03-18,105.458,107.772,87.784,99.973,1103030.0
2020-03-19,98.506,102.445,93.706,96.38,1200491.0
2020-03-20,97.992,98.461,88.141,89.933,896229.0
2020-03-21,97.992,98.461,88.141,89.933,896229.0
2020-03-22,97.992,98.461,88.141,89.933,896229.0
2020-03-23,88.384,89.645,81.693,86.061,1122939.0
2020-03-24,90.95,96.651,89.942,95.984,692875.0
2020-03-25,96.254,102.365,93.238,99.001,1049244.0
2020-03-26,100.01,102.702,97.668,102.243,951837.0
2020-03-27,98.506,99.393,91.257,97.119,632045.0
2020-03-28,98.506,99.393,91.257,97.119,632045.0
2020-03-29,98.506,99.393,91.257,97.119,632045.0
2020-03-30,97.245,101.865,94.435,101.783,589114.0
2020-03-31,100.424,102.63,96.831,97.992,689581.0
2020-04-01,93.661,97.029,90.581,93.886,954177.0
2020-04-02,92.661,94.913,89.186,90.752,881841.0
2020-04-03,90.05,91.333,84.647,86.016,930090.0
2020-04-04,90.05,91.333,84.647,86.016,930090.0
2020-04-05,90.05,91.333,84.647,86.016,930090.0
2020-04-06,90.707,96.66,89.766,95.507,976750.0
2020-04-07,99.685,105.07,98.731,98.902,788056.0
2020-04-08,100.298,105.521,98.254,104.836,652426.0
2020-04-09,106.925,112.049,106.745,109.969,718181.0
2020-04-10,106.925,112.049,106.745,109.969,718181.0
2020-04-11,106.925,112.049,106.745,109.969,718181.0
2020-04-12,106.925,112.049,106.745,109.969,718181.0
2020-04-13,110.365,110.365,102.288,102.801,449006.0
2020-04-14,104.458,107.695,102.774,104.62,823295.0
2020-04-15,101.441,101.774,96.84,98.758,531549.0
2020-04-16,98.434,100.262,96.534,99.766,688470.0
2020-04-17,103.017,107.25,102.666,106.556,1000588.0
2020-04-18,103.017,107.25,102.666,106.556,1000588.0
2020-04-19,103.017,107.25,102.666,106.556,1000588.0
2020-04-20,104.098,105.032,102.225,103.251,720338.0
2020-04-21,100.127,102.477,97.956,99.541,1166513.0
2020-04-22,101.585,102.846,100.595,102.441,829024.0
2020-04-23,102.477,105.657,101.82,102.36,605209.0
2020-04-24,103.44,105.746,102.675,104.521,781994.0
2020-04-25,103.44,105.746,102.675,104.521,781994.0
2020-04-26,103.44,105.746,102.675,104.521,781994.0
2020-04-27,105.34,113.031,105.34,112.598,773932.0
2020-04-28,115.075,119.812,112.815,113.814,850097.0
2020-04-29,116.939,122.968,116.3,122.036,937298.0
2020-04-30,119.676,120.298,117.002,117.326,924073.0
2020-05-01,115.219,116.565,110.761,111.707,709461.0
2020-05-02,115.219,116.565,110.761,111.707,709461.0
2020-05-03,115.219,116.565,110.761,111.707,709461.0
2020-05-04,110.338,110.338,106.745,109.321,647381.0
2020-05-05,110.419,112.301,109.339,109.564,523902.0
2020-05-06,109.888,110.599,107.214,107.79,377505.0
2020-05-07,109.654,111.617,109.51,110.05,388175.0
2020-05-08,112.112,115.093,112.112,114.661,322040.0
