,MYL US Equity,MYL US Equity,MYL US Equity,MYL US Equity,MYL US Equity
2019-04-28,26.76,27.07,26.51,27.04,3645120.0
2019-04-29,27.07,27.36,26.89,27.25,4998757.0
2019-04-30,27.32,27.52,26.81,26.99,4850565.0
2019-05-01,26.95,27.495,26.86,27.07,7178001.0
2019-05-02,27.11,27.91,27.11,27.68,5493495.0
2019-05-03,27.7,28.145,27.7,28.01,4864748.0
2019-05-04,27.7,28.145,27.7,28.01,4864748.0
2019-05-05,27.7,28.145,27.7,28.01,4864748.0
2019-05-06,27.62,28.455,27.38,28.26,7222725.0
2019-05-07,26.7,26.95,21.52,21.53,51179949.0
2019-05-08,21.59,22.49,21.23,21.89,20281105.0
2019-05-09,21.8,23.19,21.62,22.76,14384984.0
2019-05-10,22.62,22.98,21.755,22.17,7795647.0
2019-05-11,22.62,22.98,21.755,22.17,7795647.0
2019-05-12,22.62,22.98,21.755,22.17,7795647.0
2019-05-13,21.29,21.44,19.73,20.08,16383708.0
2019-05-14,20.12,20.58,20.12,20.41,6488329.0
2019-05-15,20.15,20.19,19.4,20.05,9991917.0
2019-05-16,20.12,20.51,19.89,20.21,8423116.0
2019-05-17,20.04,20.07,19.63,19.64,5354678.0
2019-05-18,20.04,20.07,19.63,19.64,5354678.0
2019-05-19,20.04,20.07,19.63,19.64,5354678.0
2019-05-20,19.64,19.77,19.14,19.42,6743574.0
2019-05-21,19.51,19.97,19.45,19.67,7061905.0
2019-05-22,19.52,19.75,19.15,19.65,7192439.0
2019-05-23,19.46,19.54,18.9338,19.17,7282725.0
2019-05-24,19.25,19.48,18.925,18.98,5052496.0
2019-05-25,19.25,19.48,18.925,18.98,5052496.0
2019-05-26,19.25,19.48,18.925,18.98,5052496.0
2019-05-27,19.25,19.48,18.925,18.98,5052496.0
2019-05-28,18.9,18.92,17.71,17.9,17399911.0
2019-05-29,17.76,18.09,17.25,18.0,12998874.0
2019-05-30,17.98,18.24,17.13,17.21,7451789.0
2019-05-31,17.11,17.17,16.63,16.8,11147134.0
2019-06-01,17.11,17.17,16.63,16.8,11147134.0
2019-06-02,17.11,17.17,16.63,16.8,11147134.0
2019-06-03,16.91,17.46,16.9,17.19,8696893.0
2019-06-04,17.46,18.01,17.45,17.82,9038236.0
2019-06-05,17.93,18.13,17.3148,17.77,6843603.0
2019-06-06,17.76,17.9,17.32,17.45,5265051.0
2019-06-07,17.55,17.68,17.2,17.4,6906006.0
2019-06-08,17.55,17.68,17.2,17.4,6906006.0
2019-06-09,17.55,17.68,17.2,17.4,6906006.0
2019-06-10,17.49,17.905,17.41,17.57,4800975.0
2019-06-11,17.98,18.06,17.48,17.51,4933283.0
2019-06-12,17.46,17.54,16.91,17.16,4721395.0
2019-06-13,17.2,17.39,17.03,17.38,3694295.0
2019-06-14,17.41,17.51,16.91,17.02,4400013.0
2019-06-15,17.41,17.51,16.91,17.02,4400013.0
2019-06-16,17.41,17.51,16.91,17.02,4400013.0
2019-06-17,17.04,17.59,16.96,17.27,5107598.0
2019-06-18,17.5,17.96,17.27,17.75,5347662.0
2019-06-19,17.91,18.45,17.75,18.1,8359790.0
2019-06-20,18.4,18.645,18.08,18.21,6978011.0
2019-06-21,18.34,18.35,17.74,18.32,10868487.0
2019-06-22,18.34,18.35,17.74,18.32,10868487.0
2019-06-23,18.34,18.35,17.74,18.32,10868487.0
2019-06-24,18.41,18.43,17.7665,17.96,6961524.0
2019-06-25,18.31,18.78,18.14,18.65,10356298.0
2019-06-26,18.74,18.84,18.5,18.66,5787375.0
2019-06-27,18.76,19.23,18.6867,18.97,5707991.0
2019-06-28,19.1,19.15,18.89,19.04,6604203.0
2019-06-29,19.1,19.15,18.89,19.04,6604203.0
2019-06-30,19.1,19.15,18.89,19.04,6604203.0
2019-07-01,19.34,19.64,19.27,19.44,6876942.0
2019-07-02,19.53,19.62,19.14,19.35,6634240.0
2019-07-03,19.49,19.74,19.41,19.68,4133677.0
2019-07-04,19.49,19.74,19.41,19.68,4133677.0
2019-07-05,19.67,19.78,19.27,19.49,4749240.0
2019-07-06,19.67,19.78,19.27,19.49,4749240.0
2019-07-07,19.67,19.78,19.27,19.49,4749240.0
2019-07-08,19.41,19.535,19.02,19.27,5286197.0
2019-07-09,19.2,19.68,18.85,19.62,5089740.0
2019-07-10,19.1,19.1911,18.55,19.13,8275369.0
2019-07-11,19.1,19.34,18.655,19.04,4673379.0
2019-07-12,19.11,19.3847,18.86,19.22,3314087.0
2019-07-13,19.11,19.3847,18.86,19.22,3314087.0
2019-07-14,19.11,19.3847,18.86,19.22,3314087.0
2019-07-15,19.05,19.1803,18.87,18.97,4299731.0
2019-07-16,18.96,19.0,18.4,18.43,6043555.0
2019-07-17,18.45,18.45,17.71,17.91,7003669.0
2019-07-18,17.83,17.96,17.625,17.85,7272836.0
2019-07-19,17.86,18.25,17.66,18.1,6100592.0
2019-07-20,17.86,18.25,17.66,18.1,6100592.0
2019-07-21,17.86,18.25,17.66,18.1,6100592.0
2019-07-22,18.14,18.23,17.77,18.05,4202505.0
2019-07-23,18.18,18.38,18.02,18.34,5236569.0
2019-07-24,18.31,18.9699,18.3,18.91,7262235.0
2019-07-25,18.96,18.97,18.3,18.44,6439224.0
2019-07-26,18.52,18.62,18.37,18.46,3602921.0
2019-07-27,18.52,18.62,18.37,18.46,3602921.0
2019-07-28,18.52,18.62,18.37,18.46,3602921.0
2019-07-29,20.95,21.88,19.7,20.78,61207775.0
2019-07-30,20.71,21.7,20.58,21.43,18440601.0
2019-07-31,21.44,21.44,20.62,20.9,12073204.0
2019-08-01,20.8,21.19,20.05,20.32,10840194.0
2019-08-02,20.36,20.45,19.65,19.84,6574484.0
2019-08-03,20.36,20.45,19.65,19.84,6574484.0
2019-08-04,20.36,20.45,19.65,19.84,6574484.0
2019-08-05,19.53,19.6825,19.09,19.35,8660839.0
2019-08-06,19.47,19.475,17.66,18.2,15592762.0
2019-08-07,17.88,18.6,17.31,18.49,9715743.0
2019-08-08,18.43,19.1,18.08,19.09,7113400.0
2019-08-09,19.05,19.62,18.83,19.48,6412459.0
2019-08-10,19.05,19.62,18.83,19.48,6412459.0
2019-08-11,19.05,19.62,18.83,19.48,6412459.0
2019-08-12,19.24,19.45,19.05,19.13,6010352.0
2019-08-13,19.11,19.75,18.93,19.72,5466621.0
2019-08-14,19.38,19.43,17.96,18.04,10822662.0
2019-08-15,18.23,18.25,17.575,17.61,6476573.0
2019-08-16,17.88,18.61,17.6846,18.53,5974239.0
2019-08-17,17.88,18.61,17.6846,18.53,5974239.0
2019-08-18,17.88,18.61,17.6846,18.53,5974239.0
2019-08-19,18.77,19.42,18.77,19.19,5654953.0
2019-08-20,19.18,19.805,18.99,19.09,5730174.0
2019-08-21,19.19,19.345,18.87,19.09,3855831.0
2019-08-22,19.09,19.37,18.92,19.04,3578162.0
2019-08-23,18.89,19.1,18.26,18.34,5126225.0
2019-08-24,18.89,19.1,18.26,18.34,5126225.0
2019-08-25,18.89,19.1,18.26,18.34,5126225.0
2019-08-26,18.54,18.9,18.44,18.79,4199222.0
2019-08-27,19.01,19.01,18.37,18.67,5534526.0
2019-08-28,18.51,19.26,18.485,19.15,4127312.0
2019-08-29,19.35,19.99,19.3,19.9,5856582.0
2019-08-30,20.07,20.08,19.31,19.47,3444635.0
2019-08-31,20.07,20.08,19.31,19.47,3444635.0
2019-09-01,20.07,20.08,19.31,19.47,3444635.0
2019-09-02,20.07,20.08,19.31,19.47,3444635.0
2019-09-03,19.27,19.58,18.71,19.27,6235018.0
2019-09-04,19.59,20.9,19.29,19.74,5517958.0
2019-09-05,19.94,20.31,19.715,20.22,5043147.0
2019-09-06,20.28,20.53,19.85,20.52,4312197.0
2019-09-07,20.28,20.53,19.85,20.52,4312197.0
2019-09-08,20.28,20.53,19.85,20.52,4312197.0
2019-09-09,20.57,21.22,20.45,21.19,5957796.0
2019-09-10,21.0,21.89,20.91,21.88,6377656.0
2019-09-11,21.86,22.56,21.59,22.53,6653948.0
2019-09-12,22.56,22.57,21.68,22.24,5394055.0
2019-09-13,22.47,22.9,21.655,21.69,5401410.0
2019-09-14,22.47,22.9,21.655,21.69,5401410.0
2019-09-15,22.47,22.9,21.655,21.69,5401410.0
2019-09-16,21.43,22.045,21.43,21.8,2968546.0
2019-09-17,21.55,21.79,21.06,21.43,3629554.0
2019-09-18,21.37,21.54,21.05,21.29,3633702.0
2019-09-19,21.32,21.45,20.91,21.0,4230168.0
2019-09-20,20.61,21.39,20.6,21.0,9182651.0
2019-09-21,20.61,21.39,20.6,21.0,9182651.0
2019-09-22,20.61,21.39,20.6,21.0,9182651.0
2019-09-23,20.96,21.17,20.63,20.86,5821024.0
2019-09-24,20.72,20.75,19.42,19.93,9982418.0
2019-09-25,19.87,20.315,19.8,20.12,3110384.0
2019-09-26,20.18,20.18,19.51,19.76,4056541.0
2019-09-27,19.74,20.02,19.113,19.29,8576852.0
2019-09-28,19.74,20.02,19.113,19.29,8576852.0
2019-09-29,19.74,20.02,19.113,19.29,8576852.0
2019-09-30,19.27,19.87,19.03,19.78,5768930.0
2019-10-01,19.77,20.215,18.81,18.83,5312465.0
2019-10-02,18.8,18.8,18.1,18.53,6673034.0
2019-10-03,18.56,18.87,18.28,18.83,4229866.0
2019-10-04,18.82,19.16,18.57,18.91,3336587.0
2019-10-05,18.82,19.16,18.57,18.91,3336587.0
2019-10-06,18.82,19.16,18.57,18.91,3336587.0
2019-10-07,18.7,19.185,18.6,18.84,3461261.0
2019-10-08,18.64,18.74,18.29,18.38,3865840.0
2019-10-09,18.58,18.66,18.36,18.43,4825556.0
2019-10-10,18.44,18.84,18.32,18.47,4324378.0
2019-10-11,18.79,19.16,18.66,18.9,4411255.0
2019-10-12,18.79,19.16,18.66,18.9,4411255.0
2019-10-13,18.79,19.16,18.66,18.9,4411255.0
2019-10-14,18.74,18.9,18.44,18.52,4047995.0
2019-10-15,18.52,19.03,18.48,18.83,5431793.0
2019-10-16,18.98,19.18,18.62,18.735,3775835.0
2019-10-17,18.8,19.06,18.72,18.88,3143565.0
2019-10-18,18.88,18.92,18.275,18.33,6171894.0
2019-10-19,18.88,18.92,18.275,18.33,6171894.0
2019-10-20,18.88,18.92,18.275,18.33,6171894.0
2019-10-21,18.49,18.51,18.11,18.15,8394467.0
2019-10-22,18.31,18.47,18.03,18.31,6741717.0
2019-10-23,18.33,18.69,18.01,18.525,4955274.0
2019-10-24,18.61,18.61,18.03,18.25,5215184.0
2019-10-25,18.25,18.8,18.151,18.7,5436922.0
2019-10-26,18.25,18.8,18.151,18.7,5436922.0
2019-10-27,18.25,18.8,18.151,18.7,5436922.0
2019-10-28,18.75,19.265,18.72,18.97,5874057.0
2019-10-29,19.16,19.7,18.77,19.59,6863050.0
2019-10-30,19.49,19.58,19.22,19.41,3248085.0
2019-10-31,19.43,19.43,18.885,19.15,6156273.0
2019-11-01,19.33,19.97,19.23,19.68,5490857.0
2019-11-02,19.33,19.97,19.23,19.68,5490857.0
2019-11-03,19.33,19.97,19.23,19.68,5490857.0
2019-11-04,19.99,20.07,19.675,19.74,6695593.0
2019-11-05,19.9,20.39,17.75,17.79,21074610.0
2019-11-06,17.84,17.93,17.08,17.17,13599273.0
2019-11-07,17.21,17.42,16.965,17.01,9571607.0
2019-11-08,16.96,17.63,16.79,17.61,6778045.0
2019-11-09,16.96,17.63,16.79,17.61,6778045.0
2019-11-10,16.96,17.63,16.79,17.61,6778045.0
2019-11-11,17.43,17.57,17.0,17.24,6185517.0
2019-11-12,17.5,17.779,17.17,17.53,8485214.0
2019-11-13,17.49,17.49,17.15,17.27,7400005.0
2019-11-14,17.15,17.3348,16.87,17.26,7903959.0
2019-11-15,17.36,17.83,17.25,17.7,5209926.0
2019-11-16,17.36,17.83,17.25,17.7,5209926.0
2019-11-17,17.36,17.83,17.25,17.7,5209926.0
2019-11-18,17.72,17.81,17.16,17.23,8967629.0
2019-11-19,17.33,17.425,17.16,17.27,5311392.0
2019-11-20,17.13,17.53,17.06,17.24,7004873.0
2019-11-21,17.27,17.64,17.02,17.37,7110122.0
2019-11-22,17.51,17.65,17.23,17.34,5236012.0
2019-11-23,17.51,17.65,17.23,17.34,5236012.0
2019-11-24,17.51,17.65,17.23,17.34,5236012.0
2019-11-25,17.51,18.18,17.5,18.06,8276649.0
2019-11-26,17.99,18.36,17.82,18.3,7328766.0
2019-11-27,18.32,18.78,18.25,18.78,5243137.0
2019-11-28,18.32,18.78,18.25,18.78,5243137.0
2019-11-29,18.56,18.98,18.56,18.78,3866928.0
2019-11-30,18.56,18.98,18.56,18.78,3866928.0
2019-12-01,18.56,18.98,18.56,18.78,3866928.0
2019-12-02,18.9,19.01,18.62,18.66,5758937.0
2019-12-03,18.51,18.62,18.16,18.53,4463518.0
2019-12-04,18.53,19.0,18.53,18.88,5034304.0
2019-12-05,19.05,19.07,18.64,18.9,4667497.0
2019-12-06,19.02,19.345,19.01,19.29,5057626.0
2019-12-07,19.02,19.345,19.01,19.29,5057626.0
2019-12-08,19.02,19.345,19.01,19.29,5057626.0
2019-12-09,19.28,19.34,19.0,19.02,7984332.0
2019-12-10,19.06,19.08,18.57,18.695,4090098.0
2019-12-11,18.73,18.945,18.63,18.81,3224021.0
2019-12-12,18.8,19.7,18.71,19.68,6196715.0
2019-12-13,19.64,19.78,19.11,19.14,5177911.0
2019-12-14,19.64,19.78,19.11,19.14,5177911.0
2019-12-15,19.64,19.78,19.11,19.14,5177911.0
2019-12-16,19.34,19.605,19.01,19.03,8078576.0
2019-12-17,18.97,19.0,18.58,18.83,6859419.0
2019-12-18,18.9,19.03,18.645,18.87,4638617.0
2019-12-19,18.97,19.437,18.85,19.38,6430507.0
2019-12-20,19.41,19.95,19.28,19.79,21987477.0
2019-12-21,19.41,19.95,19.28,19.79,21987477.0
2019-12-22,19.41,19.95,19.28,19.79,21987477.0
2019-12-23,19.74,19.95,19.395,19.92,5726426.0
2019-12-24,19.87,20.09,19.81,19.84,1730993.0
2019-12-25,19.87,20.09,19.81,19.84,1730993.0
2019-12-26,19.81,20.155,19.515,19.58,4548205.0
2019-12-27,19.55,19.835,19.52,19.72,4754492.0
2019-12-28,19.55,19.835,19.52,19.72,4754492.0
2019-12-29,19.55,19.835,19.52,19.72,4754492.0
2019-12-30,19.66,19.8,19.38,19.43,4534878.0
2019-12-31,19.36,20.135,19.225,20.1,5154732.0
2020-01-01,19.36,20.135,19.225,20.1,5154732.0
2020-01-02,20.1,20.65,20.05,20.65,8761814.0
2020-01-03,20.33,20.5,20.095,20.2,7957349.0
2020-01-04,20.33,20.5,20.095,20.2,7957349.0
2020-01-05,20.33,20.5,20.095,20.2,7957349.0
2020-01-06,20.2,20.905,20.12,20.87,9540622.0
2020-01-07,20.91,21.23,20.575,21.17,8042922.0
2020-01-08,21.22,21.45,20.72,21.22,6933349.0
2020-01-09,20.96,21.27,20.605,20.93,6310831.0
2020-01-10,20.99,21.145,20.74,20.85,4624285.0
2020-01-11,20.99,21.145,20.74,20.85,4624285.0
2020-01-12,20.99,21.145,20.74,20.85,4624285.0
2020-01-13,20.92,20.94,20.43,20.78,4315303.0
2020-01-14,20.69,21.34,20.6834,21.2,5985555.0
2020-01-15,21.05,22.4,21.02,22.05,8858866.0
2020-01-16,22.25,22.34,21.76,21.97,6116232.0
2020-01-17,22.02,22.17,21.555,21.66,6404376.0
2020-01-18,22.02,22.17,21.555,21.66,6404376.0
2020-01-19,22.02,22.17,21.555,21.66,6404376.0
2020-01-20,22.02,22.17,21.555,21.66,6404376.0
2020-01-21,21.67,21.795,21.5,21.65,5655328.0
2020-01-22,21.54,21.89,21.54,21.79,5058847.0
2020-01-23,21.64,22.28,21.39,22.14,4799337.0
2020-01-24,22.35,22.35,21.51,21.85,5702719.0
2020-01-25,22.35,22.35,21.51,21.85,5702719.0
2020-01-26,22.35,22.35,21.51,21.85,5702719.0
2020-01-27,21.04,21.48,20.88,21.16,7017261.0
2020-01-28,21.56,22.045,21.525,21.84,7098159.0
2020-01-29,21.83,22.59,21.83,22.1,6037157.0
2020-01-30,21.87,22.11,21.61,21.92,3750939.0
2020-01-31,21.74,21.89,21.235,21.42,6220029.0
2020-02-01,21.74,21.89,21.235,21.42,6220029.0
2020-02-02,21.74,21.89,21.235,21.42,6220029.0
2020-02-03,21.54,21.96,21.495,21.62,4270099.0
2020-02-04,21.97,22.39,21.8257,22.26,4565486.0
2020-02-05,22.6,23.06,22.51,22.85,7690142.0
2020-02-06,23.06,23.11,22.47,22.85,5282492.0
2020-02-07,22.8,23.0,22.45,22.77,3854709.0
2020-02-08,22.8,23.0,22.45,22.77,3854709.0
2020-02-09,22.8,23.0,22.45,22.77,3854709.0
2020-02-10,22.67,22.93,22.54,22.62,3391729.0
2020-02-11,22.68,22.84,22.23,22.35,5104559.0
2020-02-12,22.64,23.1,22.085,22.16,6510007.0
2020-02-13,22.09,22.15,21.29,21.64,7530285.0
2020-02-14,21.73,22.095,21.49,21.9,3871079.0
2020-02-15,21.73,22.095,21.49,21.9,3871079.0
2020-02-16,21.73,22.095,21.49,21.9,3871079.0
2020-02-17,21.73,22.095,21.49,21.9,3871079.0
2020-02-18,21.79,21.88,20.98,21.28,4444932.0
2020-02-19,21.28,21.36,20.785,20.9,5771748.0
2020-02-20,20.84,20.98,20.67,20.925,6363651.0
2020-02-21,20.84,21.31,20.68,21.15,4939935.0
2020-02-22,20.84,21.31,20.68,21.15,4939935.0
2020-02-23,20.84,21.31,20.68,21.15,4939935.0
2020-02-24,20.43,20.9195,20.0618,20.31,8250507.0
2020-02-25,20.5,20.68,19.63,19.9,6321636.0
2020-02-26,20.08,20.29,19.21,19.54,5156320.0
2020-02-27,19.24,19.495,18.35,18.68,7667708.0
2020-02-28,17.82,18.09,16.57,17.19,16177256.0
2020-02-29,17.82,18.09,16.57,17.19,16177256.0
2020-03-01,17.82,18.09,16.57,17.19,16177256.0
2020-03-02,17.23,17.72,16.79,17.48,8359146.0
2020-03-03,17.71,17.75,16.25,16.29,10890465.0
2020-03-04,16.6221,17.04,16.11,16.83,10527065.0
2020-03-05,16.25,16.565,15.86,16.03,10850510.0
2020-03-06,15.45,15.53,14.65,15.4,18763364.0
2020-03-07,15.45,15.53,14.65,15.4,18763364.0
2020-03-08,15.45,15.53,14.65,15.4,18763364.0
2020-03-09,14.26,15.16,13.82,14.38,7740964.0
2020-03-10,14.84,15.13,13.995,15.08,7579612.0
2020-03-11,14.58,14.98,14.21,14.47,10584978.0
2020-03-12,13.28,14.06,13.045,13.26,8777007.0
2020-03-13,14.1,15.12,13.57,15.05,9134832.0
2020-03-14,14.1,15.12,13.57,15.05,9134832.0
2020-03-15,14.1,15.12,13.57,15.05,9134832.0
2020-03-16,13.0,15.4757,12.75,15.04,6568994.0
2020-03-17,15.48,16.78,15.045,15.57,7640253.0
2020-03-18,14.52,16.0642,13.245,14.18,7367898.0
2020-03-19,14.11,15.47,13.63,14.87,8762204.0
2020-03-20,16.16,16.995,14.94,15.25,22350038.0
2020-03-21,16.16,16.995,14.94,15.25,22350038.0
2020-03-22,16.16,16.995,14.94,15.25,22350038.0
2020-03-23,15.95,16.4799,15.04,15.74,13186157.0
2020-03-24,16.395,16.8619,14.2,15.14,12575247.0
2020-03-25,15.0,15.44,13.53,14.93,13273681.0
2020-03-26,14.88,16.205,14.88,15.54,6579713.0
2020-03-27,15.17,15.39,14.28,14.88,6297694.0
2020-03-28,15.17,15.39,14.28,14.88,6297694.0
2020-03-29,15.17,15.39,14.28,14.88,6297694.0
2020-03-30,15.21,15.3755,14.43,15.07,6234334.0
2020-03-31,15.07,15.8,14.84,14.91,7531168.0
2020-04-01,14.59,14.87,14.03,14.26,6768098.0
2020-04-02,14.11,14.52,13.6,13.92,7659399.0
2020-04-03,13.85,14.3559,13.68,13.74,8137135.0
2020-04-04,13.85,14.3559,13.68,13.74,8137135.0
2020-04-05,13.85,14.3559,13.68,13.74,8137135.0
2020-04-06,14.14,14.65,13.76,14.04,9635466.0
2020-04-07,14.38,15.1,14.04,14.37,8622662.0
2020-04-08,14.57,15.26,14.445,15.14,5861266.0
2020-04-09,15.45,16.54,15.45,16.08,9791985.0
2020-04-10,15.45,16.54,15.45,16.08,9791985.0
2020-04-11,15.45,16.54,15.45,16.08,9791985.0
2020-04-12,15.45,16.54,15.45,16.08,9791985.0
2020-04-13,16.2297,16.24,15.55,16.06,3914356.0
2020-04-14,16.3,16.49,16.05,16.35,4936643.0
2020-04-15,15.76,15.85,15.13,15.46,4773397.0
2020-04-16,15.54,15.66,14.79,15.5,6746082.0
2020-04-17,15.9,16.18,15.555,16.11,6430477.0
2020-04-18,15.9,16.18,15.555,16.11,6430477.0
2020-04-19,15.9,16.18,15.555,16.11,6430477.0
2020-04-20,16.14,16.25,15.515,15.86,4269908.0
2020-04-21,15.65,15.73,15.11,15.13,4235519.0
