,MANH US Equity,MANH US Equity,MANH US Equity,MANH US Equity,MANH US Equity
2020-04-14,57.54,60.16,57.14,59.63,587507.0
2020-04-15,57.56,57.92,54.72,55.3,701677.0
2020-04-16,56.37,56.46,54.48,55.86,553324.0
2020-04-17,57.39,58.87,57.02,57.5,494498.0
2020-04-18,57.39,58.87,57.02,57.5,494498.0
2020-04-19,57.39,58.87,57.02,57.5,494498.0
2020-04-20,56.25,57.57,55.31,55.35,636574.0
2020-04-21,53.44,54.73,51.75,52.0,935301.0
2020-04-22,57.15,61.76,54.5,58.0,2199158.0
2020-04-23,59.6,59.765,55.99,56.11,1009909.0
2020-04-24,56.48,58.235,55.89,58.11,638381.0
2020-04-25,56.48,58.235,55.89,58.11,638381.0
2020-04-26,56.48,58.235,55.89,58.11,638381.0
2020-04-27,58.93,63.58,58.7276,63.16,794720.0
2020-04-28,64.99,68.51,63.62,67.05,1574818.0
2020-04-29,69.47,72.19,69.15,72.0,1268420.0
2020-04-30,70.5,73.585,69.66,70.94,920295.0
2020-05-01,68.82,70.405,66.0,68.9,795358.0
2020-05-02,68.82,70.405,66.0,68.9,795358.0
2020-05-03,68.82,70.405,66.0,68.9,795358.0
2020-05-04,68.46,70.91,68.23,70.76,755202.0
2020-05-05,70.78,72.85,69.85,70.02,690649.0
2020-05-06,70.13,71.78,70.01,71.62,455841.0
2020-05-07,73.15,78.12,72.505,75.78,920285.0
2020-05-08,76.46,78.69,76.04,76.77,446326.0
2020-05-09,76.46,78.69,76.04,76.77,446326.0
2020-05-10,76.46,78.69,76.04,76.77,446326.0
2020-05-11,75.51,77.81,75.2,77.12,537381.0
2020-05-12,76.78,77.57,74.35,74.36,487823.0
2020-05-13,74.15,75.065,68.345,69.74,775696.0
2020-05-14,68.61,71.87,66.4,71.42,354453.0
2020-05-15,70.12,72.83,68.0,72.32,452724.0
2020-05-16,70.12,72.83,68.0,72.32,452724.0
2020-05-17,70.12,72.83,68.0,72.32,452724.0
2020-05-18,75.72,77.05,73.83,74.81,559076.0
2020-05-19,75.2,75.5,73.13,73.47,494681.0
2020-05-20,75.02,76.06,73.38,73.7,686927.0
2020-05-21,75.18,77.68,74.52,76.79,711279.0
2020-05-22,76.91,78.9,75.765,78.09,572615.0
2020-05-23,76.91,78.9,75.765,78.09,572615.0
2020-05-24,76.91,78.9,75.765,78.09,572615.0
2020-05-25,76.91,78.9,75.765,78.09,572615.0
2020-05-26,80.98,83.0,78.79,82.39,697472.0
2020-05-27,82.67,89.21,82.61,89.1,1063783.0
2020-05-28,90.26,91.565,88.75,89.15,1153078.0
2020-05-29,88.29,89.07,86.89,88.4,774936.0
2020-05-30,88.29,89.07,86.89,88.4,774936.0
2020-05-31,88.29,89.07,86.89,88.4,774936.0
2020-06-01,88.0,95.02,87.77,94.31,836869.0
2020-06-02,93.45,94.91,89.03,90.98,865161.0
2020-06-03,91.53,93.225,90.71,91.3,552898.0
2020-06-04,90.33,91.0,86.7,87.42,559712.0
2020-06-05,89.0,89.79,86.53,87.43,656877.0
2020-06-06,89.0,89.79,86.53,87.43,656877.0
2020-06-07,89.0,89.79,86.53,87.43,656877.0
2020-06-08,87.69,93.27,87.14,92.98,569821.0
2020-06-09,91.81,93.17,89.49,89.62,395359.0
2020-06-10,90.32,90.32,86.84,87.1,386361.0
2020-06-11,84.69,86.39,81.2103,83.22,437760.0
2020-06-12,86.71,87.5,81.97,84.21,382740.0
2020-06-13,86.71,87.5,81.97,84.21,382740.0
2020-06-14,86.71,87.5,81.97,84.21,382740.0
2020-06-15,81.81,86.99,81.13,86.45,310038.0
2020-06-16,90.02,90.49,86.9,89.22,420937.0
2020-06-17,89.57,89.83,87.78,88.16,298375.0
2020-06-18,87.48,89.57,87.48,88.26,358939.0
2020-06-19,89.74,89.81,87.64,88.53,761165.0
2020-06-20,89.74,89.81,87.64,88.53,761165.0
2020-06-21,89.74,89.81,87.64,88.53,761165.0
2020-06-22,88.63,92.52,87.79,92.13,450553.0
2020-06-23,92.76,95.08,92.36,93.33,508973.0
2020-06-24,92.12,93.38,89.29,91.1,490262.0
2020-06-25,90.94,92.72,90.03,92.63,351433.0
2020-06-26,92.52,93.25,90.65,91.04,792500.0
2020-06-27,92.52,93.25,90.65,91.04,792500.0
2020-06-28,92.52,93.25,90.65,91.04,792500.0
2020-06-29,91.66,94.0,90.61,93.96,403070.0
2020-06-30,93.23,95.25,92.99,94.2,484530.0
2020-07-01,94.08,94.08,90.0231,92.76,518410.0
2020-07-02,94.68,94.815,92.55,92.84,280838.0
2020-07-03,94.68,94.815,92.55,92.84,280838.0
2020-07-04,94.68,94.815,92.55,92.84,280838.0
2020-07-05,94.68,94.815,92.55,92.84,280838.0
2020-07-06,95.18,96.0,92.62,93.16,709921.0
2020-07-07,92.74,93.95,90.01,90.16,352570.0
2020-07-08,90.28,91.7,89.42,91.44,360289.0
2020-07-09,92.24,93.18,90.26,92.54,312376.0
2020-07-10,92.5,94.71,90.27,90.74,336486.0
2020-07-11,92.5,94.71,90.27,90.74,336486.0
2020-07-12,92.5,94.71,90.27,90.74,336486.0
2020-07-13,91.18,91.18,85.81,85.94,430066.0
2020-07-14,85.71,86.66,83.94,85.54,421101.0
2020-07-15,87.74,91.16,87.095,91.1,598694.0
2020-07-16,90.03,92.61,89.02,92.49,546668.0
2020-07-17,92.53,96.19,91.88,95.07,603121.0
2020-07-18,92.53,96.19,91.88,95.07,603121.0
2020-07-19,92.53,96.19,91.88,95.07,603121.0
2020-07-20,95.0,96.93,94.01,96.65,542232.0
2020-07-21,97.23,100.25,97.23,97.61,632810.0
2020-07-22,96.86,99.43,95.22,96.43,679762.0
2020-07-23,96.76,99.81,94.96,95.64,691244.0
2020-07-24,100.42,100.42,91.37,95.42,758459.0
2020-07-25,100.42,100.42,91.37,95.42,758459.0
2020-07-26,100.42,100.42,91.37,95.42,758459.0
2020-07-27,95.07,98.35,94.72,98.28,410657.0
2020-07-28,98.25,98.7,94.98,95.13,303962.0
2020-07-29,95.72,99.38,95.72,98.92,235449.0
2020-07-30,97.23,98.74,94.63,96.79,257606.0
2020-07-31,97.34,97.34,93.5,95.79,358573.0
2020-08-01,97.34,97.34,93.5,95.79,358573.0
2020-08-02,97.34,97.34,93.5,95.79,358573.0
2020-08-03,96.65,97.85,95.52,97.22,260729.0
2020-08-04,97.29,97.29,95.71,96.12,467931.0
2020-08-05,96.78,98.27,96.1,97.65,215075.0
2020-08-06,97.32,97.91,95.785,96.0,246979.0
2020-08-07,95.62,96.77,92.79,94.53,398082.0
2020-08-08,95.62,96.77,92.79,94.53,398082.0
2020-08-09,95.62,96.77,92.79,94.53,398082.0
2020-08-10,95.09,95.48,90.985,91.97,446308.0
2020-08-11,92.21,94.06,90.85,91.79,415265.0
2020-08-12,92.9,93.65,91.86,92.66,291533.0
2020-08-13,92.75,95.38,92.065,94.65,374857.0
2020-08-14,94.21,94.59,92.26,92.64,255132.0
2020-08-15,94.21,94.59,92.26,92.64,255132.0
2020-08-16,94.21,94.59,92.26,92.64,255132.0
2020-08-17,93.31,94.56,92.79,94.2,210604.0
2020-08-18,94.63,95.3749,93.27,94.26,193423.0
2020-08-19,94.71,95.41,93.26,93.5,269502.0
2020-08-20,92.53,95.2,92.13,94.63,268059.0
2020-08-21,94.59,94.59,93.42,94.13,196737.0
2020-08-22,94.59,94.59,93.42,94.13,196737.0
2020-08-23,94.59,94.59,93.42,94.13,196737.0
2020-08-24,95.34,95.47,94.0,94.9,197924.0
2020-08-25,95.45,97.8,94.44,96.12,220742.0
2020-08-26,96.8,98.49,96.15,97.55,239908.0
2020-08-27,98.19,98.545,96.83,97.85,271464.0
2020-08-28,98.75,100.21,98.3364,99.27,308890.0
2020-08-29,98.75,100.21,98.3364,99.27,308890.0
2020-08-30,98.75,100.21,98.3364,99.27,308890.0
2020-08-31,99.65,99.97,97.11,97.25,263937.0
2020-09-01,97.09,99.15,97.01,98.71,198350.0
2020-09-02,99.45,101.74,98.8,101.59,248069.0
2020-09-03,100.71,101.67,93.93,95.57,298471.0
2020-09-04,95.94,97.04,89.95,92.96,490641.0
2020-09-05,95.94,97.04,89.95,92.96,490641.0
2020-09-06,95.94,97.04,89.95,92.96,490641.0
2020-09-07,95.94,97.04,89.95,92.96,490641.0
2020-09-08,90.91,93.02,88.875,91.43,328476.0
2020-09-09,92.75,95.03,91.8,94.04,270196.0
2020-09-10,95.05,96.2,93.99,94.84,399168.0
2020-09-11,95.92,95.92,91.79,93.3,332701.0
2020-09-12,95.92,95.92,91.79,93.3,332701.0
2020-09-13,95.92,95.92,91.79,93.3,332701.0
2020-09-14,94.55,95.78,94.29,94.79,230636.0
2020-09-15,96.15,97.0,93.995,96.25,211197.0
2020-09-16,97.29,98.13,96.15,96.86,326217.0
2020-09-17,94.76,97.8,93.83,95.45,261748.0
2020-09-18,95.33,96.65,93.56,95.28,717818.0
2020-09-19,95.33,96.65,93.56,95.28,717818.0
2020-09-20,95.33,96.65,93.56,95.28,717818.0
2020-09-21,93.42,95.04,92.275,94.76,338783.0
2020-09-22,95.72,96.57,93.05,96.46,218133.0
2020-09-23,95.82,96.95,93.74,93.88,243123.0
2020-09-24,93.01,94.54,91.03,92.81,241055.0
2020-09-25,92.29,94.72,92.225,94.28,181858.0
2020-09-26,92.29,94.72,92.225,94.28,181858.0
2020-09-27,92.29,94.72,92.225,94.28,181858.0
2020-09-28,95.72,97.045,94.44,95.37,222155.0
2020-09-29,95.57,96.95,95.13,95.3,194781.0
2020-09-30,95.33,97.595,95.0,95.49,279294.0
2020-10-01,95.8,98.15,95.8,97.43,215455.0
2020-10-02,94.66,97.13,94.66,95.73,206519.0
2020-10-03,94.66,97.13,94.66,95.73,206519.0
2020-10-04,94.66,97.13,94.66,95.73,206519.0
2020-10-05,96.85,97.63,95.71,96.85,499538.0
2020-10-06,97.36,99.59,96.68,97.07,346423.0
2020-10-07,97.75,99.99,97.045,99.54,212613.0
2020-10-08,101.39,101.39,99.66,100.48,232867.0
2020-10-09,101.21,102.31,99.2279,102.0,160988.0
2020-10-10,101.21,102.31,99.2279,102.0,160988.0
2020-10-11,101.21,102.31,99.2279,102.0,160988.0
2020-10-12,103.0,103.86,102.0,103.76,157971.0
2020-10-13,103.92,105.0,101.77,104.03,291256.0
2020-10-14,104.04,106.17,102.565,103.27,242253.0
2020-10-15,101.97,104.67,101.23,104.36,233755.0
2020-10-16,104.3,104.56,101.575,101.95,270991.0
2020-10-17,104.3,104.56,101.575,101.95,270991.0
2020-10-18,104.3,104.56,101.575,101.95,270991.0
2020-10-19,102.36,102.86,99.43,99.88,324463.0
2020-10-20,100.24,101.79,97.12,97.54,360044.0
2020-10-21,98.33,101.34,97.81,98.71,400459.0
2020-10-22,98.35,104.12,98.35,103.52,593907.0
2020-10-23,98.0,104.18,95.91,97.51,1043685.0
2020-10-24,98.0,104.18,95.91,97.51,1043685.0
2020-10-25,98.0,104.18,95.91,97.51,1043685.0
2020-10-26,96.44,96.7,90.53,92.38,484516.0
2020-10-27,92.38,94.75,91.23,91.37,400287.0
2020-10-28,89.51,90.34,87.22,87.64,403667.0
2020-10-29,87.54,88.68,87.05,87.36,370081.0
2020-10-30,86.71,86.96,84.44,85.5,465544.0
2020-10-31,86.71,86.96,84.44,85.5,465544.0
2020-11-01,86.71,86.96,84.44,85.5,465544.0
2020-11-02,86.75,86.75,83.74,85.42,334796.0
2020-11-03,86.57,90.08,85.68,89.55,308790.0
2020-11-04,91.69,95.96,91.29,94.42,591942.0
2020-11-05,96.41,96.66,92.78,93.64,274228.0
2020-11-06,94.85,95.45,92.68,94.29,171117.0
2020-11-07,94.85,95.45,92.68,94.29,171117.0
2020-11-08,94.85,95.45,92.68,94.29,171117.0
2020-11-09,97.57,101.13,95.48,95.53,319978.0
2020-11-10,94.56,96.29,92.68,93.19,376066.0
2020-11-11,93.91,96.63,93.33,95.19,253470.0
2020-11-12,95.59,95.955,90.69,91.48,307829.0
2020-11-13,91.94,93.99,91.26,93.21,158642.0
2020-11-14,91.94,93.99,91.26,93.21,158642.0
2020-11-15,91.94,93.99,91.26,93.21,158642.0
2020-11-16,92.99,94.6,91.69,93.47,293909.0
2020-11-17,92.68,93.18,90.62,92.89,291122.0
2020-11-18,92.89,94.295,91.09,91.17,231615.0
2020-11-19,91.5,94.96,91.05,94.82,196265.0
2020-11-20,94.41,96.72,93.65,95.92,255482.0
2020-11-21,94.41,96.72,93.65,95.92,255482.0
2020-11-22,94.41,96.72,93.65,95.92,255482.0
2020-11-23,96.34,97.41,93.74,96.66,164450.0
2020-11-24,97.01,97.63,94.52,95.04,385620.0
2020-11-25,95.8,96.9,94.19,96.0,279791.0
2020-11-26,95.8,96.9,94.19,96.0,279791.0
2020-11-27,96.33,99.82,96.33,99.59,113849.0
2020-11-28,96.33,99.82,96.33,99.59,113849.0
2020-11-29,96.33,99.82,96.33,99.59,113849.0
2020-11-30,99.96,102.98,99.59,102.24,510640.0
2020-12-01,103.16,104.775,101.785,103.65,393850.0
2020-12-02,102.77,103.79,100.41,101.85,221132.0
2020-12-03,101.68,103.81,101.68,102.31,282087.0
2020-12-04,102.66,105.21,102.03,104.23,210225.0
2020-12-05,102.66,105.21,102.03,104.23,210225.0
2020-12-06,102.66,105.21,102.03,104.23,210225.0
2020-12-07,103.37,105.48,102.25,102.45,219233.0
2020-12-08,101.63,103.12,101.21,101.77,283044.0
2020-12-09,101.61,102.95,98.95,99.55,327817.0
2020-12-10,98.82,101.905,98.0,101.19,151580.0
2020-12-11,100.53,101.77,98.99,99.91,193980.0
2020-12-12,100.53,101.77,98.99,99.91,193980.0
2020-12-13,100.53,101.77,98.99,99.91,193980.0
2020-12-14,100.92,100.94,98.735,98.95,181464.0
2020-12-15,98.11,100.85,98.11,99.08,203796.0
2020-12-16,99.57,101.67,99.08,101.6,213252.0
2020-12-17,102.35,104.63,101.67,104.57,180553.0
2020-12-18,105.49,106.19,103.88,104.64,544442.0
2020-12-19,105.49,106.19,103.88,104.64,544442.0
2020-12-20,105.49,106.19,103.88,104.64,544442.0
2020-12-21,102.69,104.18,100.16,103.49,167602.0
2020-12-22,104.19,106.82,103.31,106.23,143990.0
2020-12-23,106.98,107.75,106.0,107.28,135275.0
2020-12-24,108.02,108.07,105.42,106.57,63546.0
2020-12-25,108.02,108.07,105.42,106.57,63546.0
2020-12-26,108.02,108.07,105.42,106.57,63546.0
2020-12-27,108.02,108.07,105.42,106.57,63546.0
2020-12-28,107.51,107.51,104.42,104.72,157234.0
2020-12-29,105.28,105.4,101.52,103.55,186648.0
2020-12-30,104.48,106.19,103.655,105.09,144840.0
2020-12-31,103.88,106.6,103.88,105.18,252732.0
2021-01-01,103.88,106.6,103.88,105.18,252732.0
2021-01-02,103.88,106.6,103.88,105.18,252732.0
2021-01-03,103.88,106.6,103.88,105.18,252732.0
2021-01-04,106.12,106.12,101.175,103.28,197798.0
2021-01-05,102.58,104.85,102.485,104.66,173537.0
2021-01-06,103.95,107.3175,102.8,106.54,375542.0
2021-01-07,107.75,109.685,106.32,109.32,215247.0
2021-01-08,110.35,111.96,109.295,111.21,232476.0
2021-01-09,110.35,111.96,109.295,111.21,232476.0
2021-01-10,110.35,111.96,109.295,111.21,232476.0
2021-01-11,109.82,114.31,109.705,114.0,457535.0
2021-01-12,113.98,116.715,113.38,116.5,335651.0
2021-01-13,116.88,117.62,112.725,113.09,277761.0
2021-01-14,114.03,118.06,113.76,114.81,210868.0
2021-01-15,113.99,116.04,112.15,114.26,183862.0
2021-01-16,113.99,116.04,112.15,114.26,183862.0
2021-01-17,113.99,116.04,112.15,114.26,183862.0
2021-01-18,113.99,116.04,112.15,114.26,183862.0
2021-01-19,115.8,115.895,113.18,114.77,237689.0
2021-01-20,115.59,118.85,115.59,118.21,339250.0
2021-01-21,119.04,119.995,117.655,118.21,279451.0
2021-01-22,118.03,118.37,115.245,118.21,244746.0
2021-01-23,118.03,118.37,115.245,118.21,244746.0
2021-01-24,118.03,118.37,115.245,118.21,244746.0
2021-01-25,118.89,119.94,115.52,118.06,353024.0
2021-01-26,119.0,119.675,117.395,118.51,438280.0
2021-01-27,117.49,120.28,115.55,116.89,589762.0
2021-01-28,117.36,117.83,114.25,115.78,431234.0
2021-01-29,116.03,116.055,111.8,113.23,423510.0
2021-01-30,116.03,116.055,111.8,113.23,423510.0
2021-01-31,116.03,116.055,111.8,113.23,423510.0
2021-02-01,114.26,116.75,112.43,115.37,218154.0
2021-02-02,116.23,118.4,114.98,116.61,361359.0
2021-02-03,125.46,132.35,114.3011,119.41,1172240.0
2021-02-04,119.21,127.18,119.1,126.44,695715.0
2021-02-05,126.77,130.77,125.005,130.46,382216.0
2021-02-06,126.77,130.77,125.005,130.46,382216.0
2021-02-07,126.77,130.77,125.005,130.46,382216.0
2021-02-08,131.46,134.92,130.87,134.49,386153.0
2021-02-09,134.38,139.45,133.43,139.23,479407.0
2021-02-10,140.18,143.18,138.11,142.26,584018.0
2021-02-11,142.92,146.5,142.18,144.14,558939.0
2021-02-12,143.77,144.285,138.7575,139.55,493108.0
2021-02-13,143.77,144.285,138.7575,139.55,493108.0
2021-02-14,143.77,144.285,138.7575,139.55,493108.0
2021-02-15,143.77,144.285,138.7575,139.55,493108.0
2021-02-16,139.74,140.88,135.44,136.14,436044.0
2021-02-17,134.4,135.03,132.17,134.8,211280.0
2021-02-18,133.8,134.74,131.51,133.42,307603.0
2021-02-19,134.39,134.68,131.71,132.21,275682.0
2021-02-20,134.39,134.68,131.71,132.21,275682.0
2021-02-21,134.39,134.68,131.71,132.21,275682.0
2021-02-22,130.69,130.69,126.99,127.32,413063.0
2021-02-23,124.83,127.655,119.74,124.12,390031.0
2021-02-24,123.65,125.22,121.91,124.85,330195.0
2021-02-25,124.04,124.96,119.71,120.06,403412.0
2021-02-26,121.25,123.83,119.02,122.95,587048.0
2021-02-27,121.25,123.83,119.02,122.95,587048.0
2021-02-28,121.25,123.83,119.02,122.95,587048.0
2021-03-01,125.46,130.12,124.34,129.87,550979.0
2021-03-02,129.87,129.87,126.37,126.7,282231.0
2021-03-03,126.84,127.28,119.95,120.11,301000.0
2021-03-04,119.68,120.82,112.29,114.36,418998.0
2021-03-05,115.88,118.46,110.11,118.02,461148.0
2021-03-06,115.88,118.46,110.11,118.02,461148.0
2021-03-07,115.88,118.46,110.11,118.02,461148.0
2021-03-08,117.8,120.18,113.08,113.27,351763.0
2021-03-09,117.31,119.6,115.93,118.44,340296.0
2021-03-10,120.33,122.82,118.97,119.06,293820.0
2021-03-11,121.29,122.83,120.58,122.42,281934.0
2021-03-12,119.95,122.89,119.21,122.67,198206.0
2021-03-13,119.95,122.89,119.21,122.67,198206.0
2021-03-14,119.95,122.89,119.21,122.67,198206.0
2021-03-15,123.43,126.26,123.04,125.71,207152.0
2021-03-16,126.7,128.28,124.21,125.11,287141.0
2021-03-17,124.19,126.68,121.915,125.45,190777.0
2021-03-18,123.16,124.32,118.17,118.55,235148.0
2021-03-19,117.69,122.1,116.61,119.19,702808.0
2021-03-20,117.69,122.1,116.61,119.19,702808.0
2021-03-21,117.69,122.1,116.61,119.19,702808.0
2021-03-22,120.64,123.29,120.64,120.86,239037.0
2021-03-23,120.37,121.45,116.91,117.79,210457.0
2021-03-24,118.35,119.29,115.435,115.66,171767.0
2021-03-25,114.35,117.9,113.09,117.31,228443.0
2021-03-26,117.74,119.57,116.055,118.88,360255.0
2021-03-27,117.74,119.57,116.055,118.88,360255.0
2021-03-28,117.74,119.57,116.055,118.88,360255.0
2021-03-29,118.57,120.55,114.37,116.26,329932.0
2021-03-30,115.58,117.8,113.38,117.35,334557.0
2021-03-31,118.7,119.905,116.3094,117.38,465586.0
2021-04-01,119.02,122.5,119.02,120.9,306523.0
2021-04-02,119.02,122.5,119.02,120.9,306523.0
2021-04-03,119.02,122.5,119.02,120.9,306523.0
2021-04-04,119.02,122.5,119.02,120.9,306523.0
2021-04-05,122.02,123.34,119.14,119.71,481661.0
2021-04-06,119.51,122.9,118.82,120.55,569627.0
2021-04-07,120.12,120.12,115.88,116.89,359748.0
2021-04-08,118.29,119.63,116.37,118.4,448303.0
2021-04-09,117.73,121.9,116.19,121.59,271499.0
2021-04-10,117.73,121.9,116.19,121.59,271499.0
2021-04-11,117.73,121.9,116.19,121.59,271499.0
2021-04-12,121.29,123.07,119.63,121.96,199599.0
2021-04-13,122.5,124.32,121.6,123.13,260960.0
2021-04-14,124.93,124.93,121.33,121.57,169777.0
2021-04-15,123.26,123.71,120.8,122.3,281737.0
2021-04-16,123.14,124.2,120.68,123.73,256214.0
2021-04-17,123.14,124.2,120.68,123.73,256214.0
2021-04-18,123.14,124.2,120.68,123.73,256214.0
2021-04-19,122.8,124.88,120.53,122.08,297119.0
2021-04-20,121.74,122.37,118.41,120.83,191508.0
2021-04-21,120.56,123.72,120.15,122.61,299348.0
2021-04-22,123.04,124.39,121.12,122.93,317141.0
2021-04-23,123.23,124.77,121.81,124.24,277216.0
2021-04-24,123.23,124.77,121.81,124.24,277216.0
2021-04-25,123.23,124.77,121.81,124.24,277216.0
2021-04-26,125.0,129.16,123.61,128.27,439026.0
2021-04-27,128.27,129.91,125.42,128.31,463684.0
2021-04-28,133.0,145.5747,130.05,144.02,1463128.0
2021-04-29,143.36,146.835,138.69,141.98,660874.0
2021-04-30,140.91,142.6145,136.64,137.24,372163.0
2021-05-01,140.91,142.6145,136.64,137.24,372163.0
2021-05-02,140.91,142.6145,136.64,137.24,372163.0
2021-05-03,137.79,138.07,134.72,136.43,359241.0
2021-05-04,135.09,135.39,131.51,134.94,444257.0
2021-05-05,136.56,137.44,133.46,133.9,297056.0
2021-05-06,131.6,134.54,129.83,132.08,433916.0
2021-05-07,133.0,135.67,132.1401,132.86,493671.0
