,MTZ US Equity,MTZ US Equity,MTZ US Equity,MTZ US Equity,MTZ US Equity
2019-08-21,61.55,62.32,61.21,61.94,732405.0
2019-08-22,62.16,62.26,61.1,61.16,542341.0
2019-08-23,60.62,61.77,59.9664,60.51,527103.0
2019-08-24,60.62,61.77,59.9664,60.51,527103.0
2019-08-25,60.62,61.77,59.9664,60.51,527103.0
2019-08-26,60.98,61.17,60.21,60.61,540612.0
2019-08-27,61.29,61.4,59.78,59.83,717807.0
2019-08-28,59.76,61.85,59.31,61.49,636987.0
2019-08-29,62.16,63.09,61.95,62.75,576214.0
2019-08-30,63.22,63.72,62.45,62.87,657940.0
2019-08-31,63.22,63.72,62.45,62.87,657940.0
2019-09-01,63.22,63.72,62.45,62.87,657940.0
2019-09-02,63.22,63.72,62.45,62.87,657940.0
2019-09-03,62.47,62.6799,61.33,62.05,834659.0
2019-09-04,63.42,64.23,63.03,63.58,1169054.0
2019-09-05,63.96,64.74,63.35,63.56,1076189.0
2019-09-06,63.57,64.3664,63.23,63.67,710363.0
2019-09-07,63.57,64.3664,63.23,63.67,710363.0
2019-09-08,63.57,64.3664,63.23,63.67,710363.0
2019-09-09,64.1,64.7,63.47,64.28,670112.0
2019-09-10,64.24,64.98,63.58,64.95,789579.0
2019-09-11,65.29,65.57,63.87,64.0,1202131.0
2019-09-12,63.94,64.69,63.28,63.63,863341.0
2019-09-13,63.92,64.48,63.54,64.18,620274.0
2019-09-14,63.92,64.48,63.54,64.18,620274.0
2019-09-15,63.92,64.48,63.54,64.18,620274.0
2019-09-16,64.3,66.5,64.3,66.36,1012817.0
2019-09-17,66.0,66.61,64.51,65.35,1554120.0
2019-09-18,65.49,65.7,64.0,64.85,920232.0
2019-09-19,64.94,65.29,64.36,64.53,876075.0
2019-09-20,64.61,64.68,62.62,63.17,1492895.0
2019-09-21,64.61,64.68,62.62,63.17,1492895.0
2019-09-22,64.61,64.68,62.62,63.17,1492895.0
2019-09-23,62.75,64.2,62.75,63.67,536447.0
2019-09-24,63.71,64.27,63.03,63.67,471646.0
2019-09-25,63.52,65.18,63.52,64.99,573094.0
2019-09-26,64.9,65.42,64.33,65.08,424188.0
2019-09-27,65.25,65.48,64.16,64.5,518134.0
2019-09-28,65.25,65.48,64.16,64.5,518134.0
2019-09-29,65.25,65.48,64.16,64.5,518134.0
2019-09-30,64.35,65.28,63.12,64.93,536398.0
2019-10-01,65.42,65.91,63.59,63.61,621197.0
2019-10-02,63.06,63.53,62.55,63.23,606565.0
2019-10-03,63.05,63.36,62.07,63.19,593425.0
2019-10-04,63.13,63.32,62.24,63.31,859652.0
2019-10-05,63.13,63.32,62.24,63.31,859652.0
2019-10-06,63.13,63.32,62.24,63.31,859652.0
2019-10-07,63.31,65.03,63.19,64.32,872182.0
2019-10-08,63.71,64.6,63.0,64.03,661430.0
2019-10-09,64.73,64.92,64.005,64.25,432413.0
2019-10-10,64.3,66.0583,64.19,64.8,904091.0
2019-10-11,66.0,67.31,65.6,65.68,754910.0
2019-10-12,66.0,67.31,65.6,65.68,754910.0
2019-10-13,66.0,67.31,65.6,65.68,754910.0
2019-10-14,65.55,66.3677,64.88,66.25,633165.0
2019-10-15,66.3,66.83,65.93,66.7,768528.0
2019-10-16,66.58,67.4033,66.58,66.95,980239.0
2019-10-17,67.0,67.98,66.74,67.56,920122.0
2019-10-18,67.29,68.09,66.9,67.85,613991.0
2019-10-19,67.29,68.09,66.9,67.85,613991.0
2019-10-20,67.29,68.09,66.9,67.85,613991.0
2019-10-21,68.31,68.72,67.7963,67.97,659696.0
2019-10-22,68.11,68.9331,66.54,68.36,979367.0
2019-10-23,68.5,68.55,67.27,67.68,707952.0
2019-10-24,66.0,66.61,64.45,65.28,1337671.0
2019-10-25,65.01,65.3,63.85,65.15,1182163.0
2019-10-26,65.01,65.3,63.85,65.15,1182163.0
2019-10-27,65.01,65.3,63.85,65.15,1182163.0
2019-10-28,64.9,65.2,63.2981,63.89,1174671.0
2019-10-29,64.0,66.66,63.8,65.74,1164031.0
2019-10-30,65.72,65.72,64.35,64.5,960471.0
2019-10-31,64.16,64.72,61.91,62.94,1606625.0
2019-11-01,61.82,69.34,61.29,68.46,2424310.0
2019-11-02,61.82,69.34,61.29,68.46,2424310.0
2019-11-03,61.82,69.34,61.29,68.46,2424310.0
2019-11-04,68.83,71.54,66.98,71.45,1551795.0
2019-11-05,72.22,73.71,72.06,72.82,1140655.0
2019-11-06,72.62,72.8,71.33,71.65,1067981.0
2019-11-07,71.93,73.06,70.66,70.85,722830.0
2019-11-08,70.69,71.6,70.13,70.71,813103.0
2019-11-09,70.69,71.6,70.13,70.71,813103.0
2019-11-10,70.69,71.6,70.13,70.71,813103.0
2019-11-11,70.16,71.54,69.82,70.6,600703.0
2019-11-12,70.5,71.12,70.12,70.35,474534.0
2019-11-13,70.0,71.62,69.7,71.02,596266.0
2019-11-14,70.68,72.1466,70.68,70.84,484664.0
2019-11-15,72.61,72.71,71.4,71.96,901861.0
2019-11-16,72.61,72.71,71.4,71.96,901861.0
2019-11-17,72.61,72.71,71.4,71.96,901861.0
2019-11-18,71.52,72.7,70.5909,72.41,684543.0
2019-11-19,72.28,72.66,70.96,71.0,512995.0
2019-11-20,69.22,69.22,64.8253,66.6,2981122.0
2019-11-21,67.01,67.11,63.94,65.09,1622011.0
2019-11-22,65.75,66.4,64.5474,64.6,711622.0
2019-11-23,65.75,66.4,64.5474,64.6,711622.0
2019-11-24,65.75,66.4,64.5474,64.6,711622.0
2019-11-25,64.96,66.67,64.79,65.92,1232533.0
2019-11-26,65.92,67.02,65.4717,66.81,822603.0
2019-11-27,67.08,67.8495,67.0,67.53,500876.0
2019-11-28,67.08,67.8495,67.0,67.53,500876.0
2019-11-29,67.15,67.16,66.31,66.34,312154.0
2019-11-30,67.15,67.16,66.31,66.34,312154.0
2019-12-01,67.15,67.16,66.31,66.34,312154.0
2019-12-02,66.42,66.79,64.81,64.94,746095.0
2019-12-03,64.24,64.3742,63.3274,63.57,792298.0
2019-12-04,64.28,65.2,63.49,63.52,824249.0
2019-12-05,63.59,64.06,62.22,62.88,893573.0
2019-12-06,63.36,64.18,61.93,62.51,1159991.0
2019-12-07,63.36,64.18,61.93,62.51,1159991.0
2019-12-08,63.36,64.18,61.93,62.51,1159991.0
2019-12-09,62.1,62.42,61.67,62.02,1171759.0
2019-12-10,61.96,61.96,59.845,60.84,1866595.0
2019-12-11,60.84,61.3995,60.08,60.09,1131106.0
2019-12-12,60.18,62.46,60.0,61.0,1221528.0
2019-12-13,60.9,61.12,60.0,60.41,924504.0
2019-12-14,60.9,61.12,60.0,60.41,924504.0
2019-12-15,60.9,61.12,60.0,60.41,924504.0
2019-12-16,60.78,62.37,60.57,61.71,847083.0
2019-12-17,61.81,63.21,61.42,62.89,1309077.0
2019-12-18,62.96,63.32,62.0,62.98,1049278.0
2019-12-19,62.73,63.94,62.475,63.56,853622.0
2019-12-20,63.94,65.0704,63.67,64.77,2021168.0
2019-12-21,63.94,65.0704,63.67,64.77,2021168.0
2019-12-22,63.94,65.0704,63.67,64.77,2021168.0
2019-12-23,64.93,65.38,64.48,64.99,747547.0
2019-12-24,65.23,65.27,63.99,64.24,398284.0
2019-12-25,65.23,65.27,63.99,64.24,398284.0
2019-12-26,64.51,64.56,64.015,64.49,356853.0
2019-12-27,64.59,64.65,63.49,63.76,786474.0
2019-12-28,64.59,64.65,63.49,63.76,786474.0
2019-12-29,64.59,64.65,63.49,63.76,786474.0
2019-12-30,63.57,64.83,63.11,64.6,542630.0
2019-12-31,64.45,64.6,64.03,64.16,834833.0
2020-01-01,64.45,64.6,64.03,64.16,834833.0
2020-01-02,64.62,65.0,63.355,63.69,720529.0
2020-01-03,63.2,63.91,62.93,63.75,494772.0
2020-01-04,63.2,63.91,62.93,63.75,494772.0
2020-01-05,63.2,63.91,62.93,63.75,494772.0
2020-01-06,63.68,64.64,63.11,64.34,772235.0
2020-01-07,63.91,64.2628,63.15,63.37,644524.0
2020-01-08,63.34,63.6,63.02,63.19,830304.0
2020-01-09,63.24,63.35,62.23,62.23,728363.0
2020-01-10,62.09,62.5,61.55,61.71,667929.0
2020-01-11,62.09,62.5,61.55,61.71,667929.0
2020-01-12,62.09,62.5,61.55,61.71,667929.0
2020-01-13,61.75,62.51,61.19,62.34,572281.0
2020-01-14,62.33,63.41,62.02,63.34,514952.0
2020-01-15,63.01,64.17,62.8693,63.28,436289.0
2020-01-16,63.79,64.78,63.58,63.81,519316.0
2020-01-17,64.14,64.25,63.35,63.75,754209.0
2020-01-18,64.14,64.25,63.35,63.75,754209.0
2020-01-19,64.14,64.25,63.35,63.75,754209.0
2020-01-20,64.14,64.25,63.35,63.75,754209.0
2020-01-21,63.57,63.74,63.01,63.32,605715.0
2020-01-22,63.39,63.71,63.13,63.5,433923.0
2020-01-23,63.16,63.16,61.685,62.52,550338.0
2020-01-24,62.43,62.6874,60.48,60.94,520172.0
2020-01-25,62.43,62.6874,60.48,60.94,520172.0
2020-01-26,62.43,62.6874,60.48,60.94,520172.0
2020-01-27,59.77,60.8,58.77,59.83,791644.0
2020-01-28,59.92,60.2,57.66,58.51,1082171.0
2020-01-29,58.25,58.52,57.66,58.2,637416.0
2020-01-30,57.73,59.365,57.09,58.47,628615.0
2020-01-31,58.45,58.8,57.42,57.75,873702.0
2020-02-01,58.45,58.8,57.42,57.75,873702.0
2020-02-02,58.45,58.8,57.42,57.75,873702.0
2020-02-03,57.85,58.48,57.455,57.73,727607.0
2020-02-04,58.64,59.1,57.32,58.29,670775.0
2020-02-05,59.05,59.37,57.95,58.69,506385.0
2020-02-06,59.04,59.1,57.02,57.38,569489.0
2020-02-07,57.04,57.605,56.4733,56.86,574321.0
2020-02-08,57.04,57.605,56.4733,56.86,574321.0
2020-02-09,57.04,57.605,56.4733,56.86,574321.0
2020-02-10,56.19,57.05,55.7,56.61,726157.0
2020-02-11,57.16,59.79,56.95,59.5,998476.0
2020-02-12,59.65,60.885,59.37,60.54,983077.0
2020-02-13,60.09,60.99,59.5,60.75,687151.0
2020-02-14,61.0,61.0,59.74,60.5,328818.0
2020-02-15,61.0,61.0,59.74,60.5,328818.0
2020-02-16,61.0,61.0,59.74,60.5,328818.0
2020-02-17,61.0,61.0,59.74,60.5,328818.0
2020-02-18,60.31,60.96,60.02,60.56,522992.0
2020-02-19,60.83,61.9,60.5,61.42,733814.0
2020-02-20,61.25,62.27,60.89,61.51,683679.0
2020-02-21,61.25,61.62,60.3348,61.6,464150.0
2020-02-22,61.25,61.62,60.3348,61.6,464150.0
2020-02-23,61.25,61.62,60.3348,61.6,464150.0
2020-02-24,59.5,59.66,57.74,58.66,1108459.0
2020-02-25,58.65,58.66,55.97,56.0,945479.0
2020-02-26,55.79,56.475,51.69,53.3,1906210.0
2020-02-27,52.1,54.04,50.68,52.38,1725858.0
2020-02-28,49.49,51.54,46.76,49.08,3969574.0
2020-02-29,49.49,51.54,46.76,49.08,3969574.0
2020-03-01,49.49,51.54,46.76,49.08,3969574.0
2020-03-02,49.0,50.74,47.63,50.71,1794905.0
2020-03-03,51.03,53.55,48.69,49.3,1549611.0
2020-03-04,50.75,51.26,49.865,50.93,937948.0
2020-03-05,49.12,50.12,48.33,48.75,1018607.0
2020-03-06,46.4,47.365,45.65,46.36,1830747.0
2020-03-07,46.4,47.365,45.65,46.36,1830747.0
2020-03-08,46.4,47.365,45.65,46.36,1830747.0
2020-03-09,43.01,43.01,37.72,37.73,2438045.0
2020-03-10,39.53,39.658,34.4814,37.43,3109591.0
2020-03-11,35.83,36.48,33.12,33.82,3540613.0
2020-03-12,30.33,30.52,26.65,26.67,2677213.0
2020-03-13,28.94,29.66,26.33,28.5,2421441.0
2020-03-14,28.94,29.66,26.33,28.5,2421441.0
2020-03-15,28.94,29.66,26.33,28.5,2421441.0
2020-03-16,25.11,30.39,25.01,27.6,2111812.0
2020-03-17,27.84,29.01,26.0301,26.49,2577798.0
2020-03-18,24.71,25.55,22.51,23.36,2001514.0
2020-03-19,23.43,27.36,22.55,27.27,2064950.0
2020-03-20,27.88,31.86,26.64,26.74,2900669.0
2020-03-21,27.88,31.86,26.64,26.74,2900669.0
2020-03-22,27.88,31.86,26.64,26.74,2900669.0
2020-03-23,26.85,27.56,24.85,26.0,1602223.0
2020-03-24,27.44,28.95,26.69,28.66,1261870.0
2020-03-25,29.06,31.85,28.01,29.6,1384316.0
2020-03-26,30.31,31.87,29.53,31.68,1233449.0
2020-03-27,30.24,31.28,29.14,29.5,2085736.0
2020-03-28,30.24,31.28,29.14,29.5,2085736.0
2020-03-29,30.24,31.28,29.14,29.5,2085736.0
2020-03-30,29.45,31.13,27.09,30.95,847632.0
2020-03-31,31.08,33.265,30.86,32.73,1615256.0
2020-04-01,31.02,32.17,28.39,28.91,1303403.0
2020-04-02,28.77,32.23,28.77,30.8,1325924.0
2020-04-03,30.53,31.14,29.04,30.41,912278.0
2020-04-04,30.53,31.14,29.04,30.41,912278.0
2020-04-05,30.53,31.14,29.04,30.41,912278.0
2020-04-06,32.11,34.16,31.82,33.18,1292564.0
2020-04-07,35.01,36.36,34.12,34.77,1924980.0
2020-04-08,35.83,38.47,35.21,37.67,1954283.0
2020-04-09,39.47,40.86,38.1,38.79,1562481.0
2020-04-10,39.47,40.86,38.1,38.79,1562481.0
2020-04-11,39.47,40.86,38.1,38.79,1562481.0
2020-04-12,39.47,40.86,38.1,38.79,1562481.0
2020-04-13,37.77,38.12,35.945,36.33,962471.0
2020-04-14,37.42,38.21,35.88,35.97,1040026.0
2020-04-15,33.99,34.13,32.185,33.24,1144405.0
2020-04-16,32.85,33.37,32.321,33.22,1138973.0
2020-04-17,34.51,35.845,34.31,34.8,1413518.0
2020-04-18,34.51,35.845,34.31,34.8,1413518.0
2020-04-19,34.51,35.845,34.31,34.8,1413518.0
2020-04-20,33.55,33.59,31.83,32.18,1709273.0
2020-04-21,31.06,31.74,30.52,30.66,924585.0
2020-04-22,31.67,31.785,30.29,30.71,826611.0
2020-04-23,31.89,33.42,31.49,32.46,909644.0
2020-04-24,32.19,33.48,32.0,33.23,783895.0
2020-04-25,32.19,33.48,32.0,33.23,783895.0
2020-04-26,32.19,33.48,32.0,33.23,783895.0
2020-04-27,33.36,34.88,32.62,34.44,778536.0
2020-04-28,35.71,36.205,34.735,35.91,806468.0
2020-04-29,37.51,39.0,36.79,37.93,1114136.0
2020-04-30,37.25,37.5,35.62,35.9,1000475.0
2020-05-01,39.4,40.97,36.0901,37.13,1897613.0
2020-05-02,39.4,40.97,36.0901,37.13,1897613.0
