,MGY US Equity,MGY US Equity,MGY US Equity,MGY US Equity,MGY US Equity
2020-09-10,5.4915,5.6246,5.4725,5.5675,2221721.0
2020-09-11,5.5961,5.7576,5.4915,5.6436,2476357.0
2020-09-12,5.5961,5.7576,5.4915,5.6436,2476357.0
2020-09-13,5.5961,5.7576,5.4915,5.6436,2476357.0
2020-09-14,5.6436,5.6816,5.3585,5.6056,1566325.0
2020-09-15,5.6531,5.7481,5.5628,5.5961,1525459.0
2020-09-16,5.6341,5.9856,5.5865,5.7671,2783034.0
2020-09-17,5.6531,6.0806,5.6151,5.9571,2173277.0
2020-09-18,5.9951,6.0616,5.7386,5.7956,3066655.0
2020-09-19,5.9951,6.0616,5.7386,5.7956,3066655.0
2020-09-20,5.9951,6.0616,5.7386,5.7956,3066655.0
2020-09-21,5.6436,5.6436,5.2445,5.273,2353114.0
2020-09-22,5.3015,5.4013,5.197,5.2255,2154405.0
2020-09-23,5.235,5.3015,4.893,4.893,1411292.0
2020-09-24,5.0165,5.2683,4.874,5.1115,2652422.0
2020-09-25,5.007,5.3015,4.988,5.216,2030315.0
2020-09-26,5.007,5.3015,4.988,5.216,2030315.0
2020-09-27,5.007,5.3015,4.988,5.216,2030315.0
2020-09-28,5.311,5.406,5.1733,5.3205,1293090.0
2020-09-29,5.273,5.3015,4.9927,5.178,1318172.0
2020-09-30,5.2255,5.2445,4.8835,4.912,1766288.0
2020-10-01,4.8265,4.912,4.7505,4.836,2486142.0
2020-10-02,4.703,5.1305,4.627,5.026,2604115.0
2020-10-03,4.703,5.1305,4.627,5.026,2604115.0
2020-10-04,4.703,5.1305,4.627,5.026,2604115.0
2020-10-05,5.1495,5.292,5.1068,5.1305,1576317.0
2020-10-06,5.273,5.3965,4.8455,4.855,1796939.0
2020-10-07,4.874,5.0165,4.8455,4.9975,1501536.0
2020-10-08,5.0545,5.121,4.9215,5.083,1793252.0
2020-10-09,5.14,5.216,4.855,4.9025,1310600.0
2020-10-10,5.14,5.216,4.855,4.9025,1310600.0
2020-10-11,5.14,5.216,4.855,4.9025,1310600.0
2020-10-12,4.836,4.9025,4.7077,4.8645,2121695.0
2020-10-13,4.779,4.9215,4.7695,4.8075,892390.0
2020-10-14,4.7695,5.0735,4.7695,4.8835,1356904.0
2020-10-15,4.779,4.988,4.7077,4.988,859745.0
2020-10-16,4.95,4.9975,4.7647,4.7695,818952.0
2020-10-17,4.95,4.9975,4.7647,4.7695,818952.0
2020-10-18,4.95,4.9975,4.7647,4.7695,818952.0
2020-10-19,4.7695,4.817,4.6365,4.684,1482738.0
2020-10-20,4.7125,4.8265,4.6555,4.741,846711.0
2020-10-21,4.703,4.8835,4.6745,4.741,1244676.0
2020-10-22,4.798,4.9785,4.722,4.9405,1352101.0
2020-10-23,4.9595,5.0165,4.7315,4.7695,1352272.0
2020-10-24,4.9595,5.0165,4.7315,4.7695,1352272.0
2020-10-25,4.9595,5.0165,4.7315,4.7695,1352272.0
2020-10-26,4.6555,4.6934,4.3989,4.4844,1714848.0
2020-10-27,4.4464,4.5414,4.3657,4.4654,1002185.0
2020-10-28,4.3324,4.3704,4.1329,4.1329,1621662.0
2020-10-29,4.0854,4.2659,3.9571,4.2279,1551052.0
2020-10-30,4.1994,4.2184,4.0426,4.1234,1233360.0
2020-10-31,4.1994,4.2184,4.0426,4.1234,1233360.0
2020-11-01,4.1994,4.2184,4.0426,4.1234,1233360.0
2020-11-02,4.1804,4.3419,4.0391,4.3039,1385952.0
2020-11-03,4.4274,4.495,4.2137,4.2184,1231915.0
2020-11-04,4.1804,4.2659,3.9239,3.9334,1679367.0
2020-11-05,3.9714,4.1424,3.8859,3.9239,1692334.0
2020-11-06,4.1614,4.2564,3.9001,3.9619,3365422.0
2020-11-07,4.1614,4.2564,3.9001,3.9619,3365422.0
2020-11-08,4.1614,4.2564,3.9001,3.9619,3365422.0
2020-11-09,4.4654,5.0154,4.4654,4.741,3973754.0
2020-11-10,4.8645,4.969,4.6555,4.893,2883032.0
2020-11-11,4.969,5.045,4.8122,4.9405,2176185.0
2020-11-12,4.798,5.0878,4.779,4.893,2069377.0
2020-11-13,4.95,5.197,4.9025,5.1685,1325316.0
2020-11-14,4.95,5.197,4.9025,5.1685,1325316.0
2020-11-15,4.95,5.197,4.9025,5.1685,1325316.0
2020-11-16,5.4345,5.5675,5.3253,5.558,1856096.0
2020-11-17,5.444,5.8621,5.3775,5.7196,1831954.0
2020-11-18,5.8051,5.9761,5.482,5.482,1941358.0
2020-11-19,5.463,5.6721,5.4155,5.6721,1253800.0
2020-11-20,5.6056,5.7956,5.5675,5.7006,1681734.0
2020-11-21,5.6056,5.7956,5.5675,5.7006,1681734.0
2020-11-22,5.6056,5.7956,5.5675,5.7006,1681734.0
2020-11-23,5.8241,6.4089,5.8146,6.2991,3363843.0
2020-11-24,6.6887,6.7789,6.4464,6.6222,2301922.0
2020-11-25,6.4986,6.6934,6.4701,6.5556,1685492.0
2020-11-26,6.4986,6.6934,6.4701,6.5556,1685492.0
2020-11-27,6.4606,6.6602,6.4606,6.6507,1244748.0
2020-11-28,6.4606,6.6602,6.4606,6.6507,1244748.0
2020-11-29,6.4606,6.6602,6.4606,6.6507,1244748.0
2020-11-30,6.3941,6.4036,5.9381,5.9381,2143285.0
2020-12-01,6.1376,6.1614,5.8906,5.9191,1944415.0
2020-12-02,5.8051,6.4036,5.7673,6.1376,1852859.0
2020-12-03,6.2326,6.4606,6.1756,6.4226,3524271.0
2020-12-04,6.5936,7.0687,6.5936,7.0402,1904117.0
2020-12-05,6.5936,7.0687,6.5936,7.0402,1904117.0
2020-12-06,6.5936,7.0687,6.5936,7.0402,1904117.0
2020-12-07,7.0022,7.1067,6.7932,6.9642,1963477.0
2020-12-08,6.9452,7.1827,6.9357,7.1257,1220966.0
2020-12-09,7.2397,7.33,7.0402,7.1922,1542102.0
2020-12-10,7.1257,7.6483,7.1257,7.6483,1418827.0
2020-12-11,7.6007,7.6388,7.1447,7.3347,1588370.0
2020-12-12,7.6007,7.6388,7.1447,7.3347,1588370.0
2020-12-13,7.6007,7.6388,7.1447,7.3347,1588370.0
2020-12-14,7.5152,7.5247,7.1257,7.1257,1205562.0
2020-12-15,7.2397,7.3347,7.0972,7.2872,1222992.0
2020-12-16,7.4487,7.4487,7.1732,7.1732,1531643.0
2020-12-17,7.2397,7.3537,7.0307,7.2492,1478260.0
2020-12-18,7.2682,7.3822,7.0639,7.0972,3134116.0
2020-12-19,7.2682,7.3822,7.0639,7.0972,3134116.0
2020-12-20,7.2682,7.3822,7.0639,7.0972,3134116.0
2020-12-21,6.6887,7.1162,6.6602,6.9832,1430609.0
2020-12-22,6.9072,6.9642,6.6792,6.6792,1113775.0
2020-12-23,6.8122,7.2207,6.7172,7.1542,1049690.0
2020-12-24,7.1352,7.1352,6.9262,6.9927,383509.0
2020-12-25,7.1352,7.1352,6.9262,6.9927,383509.0
2020-12-26,7.1352,7.1352,6.9262,6.9927,383509.0
2020-12-27,7.1352,7.1352,6.9262,6.9927,383509.0
2020-12-28,6.9832,7.0972,6.8977,6.9452,1447847.0
2020-12-29,7.0117,7.0782,6.7884,6.7932,900049.0
2020-12-30,6.8122,7.1495,6.8122,7.0402,903954.0
2020-12-31,6.9547,7.0212,6.7077,6.7077,1233504.0
2021-01-01,6.9547,7.0212,6.7077,6.7077,1233504.0
2021-01-02,6.9547,7.0212,6.7077,6.7077,1233504.0
2021-01-03,6.9547,7.0212,6.7077,6.7077,1233504.0
2021-01-04,6.8502,6.9452,6.6887,6.8977,1271766.0
2021-01-05,7.0212,7.615,6.9927,7.5532,4071212.0
2021-01-06,7.6958,7.9523,7.539,7.9428,1872963.0
2021-01-07,8.0188,8.1803,7.8858,8.0758,1386036.0
2021-01-08,8.1613,8.1708,7.9238,8.0378,1329985.0
2021-01-09,8.1613,8.1708,7.9238,8.0378,1329985.0
2021-01-10,8.1613,8.1708,7.9238,8.0378,1329985.0
2021-01-11,7.7718,8.2848,7.7718,8.2848,1208315.0
2021-01-12,8.4938,8.7219,8.3798,8.5128,7562129.0
2021-01-13,8.5413,8.5413,8.109,8.2563,2699425.0
2021-01-14,8.3038,8.6363,8.2658,8.5128,3793378.0
2021-01-15,8.2943,8.5603,8.2088,8.3038,3787078.0
2021-01-16,8.2943,8.5603,8.2088,8.3038,3787078.0
2021-01-17,8.2943,8.5603,8.2088,8.3038,3787078.0
2021-01-18,8.2943,8.5603,8.2088,8.3038,3787078.0
2021-01-19,8.5508,8.6363,8.3798,8.5698,2900919.0
2021-01-20,8.6554,8.9405,8.5413,8.7124,1498091.0
2021-01-21,8.7219,8.8074,8.3466,8.4748,1907068.0
2021-01-22,8.1803,8.6554,8.0188,8.6554,1082083.0
2021-01-23,8.1803,8.6554,8.0188,8.6554,1082083.0
2021-01-24,8.1803,8.6554,8.0188,8.6554,1082083.0
2021-01-25,8.5223,9.043,8.3228,8.9689,2701537.0
2021-01-26,9.1399,9.5009,8.6649,8.6744,2126009.0
2021-01-27,8.4653,9.0649,8.3798,8.6078,3003841.0
2021-01-28,8.7504,8.8834,8.3324,8.4273,3223999.0
2021-01-29,8.3228,8.6268,7.9808,8.0473,2188380.0
2021-01-30,8.3228,8.6268,7.9808,8.0473,2188380.0
2021-01-31,8.3228,8.6268,7.9808,8.0473,2188380.0
2021-02-01,8.2088,8.4843,8.0853,8.3988,1351078.0
2021-02-02,8.5983,8.7409,8.3988,8.4558,1807555.0
2021-02-03,8.5508,9.0449,8.5508,8.9974,1580220.0
2021-02-04,9.0924,9.3062,8.8549,9.1779,2667552.0
2021-02-05,9.3584,9.3584,8.9404,9.0354,1810732.0
2021-02-06,9.3584,9.3584,8.9404,9.0354,1810732.0
2021-02-07,9.3584,9.3584,8.9404,9.0354,1810732.0
2021-02-08,9.1589,9.4914,9.1494,9.4059,1760816.0
2021-02-09,9.2824,9.4582,9.0639,9.3014,1895032.0
2021-02-10,9.3964,9.5009,9.1684,9.3964,1590097.0
2021-02-11,9.4629,9.5009,9.0639,9.1969,1509893.0
2021-02-12,9.0924,9.5009,9.0924,9.4344,2295157.0
2021-02-13,9.0924,9.5009,9.0924,9.4344,2295157.0
2021-02-14,9.0924,9.5009,9.0924,9.4344,2295157.0
2021-02-15,9.0924,9.5009,9.0924,9.4344,2295157.0
2021-02-16,9.5009,9.9095,9.5009,9.691,1967511.0
2021-02-17,9.729,9.8335,9.4392,9.7955,1965251.0
2021-02-18,9.748,9.8525,9.3299,9.3679,1457158.0
2021-02-19,9.4344,9.691,9.4344,9.6054,1218753.0
2021-02-20,9.4344,9.691,9.4344,9.6054,1218753.0
2021-02-21,9.4344,9.691,9.4344,9.6054,1218753.0
2021-02-22,9.691,10.1375,9.672,9.7765,1853671.0
2021-02-23,10.0805,11.1066,9.4249,11.0591,3229117.0
2021-02-24,11.3726,12.3037,11.1256,12.0852,3092572.0
2021-02-25,12.1517,12.2372,11.4676,11.5816,3541964.0
2021-02-26,11.4391,11.7812,11.1446,11.4581,2351790.0
2021-02-27,11.4391,11.7812,11.1446,11.4581,2351790.0
2021-02-28,11.4391,11.7812,11.1446,11.4581,2351790.0
2021-03-01,11.8762,12.2182,11.2966,11.4581,2063232.0
2021-03-02,11.4771,11.6861,11.2491,11.2586,1592646.0
2021-03-03,10.28,11.4866,10.2135,11.0971,17943409.0
