,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity
2019-04-11,740.38,741.4,734.525,740.75,102119.0
2019-04-12,745.34,750.0,738.33,742.35,106907.0
2019-04-13,745.34,750.0,738.33,742.35,106907.0
2019-04-14,745.34,750.0,738.33,742.35,106907.0
2019-04-15,745.87,747.54,742.53,744.34,109277.0
2019-04-16,749.87,750.0,729.26,732.17,101850.0
2019-04-17,737.0,739.37,707.68,715.22,198279.0
2019-04-18,718.09,732.05,716.0,728.73,147029.0
2019-04-19,718.09,732.05,716.0,728.73,147029.0
2019-04-20,718.09,732.05,716.0,728.73,147029.0
2019-04-21,718.09,732.05,716.0,728.73,147029.0
2019-04-22,722.87,734.75,722.87,734.19,122067.0
2019-04-23,726.97,730.1,709.72,723.62,232925.0
2019-04-24,725.35,732.17,715.27,725.53,99853.0
2019-04-25,723.65,732.17,721.15,731.01,125257.0
2019-04-26,731.04,737.23,725.69,736.95,52656.0
2019-04-27,731.04,737.23,725.69,736.95,52656.0
2019-04-28,731.04,737.23,725.69,736.95,52656.0
2019-04-29,740.41,745.56,733.071,741.52,80514.0
2019-04-30,741.93,747.165,741.44,745.26,103917.0
2019-05-01,747.96,747.96,736.17,739.16,107653.0
2019-05-02,738.18,753.45,737.48,753.2,134752.0
2019-05-03,751.0,762.9,750.713,762.43,92324.0
2019-05-04,751.0,762.9,750.713,762.43,92324.0
2019-05-05,751.0,762.9,750.713,762.43,92324.0
2019-05-06,749.38,762.56,745.93,760.77,112229.0
2019-05-07,752.76,754.0,734.65,742.3,221143.0
2019-05-08,740.62,745.78,732.93,740.49,219999.0
2019-05-09,730.55,742.325,725.95,741.67,236485.0
2019-05-10,734.26,738.305,700.101,727.67,368828.0
2019-05-11,734.26,738.305,700.101,727.67,368828.0
2019-05-12,734.26,738.305,700.101,727.67,368828.0
2019-05-13,715.72,716.14,681.75,701.77,346249.0
2019-05-14,705.06,727.597,705.06,722.67,202920.0
2019-05-15,711.83,720.0,705.82,719.14,222614.0
2019-05-16,720.63,744.98,720.255,744.98,261296.0
2019-05-17,737.62,741.91,726.02,726.42,184469.0
2019-05-18,737.62,741.91,726.02,726.42,184469.0
2019-05-19,737.62,741.91,726.02,726.42,184469.0
2019-05-20,721.78,729.49,714.35,716.18,180477.0
2019-05-21,721.63,726.0,714.82,716.5,211156.0
2019-05-22,716.72,728.486,716.58,724.08,132400.0
2019-05-23,717.7,721.5,706.853,719.13,188580.0
2019-05-24,726.01,734.065,724.08,728.82,131525.0
2019-05-25,726.01,734.065,724.08,728.82,131525.0
2019-05-26,726.01,734.065,724.08,728.82,131525.0
2019-05-27,726.01,734.065,724.08,728.82,131525.0
2019-05-28,731.88,742.2,717.83,720.03,232148.0
2019-05-29,717.0,727.51,715.54,724.79,167678.0
2019-05-30,727.02,733.49,726.2,727.36,108369.0
2019-05-31,720.05,726.46,709.91,723.09,141069.0
2019-06-01,720.05,726.46,709.91,723.09,141069.0
2019-06-02,720.05,726.46,709.91,723.09,141069.0
2019-06-03,725.94,738.15,721.0,728.75,137022.0
2019-06-04,736.04,742.16,728.525,741.89,110419.0
2019-06-05,748.41,759.445,748.41,756.93,156854.0
2019-06-06,759.5,775.54,759.5,772.82,173758.0
2019-06-07,780.42,793.63,779.395,790.88,173839.0
2019-06-08,780.42,793.63,779.395,790.88,173839.0
2019-06-09,780.42,793.63,779.395,790.88,173839.0
2019-06-10,794.78,810.89,794.55,806.79,123388.0
2019-06-11,814.09,819.5,799.22,804.85,163397.0
2019-06-12,806.63,810.35,802.42,808.46,124390.0
2019-06-13,808.74,809.275,793.15,797.01,130669.0
2019-06-14,795.16,800.47,789.555,791.06,126343.0
2019-06-15,795.16,800.47,789.555,791.06,126343.0
2019-06-16,795.16,800.47,789.555,791.06,126343.0
2019-06-17,794.47,798.32,787.79,791.41,96256.0
2019-06-18,798.01,805.17,797.48,804.0,129430.0
2019-06-19,805.03,817.89,805.03,817.04,119129.0
2019-06-20,824.15,831.92,815.24,821.39,125207.0
2019-06-21,822.52,831.37,814.77,830.11,154307.0
2019-06-22,822.52,831.37,814.77,830.11,154307.0
2019-06-23,822.52,831.37,814.77,830.11,154307.0
2019-06-24,828.59,830.865,823.88,825.97,148400.0
2019-06-25,830.07,839.61,821.86,833.7,191787.0
2019-06-26,837.5,837.5,820.08,825.4,133634.0
2019-06-27,828.0,833.925,820.325,833.55,110590.0
2019-06-28,835.3,840.0,825.47,840.0,171079.0
2019-06-29,835.3,840.0,825.47,840.0,171079.0
2019-06-30,835.3,840.0,825.47,840.0,171079.0
2019-07-01,853.04,863.72,841.725,844.33,234442.0
2019-07-02,843.55,854.56,840.0,853.3,105261.0
2019-07-03,855.15,873.51,855.15,872.45,79282.0
2019-07-04,855.15,873.51,855.15,872.45,79282.0
2019-07-05,865.94,867.06,849.95,859.91,129327.0
2019-07-06,865.94,867.06,849.95,859.91,129327.0
2019-07-07,865.94,867.06,849.95,859.91,129327.0
2019-07-08,855.0,863.735,852.25,861.75,122548.0
2019-07-09,855.98,862.95,855.51,861.55,116098.0
2019-07-10,867.68,867.935,855.81,858.48,108728.0
2019-07-11,859.52,859.52,840.865,854.07,151567.0
2019-07-12,843.67,844.22,830.27,835.44,245935.0
2019-07-13,843.67,844.22,830.27,835.44,245935.0
2019-07-14,843.67,844.22,830.27,835.44,245935.0
2019-07-15,821.85,827.0,814.74,825.22,208000.0
2019-07-16,826.06,826.345,817.97,821.85,204780.0
2019-07-17,826.38,828.59,817.48,818.13,123861.0
2019-07-18,818.3,830.895,818.3,828.96,111660.0
2019-07-19,833.29,833.29,812.99,813.85,122871.0
2019-07-20,833.29,833.29,812.99,813.85,122871.0
2019-07-21,833.29,833.29,812.99,813.85,122871.0
2019-07-22,816.58,825.24,809.54,818.7,124418.0
2019-07-23,811.0,820.42,805.085,818.31,169798.0
2019-07-24,784.0,813.39,772.81,812.17,539099.0
2019-07-25,805.14,807.68,787.63,790.68,295069.0
2019-07-26,789.42,790.0,772.976,775.11,334816.0
2019-07-27,789.42,790.0,772.976,775.11,334816.0
2019-07-28,789.42,790.0,772.976,775.11,334816.0
2019-07-29,779.02,781.385,770.0,775.0,241055.0
2019-07-30,765.22,766.985,758.12,759.97,351108.0
2019-07-31,759.41,765.695,748.45,756.75,233196.0
2019-08-01,758.86,777.61,751.34,760.79,333861.0
2019-08-02,730.36,745.99,713.582,717.82,480142.0
2019-08-03,730.36,745.99,713.582,717.82,480142.0
2019-08-04,730.36,745.99,713.582,717.82,480142.0
2019-08-05,701.48,706.67,686.62,692.72,351663.0
2019-08-06,698.35,708.64,698.35,707.17,240190.0
2019-08-07,701.26,710.52,691.44,704.97,207279.0
2019-08-08,709.2,714.96,705.81,713.42,197065.0
2019-08-09,711.24,714.31,699.31,702.28,161114.0
2019-08-10,711.24,714.31,699.31,702.28,161114.0
2019-08-11,711.24,714.31,699.31,702.28,161114.0
2019-08-12,700.15,700.15,676.96,681.78,211301.0
2019-08-13,678.43,702.78,676.02,689.97,208000.0
2019-08-14,679.63,688.86,659.88,660.59,247997.0
2019-08-15,667.63,675.46,658.36,660.39,260496.0
2019-08-16,665.95,671.51,664.18,665.19,213782.0
2019-08-17,665.95,671.51,664.18,665.19,213782.0
2019-08-18,665.95,671.51,664.18,665.19,213782.0
2019-08-19,675.16,683.765,674.75,675.51,226381.0
2019-08-20,672.27,674.94,658.16,659.14,177862.0
2019-08-21,664.31,673.46,661.12,669.58,145952.0
2019-08-22,672.62,674.675,658.76,663.68,125998.0
2019-08-23,666.27,668.055,640.02,642.84,224319.0
2019-08-24,666.27,668.055,640.02,642.84,224319.0
2019-08-25,666.27,668.055,640.02,642.84,224319.0
2019-08-26,648.0,649.14,638.988,647.45,189567.0
2019-08-27,650.91,652.24,644.1,647.23,190299.0
2019-08-28,645.63,651.51,638.92,646.39,200841.0
2019-08-29,653.96,661.05,651.88,654.17,246024.0
2019-08-30,656.12,659.56,649.36,656.79,212533.0
2019-08-31,656.12,659.56,649.36,656.79,212533.0
2019-09-01,656.12,659.56,649.36,656.79,212533.0
2019-09-02,656.12,659.56,649.36,656.79,212533.0
2019-09-03,654.98,660.77,646.43,653.0,192724.0
2019-09-04,655.71,666.815,655.24,660.17,172474.0
2019-09-05,669.14,687.52,665.47,685.78,243960.0
2019-09-06,687.11,689.73,680.03,684.98,174862.0
2019-09-07,687.11,689.73,680.03,684.98,174862.0
2019-09-08,687.11,689.73,680.03,684.98,174862.0
2019-09-09,688.08,690.07,672.59,679.56,193123.0
2019-09-10,677.89,699.64,669.92,699.64,279328.0
2019-09-11,700.0,718.18,700.0,718.18,226884.0
2019-09-12,724.47,726.67,710.01,711.74,204030.0
2019-09-13,712.31,713.4,701.63,713.0,132423.0
2019-09-14,712.31,713.4,701.63,713.0,132423.0
2019-09-15,712.31,713.4,701.63,713.0,132423.0
2019-09-16,708.84,715.665,707.53,711.65,140821.0
2019-09-17,710.84,713.29,703.57,710.54,130423.0
2019-09-18,710.44,711.93,698.97,709.05,167630.0
2019-09-19,710.73,714.5,706.99,710.1,117704.0
2019-09-20,713.36,716.27,708.73,709.18,155679.0
2019-09-21,713.36,716.27,708.73,709.18,155679.0
2019-09-22,713.36,716.27,708.73,709.18,155679.0
2019-09-23,705.44,712.66,698.5,706.21,158697.0
2019-09-24,709.96,714.2,688.73,690.99,181720.0
2019-09-25,689.45,701.08,686.33,699.34,145622.0
2019-09-26,697.77,705.93,691.14,700.39,148551.0
2019-09-27,704.33,706.74,690.0,699.28,111037.0
2019-09-28,704.33,706.74,690.0,699.28,111037.0
2019-09-29,704.33,706.74,690.0,699.28,111037.0
2019-09-30,701.62,709.53,701.11,704.4,181828.0
2019-10-01,705.44,706.83,687.235,688.14,151351.0
2019-10-02,682.92,684.58,662.74,663.3,223333.0
2019-10-03,665.3,677.11,655.982,670.77,259904.0
2019-10-04,671.86,687.05,671.86,686.27,182115.0
2019-10-05,671.86,687.05,671.86,686.27,182115.0
2019-10-06,671.86,687.05,671.86,686.27,182115.0
2019-10-07,681.66,689.74,678.91,681.85,150032.0
2019-10-08,660.4,665.84,641.695,658.61,290110.0
2019-10-09,666.73,675.94,658.0,673.28,168707.0
2019-10-10,671.88,678.24,665.945,672.37,223113.0
2019-10-11,681.11,697.48,681.11,688.1,183786.0
2019-10-12,681.11,697.48,681.11,688.1,183786.0
2019-10-13,681.11,697.48,681.11,688.1,183786.0
2019-10-14,689.66,690.62,680.25,680.74,121476.0
2019-10-15,683.94,687.32,677.425,680.0,210804.0
2019-10-16,680.77,682.59,665.235,668.5,346757.0
2019-10-17,672.81,676.685,669.365,670.82,284022.0
2019-10-18,666.48,684.25,665.38,680.5,160348.0
2019-10-19,666.48,684.25,665.38,680.5,160348.0
2019-10-20,666.48,684.25,665.38,680.5,160348.0
2019-10-21,688.14,690.0,678.37,685.22,192764.0
2019-10-22,686.33,694.3,683.91,684.21,187148.0
2019-10-23,687.42,703.47,684.55,688.87,188021.0
2019-10-24,686.91,690.12,678.39,686.74,112321.0
2019-10-25,686.55,703.68,679.14,698.19,130472.0
2019-10-26,686.55,703.68,679.14,698.19,130472.0
2019-10-27,686.55,703.68,679.14,698.19,130472.0
2019-10-28,701.56,707.99,699.508,701.35,108065.0
2019-10-29,695.22,708.69,691.31,703.76,128695.0
2019-10-30,702.25,708.78,699.17,708.47,121497.0
2019-10-31,704.59,708.47,699.075,704.94,134202.0
2019-11-01,710.0,717.11,707.74,714.18,128583.0
2019-11-02,710.0,717.11,707.74,714.18,128583.0
2019-11-03,710.0,717.11,707.74,714.18,128583.0
2019-11-04,721.66,730.185,719.31,723.67,224717.0
2019-11-05,724.19,729.86,704.51,714.4,215787.0
2019-11-06,714.02,714.02,705.23,709.78,156603.0
2019-11-07,717.75,726.41,711.54,720.81,238451.0
2019-11-08,680.0,727.205,680.0,708.86,413484.0
2019-11-09,680.0,727.205,680.0,708.86,413484.0
2019-11-10,680.0,727.205,680.0,708.86,413484.0
2019-11-11,702.94,706.855,698.525,700.4,206606.0
2019-11-12,704.83,712.99,698.77,711.45,127474.0
2019-11-13,708.64,726.925,708.64,722.74,130099.0
2019-11-14,716.4,721.75,711.58,713.65,129132.0
2019-11-15,714.37,726.2,714.37,724.82,139802.0
2019-11-16,714.37,726.2,714.37,724.82,139802.0
2019-11-17,714.37,726.2,714.37,724.82,139802.0
2019-11-18,723.1,726.12,712.005,718.21,242829.0
2019-11-19,722.5,736.99,716.25,732.96,189364.0
2019-11-20,731.26,734.1,714.27,717.7,208492.0
2019-11-21,719.9,719.9,703.685,705.07,268141.0
2019-11-22,709.45,713.74,704.81,711.85,209125.0
2019-11-23,709.45,713.74,704.81,711.85,209125.0
2019-11-24,709.45,713.74,704.81,711.85,209125.0
2019-11-25,717.86,719.26,714.43,716.97,201060.0
2019-11-26,715.9,725.05,715.9,723.9,537137.0
2019-11-27,728.36,729.25,718.38,725.4,107668.0
2019-11-28,728.36,729.25,718.38,725.4,107668.0
2019-11-29,723.75,732.1,718.79,719.41,80957.0
2019-11-30,723.75,732.1,718.79,719.41,80957.0
2019-12-01,723.75,732.1,718.79,719.41,80957.0
2019-12-02,721.15,727.99,718.921,723.96,185426.0
2019-12-03,713.93,721.47,709.1,712.04,215434.0
2019-12-04,713.56,735.75,713.56,731.66,324022.0
2019-12-05,734.42,747.5,733.48,736.85,291411.0
2019-12-06,745.32,762.5,745.1,761.0,240730.0
2019-12-07,745.32,762.5,745.1,761.0,240730.0
2019-12-08,745.32,762.5,745.1,761.0,240730.0
2019-12-09,760.89,763.305,755.8,756.98,206334.0
2019-12-10,756.98,763.98,752.82,754.22,196114.0
2019-12-11,750.0,764.24,750.0,762.35,164315.0
2019-12-12,762.42,778.15,762.42,775.42,193824.0
2019-12-13,774.45,781.52,761.84,769.7,193213.0
2019-12-14,774.45,781.52,761.84,769.7,193213.0
2019-12-15,774.45,781.52,761.84,769.7,193213.0
2019-12-16,778.41,786.01,775.735,781.27,153870.0
2019-12-17,786.8,786.8,775.77,777.17,166003.0
2019-12-18,775.36,779.21,772.99,775.71,156102.0
2019-12-19,778.72,787.31,776.405,786.59,172837.0
2019-12-20,793.99,795.36,787.19,793.31,197778.0
2019-12-21,793.99,795.36,787.19,793.31,197778.0
2019-12-22,793.99,795.36,787.19,793.31,197778.0
2019-12-23,798.12,798.12,784.93,789.43,133021.0
2019-12-24,788.0,792.2,783.85,790.47,69874.0
2019-12-25,788.0,792.2,783.85,790.47,69874.0
2019-12-26,791.27,792.64,787.01,791.98,64554.0
2019-12-27,792.02,795.275,789.455,792.83,73993.0
2019-12-28,792.02,795.275,789.455,792.83,73993.0
2019-12-29,792.02,795.275,789.455,792.83,73993.0
2019-12-30,795.81,795.81,785.26,791.91,77160.0
2019-12-31,790.71,794.315,783.79,793.28,81589.0
2020-01-01,790.71,794.315,783.79,793.28,81589.0
2020-01-02,805.17,809.99,796.47,805.06,149222.0
2020-01-03,790.1,802.07,788.2,789.54,149695.0
2020-01-04,790.1,802.07,788.2,789.54,149695.0
2020-01-05,790.1,802.07,788.2,789.54,149695.0
2020-01-06,779.89,793.86,779.1,793.73,187914.0
2020-01-07,790.56,801.12,787.18,797.16,105772.0
2020-01-08,796.32,805.49,795.0,797.07,148194.0
2020-01-09,806.16,813.095,800.52,810.86,168203.0
2020-01-10,816.6,822.25,813.22,817.69,167569.0
2020-01-11,816.6,822.25,813.22,817.69,167569.0
2020-01-12,816.6,822.25,813.22,817.69,167569.0
2020-01-13,815.15,824.62,813.66,822.57,147174.0
2020-01-14,820.0,835.97,818.18,830.63,152161.0
2020-01-15,827.43,830.46,815.505,818.39,133621.0
2020-01-16,823.0,830.67,816.68,830.67,103913.0
2020-01-17,833.97,834.84,825.36,831.31,122857.0
2020-01-18,833.97,834.84,825.36,831.31,122857.0
2020-01-19,833.97,834.84,825.36,831.31,122857.0
2020-01-20,833.97,834.84,825.36,831.31,122857.0
2020-01-21,831.0,839.5,830.28,835.13,164219.0
2020-01-22,838.23,843.82,833.82,834.92,84584.0
2020-01-23,833.5,834.47,824.39,831.12,83011.0
2020-01-24,836.07,836.07,817.87,819.95,122978.0
2020-01-25,836.07,836.07,817.87,819.95,122978.0
2020-01-26,836.07,836.07,817.87,819.95,122978.0
2020-01-27,800.47,807.74,794.06,799.88,144041.0
2020-01-28,802.15,803.65,790.69,799.95,162530.0
2020-01-29,801.29,812.11,799.385,802.62,111759.0
2020-01-30,792.43,794.36,766.21,777.0,177384.0
2020-01-31,773.67,774.705,752.755,757.18,157835.0
2020-02-01,773.67,774.705,752.755,757.18,157835.0
2020-02-02,773.67,774.705,752.755,757.18,157835.0
2020-02-03,762.97,766.5,757.63,758.06,130799.0
2020-02-04,756.61,775.315,756.61,768.0,160238.0
2020-02-05,779.51,790.495,776.7,779.03,149746.0
2020-02-06,787.38,788.135,770.67,778.52,180540.0
2020-02-07,777.45,808.94,770.18,787.15,423424.0
2020-02-08,777.45,808.94,770.18,787.15,423424.0
2020-02-09,777.45,808.94,770.18,787.15,423424.0
2020-02-10,785.24,799.15,779.22,780.77,216580.0
2020-02-11,781.61,787.87,775.49,780.0,242082.0
2020-02-12,781.0,784.38,770.3,772.79,107847.0
2020-02-13,767.64,775.03,759.15,769.48,172521.0
2020-02-14,770.0,772.22,761.01,763.2,123167.0
2020-02-15,770.0,772.22,761.01,763.2,123167.0
2020-02-16,770.0,772.22,761.01,763.2,123167.0
2020-02-17,770.0,772.22,761.01,763.2,123167.0
2020-02-18,759.68,763.26,750.17,752.24,152245.0
2020-02-19,754.58,770.42,753.7,766.39,111061.0
2020-02-20,763.92,765.9,751.43,755.39,111784.0
2020-02-21,751.97,762.03,748.43,760.22,147678.0
2020-02-22,751.97,762.03,748.43,760.22,147678.0
2020-02-23,751.97,762.03,748.43,760.22,147678.0
2020-02-24,735.25,737.0,717.66,726.58,181142.0
2020-02-25,732.33,732.33,699.89,703.0,184284.0
2020-02-26,707.81,721.97,698.12,700.38,166991.0
2020-02-27,686.06,710.435,685.43,691.65,206545.0
2020-02-28,672.09,703.16,666.36,701.7,338666.0
2020-02-29,672.09,703.16,666.36,701.7,338666.0
2020-03-01,672.09,703.16,666.36,701.7,338666.0
2020-03-02,704.48,725.59,698.49,724.14,306838.0
2020-03-03,725.04,751.21,722.92,731.05,261913.0
2020-03-04,750.47,775.37,738.945,773.89,181130.0
2020-03-05,754.66,754.66,724.96,734.1,281369.0
2020-03-06,711.63,724.11,698.61,715.55,231396.0
2020-03-07,711.63,724.11,698.61,715.55,231396.0
2020-03-08,711.63,724.11,698.61,715.55,231396.0
2020-03-09,670.0,687.84,660.88,669.78,217512.0
2020-03-10,688.68,701.88,666.97,701.71,197505.0
2020-03-11,683.37,686.6,650.03,658.65,182241.0
2020-03-12,618.96,653.3,595.91,639.77,259977.0
2020-03-13,667.13,680.11,608.07,672.64,252471.0
2020-03-14,667.13,680.11,608.07,672.64,252471.0
2020-03-15,667.13,680.11,608.07,672.64,252471.0
2020-03-16,610.0,645.57,600.0,622.63,294026.0
2020-03-17,633.96,697.31,632.56,682.49,267235.0
2020-03-18,645.09,707.64,642.77,700.13,280377.0
2020-03-19,696.28,755.66,676.04,721.43,246887.0
2020-03-20,718.67,726.44,641.72,645.12,299087.0
2020-03-21,718.67,726.44,641.72,645.12,299087.0
2020-03-22,718.67,726.44,641.72,645.12,299087.0
2020-03-23,645.9,654.87,579.4,589.41,303888.0
2020-03-24,615.51,652.94,592.64,645.53,223498.0
2020-03-25,636.18,679.08,632.7,640.3,191934.0
2020-03-26,648.15,668.88,630.95,659.27,460689.0
2020-03-27,650.4,668.37,641.69,658.78,187986.0
2020-03-28,650.4,668.37,641.69,658.78,187986.0
2020-03-29,650.4,668.37,641.69,658.78,187986.0
2020-03-30,664.11,688.27,654.8,685.4,292969.0
2020-03-31,677.83,709.99,671.83,690.51,221850.0
2020-04-01,667.6,691.91,641.59,656.24,148435.0
2020-04-02,632.21,673.11,627.4,655.57,192848.0
2020-04-03,641.7,651.74,611.82,630.58,166744.0
2020-04-04,641.7,651.74,611.82,630.58,166744.0
2020-04-05,641.7,651.74,611.82,630.58,166744.0
2020-04-06,657.17,705.95,653.91,702.6,194078.0
2020-04-07,717.85,731.34,701.08,709.49,151875.0
2020-04-08,709.1,746.65,695.315,740.99,180149.0
2020-04-09,730.2,738.56,712.68,727.42,186166.0
2020-04-10,730.2,738.56,712.68,727.42,186166.0
2020-04-11,730.2,738.56,712.68,727.42,186166.0
2020-04-12,730.2,738.56,712.68,727.42,186166.0
2020-04-13,718.52,718.52,677.5,690.78,191180.0
2020-04-14,696.9,717.02,693.7,711.77,198567.0
2020-04-15,705.11,707.98,685.79,692.96,158417.0
2020-04-16,699.76,701.1,684.85,695.87,135236.0
2020-04-17,708.24,720.91,697.82,720.91,161055.0
2020-04-18,708.24,720.91,697.82,720.91,161055.0
2020-04-19,708.24,720.91,697.82,720.91,161055.0
2020-04-20,718.52,718.52,703.74,707.63,133164.0
2020-04-21,700.0,700.0,681.48,683.43,158437.0
2020-04-22,695.56,705.8,687.785,704.2,151711.0
2020-04-23,704.0,720.513,698.01,703.3,181249.0
2020-04-24,707.01,714.77,697.37,713.38,138882.0
2020-04-25,707.01,714.77,697.37,713.38,138882.0
2020-04-26,707.01,714.77,697.37,713.38,138882.0
2020-04-27,713.84,739.5,710.27,735.26,126369.0
2020-04-28,738.94,739.145,696.68,699.98,174571.0
2020-04-29,708.11,747.66,706.01,738.62,241820.0
2020-04-30,728.83,746.27,716.97,719.94,213925.0
2020-05-01,709.69,709.69,684.03,689.16,104431.0
2020-05-02,709.69,709.69,684.03,689.16,104431.0
2020-05-03,709.69,709.69,684.03,689.16,104431.0
2020-05-04,690.45,693.92,682.02,690.89,76621.0
2020-05-05,694.25,716.69,692.15,709.73,135571.0
2020-05-06,711.3,718.86,697.62,715.58,111559.0
2020-05-07,721.0,742.583,718.69,732.74,173977.0
2020-05-08,741.97,757.42,714.47,719.57,182015.0
2020-05-09,741.97,757.42,714.47,719.57,182015.0
