,CWH US Equity,CWH US Equity,CWH US Equity,CWH US Equity,CWH US Equity
2020-02-10,11.8688,12.0758,11.6541,11.7768,361207.0
2020-02-11,11.9685,11.9685,11.3551,11.5085,504829.0
2020-02-12,11.5775,11.9685,11.2785,11.8535,517240.0
2020-02-13,11.7922,12.2215,11.7308,12.1832,322147.0
2020-02-14,12.1909,12.3519,12.0988,12.2752,343479.0
2020-02-15,12.1909,12.3519,12.0988,12.2752,343479.0
2020-02-16,12.1909,12.3519,12.0988,12.2752,343479.0
2020-02-17,12.1909,12.3519,12.0988,12.2752,343479.0
2020-02-18,12.1602,12.4592,11.9992,12.2139,480421.0
2020-02-19,12.2522,12.5512,12.1602,12.3672,352309.0
2020-02-20,12.2982,13.0112,12.2982,12.6432,475706.0
2020-02-21,12.6125,12.8042,12.4055,12.4975,450708.0
2020-02-22,12.6125,12.8042,12.4055,12.4975,450708.0
2020-02-23,12.6125,12.8042,12.4055,12.4975,450708.0
2020-02-24,12.0298,12.4362,11.8765,12.1142,634633.0
2020-02-25,12.1909,12.2369,11.3091,11.4318,737103.0
2020-02-26,11.6311,11.8382,11.0484,11.1481,1340395.0
2020-02-27,10.8184,11.0714,9.998,10.5041,1030315.0
2020-02-28,10.0287,11.0484,9.9137,10.4887,1132861.0
2020-02-29,10.0287,11.0484,9.9137,10.4887,1132861.0
2020-03-01,10.0287,11.0484,9.9137,10.4887,1132861.0
2020-03-02,10.7264,10.7571,9.423,10.6651,1190258.0
2020-03-03,10.7264,10.8031,9.6453,9.7067,1092223.0
2020-03-04,9.837,10.067,9.2466,9.3923,779328.0
2020-03-05,9.239,9.285,8.0659,8.1042,1221786.0
2020-03-06,7.9202,8.2959,7.6519,7.7669,1637290.0
2020-03-07,7.9202,8.2959,7.6519,7.7669,1637290.0
2020-03-08,7.9202,8.2959,7.6519,7.7669,1637290.0
2020-03-09,7.4372,7.5445,6.4558,6.4941,1546694.0
2020-03-10,6.9081,7.0845,6.5171,7.0845,1939676.0
2020-03-11,6.8161,6.8161,5.6776,5.8424,2017642.0
2020-03-12,4.9913,5.2214,4.4546,4.6463,2295379.0
2020-03-13,5.3175,5.6557,4.9163,5.3647,2030280.0
2020-03-14,5.3175,5.6557,4.9163,5.3647,2030280.0
2020-03-15,5.3175,5.6557,4.9163,5.3647,2030280.0
2020-03-16,4.4522,6.0765,4.3499,4.641,1784118.0
2020-03-17,4.7275,5.4669,4.2477,4.5544,1571106.0
2020-03-18,4.3106,4.3342,2.6745,3.0442,3156775.0
2020-03-19,3.3273,3.6858,2.8475,3.0599,2294818.0
2020-03-20,3.5397,3.9645,3.1622,3.3588,3705761.0
2020-03-21,3.5397,3.9645,3.1622,3.3588,3705761.0
2020-03-22,3.5397,3.9645,3.1622,3.3588,3705761.0
2020-03-23,3.3981,3.9212,3.3509,3.8465,2116417.0
2020-03-24,4.4601,5.1444,4.3814,4.9635,2474316.0
2020-03-25,5.1365,6.2771,4.7354,5.2073,3327232.0
2020-03-26,5.5062,6.0647,5.2331,5.5534,2447327.0
2020-03-27,5.1601,5.4472,4.8258,5.3253,2310856.0
2020-03-28,5.1601,5.4472,4.8258,5.3253,2310856.0
2020-03-29,5.1601,5.4472,4.8258,5.3253,2310856.0
2020-03-30,5.3017,5.404,4.2162,4.6567,2471290.0
2020-03-31,4.641,4.8375,4.3617,4.4758,1187708.0
2020-04-01,4.1375,4.1847,3.2251,3.7049,3088495.0
2020-04-02,3.7442,4.0117,3.6145,3.9488,1296574.0
2020-04-03,3.8937,3.9409,3.3903,3.5712,1797967.0
2020-04-04,3.8937,3.9409,3.3903,3.5712,1797967.0
2020-04-05,3.8937,3.9409,3.3903,3.5712,1797967.0
2020-04-06,3.9409,4.3263,3.8937,4.1454,1726045.0
2020-04-07,4.5623,5.0264,4.2555,4.6567,2083579.0
2020-04-08,4.6488,5.3568,4.6174,5.1601,2748196.0
2020-04-09,5.5377,5.8917,5.3017,5.6793,2711864.0
2020-04-10,5.5377,5.8917,5.3017,5.6793,2711864.0
2020-04-11,5.5377,5.8917,5.3017,5.6793,2711864.0
2020-04-12,5.5377,5.8917,5.3017,5.6793,2711864.0
2020-04-13,5.6793,5.6872,5.05,5.4118,2004298.0
2020-04-14,5.6242,6.0883,5.3961,5.6006,1602343.0
2020-04-15,5.2231,5.7029,5.0736,5.4433,1384147.0
2020-04-16,5.3804,5.5692,5.1129,5.3804,1060299.0
2020-04-17,5.8445,6.0097,5.5928,5.9074,1860262.0
2020-04-18,5.8445,6.0097,5.5928,5.9074,1860262.0
2020-04-19,5.8445,6.0097,5.5928,5.9074,1860262.0
2020-04-20,5.6636,6.3872,5.5928,6.3558,1628589.0
2020-04-21,6.3951,6.6862,5.9163,6.2928,1550317.0
2020-04-22,6.4738,6.5937,5.9467,5.9546,1112726.0
2020-04-23,5.9861,6.1985,5.8602,5.8838,1429371.0
2020-04-24,5.9703,6.2457,5.7894,6.1591,1720090.0
2020-04-25,5.9703,6.2457,5.7894,6.1591,1720090.0
2020-04-26,5.9703,6.2457,5.7894,6.1591,1720090.0
2020-04-27,6.2614,7.1974,6.1434,7.0087,2312877.0
2020-04-28,7.4098,7.7559,6.8985,7.3233,2544950.0
2020-04-29,7.7087,8.0155,7.4416,7.5671,1918906.0
2020-04-30,7.3941,7.3941,6.9379,6.9772,1597610.0
2020-05-01,6.7019,6.8277,6.0608,6.4738,1424628.0
2020-05-02,6.7019,6.8277,6.0608,6.4738,1424628.0
2020-05-03,6.7019,6.8277,6.0608,6.4738,1424628.0
2020-05-04,6.1434,6.7805,5.9389,6.7333,1089647.0
2020-05-05,6.9929,7.4177,6.9379,7.1896,2076127.0
2020-05-06,7.2682,8.2594,7.2289,8.1728,3003864.0
2020-05-07,8.338,8.9122,7.8897,8.5032,3679602.0
2020-05-08,9.3527,11.4844,9.3527,11.0125,11844145.0
2020-05-09,9.3527,11.4844,9.3527,11.0125,11844145.0
2020-05-10,9.3527,11.4844,9.3527,11.0125,11844145.0
2020-05-11,10.808,11.894,10.7372,11.7912,3615329.0
2020-05-12,11.9643,12.9003,11.2406,11.6575,4419344.0
2020-05-13,11.5395,11.9879,10.454,11.6182,2617777.0
2020-05-14,11.0282,11.8632,10.9024,11.4766,1376768.0
2020-05-15,11.4608,12.8295,11.2249,12.4756,2023574.0
2020-05-16,11.4608,12.8295,11.2249,12.4756,2023574.0
2020-05-17,11.4608,12.8295,11.2249,12.4756,2023574.0
2020-05-18,13.3723,14.7961,13.3015,14.0095,3011641.0
2020-05-19,14.0095,14.5286,13.8128,14.1274,1508346.0
2020-05-20,14.4106,15.7872,14.3162,15.1815,3531577.0
2020-05-21,15.1815,16.4873,15.1815,16.2827,2685036.0
2020-05-22,16.3614,16.4401,15.4175,15.7243,2105633.0
2020-05-23,16.3614,16.4401,15.4175,15.7243,2105633.0
2020-05-24,16.3614,16.4401,15.4175,15.7243,2105633.0
2020-05-25,16.3614,16.4401,15.4175,15.7243,2105633.0
2020-05-26,17.0379,18.4852,16.5581,17.5806,4768324.0
2020-05-27,17.8953,18.1551,16.0704,16.9907,2676244.0
2020-05-28,17.3053,18.6662,16.3304,16.3771,3529952.0
2020-05-29,16.267,16.857,15.7714,16.6603,1720628.0
2020-05-30,16.267,16.857,15.7714,16.6603,1720628.0
2020-05-31,16.267,16.857,15.7714,16.6603,1720628.0
2020-06-01,17.0379,18.6504,16.7232,18.1785,2059027.0
2020-06-02,18.6032,18.6583,17.4627,18.1155,1907845.0
2020-06-03,18.619,19.0752,18.0133,18.0683,2117202.0
2020-06-04,17.7616,18.8156,17.6986,18.3437,1561248.0
2020-06-05,19.3112,19.6415,16.6367,17.3919,2710108.0
2020-06-06,19.3112,19.6415,16.6367,17.3919,2710108.0
2020-06-07,19.3112,19.6415,16.6367,17.3919,2710108.0
2020-06-08,18.2571,19.7438,17.7065,19.673,3169386.0
2020-06-09,18.9887,20.8372,18.6898,19.4056,2860884.0
2020-06-10,19.9405,20.1922,18.2886,18.8549,1917542.0
2020-06-11,17.6986,18.2013,16.1805,16.6446,2284492.0
2020-06-12,18.2239,18.7547,17.6058,18.517,1560246.0
2020-06-13,18.2239,18.7547,17.6058,18.517,1560246.0
2020-06-14,18.2239,18.7547,17.6058,18.517,1560246.0
2020-06-15,17.7485,20.5296,17.4315,19.9908,2478653.0
2020-06-16,21.2585,21.3536,19.0875,19.658,1394522.0
2020-06-17,19.5788,20.9099,19.2618,20.078,2246192.0
2020-06-18,19.8799,20.9218,19.6501,20.8703,1505805.0
2020-06-19,21.2982,22.0033,20.9891,21.4091,3955054.0
2020-06-20,21.2982,22.0033,20.9891,21.4091,3955054.0
2020-06-21,21.2982,22.0033,20.9891,21.4091,3955054.0
2020-06-22,21.5121,22.7402,21.2744,22.146,2540774.0
2020-06-23,22.5818,22.6451,21.4487,21.4804,1725480.0
2020-06-24,21.0525,21.7656,19.8878,20.1334,2060456.0
2020-06-25,20.0859,20.9258,19.8482,20.49,1169773.0
2020-06-26,20.593,20.7752,19.9195,20.0859,1501905.0
2020-06-27,20.593,20.7752,19.9195,20.0859,1501905.0
2020-06-28,20.593,20.7752,19.9195,20.0859,1501905.0
2020-06-29,20.4424,21.7656,19.9523,21.2902,1540409.0
2020-06-30,20.8465,21.7815,20.6326,21.52,1351303.0
2020-07-01,21.5279,22.6372,21.5279,22.1301,1636402.0
2020-07-02,22.867,23.1522,21.8924,21.9796,1045468.0
2020-07-03,22.867,23.1522,21.8924,21.9796,1045468.0
2020-07-04,22.867,23.1522,21.8924,21.9796,1045468.0
2020-07-05,22.867,23.1522,21.8924,21.9796,1045468.0
2020-07-06,22.6768,22.8512,20.7673,20.9575,1482331.0
2020-07-07,20.7356,20.9178,20.0146,20.173,1222737.0
2020-07-08,20.3632,21.4249,19.9076,21.4012,1242568.0
2020-07-09,21.314,21.734,20.2364,20.6722,1112998.0
2020-07-10,20.9178,24.8875,20.6722,23.9525,6094184.0
2020-07-11,20.9178,24.8875,20.6722,23.9525,6094184.0
2020-07-12,20.9178,24.8875,20.6722,23.9525,6094184.0
2020-07-13,24.3645,25.6481,23.6197,23.7861,3842107.0
2020-07-14,22.9304,26.6386,22.7125,26.4167,3276051.0
2020-07-15,26.9238,27.2011,25.5808,26.9079,3021201.0
2020-07-16,26.9159,28.1915,26.5393,28.0172,2942321.0
2020-07-17,28.0965,28.9601,27.4323,27.8191,1814515.0
2020-07-18,28.0965,28.9601,27.4323,27.8191,1814515.0
2020-07-19,28.0965,28.9601,27.4323,27.8191,1814515.0
2020-07-20,27.7637,28.1202,26.9555,27.32,1093080.0
2020-07-21,27.9855,29.6574,27.7399,29.1107,2151539.0
2020-07-22,29.2612,30.4282,29.1186,30.3388,1472485.0
2020-07-23,30.3626,31.0915,27.8508,28.2787,2149459.0
2020-07-24,27.732,28.9996,27.4257,27.8033,1047800.0
2020-07-25,27.732,28.9996,27.4257,27.8033,1047800.0
2020-07-26,27.732,28.9996,27.4257,27.8033,1047800.0
2020-07-27,28.2708,30.2882,27.9301,30.2437,1494917.0
2020-07-28,29.903,30.838,28.77,28.8809,1101138.0
2020-07-29,29.2374,29.3167,27.2467,27.5894,1579629.0
2020-07-30,27.2883,29.7128,27.1377,28.9363,1848193.0
2020-07-31,29.182,29.5148,27.8191,29.0156,1555355.0
2020-08-01,29.182,29.5148,27.8191,29.0156,1555355.0
2020-08-02,29.182,29.5148,27.8191,29.0156,1555355.0
2020-08-03,30.109,32.2206,29.8079,31.7333,3866564.0
2020-08-04,31.6778,32.7079,30.2675,30.9489,2335397.0
2020-08-05,31.9631,33.6666,31.7016,33.5082,3925988.0
2020-08-06,32.4068,32.9456,25.9888,26.1473,9830394.0
2020-08-07,27.0585,27.1773,24.1823,25.6481,5197680.0
2020-08-08,27.0585,27.1773,24.1823,25.6481,5197680.0
2020-08-09,27.0585,27.1773,24.1823,25.6481,5197680.0
2020-08-10,25.5927,26.7671,24.9668,25.4738,2441495.0
2020-08-11,25.9334,26.5989,25.1846,25.4025,2524844.0
2020-08-12,25.8621,26.6227,25.2678,25.6798,1753045.0
2020-08-13,25.9888,27.2962,25.9492,26.4167,1909416.0
2020-08-14,26.6069,27.0823,26.1631,26.3612,1390722.0
2020-08-15,26.6069,27.0823,26.1631,26.3612,1390722.0
2020-08-16,26.6069,27.0823,26.1631,26.3612,1390722.0
2020-08-17,26.7416,28.2391,26.2107,28.0885,2411005.0
2020-08-18,28.3817,28.865,27.6448,28.0885,1637459.0
2020-08-19,28.3579,30.1962,28.2589,28.7541,2783416.0
2020-08-20,26.8604,27.2883,25.7353,26.2186,7884697.0
2020-08-21,26.5118,27.0981,26.2355,26.5118,2529455.0
2020-08-22,26.5118,27.0981,26.2355,26.5118,2529455.0
2020-08-23,26.5118,27.0981,26.2355,26.5118,2529455.0
2020-08-24,27.0189,27.1773,25.2599,25.7511,3295248.0
2020-08-25,26.0047,26.2345,22.8353,23.0096,7462186.0
2020-08-26,23.5009,24.3566,23.0968,24.1585,4174990.0
2020-08-27,24.0872,25.4659,23.5484,24.4596,3316927.0
2020-08-28,24.7765,25.8541,24.6128,25.0539,2840413.0
2020-08-29,24.7765,25.8541,24.6128,25.0539,2840413.0
2020-08-30,24.7765,25.8541,24.6128,25.0539,2840413.0
2020-08-31,25.1648,25.2836,22.2569,23.0255,5220640.0
2020-09-01,23.279,25.5927,23.1047,25.5689,5235828.0
2020-09-02,26.1473,26.385,24.6498,25.3866,3227189.0
2020-09-03,25.1806,26.694,23.9208,24.4913,3016648.0
2020-09-04,24.6577,24.9509,22.3757,24.1427,2456734.0
2020-09-05,24.6577,24.9509,22.3757,24.1427,2456734.0
2020-09-06,24.6577,24.9509,22.3757,24.1427,2456734.0
2020-09-07,24.6577,24.9509,22.3757,24.1427,2456734.0
2020-09-08,24.7449,27.8825,24.6894,26.5752,5098405.0
2020-09-09,26.8604,28.2866,25.6006,28.1361,4179820.0
2020-09-10,27.8271,28.7858,27.5894,27.9301,3439914.0
2020-09-11,27.8345,28.2167,26.9189,27.4205,2181829.0
2020-09-12,27.8345,28.2167,26.9189,27.4205,2181829.0
2020-09-13,27.8345,28.2167,26.9189,27.4205,2181829.0
2020-09-14,27.9858,29.2233,27.6832,28.7422,3406057.0
2020-09-15,30.0479,30.1355,26.0511,26.3377,6300866.0
2020-09-16,26.3855,26.5367,23.782,24.1243,8783428.0
2020-09-17,23.4316,25.2549,23.3361,24.6577,3877371.0
2020-09-18,25.0797,25.0797,23.4157,23.9332,3440706.0
2020-09-19,25.0797,25.0797,23.4157,23.9332,3440706.0
2020-09-20,25.0797,25.0797,23.4157,23.9332,3440706.0
2020-09-21,23.2565,24.7613,22.9061,24.6737,2715776.0
2020-09-22,24.5065,25.4619,24.3234,24.8409,1945650.0
2020-09-23,24.8011,25.6371,22.9778,23.2485,3532240.0
2020-09-24,23.0893,23.6625,22.1816,22.5081,2252320.0
2020-09-25,22.6832,23.352,22.3807,22.4682,1905182.0
2020-09-26,22.6832,23.352,22.3807,22.4682,1905182.0
2020-09-27,22.6832,23.352,22.3807,22.4682,1905182.0
2020-09-28,23.1848,23.4077,21.8631,22.6593,2704929.0
2020-09-29,22.8663,23.6864,22.6912,22.9698,1598540.0
2020-09-30,22.8504,24.5622,22.8504,23.6864,2977101.0
2020-10-01,23.981,24.8886,23.567,24.8488,1547446.0
2020-10-02,23.9332,25.1912,23.8855,24.8409,1340031.0
2020-10-03,23.9332,25.1912,23.8855,24.8409,1340031.0
2020-10-04,23.9332,25.1912,23.8855,24.8409,1340031.0
2020-10-05,25.0956,25.9794,25.0797,25.8361,1418687.0
2020-10-06,25.7565,26.2421,25.0081,25.1912,1806042.0
2020-10-07,25.86,26.4651,25.3504,25.7963,1200560.0
2020-10-08,25.9874,26.1546,24.4351,24.7294,1602799.0
2020-10-09,25.0797,25.2628,24.2518,24.6577,1028036.0
2020-10-10,25.0797,25.2628,24.2518,24.6577,1028036.0
2020-10-11,25.0797,25.2628,24.2518,24.6577,1028036.0
2020-10-12,24.6816,24.8409,23.8934,24.3313,1009147.0
2020-10-13,24.3632,26.0511,24.2638,25.6211,1529517.0
2020-10-14,25.7644,26.0988,24.4152,24.5383,1474057.0
2020-10-15,24.2437,25.8441,23.9969,25.8361,1178511.0
2020-10-16,25.8918,26.3058,25.3663,25.3902,929345.0
2020-10-17,25.8918,26.3058,25.3663,25.3902,929345.0
2020-10-18,25.8918,26.3058,25.3663,25.3902,929345.0
2020-10-19,25.3902,26.0994,24.5781,24.7851,1134517.0
2020-10-20,24.8329,25.5415,24.6896,24.7851,755457.0
2020-10-21,25.1195,25.1434,21.8313,22.3807,4187369.0
2020-10-22,22.5001,22.7151,21.696,22.3488,1628222.0
2020-10-23,22.3488,22.6194,21.2182,22.4364,1824219.0
2020-10-24,22.3488,22.6194,21.2182,22.4364,1824219.0
2020-10-25,22.3488,22.6194,21.2182,22.4364,1824219.0
2020-10-26,21.8552,22.4125,21.1386,21.7437,1409252.0
2020-10-27,21.9667,22.8345,21.8631,22.094,1072288.0
2020-10-28,21.4491,22.5877,21.2465,22.2294,1279974.0
2020-10-29,22.1975,22.4046,21.3337,21.3775,1058769.0
2020-10-30,21.2819,21.6163,20.3823,21.051,2365510.0
2020-10-31,21.2819,21.6163,20.3823,21.051,2365510.0
2020-11-01,21.2819,21.6163,20.3823,21.051,2365510.0
2020-11-02,22.8345,24.4507,21.1194,21.696,7985652.0
2020-11-03,21.8313,23.6625,21.7835,23.3679,3351696.0
2020-11-04,23.36,24.2835,23.1689,24.0367,1402325.0
2020-11-05,24.3472,24.7533,23.6546,24.387,1391319.0
2020-11-06,24.4587,24.4587,22.4205,22.5399,1841357.0
2020-11-07,24.4587,24.4587,22.4205,22.5399,1841357.0
2020-11-08,24.4587,24.4587,22.4205,22.5399,1841357.0
2020-11-09,21.3695,21.696,17.9937,19.2835,7573666.0
2020-11-10,19.594,20.5654,18.551,20.3902,3253424.0
2020-11-11,20.5495,21.0112,19.9921,20.7565,1664738.0
2020-11-12,20.7803,21.0988,20.3584,20.9555,1479075.0
2020-11-13,21.696,22.8106,21.4014,22.2931,2945800.0
2020-11-14,21.696,22.8106,21.4014,22.2931,2945800.0
2020-11-15,21.696,22.8106,21.4014,22.2931,2945800.0
2020-11-16,22.3329,22.8925,21.9905,22.731,1499767.0
2020-11-17,22.6832,23.2326,22.0224,22.9858,1639242.0
2020-11-18,23.0893,23.6982,22.731,22.8902,1628019.0
2020-11-19,23.1132,23.5192,22.7947,23.2644,1326854.0
2020-11-20,23.3122,23.4077,22.3329,22.93,1187484.0
2020-11-21,23.3122,23.4077,22.3329,22.93,1187484.0
2020-11-22,23.3122,23.4077,22.3329,22.93,1187484.0
2020-11-23,22.9061,25.1191,22.9061,24.817,1649719.0
2020-11-24,25.1673,25.4699,24.4189,24.8409,1645233.0
2020-11-25,24.9523,25.1036,23.981,24.2437,926523.0
2020-11-26,24.9523,25.1036,23.981,24.2437,926523.0
2020-11-27,24.4348,25.2469,24.4348,24.8966,528449.0
2020-11-28,24.4348,25.2469,24.4348,24.8966,528449.0
2020-11-29,24.4348,25.2469,24.4348,24.8966,528449.0
2020-11-30,24.8886,25.1116,23.559,24.403,1436592.0
2020-12-01,24.6816,25.589,24.0367,25.3823,1414539.0
2020-12-02,25.0399,25.0797,23.6705,24.4985,1551494.0
2020-12-03,24.5065,24.6737,23.8456,24.0526,961053.0
2020-12-04,24.2119,24.6418,23.7421,24.0288,1004200.0
2020-12-05,24.2119,24.6418,23.7421,24.0288,1004200.0
2020-12-06,24.2119,24.6418,23.7421,24.0288,1004200.0
2020-12-07,23.9253,24.7135,23.7979,24.1482,1177812.0
2020-12-08,23.8855,24.0447,23.2167,23.3281,1685762.0
2020-12-09,23.36,23.5952,22.333,23.153,1983201.0
2020-12-10,22.8345,23.2167,22.5877,22.8265,1088707.0
2020-12-11,22.723,23.2963,22.094,22.6514,1340345.0
2020-12-12,22.723,23.2963,22.094,22.6514,1340345.0
2020-12-13,22.723,23.2963,22.094,22.6514,1340345.0
2020-12-14,23.0227,23.4353,21.8839,22.4616,1473603.0
2020-12-15,22.7504,25.308,22.7421,25.2094,3949086.0
2020-12-16,24.8959,25.424,23.3197,23.5343,2878391.0
2020-12-17,23.5425,23.8395,22.8576,23.6498,1880983.0
2020-12-18,23.6581,24.5823,23.5673,23.6828,2539729.0
2020-12-19,23.6581,24.5823,23.5673,23.6828,2539729.0
2020-12-20,23.6581,24.5823,23.5673,23.6828,2539729.0
2020-12-21,23.2702,23.8726,22.5523,22.9072,2457168.0
2020-12-22,23.0309,23.9386,23.0227,23.4188,1545829.0
2020-12-23,23.4683,24.4668,23.0308,24.0129,1300950.0
2020-12-24,24.0212,24.6318,23.7571,24.0872,398861.0
2020-12-25,24.0212,24.6318,23.7571,24.0872,398861.0
2020-12-26,24.0212,24.6318,23.7571,24.0872,398861.0
2020-12-27,24.0212,24.6318,23.7571,24.0872,398861.0
2020-12-28,24.4503,24.508,22.9567,23.1052,1491940.0
2020-12-29,23.196,23.3775,22.5606,22.7091,1245900.0
2020-12-30,22.8246,23.1217,22.4864,22.5771,898624.0
2020-12-31,22.5028,22.5853,21.3641,21.4961,1826643.0
2021-01-01,22.5028,22.5853,21.3641,21.4961,1826643.0
2021-01-02,22.5028,22.5853,21.3641,21.4961,1826643.0
2021-01-03,22.5028,22.5853,21.3641,21.4961,1826643.0
2021-01-04,21.9417,21.9417,21.1994,21.8757,1626795.0
2021-01-05,21.8509,23.46,21.5291,23.3197,2179830.0
2021-01-06,23.3115,24.2935,22.6266,23.6911,1647303.0
2021-01-07,23.7241,24.3265,23.5673,23.7736,699463.0
2021-01-08,23.7819,24.0128,22.1727,22.6926,1704697.0
2021-01-09,23.7819,24.0128,22.1727,22.6926,1704697.0
2021-01-10,23.7819,24.0128,22.1727,22.6926,1704697.0
2021-01-11,22.5688,23.9882,22.4781,23.8809,1272599.0
2021-01-12,24.1532,26.7773,24.0954,26.0924,2828057.0
2021-01-13,25.9108,26.212,25.1847,25.5312,1293691.0
2021-01-14,25.5478,27.3962,25.5478,26.5462,1279004.0
2021-01-15,26.1254,26.2657,24.9052,25.6715,1085815.0
2021-01-16,26.1254,26.2657,24.9052,25.6715,1085815.0
2021-01-17,26.1254,26.2657,24.9052,25.6715,1085815.0
2021-01-18,26.1254,26.2657,24.9052,25.6715,1085815.0
2021-01-19,26.2162,26.3977,25.1764,26.2492,657506.0
2021-01-20,26.4885,27.8913,26.4802,26.9753,1104281.0
2021-01-21,27.3302,29.7892,27.0826,28.8402,2025234.0
2021-01-22,28.6752,30.0472,28.0068,29.6654,1498305.0
2021-01-23,28.6752,30.0472,28.0068,29.6654,1498305.0
2021-01-24,28.6752,30.0472,28.0068,29.6654,1498305.0
2021-01-25,31.0847,33.5438,29.2116,30.4824,4138194.0
2021-01-26,30.8867,32.1245,29.9625,31.7284,1698946.0
2021-01-27,30.961,32.5701,29.6242,30.0945,2699645.0
2021-01-28,29.9377,30.8619,27.5364,28.7742,1899617.0
2021-01-29,28.766,29.3189,27.3879,28.1883,1587490.0
2021-01-30,28.766,29.3189,27.3879,28.1883,1587490.0
2021-01-31,28.766,29.3189,27.3879,28.1883,1587490.0
2021-02-01,28.3864,28.6257,27.3632,28.3864,870784.0
2021-02-02,29.1126,30.4741,29.0053,29.6819,1170688.0
2021-02-03,30.2348,31.1095,29.4509,30.7959,926437.0
2021-02-04,30.9445,32.9167,30.8785,32.7021,1627593.0
2021-02-05,33.0074,33.1725,31.9182,32.7764,1161413.0
2021-02-06,33.0074,33.1725,31.9182,32.7764,1161413.0
2021-02-07,33.0074,33.1725,31.9182,32.7764,1161413.0
2021-02-08,32.9992,33.6263,31.7284,32.5371,1244185.0
2021-02-09,32.3308,32.9002,31.6129,32.6113,688991.0
2021-02-10,32.3885,32.895,31.027,31.8522,940368.0
2021-02-11,32.1822,34.534,31.5056,31.8934,1984762.0
2021-02-12,31.4478,31.9764,30.3503,31.1343,692624.0
2021-02-13,31.4478,31.9764,30.3503,31.1343,692624.0
2021-02-14,31.4478,31.9764,30.3503,31.1343,692624.0
2021-02-15,31.4478,31.9764,30.3503,31.1343,692624.0
2021-02-16,31.5634,32.0915,31.06,31.1425,618968.0
2021-02-17,30.6557,31.6129,29.8965,31.5634,1004560.0
2021-02-18,31.6211,32.4711,30.1523,30.2348,1053426.0
2021-02-19,30.5071,31.1095,30.3173,30.5071,718039.0
2021-02-20,30.5071,31.1095,30.3173,30.5071,718039.0
2021-02-21,30.5071,31.1095,30.3173,30.5071,718039.0
2021-02-22,30.5071,31.2168,29.6737,30.2101,1233143.0
2021-02-23,29.5004,30.3091,28.1388,29.7892,1510828.0
2021-02-24,30.111,30.9115,29.5004,30.6722,1198619.0
2021-02-25,30.3916,30.5287,26.1749,26.3894,2928373.0
2021-02-26,27.6437,28.0562,25.7128,25.8283,3373119.0
2021-02-27,27.6437,28.0562,25.7128,25.8283,3373119.0
2021-02-28,27.6437,28.0562,25.7128,25.8283,3373119.0
2021-03-01,26.7608,28.7165,26.3977,27.7758,1728289.0
