,CRI US Equity,CRI US Equity,CRI US Equity,CRI US Equity,CRI US Equity
2019-04-26,93.717,94.426,93.11,93.982,670602.0
2019-04-27,93.717,94.426,93.11,93.982,670602.0
2019-04-28,93.717,94.426,93.11,93.982,670602.0
2019-04-29,93.99,94.528,93.154,94.431,1128512.0
2019-04-30,92.458,95.082,91.802,93.26,1970338.0
2019-05-01,93.427,93.537,90.565,92.344,1138641.0
2019-05-02,92.863,94.95,92.401,94.642,791119.0
2019-05-03,95.082,96.606,94.977,95.206,714493.0
2019-05-04,95.082,96.606,94.977,95.206,714493.0
2019-05-05,95.082,96.606,94.977,95.206,714493.0
2019-05-06,93.533,94.299,91.516,92.502,1021126.0
2019-05-07,91.419,92.106,88.584,89.394,895234.0
2019-05-08,89.288,89.685,87.972,88.003,669775.0
2019-05-09,87.58,89.262,86.55,88.179,971256.0
2019-05-10,87.783,88.117,86.303,87.879,688412.0
2019-05-11,87.783,88.117,86.303,87.879,688412.0
2019-05-12,87.783,88.117,86.303,87.879,688412.0
2019-05-13,86.162,86.303,82.666,82.851,682062.0
2019-05-14,82.763,83.265,81.487,82.499,1053458.0
2019-05-15,81.416,81.795,79.637,80.844,1092773.0
2019-05-16,81.099,81.742,80.122,80.439,609452.0
2019-05-17,80.051,81.029,78.827,78.845,786807.0
2019-05-18,80.051,81.029,78.827,78.845,786807.0
2019-05-19,80.051,81.029,78.827,78.845,786807.0
2019-05-20,78.317,78.413,77.189,77.947,871572.0
2019-05-21,78.052,79.778,77.841,79.391,729408.0
2019-05-22,78.774,79.206,77.674,78.959,730567.0
2019-05-23,78.123,78.255,76.965,77.903,445404.0
2019-05-24,78.792,78.986,78.048,78.519,535684.0
2019-05-25,78.792,78.986,78.048,78.519,535684.0
2019-05-26,78.792,78.986,78.048,78.519,535684.0
2019-05-27,78.792,78.986,78.048,78.519,535684.0
2019-05-28,78.944,79.449,77.775,77.908,498473.0
2019-05-29,76.916,77.589,75.588,77.288,678376.0
2019-05-30,77.164,77.961,75.446,75.517,589502.0
2019-05-31,74.809,74.809,72.205,74.481,979969.0
2019-06-01,74.809,74.809,72.205,74.481,979969.0
2019-06-02,74.809,74.809,72.205,74.481,979969.0
2019-06-03,74.428,76.509,74.029,75.73,748418.0
2019-06-04,76.775,79.369,76.531,79.281,609221.0
2019-06-05,79.768,80.388,79.068,80.228,509238.0
2019-06-06,80.069,80.627,78.732,79.484,743324.0
2019-06-07,79.546,82.433,79.289,81.99,951148.0
2019-06-08,79.546,82.433,79.289,81.99,951148.0
2019-06-09,79.546,82.433,79.289,81.99,951148.0
2019-06-10,82.654,83.801,82.309,82.814,724602.0
2019-06-11,83.505,85.78,83.505,84.62,789600.0
2019-06-12,84.178,85.329,84.027,84.789,788506.0
2019-06-13,85.391,86.108,83.992,84.753,666296.0
2019-06-14,84.523,85.656,84.248,84.93,621580.0
2019-06-15,84.523,85.656,84.248,84.93,621580.0
2019-06-16,84.523,85.656,84.248,84.93,621580.0
2019-06-17,84.567,86.763,84.284,86.081,907206.0
2019-06-18,86.94,88.49,84.16,84.47,788293.0
2019-06-19,84.16,84.288,83.004,83.699,632813.0
2019-06-20,84.549,85.063,83.474,84.213,569951.0
2019-06-21,83.859,85.311,83.549,84.93,1056303.0
2019-06-22,83.859,85.311,83.549,84.93,1056303.0
2019-06-23,83.859,85.311,83.549,84.93,1056303.0
2019-06-24,84.842,84.842,82.902,83.212,895278.0
2019-06-25,83.221,83.363,81.503,81.698,616645.0
2019-06-26,82.043,84.461,81.565,84.116,592236.0
2019-06-27,84.541,85.718,84.479,84.532,665876.0
2019-06-28,84.797,86.639,84.222,86.374,1082742.0
2019-06-29,84.797,86.639,84.222,86.374,1082742.0
2019-06-30,84.797,86.639,84.222,86.374,1082742.0
2019-07-01,87.631,88.543,83.009,84.355,1180202.0
2019-07-02,84.027,85.532,82.221,82.61,653392.0
2019-07-03,82.725,84.452,82.468,84.151,396171.0
2019-07-04,82.725,84.452,82.468,84.151,396171.0
2019-07-05,83.859,84.425,83.053,83.699,547414.0
2019-07-06,83.859,84.425,83.053,83.699,547414.0
2019-07-07,83.859,84.425,83.053,83.699,547414.0
2019-07-08,83.398,83.841,82.212,83.141,618000.0
2019-07-09,82.274,82.84,81.043,81.176,644271.0
2019-07-10,81.733,82.039,79.878,80.148,702808.0
2019-07-11,80.219,81.503,79.9,81.087,481695.0
2019-07-12,81.379,83.54,81.14,82.876,603660.0
2019-07-13,81.379,83.54,81.14,82.876,603660.0
2019-07-14,81.379,83.54,81.14,82.876,603660.0
2019-07-15,83.133,83.713,81.76,82.477,344104.0
2019-07-16,82.504,84.39,82.111,83.221,544372.0
2019-07-17,82.796,83.164,81.308,81.326,526759.0
2019-07-18,81.362,81.822,80.405,81.672,766113.0
2019-07-19,82.256,82.743,80.308,80.352,512662.0
2019-07-20,82.256,82.743,80.308,80.352,512662.0
2019-07-21,82.256,82.743,80.308,80.352,512662.0
2019-07-22,80.556,81.764,78.864,78.891,847309.0
2019-07-23,79.493,80.83,78.785,79.838,1075557.0
2019-07-24,79.936,82.017,79.467,81.344,1020482.0
2019-07-25,83.735,89.154,83.735,87.658,2104148.0
2019-07-26,87.897,88.065,84.399,84.479,1034120.0
2019-07-27,87.897,88.065,84.399,84.479,1034120.0
2019-07-28,87.897,88.065,84.399,84.479,1034120.0
2019-07-29,84.753,84.82,81.326,84.479,929183.0
2019-07-30,83.832,84.7,81.751,82.052,635054.0
2019-07-31,81.973,83.354,81.539,82.371,606262.0
2019-08-01,82.265,82.902,77.102,77.722,831502.0
2019-08-02,77.359,78.59,77.067,77.572,506008.0
2019-08-03,77.359,78.59,77.067,77.572,506008.0
2019-08-04,77.359,78.59,77.067,77.572,506008.0
2019-08-05,76.155,77.518,74.747,76.978,693838.0
2019-08-06,77.288,78.147,76.226,77.97,553753.0
2019-08-07,77.253,78.723,76.509,77.917,651874.0
2019-08-08,78.014,79.227,77.66,78.112,675011.0
2019-08-09,77.926,78.023,76.376,77.51,495650.0
2019-08-10,77.926,78.023,76.376,77.51,495650.0
2019-08-11,77.926,78.023,76.376,77.51,495650.0
2019-08-12,76.757,77.12,75.632,76.81,387476.0
2019-08-13,76.535,82.513,76.013,78.944,1433454.0
2019-08-14,77.173,77.173,73.764,74.809,682849.0
2019-08-15,75.216,76.925,74.818,76.491,754314.0
2019-08-16,76.775,78.492,76.624,77.147,470970.0
2019-08-17,76.775,78.492,76.624,77.147,470970.0
2019-08-18,76.775,78.492,76.624,77.147,470970.0
2019-08-19,78.519,79.44,78.174,78.599,637462.0
2019-08-20,78.546,79.396,77.943,78.953,470792.0
2019-08-21,79.599,80.861,79.219,79.529,694335.0
2019-08-22,79.768,81.831,79.316,81.627,666655.0
2019-08-23,80.565,80.928,77.111,77.244,639827.0
2019-08-24,80.565,80.928,77.111,77.244,639827.0
2019-08-25,80.565,80.928,77.111,77.244,639827.0
2019-08-26,78.484,78.802,77.023,78.714,348986.0
2019-08-27,79.591,79.591,76.35,77.102,695902.0
2019-08-28,76.837,80.104,76.358,79.874,619769.0
2019-08-29,81.043,82.84,80.786,82.159,574272.0
2019-08-30,82.577,83.316,81.135,81.446,733672.0
2019-08-31,82.577,83.316,81.135,81.446,733672.0
2019-09-01,82.577,83.316,81.135,81.446,733672.0
2019-09-02,82.577,83.316,81.135,81.446,733672.0
2019-09-03,80.725,80.787,78.094,79.488,679196.0
2019-09-04,80.182,83.352,80.182,83.191,923711.0
2019-09-05,84.286,87.171,84.135,85.684,1095431.0
2019-09-06,86.156,87.002,85.301,85.506,698620.0
2019-09-07,86.156,87.002,85.301,85.506,698620.0
2019-09-08,86.156,87.002,85.301,85.506,698620.0
2019-09-09,85.595,86.343,85.097,85.64,548129.0
2019-09-10,85.471,87.082,84.491,86.575,580059.0
2019-09-11,86.628,87.883,85.146,87.251,444970.0
2019-09-12,87.002,87.313,85.105,86.218,915461.0
2019-09-13,86.414,87.563,84.482,85.257,639304.0
2019-09-14,86.414,87.563,84.482,85.257,639304.0
2019-09-15,86.414,87.563,84.482,85.257,639304.0
2019-09-16,84.553,84.74,80.796,81.402,776623.0
2019-09-17,80.948,81.019,79.292,79.764,655607.0
2019-09-18,79.799,79.853,77.885,79.149,672669.0
2019-09-19,79.203,79.55,78.054,78.259,616835.0
2019-09-20,78.508,80.6,78.339,79.345,1160314.0
2019-09-21,78.508,80.6,78.339,79.345,1160314.0
2019-09-22,78.508,80.6,78.339,79.345,1160314.0
2019-09-23,78.802,79.87,77.903,79.55,704120.0
2019-09-24,79.915,81.117,77.556,77.84,548046.0
2019-09-25,77.867,79.71,77.467,79.496,911131.0
2019-09-26,79.283,80.458,77.351,79.701,1161605.0
2019-09-27,79.933,80.663,77.823,78.366,553433.0
2019-09-28,79.933,80.663,77.823,78.366,553433.0
2019-09-29,79.933,80.663,77.823,78.366,553433.0
2019-09-30,78.579,82.63,78.579,81.206,802822.0
2019-10-01,81.304,82.408,80.565,80.663,657673.0
2019-10-02,83.245,83.245,79.986,81.188,787104.0
2019-10-03,81.037,81.509,77.84,80.307,505412.0
2019-10-04,80.431,81.82,80.155,81.758,594453.0
2019-10-05,80.431,81.82,80.155,81.758,594453.0
2019-10-06,80.431,81.82,80.155,81.758,594453.0
2019-10-07,81.669,81.923,79.577,79.719,466428.0
2019-10-08,78.944,79.648,76.737,78.847,458575.0
2019-10-09,79.808,80.405,78.864,80.057,512685.0
2019-10-10,80.316,82.256,80.316,82.203,589039.0
2019-10-11,83.547,85.506,82.871,83.823,693089.0
2019-10-12,83.547,85.506,82.871,83.823,693089.0
2019-10-13,83.547,85.506,82.871,83.823,693089.0
2019-10-14,83.592,84.402,82.96,83.832,429889.0
2019-10-15,84.01,85.221,83.797,84.553,350256.0
2019-10-16,84.001,85.657,83.895,84.919,519073.0
2019-10-17,85.586,86.539,84.963,86.468,416878.0
2019-10-18,85.96,86.147,84.589,85.64,443189.0
2019-10-19,85.96,86.147,84.589,85.64,443189.0
2019-10-20,85.96,86.147,84.589,85.64,443189.0
2019-10-21,86.414,88.422,85.889,86.352,679939.0
2019-10-22,86.503,88.186,86.37,87.848,575969.0
2019-10-23,87.785,88.168,86.174,86.699,961151.0
2019-10-24,88.48,90.091,83.031,89.415,1698449.0
2019-10-25,87.171,90.43,85.542,89.023,815136.0
2019-10-26,87.171,90.43,85.542,89.023,815136.0
2019-10-27,87.171,90.43,85.542,89.023,815136.0
2019-10-28,89.139,89.655,87.776,88.996,760825.0
2019-10-29,88.551,90.225,88.493,89.219,563202.0
2019-10-30,89.13,89.753,88.222,89.673,541610.0
2019-10-31,89.922,89.922,87.687,89.245,571961.0
2019-11-01,89.789,91.712,89.09,91.471,615932.0
2019-11-02,89.789,91.712,89.09,91.471,615932.0
2019-11-03,89.789,91.712,89.09,91.471,615932.0
2019-11-04,91.605,92.504,91.16,92.032,547265.0
2019-11-05,92.281,93.359,91.578,92.273,419962.0
2019-11-06,92.219,92.887,91.044,92.753,409029.0
2019-11-07,93.474,96.03,93.412,94.961,618214.0
2019-11-08,94.819,96.76,94.663,96.733,529545.0
2019-11-09,94.819,96.76,94.663,96.733,529545.0
2019-11-10,94.819,96.76,94.663,96.733,529545.0
2019-11-11,95.531,97.018,95.531,96.243,532304.0
2019-11-12,96.867,98.932,94.917,95.148,706969.0
2019-11-13,94.605,94.739,93.198,93.697,480887.0
2019-11-14,93.813,94.863,93.252,93.501,436370.0
2019-11-15,94.187,94.632,92.557,92.744,448299.0
2019-11-16,94.187,94.632,92.557,92.744,448299.0
2019-11-17,94.187,94.632,92.557,92.744,448299.0
2019-11-18,92.593,92.682,90.928,92.023,483447.0
2019-11-19,91.382,91.498,89.201,89.343,544284.0
2019-11-20,89.343,89.45,87.972,89.165,557233.0
2019-11-21,89.29,89.922,88.693,88.961,482940.0
2019-11-22,89.717,90.679,89.343,90.367,391275.0
2019-11-23,89.717,90.679,89.343,90.367,391275.0
2019-11-24,89.717,90.679,89.343,90.367,391275.0
2019-11-25,91.08,91.503,90.198,90.349,379616.0
2019-11-26,90.367,91.186,89.726,90.634,312621.0
2019-11-27,90.83,92.477,90.688,92.37,352965.0
2019-11-28,90.83,92.477,90.688,92.37,352965.0
2019-11-29,92.37,92.994,91.908,91.979,212295.0
2019-11-30,92.37,92.994,91.908,91.979,212295.0
2019-12-01,92.37,92.994,91.908,91.979,212295.0
2019-12-02,91.961,92.328,89.492,90.019,382195.0
2019-12-03,88.695,89.022,87.201,88.731,579386.0
2019-12-04,89.062,90.534,88.901,90.297,354056.0
2019-12-05,90.843,92.596,90.699,92.399,402734.0
2019-12-06,93.043,94.314,92.578,92.614,413560.0
2019-12-07,93.043,94.314,92.578,92.614,413560.0
2019-12-08,93.043,94.314,92.578,92.614,413560.0
2019-12-09,92.525,93.195,91.549,91.558,400466.0
2019-12-10,91.37,91.701,90.297,90.467,336184.0
2019-12-11,88.579,89.313,87.622,88.991,829192.0
2019-12-12,89.107,91.335,88.57,91.263,718724.0
2019-12-13,90.735,92.337,89.796,91.576,481876.0
2019-12-14,90.735,92.337,89.796,91.576,481876.0
2019-12-15,90.735,92.337,89.796,91.576,481876.0
2019-12-16,92.39,95.468,92.328,94.18,783747.0
2019-12-17,94.412,95.28,93.643,95.173,458794.0
2019-12-18,95.056,97.289,95.056,96.881,591782.0
2019-12-19,96.881,97.597,96.264,97.391,527471.0
2019-12-20,97.955,99.087,97.373,98.993,682022.0
2019-12-21,97.955,99.087,97.373,98.993,682022.0
2019-12-22,97.955,99.087,97.373,98.993,682022.0
2019-12-23,99.252,100.174,98.769,99.163,334896.0
2019-12-24,99.306,99.807,98.921,99.431,162770.0
2019-12-25,99.306,99.807,98.921,99.431,162770.0
2019-12-26,99.539,100.022,98.653,99.02,348585.0
2019-12-27,99.458,99.458,98.116,98.465,320440.0
2019-12-28,99.458,99.458,98.116,98.465,320440.0
2019-12-29,99.458,99.458,98.116,98.465,320440.0
2019-12-30,98.465,99.261,97.883,98.671,543674.0
2019-12-31,98.635,99.306,97.731,97.821,380134.0
2020-01-01,98.635,99.306,97.731,97.821,380134.0
2020-01-02,98.232,99.091,97.181,98.581,652255.0
2020-01-03,97.266,98.644,97.253,98.304,274678.0
2020-01-04,97.266,98.644,97.253,98.304,274678.0
2020-01-05,97.266,98.644,97.253,98.304,274678.0
2020-01-06,97.221,99.659,97.221,98.814,557007.0
2020-01-07,98.384,99.395,96.345,96.729,631444.0
2020-01-08,96.631,97.552,96.04,96.157,414993.0
2020-01-09,96.479,97.588,95.074,96.112,349685.0
2020-01-10,96.282,96.725,95.28,95.584,243437.0
2020-01-11,96.282,96.725,95.28,95.584,243437.0
2020-01-12,96.282,96.725,95.28,95.584,243437.0
2020-01-13,95.844,97.454,95.799,97.427,426579.0
2020-01-14,97.409,98.089,96.756,96.953,290236.0
2020-01-15,96.962,97.396,96.318,96.667,295626.0
2020-01-16,97.248,98.827,97.248,97.705,329415.0
2020-01-17,98.009,99.181,97.749,99.136,391477.0
2020-01-18,98.009,99.181,97.749,99.136,391477.0
2020-01-19,98.009,99.181,97.749,99.136,391477.0
2020-01-20,98.009,99.181,97.749,99.136,391477.0
2020-01-21,98.778,99.458,98.51,98.751,412349.0
2020-01-22,99.172,99.364,98.179,98.868,403370.0
2020-01-23,97.928,97.991,96.568,97.195,573423.0
2020-01-24,97.874,98.787,97.025,97.892,487223.0
2020-01-25,97.874,98.787,97.025,97.892,487223.0
2020-01-26,97.874,98.787,97.025,97.892,487223.0
2020-01-27,95.629,97.087,95.575,96.685,503484.0
2020-01-28,97.275,100.04,96.595,99.762,423304.0
2020-01-29,100.066,100.608,99.539,99.78,247310.0
2020-01-30,98.966,99.941,98.349,99.082,256179.0
2020-01-31,99.073,99.252,94.797,94.895,564726.0
2020-02-01,99.073,99.252,94.797,94.895,564726.0
2020-02-02,99.073,99.252,94.797,94.895,564726.0
2020-02-03,95.441,97.226,95.056,95.602,388236.0
2020-02-04,97.526,97.754,96.389,96.443,359977.0
2020-02-05,97.543,98.367,97.093,98.018,255484.0
2020-02-06,98.554,98.554,97.105,97.15,324351.0
2020-02-07,96.872,97.4,94.77,95.307,383942.0
2020-02-08,96.872,97.4,94.77,95.307,383942.0
2020-02-09,96.872,97.4,94.77,95.307,383942.0
2020-02-10,94.895,95.647,94.779,95.548,278963.0
2020-02-11,95.575,96.193,95.146,95.611,295141.0
2020-02-12,96.452,98.993,96.273,98.724,479757.0
2020-02-13,97.973,98.859,97.66,98.206,266568.0
2020-02-14,98.304,98.832,98.022,98.68,199301.0
2020-02-15,98.304,98.832,98.022,98.68,199301.0
2020-02-16,98.304,98.832,98.022,98.68,199301.0
2020-02-17,98.304,98.832,98.022,98.68,199301.0
2020-02-18,98.286,99.216,97.758,98.635,418151.0
2020-02-19,98.948,99.243,98.452,99.064,441902.0
2020-02-20,98.796,100.496,98.152,99.619,561349.0
2020-02-21,99.19,100.057,98.049,99.064,1001853.0
2020-02-22,99.19,100.057,98.049,99.064,1001853.0
2020-02-23,99.19,100.057,98.049,99.064,1001853.0
2020-02-24,85.886,87.801,82.209,86.459,2421121.0
2020-02-25,86.763,86.906,81.279,82.057,1177127.0
2020-02-26,83.166,83.878,80.894,80.939,998390.0
2020-02-27,79.15,83.498,77.409,82.039,1272732.0
2020-02-28,79.167,82.701,79.167,81.833,1053184.0
2020-02-29,79.167,82.701,79.167,81.833,1053184.0
2020-03-01,79.167,82.701,79.167,81.833,1053184.0
2020-03-02,81.959,85.242,80.357,85.001,866707.0
2020-03-03,85.287,86.897,81.118,81.753,761537.0
2020-03-04,83.256,83.489,81.315,83.059,566660.0
2020-03-05,80.61,80.934,77.125,78.791,838129.0
2020-03-06,76.558,78.71,76.117,78.188,993095.0
2020-03-07,76.558,78.71,76.117,78.188,993095.0
2020-03-08,76.558,78.71,76.117,78.188,993095.0
2020-03-09,73.406,74.773,71.587,73.316,1077784.0
2020-03-10,76.324,76.855,70.354,74.226,1058043.0
2020-03-11,72.434,73.523,70.354,71.911,930181.0
2020-03-12,67.742,69.498,65.824,66.184,948297.0
2020-03-13,69.111,69.417,65.77,68.012,1123907.0
2020-03-14,69.111,69.417,65.77,68.012,1123907.0
2020-03-15,69.111,69.417,65.77,68.012,1123907.0
2020-03-16,57.81,62.925,56.883,57.738,1000538.0
2020-03-17,58.9,68.246,57.198,67.769,996044.0
2020-03-18,62.799,68.949,61.817,68.336,1147046.0
2020-03-19,67.679,71.182,62.583,65.14,972221.0
2020-03-20,65.473,66.77,59.179,59.872,948832.0
2020-03-21,65.473,66.77,59.179,59.872,948832.0
2020-03-22,65.473,66.77,59.179,59.872,948832.0
2020-03-23,59.503,62.42,56.648,58.774,744344.0
2020-03-24,60.944,64.266,60.156,63.465,612694.0
2020-03-25,62.348,67.778,61.479,65.158,695236.0
2020-03-26,65.356,70.588,64.341,68.382,468827.0
2020-03-27,66.112,66.315,62.393,62.709,557618.0
2020-03-28,66.112,66.315,62.393,62.709,557618.0
2020-03-29,66.112,66.315,62.393,62.709,557618.0
2020-03-30,62.483,62.483,57.535,59.431,1193215.0
2020-03-31,59.683,62.321,58.611,59.188,663917.0
2020-04-01,57.432,57.819,54.181,56.549,792552.0
2020-04-02,55.892,61.196,55.892,60.683,644431.0
2020-04-03,59.89,60.971,56.892,59.035,486732.0
2020-04-04,59.89,60.971,56.892,59.035,486732.0
2020-04-05,59.89,60.971,56.892,59.035,486732.0
2020-04-06,62.123,65.104,61.178,63.933,686776.0
2020-04-07,67.535,69.485,64.64,65.923,1066042.0
2020-04-08,66.671,71.605,65.991,70.813,458245.0
2020-04-09,72.686,74.271,68.94,69.885,675186.0
2020-04-10,72.686,74.271,68.94,69.885,675186.0
2020-04-11,72.686,74.271,68.94,69.885,675186.0
2020-04-12,72.686,74.271,68.94,69.885,675186.0
2020-04-13,69.741,69.831,64.311,65.779,756820.0
2020-04-14,67.013,68.706,66.707,67.598,570676.0
2020-04-15,65.338,66.13,61.506,61.925,546628.0
2020-04-16,62.42,65.302,61.088,65.185,750838.0
2020-04-17,67.643,69.557,67.008,68.553,582316.0
2020-04-18,67.643,69.557,67.008,68.553,582316.0
2020-04-19,67.643,69.557,67.008,68.553,582316.0
2020-04-20,66.59,68.967,65.383,66.95,490317.0
2020-04-21,65.347,65.851,64.365,64.942,434161.0
2020-04-22,66.599,66.783,64.564,64.852,307808.0
2020-04-23,64.942,65.815,64.235,64.735,375723.0
2020-04-24,65.518,66.238,64.248,64.717,316298.0
2020-04-25,65.518,66.238,64.248,64.717,316298.0
2020-04-26,65.518,66.238,64.248,64.717,316298.0
2020-04-27,65.446,71.794,65.446,70.354,580014.0
2020-04-28,72.902,73.829,71.15,72.416,806956.0
2020-04-29,74.199,76.378,73.847,74.586,633464.0
2020-04-30,73.595,74.316,70.336,70.417,597451.0
2020-05-01,68.967,69.309,67.013,67.625,498250.0
2020-05-02,68.967,69.309,67.013,67.625,498250.0
2020-05-03,68.967,69.309,67.013,67.625,498250.0
2020-05-04,66.671,68.255,65.671,68.048,639078.0
2020-05-05,64.789,69.669,64.789,66.599,904583.0
2020-05-06,66.743,68.922,65.797,68.49,756469.0
2020-05-07,69.093,71.083,68.346,68.598,540489.0
