,RNST US Equity,RNST US Equity,RNST US Equity,RNST US Equity,RNST US Equity
2020-02-18,28.3267,28.4331,27.9987,28.3444,176512.0
2020-02-19,28.4774,28.5217,28.3178,28.3178,83389.0
2020-02-20,28.3356,28.9916,28.3356,28.5306,180263.0
2020-02-21,28.504,28.5395,28.1937,28.3267,202630.0
2020-02-22,28.504,28.5395,28.1937,28.3267,202630.0
2020-02-23,28.504,28.5395,28.1937,28.3267,202630.0
2020-02-24,27.5199,27.5199,26.2699,27.3337,315147.0
2020-02-25,27.2982,27.449,26.2432,26.2964,226010.0
2020-02-26,26.5978,26.7042,25.6492,25.6758,313999.0
2020-02-27,24.8246,26.5358,24.7449,25.3389,357128.0
2020-02-28,24.5232,25.2325,24.4434,25.1172,433745.0
2020-02-29,24.5232,25.2325,24.4434,25.1172,433745.0
2020-03-01,24.5232,25.2325,24.4434,25.1172,433745.0
2020-03-02,25.1793,26.3407,24.8512,26.3141,267167.0
2020-03-03,26.2432,26.4914,25.5162,25.7467,399048.0
2020-03-04,26.0659,26.1811,25.299,26.0925,303573.0
2020-03-05,25.4098,25.4187,24.1686,24.4257,329487.0
2020-03-06,23.4416,24.3305,23.2731,23.9203,228736.0
2020-03-07,23.4416,24.3305,23.2731,23.9203,228736.0
2020-03-08,23.4416,24.3305,23.2731,23.9203,228736.0
2020-03-09,22.1915,23.1231,21.2517,21.4201,233673.0
2020-03-10,22.1826,22.6968,20.7906,22.0851,341117.0
2020-03-11,21.4822,21.7393,20.3562,20.6931,223318.0
2020-03-12,19.3278,20.5335,18.5387,19.2036,460735.0
2020-03-13,20.3473,21.2073,19.3765,21.1985,403481.0
2020-03-14,20.3473,21.2073,19.3765,21.1985,403481.0
2020-03-15,20.3473,21.2073,19.3765,21.1985,403481.0
2020-03-16,17.7892,20.0084,17.6997,19.024,394751.0
2020-03-17,19.4088,21.9143,19.1851,21.7622,563894.0
2020-03-18,20.5631,20.9569,18.9972,19.6057,350448.0
2020-03-19,19.1314,22.0396,18.7109,21.0285,449889.0
2020-03-20,21.0821,21.3059,18.4692,18.7824,553290.0
2020-03-21,21.0821,21.3059,18.4692,18.7824,553290.0
2020-03-22,21.0821,21.3059,18.4692,18.7824,553290.0
2020-03-23,19.0598,19.0598,16.3038,16.9301,335157.0
2020-03-24,17.3239,17.963,16.7154,17.8339,373870.0
2020-03-25,17.9055,18.4066,17.0733,17.9413,378487.0
2020-03-26,18.0397,19.5967,17.8966,19.3104,298357.0
2020-03-27,18.3887,19.0688,18.0845,18.7466,280994.0
2020-03-28,18.3887,19.0688,18.0845,18.7466,280994.0
2020-03-29,18.3887,19.0688,18.0845,18.7466,280994.0
2020-03-30,18.8988,19.3283,17.8438,19.2299,273789.0
2020-03-31,19.212,19.6146,18.8003,19.543,425558.0
2020-04-01,18.863,19.3104,18.3619,19.2835,379205.0
2020-04-02,19.1135,20.2052,19.1135,19.9815,263786.0
2020-04-03,19.7041,19.9412,19.382,19.6773,730964.0
2020-04-04,19.7041,19.9412,19.382,19.6773,730964.0
2020-04-05,19.7041,19.9412,19.382,19.6773,730964.0
2020-04-06,20.5452,20.6705,19.722,20.5452,597387.0
2020-04-07,21.0285,21.3506,20.3394,20.8047,506307.0
2020-04-08,20.9658,21.4848,20.5184,21.3595,368017.0
2020-04-09,21.9501,22.8629,21.5743,22.7823,387184.0
2020-04-10,21.9501,22.8629,21.5743,22.7823,387184.0
2020-04-11,21.9501,22.8629,21.5743,22.7823,387184.0
2020-04-12,21.9501,22.8629,21.5743,22.7823,387184.0
2020-04-13,22.657,22.657,21.4132,21.7085,187311.0
2020-04-14,22.2544,22.3707,21.1269,21.458,226218.0
2020-04-15,20.6258,21.8964,20.0262,20.25,290869.0
2020-04-16,20.1426,20.2947,19.0777,19.4894,236268.0
2020-04-17,20.2768,21.0553,19.8562,20.7869,242237.0
2020-04-18,20.2768,21.0553,19.8562,20.7869,242237.0
2020-04-19,20.2768,21.0553,19.8562,20.7869,242237.0
2020-04-20,20.241,21.1537,19.9905,20.7332,315855.0
2020-04-21,20.1426,20.5274,19.9368,20.2231,144995.0
2020-04-22,20.6705,20.8137,20.3931,20.5095,264630.0
2020-04-23,20.5721,21.0016,20.3931,20.581,182740.0
2020-04-24,20.6884,21.0464,20.4916,20.8763,125121.0
2020-04-25,20.6884,21.0464,20.4916,20.8763,125121.0
2020-04-26,20.6884,21.0464,20.4916,20.8763,125121.0
2020-04-27,21.0464,22.8181,21.0195,22.6123,189587.0
2020-04-28,23.4534,23.7622,22.8897,23.4445,220134.0
2020-04-29,22.7465,24.0082,21.8696,23.0687,489777.0
2020-04-30,22.5049,23.704,21.9591,23.4713,380988.0
2020-05-01,22.9881,23.2476,22.147,22.3975,278917.0
2020-05-02,22.9881,23.2476,22.147,22.3975,278917.0
2020-05-03,22.9881,23.2476,22.147,22.3975,278917.0
2020-05-04,22.2007,22.2007,21.1537,21.8338,254817.0
2020-05-05,22.2544,22.4691,21.0016,21.0195,234405.0
2020-05-06,21.628,21.628,19.9547,20.0173,171333.0
2020-05-07,20.3036,20.7421,19.9636,20.0441,233534.0
2020-05-08,20.5274,21.4759,20.5274,21.4043,275168.0
2020-05-09,20.5274,21.4759,20.5274,21.4043,275168.0
2020-05-10,20.5274,21.4759,20.5274,21.4043,275168.0
2020-05-11,21.0106,21.0106,19.9457,20.1247,273063.0
2020-05-12,20.1873,20.2589,18.8898,18.9167,250898.0
2020-05-13,18.8003,18.9882,17.4089,18.1561,263269.0
2020-05-14,17.6818,18.6482,17.3418,18.6214,308399.0
2020-05-15,18.5677,18.684,18.0845,18.3082,202998.0
2020-05-16,18.5677,18.684,18.0845,18.3082,202998.0
2020-05-17,18.5677,18.684,18.0845,18.3082,202998.0
2020-05-18,19.0598,20.2231,19.0598,20.0531,224411.0
2020-05-19,19.8831,20.1873,18.9614,18.9614,235937.0
2020-05-20,19.4357,20.3573,19.3462,20.1515,205843.0
2020-05-21,20.1515,20.4647,19.8562,20.1157,120919.0
2020-05-22,20.25,20.3394,19.5162,19.7489,122862.0
2020-05-23,20.25,20.3394,19.5162,19.7489,122862.0
2020-05-24,20.25,20.3394,19.5162,19.7489,122862.0
2020-05-25,20.25,20.3394,19.5162,19.7489,122862.0
2020-05-26,20.6795,21.798,20.3215,21.6101,285763.0
2020-05-27,22.4154,22.9613,21.8427,22.8807,274929.0
2020-05-28,23.2118,23.2118,21.7354,21.9322,213174.0
2020-05-29,21.5117,21.807,21.0642,21.5832,311132.0
2020-05-30,21.5117,21.807,21.0642,21.5832,311132.0
2020-05-31,21.5117,21.807,21.0642,21.5832,311132.0
2020-06-01,21.7443,22.0933,21.3953,21.3953,220464.0
2020-06-02,21.7264,22.147,21.3953,21.5117,216992.0
2020-06-03,22.1112,23.4713,22.1112,22.7197,369845.0
2020-06-04,22.5765,23.1134,22.3349,23.0955,198576.0
2020-06-05,24.7509,25.4981,24.2588,24.5809,356535.0
2020-06-06,24.7509,25.4981,24.2588,24.5809,356535.0
2020-06-07,24.7509,25.4981,24.2588,24.5809,356535.0
2020-06-08,25.2073,25.4668,24.1961,24.5272,239783.0
2020-06-09,23.9545,24.921,23.4266,24.3751,194506.0
2020-06-10,24.1156,24.2633,22.9165,22.9434,182048.0
2020-06-11,21.6906,21.6906,20.6079,20.7958,238446.0
2020-06-12,21.8249,21.8606,20.5721,21.1895,249108.0
2020-06-13,21.8249,21.8606,20.5721,21.1895,249108.0
2020-06-14,21.8249,21.8606,20.5721,21.1895,249108.0
2020-06-15,20.3766,21.9211,20.1418,21.8037,251580.0
2020-06-16,22.8153,22.9508,22.1108,22.8334,254564.0
2020-06-17,22.8876,22.8876,21.7766,21.876,238993.0
2020-06-18,21.6411,22.3637,21.6411,22.0747,168293.0
2020-06-19,22.3456,22.4355,21.1444,21.7134,481388.0
2020-06-20,22.3456,22.4355,21.1444,21.7134,481388.0
2020-06-21,22.3456,22.4355,21.1444,21.7134,481388.0
2020-06-22,21.4244,22.1469,21.1895,21.885,194162.0
2020-06-23,22.3005,22.4811,21.4514,21.4605,184057.0
2020-06-24,21.2166,21.2166,20.4308,20.7831,278344.0
2020-06-25,20.6927,21.5598,20.4398,21.5327,190053.0
2020-06-26,21.0992,21.0992,20.1418,20.774,528056.0
2020-06-27,21.0992,21.0992,20.1418,20.774,528056.0
2020-06-28,21.0992,21.0992,20.1418,20.774,528056.0
2020-06-29,20.9818,22.0205,20.9818,21.7856,223810.0
2020-06-30,21.6682,22.6301,21.507,22.4901,276234.0
2020-07-01,22.454,22.5624,21.0902,21.1895,238677.0
2020-07-02,21.8218,22.0566,20.8824,21.0179,173045.0
2020-07-03,21.8218,22.0566,20.8824,21.0179,173045.0
2020-07-04,21.8218,22.0566,20.8824,21.0179,173045.0
2020-07-05,21.8218,22.0566,20.8824,21.0179,173045.0
2020-07-06,21.5689,21.894,20.8192,20.9547,180447.0
2020-07-07,20.765,20.8644,20.2863,20.3676,163841.0
2020-07-08,20.3856,20.6205,19.7534,20.1237,326598.0
2020-07-09,20.0063,20.8824,19.1031,19.1844,209382.0
2020-07-10,19.1663,20.3134,19.1663,20.3044,165940.0
2020-07-11,19.1663,20.3134,19.1663,20.3044,165940.0
2020-07-12,19.1663,20.3134,19.1663,20.3044,165940.0
2020-07-13,20.6024,21.2166,20.0605,20.774,254543.0
2020-07-14,20.7108,21.0179,19.9431,20.4037,195403.0
2020-07-15,20.8824,21.4785,20.8824,21.3521,293856.0
2020-07-16,21.1534,21.7043,20.9998,21.1534,201746.0
2020-07-17,21.054,21.3295,20.6386,20.6837,151239.0
2020-07-18,21.054,21.3295,20.6386,20.6837,151239.0
2020-07-19,21.054,21.3295,20.6386,20.6837,151239.0
2020-07-20,20.5482,20.6431,20.2773,20.2773,223421.0
2020-07-21,20.5482,21.6321,20.5482,21.5689,196443.0
2020-07-22,21.2889,21.5237,20.8553,21.325,202597.0
2020-07-23,21.2708,21.8218,21.2708,21.6682,204412.0
2020-07-24,21.7585,21.9753,21.6005,21.6321,177433.0
2020-07-25,21.7585,21.9753,21.6005,21.6321,177433.0
2020-07-26,21.7585,21.9753,21.6005,21.6321,177433.0
2020-07-27,21.5237,21.5689,20.9276,21.3611,268936.0
2020-07-28,23.0321,23.0321,21.7947,21.8489,298245.0
2020-07-29,21.8127,22.3366,21.5869,22.3321,222442.0
2020-07-30,21.7676,21.9663,21.2618,21.4244,236999.0
2020-07-31,21.2979,21.3521,20.494,20.9818,200382.0
2020-08-01,21.2979,21.3521,20.494,20.9818,200382.0
2020-08-02,21.2979,21.3521,20.494,20.9818,200382.0
2020-08-03,21.1263,21.4153,20.7424,21.1805,199047.0
2020-08-04,21.0721,21.3069,20.9185,21.2527,234603.0
2020-08-05,21.4966,21.9121,21.2166,21.8398,155559.0
2020-08-06,21.7766,21.9753,21.4244,21.7314,116484.0
2020-08-07,21.5147,22.8063,21.4514,22.7882,149466.0
2020-08-08,21.5147,22.8063,21.4514,22.7882,149466.0
2020-08-09,21.5147,22.8063,21.4514,22.7882,149466.0
2020-08-10,22.8966,23.7366,22.8966,23.6192,244000.0
2020-08-11,23.9534,24.5314,23.845,24.0617,241060.0
2020-08-12,24.6127,24.6127,23.2669,23.7456,323648.0
2020-08-13,23.5379,23.863,23.1856,23.3753,167629.0
2020-08-14,23.1134,23.7185,23.0321,23.4837,433097.0
2020-08-15,23.1134,23.7185,23.0321,23.4837,433097.0
2020-08-16,23.1134,23.7185,23.0321,23.4837,433097.0
2020-08-17,23.3572,23.5108,22.9869,23.2759,257402.0
2020-08-18,23.2669,23.303,22.6347,22.6889,213113.0
2020-08-19,22.6979,23.1947,22.6166,22.9147,147828.0
2020-08-20,22.5985,22.6708,22.2824,22.4901,224487.0
2020-08-21,22.4721,22.6256,22.0476,22.4179,189248.0
2020-08-22,22.4721,22.6256,22.0476,22.4179,189248.0
2020-08-23,22.4721,22.6256,22.0476,22.4179,189248.0
2020-08-24,22.6166,23.3482,22.2553,23.3301,172164.0
2020-08-25,23.6101,23.7366,22.8695,23.5289,237354.0
2020-08-26,23.4476,23.4476,22.9598,23.0772,400223.0
2020-08-27,23.0682,23.6011,22.6889,23.1405,162875.0
2020-08-28,23.285,23.8811,22.7882,22.9237,129295.0
2020-08-29,23.285,23.8811,22.7882,22.9237,129295.0
2020-08-30,23.285,23.8811,22.7882,22.9237,129295.0
2020-08-31,22.7701,22.9869,22.5263,22.9147,351434.0
2020-09-01,22.8334,23.1585,22.4631,23.1495,246518.0
2020-09-02,23.0321,23.4385,22.921,23.3843,250228.0
2020-09-03,23.4747,24.2876,23.4747,23.6734,383088.0
2020-09-04,24.2334,24.3508,23.5108,24.3508,351008.0
2020-09-05,24.2334,24.3508,23.5108,24.3508,351008.0
2020-09-06,24.2334,24.3508,23.5108,24.3508,351008.0
2020-09-07,24.2334,24.3508,23.5108,24.3508,351008.0
2020-09-08,23.9714,24.0888,23.1405,23.303,649927.0
2020-09-09,23.3753,23.4837,22.1018,22.2372,414153.0
2020-09-10,22.3276,22.3998,21.7043,21.8308,265196.0
2020-09-11,21.8127,21.9753,21.4966,21.7405,225380.0
2020-09-12,21.8127,21.9753,21.4966,21.7405,225380.0
2020-09-13,21.8127,21.9753,21.4966,21.7405,225380.0
2020-09-14,21.8037,22.3276,21.6592,22.0927,196319.0
2020-09-15,20.7529,21.4697,20.7529,21.2907,229851.0
2020-09-16,21.2998,21.8011,21.1175,21.5003,301929.0
2020-09-17,21.2816,21.473,21.1084,21.2087,381187.0
2020-09-18,21.5003,21.5003,20.7529,20.8623,697279.0
2020-09-19,21.5003,21.5003,20.7529,20.8623,697279.0
2020-09-20,21.5003,21.5003,20.7529,20.8623,697279.0
2020-09-21,20.4248,21.3909,19.8689,19.96,413905.0
2020-09-22,20.0238,20.6937,19.6592,19.7413,230296.0
2020-09-23,19.8142,21.3909,19.3311,19.3585,284054.0
2020-09-24,19.4861,19.9327,19.0395,19.477,156421.0
2020-09-25,19.2673,20.042,19.2127,20.0147,217733.0
2020-09-26,19.2673,20.042,19.2127,20.0147,217733.0
2020-09-27,19.2673,20.042,19.2127,20.0147,217733.0
2020-09-28,20.3337,21.2269,20.3155,20.6527,199070.0
2020-09-29,20.7894,20.8441,20.2972,20.794,163756.0
2020-09-30,20.9352,21.0719,20.5342,20.7074,236303.0
2020-10-01,20.6345,21.0173,20.4339,20.9717,287476.0
2020-10-02,22.9586,24.0796,22.275,22.6213,3768096.0
2020-10-03,22.9586,24.0796,22.275,22.6213,3768096.0
2020-10-04,22.9586,24.0796,22.275,22.6213,3768096.0
2020-10-05,22.6122,23.7515,22.5275,23.6239,1071944.0
2020-10-06,23.9247,24.7358,23.6695,24.0796,10914395.0
2020-10-07,24.3804,24.8817,24.1343,24.508,1241882.0
2020-10-08,24.6538,24.9272,24.5809,24.7632,968064.0
2020-10-09,24.909,25.0548,24.3257,24.3348,447056.0
2020-10-10,24.909,25.0548,24.3257,24.3348,447056.0
2020-10-11,24.909,25.0548,24.3257,24.3348,447056.0
2020-10-12,24.2619,25.2098,24.2619,25.1186,604227.0
2020-10-13,24.9637,25.1186,24.5262,24.6173,622459.0
2020-10-14,24.6173,25.0457,24.2892,24.3622,493559.0
2020-10-15,24.0978,24.7723,23.8426,24.7449,340615.0
2020-10-16,24.672,24.9546,24.3986,24.6903,292393.0
2020-10-17,24.672,24.9546,24.3986,24.6903,292393.0
2020-10-18,24.672,24.9546,24.3986,24.6903,292393.0
2020-10-19,24.9181,25.2098,24.4715,24.5535,270307.0
2020-10-20,24.8361,25.31,24.5581,24.9272,256834.0
2020-10-21,24.8999,25.3191,24.5308,25.1824,337768.0
2020-10-22,25.3009,26.4766,25.105,26.4037,393602.0
2020-10-23,26.7409,27.0053,26.1759,26.6771,369348.0
2020-10-24,26.7409,27.0053,26.1759,26.6771,369348.0
2020-10-25,26.7409,27.0053,26.1759,26.6771,369348.0
2020-10-26,26.349,26.9506,26.0938,26.8959,597898.0
2020-10-27,26.7227,26.8412,25.8933,26.1485,565289.0
2020-10-28,25.6655,26.586,25.0639,25.9389,628011.0
2020-10-29,25.8933,26.1576,25.31,26.0483,423701.0
2020-10-30,25.9754,26.4037,24.6265,25.9845,484931.0
2020-10-31,25.9754,26.4037,24.6265,25.9845,484931.0
2020-11-01,25.9754,26.4037,24.6265,25.9845,484931.0
2020-11-02,26.3673,26.5496,25.0731,26.4311,366991.0
2020-11-03,27.0053,27.2513,26.8047,27.1237,512061.0
2020-11-04,26.5587,26.5769,25.4012,25.4194,553028.0
2020-11-05,25.3921,26.6863,24.9272,26.504,340913.0
2020-11-06,26.8139,27.0144,26.0665,26.0847,190373.0
2020-11-07,26.8139,27.0144,26.0665,26.0847,190373.0
2020-11-08,26.8139,27.0144,26.0665,26.0847,190373.0
2020-11-09,27.3425,30.1496,26.2761,29.4934,653500.0
2020-11-10,29.776,30.7694,29.0013,30.0312,576137.0
2020-11-11,30.095,30.1679,28.5091,28.7552,257756.0
2020-11-12,28.2904,28.4909,27.6068,28.0352,634370.0
2020-11-13,28.2904,28.9739,28.2448,28.7005,865475.0
2020-11-14,28.2904,28.9739,28.2448,28.7005,865475.0
2020-11-15,28.2904,28.9739,28.2448,28.7005,865475.0
2020-11-16,29.1653,30.3684,28.9101,29.9582,450256.0
2020-11-17,29.6484,29.7031,28.9466,29.6757,344397.0
2020-11-18,29.9674,29.9674,29.0377,29.0651,263748.0
2020-11-19,29.0377,29.0377,28.345,29.0104,210767.0
2020-11-20,28.6458,29.2565,28.4088,29.1653,380623.0
2020-11-21,28.6458,29.2565,28.4088,29.1653,380623.0
2020-11-22,28.6458,29.2565,28.4088,29.1653,380623.0
2020-11-23,29.3111,29.5846,28.9921,29.0468,483375.0
2020-11-24,29.5755,30.3593,29.1699,29.8671,652722.0
2020-11-25,29.2018,29.6096,28.819,29.3841,235203.0
2020-11-26,29.2018,29.6096,28.819,29.3841,235203.0
2020-11-27,29.4843,29.9309,28.5364,29.0286,124570.0
2020-11-28,29.4843,29.9309,28.5364,29.0286,124570.0
2020-11-29,29.4843,29.9309,28.5364,29.0286,124570.0
2020-11-30,28.6823,29.1197,28.0352,28.1354,375083.0
2020-12-01,28.7005,29.3749,28.3086,28.9192,330855.0
2020-12-02,28.8645,29.5846,28.2812,29.4114,174495.0
2020-12-03,29.5755,29.6939,29.0377,29.3385,213855.0
2020-12-04,29.7213,30.2499,29.4934,30.1952,198287.0
2020-12-05,29.7213,30.2499,29.4934,30.1952,198287.0
2020-12-06,29.7213,30.2499,29.4934,30.1952,198287.0
2020-12-07,30.0494,30.414,29.8033,30.022,251363.0
2020-12-08,29.94,30.5051,29.6848,30.4231,314458.0
2020-12-09,30.7694,30.897,30.3684,30.6327,226648.0
2020-12-10,30.2134,31.0884,30.0904,30.9881,249558.0
2020-12-11,30.7147,31.216,30.5871,30.774,254717.0
2020-12-12,30.7147,31.216,30.5871,30.774,254717.0
2020-12-13,30.7147,31.216,30.5871,30.774,254717.0
2020-12-14,31.2616,31.3892,30.733,30.8788,255567.0
2020-12-15,30.9608,31.5806,30.6692,31.3983,294253.0
2020-12-16,31.4985,31.6079,31.1431,31.1704,293979.0
2020-12-17,31.3264,31.3722,30.7485,30.9503,187292.0
2020-12-18,30.8769,30.8769,29.9596,30.1981,1103086.0
2020-12-19,30.8769,30.8769,29.9596,30.1981,1103086.0
2020-12-20,30.8769,30.8769,29.9596,30.1981,1103086.0
2020-12-21,30.0697,30.3815,29.4826,29.6752,297729.0
2020-12-22,29.822,29.9504,29.2624,29.3266,317706.0
2020-12-23,29.4184,30.3082,29.4184,30.2256,202574.0
2020-12-24,30.2623,30.5467,29.7945,30.5375,121695.0
2020-12-25,30.2623,30.5467,29.7945,30.5375,121695.0
2020-12-26,30.2623,30.5467,29.7945,30.5375,121695.0
2020-12-27,30.2623,30.5467,29.7945,30.5375,121695.0
2020-12-28,30.6292,31.1704,30.4641,30.8586,265372.0
2020-12-29,30.987,31.1704,29.8862,30.1614,197355.0
2020-12-30,30.2439,30.8173,30.2348,30.3724,185117.0
2020-12-31,30.4274,31.042,30.1706,30.8952,278634.0
2021-01-01,30.4274,31.042,30.1706,30.8952,278634.0
2021-01-02,30.4274,31.042,30.1706,30.8952,278634.0
2021-01-03,30.4274,31.042,30.1706,30.8952,278634.0
2021-01-04,31.1888,31.3814,30.2348,30.7943,471141.0
2021-01-05,30.8219,31.7483,30.8219,31.308,285160.0
2021-01-06,32.0235,34.5003,31.3172,33.6564,655401.0
2021-01-07,33.3812,34.5278,33.0968,34.0416,443036.0
2021-01-08,34.2343,34.2343,32.6748,33.1977,265939.0
2021-01-09,34.2343,34.2343,32.6748,33.1977,265939.0
2021-01-10,34.2343,34.2343,32.6748,33.1977,265939.0
2021-01-11,33.0051,33.5738,32.9684,33.5096,219183.0
2021-01-12,33.8765,34.4911,33.5279,34.0233,211765.0
2021-01-13,34.0783,34.7663,33.6655,34.326,720318.0
2021-01-14,34.4911,35.225,34.4911,34.8397,422726.0
2021-01-15,34.4453,34.8443,34.3077,34.5645,286296.0
2021-01-16,34.4453,34.8443,34.3077,34.5645,286296.0
2021-01-17,34.4453,34.8443,34.3077,34.5645,286296.0
2021-01-18,34.4453,34.8443,34.3077,34.5645,286296.0
2021-01-19,34.8764,34.8764,34.326,34.592,221435.0
2021-01-20,34.6012,34.9314,34.1701,34.7205,258534.0
2021-01-21,34.6379,34.9406,33.9499,34.1334,213673.0
2021-01-22,33.849,35.2617,33.7573,35.1791,313640.0
2021-01-23,33.849,35.2617,33.7573,35.1791,313640.0
2021-01-24,33.849,35.2617,33.7573,35.1791,313640.0
2021-01-25,34.7571,35.5736,34.482,35.2525,462919.0
2021-01-26,35.5093,35.7295,34.7113,35.2525,368172.0
2021-01-27,34.0141,36.5001,32.6015,35.6928,846630.0
2021-01-28,36.3625,36.3625,32.5005,33.7389,698730.0
2021-01-29,33.6472,34.1884,32.3446,32.473,678204.0
2021-01-30,33.6472,34.1884,32.3446,32.473,678204.0
2021-01-31,33.6472,34.1884,32.3446,32.473,678204.0
2021-02-01,32.7207,33.5646,31.7667,33.2619,216886.0
2021-02-02,33.6013,33.6403,32.9409,32.9684,428048.0
2021-02-03,32.8491,33.1152,32.0434,32.7849,359721.0
2021-02-04,32.9409,34.1425,32.3996,33.9316,333441.0
2021-02-05,34.271,34.3535,33.4087,34.0875,204565.0
2021-02-06,34.271,34.3535,33.4087,34.0875,204565.0
2021-02-07,34.271,34.3535,33.4087,34.0875,204565.0
2021-02-08,34.3994,35.0599,34.06,35.0415,312263.0
2021-02-09,35.0323,36.3074,34.7388,36.1148,287252.0
2021-02-10,36.0781,36.4267,35.3904,35.7754,234114.0
2021-02-11,35.8854,36.4358,32.895,35.6561,237770.0
2021-02-12,35.4084,36.1148,35.3167,35.4635,280586.0
2021-02-13,35.4084,36.1148,35.3167,35.4635,280586.0
2021-02-14,35.4084,36.1148,35.3167,35.4635,280586.0
2021-02-15,35.4084,36.1148,35.3167,35.4635,280586.0
2021-02-16,35.1975,36.5092,34.8947,36.3625,334476.0
2021-02-17,36.4542,36.5413,35.6836,35.8579,211567.0
2021-02-18,35.3259,36.0139,35.3259,35.6745,185672.0
2021-02-19,35.9038,36.3533,35.8396,36.179,239566.0
2021-02-20,35.9038,36.3533,35.8396,36.179,239566.0
2021-02-21,35.9038,36.3533,35.8396,36.179,239566.0
2021-02-22,36.179,37.3348,36.179,36.8395,365347.0
2021-02-23,36.922,37.9861,36.3716,36.7569,339051.0
2021-02-24,37.1055,37.8852,35.1883,37.7017,319636.0
2021-02-25,38.1329,38.298,35.8029,36.6468,297033.0
2021-02-26,36.4634,36.9771,35.8671,36.0322,318590.0
2021-02-27,36.4634,36.9771,35.8671,36.0322,318590.0
2021-02-28,36.4634,36.9771,35.8671,36.0322,318590.0
2021-03-01,36.8945,37.2706,36.2799,36.9679,183054.0
2021-03-02,36.9495,37.2798,36.5092,36.7936,265898.0
2021-03-03,37.1238,38.4264,37.1238,37.4724,306767.0
2021-03-04,37.6559,38.564,36.7661,37.5366,411465.0
2021-03-05,38.3897,38.8117,37.2889,38.6007,333458.0
2021-03-06,38.3897,38.8117,37.2889,38.6007,333458.0
2021-03-07,38.3897,38.8117,37.2889,38.6007,333458.0
2021-03-08,38.9401,40.3528,38.6557,39.7198,394034.0
2021-03-09,39.4905,40.4445,38.6191,39.6923,417664.0
2021-03-10,39.7107,40.9949,37.3807,40.683,350682.0
2021-03-11,40.5913,41.4444,39.995,41.1325,264305.0
2021-03-12,41.6645,42.2791,41.4627,42.2516,341933.0
2021-03-13,41.6645,42.2791,41.4627,42.2516,341933.0
