,L US Equity,L US Equity,L US Equity,L US Equity,L US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-11-27,57.322,57.371,56.904,57.133,277939.0
2022-11-28,56.715,57.093,56.366,56.496,738675.0
2022-11-29,56.416,57.556,56.237,57.501,656129.0
2022-11-30,57.342,58.008,56.332,57.869,2660870.0
2022-12-01,58.377,58.586,57.371,57.76,861730.0
2022-12-02,57.302,57.491,56.625,57.391,699624.0
2022-12-03,57.302,57.491,56.625,57.391,699624.0
2022-12-04,57.302,57.491,56.625,57.391,699624.0
2022-12-05,57.093,57.133,55.824,56.058,667626.0
2022-12-06,56.038,56.934,55.809,56.844,875049.0
2022-12-07,56.754,57.362,55.894,55.968,835717.0
2022-12-08,56.108,56.506,55.844,56.108,522705.0
2022-12-09,55.919,56.575,55.67,56.207,933084.0
2022-12-10,55.919,56.575,55.67,56.207,933084.0
2022-12-11,55.919,56.575,55.67,56.207,933084.0
2022-12-12,56.147,56.526,55.889,56.416,750906.0
2022-12-13,57.63,57.836,56.187,56.476,963235.0
2022-12-14,56.386,57.172,55.68,55.978,1017124.0
2022-12-15,55.381,55.968,55.132,55.64,889328.0
2022-12-16,54.913,55.71,54.555,55.53,2822699.0
2022-12-17,54.913,55.71,54.555,55.53,2822699.0
2022-12-18,54.913,55.71,54.555,55.53,2822699.0
2022-12-19,55.59,56.108,54.55,54.685,1172460.0
2022-12-20,54.973,56.436,54.555,55.51,1405957.0
2022-12-21,56.078,57.153,55.998,57.143,1047327.0
2022-12-22,57.063,57.292,56.058,56.914,656678.0
2022-12-23,56.953,57.69,56.814,57.57,560136.0
2022-12-24,56.953,57.69,56.814,57.57,560136.0
2022-12-25,56.953,57.69,56.814,57.57,560136.0
2022-12-26,56.953,57.69,56.814,57.57,560136.0
2022-12-27,57.551,58.476,57.312,58.317,702710.0
2022-12-28,58.466,58.576,57.585,57.6,546601.0
2022-12-29,57.63,58.536,57.63,58.387,513391.0
2022-12-30,58.158,58.486,57.819,58.048,708176.0
2022-12-31,58.158,58.486,57.819,58.048,708176.0
2023-01-01,58.158,58.486,57.819,58.048,708176.0
2023-01-02,58.158,58.486,57.819,58.048,708176.0
2023-01-03,58.108,58.765,57.819,58.307,870068.0
2023-01-04,58.725,59.471,58.546,58.984,787552.0
2023-01-05,58.795,58.954,58.277,58.924,710590.0
2023-01-06,59.402,60.247,59.402,60.178,699057.0
2023-01-07,59.402,60.247,59.402,60.178,699057.0
2023-01-08,59.402,60.247,59.402,60.178,699057.0
2023-01-09,60.118,60.118,58.645,58.685,799894.0
2023-01-10,58.725,58.964,58.406,58.755,703203.0
2023-01-11,58.864,59.561,58.705,59.541,602905.0
2023-01-12,59.839,59.889,59.481,59.591,627490.0
2023-01-13,59.193,59.989,59.103,59.929,515347.0
2023-01-14,59.193,59.989,59.103,59.929,515347.0
2023-01-15,59.193,59.989,59.103,59.929,515347.0
2023-01-16,59.193,59.989,59.103,59.929,515347.0
2023-01-17,59.989,59.989,58.969,59.063,654257.0
2023-01-18,59.093,59.297,58.068,58.187,847079.0
2023-01-19,57.819,58.178,57.59,57.789,762810.0
2023-01-20,57.919,58.685,57.252,58.675,775859.0
2023-01-21,57.919,58.685,57.252,58.675,775859.0
2023-01-22,57.919,58.685,57.252,58.675,775859.0
2023-01-23,58.834,59.446,58.566,59.292,505396.0
2023-01-24,59.332,60.029,59.063,59.939,598715.0
2023-01-25,59.72,60.337,59.571,60.297,482745.0
2023-01-26,60.367,60.894,60.267,60.855,504683.0
2023-01-27,60.675,60.984,60.247,60.695,526124.0
2023-01-28,60.675,60.984,60.247,60.695,526124.0
2023-01-29,60.675,60.984,60.247,60.695,526124.0
