,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-05-15,8.5534,8.9028,8.3938,8.6532,11334513.0
2020-05-16,8.5534,8.9028,8.3938,8.6532,11334513.0
2020-05-17,8.5534,8.9028,8.3938,8.6532,11334513.0
2020-05-18,9.3369,10.0705,9.2721,9.821,12582568.0
2020-05-19,9.7811,9.811,9.1623,9.2072,8909656.0
2020-05-20,9.5315,9.9108,9.3319,9.7162,8207283.0
2020-05-21,9.7811,10.0406,9.4916,10.0206,7612338.0
2020-05-22,9.9308,10.1204,9.5116,10.0805,6508711.0
2020-05-23,9.9308,10.1204,9.5116,10.0805,6508711.0
2020-05-24,9.9308,10.1204,9.5116,10.0805,6508711.0
2020-05-25,9.9308,10.1204,9.5116,10.0805,6508711.0
2020-05-26,10.5196,10.7093,10.0106,10.2003,7028534.0
2020-05-27,10.2801,10.34,9.5515,10.1603,8992538.0
2020-05-28,9.9607,10.0505,9.3519,9.4916,11178258.0
2020-05-29,9.322,9.3419,8.6133,8.7131,41419593.0
2020-05-30,9.322,9.3419,8.6133,8.7131,41419593.0
2020-05-31,9.322,9.3419,8.6133,8.7131,41419593.0
2020-06-01,8.783,9.4717,8.5085,9.4317,14011899.0
2020-06-02,9.4916,9.9507,9.4317,9.791,10062857.0
2020-06-03,9.9807,10.0805,9.6413,9.9907,11394998.0
2020-06-04,9.9507,10.3001,9.7511,10.1204,8837629.0
2020-06-05,10.9688,11.7223,10.829,11.2382,16736572.0
2020-06-06,10.9688,11.7223,10.829,11.2382,16736572.0
2020-06-07,10.9688,11.7223,10.829,11.2382,16736572.0
2020-06-08,13.0647,13.0647,12.0617,12.6854,15181542.0
2020-06-09,12.1664,12.2363,11.2881,11.7572,10931902.0
2020-06-10,11.4878,11.4977,10.6095,10.7292,9452436.0
2020-06-11,9.5216,10.32,9.282,9.5415,10401327.0
