,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-05-15,24.389,25.474,24.3352,25.2946,1135862.0
2022-05-16,25.2319,26.2899,24.7118,25.7788,2028173.0
2022-05-17,25.994,26.2899,24.8732,25.9133,1142686.0
2022-05-18,25.2229,25.3619,22.9364,23.582,1425641.0
2022-05-19,23.4117,23.5551,22.4253,22.9902,986743.0
2022-05-20,23.062,23.1427,21.3691,22.4074,915927.0
2022-05-21,23.062,23.1427,21.3691,22.4074,915927.0
2022-05-22,23.062,23.1427,21.3691,22.4074,915927.0
2022-05-23,22.6047,22.784,21.5466,21.8336,1036604.0
2022-05-24,21.6184,21.6632,20.7307,21.3852,785065.0
2022-05-25,21.3763,24.8732,21.2462,24.7477,1039536.0
2022-05-26,25.1063,26.281,24.5415,24.8463,945043.0
2022-05-27,25.0257,25.7654,24.3801,24.6849,515635.0
2022-05-28,25.0257,25.7654,24.3801,24.6849,515635.0
2022-05-29,25.0257,25.7654,24.3801,24.6849,515635.0
2022-05-30,25.0257,25.7654,24.3801,24.6849,515635.0
2022-05-31,24.5504,24.7746,23.7255,24.6939,662419.0
2022-06-01,24.945,25.2408,23.2503,23.6269,846410.0
2022-06-02,23.7703,24.3082,23.1113,23.7076,653331.0
2022-06-03,23.3848,23.8555,22.515,22.6943,857330.0
2022-06-04,23.3848,23.8555,22.515,22.6943,857330.0
2022-06-05,23.3848,23.8555,22.515,22.6943,857330.0
2022-06-06,22.9633,23.7345,21.9143,23.582,739588.0
2022-06-07,23.0799,23.4206,22.2729,23.3579,697244.0
2022-06-08,23.3758,24.6849,22.8288,24.1738,867655.0
2022-06-09,24.0483,24.138,23.6627,23.8331,642740.0
2022-06-10,23.322,23.9228,22.5688,22.9275,839966.0
2022-06-11,23.322,23.9228,22.5688,22.9275,839966.0
2022-06-12,23.322,23.9228,22.5688,22.9275,839966.0
2022-06-13,22.3088,22.7571,21.6811,22.0129,973662.0
2022-06-14,22.1026,22.4074,20.8383,21.0624,1189327.0
2022-06-15,21.0624,21.5108,20.7845,21.0445,1130680.0
2022-06-16,20.103,20.2465,18.2469,18.3366,1839129.0
2022-06-17,18.8153,18.8153,17.785,18.4643,2842599.0
2022-06-18,18.8153,18.8153,17.785,18.4643,2842599.0
2022-06-19,18.8153,18.8153,17.785,18.4643,2842599.0
2022-06-20,18.8153,18.8153,17.785,18.4643,2842599.0
2022-06-21,18.9293,19.3578,18.3366,18.519,1816999.0
2022-06-22,18.2363,19.0113,17.8898,18.7925,927810.0
2022-06-23,18.8472,19.4673,18.8199,19.4217,670787.0
2022-06-24,19.5584,21.0173,19.4764,20.9626,3535736.0
2022-06-25,19.5584,21.0173,19.4764,20.9626,3535736.0
2022-06-26,19.5584,21.0173,19.4764,20.9626,3535736.0
2022-06-27,21.0265,21.2453,20.1511,20.3244,688754.0
2022-06-28,20.3244,20.68,19.6405,19.7499,567905.0
2022-06-29,19.1208,19.3533,17.8078,17.8898,939609.0
2022-06-30,17.6072,17.9354,17.3336,17.7348,1171966.0
2022-07-01,17.6983,18.2637,17.5342,18.0083,582723.0
2022-07-02,17.6983,18.2637,17.5342,18.0083,582723.0
2022-07-03,17.6983,18.2637,17.5342,18.0083,582723.0
2022-07-04,17.6983,18.2637,17.5342,18.0083,582723.0
2022-07-05,17.5798,18.7287,17.2151,18.6831,835813.0
2022-07-06,18.674,18.9019,17.7631,17.8625,558690.0
2022-07-07,18.1086,19.2667,18.1086,19.2484,646802.0
2022-07-08,19.2849,19.5128,18.6284,18.7925,484757.0
2022-07-09,19.2849,19.5128,18.6284,18.7925,484757.0
2022-07-10,19.2849,19.5128,18.6284,18.7925,484757.0
2022-07-11,18.756,18.9658,18.3184,18.5646,416651.0
2022-07-12,18.4916,19.6861,18.446,18.8107,613463.0
2022-07-13,18.6284,18.9293,18.2454,18.8563,506276.0
2022-07-14,18.6193,18.6193,17.769,17.9719,594160.0
2022-07-15,18.7287,19.8593,18.7013,19.4217,964702.0
2022-07-16,18.7287,19.8593,18.7013,19.4217,964702.0
2022-07-17,18.7287,19.8593,18.7013,19.4217,964702.0
2022-07-18,19.6587,20.5979,19.6587,19.9688,860085.0
2022-07-19,20.0873,20.6891,20.0691,20.4794,615324.0
2022-07-20,20.3608,21.4185,20.3608,21.3912,591455.0
2022-07-21,21.2271,21.5097,20.9535,21.4732,515484.0
2022-07-22,21.455,22.0021,21.0812,21.5097,407554.0
2022-07-23,21.455,22.0021,21.0812,21.5097,407554.0
2022-07-24,21.455,22.0021,21.0812,21.5097,407554.0
2022-07-25,21.6738,21.7286,20.9717,21.4459,424097.0
2022-07-26,19.604,19.6861,18.5737,19.2302,1812530.0
2022-07-27,19.367,20.5067,19.1116,20.3335,768983.0
2022-07-28,20.3244,21.2271,20.0232,21.1723,597648.0
2022-07-29,21.145,21.6055,20.7939,21.455,511890.0
2022-07-30,21.145,21.6055,20.7939,21.455,511890.0
2022-07-31,21.145,21.6055,20.7939,21.455,511890.0
2022-08-01,21.3274,22.1845,21.0994,21.9018,632026.0
2022-08-02,21.6647,22.0477,21.3137,21.9018,642604.0
2022-08-03,22.0021,23.4428,22.0021,23.1875,787995.0
2022-08-04,25.1935,27.628,24.6646,26.2785,1992937.0
2022-08-05,25.0749,26.4426,24.9523,25.932,827807.0
2022-08-06,25.0749,26.4426,24.9523,25.932,827807.0
2022-08-07,25.0749,26.4426,24.9523,25.932,827807.0
2022-08-08,26.0232,27.9836,26.0232,26.8803,953235.0
2022-08-09,26.5612,26.584,25.4396,26.2603,642565.0
2022-08-10,26.9897,27.4274,25.8956,26.9715,432683.0
2022-08-11,27.3271,28.0748,27.0262,27.3453,478966.0
2022-08-12,27.7557,28.2116,26.9897,28.0292,545429.0
2022-08-13,27.7557,28.2116,26.9897,28.0292,545429.0
2022-08-14,27.7557,28.2116,26.9897,28.0292,545429.0
2022-08-15,27.7101,27.806,27.2086,27.3545,385166.0
2022-08-16,27.1994,29.096,27.1539,28.4669,500167.0
2022-08-17,28.0201,28.2344,27.3545,27.7648,379095.0
2022-08-18,27.6462,27.6462,26.8894,27.4639,447562.0
2022-08-19,26.9533,27.0718,26.2056,26.4335,541612.0
2022-08-20,26.9533,27.0718,26.2056,26.4335,541612.0
2022-08-21,26.9533,27.0718,26.2056,26.4335,541612.0
2022-08-22,26.0323,26.1873,25.4214,25.7497,438359.0
2022-08-23,26.0962,26.84,25.9229,26.2238,402168.0
2022-08-24,25.9047,26.315,25.4761,25.5673,347749.0
2022-08-25,25.622,26.5475,25.5491,26.2785,327566.0
2022-08-26,26.2603,26.5794,24.6008,24.6646,729893.0
2022-08-27,26.2603,26.5794,24.6008,24.6646,729893.0
2022-08-28,26.2603,26.5794,24.6008,24.6646,729893.0
2022-08-29,24.5369,25.2664,24.195,24.8287,492034.0
2022-08-30,24.8743,25.4488,24.0628,24.2087,432310.0
2022-08-31,24.3819,24.8059,23.5248,23.5613,545920.0
2022-09-01,23.306,23.6525,22.8502,23.461,841846.0
2022-09-02,24.0081,24.154,22.8774,23.0872,433479.0
2022-09-03,24.0081,24.154,22.8774,23.0872,433479.0
2022-09-04,24.0081,24.154,22.8774,23.0872,433479.0
2022-09-05,24.0081,24.154,22.8774,23.0872,433479.0
2022-09-06,23.2969,23.3425,22.531,23.0325,676183.0
2022-09-07,22.923,23.9351,22.8774,23.4975,646233.0
2022-09-08,23.2878,23.6707,22.9499,23.6707,772616.0
2022-09-09,23.7984,24.9017,23.7984,24.0719,398706.0
2022-09-10,23.7984,24.9017,23.7984,24.0719,398706.0
2022-09-11,23.7984,24.9017,23.7984,24.0719,398706.0
2022-09-12,24.2634,24.9017,24.1677,24.5552,384075.0
2022-09-13,23.6798,23.8166,23.1875,23.5248,500914.0
2022-09-14,23.4975,23.7893,22.5948,23.6069,578650.0
2022-09-15,23.2969,24.4275,23.2969,23.8075,575550.0
2022-09-16,23.4701,23.5234,21.9018,22.0203,1391972.0
2022-09-17,23.4701,23.5234,21.9018,22.0203,1391972.0
2022-09-18,23.4701,23.5234,21.9018,22.0203,1391972.0
2022-09-19,21.8289,22.768,21.7924,22.6221,647787.0
2022-09-20,22.2756,22.4945,21.7103,22.0203,458614.0
2022-09-21,22.2301,22.9139,21.7194,21.7194,538582.0
2022-09-22,21.528,21.7194,21.0994,21.1997,572536.0
2022-09-23,20.9353,21.145,20.3608,20.8259,635698.0
2022-09-24,20.9353,21.145,20.3608,20.8259,635698.0
