,ON US Equity,ON US Equity,ON US Equity,ON US Equity,ON US Equity
2020-03-21,10.89,11.96,10.51,10.82,15008566.0
2020-03-22,10.89,11.96,10.51,10.82,15008566.0
2020-03-23,11.06,11.67,10.27,11.49,8972288.0
2020-03-24,12.42,13.87,12.215,13.85,13318664.0
2020-03-25,14.08,15.21,13.06,14.79,14851333.0
2020-03-26,15.04,15.1,13.68,14.16,12689729.0
2020-03-27,13.5,13.5,12.85,12.89,9738498.0
2020-03-28,13.5,13.5,12.85,12.89,9738498.0
2020-03-29,13.5,13.5,12.85,12.89,9738498.0
2020-03-30,12.89,13.195,12.46,12.97,9251445.0
2020-03-31,13.0,13.49,12.275,12.44,10982252.0
2020-04-01,11.94,12.23,10.84,11.0,12326494.0
2020-04-02,10.96,11.77,10.61,11.27,13409889.0
2020-04-03,11.15,11.39,10.78,10.94,8374133.0
2020-04-04,11.15,11.39,10.78,10.94,8374133.0
2020-04-05,11.15,11.39,10.78,10.94,8374133.0
2020-04-06,11.7,12.96,11.65,12.87,13508965.0
2020-04-07,13.7,14.22,12.648,12.78,10856066.0
2020-04-08,13.07,13.8,12.71,13.73,10651609.0
2020-04-09,14.1,14.69,13.58,13.73,13127055.0
2020-04-10,14.1,14.69,13.58,13.73,13127055.0
2020-04-11,14.1,14.69,13.58,13.73,13127055.0
2020-04-12,14.1,14.69,13.58,13.73,13127055.0
2020-04-13,13.91,14.26,13.44,14.21,6298479.0
2020-04-14,14.61,14.99,14.14,14.58,7184810.0
2020-04-15,13.84,14.0,13.32,13.62,9285148.0
2020-04-16,13.71,13.87,13.145,13.335,7408342.0
2020-04-17,13.96,14.17,13.54,13.73,6222106.0
2020-04-18,13.96,14.17,13.54,13.73,6222106.0
2020-04-19,13.96,14.17,13.54,13.73,6222106.0
2020-04-20,13.28,13.84,13.2206,13.36,5184681.0
2020-04-21,13.05,13.215,12.695,12.83,6079055.0
2020-04-22,13.44,14.19,13.13,14.11,10389560.0
2020-04-23,14.18,14.37,13.83,13.92,5998738.0
2020-04-24,13.99,14.78,13.97,14.66,5297071.0
2020-04-25,13.99,14.78,13.97,14.66,5297071.0
2020-04-26,13.99,14.78,13.97,14.66,5297071.0
2020-04-27,14.84,15.45,14.81,15.39,6359903.0
2020-04-28,16.34,16.6,15.645,15.84,8778640.0
2020-04-29,16.45,17.27,16.41,17.25,8465737.0
2020-04-30,17.1376,17.18,16.03,16.045,6101454.0
2020-05-01,15.41,15.68,14.88,15.12,8141142.0
2020-05-02,15.41,15.68,14.88,15.12,8141142.0
2020-05-03,15.41,15.68,14.88,15.12,8141142.0
2020-05-04,14.74,14.9,14.32,14.87,8989836.0
2020-05-05,15.34,15.715,15.07,15.15,5632400.0
2020-05-06,15.46,15.64,15.28,15.44,4367706.0
2020-05-07,15.7566,16.11,15.74,15.98,5291428.0
2020-05-08,16.08,17.15,16.0,17.12,11780000.0
2020-05-09,16.08,17.15,16.0,17.12,11780000.0
2020-05-10,16.08,17.15,16.0,17.12,11780000.0
2020-05-11,15.75,16.6,15.64,15.66,15549709.0
2020-05-12,15.7,15.875,14.9,14.95,10484742.0
2020-05-13,15.15,15.15,13.9,14.05,11474475.0
2020-05-14,13.75,14.74,13.485,14.715,11469356.0
2020-05-15,14.02,14.52,13.98,14.15,6864605.0
2020-05-16,14.02,14.52,13.98,14.15,6864605.0
2020-05-17,14.02,14.52,13.98,14.15,6864605.0
2020-05-18,14.83,15.7,14.83,15.61,9284713.0
2020-05-19,15.54,15.91,15.1177,15.48,6917621.0
2020-05-20,15.92,16.31,15.91,16.27,6300992.0
2020-05-21,16.2,16.44,15.565,15.625,6306699.0
2020-05-22,15.76,15.77,15.28,15.74,4140265.0
2020-05-23,15.76,15.77,15.28,15.74,4140265.0
2020-05-24,15.76,15.77,15.28,15.74,4140265.0
2020-05-25,15.76,15.77,15.28,15.74,4140265.0
2020-05-26,16.34,16.845,16.22,16.68,7713445.0
2020-05-27,16.78,17.475,16.42,17.435,9595348.0
2020-05-28,17.27,17.27,16.0,16.06,6739670.0
2020-05-29,16.04,16.71,15.91,16.49,8393144.0
2020-05-30,16.04,16.71,15.91,16.49,8393144.0
2020-05-31,16.04,16.71,15.91,16.49,8393144.0
2020-06-01,16.48,16.87,16.34,16.78,4754763.0
2020-06-02,16.87,17.44,16.82,17.14,6719040.0
2020-06-03,17.66,18.99,17.6,18.83,16779841.0
2020-06-04,18.88,19.22,18.44,18.98,7616601.0
2020-06-05,19.8,20.605,19.68,20.16,14448776.0
2020-06-06,19.8,20.605,19.68,20.16,14448776.0
2020-06-07,19.8,20.605,19.68,20.16,14448776.0
2020-06-08,20.52,21.38,20.49,20.82,18290832.0
2020-06-09,20.67,20.7,20.03,20.17,10005242.0
2020-06-10,20.09,20.16,19.3,19.46,10352867.0
2020-06-11,18.31,18.99,18.12,18.13,7724422.0
2020-06-12,19.1,19.49,18.45,18.99,9365504.0
2020-06-13,19.1,19.49,18.45,18.99,9365504.0
2020-06-14,19.1,19.49,18.45,18.99,9365504.0
2020-06-15,18.18,19.6,18.05,19.56,9866541.0
2020-06-16,20.25,20.47,19.48,19.94,16437614.0
2020-06-17,20.12,20.38,19.77,19.79,18130526.0
2020-06-18,19.64,19.855,19.44,19.62,5942846.0
2020-06-19,20.105,20.18,19.26,19.39,7333717.0
2020-06-20,20.105,20.18,19.26,19.39,7333717.0
2020-06-21,20.105,20.18,19.26,19.39,7333717.0
2020-06-22,19.34,19.62,19.04,19.59,10001247.0
2020-06-23,20.3849,20.45,20.1,20.18,7986389.0
2020-06-24,19.83,19.95,19.135,19.29,8267692.0
2020-06-25,19.09,19.5,18.905,19.48,5699201.0
2020-06-26,19.31,19.4,18.84,19.09,7264064.0
2020-06-27,19.31,19.4,18.84,19.09,7264064.0
2020-06-28,19.31,19.4,18.84,19.09,7264064.0
2020-06-29,19.16,19.74,18.745,19.52,12303831.0
2020-06-30,19.59,19.95,19.5,19.82,10176944.0
2020-07-01,20.17,20.1803,19.025,19.05,8119248.0
2020-07-02,19.4,19.73,19.055,19.18,7108653.0
2020-07-03,19.4,19.73,19.055,19.18,7108653.0
2020-07-04,19.4,19.73,19.055,19.18,7108653.0
2020-07-05,19.4,19.73,19.055,19.18,7108653.0
2020-07-06,19.595,19.84,19.41,19.66,7969856.0
2020-07-07,19.44,19.665,19.16,19.27,10559966.0
2020-07-08,19.39,19.98,19.16,19.97,9845818.0
2020-07-09,20.08,20.96,19.37,20.76,14886012.0
2020-07-10,20.81,21.0,20.35,20.49,12939807.0
2020-07-11,20.81,21.0,20.35,20.49,12939807.0
2020-07-12,20.81,21.0,20.35,20.49,12939807.0
2020-07-13,21.25,21.54,20.525,20.55,12975847.0
2020-07-14,20.41,20.74,19.77,20.69,11842917.0
2020-07-15,21.18,21.64,20.71,21.53,9645771.0
2020-07-16,21.01,21.52,20.82,21.34,8204183.0
2020-07-17,21.48,21.545,21.18,21.19,8309167.0
2020-07-18,21.48,21.545,21.18,21.19,8309167.0
2020-07-19,21.48,21.545,21.18,21.19,8309167.0
2020-07-20,21.29,21.665,21.08,21.63,6162689.0
2020-07-21,21.83,22.08,21.61,21.66,8318846.0
2020-07-22,21.76,22.045,21.3,21.45,7460910.0
2020-07-23,21.31,21.455,20.61,20.86,7876727.0
2020-07-24,20.39,20.95,20.29,20.47,5725034.0
2020-07-25,20.39,20.95,20.29,20.47,5725034.0
2020-07-26,20.39,20.95,20.29,20.47,5725034.0
2020-07-27,20.78,21.305,20.68,21.28,5373918.0
2020-07-28,20.79,21.17,20.48,20.5,3692473.0
2020-07-29,20.7,21.055,20.6959,20.96,3753703.0
2020-07-30,20.46,20.785,20.27,20.77,8131326.0
2020-07-31,20.84,20.8692,20.32,20.6,5854956.0
2020-08-01,20.84,20.8692,20.32,20.6,5854956.0
2020-08-02,20.84,20.8692,20.32,20.6,5854956.0
2020-08-03,20.71,21.3,20.65,21.24,4227622.0
2020-08-04,21.28,21.735,21.2,21.69,4280524.0
2020-08-05,21.5,21.5,20.9,21.26,7743776.0
2020-08-06,21.15,21.21,20.87,21.13,4629018.0
2020-08-07,21.13,21.34,20.45,20.84,10297613.0
2020-08-08,21.13,21.34,20.45,20.84,10297613.0
2020-08-09,21.13,21.34,20.45,20.84,10297613.0
2020-08-10,20.96,22.0882,20.89,21.92,10311854.0
2020-08-11,22.08,23.105,21.95,22.19,9482886.0
2020-08-12,22.35,22.44,22.06,22.38,4794352.0
2020-08-13,22.28,22.415,21.82,21.9,7336854.0
2020-08-14,22.31,22.31,21.55,22.04,4072442.0
2020-08-15,22.31,22.31,21.55,22.04,4072442.0
2020-08-16,22.31,22.31,21.55,22.04,4072442.0
2020-08-17,22.26,22.34,21.8,21.96,4566469.0
2020-08-18,22.14,22.149,21.73,21.75,3917225.0
2020-08-19,21.69,21.875,21.46,21.66,4975347.0
2020-08-20,21.3,21.52,21.03,21.06,4527855.0
2020-08-21,21.0,21.0,20.71,20.91,8875213.0
2020-08-22,21.0,21.0,20.71,20.91,8875213.0
2020-08-23,21.0,21.0,20.71,20.91,8875213.0
2020-08-24,21.08,21.39,20.965,21.385,3066590.0
2020-08-25,21.48,21.72,21.24,21.59,2977688.0
2020-08-26,21.59,21.75,21.33,21.68,3838586.0
2020-08-27,21.77,21.8299,21.18,21.33,3263886.0
2020-08-28,21.44,22.14,21.03,22.025,4013000.0
2020-08-29,21.44,22.14,21.03,22.025,4013000.0
2020-08-30,21.44,22.14,21.03,22.025,4013000.0
2020-08-31,21.88,21.99,21.35,21.37,4128354.0
2020-09-01,21.5,21.77,21.21,21.75,7054254.0
2020-09-02,21.8,22.46,21.66,22.38,7101468.0
2020-09-03,22.07,22.165,21.335,21.45,6600215.0
2020-09-04,21.44,23.12,21.37,22.68,14139438.0
2020-09-05,21.44,23.12,21.37,22.68,14139438.0
2020-09-06,21.44,23.12,21.37,22.68,14139438.0
2020-09-07,21.44,23.12,21.37,22.68,14139438.0
2020-09-08,21.77,21.99,20.91,20.93,11540979.0
2020-09-09,21.52,21.99,21.185,21.82,7289960.0
2020-09-10,21.5,22.26,21.5,21.52,5954667.0
2020-09-11,21.91,22.03,21.315,21.575,4347448.0
2020-09-12,21.91,22.03,21.315,21.575,4347448.0
2020-09-13,21.91,22.03,21.315,21.575,4347448.0
2020-09-14,21.9642,22.15,21.65,22.01,3426619.0
2020-09-15,22.21,22.255,21.91,22.02,4589766.0
2020-09-16,22.33,22.685,22.0,22.05,4733805.0
2020-09-17,21.5,22.17,21.4,21.9,4542913.0
2020-09-18,22.09,22.09,21.24,21.42,5513565.0
2020-09-19,22.09,22.09,21.24,21.42,5513565.0
2020-09-20,22.09,22.09,21.24,21.42,5513565.0
2020-09-21,21.01,21.03,20.41,20.61,6529453.0
2020-09-22,20.97,21.0,20.505,20.82,7966151.0
2020-09-23,20.9,21.055,20.06,20.08,4578005.0
2020-09-24,19.92,20.71,19.79,20.31,5377312.0
2020-09-25,20.16,20.54,19.75,20.49,5166359.0
2020-09-26,20.16,20.54,19.75,20.49,5166359.0
2020-09-27,20.16,20.54,19.75,20.49,5166359.0
2020-09-28,20.97,21.75,20.81,21.725,5079528.0
2020-09-29,21.6,21.96,21.55,21.78,4780902.0
2020-09-30,21.7,22.065,21.61,21.69,3635804.0
2020-10-01,22.4,23.37,22.35,22.91,10092834.0
2020-10-02,21.95,22.93,21.91,22.44,6980671.0
2020-10-03,21.95,22.93,21.91,22.44,6980671.0
2020-10-04,21.95,22.93,21.91,22.44,6980671.0
2020-10-05,22.78,23.19,22.71,23.15,4960422.0
2020-10-06,23.18,23.49,22.67,22.89,5289035.0
2020-10-07,23.37,23.53,23.22,23.35,5890686.0
2020-10-08,25.0381,26.06,24.9,26.04,22188141.0
2020-10-09,26.1,26.84,25.51,26.35,14617746.0
2020-10-10,26.1,26.84,25.51,26.35,14617746.0
2020-10-11,26.1,26.84,25.51,26.35,14617746.0
2020-10-12,26.52,26.58,26.245,26.51,5826611.0
2020-10-13,26.36,26.41,25.76,25.905,7619449.0
2020-10-14,26.0,26.115,25.67,25.93,3884307.0
2020-10-15,25.28,26.12,25.084,26.07,5773593.0
2020-10-16,26.48,26.53,26.02,26.07,4486450.0
2020-10-17,26.48,26.53,26.02,26.07,4486450.0
2020-10-18,26.48,26.53,26.02,26.07,4486450.0
2020-10-19,26.11,26.59,25.9602,26.21,5466831.0
2020-10-20,26.07,26.44,25.905,26.1,5999762.0
2020-10-21,26.21,26.25,25.51,25.53,4547679.0
2020-10-22,25.69,26.0,25.455,25.92,3095486.0
2020-10-23,26.04,26.24,25.775,26.16,3608752.0
2020-10-24,26.04,26.24,25.775,26.16,3608752.0
2020-10-25,26.04,26.24,25.775,26.16,3608752.0
2020-10-26,25.77,25.865,25.19,25.55,7651034.0
2020-10-27,25.45,25.58,25.04,25.17,4011783.0
2020-10-28,24.62,24.75,24.23,24.54,4529668.0
2020-10-29,24.57,25.61,24.51,25.19,9795568.0
2020-10-30,24.99,25.26,24.56,25.09,10703795.0
2020-10-31,24.99,25.26,24.56,25.09,10703795.0
2020-11-01,24.99,25.26,24.56,25.09,10703795.0
2020-11-02,24.31,24.835,23.86,24.36,12688657.0
2020-11-03,25.03,25.37,24.71,25.05,8822905.0
2020-11-04,25.25,26.3,25.045,25.89,11950679.0
2020-11-05,26.38,26.66,25.9917,26.45,10102089.0
2020-11-06,26.49,27.08,26.26,26.58,7976674.0
2020-11-07,26.49,27.08,26.26,26.58,7976674.0
2020-11-08,26.49,27.08,26.26,26.58,7976674.0
2020-11-09,28.0,28.8,27.49,27.53,14243685.0
2020-11-10,27.5,27.9052,26.935,27.09,8515924.0
2020-11-11,27.31,28.4,27.31,27.93,8684965.0
2020-11-12,27.78,27.945,27.22,27.48,7139646.0
2020-11-13,27.95,28.4,27.79,28.055,7722638.0
2020-11-14,27.95,28.4,27.79,28.055,7722638.0
2020-11-15,27.95,28.4,27.79,28.055,7722638.0
2020-11-16,28.5,28.77,28.05,28.58,8538319.0
2020-11-17,28.27,28.4,27.74,28.16,6701299.0
2020-11-18,28.13,28.44,27.55,27.6,9452676.0
2020-11-19,27.42,27.94,27.32,27.85,7610577.0
2020-11-20,27.94,28.17,27.4,27.44,5843570.0
2020-11-21,27.94,28.17,27.4,27.44,5843570.0
2020-11-22,27.94,28.17,27.4,27.44,5843570.0
2020-11-23,27.77,28.58,27.615,28.41,8096427.0
2020-11-24,29.06,29.06,28.27,28.61,7779914.0
2020-11-25,28.37,29.12,28.09,28.58,7426826.0
2020-11-26,28.37,29.12,28.09,28.58,7426826.0
2020-11-27,29.29,29.43,28.55,28.65,2672996.0
2020-11-28,29.29,29.43,28.55,28.65,2672996.0
2020-11-29,29.29,29.43,28.55,28.65,2672996.0
2020-11-30,28.79,28.99,28.34,28.75,6078857.0
2020-12-01,29.05,29.63,28.98,29.27,6168178.0
2020-12-02,28.86,29.13,28.74,28.96,4724090.0
2020-12-03,29.17,29.745,29.03,29.1,4657009.0
2020-12-04,29.46,30.04,29.15,29.92,7681586.0
2020-12-05,29.46,30.04,29.15,29.92,7681586.0
2020-12-06,29.46,30.04,29.15,29.92,7681586.0
2020-12-07,30.03,30.755,29.88,30.575,7978488.0
2020-12-08,31.95,32.6,31.24,31.39,16728298.0
2020-12-09,31.3,31.77,30.405,30.67,8556228.0
2020-12-10,30.7955,31.1,30.42,30.54,4962177.0
2020-12-11,30.45,30.8,30.2,30.66,4596400.0
2020-12-12,30.45,30.8,30.2,30.66,4596400.0
2020-12-13,30.45,30.8,30.2,30.66,4596400.0
2020-12-14,31.27,31.47,30.625,30.82,4359224.0
2020-12-15,31.47,31.48,31.14,31.37,4705373.0
2020-12-16,31.38,31.43,30.5881,31.11,4982522.0
2020-12-17,31.76,31.84,31.31,31.6,4898540.0
2020-12-18,31.67,32.095,31.31,31.54,6762291.0
2020-12-19,31.67,32.095,31.31,31.54,6762291.0
2020-12-20,31.67,32.095,31.31,31.54,6762291.0
2020-12-21,31.14,31.67,30.78,31.58,4855110.0
2020-12-22,31.93,32.05,31.54,31.85,4118153.0
2020-12-23,32.25,32.425,31.76,31.8,3794540.0
2020-12-24,32.0,32.16,31.695,31.99,1776077.0
2020-12-25,32.0,32.16,31.695,31.99,1776077.0
2020-12-26,32.0,32.16,31.695,31.99,1776077.0
2020-12-27,32.0,32.16,31.695,31.99,1776077.0
2020-12-28,32.15,32.54,31.89,31.95,3676525.0
2020-12-29,32.215,32.23,31.26,31.66,4088053.0
2020-12-30,31.87,32.565,31.86,32.48,3839820.0
2020-12-31,32.5,32.93,32.29,32.73,3987746.0
2021-01-01,32.5,32.93,32.29,32.73,3987746.0
2021-01-02,32.5,32.93,32.29,32.73,3987746.0
2021-01-03,32.5,32.93,32.29,32.73,3987746.0
2021-01-04,33.05,33.64,32.32,32.67,8090144.0
2021-01-05,32.5248,33.28,32.49,33.22,4261684.0
2021-01-06,33.29,34.77,33.29,34.06,9206147.0
2021-01-07,34.49,35.445,34.44,35.36,8294058.0
2021-01-08,36.11,36.6,35.12,35.52,6827478.0
2021-01-09,36.11,36.6,35.12,35.52,6827478.0
2021-01-10,36.11,36.6,35.12,35.52,6827478.0
2021-01-11,34.91,36.27,34.91,36.05,4746688.0
2021-01-12,36.35,36.935,36.02,36.41,11886322.0
2021-01-13,36.82,37.32,36.61,36.99,6420865.0
2021-01-14,37.25,38.25,37.12,37.9,9298971.0
2021-01-15,37.855,38.12,36.1,36.71,7565688.0
2021-01-16,37.855,38.12,36.1,36.71,7565688.0
2021-01-17,37.855,38.12,36.1,36.71,7565688.0
2021-01-18,37.855,38.12,36.1,36.71,7565688.0
2021-01-19,37.7337,38.71,37.43,38.52,7666014.0
2021-01-20,39.15,39.43,37.685,37.94,10752822.0
2021-01-21,38.61,38.6599,37.56,37.84,6564137.0
2021-01-22,37.45,37.67,36.9,37.295,5252620.0
2021-01-23,37.45,37.67,36.9,37.295,5252620.0
2021-01-24,37.45,37.67,36.9,37.295,5252620.0
2021-01-25,37.6,37.74,36.1,36.97,6313861.0
2021-01-26,37.28,37.29,36.09,36.1,8546282.0
2021-01-27,35.05,35.15,33.78,34.07,12694774.0
2021-01-28,35.35,36.165,34.64,35.25,9481219.0
2021-01-29,35.25,35.625,34.405,34.49,7948455.0
2021-01-30,35.25,35.625,34.405,34.49,7948455.0
2021-01-31,35.25,35.625,34.405,34.49,7948455.0
2021-02-01,36.4,37.21,35.64,36.71,13481576.0
2021-02-02,37.53,37.9,36.465,36.85,6901655.0
2021-02-03,37.03,37.46,36.29,36.9,5916531.0
2021-02-04,36.91,38.16,36.8,38.11,7132721.0
2021-02-05,38.6,38.8,38.1,38.39,5631109.0
2021-02-06,38.6,38.8,38.1,38.39,5631109.0
2021-02-07,38.6,38.8,38.1,38.39,5631109.0
2021-02-08,38.92,39.96,38.72,39.81,7757466.0
2021-02-09,39.51,40.88,39.27,40.61,6584955.0
2021-02-10,41.64,41.66,39.54,39.93,8596829.0
2021-02-11,40.21,40.535,38.97,40.45,7925939.0
2021-02-12,40.7749,41.95,40.13,41.27,6511122.0
2021-02-13,40.7749,41.95,40.13,41.27,6511122.0
2021-02-14,40.7749,41.95,40.13,41.27,6511122.0
2021-02-15,40.7749,41.95,40.13,41.27,6511122.0
2021-02-16,42.0,42.33,41.465,41.85,5127537.0
2021-02-17,41.43,41.615,40.2,41.08,5227743.0
2021-02-18,40.44,40.63,39.35,39.87,4400625.0
2021-02-19,40.43,41.9181,40.43,41.87,8362956.0
2021-02-20,40.43,41.9181,40.43,41.87,8362956.0
2021-02-21,40.43,41.9181,40.43,41.87,8362956.0
2021-02-22,41.64,42.16,40.15,40.44,6879062.0
2021-02-23,39.4413,40.38,37.07,40.28,11498655.0
2021-02-24,40.01,40.77,39.28,40.66,7426506.0
2021-02-25,40.29,40.3692,37.39,37.74,6097500.0
2021-02-26,38.495,40.62,37.77,40.27,9916316.0
2021-02-27,38.495,40.62,37.77,40.27,9916316.0
2021-02-28,38.495,40.62,37.77,40.27,9916316.0
2021-03-01,42.0,42.38,41.02,42.27,8243210.0
2021-03-02,42.35,42.36,40.39,40.43,6270580.0
2021-03-03,40.79,41.0,39.27,39.68,5750402.0
2021-03-04,39.42,39.99,36.45,37.04,9117365.0
2021-03-05,38.07,38.92,34.79,38.81,10937482.0
2021-03-06,38.07,38.92,34.79,38.81,10937482.0
2021-03-07,38.07,38.92,34.79,38.81,10937482.0
2021-03-08,38.94,39.45,35.89,35.99,8818926.0
2021-03-09,37.53,38.245,37.42,37.93,12182353.0
2021-03-10,38.37,38.92,37.36,37.55,4775528.0
2021-03-11,38.8,39.13,38.29,38.8,7992945.0
2021-03-12,37.78,38.625,37.32,38.49,5551346.0
2021-03-13,37.78,38.625,37.32,38.49,5551346.0
2021-03-14,37.78,38.625,37.32,38.49,5551346.0
2021-03-15,38.79,39.27,38.3,39.27,5116447.0
2021-03-16,39.55,41.65,39.31,40.66,11908925.0
2021-03-17,39.91,42.075,39.82,41.83,7231456.0
2021-03-18,41.15,41.31,39.04,39.14,6866419.0
2021-03-19,39.26,40.4,38.46,40.09,8503843.0
2021-03-20,39.26,40.4,38.46,40.09,8503843.0
2021-03-21,39.26,40.4,38.46,40.09,8503843.0
2021-03-22,40.69,41.695,40.43,40.82,6926069.0
2021-03-23,40.64,41.05,38.17,38.58,6965096.0
2021-03-24,39.07,39.64,38.1,38.12,4613260.0
2021-03-25,36.95,38.54,36.68,38.19,7038295.0
2021-03-26,38.45,40.73,38.32,40.64,5919476.0
2021-03-27,38.45,40.73,38.32,40.64,5919476.0
2021-03-28,38.45,40.73,38.32,40.64,5919476.0
2021-03-29,40.04,40.22,38.41,39.1,5121389.0
2021-03-30,39.0,40.11,39.0,39.87,3782308.0
2021-03-31,40.6,42.025,40.51,41.61,7971678.0
2021-04-01,42.25,42.94,41.72,42.89,6700197.0
2021-04-02,42.25,42.94,41.72,42.89,6700197.0
2021-04-03,42.25,42.94,41.72,42.89,6700197.0
2021-04-04,42.25,42.94,41.72,42.89,6700197.0
2021-04-05,43.33,44.19,42.865,44.03,6326751.0
2021-04-06,43.75,44.59,43.045,43.57,5954355.0
2021-04-07,43.51,43.6,42.5458,42.93,4416621.0
2021-04-08,43.3,43.59,42.7001,43.06,4483671.0
2021-04-09,42.47,42.985,42.35,42.96,3282009.0
2021-04-10,42.47,42.985,42.35,42.96,3282009.0
2021-04-11,42.47,42.985,42.35,42.96,3282009.0
2021-04-12,42.42,42.7,41.66,42.4,4151303.0
2021-04-13,42.54,42.85,41.55,42.04,3625321.0
2021-04-14,41.59,43.17,41.44,42.1,3889918.0
2021-04-15,42.44,42.9,41.94,42.63,3995006.0
2021-04-16,42.63,42.77,42.07,42.18,4630257.0
2021-04-17,42.63,42.77,42.07,42.18,4630257.0
2021-04-18,42.63,42.77,42.07,42.18,4630257.0
2021-04-19,42.0,42.53,40.58,41.07,4554869.0
2021-04-20,40.8989,40.97,39.375,39.7,7978315.0
2021-04-21,39.57,41.41,39.365,41.37,4518298.0
