,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity
2019-02-13,183.39,184.72,182.35,183.97,610290.0
2019-02-14,185.88,203.01,185.88,196.47,2749507.0
2019-02-15,198.65,200.095,194.55,199.75,781750.0
2019-02-16,198.65,200.095,194.55,199.75,781750.0
2019-02-17,198.65,200.095,194.55,199.75,781750.0
2019-02-18,198.65,200.095,194.55,199.75,781750.0
2019-02-19,200.44,203.95,198.47,199.32,674010.0
2019-02-20,198.78,200.27,197.52,199.85,380204.0
2019-02-21,199.92,200.37,197.92,199.82,332929.0
2019-02-22,200.64,206.65,199.6519,206.35,539149.0
2019-02-23,200.64,206.65,199.6519,206.35,539149.0
2019-02-24,200.64,206.65,199.6519,206.35,539149.0
2019-02-25,207.32,207.88,204.33,204.64,508146.0
2019-02-26,203.51,204.57,201.185,202.98,374528.0
2019-02-27,202.66,203.5,200.125,202.48,340522.0
2019-02-28,202.2,202.61,200.305,200.51,342995.0
2019-03-01,203.16,204.5473,200.29,202.21,288849.0
2019-03-02,203.16,204.5473,200.29,202.21,288849.0
2019-03-03,203.16,204.5473,200.29,202.21,288849.0
2019-03-04,202.97,203.05,196.01,201.73,477845.0
2019-03-05,202.0,203.12,199.62,201.64,315451.0
2019-03-06,202.52,203.462,200.28,201.24,218454.0
2019-03-07,201.72,203.93,199.2345,201.99,308041.0
2019-03-08,199.92,202.37,199.351,201.9,374683.0
2019-03-09,199.92,202.37,199.351,201.9,374683.0
2019-03-10,199.92,202.37,199.351,201.9,374683.0
2019-03-11,203.52,209.625,203.52,209.45,494228.0
2019-03-12,210.55,211.93,207.82,210.72,399427.0
2019-03-13,211.8,212.94,210.7,211.53,569557.0
2019-03-14,212.48,213.17,211.01,212.67,424230.0
2019-03-15,213.24,216.78,210.84,211.4,496537.0
2019-03-16,213.24,216.78,210.84,211.4,496537.0
2019-03-17,213.24,216.78,210.84,211.4,496537.0
2019-03-18,207.49,214.08,204.3444,213.21,400232.0
2019-03-19,214.23,215.96,213.24,213.68,363262.0
2019-03-20,213.04,216.19,211.7925,214.59,540596.0
2019-03-21,214.25,219.39,214.25,218.3,259163.0
2019-03-22,218.02,218.75,207.0,207.24,534506.0
2019-03-23,218.02,218.75,207.0,207.24,534506.0
2019-03-24,218.02,218.75,207.0,207.24,534506.0
2019-03-25,207.12,208.61,203.3,204.97,551316.0
2019-03-26,207.0,209.4949,206.3801,208.95,476542.0
2019-03-27,208.96,209.8063,203.53,206.76,403379.0
2019-03-28,207.26,209.45,205.0,208.46,289909.0
2019-03-29,211.09,211.9921,208.03,209.53,339056.0
2019-03-30,211.09,211.9921,208.03,209.53,339056.0
2019-03-31,211.09,211.9921,208.03,209.53,339056.0
2019-04-01,211.24,213.4699,209.5,211.91,245473.0
2019-04-02,212.23,214.7,209.825,213.62,339282.0
2019-04-03,215.33,218.585,214.44,215.04,308968.0
2019-04-04,215.77,217.43,212.76,214.01,327265.0
2019-04-05,214.7,219.66,214.68,218.33,410077.0
2019-04-06,214.7,219.66,214.68,218.33,410077.0
2019-04-07,214.7,219.66,214.68,218.33,410077.0
2019-04-08,217.02,221.83,213.98,221.44,448990.0
2019-04-09,221.44,223.63,219.5,220.12,344135.0
2019-04-10,221.04,226.43,221.04,225.61,525358.0
2019-04-11,225.8,226.9899,224.369,226.7,341436.0
2019-04-12,228.14,234.0,228.14,233.74,585501.0
2019-04-13,228.14,234.0,228.14,233.74,585501.0
2019-04-14,228.14,234.0,228.14,233.74,585501.0
2019-04-15,233.22,234.525,230.9,231.28,603288.0
2019-04-16,232.55,234.9478,231.3407,234.21,325835.0
2019-04-17,235.4,235.975,230.01,232.22,354333.0
2019-04-18,231.8,233.785,228.71,232.68,312631.0
2019-04-19,231.8,233.785,228.71,232.68,312631.0
2019-04-20,231.8,233.785,228.71,232.68,312631.0
2019-04-21,231.8,233.785,228.71,232.68,312631.0
2019-04-22,231.51,232.91,229.7,230.51,351013.0
2019-04-23,231.37,233.54,229.06,233.44,571221.0
2019-04-24,233.3,237.15,231.01,235.44,480722.0
2019-04-25,235.35,235.4,229.43,231.41,433192.0
2019-04-26,231.0,231.59,227.84,229.18,422598.0
2019-04-27,231.0,231.59,227.84,229.18,422598.0
2019-04-28,231.0,231.59,227.84,229.18,422598.0
2019-04-29,228.8,230.09,225.84,226.91,751135.0
2019-04-30,225.91,226.34,210.03,211.14,1301590.0
2019-05-01,212.26,214.4,204.22,205.12,1096957.0
2019-05-02,206.14,207.97,202.51,205.94,654075.0
2019-05-03,206.54,208.48,204.545,206.46,506360.0
2019-05-04,206.54,208.48,204.545,206.46,506360.0
2019-05-05,206.54,208.48,204.545,206.46,506360.0
2019-05-06,201.19,206.5,199.34,206.36,771814.0
2019-05-07,203.51,206.28,196.931,200.82,648437.0
2019-05-08,200.44,203.28,198.695,200.05,391631.0
2019-05-09,197.88,199.96,191.64,195.54,721582.0
2019-05-10,194.55,197.2472,192.6228,195.89,668754.0
2019-05-11,194.55,197.2472,192.6228,195.89,668754.0
2019-05-12,194.55,197.2472,192.6228,195.89,668754.0
2019-05-13,190.0,190.83,180.98,181.01,1199844.0
2019-05-14,182.37,189.02,181.25,186.72,992417.0
2019-05-15,185.48,187.31,184.29,185.18,479458.0
2019-05-16,186.03,191.84,185.5,190.02,956675.0
2019-05-17,188.0,188.0,178.88,179.12,835675.0
2019-05-18,188.0,188.0,178.88,179.12,835675.0
2019-05-19,188.0,188.0,178.88,179.12,835675.0
2019-05-20,177.64,177.71,171.69,173.27,970787.0
2019-05-21,175.38,178.47,174.67,178.09,820814.0
2019-05-22,173.65,178.81,173.65,174.53,632041.0
2019-05-23,171.34,173.18,169.29,171.67,734412.0
2019-05-24,172.76,175.73,172.52,175.68,925830.0
2019-05-25,172.76,175.73,172.52,175.68,925830.0
2019-05-26,172.76,175.73,172.52,175.68,925830.0
2019-05-27,172.76,175.73,172.52,175.68,925830.0
2019-05-28,177.11,178.73,174.102,175.79,3765114.0
2019-05-29,175.55,176.55,168.025,168.62,816071.0
2019-05-30,169.03,170.58,167.01,169.82,565446.0
2019-05-31,167.31,172.0,167.27,171.44,853101.0
2019-06-01,167.31,172.0,167.27,171.44,853101.0
2019-06-02,167.31,172.0,167.27,171.44,853101.0
2019-06-03,171.14,173.23,166.15,167.69,721249.0
2019-06-04,170.65,177.4099,169.71,177.08,716750.0
2019-06-05,179.37,182.36,178.68,181.59,1107615.0
2019-06-06,181.2,182.7,179.81,181.76,615422.0
2019-06-07,183.16,188.59,181.92,188.37,538324.0
2019-06-08,183.16,188.59,181.92,188.37,538324.0
2019-06-09,183.16,188.59,181.92,188.37,538324.0
2019-06-10,189.12,195.35,189.12,194.51,668517.0
2019-06-11,197.17,197.27,190.758,192.07,618801.0
2019-06-12,192.0,194.18,190.26,193.63,507701.0
2019-06-13,194.58,194.58,191.33,194.0,482208.0
2019-06-14,192.87,193.39,190.15,190.81,480691.0
2019-06-15,192.87,193.39,190.15,190.81,480691.0
2019-06-16,192.87,193.39,190.15,190.81,480691.0
2019-06-17,190.68,193.345,190.15,192.99,335289.0
2019-06-18,195.79,202.215,195.2163,201.81,645787.0
2019-06-19,201.88,204.4,199.53,200.53,455462.0
2019-06-20,203.79,203.99,198.71,201.12,480809.0
2019-06-21,199.27,200.81,197.76,200.11,396514.0
2019-06-22,199.27,200.81,197.76,200.11,396514.0
2019-06-23,199.27,200.81,197.76,200.11,396514.0
2019-06-24,200.36,202.75,198.6,200.04,258299.0
2019-06-25,200.39,200.94,196.06,197.53,546064.0
2019-06-26,199.42,204.39,197.69,203.4,570825.0
2019-06-27,205.0,210.9,203.7,207.63,672859.0
2019-06-28,207.67,210.68,206.02,209.49,778505.0
2019-06-29,207.67,210.68,206.02,209.49,778505.0
2019-06-30,207.67,210.68,206.02,209.49,778505.0
2019-07-01,214.09,214.99,207.6,208.98,764530.0
2019-07-02,208.67,213.13,206.56,211.61,414714.0
2019-07-03,212.2,218.11,211.65,217.53,316822.0
2019-07-04,212.2,218.11,211.65,217.53,316822.0
2019-07-05,215.15,218.215,213.34,217.04,403189.0
2019-07-06,215.15,218.215,213.34,217.04,403189.0
2019-07-07,215.15,218.215,213.34,217.04,403189.0
2019-07-08,215.6,215.6,209.865,210.44,445853.0
2019-07-09,208.23,212.58,208.0801,211.72,385857.0
2019-07-10,212.55,212.73,210.55,211.96,299613.0
2019-07-11,210.94,210.94,186.69,195.01,2208388.0
2019-07-12,196.7,201.8,195.11,200.44,762187.0
2019-07-13,196.7,201.8,195.11,200.44,762187.0
2019-07-14,196.7,201.8,195.11,200.44,762187.0
2019-07-15,200.98,201.96,196.6701,197.35,446924.0
2019-07-16,197.95,200.435,196.15,199.32,496036.0
2019-07-17,199.11,200.58,196.75,197.86,395385.0
2019-07-18,196.97,198.0,177.06,182.69,2201765.0
2019-07-19,184.19,185.584,180.25,182.15,717560.0
2019-07-20,184.19,185.584,180.25,182.15,717560.0
2019-07-21,184.19,185.584,180.25,182.15,717560.0
2019-07-22,182.84,185.0,181.7,182.24,417420.0
2019-07-23,183.77,186.39,181.31,185.05,712380.0
2019-07-24,184.42,188.1,183.02,187.94,478381.0
2019-07-25,187.6,190.17,185.98,187.87,499994.0
2019-07-26,189.27,192.62,189.27,189.65,488866.0
2019-07-27,189.27,192.62,189.27,189.65,488866.0
2019-07-28,189.27,192.62,189.27,189.65,488866.0
2019-07-29,190.25,191.9,187.29,189.42,700250.0
2019-07-30,206.45,220.46,205.0,218.2,1436267.0
2019-07-31,215.56,219.363,210.85,210.89,675955.0
2019-08-01,211.71,216.22,200.7,204.26,708150.0
2019-08-02,201.93,203.99,195.23,198.93,365216.0
2019-08-03,201.93,203.99,195.23,198.93,365216.0
2019-08-04,201.93,203.99,195.23,198.93,365216.0
2019-08-05,192.11,200.55,190.37,199.67,623171.0
2019-08-06,201.15,205.735,199.95,205.23,467608.0
2019-08-07,202.25,205.55,199.65,203.95,448191.0
2019-08-08,206.51,212.36,206.06,211.94,723815.0
2019-08-09,209.8,210.065,203.66,205.61,324242.0
2019-08-10,209.8,210.065,203.66,205.61,324242.0
2019-08-11,209.8,210.065,203.66,205.61,324242.0
2019-08-12,203.13,205.17,201.2,201.87,292746.0
2019-08-13,201.11,209.29,200.69,208.26,434551.0
2019-08-14,203.38,204.88,197.03,200.12,382746.0
2019-08-15,200.6,201.74,196.1,197.72,242417.0
2019-08-16,200.07,204.25,199.81,203.5,357222.0
2019-08-17,200.07,204.25,199.81,203.5,357222.0
2019-08-18,200.07,204.25,199.81,203.5,357222.0
2019-08-19,207.67,209.0,205.1,205.18,301730.0
2019-08-20,204.71,204.71,201.18,201.44,422791.0
2019-08-21,204.66,206.61,202.56,205.79,479370.0
2019-08-22,205.99,207.514,200.73,204.38,264240.0
2019-08-23,201.22,204.294,197.59,198.49,327307.0
2019-08-24,201.22,204.294,197.59,198.49,327307.0
2019-08-25,201.22,204.294,197.59,198.49,327307.0
2019-08-26,202.03,203.0,195.895,198.41,303380.0
2019-08-27,202.3,202.3,196.51,198.59,463895.0
2019-08-28,198.09,203.24,196.5,202.86,356840.0
2019-08-29,206.46,209.185,204.0,208.49,342389.0
2019-08-30,209.02,209.995,203.39,205.03,342597.0
2019-08-31,209.02,209.995,203.39,205.03,342597.0
2019-09-01,209.02,209.995,203.39,205.03,342597.0
2019-09-02,209.02,209.995,203.39,205.03,342597.0
2019-09-03,201.61,202.51,196.495,198.98,412563.0
2019-09-04,202.27,204.09,200.2,200.6,274568.0
2019-09-05,202.94,207.15,202.25,205.85,366957.0
2019-09-06,205.17,207.5071,201.85,202.73,294393.0
2019-09-07,205.17,207.5071,201.85,202.73,294393.0
2019-09-08,205.17,207.5071,201.85,202.73,294393.0
2019-09-09,203.45,205.32,195.51,196.81,446689.0
2019-09-10,195.96,196.87,191.14,192.64,500216.0
2019-09-11,194.05,199.07,193.54,197.42,307615.0
2019-09-12,198.5,201.735,194.935,197.28,317265.0
2019-09-13,197.46,205.95,197.46,205.16,609608.0
2019-09-14,197.46,205.95,197.46,205.16,609608.0
2019-09-15,197.46,205.95,197.46,205.16,609608.0
2019-09-16,204.28,204.63,198.51,202.78,418869.0
2019-09-17,202.73,211.1,201.05,211.0,489260.0
2019-09-18,210.39,212.21,205.25,209.2,304993.0
2019-09-19,210.5,213.0,207.79,207.95,309625.0
2019-09-20,207.84,209.33,202.79,203.68,543385.0
2019-09-21,207.84,209.33,202.79,203.68,543385.0
2019-09-22,207.84,209.33,202.79,203.68,543385.0
2019-09-23,202.76,207.8,202.01,205.4,280054.0
2019-09-24,205.86,208.85,202.22,203.98,338209.0
2019-09-25,203.59,208.6,203.02,207.95,330351.0
2019-09-26,208.06,209.29,205.27,208.27,203524.0
2019-09-27,208.94,210.0,201.63,202.18,234364.0
2019-09-28,208.94,210.0,201.63,202.18,234364.0
2019-09-29,208.94,210.0,201.63,202.18,234364.0
2019-09-30,202.63,207.35,202.47,206.37,285735.0
2019-10-01,207.61,209.92,199.25,199.54,302703.0
2019-10-02,198.94,200.89,194.75,199.51,299664.0
2019-10-03,198.53,201.52,195.38,200.85,175478.0
2019-10-04,201.54,204.68,200.06,204.49,158117.0
2019-10-05,201.54,204.68,200.06,204.49,158117.0
2019-10-06,201.54,204.68,200.06,204.49,158117.0
2019-10-07,202.53,205.05,201.56,202.73,171782.0
2019-10-08,200.77,202.3,196.61,198.09,299363.0
2019-10-09,196.45,196.65,188.8,191.63,568815.0
2019-10-10,192.61,193.81,190.43,190.86,514335.0
2019-10-11,193.54,198.44,192.99,194.6,453887.0
2019-10-12,193.54,198.44,192.99,194.6,453887.0
2019-10-13,193.54,198.44,192.99,194.6,453887.0
2019-10-14,194.2,194.52,192.67,193.58,292391.0
2019-10-15,194.72,203.27,194.0,202.15,546875.0
2019-10-16,201.0,202.53,197.0,198.33,361497.0
2019-10-17,199.81,205.87,198.535,205.73,467258.0
2019-10-18,204.74,205.7,201.9443,203.06,299987.0
2019-10-19,204.74,205.7,201.9443,203.06,299987.0
2019-10-20,204.74,205.7,201.9443,203.06,299987.0
2019-10-21,204.92,208.12,203.19,205.78,249004.0
2019-10-22,206.21,207.4,202.75,203.29,265732.0
2019-10-23,202.78,207.27,201.24,206.89,360287.0
2019-10-24,207.73,211.83,205.055,211.08,437248.0
2019-10-25,211.76,219.4,211.08,219.08,553854.0
2019-10-26,211.76,219.4,211.08,219.08,553854.0
2019-10-27,211.76,219.4,211.08,219.08,553854.0
2019-10-28,220.0,224.9,220.0,222.83,868366.0
2019-10-29,223.21,241.76,222.42,237.64,1182085.0
2019-10-30,237.64,240.5673,236.0001,238.87,717047.0
2019-10-31,239.92,240.5,236.42,237.87,479697.0
2019-11-01,238.0,241.5,237.06,238.0,453478.0
2019-11-02,238.0,241.5,237.06,238.0,453478.0
2019-11-03,238.0,241.5,237.06,238.0,453478.0
2019-11-04,240.48,248.83,239.185,248.35,834384.0
2019-11-05,245.86,248.65,238.66,241.32,604280.0
2019-11-06,241.86,244.585,238.18,242.73,410008.0
2019-11-07,244.1,245.99,239.36,240.46,377489.0
2019-11-08,240.28,242.99,237.21,241.86,223748.0
2019-11-09,240.28,242.99,237.21,241.86,223748.0
2019-11-10,240.28,242.99,237.21,241.86,223748.0
2019-11-11,240.14,242.89,239.42,242.73,424704.0
2019-11-12,242.76,245.66,241.6,244.38,303857.0
2019-11-13,243.99,245.18,242.06,242.54,231419.0
2019-11-14,241.75,241.75,236.06,237.45,580244.0
2019-11-15,239.61,240.19,236.71,237.73,546926.0
2019-11-16,239.61,240.19,236.71,237.73,546926.0
2019-11-17,239.61,240.19,236.71,237.73,546926.0
2019-11-18,237.2,239.22,234.05,234.51,414321.0
2019-11-19,237.4,237.7,233.34,235.91,388787.0
2019-11-20,236.07,245.39,236.0,242.46,838549.0
2019-11-21,242.09,244.08,238.23,242.62,521665.0
2019-11-22,243.07,244.18,240.2191,243.57,474988.0
2019-11-23,243.07,244.18,240.2191,243.57,474988.0
2019-11-24,243.07,244.18,240.2191,243.57,474988.0
2019-11-25,245.07,250.7811,243.61,248.94,416891.0
2019-11-26,248.78,249.485,246.16,247.7,472556.0
2019-11-27,249.25,255.39,248.8256,255.21,395521.0
2019-11-28,249.25,255.39,248.8256,255.21,395521.0
2019-11-29,255.38,255.9506,250.8,250.94,212514.0
2019-11-30,255.38,255.9506,250.8,250.94,212514.0
2019-12-01,255.38,255.9506,250.8,250.94,212514.0
2019-12-02,251.85,253.16,247.0,250.42,305638.0
2019-12-03,245.87,250.84,244.0,250.11,289290.0
2019-12-04,251.0,254.98,250.8,253.21,368455.0
2019-12-05,254.35,254.52,250.85,251.62,355935.0
2019-12-06,254.69,257.6,253.99,256.92,461389.0
2019-12-07,254.69,257.6,253.99,256.92,461389.0
2019-12-08,254.69,257.6,253.99,256.92,461389.0
2019-12-09,255.48,257.53,253.78,253.79,374631.0
2019-12-10,253.49,257.2792,253.12,256.81,296731.0
2019-12-11,257.3,257.835,255.725,256.82,374892.0
2019-12-12,256.05,259.39,255.05,258.28,373091.0
2019-12-13,257.85,259.71,256.29,257.8,322743.0
2019-12-14,257.85,259.71,256.29,257.8,322743.0
2019-12-15,257.85,259.71,256.29,257.8,322743.0
2019-12-16,254.5,260.3,253.87,255.45,1049820.0
2019-12-17,256.5,256.5,251.51,253.44,601774.0
2019-12-18,253.43,257.1,249.26,255.43,733942.0
2019-12-19,254.21,256.6,250.01,253.13,794836.0
2019-12-20,253.4,257.41,248.9,252.49,11578682.0
2019-12-21,253.4,257.41,248.9,252.49,11578682.0
2019-12-22,253.4,257.41,248.9,252.49,11578682.0
2019-12-23,254.08,260.1575,252.96,256.73,812361.0
2019-12-24,257.05,257.18,253.92,254.33,164359.0
2019-12-25,257.05,257.18,253.92,254.33,164359.0
2019-12-26,255.8,257.0,253.0,254.42,255414.0
2019-12-27,256.31,257.94,253.38,256.0,214078.0
2019-12-28,256.31,257.94,253.38,256.0,214078.0
2019-12-29,256.31,257.94,253.38,256.0,214078.0
2019-12-30,256.0,256.715,253.73,254.11,339067.0
2019-12-31,253.9,256.47,253.9,255.44,363472.0
2020-01-01,253.9,256.47,253.9,255.44,363472.0
2020-01-02,259.03,260.4,255.17,259.14,387794.0
2020-01-03,256.1,258.65,254.88,256.05,305333.0
2020-01-04,256.1,258.65,254.88,256.05,305333.0
2020-01-05,256.1,258.65,254.88,256.05,305333.0
2020-01-06,252.62,258.01,252.62,258.01,322598.0
2020-01-07,257.5,258.74,256.08,256.47,236286.0
2020-01-08,251.28,253.48,247.25,247.64,689617.0
2020-01-09,249.16,250.06,246.19,246.5,766210.0
2020-01-10,248.08,248.08,243.29,246.27,623585.0
2020-01-11,248.08,248.08,243.29,246.27,623585.0
2020-01-12,248.08,248.08,243.29,246.27,623585.0
2020-01-13,247.24,248.92,244.43,248.58,479114.0
2020-01-14,248.78,249.1,245.9225,248.07,416645.0
2020-01-15,247.39,249.66,245.52,247.8,331210.0
2020-01-16,249.05,254.0,247.04,253.93,433988.0
2020-01-17,252.75,254.27,250.86,252.74,399078.0
2020-01-18,252.75,254.27,250.86,252.74,399078.0
2020-01-19,252.75,254.27,250.86,252.74,399078.0
2020-01-20,252.75,254.27,250.86,252.74,399078.0
2020-01-21,254.1,257.71,251.71,252.42,561437.0
2020-01-22,254.34,257.47,253.6,253.75,414448.0
2020-01-23,253.9,256.13,251.5346,254.36,358792.0
2020-01-24,256.27,256.99,251.57,252.7,223678.0
2020-01-25,256.27,256.99,251.57,252.7,223678.0
2020-01-26,256.27,256.99,251.57,252.7,223678.0
2020-01-27,247.31,250.0,242.5668,243.23,425658.0
2020-01-28,245.08,249.46,245.08,247.98,340797.0
2020-01-29,247.55,251.69,247.55,250.17,319467.0
2020-01-30,247.7,249.7,243.34,246.32,246863.0
2020-01-31,245.5,246.28,238.86,239.02,335894.0
2020-02-01,245.5,246.28,238.86,239.02,335894.0
2020-02-02,245.5,246.28,238.86,239.02,335894.0
2020-02-03,240.85,246.08,240.85,242.55,262416.0
2020-02-04,247.33,251.2,247.33,247.87,251123.0
2020-02-05,251.18,251.18,246.47,247.81,244176.0
2020-02-06,248.82,252.85,248.295,252.09,407547.0
2020-02-07,249.97,249.97,245.445,247.26,385713.0
2020-02-08,249.97,249.97,245.445,247.26,385713.0
2020-02-09,249.97,249.97,245.445,247.26,385713.0
2020-02-10,245.11,248.99,245.11,248.55,216172.0
2020-02-11,249.86,254.69,247.28,247.81,219389.0
2020-02-12,249.29,252.272,246.41,251.99,378070.0
2020-02-13,232.0,237.75,226.18,233.32,1783575.0
2020-02-14,238.59,241.85,235.1,238.77,921801.0
2020-02-15,238.59,241.85,235.1,238.77,921801.0
2020-02-16,238.59,241.85,235.1,238.77,921801.0
2020-02-17,238.59,241.85,235.1,238.77,921801.0
2020-02-18,239.14,239.66,232.7,236.66,521626.0
2020-02-19,238.43,242.54,236.86,240.5,423380.0
2020-02-20,240.61,243.34,237.39,242.72,443071.0
2020-02-21,241.4,242.08,235.12,238.39,500907.0
2020-02-22,241.4,242.08,235.12,238.39,500907.0
2020-02-23,241.4,242.08,235.12,238.39,500907.0
2020-02-24,229.99,232.675,227.4,227.4,572678.0
2020-02-25,230.45,231.65,219.57,220.0,544755.0
2020-02-26,222.16,225.06,216.9,217.81,549472.0
2020-02-27,212.11,217.95,206.49,213.93,1021289.0
2020-02-28,206.71,211.82,204.73,210.97,946160.0
2020-02-29,206.71,211.82,204.73,210.97,946160.0
2020-03-01,206.71,211.82,204.73,210.97,946160.0
2020-03-02,212.67,221.87,210.34,221.71,603012.0
2020-03-03,220.27,227.11,208.34,209.31,950121.0
2020-03-04,211.93,216.09,205.52,216.04,559020.0
2020-03-05,209.5,212.73,200.81,203.76,564893.0
2020-03-06,197.88,204.19,195.926,202.74,647281.0
2020-03-07,197.88,204.19,195.926,202.74,647281.0
2020-03-08,197.88,204.19,195.926,202.74,647281.0
2020-03-09,188.4,190.94,183.89,185.26,770284.0
2020-03-10,192.22,202.5,189.15,202.19,909918.0
2020-03-11,196.3,199.67,187.685,191.3,516915.0
2020-03-12,177.23,178.9705,161.42,161.51,1028548.0
2020-03-13,174.51,184.1,163.445,184.02,659397.0
2020-03-14,174.51,184.1,163.445,184.02,659397.0
2020-03-15,174.51,184.1,163.445,184.02,659397.0
2020-03-16,155.0,172.18,150.06,166.08,800298.0
2020-03-17,170.2,182.7375,167.3301,180.66,564428.0
2020-03-18,167.74,186.94,166.34,185.47,803185.0
2020-03-19,181.86,186.22,169.3,185.07,1202036.0
2020-03-20,186.07,189.86,177.08,179.38,1701578.0
2020-03-21,186.07,189.86,177.08,179.38,1701578.0
2020-03-22,186.07,189.86,177.08,179.38,1701578.0
2020-03-23,179.85,181.95,163.4411,170.72,1176140.0
2020-03-24,180.09,181.8,167.17,180.55,813418.0
2020-03-25,180.03,195.19,175.6047,186.23,505364.0
2020-03-26,187.83,197.92,185.96,197.51,505465.0
2020-03-27,192.71,192.71,180.63,184.57,390691.0
2020-03-28,192.71,192.71,180.63,184.57,390691.0
2020-03-29,192.71,192.71,180.63,184.57,390691.0
2020-03-30,186.21,190.36,180.68,188.35,323920.0
2020-03-31,186.79,189.49,182.1,183.6,520980.0
2020-04-01,177.56,179.13,174.02,176.46,606045.0
2020-04-02,173.87,179.75,170.63,174.24,599818.0
2020-04-03,173.02,179.76,172.01,178.08,598571.0
2020-04-04,173.02,179.76,172.01,178.08,598571.0
2020-04-05,173.02,179.76,172.01,178.08,598571.0
2020-04-06,184.775,193.6,184.51,191.85,306396.0
2020-04-07,199.7,200.38,191.61,192.36,413610.0
2020-04-08,195.74,198.96,192.2335,196.65,252288.0
2020-04-09,198.83,202.49,197.17,201.22,529255.0
2020-04-10,198.83,202.49,197.17,201.22,529255.0
2020-04-11,198.83,202.49,197.17,201.22,529255.0
2020-04-12,198.83,202.49,197.17,201.22,529255.0
2020-04-13,201.02,202.6,195.0,197.91,331738.0
2020-04-14,204.37,210.28,200.15,206.88,358835.0
2020-04-15,202.34,202.98,196.24,196.81,389083.0
2020-04-16,199.71,202.79,196.72,201.6,387726.0
2020-04-17,204.67,208.605,201.42,202.98,382433.0
2020-04-18,204.67,208.605,201.42,202.98,382433.0
2020-04-19,204.67,208.605,201.42,202.98,382433.0
2020-04-20,201.45,207.395,201.0,202.35,381535.0
2020-04-21,197.89,199.46,192.42,192.85,379183.0
2020-04-22,198.19,200.42,194.17,199.41,498841.0
2020-04-23,200.36,207.865,200.36,200.97,436891.0
2020-04-24,202.34,208.795,200.675,208.62,418502.0
2020-04-25,202.34,208.795,200.675,208.62,418502.0
2020-04-26,202.34,208.795,200.675,208.62,418502.0
2020-04-27,210.46,223.66,209.91,220.93,560398.0
2020-04-28,235.55,238.225,227.08,228.48,915633.0
2020-04-29,232.49,248.21,231.51,244.97,640792.0
2020-04-30,229.13,236.77,225.0,229.66,578500.0
2020-05-01,225.48,226.995,222.6,225.55,349635.0
2020-05-02,225.48,226.995,222.6,225.55,349635.0
2020-05-03,225.48,226.995,222.6,225.55,349635.0
2020-05-04,223.14,228.77,220.16,228.77,346885.0
2020-05-05,229.73,235.75,229.73,233.15,349746.0
