,MSM US Equity,MSM US Equity,MSM US Equity,MSM US Equity,MSM US Equity
2020-03-02,50.9243,52.3886,49.6154,52.3313,893703.0
2020-03-03,52.3313,53.5666,51.6523,52.1432,704370.0
2020-03-04,52.9776,53.5748,51.8487,53.0594,476173.0
2020-03-05,51.6196,52.0327,49.5172,49.9426,413380.0
2020-03-06,48.5764,49.9508,48.3883,49.0673,684436.0
2020-03-07,48.5764,49.9508,48.3883,49.0673,684436.0
2020-03-08,48.5764,49.9508,48.3883,49.0673,684436.0
2020-03-09,46.1795,47.6111,42.0729,43.8399,1204952.0
2020-03-10,45.7132,46.2777,41.1075,43.9789,1788510.0
2020-03-11,42.7682,43.8399,42.0074,43.6517,1204323.0
2020-03-12,40.813,43.8153,39.7659,42.9973,1915037.0
2020-03-13,44.9852,45.1569,41.1566,43.5945,1651642.0
2020-03-14,44.9852,45.1569,41.1566,43.5945,1651642.0
2020-03-15,44.9852,45.1569,41.1566,43.5945,1651642.0
2020-03-16,40.4858,44.9933,40.0032,42.5392,1277180.0
2020-03-17,42.9645,47.0139,41.8438,46.8094,993016.0
2020-03-18,44.2653,46.4168,41.0748,43.6517,773685.0
2020-03-19,43.1118,44.8665,41.1321,41.3284,751095.0
2020-03-20,41.2548,41.6802,38.3261,39.3078,1254756.0
2020-03-21,41.2548,41.6802,38.3261,39.3078,1254756.0
2020-03-22,41.2548,41.6802,38.3261,39.3078,1254756.0
2020-03-23,39.0951,39.0951,36.7555,38.2034,652474.0
2020-03-24,39.9295,42.1056,38.956,41.5738,798728.0
2020-03-25,41.8029,43.2222,39.8723,40.6822,666336.0
2020-03-26,40.8785,42.3428,39.3487,42.0401,677023.0
2020-03-27,41.0012,43.4145,40.2649,42.4819,467514.0
2020-03-28,41.0012,43.4145,40.2649,42.4819,467514.0
2020-03-29,41.0012,43.4145,40.2649,42.4819,467514.0
2020-03-30,43.5699,44.5516,41.443,44.1916,425397.0
2020-03-31,44.1016,45.4433,43.7131,44.9688,542987.0
2020-04-01,43.7417,45.4678,42.9236,44.3389,776064.0
2020-04-02,44.0526,45.4678,43.4636,45.2797,502367.0
2020-04-03,44.6825,45.2797,43.4472,44.4371,416811.0
2020-04-04,44.6825,45.2797,43.4472,44.4371,416811.0
2020-04-05,44.6825,45.2797,43.4472,44.4371,416811.0
2020-04-06,45.0915,47.1612,45.0915,46.6213,726059.0
2020-04-07,47.8565,50.8425,47.0221,47.4884,1276206.0
2020-04-08,49.6154,51.7873,47.6439,50.0735,1319178.0
2020-04-09,51.137,51.9387,47.5457,49.2554,1225914.0
2020-04-10,51.137,51.9387,47.5457,49.2554,1225914.0
2020-04-11,51.137,51.9387,47.5457,49.2554,1225914.0
2020-04-12,51.137,51.9387,47.5457,49.2554,1225914.0
2020-04-13,49.5288,49.5288,47.2176,47.2673,620904.0
2020-04-14,48.5679,50.1303,48.4892,49.6447,653235.0
2020-04-15,48.7087,50.001,47.8057,48.8744,1021882.0
2020-04-16,49.0152,49.2554,47.7643,48.5927,460313.0
2020-04-17,50.1501,50.6388,48.2862,48.7501,472084.0
2020-04-18,50.1501,50.6388,48.2862,48.7501,472084.0
2020-04-19,50.1501,50.6388,48.2862,48.7501,472084.0
2020-04-20,48.0211,48.572,47.5324,47.6566,421619.0
2020-04-21,46.7868,47.5655,46.5218,46.9939,314114.0
2020-04-22,47.756,48.3773,47.0022,47.5572,434775.0
2020-04-23,47.6732,48.4105,47.0685,47.8057,360347.0
2020-04-24,48.0791,48.4477,47.0519,47.2093,501985.0
2020-04-25,48.0791,48.4477,47.0519,47.2093,501985.0
2020-04-26,48.0791,48.4477,47.0519,47.2093,501985.0
2020-04-27,47.5407,49.8104,47.5407,49.388,441495.0
2020-04-28,49.885,51.3181,49.885,50.7879,466778.0
2020-04-29,51.8814,52.3784,51.2352,51.5417,950206.0
2020-04-30,51.0281,51.0447,49.388,49.4045,560661.0
2020-05-01,48.6258,49.2306,48.4643,48.8329,419300.0
2020-05-02,48.6258,49.2306,48.4643,48.8329,419300.0
2020-05-03,48.6258,49.2306,48.4643,48.8329,419300.0
2020-05-04,48.2282,48.3525,47.3253,47.7892,424515.0
2020-05-05,48.5596,49.8104,48.5596,48.9489,472958.0
2020-05-06,49.2306,49.5371,48.3193,48.4022,329006.0
2020-05-07,48.8744,49.5371,48.4146,48.659,337502.0
2020-05-08,49.3382,50.1915,49.3382,50.1749,418977.0
2020-05-09,49.3382,50.1915,49.3382,50.1749,418977.0
2020-05-10,49.3382,50.1915,49.3382,50.1749,418977.0
2020-05-11,49.5205,51.3346,48.9986,51.2104,493227.0
2020-05-12,51.3346,51.3346,48.4933,48.5513,359622.0
2020-05-13,49.7939,50.2495,48.0791,48.6507,695172.0
2020-05-14,47.8223,48.7501,46.6295,48.6673,701831.0
2020-05-15,48.2945,50.382,48.1909,49.9678,1235012.0
2020-05-16,48.2945,50.382,48.1909,49.9678,1235012.0
2020-05-17,48.2945,50.382,48.1909,49.9678,1235012.0
2020-05-18,51.5997,54.7959,51.3843,54.4328,567325.0
2020-05-19,54.1594,55.4186,53.1902,53.1902,484595.0
2020-05-20,54.1428,55.6588,54.1428,55.1203,464234.0
2020-05-21,54.8967,55.1618,53.9026,54.0683,496895.0
2020-05-22,54.4908,54.4908,53.5795,54.1511,247476.0
2020-05-23,54.4908,54.4908,53.5795,54.1511,247476.0
2020-05-24,54.4908,54.4908,53.5795,54.1511,247476.0
2020-05-25,54.4908,54.4908,53.5795,54.1511,247476.0
2020-05-26,55.5014,57.9865,55.5014,57.357,422498.0
2020-05-27,58.3593,58.9185,57.8871,58.4173,435883.0
2020-05-28,58.9392,59.2042,58.1439,58.5167,535995.0
2020-05-29,58.1771,58.5333,56.628,57.4398,766130.0
2020-05-30,58.1771,58.5333,56.628,57.4398,766130.0
2020-05-31,58.1771,58.5333,56.628,57.4398,766130.0
2020-06-01,57.5061,57.8788,56.98,57.1581,346783.0
2020-06-02,57.8126,59.6806,57.4646,59.2374,571484.0
2020-06-03,59.751,60.3184,59.3418,59.8918,415517.0
2020-06-04,59.5522,60.074,59.0966,59.7758,475567.0
2020-06-05,61.0847,62.3521,60.7533,61.4657,635564.0
2020-06-06,61.0847,62.3521,60.7533,61.4657,635564.0
2020-06-07,61.0847,62.3521,60.7533,61.4657,635564.0
2020-06-08,61.4491,62.3438,61.4491,62.087,278059.0
2020-06-09,61.3415,62.3935,60.9687,61.8302,418425.0
2020-06-10,62.1284,62.1284,60.6373,61.2172,735567.0
2020-06-11,59.6681,59.6681,57.2907,57.5061,519977.0
2020-06-12,59.1877,59.1877,56.454,57.8208,500290.0
2020-06-13,59.1877,59.1877,56.454,57.8208,500290.0
2020-06-14,59.1877,59.1877,56.454,57.8208,500290.0
2020-06-15,56.1807,59.2457,56.0398,58.906,552712.0
2020-06-16,60.5131,61.3,59.7178,60.5876,519748.0
2020-06-17,60.8527,61.4243,60.306,60.5628,540105.0
2020-06-18,60.0658,60.9107,59.7758,59.9332,437162.0
2020-06-19,60.7367,60.7646,59.0635,59.3948,763187.0
2020-06-20,60.7367,60.7646,59.0635,59.3948,763187.0
2020-06-21,60.7367,60.7646,59.0635,59.3948,763187.0
2020-06-22,58.9723,59.6764,58.0197,59.1877,531167.0
2020-06-23,59.6433,59.6723,58.7735,58.8066,545282.0
2020-06-24,58.6327,58.6327,56.8351,57.125,761401.0
2020-06-25,57.1167,58.525,56.3546,58.4753,400378.0
2020-06-26,58.0528,58.353,57.3155,57.6635,442872.0
2020-06-27,58.0528,58.353,57.3155,57.6635,442872.0
2020-06-28,58.0528,58.353,57.3155,57.6635,442872.0
2020-06-29,58.2019,59.635,58.0031,58.9392,470214.0
2020-06-30,58.7404,60.422,58.7404,60.3143,586840.0
2020-07-01,60.4634,61.2834,58.8066,59.3368,613983.0
2020-07-02,59.9746,61.0184,59.865,60.5545,502441.0
2020-07-03,59.9746,61.0184,59.865,60.5545,502441.0
2020-07-04,59.9746,61.0184,59.865,60.5545,502441.0
2020-07-05,59.9746,61.0184,59.865,60.5545,502441.0
2020-07-06,61.2918,62.0953,61.2089,62.0207,658868.0
2020-07-07,61.5154,62.1201,60.8859,61.0764,598915.0
2020-07-08,57.5723,59.4807,56.015,56.4954,1897996.0
2020-07-09,56.6197,56.7605,53.0825,53.1985,1212717.0
2020-07-10,53.5878,54.2505,53.0742,53.5464,838755.0
2020-07-11,53.5878,54.2505,53.0742,53.5464,838755.0
2020-07-12,53.5878,54.2505,53.0742,53.5464,838755.0
2020-07-13,53.9739,55.0466,53.1643,54.3845,781931.0
2020-07-14,54.2504,55.1221,53.6889,54.8706,709037.0
2020-07-15,55.6333,56.0272,54.8036,55.2813,566746.0
2020-07-16,55.0885,56.2703,54.988,55.935,910564.0
2020-07-17,56.4044,56.8653,55.692,55.9015,657806.0
2020-07-18,56.4044,56.8653,55.692,55.9015,657806.0
2020-07-19,56.4044,56.8653,55.692,55.9015,657806.0
2020-07-20,55.5746,56.0524,54.7952,55.0466,389791.0
2020-07-21,55.1472,56.1445,55.1472,55.9099,251675.0
2020-07-22,55.7087,56.287,55.5746,56.0105,283348.0
2020-07-23,56.0607,57.3598,56.0607,57.0748,531338.0
2020-07-24,57.1084,57.3724,56.3289,56.4463,322284.0
2020-07-25,57.1084,57.3724,56.3289,56.4463,322284.0
2020-07-26,57.1084,57.3724,56.3289,56.4463,322284.0
2020-07-27,56.3038,57.5693,56.044,57.4939,366211.0
2020-07-28,57.1167,57.452,55.9937,56.111,360227.0
2020-07-29,56.3206,57.5651,56.3206,57.3347,466141.0
2020-07-30,56.748,56.991,56.1529,56.7228,279618.0
2020-07-31,56.5552,56.5804,54.8958,55.3232,418676.0
2020-08-01,56.5552,56.5804,54.8958,55.3232,418676.0
2020-08-02,56.5552,56.5804,54.8958,55.3232,418676.0
2020-08-03,55.8512,56.9324,55.6668,56.7145,478548.0
2020-08-04,56.4379,56.7312,55.692,56.5971,391979.0
2020-08-05,56.8318,57.6196,56.7564,57.6028,281636.0
2020-08-06,57.7286,57.7286,56.9743,57.1084,384206.0
2020-08-07,56.8988,57.8459,56.8988,57.8208,302455.0
2020-08-08,56.8988,57.8459,56.8988,57.8208,302455.0
2020-08-09,56.8988,57.8459,56.8988,57.8208,302455.0
2020-08-10,57.8124,58.793,57.7495,58.7343,617765.0
2020-08-11,59.4132,59.916,58.508,58.617,309605.0
2020-08-12,59.0276,59.1772,57.0162,57.6531,578585.0
2020-08-13,57.6028,58.0806,57.079,57.1251,261067.0
2020-08-14,56.924,57.5609,56.6055,56.8653,371511.0
2020-08-15,56.924,57.5609,56.6055,56.8653,371511.0
2020-08-16,56.924,57.5609,56.6055,56.8653,371511.0
2020-08-17,56.6306,57.4855,56.287,56.4295,540494.0
2020-08-18,56.4714,56.5468,55.3148,55.4489,384424.0
2020-08-19,55.6752,55.6752,54.4181,54.6108,424538.0
2020-08-20,54.1499,54.988,53.9487,54.7365,312750.0
2020-08-21,54.7198,54.8203,54.0661,54.108,305119.0
2020-08-22,54.7198,54.8203,54.0661,54.108,305119.0
2020-08-23,54.7198,54.8203,54.0661,54.108,305119.0
2020-08-24,54.4683,54.6485,53.7057,54.3594,384625.0
2020-08-25,54.8036,54.8036,53.3537,53.647,301476.0
2020-08-26,53.6051,54.0619,53.3788,53.7895,384924.0
2020-08-27,53.9403,54.6946,53.8481,54.5857,391649.0
2020-08-28,54.5773,56.0524,54.3301,55.8512,551274.0
2020-08-29,54.5773,56.0524,54.3301,55.8512,551274.0
2020-08-30,54.5773,56.0524,54.3301,55.8512,551274.0
2020-08-31,55.7004,55.7171,55.0047,55.231,844345.0
2020-09-01,55.1053,56.4044,54.8958,56.2954,387726.0
2020-09-02,56.3625,57.2508,56.2656,57.1335,363026.0
2020-09-03,57.1335,57.1335,55.7506,56.2116,559792.0
2020-09-04,56.8821,56.991,56.0524,56.4127,311209.0
2020-09-05,56.8821,56.991,56.0524,56.4127,311209.0
2020-09-06,56.8821,56.991,56.0524,56.4127,311209.0
2020-09-07,56.8821,56.991,56.0524,56.4127,311209.0
2020-09-08,55.9266,56.111,53.6805,53.7224,706655.0
2020-09-09,53.7643,54.7659,53.5129,54.0996,450346.0
2020-09-10,54.0577,54.0577,52.6916,52.9011,478527.0
2020-09-11,53.2112,53.4375,52.1049,53.1106,589832.0
2020-09-12,53.2112,53.4375,52.1049,53.1106,589832.0
2020-09-13,53.2112,53.4375,52.1049,53.1106,589832.0
2020-09-14,53.7057,55.0047,53.4626,54.6108,512180.0
2020-09-15,54.812,54.9922,53.6219,53.8398,288229.0
2020-09-16,54.1582,55.1221,53.7224,54.5689,340283.0
2020-09-17,53.9487,55.0383,53.7727,54.3845,424351.0
2020-09-18,54.4851,54.9628,53.7225,54.2169,737527.0
2020-09-19,54.4851,54.9628,53.7225,54.2169,737527.0
2020-09-20,54.4851,54.9628,53.7225,54.2169,737527.0
2020-09-21,53.1609,53.1609,51.0908,51.4847,426922.0
2020-09-22,51.6439,52.5072,51.3213,52.239,300811.0
2020-09-23,52.1636,52.7251,50.8142,50.831,506453.0
2020-09-24,50.7472,51.9247,50.3616,51.4344,272790.0
2020-09-25,51.1327,51.9373,51.0154,51.6439,184891.0
2020-09-26,51.1327,51.9373,51.0154,51.6439,184891.0
2020-09-27,51.1327,51.9373,51.0154,51.6439,184891.0
2020-09-28,52.2641,53.2363,52.2641,52.8173,320789.0
2020-09-29,53.1441,53.1441,52.2306,52.7083,319806.0
2020-09-30,53.01,53.6302,52.5658,53.0352,421207.0
2020-10-01,53.3201,53.3201,51.9792,52.1719,298757.0
2020-10-02,51.3674,53.3034,51.3674,52.8759,308566.0
2020-10-03,51.3674,53.3034,51.3674,52.8759,308566.0
2020-10-04,51.3674,53.3034,51.3674,52.8759,308566.0
2020-10-05,53.3872,54.4097,53.3327,54.1331,302200.0
2020-10-06,54.2253,54.5605,53.186,53.186,407028.0
2020-10-07,53.58,54.8036,53.4961,54.7365,887694.0
2020-10-08,55.0634,55.0634,53.6135,54.5605,433416.0
2020-10-09,54.7784,55.3651,54.5857,55.1053,327279.0
2020-10-10,54.7784,55.3651,54.5857,55.1053,327279.0
2020-10-11,54.7784,55.3651,54.5857,55.1053,327279.0
2020-10-12,55.4657,57.1419,55.4657,56.5133,611805.0
2020-10-13,55.9937,56.3215,54.5522,55.0215,306675.0
2020-10-14,55.055,55.7171,54.6443,54.9712,257789.0
2020-10-15,54.527,55.7171,54.2923,55.7087,256667.0
2020-10-16,55.6668,56.463,55.4992,55.7925,218214.0
2020-10-17,55.6668,56.463,55.4992,55.7925,218214.0
2020-10-18,55.6668,56.463,55.4992,55.7925,218214.0
2020-10-19,55.7925,56.4337,55.0299,55.164,213736.0
2020-10-20,55.407,56.4798,55.407,56.2619,285621.0
2020-10-21,56.1948,56.991,55.6668,55.7339,266814.0
2020-10-22,55.8177,56.8318,55.5914,56.7396,286799.0
2020-10-23,56.9575,57.3933,56.5468,56.9994,248389.0
2020-10-24,56.9575,57.3933,56.5468,56.9994,248389.0
2020-10-25,56.9575,57.3933,56.5468,56.9994,248389.0
2020-10-26,56.1781,56.4291,55.0969,55.5579,270669.0
2020-10-27,55.5579,57.7118,55.3316,56.7815,647958.0
2020-10-28,56.815,57.3263,55.3232,56.2535,593700.0
2020-10-29,56.1781,56.8988,55.3819,56.6223,384476.0
2020-10-30,56.2954,58.4074,56.2954,58.3823,675855.0
2020-10-31,56.2954,58.4074,56.2954,58.3823,675855.0
2020-11-01,56.2954,58.4074,56.2954,58.3823,675855.0
2020-11-02,58.6589,61.6006,58.265,61.6006,1061078.0
2020-11-03,61.7347,64.6094,61.5755,64.3831,1305759.0
2020-11-04,63.4696,64.1652,61.4749,61.4916,516277.0
2020-11-05,62.1118,63.2181,61.5671,61.6509,271887.0
2020-11-06,61.9191,63.084,61.5084,62.6818,313219.0
2020-11-07,61.9191,63.084,61.5084,62.6818,313219.0
2020-11-08,61.9191,63.084,61.5084,62.6818,313219.0
2020-11-09,66.5422,67.5243,65.2893,66.0935,527040.0
2020-11-10,66.4999,69.3529,65.5771,68.7688,827317.0
2020-11-11,68.5825,69.0227,67.3761,68.8534,433242.0
2020-11-12,67.9476,68.3709,67.1941,67.7274,382813.0
2020-11-13,68.1931,69.4037,68.1169,69.2767,310804.0
2020-11-14,68.1931,69.4037,68.1169,69.2767,310804.0
2020-11-15,68.1931,69.4037,68.1169,69.2767,310804.0
2020-11-16,69.4122,73.4419,69.3995,72.1636,1354986.0
2020-11-17,71.1138,71.5257,69.7931,70.4958,385310.0
2020-11-18,71.3932,72.538,70.7921,71.4609,415468.0
2020-11-19,71.2916,72.1043,70.208,71.8588,270406.0
2020-11-20,71.5286,71.5964,69.954,70.5551,404070.0
2020-11-21,71.5286,71.5964,69.954,70.5551,404070.0
2020-11-22,71.5286,71.5964,69.954,70.5551,404070.0
2020-11-23,71.9858,72.9933,71.3339,72.6038,448735.0
2020-11-24,73.2896,74.3605,72.6038,73.933,470195.0
2020-11-25,73.425,73.5986,72.0874,72.2652,454245.0
2020-11-26,73.425,73.5986,72.0874,72.2652,454245.0
2020-11-27,72.553,73.6536,72.4514,73.6282,175653.0
2020-11-28,72.553,73.6536,72.4514,73.6282,175653.0
2020-11-29,72.553,73.6536,72.4514,73.6282,175653.0
2020-11-30,73.6459,74.5368,73.0284,73.4959,622737.0
2020-12-01,74.3427,74.5632,72.8167,72.9402,302666.0
2020-12-02,72.7902,73.0946,71.6612,72.4991,375162.0
2020-12-03,72.8608,73.196,72.1022,72.508,182733.0
2020-12-04,72.8255,74.6779,72.4418,74.5544,257988.0
2020-12-05,72.8255,74.6779,72.4418,74.5544,257988.0
2020-12-06,72.8255,74.6779,72.4418,74.5544,257988.0
2020-12-07,74.228,74.7573,73.7958,73.9105,240382.0
2020-12-08,73.3901,74.6603,73.3901,74.5191,186435.0
2020-12-09,74.9602,76.2039,74.475,75.41,266889.0
2020-12-10,74.8631,75.2689,73.9546,74.7485,287362.0
2020-12-11,74.3251,75.7541,74.2986,74.9602,224479.0
2020-12-12,74.3251,75.7541,74.2986,74.9602,224479.0
2020-12-13,74.3251,75.7541,74.2986,74.9602,224479.0
2020-12-14,76.2127,76.2127,72.9225,72.9314,305903.0
2020-12-15,73.2842,75.3659,73.2136,74.7749,355898.0
2020-12-16,75.066,75.8599,74.4971,74.819,327790.0
2020-12-17,75.1895,75.2513,74.3163,74.8984,212659.0
2020-12-18,75.2601,75.56,74.3471,75.3483,1018596.0
2020-12-19,75.2601,75.56,74.3471,75.3483,1018596.0
2020-12-20,75.2601,75.56,74.3471,75.3483,1018596.0
2020-12-21,74.3339,75.9305,74.1751,75.7805,221262.0
2020-12-22,75.8158,75.8599,74.9161,75.5159,143406.0
2020-12-23,76.0275,76.0275,74.8896,75.6923,476069.0
2020-12-24,76.2127,76.2127,75.2513,75.7541,73321.0
2020-12-25,76.2127,76.2127,75.2513,75.7541,73321.0
2020-12-26,76.2127,76.2127,75.2513,75.7541,73321.0
2020-12-27,76.2127,76.2127,75.2513,75.7541,73321.0
2020-12-28,76.2127,77.483,75.2866,75.7629,459993.0
2020-12-29,75.9217,76.2613,74.1531,74.6603,227878.0
2020-12-30,74.6691,75.7144,74.4221,74.6338,160262.0
2020-12-31,74.7926,74.819,74.0649,74.4397,226459.0
2021-01-01,74.7926,74.819,74.0649,74.4397,226459.0
2021-01-02,74.7926,74.819,74.0649,74.4397,226459.0
2021-01-03,74.7926,74.819,74.0649,74.4397,226459.0
2021-01-04,74.819,75.0837,71.4406,72.0493,490011.0
2021-01-05,72.0493,73.6811,71.9434,72.6138,736651.0
2021-01-06,72.9137,75.1278,70.2424,73.4959,1464255.0
2021-01-07,74.5544,75.0087,71.8111,74.5456,557737.0
2021-01-08,75.0043,75.657,72.5962,74.1487,463748.0
2021-01-09,75.0043,75.657,72.5962,74.1487,463748.0
2021-01-10,75.0043,75.657,72.5962,74.1487,463748.0
2021-01-11,73.312,74.3533,73.2052,73.668,361566.0
2021-01-12,73.9617,75.4214,73.8505,75.3858,390053.0
2021-01-13,75.4481,75.651,73.5167,73.8816,258123.0
2021-01-14,74.0952,74.7984,73.7303,74.0596,309509.0
2021-01-15,73.6413,74.5759,72.1906,74.5759,389798.0
2021-01-16,73.6413,74.5759,72.1906,74.5759,389798.0
2021-01-17,73.6413,74.5759,72.1906,74.5759,389798.0
2021-01-18,73.6413,74.5759,72.1906,74.5759,389798.0
2021-01-19,74.7361,75.3491,73.9528,74.0062,389815.0
2021-01-20,74.4067,74.4067,71.4073,72.4042,738681.0
2021-01-21,72.6623,73.6235,72.0927,72.5288,430266.0
2021-01-22,72.1728,73.8193,71.2026,73.6769,495416.0
2021-01-23,72.1728,73.8193,71.2026,73.6769,495416.0
2021-01-24,72.1728,73.8193,71.2026,73.6769,495416.0
2021-01-25,73.7837,74.3355,72.9632,73.2052,390870.0
2021-01-26,73.8193,73.8193,71.2382,71.3183,264218.0
2021-01-27,70.3304,73.1963,69.2713,71.3539,544067.0
2021-01-28,71.612,72.7335,69.7296,69.8854,435247.0
2021-01-29,69.7074,70.2725,68.9864,69.0398,423244.0
2021-01-30,69.7074,70.2725,68.9864,69.0398,423244.0
2021-01-31,69.7074,70.2725,68.9864,69.0398,423244.0
2021-02-01,69.6006,71.0157,69.4315,70.9089,364349.0
2021-02-02,72.0393,72.2529,69.8409,71.888,387048.0
2021-02-03,73.7659,74.0952,71.8702,72.8492,426481.0
2021-02-04,72.6,75.9465,72.5593,75.1544,802126.0
2021-02-05,75.6528,77.2192,74.2287,76.2224,872424.0
2021-02-06,75.6528,77.2192,74.2287,76.2224,872424.0
2021-02-07,75.6528,77.2192,74.2287,76.2224,872424.0
2021-02-08,76.7297,77.6776,75.9911,76.8454,443147.0
2021-02-09,75.7062,76.9878,74.9319,76.9789,315540.0
2021-02-10,77.246,77.2549,75.4481,76.0266,389398.0
2021-02-11,76.1779,76.8134,74.6293,75.1277,359663.0
2021-02-12,74.8607,75.724,74.5314,75.4036,226894.0
2021-02-13,74.8607,75.724,74.5314,75.4036,226894.0
2021-02-14,74.8607,75.724,74.5314,75.4036,226894.0
2021-02-15,74.8607,75.724,74.5314,75.4036,226894.0
2021-02-16,75.8931,76.0889,74.38,74.38,276323.0
2021-02-17,74.3088,75.0298,73.6502,74.834,288972.0
2021-02-18,74.5937,75.9376,74.0952,75.7685,390101.0
2021-02-19,75.9554,76.9789,75.9554,76.7119,318061.0
2021-02-20,75.9554,76.9789,75.9554,76.7119,318061.0
2021-02-21,75.9554,76.9789,75.9554,76.7119,318061.0
2021-02-22,76.4983,76.792,75.23,75.7062,303043.0
2021-02-23,75.3235,76.3292,73.6013,76.1245,384027.0
2021-02-24,76.4182,77.6109,75.1455,77.4507,353488.0
2021-02-25,77.4418,78.5543,76.9878,77.4685,454036.0
2021-02-26,77.5041,77.513,75.4659,76.6585,589530.0
2021-02-27,77.5041,77.513,75.4659,76.6585,589530.0
2021-02-28,77.5041,77.513,75.4659,76.6585,589530.0
2021-03-01,77.5397,79.3019,77.0501,78.7857,330757.0
2021-03-02,78.6433,78.7412,76.1779,76.4716,319879.0
2021-03-03,76.4271,76.8543,74.9352,74.9408,390701.0
2021-03-04,75.1366,75.1366,71.7277,72.9204,441578.0
2021-03-05,73.8549,76.08,72.1728,75.9732,417200.0
2021-03-06,73.8549,76.08,72.1728,75.9732,417200.0
2021-03-07,73.8549,76.08,72.1728,75.9732,417200.0
2021-03-08,76.4271,78.2339,75.6528,77.4774,431835.0
2021-03-09,77.78,78.2339,76.3559,76.3915,295187.0
2021-03-10,76.7119,79.7291,76.5606,79.5778,534248.0
2021-03-11,80.0407,80.3522,78.9281,79.3375,494075.0
2021-03-12,79.3019,81.4291,79.3019,81.1799,350928.0
