,NSP US Equity,NSP US Equity,NSP US Equity,NSP US Equity,NSP US Equity
2020-02-11,78.3813,80.7969,77.9847,80.2922,630541.0
2020-02-12,63.0944,64.7789,59.3899,64.5726,3791234.0
2020-02-13,63.9507,66.5646,63.2927,65.8255,1450008.0
2020-02-14,66.3393,68.178,65.6452,66.2582,844224.0
2020-02-15,66.3393,68.178,65.6452,66.2582,844224.0
2020-02-16,66.3393,68.178,65.6452,66.2582,844224.0
2020-02-17,66.3393,68.178,65.6452,66.2582,844224.0
2020-02-18,65.8796,66.6097,64.5817,65.2577,713351.0
2020-02-19,65.3117,65.7804,64.3383,64.6357,687193.0
2020-02-20,65.0413,66.2582,64.3112,65.5461,911949.0
2020-02-21,65.492,65.7713,64.5817,64.843,832316.0
2020-02-22,65.492,65.7713,64.5817,64.843,832316.0
2020-02-23,65.492,65.7713,64.5817,64.843,832316.0
2020-02-24,63.0403,64.807,62.2922,64.2211,499507.0
2020-02-25,64.2572,64.5817,62.2652,62.4905,865557.0
2020-02-26,62.7699,63.3558,61.0213,61.1746,600636.0
2020-02-27,60.2011,61.7785,59.1736,60.2011,1075917.0
2020-02-28,58.5877,61.0033,58.5877,60.6337,767893.0
2020-02-29,58.5877,61.0033,58.5877,60.6337,767893.0
2020-03-01,58.5877,61.0033,58.5877,60.6337,767893.0
2020-03-02,61.0484,62.6077,59.4079,62.5626,734788.0
2020-03-03,62.4545,63.2837,59.1826,59.4079,559529.0
2020-03-04,60.4689,61.4937,59.4805,61.1581,1109451.0
2020-03-05,59.952,60.2604,57.8301,58.2744,655715.0
2020-03-06,56.506,58.9545,56.4516,58.7459,521725.0
2020-03-07,56.506,58.9545,56.4516,58.7459,521725.0
2020-03-08,56.506,58.9545,56.4516,58.7459,521725.0
2020-03-09,55.1185,57.9751,54.8238,55.8803,458245.0
2020-03-10,57.694,58.7641,54.6288,56.4244,1103385.0
2020-03-11,55.1276,55.6263,50.7792,51.7994,503380.0
2020-03-12,48.698,48.698,44.3995,45.5784,662373.0
2020-03-13,47.5191,48.6526,43.6196,46.6485,1316509.0
2020-03-14,47.5191,48.6526,43.6196,46.6485,1316509.0
2020-03-15,47.5191,48.6526,43.6196,46.6485,1316509.0
2020-03-16,42.5223,43.6377,36.5734,37.1265,757327.0
2020-03-17,37.6344,37.648,31.7489,34.3334,1156583.0
2020-03-18,32.3837,33.5263,20.4858,23.6779,1340675.0
2020-03-19,23.6054,30.697,22.7892,29.6178,914337.0
2020-03-20,29.9715,31.9484,27.6137,28.0671,1087742.0
2020-03-21,29.9715,31.9484,27.6137,28.0671,1087742.0
2020-03-22,29.9715,31.9484,27.6137,28.0671,1087742.0
2020-03-23,27.9764,28.7382,25.7818,27.1512,940488.0
2020-03-24,28.058,32.683,27.7678,31.9394,923116.0
2020-03-25,31.9394,32.7011,30.434,31.6129,901770.0
2020-03-26,32.1479,36.5099,31.359,35.6393,694008.0
2020-03-27,33.8982,36.5915,32.6558,35.1677,545117.0
2020-03-28,33.8982,36.5915,32.6558,35.1677,545117.0
2020-03-29,33.8982,36.5915,32.6558,35.1677,545117.0
2020-03-30,35.0499,35.73,32.5197,34.0614,775083.0
2020-03-31,34.0523,34.6871,33.0457,33.8256,515229.0
2020-04-01,32.1298,32.1933,30.3524,30.9418,848408.0
2020-04-02,30.7967,32.6467,30.7151,32.4472,721729.0
2020-04-03,32.2295,32.6376,28.0036,28.1396,703770.0
2020-04-04,32.2295,32.6376,28.0036,28.1396,703770.0
2020-04-05,32.2295,32.6376,28.0036,28.1396,703770.0
2020-04-06,29.3367,31.3046,29.0782,30.6244,952262.0
2020-04-07,32.4744,34.0705,32.4381,33.1001,980777.0
2020-04-08,34.1521,36.5643,33.2452,36.1471,687611.0
2020-04-09,38.2783,38.9765,36.1109,36.9633,576267.0
2020-04-10,38.2783,38.9765,36.1109,36.9633,576267.0
2020-04-11,38.2783,38.9765,36.1109,36.9633,576267.0
2020-04-12,38.2783,38.9765,36.1109,36.9633,576267.0
2020-04-13,36.6822,36.6822,35.2403,35.9839,410208.0
2020-04-14,36.927,37.9881,36.6822,37.6888,412271.0
2020-04-15,36.0746,36.4419,35.1587,36.0383,438879.0
2020-04-16,36.0474,36.5462,35.1496,35.8297,459578.0
2020-04-17,37.3079,39.1541,37.1175,37.181,689132.0
2020-04-18,37.3079,39.1541,37.1175,37.181,689132.0
2020-04-19,37.3079,39.1541,37.1175,37.181,689132.0
2020-04-20,35.9748,37.4893,35.7935,36.7094,317017.0
2020-04-21,35.4761,36.4736,35.1768,36.0021,273287.0
2020-04-22,36.9542,37.4893,36.596,36.9452,314180.0
2020-04-23,36.5008,38.2601,36.5008,36.655,422333.0
2020-04-24,36.8182,37.181,36.0791,36.6187,563050.0
2020-04-25,36.8182,37.181,36.0791,36.6187,563050.0
2020-04-26,36.8182,37.181,36.0791,36.6187,563050.0
2020-04-27,36.9724,39.7474,36.9724,39.0853,549730.0
2020-04-28,40.5907,41.0623,39.5569,40.6995,337136.0
2020-04-29,42.3137,46.7074,42.3137,45.9412,661423.0
2020-04-30,44.8167,44.9255,42.2956,43.2659,645976.0
2020-05-01,42.0961,42.9485,41.3525,42.6946,619199.0
2020-05-02,42.0961,42.9485,41.3525,42.6946,619199.0
2020-05-03,42.0961,42.9485,41.3525,42.6946,619199.0
2020-05-04,41.815,44.7441,41.815,44.6262,610060.0
2020-05-05,47.646,52.3617,47.2833,48.0632,1188932.0
2020-05-06,47.646,48.3625,45.5674,46.0228,1114610.0
2020-05-07,46.848,48.8703,46.848,48.1811,653979.0
2020-05-08,49.0154,49.5731,47.6687,49.2602,487430.0
2020-05-09,49.0154,49.5731,47.6687,49.2602,487430.0
2020-05-10,49.0154,49.5731,47.6687,49.2602,487430.0
2020-05-11,48.1811,48.1811,46.1407,47.111,554432.0
2020-05-12,47.4193,47.4193,42.2412,42.3863,664014.0
2020-05-13,41.951,42.7218,40.4638,41.6608,515536.0
2020-05-14,40.4819,40.6225,36.3467,39.6929,664348.0
2020-05-15,39.6113,40.9535,39.2939,40.627,302700.0
2020-05-16,39.6113,40.9535,39.2939,40.627,302700.0
2020-05-17,39.6113,40.9535,39.2939,40.627,302700.0
2020-05-18,43.2841,45.0162,43.0664,44.5718,521487.0
2020-05-19,44.1637,44.7169,42.0508,42.0689,364983.0
2020-05-20,43.1118,44.463,42.5223,43.5017,334318.0
2020-05-21,43.4473,45.125,43.2387,43.9461,330653.0
2020-05-22,44.4448,45.3426,43.5924,44.9708,330455.0
2020-05-23,44.4448,45.3426,43.5924,44.9708,330455.0
2020-05-24,44.4448,45.3426,43.5924,44.9708,330455.0
2020-05-25,44.4448,45.3426,43.5924,44.9708,330455.0
2020-05-26,47.3558,47.9272,46.4399,47.0294,420971.0
2020-05-27,48.4622,49.9766,47.7639,49.7046,334989.0
2020-05-28,50.0855,50.149,46.721,47.1019,485003.0
2020-05-29,46.4399,47.4465,45.7689,47.0112,301304.0
2020-05-30,46.4399,47.4465,45.7689,47.0112,301304.0
2020-05-31,46.4399,47.4465,45.7689,47.0112,301304.0
2020-06-01,47.2652,48.97,47.049,48.3987,280278.0
2020-06-02,49.2421,50.158,49.0245,49.8769,261483.0
2020-06-03,50.8926,52.3526,50.82,52.2075,529556.0
2020-06-04,51.6815,53.0146,50.5298,51.8901,537963.0
2020-06-05,54.2919,58.502,53.6527,57.3056,769634.0
2020-06-06,54.2919,58.502,53.6527,57.3056,769634.0
2020-06-07,54.2919,58.502,53.6527,57.3056,769634.0
2020-06-08,58.4654,58.9038,56.4289,57.0317,428455.0
2020-06-09,55.7531,56.7303,54.1184,55.3422,390705.0
2020-06-10,55.0225,55.0225,52.0545,53.0773,432374.0
2020-06-11,50.0454,50.3102,47.607,47.8902,708999.0
2020-06-12,50.155,51.397,48.2647,51.3605,450537.0
2020-06-13,50.155,51.397,48.2647,51.3605,450537.0
2020-06-14,50.155,51.397,48.2647,51.3605,450537.0
2020-06-15,49.123,53.5157,48.5203,53.0956,601033.0
2020-06-16,55.744,55.8536,53.3422,55.5066,673403.0
2020-06-17,55.7805,55.7805,54.3011,54.7942,502821.0
2020-06-18,53.9449,56.2463,53.9449,55.7349,522730.0
2020-06-19,56.3467,57.4335,55.2234,57.3056,1677954.0
2020-06-20,56.3467,57.4335,55.2234,57.3056,1677954.0
2020-06-21,56.3467,57.4335,55.2234,57.3056,1677954.0
2020-06-22,56.8399,57.7805,55.7486,57.5248,487628.0
2020-06-23,58.5568,59.7074,57.8262,59.0499,541698.0
2020-06-24,57.9449,58.0043,55.3422,56.1641,670390.0
2020-06-25,55.9084,57.9906,55.7349,57.8901,540688.0
2020-06-26,57.4883,58.3011,55.2691,55.3239,1140064.0
2020-06-27,57.4883,58.3011,55.2691,55.3239,1140064.0
2020-06-28,57.4883,58.3011,55.2691,55.3239,1140064.0
2020-06-29,56.4015,58.0636,55.7714,57.5705,434670.0
2020-06-30,57.1321,59.3878,56.8353,59.1138,354157.0
2020-07-01,59.3239,59.817,58.2371,58.4746,342216.0
2020-07-02,59.744,60.4654,58.6937,58.7211,404173.0
2020-07-03,59.744,60.4654,58.6937,58.7211,404173.0
2020-07-04,59.744,60.4654,58.6937,58.7211,404173.0
2020-07-05,59.744,60.4654,58.6937,58.7211,404173.0
2020-07-06,60.2097,60.2097,58.2189,58.6481,241655.0
2020-07-07,57.8901,58.2645,56.2189,56.3102,333107.0
2020-07-08,56.2828,57.1321,55.3422,57.1138,294431.0
2020-07-09,56.8033,57.3787,55.1047,55.6801,312774.0
2020-07-10,55.9175,57.4243,55.8079,57.3604,228103.0
2020-07-11,55.9175,57.4243,55.8079,57.3604,228103.0
2020-07-12,55.9175,57.4243,55.8079,57.3604,228103.0
2020-07-13,58.0088,59.0864,56.7668,56.8216,185573.0
2020-07-14,56.5476,57.6709,55.7623,57.5979,246453.0
2020-07-15,59.47,61.1321,58.9038,60.6846,270771.0
2020-07-16,60.2645,61.1047,59.68,60.6572,202693.0
2020-07-17,60.6846,61.5887,60.0545,61.1869,240566.0
2020-07-18,60.6846,61.5887,60.0545,61.1869,240566.0
2020-07-19,60.6846,61.5887,60.0545,61.1869,240566.0
2020-07-20,60.6024,61.2599,60.0727,61.0408,158580.0
2020-07-21,61.5248,62.6389,61.3147,61.6618,173359.0
2020-07-22,61.3056,62.0636,60.712,61.2508,175412.0
2020-07-23,60.8307,62.4745,60.8307,61.4061,179817.0
2020-07-24,61.4243,61.4243,59.4426,59.5431,171347.0
2020-07-25,61.4243,61.4243,59.4426,59.5431,171347.0
2020-07-26,61.4243,61.4243,59.4426,59.5431,171347.0
2020-07-27,59.4152,60.365,58.7531,60.3376,233973.0
2020-07-28,60.3741,62.8307,60.3741,61.6252,356727.0
2020-07-29,61.6892,63.1138,61.2143,63.0225,252390.0
2020-07-30,61.7988,62.5933,60.0727,62.3558,166898.0
2020-07-31,61.8353,61.8353,59.5522,61.059,218882.0
2020-08-01,61.8353,61.8353,59.5522,61.059,218882.0
2020-08-02,61.8353,61.8353,59.5522,61.059,218882.0
2020-08-03,61.543,62.6846,60.5841,62.1184,289520.0
2020-08-04,65.9722,67.6526,63.2051,63.4152,495643.0
2020-08-05,64.4928,64.8307,62.3376,63.5156,309562.0
2020-08-06,63.2325,64.0544,62.1275,62.438,287270.0
2020-08-07,62.8124,63.7896,62.4015,63.7531,209874.0
2020-08-08,62.8124,63.7896,62.4015,63.7531,209874.0
2020-08-09,62.8124,63.7896,62.4015,63.7531,209874.0
2020-08-10,63.8079,64.7668,62.744,62.9312,188023.0
2020-08-11,63.7531,64.849,63.059,63.4426,274391.0
2020-08-12,64.5476,65.1412,64.0362,64.6207,164680.0
2020-08-13,64.4745,65.5065,63.7896,64.6755,196294.0
2020-08-14,63.5796,64.4745,63.2508,63.8627,191858.0
2020-08-15,63.5796,64.4745,63.2508,63.8627,191858.0
2020-08-16,63.5796,64.4745,63.2508,63.8627,191858.0
2020-08-17,63.9266,64.8592,63.8535,64.091,206271.0
2020-08-18,64.1092,64.3284,63.1138,63.4061,160648.0
2020-08-19,63.8353,64.3102,62.9083,62.9677,124923.0
2020-08-20,62.2371,64.575,62.1184,63.8261,346498.0
2020-08-21,63.1047,63.9449,62.3832,63.607,235196.0
2020-08-22,63.1047,63.9449,62.3832,63.607,235196.0
2020-08-23,63.1047,63.9449,62.3832,63.607,235196.0
2020-08-24,63.9266,64.6298,63.1549,63.6161,221015.0
2020-08-25,63.9814,64.2371,62.1275,62.5841,234770.0
2020-08-26,62.6755,62.7394,61.2965,61.9814,293907.0
2020-08-27,62.7485,63.5248,62.2371,62.6572,211078.0
2020-08-28,63.2691,63.6709,62.5019,63.4152,181391.0
2020-08-29,63.2691,63.6709,62.5019,63.4152,181391.0
2020-08-30,63.2691,63.6709,62.5019,63.4152,181391.0
2020-08-31,63.0682,63.0682,61.5065,61.5248,217900.0
2020-09-01,61.6435,62.9768,61.1047,62.3376,230197.0
2020-09-02,62.5202,63.8535,61.6344,63.5339,264040.0
2020-09-03,63.5248,63.6892,59.6892,59.9631,307610.0
2020-09-04,60.8216,61.1047,57.9266,58.6755,275676.0
2020-09-05,60.8216,61.1047,57.9266,58.6755,275676.0
2020-09-06,60.8216,61.1047,57.9266,58.6755,275676.0
2020-09-07,60.8216,61.1047,57.9266,58.6755,275676.0
2020-09-08,57.5522,58.6024,56.2006,57.1778,205464.0
2020-09-09,57.5522,57.8854,56.712,57.1138,247449.0
2020-09-10,58.4006,58.8326,57.4815,57.794,344211.0
2020-09-11,57.9319,58.3868,57.3436,57.8216,260283.0
2020-09-12,57.9319,58.3868,57.3436,57.8216,260283.0
2020-09-13,57.9319,58.3868,57.3436,57.8216,260283.0
2020-09-14,58.658,61.1396,58.5569,60.9649,345460.0
2020-09-15,61.3602,62.6561,61.0385,62.0771,539990.0
2020-09-16,62.3252,64.476,61.976,63.5293,637202.0
2020-09-17,62.6469,63.3179,61.4521,63.2903,400951.0
2020-09-18,63.419,64.2278,62.1414,62.4263,887781.0
2020-09-19,63.419,64.2278,62.1414,62.4263,887781.0
2020-09-20,63.419,64.2278,62.1414,62.4263,887781.0
2020-09-21,60.2021,60.6524,58.6396,59.5403,418498.0
2020-09-22,59.908,60.6616,58.8602,59.9723,256581.0
2020-09-23,59.8344,60.7352,57.721,57.8491,267831.0
2020-09-24,57.9043,59.5311,57.2517,58.7223,221327.0
2020-09-25,58.0514,59.8161,58.0514,59.623,173646.0
2020-09-26,58.0514,59.8161,58.0514,59.623,173646.0
2020-09-27,58.0514,59.8161,58.0514,59.623,173646.0
2020-09-28,60.6157,61.3877,60.1745,60.6341,223488.0
2020-09-29,60.5513,60.5651,59.2278,59.9723,126175.0
2020-09-30,60.5054,61.2683,59.7885,60.1929,237954.0
2020-10-01,60.4778,61.4383,59.9723,60.8638,167776.0
2020-10-02,59.7241,62.3528,59.3105,62.0771,192704.0
2020-10-03,59.7241,62.3528,59.3105,62.0771,192704.0
2020-10-04,59.7241,62.3528,59.3105,62.0771,192704.0
2020-10-05,62.5918,63.18,61.8105,62.8491,126975.0
2020-10-06,63.566,64.9631,62.9594,63.0054,180258.0
2020-10-07,63.8326,65.6984,63.5477,65.3399,193569.0
2020-10-08,65.3491,67.0311,65.0274,66.9116,208338.0
2020-10-09,67.8491,67.8491,65.7535,66.3877,142651.0
2020-10-10,67.8491,67.8491,65.7535,66.3877,142651.0
2020-10-11,67.8491,67.8491,65.7535,66.3877,142651.0
2020-10-12,66.4613,67.1966,66.3142,66.9576,115571.0
2020-10-13,66.0293,66.9024,65.5238,66.5807,137824.0
2020-10-14,67.5458,69.237,66.976,67.0311,236686.0
2020-10-15,65.8087,68.9337,65.4686,68.9153,188723.0
2020-10-16,68.7866,69.0348,67.6561,67.7021,214503.0
2020-10-17,68.7866,69.0348,67.6561,67.7021,214503.0
2020-10-18,68.7866,69.0348,67.6561,67.7021,214503.0
2020-10-19,67.7848,68.9291,67.316,67.4815,149253.0
2020-10-20,68.3546,69.2002,67.7618,68.1341,173979.0
2020-10-21,68.1249,69.044,67.7388,68.566,156100.0
2020-10-22,68.9429,70.5881,68.2076,70.5054,256994.0
2020-10-23,70.8822,71.1671,68.5752,70.5789,163225.0
2020-10-24,70.8822,71.1671,68.5752,70.5789,163225.0
2020-10-25,70.8822,71.1671,68.5752,70.5789,163225.0
2020-10-26,69.4392,69.7195,68.7223,69.3289,187466.0
2020-10-27,69.0164,70.9374,69.0164,70.2296,390985.0
2020-10-28,68.373,71.1212,68.3684,70.1745,321511.0
2020-10-29,69.862,72.1506,68.9337,71.5348,391943.0
2020-10-30,71.0109,71.9576,69.9539,70.3859,372316.0
2020-10-31,71.0109,71.9576,69.9539,70.3859,372316.0
2020-11-01,71.0109,71.9576,69.9539,70.3859,372316.0
2020-11-02,72.0587,77.5918,72.0587,76.1671,723865.0
2020-11-03,75.1285,79.044,72.8032,78.1065,614564.0
2020-11-04,77.2057,80.3859,77.2057,79.6138,287769.0
2020-11-05,80.3767,82.2057,80.2664,80.9649,331719.0
2020-11-06,81.0752,81.8932,79.0715,79.8987,453673.0
2020-11-07,81.0752,81.8932,79.0715,79.8987,453673.0
2020-11-08,81.0752,81.8932,79.0715,79.8987,453673.0
2020-11-09,84.5127,88.0329,84.3932,84.6598,590532.0
2020-11-10,85.441,85.9925,84.1726,84.7792,378922.0
2020-11-11,85.3307,85.4318,82.7572,83.6947,290031.0
2020-11-12,82.9318,83.4649,80.4594,81.544,180483.0
2020-11-13,81.9576,83.1248,80.9098,81.4796,246253.0
2020-11-14,81.9576,83.1248,80.9098,81.4796,246253.0
2020-11-15,81.9576,83.1248,80.9098,81.4796,246253.0
2020-11-16,83.1708,83.6212,79.3197,80.4686,442346.0
2020-11-17,79.4667,80.8041,78.1248,79.816,309970.0
2020-11-18,79.7792,80.7627,78.6855,78.7406,163144.0
2020-11-19,78.7682,82.6009,77.8767,81.8564,301542.0
2020-11-20,81.4337,81.4934,79.6598,80.2112,215808.0
2020-11-21,81.4337,81.4934,79.6598,80.2112,215808.0
2020-11-22,81.4337,81.4934,79.6598,80.2112,215808.0
2020-11-23,80.9098,81.7085,80.2848,80.3951,253286.0
2020-11-24,81.737,82.6653,80.3951,81.5072,249505.0
2020-11-25,80.8914,81.8794,80.4686,81.4612,133775.0
2020-11-26,80.8914,81.8794,80.4686,81.4612,133775.0
2020-11-27,81.4428,82.1414,80.1809,81.3142,109491.0
2020-11-28,81.4428,82.1414,80.1809,81.3142,109491.0
2020-11-29,81.4428,82.1414,80.1809,81.3142,109491.0
2020-11-30,80.7627,81.1855,78.4465,78.5844,312223.0
2020-12-01,79.9631,81.0844,79.6873,80.3399,212108.0
2020-12-02,79.8344,80.3767,79.1864,79.8804,133973.0
2020-12-03,79.6598,81.6726,78.998,80.6984,319187.0
2020-12-04,81.2616,82.2034,80.6614,81.5017,218786.0
2020-12-05,81.2616,82.2034,80.6614,81.5017,218786.0
2020-12-06,81.2616,82.2034,80.6614,81.5017,218786.0
2020-12-07,81.3909,81.3909,80.3568,80.6337,169202.0
2020-12-08,79.8674,81.2524,79.5442,80.9107,367418.0
2020-12-09,81.5201,81.5201,79.8951,80.3383,372246.0
2020-12-10,80.0151,80.3937,78.6209,78.8887,207287.0
2020-12-11,78.27,79.9367,78.0669,79.812,302600.0
2020-12-12,78.27,79.9367,78.0669,79.812,302600.0
2020-12-13,78.27,79.9367,78.0669,79.812,302600.0
2020-12-14,80.3568,81.0539,77.7807,77.7807,275245.0
2020-12-15,78.4639,80.9708,77.1851,80.366,251404.0
2020-12-16,81.0585,81.2431,79.1934,80.0705,312797.0
2020-12-17,80.4306,80.4306,79.0687,80.1906,234195.0
2020-12-18,80.5322,82.028,80.1998,80.4675,758312.0
2020-12-19,80.5322,82.028,80.1998,80.4675,758312.0
2020-12-20,80.5322,82.028,80.1998,80.4675,758312.0
2020-12-21,78.9441,80.4398,76.5065,80.0336,267345.0
2020-12-22,79.9505,80.0521,78.6209,78.8517,150748.0
2020-12-23,79.101,79.5904,78.4732,78.5932,122847.0
2020-12-24,79.3226,79.3226,77.3837,78.427,71448.0
2020-12-25,79.3226,79.3226,77.3837,78.427,71448.0
2020-12-26,79.3226,79.3226,77.3837,78.427,71448.0
2020-12-27,79.3226,79.3226,77.3837,78.427,71448.0
2020-12-28,79.258,79.258,77.3744,77.7622,127167.0
2020-12-29,77.3375,77.5591,73.6442,74.2259,405774.0
2020-12-30,74.3552,75.9802,74.3552,75.1215,238772.0
2020-12-31,75.0199,75.7032,74.3275,75.1769,215008.0
2021-01-01,75.0199,75.7032,74.3275,75.1769,215008.0
2021-01-02,75.0199,75.7032,74.3275,75.1769,215008.0
2021-01-03,75.0199,75.7032,74.3275,75.1769,215008.0
2021-01-04,76.0818,76.2757,72.6378,72.9609,237175.0
2021-01-05,72.7947,74.8907,72.7947,74.1982,175920.0
2021-01-06,75.38,78.0761,74.9784,77.5498,266229.0
2021-01-07,76.9959,78.667,76.9497,78.4455,125864.0
2021-01-08,79.1472,79.8674,77.6422,78.3531,142942.0
2021-01-09,79.1472,79.8674,77.6422,78.3531,142942.0
2021-01-10,79.1472,79.8674,77.6422,78.3531,142942.0
2021-01-11,77.2729,78.9025,77.2729,77.9469,107850.0
2021-01-12,78.0023,80.1259,78.0023,80.0428,130024.0
2021-01-13,79.9505,79.9505,77.6376,78.1685,161298.0
2021-01-14,78.9164,79.581,78.0392,78.2516,124687.0
2021-01-15,77.5591,78.9902,77.4391,78.3901,166386.0
2021-01-16,77.5591,78.9902,77.4391,78.3901,166386.0
2021-01-17,77.5591,78.9902,77.4391,78.3901,166386.0
2021-01-18,77.5591,78.9902,77.4391,78.3901,166386.0
2021-01-19,78.7409,79.1934,76.6081,78.4824,236043.0
2021-01-20,78.4824,80.3198,78.4824,80.0798,160663.0
2021-01-21,80.2275,80.2275,76.8481,76.9497,122787.0
2021-01-22,75.9063,78.0761,75.2415,77.8361,163406.0
2021-01-23,75.9063,78.0761,75.2415,77.8361,163406.0
2021-01-24,75.9063,78.0761,75.2415,77.8361,163406.0
2021-01-25,77.4391,78.2146,76.2757,77.042,106459.0
2021-01-26,77.873,77.9653,75.9525,76.1002,159831.0
2021-01-27,74.2998,74.8076,72.1115,73.044,255213.0
2021-01-28,74.0782,76.0264,74.0782,74.6414,126721.0
2021-01-29,74.6045,74.6045,72.3146,72.4716,208803.0
2021-01-30,74.6045,74.6045,72.3146,72.4716,208803.0
2021-01-31,74.6045,74.6045,72.3146,72.4716,208803.0
2021-02-01,73.2564,74.0966,72.4254,73.8196,222740.0
2021-02-02,75.0753,75.2415,73.5426,74.2536,117417.0
2021-02-03,74.0135,74.4706,72.7578,74.3459,155260.0
2021-02-04,74.2721,77.3006,74.2721,77.1251,138651.0
2021-02-05,78.03,78.1962,76.0448,76.8851,96257.0
2021-02-06,78.03,78.1962,76.0448,76.8851,96257.0
2021-02-07,78.03,78.1962,76.0448,76.8851,96257.0
2021-02-08,77.4114,80.5414,77.2175,80.4952,159867.0
2021-02-09,80.4491,80.7261,78.6763,80.7168,116279.0
2021-02-10,81.4924,82.9236,80.5976,82.3511,207679.0
2021-02-11,82.6097,84.7518,81.4463,82.4619,423474.0
2021-02-12,80.9107,80.9107,74.032,74.6876,568348.0
2021-02-13,80.9107,80.9107,74.032,74.6876,568348.0
2021-02-14,80.9107,80.9107,74.032,74.6876,568348.0
2021-02-15,80.9107,80.9107,74.032,74.6876,568348.0
2021-02-16,74.4937,75.5445,71.9822,72.0284,331082.0
2021-02-17,71.5206,71.9453,69.4708,71.4652,323721.0
2021-02-18,70.9389,72.7901,70.2599,72.0099,142870.0
2021-02-19,72.1022,74.0966,72.1022,73.0994,188025.0
2021-02-20,72.1022,74.0966,72.1022,73.0994,188025.0
2021-02-21,72.1022,74.0966,72.1022,73.0994,188025.0
2021-02-22,72.5731,75.26,72.3423,75.1954,269794.0
2021-02-23,74.5768,77.9838,74.3275,77.6976,282330.0
2021-02-24,77.3283,80.7907,77.1898,80.4583,219029.0
2021-02-25,80.0336,82.2773,79.8212,80.4768,371634.0
2021-02-26,80.7907,83.6715,80.3844,81.8987,329689.0
2021-02-27,80.7907,83.6715,80.3844,81.8987,329689.0
2021-02-28,80.7907,83.6715,80.3844,81.8987,329689.0
2021-03-01,83.1083,84.1516,81.8387,83.6438,292186.0
2021-03-02,83.1083,83.5514,81.5432,82.8313,272067.0
2021-03-03,83.0713,84.4286,82.3881,82.3881,336814.0
2021-03-04,81.9264,82.7851,80.3568,80.9938,358225.0
2021-03-05,81.2524,83.9669,80.6337,83.8746,354629.0
2021-03-06,81.2524,83.9669,80.6337,83.8746,354629.0
2021-03-07,81.2524,83.9669,80.6337,83.8746,354629.0
2021-03-08,84.0223,86.5984,83.4406,85.3796,197302.0
2021-03-09,86.4045,87.1247,85.1303,85.6105,227731.0
2021-03-10,85.9165,87.7433,84.9706,86.3616,239640.0
2021-03-11,87.3909,87.6227,85.9072,87.5764,165627.0
2021-03-12,87.6135,88.6892,86.6954,88.2811,268186.0
