,SPG US Equity,SPG US Equity,SPG US Equity,SPG US Equity,SPG US Equity
2020-03-16,62.463,62.471,51.725,52.097,5743632.0
2020-03-17,52.699,53.428,42.73,46.61,10561638.0
2020-03-18,43.157,43.981,34.462,35.571,12166941.0
2020-03-19,36.672,47.117,36.03,44.139,10392159.0
2020-03-20,46.697,50.213,36.553,38.121,9258399.0
2020-03-21,46.697,50.213,36.553,38.121,9258399.0
2020-03-22,46.697,50.213,36.553,38.121,9258399.0
2020-03-23,38.406,41.272,36.466,39.72,10695027.0
2020-03-24,43.118,45.279,41.621,43.339,7401777.0
2020-03-25,44.123,55.067,43.339,49.365,8662163.0
2020-03-26,49.643,51.86,46.245,49.175,8733597.0
2020-03-27,47.845,47.877,44.107,46.063,4837796.0
2020-03-28,47.845,47.877,44.107,46.063,4837796.0
2020-03-29,47.845,47.877,44.107,46.063,4837796.0
2020-03-30,45.588,45.929,43.406,44.559,4848877.0
2020-03-31,44.828,45.39,41.811,43.442,6516218.0
2020-04-01,40.188,40.647,36.426,37.25,8728762.0
2020-04-02,36.521,38.39,33.457,34.85,7678994.0
2020-04-03,35.009,37.313,34.993,36.996,6759120.0
2020-04-04,35.009,37.313,34.993,36.996,6759120.0
2020-04-05,35.009,37.313,34.993,36.996,6759120.0
2020-04-06,40.069,43.901,39.562,42.809,8207236.0
2020-04-07,46.721,50.949,46.721,48.209,8424938.0
2020-04-08,49.096,51.749,47.75,49.817,6692140.0
2020-04-09,52.264,58.733,52.192,53.982,9096240.0
2020-04-10,52.264,58.733,52.192,53.982,9096240.0
2020-04-11,52.264,58.733,52.192,53.982,9096240.0
2020-04-12,52.264,58.733,52.192,53.982,9096240.0
2020-04-13,54.323,54.576,49.247,51.709,4123221.0
2020-04-14,52.351,54.956,52.01,53.649,5105141.0
2020-04-15,50.522,50.918,47.354,48.479,5168366.0
2020-04-16,49.104,49.361,41.265,42.049,8421642.0
2020-04-17,46.214,48.613,43.957,44.44,9278994.0
2020-04-18,46.214,48.613,43.957,44.44,9278994.0
2020-04-19,46.214,48.613,43.957,44.44,9278994.0
2020-04-20,42.793,45.137,41.368,42.627,6498387.0
2020-04-21,41.36,43.529,41.019,42.413,6130072.0
2020-04-22,43.466,43.672,40.782,41.542,5915051.0
2020-04-23,41.676,43.601,40.71,42.088,5860973.0
2020-04-24,42.27,42.472,38.509,40.774,10104323.0
2020-04-25,42.27,42.472,38.509,40.774,10104323.0
2020-04-26,42.27,42.472,38.509,40.774,10104323.0
2020-04-27,41.375,45.984,40.783,45.287,7038027.0
2020-04-28,48.13,51.994,46.507,50.149,15427657.0
2020-04-29,52.557,57.474,52.509,54.481,16205682.0
2020-04-30,52.596,54.354,50.094,52.873,8991969.0
2020-05-01,50.284,51.195,47.983,50.046,6430024.0
2020-05-02,50.284,51.195,47.983,50.046,6430024.0
2020-05-03,50.284,51.195,47.983,50.046,6430024.0
2020-05-04,47.829,50.293,47.037,49.896,3763555.0
2020-05-05,51.424,52.485,47.584,47.948,5189489.0
2020-05-06,48.059,48.985,43.751,44.139,7686415.0
2020-05-07,44.274,46.546,43.767,45.137,6760737.0
2020-05-08,46.435,47.908,45.778,45.945,8342779.0
2020-05-09,46.435,47.908,45.778,45.945,8342779.0
2020-05-10,46.435,47.908,45.778,45.945,8342779.0
2020-05-11,45.612,45.667,43.482,43.616,9361376.0
2020-05-12,47.782,47.94,43.157,43.189,16602206.0
2020-05-13,42.128,43.157,38.976,40.52,13982331.0
2020-05-14,39.594,42.357,37.416,40.821,10654908.0
2020-05-15,39.95,41.288,39.103,40.639,7579168.0
2020-05-16,39.95,41.288,39.103,40.639,7579168.0
2020-05-17,39.95,41.288,39.103,40.639,7579168.0
2020-05-18,43.434,45.699,43.376,45.066,9221226.0
2020-05-19,45.343,46.657,42.888,45.034,7025048.0
2020-05-20,46.396,47.006,43.521,44.084,7010020.0
2020-05-21,43.997,45.382,43.236,44.345,6061111.0
2020-05-22,44.527,44.662,42.666,43.228,5301519.0
2020-05-23,44.527,44.662,42.666,43.228,5301519.0
2020-05-24,44.527,44.662,42.666,43.228,5301519.0
2020-05-25,44.527,44.662,42.666,43.228,5301519.0
2020-05-26,45.929,47.132,45.058,46.919,10442143.0
2020-05-27,49.532,50.126,47.061,50.039,9219958.0
2020-05-28,50.403,50.514,46.61,47.314,7866607.0
2020-05-29,45.675,47.021,44.63,45.691,8496086.0
2020-05-30,45.675,47.021,44.63,45.691,8496086.0
2020-05-31,45.675,47.021,44.63,45.691,8496086.0
2020-06-01,45.382,48.938,45.028,48.779,6509014.0
2020-06-02,49.88,51.068,49.445,50.244,7797645.0
2020-06-03,52.026,59.224,51.868,57.712,17321724.0
2020-06-04,59.486,61.647,55.146,60.76,17516770.0
2020-06-05,66.034,73.61,66.011,70.16,23237069.0
2020-06-06,66.034,73.61,66.011,70.16,23237069.0
2020-06-07,66.034,73.61,66.011,70.16,23237069.0
2020-06-08,75.133,75.671,70.58,75.624,15401055.0
2020-06-09,69.685,71.522,66.312,68.473,12537796.0
2020-06-10,69.336,69.336,61.766,65.733,15585382.0
2020-06-11,56.769,62.281,55.748,56.952,13082549.0
2020-06-12,61.568,61.93,57.664,60.167,10647486.0
2020-06-13,61.568,61.93,57.664,60.167,10647486.0
2020-06-14,61.568,61.93,57.664,60.167,10647486.0
2020-06-15,56.912,60.072,56.081,58.908,9850035.0
2020-06-16,64.102,64.371,59.066,59.802,11006208.0
2020-06-17,59.636,59.668,56.627,56.754,8312422.0
2020-06-18,55.439,57.371,54.307,56.191,8103255.0
2020-06-19,57.411,57.419,53.056,53.151,13314847.0
2020-06-20,57.411,57.419,53.056,53.151,13314847.0
2020-06-21,57.411,57.419,53.056,53.151,13314847.0
2020-06-22,52.541,54.513,51.543,54.283,6269637.0
2020-06-23,54.948,57.102,54.941,55.534,6921689.0
2020-06-24,53.792,53.982,49.619,51.559,10487743.0
2020-06-25,50.118,52.763,49.912,51.424,7431965.0
2020-06-26,50.553,51.226,48.661,49.017,11016458.0
2020-06-27,50.553,51.226,48.661,49.017,11016458.0
2020-06-28,50.553,51.226,48.661,49.017,11016458.0
2020-06-29,49.603,53.99,48.534,53.95,9412896.0
2020-06-30,56.508,56.619,53.507,54.148,10456537.0
2020-07-01,55.273,57.751,54.829,55.281,7979604.0
2020-07-02,56.864,57.775,54.386,54.489,6470594.0
2020-07-03,56.864,57.775,54.386,54.489,6470594.0
2020-07-04,56.864,57.775,54.386,54.489,6470594.0
2020-07-05,56.864,57.775,54.386,54.489,6470594.0
2020-07-06,55.209,55.898,53.063,54.584,6075550.0
2020-07-07,53.451,53.578,51.915,52.208,5294945.0
2020-07-08,52.264,52.897,50.981,52.034,6884922.0
2020-07-09,51.905,52.027,48.366,49.295,9286317.0
2020-07-10,48.875,51.897,48.722,51.687,5824104.0
2020-07-11,48.875,51.897,48.722,51.687,5824104.0
2020-07-12,48.875,51.897,48.722,51.687,5824104.0
2020-07-13,52.333,52.624,50.249,51.452,5124295.0
2020-07-14,50.96,51.671,49.578,50.031,5240531.0
2020-07-15,52.139,53.9,51.565,53.795,7163095.0
2020-07-16,52.511,53.003,50.568,50.814,5227218.0
2020-07-17,50.725,51.347,50.152,50.41,4937504.0
2020-07-18,50.725,51.347,50.152,50.41,4937504.0
2020-07-19,50.725,51.347,50.152,50.41,4937504.0
2020-07-20,50.208,50.402,48.568,48.811,5644371.0
2020-07-21,49.263,50.394,48.786,49.239,5214776.0
2020-07-22,49.328,50.2,48.568,50.111,4059744.0
2020-07-23,49.295,50.645,48.964,49.926,3274198.0
2020-07-24,49.764,50.313,48.714,48.932,3115431.0
2020-07-25,49.764,50.313,48.714,48.932,3115431.0
2020-07-26,49.764,50.313,48.714,48.932,3115431.0
2020-07-27,48.851,50.071,47.688,50.055,4299839.0
2020-07-28,49.74,52.567,49.562,51.816,5328369.0
2020-07-29,52.179,53.02,50.612,52.987,3809556.0
2020-07-30,51.299,52.188,50.588,51.396,3311303.0
2020-07-31,51.145,51.622,49.683,50.37,5136773.0
2020-08-01,51.145,51.622,49.683,50.37,5136773.0
2020-08-02,51.145,51.622,49.683,50.37,5136773.0
2020-08-03,49.449,49.917,48.399,49.303,4152661.0
2020-08-04,49.465,51.404,49.336,50.887,4097731.0
2020-08-05,51.598,52.171,50.305,50.491,3406670.0
2020-08-06,50.661,50.661,49.433,49.441,4865148.0
2020-08-07,49.425,50.523,48.883,50.241,6391315.0
2020-08-08,49.425,50.523,48.883,50.241,6391315.0
2020-08-09,49.425,50.523,48.883,50.241,6391315.0
2020-08-10,52.688,55.875,51.557,52.89,18253818.0
2020-08-11,55.064,57.35,53.989,54.248,13635279.0
2020-08-12,54.773,55.694,53.012,54.797,6876084.0
2020-08-13,54.264,55.135,53.1,53.335,5499412.0
2020-08-14,52.818,55.298,52.648,55.08,5334265.0
2020-08-15,52.818,55.298,52.648,55.08,5334265.0
2020-08-16,52.818,55.298,52.648,55.08,5334265.0
2020-08-17,55.217,55.249,53.464,55.08,4441601.0
2020-08-18,54.425,54.53,51.606,52.616,8189218.0
2020-08-19,52.608,53.028,51.493,51.606,4962327.0
2020-08-20,51.162,52.874,50.814,52.406,4220385.0
2020-08-21,52.349,52.947,51.622,52.123,3014054.0
2020-08-22,52.349,52.947,51.622,52.123,3014054.0
2020-08-23,52.349,52.947,51.622,52.123,3014054.0
2020-08-24,52.551,55.354,51.59,55.338,5515803.0
2020-08-25,56.033,56.663,53.739,55.459,5053549.0
2020-08-26,55.322,55.427,53.117,53.569,4363514.0
2020-08-27,53.819,55.823,53.819,54.587,4207394.0
2020-08-28,55.015,56.469,54.086,56.421,3676866.0
2020-08-29,55.015,56.469,54.086,56.421,3676866.0
2020-08-30,55.015,56.469,54.086,56.421,3676866.0
2020-08-31,56.396,56.413,54.482,54.813,4089872.0
2020-09-01,53.844,54.837,53.238,54.288,3491609.0
2020-09-02,53.836,54.958,53.286,54.805,3595184.0
2020-09-03,55.338,57.342,54.021,54.934,5310080.0
2020-09-04,56.146,58.553,55.613,56.744,6858413.0
2020-09-05,56.146,58.553,55.613,56.744,6858413.0
2020-09-06,56.146,58.553,55.613,56.744,6858413.0
2020-09-07,56.146,58.553,55.613,56.744,6858413.0
2020-09-08,56.114,57.156,55.572,56.59,3899297.0
2020-09-09,56.501,56.687,54.902,55.629,4332709.0
2020-09-10,55.411,56.409,53.319,53.472,4586158.0
2020-09-11,53.674,53.69,51.202,51.824,5096589.0
2020-09-12,53.674,53.69,51.202,51.824,5096589.0
2020-09-13,53.674,53.69,51.202,51.824,5096589.0
2020-09-14,52.511,54.874,52.127,54.773,3529138.0
2020-09-15,54.958,58.024,54.684,57.414,6836278.0
2020-09-16,57.382,60.751,56.582,59.878,8908450.0
2020-09-17,57.738,59.975,57.257,58.069,4973249.0
2020-09-18,57.713,58.085,56.219,56.413,5821492.0
2020-09-19,57.713,58.085,56.219,56.413,5821492.0
2020-09-20,57.713,58.085,56.219,56.413,5821492.0
2020-09-21,54.183,54.304,51.988,52.406,7010253.0
2020-09-22,52.527,54.183,52.309,52.6,6154575.0
2020-09-23,52.979,53.965,50.669,50.806,4440638.0
2020-09-24,50.128,51.832,48.148,50.758,5337512.0
2020-09-25,50.087,51.646,50.087,51.364,2601536.0
2020-09-26,50.087,51.646,50.087,51.364,2601536.0
2020-09-27,50.087,51.646,50.087,51.364,2601536.0
2020-09-28,53.157,53.751,52.349,53.149,3771764.0
2020-09-29,52.777,52.785,50.814,51.695,3822458.0
2020-09-30,51.824,53.415,51.46,52.252,4188161.0
2020-10-01,52.381,53.771,51.905,53.747,3426154.0
2020-10-02,51.808,55.338,51.743,55.096,5346757.0
2020-10-03,51.808,55.338,51.743,55.096,5346757.0
2020-10-04,51.808,55.338,51.743,55.096,5346757.0
2020-10-05,55.508,56.009,54.466,55.548,3688176.0
2020-10-06,56.348,58.675,55.75,56.534,6512159.0
2020-10-07,56.808,58.295,56.388,57.382,4167237.0
2020-10-08,58.287,58.616,57.11,57.662,3721747.0
2020-10-09,57.719,57.889,55.555,55.728,3825443.0
2020-10-10,57.719,57.889,55.555,55.728,3825443.0
2020-10-11,57.719,57.889,55.555,55.728,3825443.0
2020-10-12,55.662,56.049,54.889,55.975,3040832.0
2020-10-13,55.111,55.407,53.876,54.164,3705396.0
2020-10-14,54.222,54.757,53.704,54.082,2769079.0
2020-10-15,53.251,54.74,53.152,53.588,2903706.0
2020-10-16,53.926,54.067,52.79,53.342,3941223.0
2020-10-17,53.926,54.067,52.79,53.342,3941223.0
2020-10-18,53.926,54.067,52.79,53.342,3941223.0
2020-10-19,53.49,53.778,52.535,52.593,3587426.0
2020-10-20,53.399,54.378,53.021,53.045,2904864.0
2020-10-21,52.765,53.498,52.124,52.84,3137912.0
2020-10-22,52.675,54.757,52.584,54.601,2904606.0
2020-10-23,54.93,55.794,54.248,55.037,3194494.0
2020-10-24,54.93,55.794,54.248,55.037,3194494.0
2020-10-25,54.93,55.794,54.248,55.037,3194494.0
2020-10-26,54.321,54.395,52.56,53.226,3852699.0
2020-10-27,52.757,53.144,50.98,51.004,3795001.0
2020-10-28,49.597,50.716,48.84,50.0,6595638.0
2020-10-29,49.943,52.757,49.515,52.181,5851467.0
2020-10-30,51.827,52.354,50.058,51.687,3705075.0
2020-10-31,51.827,52.354,50.058,51.687,3705075.0
2020-11-01,51.827,52.354,50.058,51.687,3705075.0
2020-11-02,51.811,53.391,51.506,53.251,3666044.0
2020-11-03,53.983,54.313,52.996,53.481,3552638.0
2020-11-04,53.407,53.416,51.12,51.251,4431700.0
2020-11-05,51.786,52.749,51.395,52.231,3283444.0
2020-11-06,52.255,53.35,50.725,50.906,4872863.0
2020-11-07,52.255,53.35,50.725,50.906,4872863.0
2020-11-08,52.255,53.35,50.725,50.906,4872863.0
2020-11-09,61.612,67.891,60.155,65.093,24996211.0
2020-11-10,63.118,69.528,61.974,64.879,14440407.0
2020-11-11,64.171,64.599,59.678,60.41,6844611.0
2020-11-12,58.972,59.769,55.967,56.897,8150313.0
2020-11-13,58.946,61.842,58.263,61.472,7752269.0
2020-11-14,58.946,61.842,58.263,61.472,7752269.0
2020-11-15,58.946,61.842,58.263,61.472,7752269.0
2020-11-16,65.792,67.825,64.887,64.978,13224924.0
2020-11-17,64.146,66.928,63.348,64.978,6171849.0
2020-11-18,64.081,66.69,63.035,63.044,7493306.0
2020-11-19,62.534,66.928,62.122,66.352,16282188.0
2020-11-20,66.228,67.306,65.224,66.755,9733729.0
2020-11-21,66.228,67.306,65.224,66.755,9733729.0
2020-11-22,66.228,67.306,65.224,66.755,9733729.0
2020-11-23,69.742,71.018,67.726,70.285,10874788.0
2020-11-24,73.026,75.19,72.763,73.067,9742172.0
2020-11-25,72.754,73.141,71.018,71.75,5973286.0
2020-11-26,72.754,73.141,71.018,71.75,5973286.0
2020-11-27,72.384,72.911,70.384,70.401,2305940.0
2020-11-28,72.384,72.911,70.384,70.401,2305940.0
2020-11-29,72.384,72.911,70.384,70.401,2305940.0
2020-11-30,70.211,71.512,67.808,67.948,6987259.0
2020-12-01,69.66,71.01,69.035,69.94,4872837.0
2020-12-02,68.903,72.409,67.973,71.8,4333205.0
2020-12-03,72.326,75.462,71.832,73.758,5490001.0
2020-12-04,75.906,77.65,74.645,77.28,5268464.0
2020-12-05,75.906,77.65,74.645,77.28,5268464.0
2020-12-06,75.906,77.65,74.645,77.28,5268464.0
2020-12-07,77.107,77.19,73.24,73.544,6097036.0
2020-12-08,73.84,75.666,72.828,74.153,4603112.0
2020-12-09,74.573,75.84,73.396,74.754,4596377.0
2020-12-10,73.338,74.853,73.306,74.425,3045984.0
2020-12-11,73.412,74.005,71.01,72.334,4907620.0
2020-12-12,73.412,74.005,71.01,72.334,4907620.0
2020-12-13,73.412,74.005,71.01,72.334,4907620.0
2020-12-14,74.063,74.211,71.393,71.857,4841380.0
2020-12-15,72.779,73.865,71.776,73.849,5302251.0
2020-12-16,72.697,74.309,72.524,72.647,3371553.0
2020-12-17,73.396,73.429,71.997,73.264,3002043.0
2020-12-18,73.026,73.297,69.882,70.302,6377054.0
2020-12-19,73.026,73.297,69.882,70.302,6377054.0
2020-12-20,73.026,73.297,69.882,70.302,6377054.0
2020-12-21,69.084,69.537,67.685,68.837,4629060.0
2020-12-22,70.359,70.409,67.496,68.895,4147012.0
2020-12-23,69.664,71.26,69.555,69.923,2768557.0
2020-12-24,70.215,70.709,69.421,70.525,810693.0
2020-12-25,70.215,70.709,69.421,70.525,810693.0
2020-12-26,70.215,70.709,69.421,70.525,810693.0
2020-12-27,70.215,70.709,69.421,70.525,810693.0
2020-12-28,70.658,72.013,70.642,71.453,3105049.0
2020-12-29,71.712,72.364,69.331,69.622,2281160.0
2020-12-30,69.555,71.511,69.555,70.19,2791371.0
2020-12-31,69.814,71.344,68.842,71.285,2488315.0
2021-01-01,69.814,71.344,68.842,71.285,2488315.0
2021-01-02,69.814,71.344,68.842,71.285,2488315.0
2021-01-03,69.814,71.344,68.842,71.285,2488315.0
2021-01-04,71.603,72.088,68.594,69.221,4299356.0
2021-01-05,69.505,70.479,69.321,69.522,4647855.0
2021-01-06,70.215,72.288,70.006,71.11,8356317.0
2021-01-07,71.753,72.924,70.642,71.16,4227791.0
2021-01-08,71.335,72.305,69.965,72.297,3692512.0
2021-01-09,71.335,72.305,69.965,72.297,3692512.0
2021-01-10,71.335,72.305,69.965,72.297,3692512.0
2021-01-11,71.503,71.553,69.254,69.497,3993173.0
2021-01-12,70.082,71.879,69.555,71.411,4103368.0
2021-01-13,71.386,74.629,71.386,74.286,4295624.0
2021-01-14,74.746,80.034,74.654,79.368,7465789.0
2021-01-15,78.574,78.775,77.178,77.738,4006549.0
2021-01-16,78.574,78.775,77.178,77.738,4006549.0
2021-01-17,78.574,78.775,77.178,77.738,4006549.0
2021-01-18,78.574,78.775,77.178,77.738,4006549.0
2021-01-19,77.822,78.39,75.849,77.463,3094470.0
2021-01-20,77.178,80.255,76.919,79.653,3904126.0
2021-01-21,79.402,80.046,78.324,79.001,3060277.0
2021-01-22,77.738,80.246,76.944,79.82,3692668.0
2021-01-23,77.738,80.246,76.944,79.82,3692668.0
2021-01-24,77.738,80.246,76.944,79.82,3692668.0
2021-01-25,79.126,83.732,78.574,81.483,5322652.0
2021-01-26,82.336,83.306,80.781,82.796,3720134.0
2021-01-27,82.11,86.515,80.321,80.781,5775876.0
2021-01-28,81.283,82.779,80.822,81.508,3124656.0
2021-01-29,81.241,81.775,76.995,77.68,4517443.0
2021-01-30,81.241,81.775,76.995,77.68,4517443.0
2021-01-31,81.241,81.775,76.995,77.68,4517443.0
2021-02-01,78.098,78.24,75.699,77.688,3774058.0
2021-02-02,78.666,78.666,76.368,77.287,2987160.0
2021-02-03,77.203,78.365,76.083,78.056,2986857.0
2021-02-04,78.056,80.447,78.056,79.544,2793963.0
2021-02-05,80.589,81.834,80.179,80.873,2547665.0
2021-02-06,80.589,81.834,80.179,80.873,2547665.0
2021-02-07,80.589,81.834,80.179,80.873,2547665.0
2021-02-08,81.584,83.147,80.798,82.704,4464400.0
2021-02-09,85.679,87.781,84.718,85.721,6002169.0
2021-02-10,87.259,90.82,86.181,88.789,4318265.0
2021-02-11,90.402,93.138,89.65,91.339,4696669.0
2021-02-12,90.72,92.481,90.035,91.33,2264396.0
2021-02-13,90.72,92.481,90.035,91.33,2264396.0
2021-02-14,90.72,92.481,90.035,91.33,2264396.0
2021-02-15,90.72,92.481,90.035,91.33,2264396.0
2021-02-16,91.063,93.136,90.804,91.932,3719690.0
2021-02-17,91.531,92.358,89.525,90.469,2754206.0
2021-02-18,89.767,90.813,88.374,89.04,3315898.0
2021-02-19,89.792,91.89,89.19,91.472,3073339.0
2021-02-20,89.792,91.89,89.19,91.472,3073339.0
2021-02-21,89.792,91.89,89.19,91.472,3073339.0
2021-02-22,91.054,96.404,91.054,94.264,4256286.0
2021-02-23,96.446,96.91,91.999,96.229,4174400.0
2021-02-24,96.162,101.252,95.71,99.472,4698055.0
2021-02-25,100.182,101.403,95.0,95.978,4935013.0
2021-02-26,95.184,97.349,93.002,94.39,3964361.0
2021-02-27,95.184,97.349,93.002,94.39,3964361.0
2021-02-28,95.184,97.349,93.002,94.39,3964361.0
2021-03-01,97.131,98.511,95.159,95.225,3611355.0
2021-03-02,95.159,95.384,93.069,93.353,3371909.0
2021-03-03,93.704,96.734,93.662,95.284,4274566.0
2021-03-04,95.317,96.262,89.232,92.041,5024242.0
2021-03-05,93.253,93.863,87.034,92.927,4576627.0
2021-03-06,93.253,93.863,87.034,92.927,4576627.0
2021-03-07,93.253,93.863,87.034,92.927,4576627.0
2021-03-08,93.947,96.103,92.927,93.37,3387333.0
2021-03-09,93.788,94.247,90.87,92.785,2863360.0
2021-03-10,92.734,96.07,92.526,95.551,2989669.0
2021-03-11,95.677,97.817,94.682,96.83,5177923.0
2021-03-12,96.755,98.661,96.63,98.511,2619860.0
2021-03-13,96.755,98.661,96.63,98.511,2619860.0
2021-03-14,96.755,98.661,96.63,98.511,2619860.0
2021-03-15,98.761,101.913,97.675,101.152,3818710.0
2021-03-16,101.144,101.236,97.587,97.959,3633348.0
2021-03-17,97.65,99.188,97.349,98.837,2232364.0
2021-03-18,98.335,100.993,96.655,97.65,6078999.0
2021-03-19,97.976,99.02,95.384,97.541,4471177.0
2021-03-20,97.976,99.02,95.384,97.541,4471177.0
2021-03-21,97.976,99.02,95.384,97.541,4471177.0
2021-03-22,97.39,97.7,95.16,96.337,2725948.0
2021-03-23,95.844,96.095,91.548,92.291,3682176.0
2021-03-24,92.885,95.526,91.439,91.447,3428008.0
2021-03-25,90.118,95.418,89.174,94.991,3852094.0
2021-03-26,95.877,97.516,93.796,95.852,2674128.0
2021-03-27,95.877,97.516,93.796,95.852,2674128.0
2021-03-28,95.877,97.516,93.796,95.852,2674128.0
2021-03-29,95.635,96.329,92.751,95.134,3331390.0
2021-03-30,95.276,97.34,95.042,96.454,2087809.0
2021-03-31,95.802,96.672,94.849,95.1,2507346.0
2021-04-01,96.12,96.421,94.147,96.295,2858623.0
2021-04-02,96.12,96.421,94.147,96.295,2858623.0
2021-04-03,96.12,96.421,94.147,96.295,2858623.0
2021-04-04,96.12,96.421,94.147,96.295,2858623.0
2021-04-05,96.964,96.964,94.682,96.17,2911854.0
2021-04-06,95.903,97.683,95.719,97.374,2499962.0
2021-04-07,97.842,98.394,96.229,97.808,2541120.0
2021-04-08,97.259,97.749,96.033,96.642,2364289.0
2021-04-09,96.946,98.231,96.397,97.977,1669935.0
2021-04-10,96.946,98.231,96.397,97.977,1669935.0
2021-04-11,96.946,98.231,96.397,97.977,1669935.0
2021-04-12,98.4,98.789,95.89,96.988,2994185.0
2021-04-13,96.109,96.447,94.081,95.839,3681705.0
2021-04-14,96.118,97.842,95.991,96.16,2657393.0
2021-04-15,97.208,97.682,96.042,96.845,2314149.0
2021-04-16,98.485,100.167,97.994,99.0,3249476.0
2021-04-17,98.485,100.167,97.994,99.0,3249476.0
2021-04-18,98.485,100.167,97.994,99.0,3249476.0
2021-04-19,98.561,98.806,97.166,98.527,1753564.0
2021-04-20,97.639,98.409,95.619,96.583,2180145.0
2021-04-21,96.338,99.66,95.188,99.431,2467876.0
2021-04-22,99.558,100.64,97.69,97.758,2591419.0
