,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity
2019-03-03,244.42,246.43,244.17,244.8,760573.0
2019-03-04,244.81,245.94,239.45,240.87,608093.0
2019-03-05,240.54,242.81,239.55,241.16,522670.0
2019-03-06,241.23,241.69,238.85,239.58,462098.0
2019-03-07,239.38,239.935,237.191,238.37,531996.0
2019-03-08,237.12,239.63,236.53,238.6,456257.0
2019-03-09,237.12,239.63,236.53,238.6,456257.0
2019-03-10,237.12,239.63,236.53,238.6,456257.0
2019-03-11,238.77,240.32,238.0,239.7,481072.0
2019-03-12,240.72,241.44,239.06,241.01,548643.0
2019-03-13,241.56,242.1,238.0,241.34,577377.0
2019-03-14,241.18,242.59,239.86,242.49,539030.0
2019-03-15,242.01,245.13,241.88,244.97,1308181.0
2019-03-16,242.01,245.13,241.88,244.97,1308181.0
2019-03-17,242.01,245.13,241.88,244.97,1308181.0
2019-03-18,244.28,246.375,242.94,245.27,521984.0
2019-03-19,245.55,247.29,245.01,246.54,466273.0
2019-03-20,246.69,247.665,243.58,245.26,465549.0
2019-03-21,244.26,250.54,244.26,250.28,363777.0
2019-03-22,249.54,250.6,245.23,245.37,421316.0
2019-03-23,249.54,250.6,245.23,245.37,421316.0
2019-03-24,249.54,250.6,245.23,245.37,421316.0
2019-03-25,245.78,247.55,243.92,246.27,415403.0
2019-03-26,248.1,249.7,247.0,248.77,391567.0
2019-03-27,249.15,249.54,244.34,246.73,414684.0
2019-03-28,247.3,249.06,246.32,248.31,350193.0
2019-03-29,250.02,252.24,249.34,251.71,455690.0
2019-03-30,250.02,252.24,249.34,251.71,455690.0
2019-03-31,250.02,252.24,249.34,251.71,455690.0
2019-04-01,253.31,255.21,250.915,252.98,384548.0
2019-04-02,252.31,253.13,250.12,250.63,382218.0
2019-04-03,252.08,252.77,250.12,250.54,500493.0
2019-04-04,250.95,250.95,248.34,248.36,564313.0
2019-04-05,248.54,253.26,248.54,252.33,430187.0
2019-04-06,248.54,253.26,248.54,252.33,430187.0
2019-04-07,248.54,253.26,248.54,252.33,430187.0
2019-04-08,251.99,253.3,248.91,253.15,296816.0
2019-04-09,251.77,253.35,248.54,249.41,659850.0
2019-04-10,249.41,252.23,248.68,250.68,399698.0
2019-04-11,250.77,251.26,249.25,250.75,310291.0
2019-04-12,251.71,254.96,250.445,250.88,389425.0
2019-04-13,251.71,254.96,250.445,250.88,389425.0
2019-04-14,251.71,254.96,250.445,250.88,389425.0
2019-04-15,250.92,251.63,248.14,248.94,346265.0
2019-04-16,250.82,251.68,239.709,240.71,697051.0
2019-04-17,241.42,242.48,235.8,238.09,826195.0
2019-04-18,239.01,241.73,236.58,239.58,577533.0
2019-04-19,239.01,241.73,236.58,239.58,577533.0
2019-04-20,239.01,241.73,236.58,239.58,577533.0
2019-04-21,239.01,241.73,236.58,239.58,577533.0
2019-04-22,241.05,243.2,238.725,241.04,601743.0
2019-04-23,202.55,213.87,199.31,211.36,3500787.0
2019-04-24,210.98,211.9,206.78,207.54,1513700.0
2019-04-25,207.23,214.41,206.86,213.38,1212566.0
2019-04-26,214.04,214.35,211.93,214.23,524312.0
2019-04-27,214.04,214.35,211.93,214.23,524312.0
2019-04-28,214.04,214.35,211.93,214.23,524312.0
2019-04-29,214.47,215.25,211.75,212.12,456986.0
2019-04-30,212.86,214.02,211.79,213.54,514394.0
2019-05-01,213.15,214.9,210.93,211.55,391727.0
2019-05-02,211.5,216.29,211.16,216.08,470784.0
2019-05-03,216.4,220.68,216.4,218.08,455178.0
2019-05-04,216.4,220.68,216.4,218.08,455178.0
2019-05-05,216.4,220.68,216.4,218.08,455178.0
2019-05-06,214.25,218.13,213.86,217.68,438507.0
2019-05-07,215.44,216.72,211.07,213.21,652992.0
2019-05-08,213.35,215.13,211.15,213.57,511519.0
2019-05-09,211.69,217.07,209.92,216.78,534775.0
2019-05-10,215.78,218.38,212.18,216.96,912272.0
2019-05-11,215.78,218.38,212.18,216.96,912272.0
2019-05-12,215.78,218.38,212.18,216.96,912272.0
2019-05-13,212.97,212.97,208.72,209.23,583805.0
2019-05-14,210.53,214.19,210.53,211.16,536451.0
2019-05-15,209.15,209.86,203.76,207.8,882356.0
2019-05-16,209.02,211.41,208.0,210.12,618600.0
2019-05-17,207.88,210.58,207.28,208.2,493958.0
2019-05-18,207.88,210.58,207.28,208.2,493958.0
2019-05-19,207.88,210.58,207.28,208.2,493958.0
2019-05-20,207.56,208.97,206.11,208.25,460204.0
2019-05-21,210.03,210.86,205.83,206.15,622998.0
2019-05-22,206.08,208.394,204.28,207.24,441140.0
2019-05-23,205.67,206.35,203.37,205.05,560673.0
2019-05-24,205.74,208.39,205.74,206.25,435951.0
2019-05-25,205.74,208.39,205.74,206.25,435951.0
2019-05-26,205.74,208.39,205.74,206.25,435951.0
2019-05-27,205.74,208.39,205.74,206.25,435951.0
2019-05-28,205.56,208.96,203.98,204.72,771731.0
2019-05-29,203.29,205.43,200.88,201.26,637260.0
2019-05-30,201.91,202.855,200.48,201.31,412440.0
2019-05-31,200.71,203.66,200.23,200.71,526005.0
2019-06-01,200.71,203.66,200.23,200.71,526005.0
2019-06-02,200.71,203.66,200.23,200.71,526005.0
2019-06-03,201.02,203.575,199.11,199.58,575310.0
2019-06-04,200.69,201.86,199.36,201.86,592313.0
2019-06-05,203.08,207.61,203.08,206.45,534825.0
2019-06-06,206.58,209.36,206.41,207.03,712336.0
2019-06-07,209.0,210.14,208.15,208.77,345721.0
2019-06-08,209.0,210.14,208.15,208.77,345721.0
2019-06-09,209.0,210.14,208.15,208.77,345721.0
2019-06-10,208.98,211.58,208.7,210.48,389260.0
2019-06-11,212.57,212.57,207.47,207.89,558596.0
2019-06-12,205.53,205.53,201.85,204.36,870149.0
2019-06-13,205.02,205.275,202.52,204.01,695665.0
2019-06-14,204.8,205.0,202.84,203.2,502881.0
2019-06-15,204.8,205.0,202.84,203.2,502881.0
2019-06-16,204.8,205.0,202.84,203.2,502881.0
2019-06-17,204.4,206.535,203.86,204.5,685045.0
2019-06-18,205.82,209.28,204.21,208.04,565579.0
2019-06-19,207.0,210.81,207.0,210.39,611489.0
2019-06-20,212.45,214.54,210.42,211.83,604221.0
2019-06-21,212.15,213.42,210.37,212.81,993464.0
2019-06-22,212.15,213.42,210.37,212.81,993464.0
2019-06-23,212.15,213.42,210.37,212.81,993464.0
2019-06-24,212.56,213.71,211.15,212.39,588501.0
2019-06-25,213.02,215.33,211.105,211.26,539637.0
2019-06-26,211.33,211.58,208.225,211.05,527727.0
2019-06-27,212.36,214.4,211.805,213.47,617946.0
2019-06-28,213.95,215.335,212.73,215.24,870143.0
2019-06-29,213.95,215.335,212.73,215.24,870143.0
2019-06-30,213.95,215.335,212.73,215.24,870143.0
2019-07-01,218.61,221.72,217.64,219.18,717194.0
2019-07-02,219.59,219.63,216.34,217.2,627570.0
2019-07-03,217.57,222.675,217.34,221.68,388927.0
2019-07-04,217.57,222.675,217.34,221.68,388927.0
2019-07-05,221.7,221.96,218.03,220.23,505761.0
2019-07-06,221.7,221.96,218.03,220.23,505761.0
2019-07-07,221.7,221.96,218.03,220.23,505761.0
2019-07-08,219.54,220.41,216.675,217.15,530581.0
2019-07-09,216.44,218.08,216.23,216.99,736991.0
2019-07-10,217.67,219.197,217.03,217.27,573120.0
2019-07-11,217.99,218.06,213.93,216.85,573808.0
2019-07-12,213.75,218.3,212.58,217.13,624329.0
2019-07-13,213.75,218.3,212.58,217.13,624329.0
2019-07-14,213.75,218.3,212.58,217.13,624329.0
2019-07-15,217.25,217.46,215.47,216.62,573400.0
2019-07-16,213.5,216.595,213.49,214.81,532628.0
2019-07-17,213.96,214.92,210.98,212.81,740303.0
2019-07-18,213.31,215.52,212.53,214.81,532365.0
2019-07-19,215.66,217.0,213.69,213.72,560161.0
2019-07-20,215.66,217.0,213.69,213.72,560161.0
2019-07-21,215.66,217.0,213.69,213.72,560161.0
2019-07-22,214.16,217.84,213.45,216.01,420470.0
2019-07-23,216.69,219.28,215.61,218.61,437286.0
2019-07-24,217.29,218.56,216.045,218.5,587201.0
2019-07-25,218.06,219.0,217.23,218.25,344293.0
2019-07-26,218.92,219.905,217.29,217.63,623813.0
2019-07-27,218.92,219.905,217.29,217.63,623813.0
2019-07-28,218.92,219.905,217.29,217.63,623813.0
2019-07-29,218.08,220.405,217.723,219.14,804433.0
2019-07-30,209.94,217.59,207.95,213.32,1168906.0
2019-07-31,214.0,217.0,210.3,210.56,675784.0
2019-08-01,211.22,214.26,209.79,211.76,553715.0
2019-08-02,211.88,211.88,207.675,209.52,471952.0
2019-08-03,211.88,211.88,207.675,209.52,471952.0
2019-08-04,211.88,211.88,207.675,209.52,471952.0
2019-08-05,205.43,207.47,202.55,204.31,644008.0
2019-08-06,206.36,209.69,205.705,209.61,521725.0
2019-08-07,207.32,211.33,205.85,210.35,541139.0
2019-08-08,211.05,213.22,210.415,212.97,399706.0
2019-08-09,211.95,213.37,210.53,212.01,490412.0
2019-08-10,211.95,213.37,210.53,212.01,490412.0
2019-08-11,211.95,213.37,210.53,212.01,490412.0
2019-08-12,211.02,211.25,205.38,205.83,590321.0
2019-08-13,205.32,209.82,204.78,208.08,548842.0
2019-08-14,205.41,206.09,199.87,200.04,560978.0
2019-08-15,201.95,203.275,200.56,202.26,463396.0
2019-08-16,203.99,207.09,202.91,205.54,651798.0
2019-08-17,203.99,207.09,202.91,205.54,651798.0
2019-08-18,203.99,207.09,202.91,205.54,651798.0
2019-08-19,207.6,210.945,207.5,209.87,542903.0
2019-08-20,209.29,210.835,207.4,207.53,376447.0
2019-08-21,209.19,210.95,207.68,210.18,287130.0
2019-08-22,210.96,211.98,208.4,209.99,362786.0
2019-08-23,209.52,211.61,204.1,204.96,657234.0
2019-08-24,209.52,211.61,204.1,204.96,657234.0
2019-08-25,209.52,211.61,204.1,204.96,657234.0
2019-08-26,206.12,206.91,202.04,203.05,449150.0
2019-08-27,204.11,205.05,202.68,204.19,370079.0
2019-08-28,203.5,206.63,202.02,206.35,281022.0
2019-08-29,209.17,211.67,208.51,210.92,437451.0
2019-08-30,212.3,213.87,211.34,211.89,497192.0
2019-08-31,212.3,213.87,211.34,211.89,497192.0
2019-09-01,212.3,213.87,211.34,211.89,497192.0
2019-09-02,212.3,213.87,211.34,211.89,497192.0
2019-09-03,210.42,213.43,209.32,211.59,640976.0
2019-09-04,213.71,214.61,210.41,212.19,466399.0
2019-09-05,214.33,219.11,214.13,218.12,607364.0
2019-09-06,219.1,219.1,216.5,217.24,482149.0
2019-09-07,219.1,219.1,216.5,217.24,482149.0
2019-09-08,219.1,219.1,216.5,217.24,482149.0
2019-09-09,217.8,217.8,213.34,217.07,373288.0
2019-09-10,216.57,223.27,215.61,223.19,607852.0
2019-09-11,224.2,234.815,224.2,231.26,845188.0
2019-09-12,233.61,237.51,232.78,232.78,690893.0
2019-09-13,231.95,234.9,229.9,232.13,481960.0
2019-09-14,231.95,234.9,229.9,232.13,481960.0
2019-09-15,231.95,234.9,229.9,232.13,481960.0
2019-09-16,230.14,232.25,230.14,231.52,478813.0
2019-09-17,231.57,231.66,228.61,228.69,439813.0
2019-09-18,228.6,228.97,225.78,228.34,519314.0
2019-09-19,228.11,229.21,227.51,228.7,521603.0
2019-09-20,228.9,231.67,228.28,228.7,1337490.0
2019-09-21,228.9,231.67,228.28,228.7,1337490.0
2019-09-22,228.9,231.67,228.28,228.7,1337490.0
2019-09-23,227.86,229.23,226.43,227.79,509717.0
2019-09-24,228.53,228.62,220.35,221.04,616055.0
2019-09-25,220.73,220.73,216.29,220.2,501982.0
2019-09-26,220.5,220.61,216.3,217.23,509446.0
2019-09-27,218.72,222.89,218.28,222.53,557813.0
2019-09-28,218.72,222.89,218.28,222.53,557813.0
2019-09-29,218.72,222.89,218.28,222.53,557813.0
2019-09-30,222.69,226.47,222.69,223.23,479435.0
2019-10-01,224.43,225.551,221.82,224.2,497707.0
2019-10-02,222.09,223.12,219.87,221.99,744024.0
2019-10-03,221.81,224.93,218.7,224.56,697304.0
2019-10-04,225.82,227.99,223.405,227.0,428776.0
2019-10-05,225.82,227.99,223.405,227.0,428776.0
2019-10-06,225.82,227.99,223.405,227.0,428776.0
2019-10-07,225.29,226.95,223.42,223.48,394021.0
2019-10-08,214.58,220.15,207.195,208.01,1026039.0
2019-10-09,207.21,209.2,205.57,208.35,628265.0
2019-10-10,208.39,212.03,207.69,211.3,599126.0
2019-10-11,215.21,216.45,212.75,213.62,538612.0
2019-10-12,215.21,216.45,212.75,213.62,538612.0
2019-10-13,215.21,216.45,212.75,213.62,538612.0
2019-10-14,213.27,216.61,212.68,213.87,575903.0
2019-10-15,215.26,216.89,215.14,215.39,376511.0
2019-10-16,214.33,215.92,212.88,213.59,329193.0
2019-10-17,214.55,216.1,214.47,214.76,325592.0
2019-10-18,215.28,216.8,214.44,215.75,348866.0
2019-10-19,215.28,216.8,214.44,215.75,348866.0
2019-10-20,215.28,216.8,214.44,215.75,348866.0
2019-10-21,217.13,217.43,215.69,217.34,499296.0
2019-10-22,218.54,221.43,216.82,219.08,635855.0
2019-10-23,219.81,220.03,212.81,214.47,818041.0
2019-10-24,214.09,216.37,212.98,215.85,641430.0
2019-10-25,215.07,220.07,214.52,218.11,447365.0
2019-10-26,215.07,220.07,214.52,218.11,447365.0
2019-10-27,215.07,220.07,214.52,218.11,447365.0
2019-10-28,218.25,222.5,218.25,220.11,658759.0
2019-10-29,205.89,214.72,204.58,214.29,1122061.0
2019-10-30,213.19,215.02,208.97,215.0,566806.0
2019-10-31,214.76,214.76,209.28,211.62,525027.0
2019-11-01,213.84,218.0,213.295,215.09,496173.0
2019-11-02,213.84,218.0,213.295,215.09,496173.0
2019-11-03,213.84,218.0,213.295,215.09,496173.0
2019-11-04,217.38,217.89,214.38,214.99,767978.0
2019-11-05,214.63,216.28,212.87,213.58,399948.0
2019-11-06,213.45,213.76,211.8,213.07,365413.0
2019-11-07,214.09,214.82,211.47,211.98,422985.0
2019-11-08,211.33,212.985,208.875,210.08,395453.0
2019-11-09,211.33,212.985,208.875,210.08,395453.0
2019-11-10,211.33,212.985,208.875,210.08,395453.0
2019-11-11,209.16,210.21,207.68,209.57,289717.0
2019-11-12,210.33,214.19,209.58,212.58,377358.0
2019-11-13,212.5,215.0,211.6,213.39,409469.0
2019-11-14,213.61,214.64,212.505,213.48,283131.0
2019-11-15,213.68,218.175,212.38,217.32,362567.0
2019-11-16,213.68,218.175,212.38,217.32,362567.0
2019-11-17,213.68,218.175,212.38,217.32,362567.0
2019-11-18,216.07,218.125,215.95,216.34,439051.0
2019-11-19,216.65,220.53,216.04,219.72,313131.0
2019-11-20,218.41,220.39,216.1,217.71,438712.0
2019-11-21,217.71,218.595,216.24,217.72,327854.0
2019-11-22,218.0,219.9,217.08,218.72,329276.0
2019-11-23,218.0,219.9,217.08,218.72,329276.0
2019-11-24,218.0,219.9,217.08,218.72,329276.0
2019-11-25,220.52,222.645,220.13,221.24,487284.0
2019-11-26,221.06,222.23,219.415,222.06,386701.0
2019-11-27,222.5,224.15,221.36,223.55,233938.0
2019-11-28,222.5,224.15,221.36,223.55,233938.0
2019-11-29,223.43,224.78,221.78,222.07,215820.0
2019-11-30,223.43,224.78,221.78,222.07,215820.0
2019-12-01,223.43,224.78,221.78,222.07,215820.0
2019-12-02,222.45,224.22,222.23,223.11,322428.0
2019-12-03,221.13,222.28,219.74,221.36,344687.0
2019-12-04,221.38,226.61,221.38,224.95,599365.0
2019-12-05,222.09,225.78,222.0,223.7,425108.0
2019-12-06,225.52,228.27,224.51,226.3,400653.0
2019-12-07,225.52,228.27,224.51,226.3,400653.0
2019-12-08,225.52,228.27,224.51,226.3,400653.0
2019-12-09,227.2,228.12,225.43,226.63,357949.0
2019-12-10,227.42,228.6,226.07,227.93,330318.0
2019-12-11,227.45,229.19,226.24,228.97,340591.0
2019-12-12,229.2,234.25,228.48,233.69,460098.0
2019-12-13,233.69,234.665,230.5,234.11,441225.0
2019-12-14,233.69,234.665,230.5,234.11,441225.0
2019-12-15,233.69,234.665,230.5,234.11,441225.0
2019-12-16,236.33,236.37,232.72,234.02,599953.0
2019-12-17,235.29,235.29,228.89,231.3,450337.0
2019-12-18,231.0,231.17,228.15,229.0,579236.0
2019-12-19,229.65,232.47,228.42,231.87,561692.0
2019-12-20,233.52,234.3,231.48,233.28,1189543.0
2019-12-21,233.52,234.3,231.48,233.28,1189543.0
2019-12-22,233.52,234.3,231.48,233.28,1189543.0
2019-12-23,234.01,234.31,232.0,232.99,403516.0
2019-12-24,233.43,234.55,232.26,233.09,232657.0
2019-12-25,233.43,234.55,232.26,233.09,232657.0
2019-12-26,233.2,234.43,232.95,233.26,280622.0
2019-12-27,233.73,234.56,232.16,233.76,284537.0
2019-12-28,233.73,234.56,232.16,233.76,284537.0
2019-12-29,233.73,234.56,232.16,233.76,284537.0
2019-12-30,233.73,234.95,232.73,233.19,246498.0
2019-12-31,233.14,234.65,233.12,233.65,340352.0
2020-01-01,233.14,234.65,233.12,233.65,340352.0
2020-01-02,234.93,236.29,233.32,235.06,408881.0
2020-01-03,231.54,233.83,229.93,231.01,389708.0
2020-01-04,231.54,233.83,229.93,231.01,389708.0
2020-01-05,231.54,233.83,229.93,231.01,389708.0
2020-01-06,229.67,230.45,228.26,228.88,406475.0
2020-01-07,226.29,232.06,226.29,231.98,424693.0
2020-01-08,221.0,230.18,217.57,226.35,682522.0
2020-01-09,227.83,229.04,226.37,228.8,466135.0
2020-01-10,230.19,232.005,229.75,230.88,451133.0
2020-01-11,230.19,232.005,229.75,230.88,451133.0
2020-01-12,230.19,232.005,229.75,230.88,451133.0
2020-01-13,231.15,231.51,228.6,228.82,386355.0
2020-01-14,228.82,234.225,227.455,232.08,478861.0
2020-01-15,232.53,235.69,231.48,234.36,445847.0
2020-01-16,235.69,237.79,234.84,237.61,362962.0
2020-01-17,238.14,239.99,236.22,239.6,472952.0
2020-01-18,238.14,239.99,236.22,239.6,472952.0
2020-01-19,238.14,239.99,236.22,239.6,472952.0
2020-01-20,238.14,239.99,236.22,239.6,472952.0
2020-01-21,239.39,245.36,238.8,243.67,735633.0
2020-01-22,244.61,245.68,243.45,244.09,409839.0
2020-01-23,242.98,243.68,239.07,241.93,517109.0
2020-01-24,242.69,243.015,236.205,237.53,513800.0
2020-01-25,242.69,243.015,236.205,237.53,513800.0
2020-01-26,242.69,243.015,236.205,237.53,513800.0
2020-01-27,233.81,236.06,231.72,232.37,537023.0
2020-01-28,233.0,237.38,231.9,235.86,411914.0
2020-01-29,236.72,237.21,233.99,234.01,316287.0
2020-01-30,231.78,231.78,226.69,228.81,781491.0
2020-01-31,228.32,229.6,222.545,223.79,537873.0
2020-02-01,228.32,229.6,222.545,223.79,537873.0
2020-02-02,228.32,229.6,222.545,223.79,537873.0
2020-02-03,227.15,229.089,224.345,226.05,626994.0
2020-02-04,214.49,224.59,214.49,219.08,1387507.0
2020-02-05,221.78,222.5,219.67,220.74,799676.0
2020-02-06,222.16,223.13,219.81,220.09,463792.0
2020-02-07,219.3,219.85,215.11,217.36,467829.0
2020-02-08,219.3,219.85,215.11,217.36,467829.0
2020-02-09,219.3,219.85,215.11,217.36,467829.0
2020-02-10,216.96,220.4,216.95,219.13,378468.0
2020-02-11,220.31,223.84,220.31,223.22,463018.0
2020-02-12,224.11,224.48,222.81,224.37,294678.0
2020-02-13,223.58,224.7,220.45,220.58,379261.0
2020-02-14,220.5,221.185,215.17,216.06,352841.0
2020-02-15,220.5,221.185,215.17,216.06,352841.0
2020-02-16,220.5,221.185,215.17,216.06,352841.0
2020-02-17,220.5,221.185,215.17,216.06,352841.0
2020-02-18,215.51,218.7,214.4,216.5,694433.0
2020-02-19,216.98,217.585,216.08,216.65,336884.0
2020-02-20,215.74,217.82,214.85,217.34,523202.0
2020-02-21,216.02,217.078,215.08,216.38,471146.0
2020-02-22,216.02,217.078,215.08,216.38,471146.0
2020-02-23,216.02,217.078,215.08,216.38,471146.0
2020-02-24,212.09,212.15,207.43,210.07,398388.0
2020-02-25,210.98,211.19,200.49,203.37,581177.0
2020-02-26,205.84,207.94,202.58,202.6,685380.0
2020-02-27,199.14,207.23,197.04,198.82,576881.0
2020-02-28,193.43,196.61,189.12,194.89,1167532.0
2020-02-29,193.43,196.61,189.12,194.89,1167532.0
2020-03-01,193.43,196.61,189.12,194.89,1167532.0
2020-03-02,195.28,202.82,191.51,202.7,961087.0
2020-03-03,202.77,207.39,199.08,201.47,719668.0
2020-03-04,204.67,208.69,201.43,208.44,466953.0
2020-03-05,203.47,203.47,196.83,198.92,731504.0
2020-03-06,194.36,200.3,193.69,200.0,596813.0
2020-03-07,194.36,200.3,193.69,200.0,596813.0
2020-03-08,194.36,200.3,193.69,200.0,596813.0
2020-03-09,189.76,193.67,187.62,190.59,691676.0
2020-03-10,195.76,196.77,186.98,196.72,559005.0
2020-03-11,191.78,191.78,182.84,184.1,661030.0
2020-03-12,172.22,182.48,166.22,167.05,1081754.0
2020-03-13,177.42,185.62,166.14,184.48,1024886.0
2020-03-14,177.42,185.62,166.14,184.48,1024886.0
2020-03-15,177.42,185.62,166.14,184.48,1024886.0
2020-03-16,164.2,181.19,163.01,173.92,740381.0
2020-03-17,177.19,190.45,172.22,183.27,1050663.0
2020-03-18,175.97,184.93,161.01,176.81,669937.0
2020-03-19,176.24,188.49,168.96,177.42,679593.0
2020-03-20,178.44,181.14,170.47,173.46,811717.0
2020-03-21,178.44,181.14,170.47,173.46,811717.0
2020-03-22,178.44,181.14,170.47,173.46,811717.0
2020-03-23,173.57,174.01,154.39,162.36,635433.0
2020-03-24,169.16,180.95,167.94,180.68,732663.0
2020-03-25,177.82,185.33,173.65,176.8,622634.0
2020-03-26,178.16,192.72,176.07,191.42,532585.0
2020-03-27,185.06,189.23,181.71,185.36,499094.0
2020-03-28,185.06,189.23,181.71,185.36,499094.0
2020-03-29,185.06,189.23,181.71,185.36,499094.0
2020-03-30,186.93,189.12,181.74,188.14,538763.0
2020-03-31,187.47,190.644,181.24,182.05,505053.0
2020-04-01,176.58,182.84,173.0,182.31,579837.0
2020-04-02,180.8,189.74,178.52,186.03,443610.0
2020-04-03,183.71,186.79,175.99,179.94,591148.0
2020-04-04,183.71,186.79,175.99,179.94,591148.0
2020-04-05,183.71,186.79,175.99,179.94,591148.0
2020-04-06,186.82,189.69,183.07,188.89,682374.0
2020-04-07,193.95,196.16,189.69,190.08,574105.0
2020-04-08,190.41,197.27,187.28,196.08,432255.0
2020-04-09,196.33,199.21,192.2,195.93,605956.0
2020-04-10,196.33,199.21,192.2,195.93,605956.0
2020-04-11,196.33,199.21,192.2,195.93,605956.0
2020-04-12,196.33,199.21,192.2,195.93,605956.0
2020-04-13,193.83,194.685,185.99,187.65,436037.0
2020-04-14,189.67,195.93,189.13,193.65,475341.0
2020-04-15,192.64,193.16,188.73,189.41,546060.0
2020-04-16,191.62,194.24,189.015,192.96,585179.0
2020-04-17,196.72,199.68,195.39,197.51,362817.0
2020-04-18,196.72,199.68,195.39,197.51,362817.0
2020-04-19,196.72,199.68,195.39,197.51,362817.0
2020-04-20,195.9,196.775,192.04,194.33,332307.0
2020-04-21,190.83,191.355,184.205,185.39,488537.0
2020-04-22,187.46,191.21,185.79,190.34,448773.0
2020-04-23,190.75,194.63,190.31,190.77,310828.0
2020-04-24,192.23,192.97,188.12,191.32,381464.0
2020-04-25,192.23,192.97,188.12,191.32,381464.0
2020-04-26,192.23,192.97,188.12,191.32,381464.0
2020-04-27,192.46,196.68,189.68,195.01,538093.0
2020-04-28,187.0,192.98,182.05,184.11,897194.0
2020-04-29,187.15,197.94,184.5,192.65,707467.0
2020-04-30,191.07,191.52,186.01,187.0,560626.0
2020-05-01,184.39,184.495,177.32,178.08,605250.0
2020-05-02,184.39,184.495,177.32,178.08,605250.0
2020-05-03,184.39,184.495,177.32,178.08,605250.0
2020-05-04,177.62,181.03,177.33,180.43,453657.0
2020-05-05,182.53,184.8,181.26,181.89,452869.0
2020-05-06,183.04,186.9,182.63,185.03,385924.0
2020-05-07,187.55,189.73,185.73,185.98,437900.0
2020-05-08,188.42,188.42,185.14,186.98,454768.0
