,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity,JAZZ US Equity
2019-04-19,128.27,129.88,126.3,128.44,567817.0
2019-04-20,128.27,129.88,126.3,128.44,567817.0
2019-04-21,128.27,129.88,126.3,128.44,567817.0
2019-04-22,128.29,128.915,125.42,125.97,544292.0
2019-04-23,126.59,130.74,126.59,129.78,951061.0
2019-04-24,130.91,130.91,128.585,129.42,521892.0
2019-04-25,129.0,129.36,127.51,128.53,451045.0
2019-04-26,128.34,131.24,128.0,130.99,379761.0
2019-04-27,128.34,131.24,128.0,130.99,379761.0
2019-04-28,128.34,131.24,128.0,130.99,379761.0
2019-04-29,130.96,132.44,129.93,131.05,343177.0
2019-04-30,130.96,131.0,128.691,129.77,307156.0
2019-05-01,129.92,131.61,128.86,129.62,350818.0
2019-05-02,129.2,130.09,127.41,129.57,390312.0
2019-05-03,130.46,133.0,129.97,132.32,371993.0
2019-05-04,130.46,133.0,129.97,132.32,371993.0
2019-05-05,130.46,133.0,129.97,132.32,371993.0
2019-05-06,131.83,133.49,128.5,132.81,392692.0
2019-05-07,132.08,132.94,128.26,128.65,571429.0
2019-05-08,134.1,142.0,133.72,140.59,1344146.0
2019-05-09,139.99,140.6,136.755,139.88,521359.0
2019-05-10,139.87,140.7,137.12,139.17,516413.0
2019-05-11,139.87,140.7,137.12,139.17,516413.0
2019-05-12,139.87,140.7,137.12,139.17,516413.0
2019-05-13,136.89,137.57,134.55,135.79,367916.0
2019-05-14,136.37,137.86,135.07,136.3,350906.0
2019-05-15,135.66,139.205,135.315,138.31,390709.0
2019-05-16,138.36,140.71,137.51,139.37,292916.0
2019-05-17,138.7,140.83,138.42,139.16,271119.0
2019-05-18,138.7,140.83,138.42,139.16,271119.0
2019-05-19,138.7,140.83,138.42,139.16,271119.0
2019-05-20,138.26,140.49,136.52,138.33,330460.0
2019-05-21,138.21,141.36,138.06,139.91,447724.0
2019-05-22,140.62,141.59,139.839,140.92,647206.0
2019-05-23,140.0,140.05,136.41,137.42,496489.0
2019-05-24,138.22,138.87,135.85,136.76,544443.0
2019-05-25,138.22,138.87,135.85,136.76,544443.0
2019-05-26,138.22,138.87,135.85,136.76,544443.0
2019-05-27,138.22,138.87,135.85,136.76,544443.0
2019-05-28,136.64,137.27,132.82,133.25,719637.0
2019-05-29,132.4,133.02,129.78,131.86,585750.0
2019-05-30,132.33,132.52,127.585,128.0,515857.0
2019-05-31,126.67,126.67,124.09,125.55,556475.0
2019-06-01,126.67,126.67,124.09,125.55,556475.0
2019-06-02,126.67,126.67,124.09,125.55,556475.0
2019-06-03,125.87,128.17,125.59,127.14,475615.0
2019-06-04,127.69,130.61,127.69,130.08,651130.0
2019-06-05,130.51,131.2,128.69,130.4,604572.0
2019-06-06,130.38,131.415,128.66,128.77,393985.0
2019-06-07,129.59,131.575,129.01,130.97,349780.0
2019-06-08,129.59,131.575,129.01,130.97,349780.0
2019-06-09,129.59,131.575,129.01,130.97,349780.0
2019-06-10,131.21,132.49,128.67,129.15,494913.0
2019-06-11,130.32,131.065,128.46,128.55,499372.0
2019-06-12,128.14,129.57,126.8,128.52,674939.0
2019-06-13,129.09,130.64,128.31,130.31,390923.0
2019-06-14,130.21,130.88,128.94,130.43,510998.0
2019-06-15,130.21,130.88,128.94,130.43,510998.0
2019-06-16,130.21,130.88,128.94,130.43,510998.0
2019-06-17,130.92,130.92,126.57,129.08,690315.0
2019-06-18,130.11,133.23,128.96,132.16,412075.0
2019-06-19,132.3,134.0,131.05,133.77,456586.0
2019-06-20,134.75,137.13,134.155,135.36,516638.0
2019-06-21,135.08,135.43,131.22,134.37,706011.0
2019-06-22,135.08,135.43,131.22,134.37,706011.0
2019-06-23,135.08,135.43,131.22,134.37,706011.0
2019-06-24,134.37,134.37,130.6,131.31,484636.0
2019-06-25,131.9,138.15,130.66,136.5,686955.0
2019-06-26,136.9,138.34,134.78,136.82,523777.0
2019-06-27,136.88,139.1,136.62,138.1,313027.0
2019-06-28,138.47,142.7,138.07,142.56,983415.0
2019-06-29,138.47,142.7,138.07,142.56,983415.0
2019-06-30,138.47,142.7,138.07,142.56,983415.0
2019-07-01,143.43,144.28,141.03,142.22,351609.0
2019-07-02,141.37,143.58,140.97,143.21,465662.0
2019-07-03,143.18,143.83,141.67,143.24,290474.0
2019-07-04,143.18,143.83,141.67,143.24,290474.0
2019-07-05,142.43,144.64,140.62,141.07,254496.0
2019-07-06,142.43,144.64,140.62,141.07,254496.0
2019-07-07,142.43,144.64,140.62,141.07,254496.0
2019-07-08,140.69,142.26,139.05,140.91,464840.0
2019-07-09,139.92,143.14,139.92,142.71,452462.0
2019-07-10,142.16,143.04,141.02,141.75,421827.0
2019-07-11,140.87,141.32,136.49,138.23,563477.0
2019-07-12,138.46,138.665,131.36,133.13,613349.0
2019-07-13,138.46,138.665,131.36,133.13,613349.0
2019-07-14,138.46,138.665,131.36,133.13,613349.0
2019-07-15,133.67,135.06,132.14,134.92,368091.0
2019-07-16,135.04,137.34,134.39,136.61,260529.0
2019-07-17,136.95,138.22,135.86,137.62,279215.0
2019-07-18,137.76,139.37,135.681,138.23,413668.0
2019-07-19,138.0,138.5,133.25,136.62,537646.0
2019-07-20,138.0,138.5,133.25,136.62,537646.0
2019-07-21,138.0,138.5,133.25,136.62,537646.0
2019-07-22,136.87,137.96,133.6,133.65,379314.0
2019-07-23,133.9,135.89,132.41,133.52,323350.0
2019-07-24,133.82,136.35,132.79,136.19,235059.0
2019-07-25,137.09,137.335,135.11,136.0,380819.0
2019-07-26,136.89,138.45,136.15,138.05,500399.0
2019-07-27,136.89,138.45,136.15,138.05,500399.0
2019-07-28,136.89,138.45,136.15,138.05,500399.0
2019-07-29,139.02,140.44,136.79,138.76,225640.0
2019-07-30,137.66,141.57,136.96,141.48,265113.0
2019-07-31,140.86,142.8,139.0,139.38,384086.0
2019-08-01,139.28,142.23,137.74,141.5,481455.0
2019-08-02,141.33,142.2,138.6,139.66,391557.0
2019-08-03,141.33,142.2,138.6,139.66,391557.0
2019-08-04,141.33,142.2,138.6,139.66,391557.0
2019-08-05,138.26,138.61,134.49,135.5,460999.0
2019-08-06,136.17,141.74,136.17,141.16,757859.0
2019-08-07,139.0,139.0,130.06,136.68,973543.0
2019-08-08,137.32,138.6,135.16,137.12,394471.0
2019-08-09,135.65,138.0,134.99,137.37,342298.0
2019-08-10,135.65,138.0,134.99,137.37,342298.0
2019-08-11,135.65,138.0,134.99,137.37,342298.0
2019-08-12,136.64,138.1,135.8,136.67,319919.0
2019-08-13,135.13,138.55,135.13,136.79,399987.0
2019-08-14,134.64,134.98,132.76,133.35,279880.0
2019-08-15,133.32,133.32,129.22,131.39,567797.0
2019-08-16,131.84,135.49,131.84,134.83,246118.0
2019-08-17,131.84,135.49,131.84,134.83,246118.0
2019-08-18,131.84,135.49,131.84,134.83,246118.0
2019-08-19,135.94,137.88,135.75,135.75,364787.0
2019-08-20,135.81,138.45,135.635,136.45,331920.0
2019-08-21,130.7,135.9,130.048,133.85,501606.0
2019-08-22,134.37,134.74,130.34,130.82,307323.0
2019-08-23,131.29,131.75,128.52,129.0,363328.0
2019-08-24,131.29,131.75,128.52,129.0,363328.0
2019-08-25,131.29,131.75,128.52,129.0,363328.0
2019-08-26,129.92,131.12,127.83,128.99,441592.0
2019-08-27,129.94,130.19,123.32,125.18,631941.0
2019-08-28,124.66,126.82,124.48,126.49,742768.0
2019-08-29,127.41,128.685,127.008,127.78,344293.0
2019-08-30,127.75,128.41,124.78,128.15,502927.0
2019-08-31,127.75,128.41,124.78,128.15,502927.0
2019-09-01,127.75,128.41,124.78,128.15,502927.0
2019-09-02,127.75,128.41,124.78,128.15,502927.0
2019-09-03,127.89,129.04,126.505,126.92,354137.0
2019-09-04,127.34,127.82,125.4,126.59,387074.0
2019-09-05,127.6,127.69,125.6,126.78,483616.0
2019-09-06,127.1,127.22,125.78,126.46,546771.0
2019-09-07,127.1,127.22,125.78,126.46,546771.0
2019-09-08,127.1,127.22,125.78,126.46,546771.0
2019-09-09,126.2,127.13,124.45,125.29,677225.0
2019-09-10,124.82,128.68,123.59,127.16,1425490.0
2019-09-11,128.35,133.69,127.02,133.35,625233.0
2019-09-12,134.1,134.36,130.85,131.45,339505.0
2019-09-13,131.36,133.89,130.737,131.41,691237.0
2019-09-14,131.36,133.89,130.737,131.41,691237.0
2019-09-15,131.36,133.89,130.737,131.41,691237.0
2019-09-16,131.42,134.68,131.34,134.01,370345.0
2019-09-17,134.21,134.21,131.45,131.77,472729.0
2019-09-18,131.21,131.937,129.5,130.49,462406.0
2019-09-19,130.02,130.66,128.95,129.25,468645.0
2019-09-20,130.03,132.06,128.76,129.21,741147.0
2019-09-21,130.03,132.06,128.76,129.21,741147.0
2019-09-22,130.03,132.06,128.76,129.21,741147.0
2019-09-23,129.13,130.49,128.02,129.23,480258.0
2019-09-24,129.87,133.09,128.675,132.91,667987.0
2019-09-25,133.18,134.0,130.14,130.95,422815.0
2019-09-26,129.5,132.53,128.37,128.39,432395.0
2019-09-27,128.34,128.88,126.23,127.26,345233.0
2019-09-28,128.34,128.88,126.23,127.26,345233.0
2019-09-29,128.34,128.88,126.23,127.26,345233.0
2019-09-30,127.61,129.433,126.45,128.14,328071.0
2019-10-01,128.43,130.25,126.13,126.66,252381.0
2019-10-02,126.2,126.4,123.78,124.36,309822.0
2019-10-03,125.13,126.53,124.46,126.3,473269.0
2019-10-04,126.74,128.49,125.38,125.85,355540.0
2019-10-05,126.74,128.49,125.38,125.85,355540.0
2019-10-06,126.74,128.49,125.38,125.85,355540.0
2019-10-07,125.49,126.53,124.52,125.59,498001.0
2019-10-08,119.48,121.99,117.87,118.58,819469.0
2019-10-09,119.45,121.1,118.54,118.91,538268.0
2019-10-10,118.77,120.11,117.91,117.96,330548.0
2019-10-11,119.49,121.675,118.51,118.67,414359.0
2019-10-12,119.49,121.675,118.51,118.67,414359.0
2019-10-13,119.49,121.675,118.51,118.67,414359.0
2019-10-14,118.22,119.164,116.52,117.65,915710.0
2019-10-15,117.94,118.885,117.105,118.05,1221934.0
2019-10-16,118.46,121.99,117.51,119.77,642140.0
2019-10-17,120.33,122.17,120.0,121.13,344696.0
2019-10-18,120.88,122.11,118.26,119.65,526611.0
2019-10-19,120.88,122.11,118.26,119.65,526611.0
2019-10-20,120.88,122.11,118.26,119.65,526611.0
2019-10-21,120.35,122.05,119.275,121.07,438237.0
2019-10-22,122.08,123.69,121.83,122.56,299056.0
2019-10-23,122.82,124.86,121.81,124.79,371138.0
2019-10-24,124.19,124.99,122.71,123.49,208659.0
2019-10-25,123.24,124.91,122.28,123.85,252504.0
2019-10-26,123.24,124.91,122.28,123.85,252504.0
2019-10-27,123.24,124.91,122.28,123.85,252504.0
2019-10-28,124.42,125.26,123.55,124.28,286124.0
2019-10-29,124.59,127.32,123.55,126.85,484520.0
2019-10-30,127.1,127.86,125.86,126.23,265845.0
2019-10-31,126.12,126.865,125.02,125.63,329512.0
2019-11-01,125.89,128.27,125.13,127.02,409215.0
2019-11-02,125.89,128.27,125.13,127.02,409215.0
2019-11-03,125.89,128.27,125.13,127.02,409215.0
2019-11-04,128.18,128.86,127.25,128.62,456675.0
2019-11-05,128.63,130.1,127.78,127.8,630870.0
2019-11-06,128.16,130.44,125.79,127.27,1275884.0
2019-11-07,127.6,128.63,125.41,125.96,618153.0
2019-11-08,125.47,130.53,124.01,130.14,747580.0
2019-11-09,125.47,130.53,124.01,130.14,747580.0
2019-11-10,125.47,130.53,124.01,130.14,747580.0
2019-11-11,130.0,131.9,128.91,130.88,427184.0
2019-11-12,130.36,133.44,129.99,132.33,406441.0
2019-11-13,131.87,134.323,131.87,133.31,437451.0
2019-11-14,132.89,134.51,132.0,133.82,539375.0
2019-11-15,134.33,138.83,133.25,138.64,543059.0
2019-11-16,134.33,138.83,133.25,138.64,543059.0
2019-11-17,134.33,138.83,133.25,138.64,543059.0
2019-11-18,138.06,139.0,137.45,138.62,532174.0
2019-11-19,139.11,141.93,138.8,138.9,605700.0
2019-11-20,138.39,141.65,138.39,140.65,831805.0
2019-11-21,140.39,143.11,139.823,142.63,756563.0
2019-11-22,142.84,147.03,142.64,146.29,780348.0
2019-11-23,142.84,147.03,142.64,146.29,780348.0
2019-11-24,142.84,147.03,142.64,146.29,780348.0
2019-11-25,145.1,149.04,144.84,147.66,827508.0
2019-11-26,147.54,149.71,146.99,149.41,788036.0
2019-11-27,150.0,152.81,149.22,150.11,663134.0
2019-11-28,150.0,152.81,149.22,150.11,663134.0
2019-11-29,149.86,153.0,149.22,151.12,334933.0
2019-11-30,149.86,153.0,149.22,151.12,334933.0
2019-12-01,149.86,153.0,149.22,151.12,334933.0
2019-12-02,150.0,153.03,149.58,150.38,877497.0
2019-12-03,147.13,148.24,144.37,146.45,1160985.0
2019-12-04,147.0,148.79,146.32,148.16,584492.0
2019-12-05,149.84,150.27,147.56,148.1,510282.0
2019-12-06,149.42,150.36,147.45,149.46,409676.0
2019-12-07,149.42,150.36,147.45,149.46,409676.0
2019-12-08,149.42,150.36,147.45,149.46,409676.0
2019-12-09,149.12,151.92,148.77,151.34,523109.0
2019-12-10,151.38,151.91,149.21,150.06,519270.0
2019-12-11,150.32,150.5,147.87,148.12,401151.0
2019-12-12,147.54,150.53,147.54,149.9,431646.0
2019-12-13,149.79,150.38,147.55,147.88,527645.0
2019-12-14,149.79,150.38,147.55,147.88,527645.0
2019-12-15,149.79,150.38,147.55,147.88,527645.0
2019-12-16,149.37,150.42,148.06,148.8,357898.0
2019-12-17,149.22,149.57,146.425,149.3,370357.0
2019-12-18,149.23,150.32,147.65,148.39,632433.0
2019-12-19,149.62,152.69,148.715,152.27,617484.0
2019-12-20,153.0,153.88,152.5,153.25,568364.0
2019-12-21,153.0,153.88,152.5,153.25,568364.0
2019-12-22,153.0,153.88,152.5,153.25,568364.0
2019-12-23,153.95,154.13,152.75,153.16,522147.0
2019-12-24,153.57,154.24,153.09,153.73,102041.0
2019-12-25,153.57,154.24,153.09,153.73,102041.0
2019-12-26,153.62,154.106,152.02,152.63,202999.0
2019-12-27,152.45,152.65,150.72,150.93,212429.0
2019-12-28,152.45,152.65,150.72,150.93,212429.0
2019-12-29,152.45,152.65,150.72,150.93,212429.0
2019-12-30,151.32,151.505,148.36,148.65,192278.0
2019-12-31,148.09,149.8,147.51,149.28,253631.0
2020-01-01,148.09,149.8,147.51,149.28,253631.0
2020-01-02,149.51,150.0,146.87,148.43,367121.0
2020-01-03,146.31,147.76,145.775,146.09,356658.0
2020-01-04,146.31,147.76,145.775,146.09,356658.0
2020-01-05,146.31,147.76,145.775,146.09,356658.0
2020-01-06,145.02,145.9,141.28,145.84,670754.0
2020-01-07,145.84,146.0,143.62,144.28,373252.0
2020-01-08,143.99,144.9,142.68,144.12,373921.0
2020-01-09,144.52,145.77,144.14,145.59,534266.0
2020-01-10,146.27,147.86,145.88,146.68,738829.0
2020-01-11,146.27,147.86,145.88,146.68,738829.0
2020-01-12,146.27,147.86,145.88,146.68,738829.0
2020-01-13,146.78,147.97,143.92,145.85,646693.0
2020-01-14,146.21,150.31,145.395,150.23,428978.0
2020-01-15,150.08,153.15,150.08,152.74,966473.0
2020-01-16,152.61,153.38,149.02,151.59,520277.0
2020-01-17,152.95,153.14,150.68,151.05,520030.0
2020-01-18,152.95,153.14,150.68,151.05,520030.0
2020-01-19,152.95,153.14,150.68,151.05,520030.0
2020-01-20,152.95,153.14,150.68,151.05,520030.0
2020-01-21,150.6,151.64,149.79,150.35,329319.0
2020-01-22,150.19,152.24,149.67,150.47,394320.0
2020-01-23,150.56,150.84,148.14,149.1,354905.0
2020-01-24,149.93,149.98,145.3,145.74,370033.0
2020-01-25,149.93,149.98,145.3,145.74,370033.0
2020-01-26,149.93,149.98,145.3,145.74,370033.0
2020-01-27,144.18,145.01,142.335,144.35,490226.0
2020-01-28,144.35,146.6,144.31,146.0,475311.0
2020-01-29,146.42,148.02,146.04,146.74,446506.0
2020-01-30,146.06,147.01,144.875,145.29,445254.0
2020-01-31,144.56,145.785,142.91,143.35,710211.0
2020-02-01,144.56,145.785,142.91,143.35,710211.0
2020-02-02,144.56,145.785,142.91,143.35,710211.0
2020-02-03,143.83,145.74,141.37,141.55,385770.0
2020-02-04,142.28,143.85,141.63,141.9,339522.0
2020-02-05,143.1,146.172,140.45,144.63,643385.0
2020-02-06,146.07,148.41,145.61,146.05,492013.0
2020-02-07,145.65,146.3,142.313,142.54,276466.0
2020-02-08,145.65,146.3,142.313,142.54,276466.0
2020-02-09,145.65,146.3,142.313,142.54,276466.0
2020-02-10,142.08,144.13,141.02,143.4,354385.0
2020-02-11,143.52,145.06,143.52,144.38,309598.0
2020-02-12,144.43,145.11,142.42,143.04,456379.0
2020-02-13,142.18,143.21,141.34,141.93,298036.0
2020-02-14,142.37,142.37,140.2,140.85,350561.0
2020-02-15,142.37,142.37,140.2,140.85,350561.0
2020-02-16,142.37,142.37,140.2,140.85,350561.0
2020-02-17,142.37,142.37,140.2,140.85,350561.0
2020-02-18,140.4,141.299,136.55,136.83,415455.0
2020-02-19,136.84,138.85,136.655,137.62,522200.0
2020-02-20,137.25,137.39,135.03,135.5,720688.0
2020-02-21,135.38,135.72,133.38,134.82,435258.0
2020-02-22,135.38,135.72,133.38,134.82,435258.0
2020-02-23,135.38,135.72,133.38,134.82,435258.0
2020-02-24,131.54,134.27,130.15,130.86,570316.0
2020-02-25,131.13,132.18,126.418,127.25,679441.0
2020-02-26,111.0,120.62,111.0,116.59,1895799.0
2020-02-27,115.01,119.14,111.32,113.1,1040649.0
2020-02-28,109.99,114.98,109.035,114.58,1427967.0
2020-02-29,109.99,114.98,109.035,114.58,1427967.0
2020-03-01,109.99,114.98,109.035,114.58,1427967.0
2020-03-02,114.98,125.13,111.21,125.11,1378453.0
2020-03-03,124.83,127.01,114.115,115.29,1522730.0
2020-03-04,118.67,125.71,117.92,125.12,1596743.0
2020-03-05,121.53,125.35,121.0,124.5,867448.0
2020-03-06,119.14,122.95,117.9,119.74,856042.0
2020-03-07,119.14,122.95,117.9,119.74,856042.0
2020-03-08,119.14,122.95,117.9,119.74,856042.0
2020-03-09,114.59,114.59,108.35,110.45,772878.0
2020-03-10,114.27,116.02,107.75,112.79,892090.0
2020-03-11,110.15,112.2,106.22,108.04,790712.0
2020-03-12,102.17,109.72,101.0,104.55,1246878.0
2020-03-13,108.67,111.81,101.701,111.35,1119609.0
2020-03-14,108.67,111.81,101.701,111.35,1119609.0
2020-03-15,108.67,111.81,101.701,111.35,1119609.0
2020-03-16,104.29,109.51,99.25,99.3,919025.0
2020-03-17,100.01,111.15,98.4,105.83,833290.0
2020-03-18,101.35,106.68,98.57,105.89,797631.0
2020-03-19,105.72,112.7,102.86,104.76,1217975.0
2020-03-20,104.36,109.24,94.19,96.13,966183.0
2020-03-21,104.36,109.24,94.19,96.13,966183.0
2020-03-22,104.36,109.24,94.19,96.13,966183.0
2020-03-23,97.81,100.12,86.88,87.74,991909.0
2020-03-24,90.15,98.87,89.395,95.62,620226.0
2020-03-25,96.0,100.33,94.16,95.64,708044.0
2020-03-26,95.18,103.22,95.18,100.74,561624.0
2020-03-27,97.26,99.735,96.42,96.96,524831.0
2020-03-28,97.26,99.735,96.42,96.96,524831.0
2020-03-29,97.26,99.735,96.42,96.96,524831.0
2020-03-30,98.44,101.59,97.24,99.6,590509.0
2020-03-31,99.27,102.565,99.04,99.74,732440.0
2020-04-01,97.01,99.75,95.08,95.68,741231.0
2020-04-02,96.88,100.42,95.03,99.53,711440.0
2020-04-03,99.04,102.84,97.14,98.76,566615.0
2020-04-04,99.04,102.84,97.14,98.76,566615.0
2020-04-05,99.04,102.84,97.14,98.76,566615.0
2020-04-06,102.16,106.61,100.08,105.77,622321.0
2020-04-07,107.61,109.18,104.6,105.22,473099.0
2020-04-08,105.72,109.52,105.4,108.47,436094.0
2020-04-09,109.09,111.3,107.81,109.69,388762.0
2020-04-10,109.09,111.3,107.81,109.69,388762.0
2020-04-11,109.09,111.3,107.81,109.69,388762.0
2020-04-12,109.09,111.3,107.81,109.69,388762.0
2020-04-13,108.5,109.48,106.9,108.91,358911.0
2020-04-14,110.64,112.35,109.775,111.07,432723.0
2020-04-15,108.09,111.99,107.51,108.1,458341.0
2020-04-16,108.64,109.62,106.05,107.35,919219.0
2020-04-17,110.21,112.17,109.1,111.19,508021.0
2020-04-18,110.21,112.17,109.1,111.19,508021.0
2020-04-19,110.21,112.17,109.1,111.19,508021.0
2020-04-20,108.95,111.25,107.06,108.78,658136.0
2020-04-21,107.54,107.765,102.56,103.25,402025.0
2020-04-22,105.19,105.19,102.36,102.44,273841.0
2020-04-23,103.25,107.0,102.92,104.74,414783.0
2020-04-24,105.58,107.5,105.0,107.15,396030.0
2020-04-25,105.58,107.5,105.0,107.15,396030.0
2020-04-26,105.58,107.5,105.0,107.15,396030.0
2020-04-27,107.96,111.45,107.37,110.1,725679.0
2020-04-28,110.1,112.96,108.76,112.38,645060.0
2020-04-29,114.24,115.74,112.87,114.39,469879.0
2020-04-30,111.0,111.82,109.175,110.25,583264.0
2020-05-01,108.56,109.68,106.73,109.59,416513.0
2020-05-02,108.56,109.68,106.73,109.59,416513.0
2020-05-03,108.56,109.68,106.73,109.59,416513.0
2020-05-04,108.94,110.12,106.77,108.73,472397.0
2020-05-05,110.0,112.15,109.57,110.41,527266.0
2020-05-06,104.03,114.87,104.0,113.3,850411.0
2020-05-07,114.65,114.65,109.41,109.45,449126.0
