,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-04-28,493.91,504.42,493.91,501.08,95305.0
2019-04-29,501.08,502.58,494.94,497.94,165176.0
2019-04-30,509.99,509.99,493.5505,496.22,194590.0
2019-05-01,496.51,502.7,491.95,494.87,218690.0
2019-05-02,497.8,499.04,489.235,493.56,70645.0
2019-05-03,497.3,500.9275,494.8,497.5,91105.0
2019-05-04,497.3,500.9275,494.8,497.5,91105.0
2019-05-05,497.3,500.9275,494.8,497.5,91105.0
2019-05-06,490.53,498.977,490.07,497.0,114064.0
2019-05-07,494.97,495.11,483.71,487.82,112049.0
2019-05-08,488.88,492.39,486.05,486.45,90598.0
2019-05-09,483.81,490.15,477.73,489.75,100941.0
2019-05-10,488.0,491.49,480.47,486.38,89281.0
2019-05-11,488.0,491.49,480.47,486.38,89281.0
2019-05-12,488.0,491.49,480.47,486.38,89281.0
2019-05-13,477.11,478.83,471.375,473.48,128345.0
2019-05-14,474.35,474.35,456.63,467.72,209161.0
2019-05-15,465.87,465.87,460.865,462.03,97016.0
2019-05-16,465.36,483.615,464.985,476.66,111037.0
2019-05-17,472.53,481.88,471.15,471.49,94541.0
2019-05-18,472.53,481.88,471.15,471.49,94541.0
2019-05-19,472.53,481.88,471.15,471.49,94541.0
2019-05-20,467.0,475.33,467.0,471.11,52679.0
2019-05-21,472.27,478.62,472.27,477.13,71427.0
2019-05-22,476.61,478.395,468.24,470.12,84556.0
2019-05-23,466.01,470.59,461.5,463.36,103543.0
2019-05-24,467.35,473.95,466.0,473.04,160791.0
2019-05-25,467.35,473.95,466.0,473.04,160791.0
2019-05-26,467.35,473.95,466.0,473.04,160791.0
2019-05-27,467.35,473.95,466.0,473.04,160791.0
2019-05-28,471.71,476.3,461.6,462.53,156707.0
2019-05-29,460.46,467.52,458.67,466.59,105781.0
2019-05-30,468.0,469.1,460.99,463.04,66113.0
2019-05-31,457.62,459.58,454.39,456.39,67508.0
2019-06-01,457.62,459.58,454.39,456.39,67508.0
2019-06-02,457.62,459.58,454.39,456.39,67508.0
2019-06-03,457.25,469.97,456.53,468.39,92954.0
2019-06-04,473.0,483.96,469.39,482.88,113699.0
2019-06-05,484.54,485.06,476.97,478.17,58985.0
2019-06-06,478.55,484.94,476.8,481.63,83407.0
2019-06-07,484.0,494.15,483.99,491.62,83831.0
2019-06-08,484.0,494.15,483.99,491.62,83831.0
2019-06-09,484.0,494.15,483.99,491.62,83831.0
2019-06-10,493.1,495.36,486.54,489.14,60553.0
2019-06-11,490.41,491.16,479.915,484.89,80873.0
2019-06-12,483.96,490.06,478.78,488.17,67010.0
2019-06-13,489.2,492.7,487.46,489.7,71973.0
2019-06-14,490.48,490.48,483.39,486.59,58207.0
2019-06-15,490.48,490.48,483.39,486.59,58207.0
2019-06-16,490.48,490.48,483.39,486.59,58207.0
2019-06-17,487.06,489.28,483.46,488.44,54443.0
2019-06-18,490.0,492.675,475.35,477.38,122896.0
2019-06-19,480.02,480.1,460.74,477.28,176032.0
2019-06-20,481.54,487.26,479.13,483.53,91643.0
2019-06-21,481.32,485.595,474.4,481.48,96511.0
2019-06-22,481.32,485.595,474.4,481.48,96511.0
2019-06-23,481.32,485.595,474.4,481.48,96511.0
2019-06-24,481.43,484.49,470.55,474.08,60529.0
2019-06-25,473.57,474.4,465.03,469.63,159106.0
2019-06-26,472.38,480.5,467.85,475.6,196676.0
2019-06-27,476.76,479.94,472.22,473.96,91497.0
2019-06-28,476.34,484.72,472.31,483.83,143507.0
2019-06-29,476.34,484.72,472.31,483.83,143507.0
2019-06-30,476.34,484.72,472.31,483.83,143507.0
2019-07-01,487.57,487.66,479.985,482.17,69515.0
2019-07-02,483.31,487.58,481.9,484.52,104920.0
2019-07-03,486.62,489.6595,485.59,486.42,64763.0
2019-07-04,486.62,489.6595,485.59,486.42,64763.0
2019-07-05,483.95,490.66,480.55,489.8,57276.0
2019-07-06,483.95,490.66,480.55,489.8,57276.0
2019-07-07,483.95,490.66,480.55,489.8,57276.0
2019-07-08,489.03,491.49,487.55,488.7,99593.0
2019-07-09,488.53,488.7,480.18,485.43,79332.0
