,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-03-12,392.691,397.42,392.691,397.195,723218.0
2021-03-13,392.691,397.42,392.691,397.195,723218.0
2021-03-14,392.691,397.42,392.691,397.195,723218.0
2021-03-15,399.452,400.0,393.131,396.736,637888.0
2021-03-16,396.678,398.241,391.206,393.864,871676.0
2021-03-17,394.714,399.218,392.975,393.874,921495.0
2021-03-18,392.838,402.086,392.838,398.387,1019843.0
2021-03-19,397.313,404.25,394.001,400.41,1923191.0
2021-03-20,397.313,404.25,394.001,400.41,1923191.0
2021-03-21,397.313,404.25,394.001,400.41,1923191.0
2021-03-22,394.724,396.043,387.943,395.085,1163381.0
2021-03-23,397.283,398.456,393.473,394.733,843173.0
2021-03-24,394.421,408.265,394.421,405.139,1104400.0
2021-03-25,404.24,408.226,399.081,406.888,763212.0
2021-03-26,409.848,414.235,406.927,413.874,762599.0
2021-03-27,409.848,414.235,406.927,413.874,762599.0
2021-03-28,409.848,414.235,406.927,413.874,762599.0
2021-03-29,413.776,419.98,412.916,415.505,749354.0
2021-03-30,415.446,419.332,413.969,416.621,810931.0
2021-03-31,415.701,417.218,409.937,410.299,829400.0
2021-04-01,409.741,410.622,401.873,404.006,776486.0
2021-04-02,409.741,410.622,401.873,404.006,776486.0
2021-04-03,409.741,410.622,401.873,404.006,776486.0
2021-04-04,409.741,410.622,401.873,404.006,776486.0
2021-04-05,406.893,409.066,403.282,404.329,760800.0
2021-04-06,404.133,404.133,396.676,398.633,1265738.0
2021-04-07,399.622,402.939,398.036,402.939,554983.0
2021-04-08,400.336,402.509,397.606,398.457,913394.0
2021-04-09,399.093,408.821,399.093,408.821,757298.0
2021-04-10,399.093,408.821,399.093,408.821,757298.0
2021-04-11,399.093,408.821,399.093,408.821,757298.0
2021-04-12,409.565,412.902,403.84,404.388,790047.0
2021-04-13,402.763,411.033,402.763,408.204,687611.0
2021-04-14,408.919,415.672,408.39,413.724,640194.0
2021-04-15,414.918,427.895,414.918,424.675,1151351.0
2021-04-16,426.427,427.66,422.718,425.987,1941009.0
2021-04-17,426.427,427.66,422.718,425.987,1941009.0
2021-04-18,426.427,427.66,422.718,425.987,1941009.0
2021-04-19,426.486,432.103,424.939,430.527,781779.0
2021-04-20,429.539,435.68,428.521,433.542,679674.0
2021-04-21,435.636,439.609,434.1,434.961,885897.0
2021-04-22,432.318,436.086,426.672,435.166,740790.0
2021-04-23,434.53,440.392,432.71,439.061,462133.0
2021-04-24,434.53,440.392,432.71,439.061,462133.0
2021-04-25,434.53,440.392,432.71,439.061,462133.0
2021-04-26,439.932,441.968,436.478,436.615,549462.0
2021-04-27,433.659,440.636,431.829,439.218,760559.0
2021-04-28,433.953,438.435,426.172,429.255,1104748.0
2021-04-29,431.457,440.143,429.979,438.083,703329.0
2021-04-30,438.631,439.903,433.277,435.734,830206.0
2021-05-01,438.631,439.903,433.277,435.734,830206.0
2021-05-02,438.631,439.903,433.277,435.734,830206.0
2021-05-03,438.004,443.788,436.791,440.979,539796.0
2021-05-04,441.244,453.937,438.944,453.115,1016201.0
2021-05-05,451.461,451.461,443.857,450.267,781327.0
2021-05-06,451.363,455.826,449.063,455.679,729455.0
2021-05-07,455.072,458.468,451.485,455.15,635405.0
