,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
2019-04-08,265.845,266.5924,265.1714,266.4817,53566335.0
2019-04-09,265.4943,265.8265,264.5531,265.116,66142316.0
2019-04-10,265.5405,266.1125,265.116,266.0203,52601499.0
2019-04-11,266.5186,266.5278,265.3633,265.9465,55093100.0
2019-04-12,267.5982,268.0319,265.9935,267.7458,69727782.0
2019-04-13,267.5982,268.0319,265.9935,267.7458,69727782.0
2019-04-14,267.5982,268.0319,265.9935,267.7458,69727782.0
2019-04-15,267.8197,267.9212,266.7447,267.5705,49596685.0
2019-04-16,268.4748,268.5302,267.1368,267.7458,52153197.0
2019-04-17,268.8901,268.9131,266.6662,267.0907,58268295.0
2019-04-18,267.6905,267.8935,266.3617,267.6167,68708513.0
2019-04-19,267.6905,267.8935,266.3617,267.6167,68708513.0
2019-04-20,267.6905,267.8935,266.3617,267.6167,68708513.0
2019-04-21,267.6905,267.8935,266.3617,267.6167,68708513.0
2019-04-22,266.8323,267.9996,266.74,267.8473,40160140.0
2019-04-23,268.2257,270.4956,267.9858,270.2557,52246633.0
2019-04-24,270.1727,270.5141,269.5083,269.6559,50392914.0
2019-04-25,269.5544,270.1635,268.2718,269.4898,57770862.0
2019-04-26,269.536,270.8186,268.7425,270.7448,50916423.0
2019-04-27,269.536,270.8186,268.7425,270.7448,50916423.0
2019-04-28,269.536,270.8186,268.7425,270.7448,50916423.0
2019-04-29,270.8371,271.7044,270.7448,271.1693,57197747.0
2019-04-30,270.8186,271.6029,269.3699,271.3077,81111733.0
2019-05-01,271.9536,272.1658,269.2592,269.2684,71671870.0
2019-05-02,269.1484,270.0896,267.1553,268.687,65030170.0
2019-05-03,270.2004,271.6029,268.7976,271.3169,56543653.0
2019-05-04,270.2004,271.6029,268.7976,271.3169,56543653.0
2019-05-05,270.2004,271.6029,268.7976,271.3169,56543653.0
2019-05-06,266.9061,270.6525,266.5832,270.2004,107198069.0
2019-05-07,267.7366,268.3456,263.7319,265.6881,144729908.0
2019-05-08,265.319,267.0722,264.71,265.319,91568287.0
2019-05-09,263.1967,265.1345,261.4158,264.5162,103471104.0
2019-05-10,263.5565,266.6201,260.493,265.845,112429293.0
2019-05-11,263.5565,266.6201,260.493,265.845,112429293.0
2019-05-12,263.5565,266.6201,260.493,265.845,112429293.0
2019-05-13,260.6037,261.5911,258.3061,259.1642,127290527.0
2019-05-14,260.207,263.0767,260.0778,261.508,77003230.0
2019-05-15,259.8379,263.695,259.6256,263.0398,73956407.0
2019-05-16,263.7596,266.8692,263.6857,265.4759,76749643.0
2019-05-17,263.1136,266.3063,263.0958,263.7596,100353024.0
2019-05-18,263.1136,266.3063,263.0958,263.7596,100353024.0
2019-05-19,263.1136,266.3063,263.0958,263.7596,100353024.0
2019-05-20,262.1171,263.3812,261.2497,262.0155,62877610.0
2019-05-21,263.7503,264.7654,263.492,264.3778,46847085.0
2019-05-22,263.3997,264.5439,263.0767,263.5658,49482472.0
2019-05-23,261.2866,261.3327,258.8966,260.3454,98733847.0
2019-05-24,261.8218,262.2462,260.2992,260.9359,55268095.0
2019-05-25,261.8218,262.2462,260.2992,260.9359,55268095.0
2019-05-26,261.8218,262.2462,260.2992,260.9359,55268095.0
2019-05-27,261.8218,262.2462,260.2992,260.9359,55268095.0
2019-05-28,261.222,262.2001,258.4906,258.5091,70029356.0
2019-05-29,257.3649,257.7801,255.3348,256.7743,104972927.0
2019-05-30,257.5494,258.4076,256.3452,257.4756,62523780.0
2019-05-31,254.8642,255.7132,253.9784,254.0061,86862782.0
2019-06-01,254.8642,255.7132,253.9784,254.0061,86862782.0
2019-06-02,254.8642,255.7132,253.9784,254.0061,86862782.0
2019-06-03,254.043,255.1891,251.9945,253.3601,96427952.0
2019-06-04,255.7132,258.9981,255.2518,258.8597,77231889.0
2019-06-05,260.5207,261.1297,258.666,261.102,71169717.0
2019-06-06,261.4065,263.492,260.7422,262.7999,69430381.0
2019-06-07,263.8426,266.537,263.6673,265.4297,74272199.0
2019-06-08,263.8426,266.537,263.6673,265.4297,74272199.0
2019-06-09,263.8426,266.537,263.6673,265.4297,74272199.0
2019-06-10,267.0169,268.3549,266.5586,266.6478,60799053.0
2019-06-11,268.5117,268.8901,265.9193,266.5832,58641325.0
2019-06-12,266.3433,266.9154,265.582,266.1126,47096312.0
2019-06-13,267.0446,267.5797,266.3248,267.2106,48945156.0
2019-06-14,266.9154,267.5336,266.131,266.9154,52324716.0
2019-06-15,266.9154,267.5336,266.131,266.9154,52324716.0
2019-06-16,266.9154,267.5336,266.131,266.9154,52324716.0
2019-06-17,267.1553,267.8012,266.8415,267.0169,39205709.0
2019-06-18,268.8808,270.8924,268.5117,269.8128,85434823.0
2019-06-19,269.9512,270.9662,268.9546,270.4218,78674377.0
2019-06-20,273.1716,273.4201,270.4823,273.0055,116570017.0
2019-06-21,272.7289,274.0178,272.3858,272.6084,83309466.0
2019-06-22,272.7289,274.0178,272.3858,272.6084,83309466.0
2019-06-23,272.7289,274.0178,272.3858,272.6084,83309466.0
2019-06-24,272.8216,273.1462,272.1169,272.2746,47582730.0
2019-06-25,272.3302,272.358,269.4928,269.6041,82028656.0
2019-06-26,270.5221,271.0413,269.2193,269.3352,51584902.0
2019-06-27,270.1141,270.8095,269.7246,270.2903,40355239.0
2019-06-28,271.2917,272.1911,270.7632,271.6811,59350929.0
2019-06-29,271.2917,272.1911,270.7632,271.6811,59350929.0
2019-06-30,271.2917,272.1911,270.7632,271.6811,59350929.0
2019-07-01,275.0934,275.3159,272.9144,274.1476,79117620.0
2019-07-02,274.1012,274.9172,273.2389,274.8616,61504544.0
2019-07-03,275.557,277.0777,275.4086,277.0591,40898896.0
2019-07-04,275.557,277.0777,275.4086,277.0591,40898896.0
2019-07-05,275.7981,276.9108,274.4721,276.7439,51677326.0
2019-07-06,275.7981,276.9108,274.4721,276.7439,51677326.0
2019-07-07,275.7981,276.9108,274.4721,276.7439,51677326.0
2019-07-08,275.3994,276.5565,274.6668,275.2232,45841772.0
2019-07-09,274.0363,275.8722,273.9807,275.5663,41101279.0
2019-07-10,276.6604,277.8565,276.1133,276.8829,58595558.0
2019-07-11,277.5413,277.7824,276.5028,277.532,50889481.0
2019-07-12,278.0327,278.8487,277.7175,278.7745,40354410.0
2019-07-13,278.0327,278.8487,277.7175,278.7745,40354410.0
2019-07-14,278.0327,278.8487,277.7175,278.7745,40354410.0
2019-07-15,279.2196,279.2196,278.348,278.8672,33910261.0
2019-07-16,278.7745,278.9878,277.6525,277.9029,40567964.0
2019-07-17,277.94,278.1069,276.0762,276.0762,44102443.0
2019-07-18,275.5663,277.4764,275.1119,277.0869,51701687.0
2019-07-19,278.2089,278.2367,275.353,275.5477,71081238.0
2019-07-20,278.2089,278.2367,275.353,275.5477,71081238.0
2019-07-21,278.2089,278.2367,275.353,275.5477,71081238.0
2019-07-22,275.9557,276.7809,275.4272,276.2246,43687404.0
2019-07-23,277.3744,278.1996,276.5213,278.1996,44657973.0
2019-07-24,277.4207,279.507,277.328,279.507,47213232.0
2019-07-25,279.0434,279.099,277.3466,278.1718,55394092.0
2019-07-26,278.8765,280.2395,278.7467,280.0356,45084077.0
2019-07-27,278.8765,280.2395,278.7467,280.0356,45084077.0
2019-07-28,278.8765,280.2395,278.7467,280.0356,45084077.0
2019-07-29,279.915,279.9614,278.96,279.5256,38126462.0
2019-07-30,278.0883,279.2567,277.6989,278.8394,45849045.0
2019-07-31,279.0898,279.2845,273.7211,275.7888,104245162.0
2019-08-01,275.9464,278.9785,272.5713,273.3872,142646576.0
2019-08-02,272.4693,272.7196,269.7339,271.3288,116749695.0
2019-08-03,272.4693,272.7196,269.7339,271.3288,116749695.0
2019-08-04,272.4693,272.7196,269.7339,271.3288,116749695.0
2019-08-05,267.1284,267.2396,261.2219,263.1691,178745449.0
2019-08-06,265.107,267.082,263.5956,266.8595,120711682.0
2019-08-07,263.7069,267.8053,261.5186,267.0171,140572265.0
2019-08-08,268.5471,272.256,267.9814,272.256,87713904.0
2019-08-09,271.2917,271.9037,268.5749,270.4015,93729958.0
2019-08-10,271.2917,271.9037,268.5749,270.4015,93729958.0
2019-08-11,271.2917,271.9037,268.5749,270.4015,93729958.0
2019-08-12,268.8623,270.3878,266.1362,267.1098,65527632.0
2019-08-13,266.8038,272.7474,266.4515,271.2639,94792972.0
2019-08-14,267.1098,271.1845,263.1134,263.2432,135622053.0
2019-08-15,264.1519,264.8566,261.8431,263.9387,101929845.0
2019-08-16,265.6355,268.2782,263.9978,267.8331,85825286.0
2019-08-17,265.6355,268.2782,263.9978,267.8331,85825286.0
2019-08-18,265.6355,268.2782,263.9978,267.8331,85825286.0
2019-08-19,270.9301,271.7553,270.2346,271.0599,53640153.0
2019-08-20,270.5406,271.0877,268.853,268.9829,51652752.0
2019-08-21,271.199,271.5513,270.4943,271.1711,49723430.0
2019-08-22,271.8944,272.5435,269.2703,271.0877,51739292.0
2019-08-23,269.7525,271.4586,262.8445,264.1241,149318151.0
2019-08-24,269.7525,271.4586,262.8445,264.1241,149318151.0
2019-08-25,269.7525,271.4586,262.8445,264.1241,149318151.0
2019-08-26,266.368,267.0449,264.801,267.0449,72620598.0
2019-08-27,268.4729,268.853,265.2183,265.9971,68262998.0
2019-08-28,265.3203,268.0371,264.495,267.8702,59852324.0
2019-08-29,270.4943,271.8295,269.465,271.2917,57998913.0
2019-08-30,272.8124,272.8308,270.2161,271.1711,62961780.0
2019-08-31,272.8124,272.8308,270.2161,271.1711,62961780.0
2019-09-01,272.8124,272.8308,270.2161,271.1711,62961780.0
2019-09-02,272.8124,272.8308,270.2161,271.1711,62961780.0
2019-09-03,269.4279,270.3644,268.2225,269.5856,69231875.0
2019-09-04,271.8109,272.6594,271.0413,272.6455,47003957.0
2019-09-05,275.1954,277.0869,272.6093,276.1504,83356779.0
2019-09-06,276.475,277.022,275.7795,276.3637,49584290.0
2019-09-07,276.475,277.022,275.7795,276.3637,49584290.0
2019-09-08,276.475,277.022,275.7795,276.3637,49584290.0
2019-09-09,277.3744,277.4671,275.5384,276.5028,51260290.0
2019-09-10,275.7239,276.5028,274.435,276.4379,57947101.0
2019-09-11,276.7531,278.4871,276.0855,278.4036,68821066.0
2019-09-12,279.3308,280.4528,278.552,279.3679,72908745.0
2019-09-13,279.8223,280.1839,278.8023,279.1825,62104838.0
2019-09-14,279.8223,280.1839,278.8023,279.1825,62104838.0
2019-09-15,279.8223,280.1839,278.8023,279.1825,62104838.0
2019-09-16,278.0234,279.2268,277.6618,278.3202,58191175.0
2019-09-17,278.1162,279.1176,277.94,279.0249,42904427.0
2019-09-18,278.6261,279.303,276.5399,279.1918,74192091.0
2019-09-19,279.5905,280.6104,278.8304,279.1732,78099215.0
2019-09-20,279.7912,280.08,277.0433,277.8537,97455979.0
2019-09-21,279.7912,280.08,277.0433,277.8537,97455979.0
2019-09-22,279.7912,280.08,277.0433,277.8537,97455979.0
2019-09-23,277.1737,278.5244,276.9129,277.7885,47541321.0
2019-09-24,278.9063,279.3069,274.6213,275.6087,97367568.0
2019-09-25,275.6926,277.6953,274.1742,277.2389,73434081.0
2019-09-26,277.2482,277.4624,275.2175,276.6613,58722357.0
2019-09-27,277.4345,277.543,273.578,275.1709,84781110.0
2019-09-28,277.4345,277.543,273.578,275.1709,84781110.0
2019-09-29,277.4345,277.543,273.578,275.1709,84781110.0
2019-09-30,275.7019,277.1737,275.6553,276.4471,52562761.0
2019-10-01,277.3507,278.0167,272.9353,273.1588,89900420.0
2019-10-02,271.538,271.5473,267.0108,268.3336,124523974.0
2019-10-03,268.1007,270.5599,265.3154,270.5319,85906799.0
2019-10-04,271.2026,274.4536,270.9045,274.1928,66700681.0
2019-10-05,271.2026,274.4536,270.9045,274.1928,66700681.0
2019-10-06,271.2026,274.4536,270.9045,274.1928,66700681.0
2019-10-07,273.3731,275.0405,272.721,273.0098,60656561.0
2019-10-08,271.1095,271.864,268.7341,268.7714,101575470.0
2019-10-09,270.8393,272.2832,268.8886,271.3237,65707329.0
2019-10-10,271.2399,274.0624,271.0722,273.1588,57255974.0
2019-10-11,275.9813,278.2822,275.8647,275.9906,101228577.0
2019-10-12,275.9813,278.2822,275.8647,275.9906,101228577.0
2019-10-13,275.9813,278.2822,275.8647,275.9906,101228577.0
2019-10-14,275.6646,276.3539,275.3293,275.6832,40546668.0
2019-10-15,276.7545,279.1764,276.6334,278.4126,47832356.0
2019-10-16,277.9375,278.6734,277.5183,277.9655,50563596.0
2019-10-17,279.1578,279.6795,278.0726,278.7852,46784885.0
2019-10-18,278.2356,278.8923,276.652,277.5649,64338028.0
2019-10-19,278.2356,278.8923,276.652,277.5649,64338028.0
2019-10-20,278.2356,278.8923,276.652,277.5649,64338028.0
2019-10-21,278.9156,279.6515,278.4638,279.4466,39460901.0
2019-10-22,279.9962,280.2943,278.4405,278.5337,49126038.0
2019-10-23,278.2729,279.4,278.054,279.3441,34991829.0
2019-10-24,280.3036,280.4526,278.953,279.8006,35857459.0
2019-10-25,279.2137,281.5052,279.1584,280.9463,45205412.0
2019-10-26,279.2137,281.5052,279.1584,280.9463,45205412.0
2019-10-27,279.2137,281.5052,279.1584,280.9463,45205412.0
2019-10-28,282.1946,283.0422,282.1666,282.5299,42146965.0
2019-10-29,282.2505,283.3962,282.12,282.4461,44284921.0
2019-10-30,282.651,283.6943,281.3096,283.3124,49643928.0
2019-10-31,283.3031,283.3031,281.0674,282.5579,69053791.0
2019-11-01,284.039,285.222,283.8713,285.1754,71141515.0
2019-11-02,284.039,285.222,283.8713,285.1754,71141515.0
2019-11-03,284.039,285.222,283.8713,285.1754,71141515.0
2019-11-04,286.7683,286.9081,285.9393,286.3212,60606916.0
2019-11-05,286.5261,286.8331,285.7064,286.0045,42933219.0
2019-11-06,286.0045,286.3491,285.1009,286.0697,46487108.0
2019-11-07,287.439,288.4451,286.5913,287.0757,54272274.0
2019-11-08,286.7218,287.8429,286.0045,287.7837,49068797.0
2019-11-09,286.7218,287.8429,286.0045,287.7837,49068797.0
2019-11-10,286.7218,287.8429,286.0045,287.7837,49068797.0
2019-11-11,286.3678,287.4111,286.228,287.2341,35934909.0
2019-11-12,287.6067,288.7618,287.0478,287.8396,46484624.0
2019-11-13,286.8242,288.3426,286.5913,287.9327,54459018.0
2019-11-14,287.644,288.4357,286.9919,288.3519,52001874.0
2019-11-15,289.7212,290.4851,289.0133,290.4385,62706192.0
2019-11-16,289.7212,290.4851,289.0133,290.4385,62706192.0
2019-11-17,289.7212,290.4851,289.0133,290.4385,62706192.0
2019-11-18,290.1963,290.895,289.7306,290.6528,49327980.0
2019-11-19,291.2676,291.2769,289.9075,290.5689,67927818.0
2019-11-20,289.9634,290.4944,287.8955,289.4884,79696276.0
2019-11-21,289.6001,289.7119,288.2029,289.0226,54664690.0
2019-11-22,289.7865,289.9262,288.6314,289.6654,44850228.0
2019-11-23,289.7865,289.9262,288.6314,289.6654,44850228.0
2019-11-24,289.7865,289.9262,288.6314,289.6654,44850228.0
2019-11-25,290.6155,291.9103,290.6155,291.9103,48762676.0
2019-11-26,291.9476,292.758,291.6215,292.5717,37727953.0
2019-11-27,293.0654,293.8758,292.8418,293.8758,44793179.0
2019-11-28,293.0654,293.8758,292.8418,293.8758,44793179.0
2019-11-29,293.2983,293.5498,292.5531,292.7859,36592740.0
2019-11-30,293.2983,293.5498,292.5531,292.7859,36592740.0
2019-12-01,293.2983,293.5498,292.5531,292.7859,36592740.0
2019-12-02,293.0468,293.112,289.861,290.2988,76110027.0
2019-12-03,287.5135,288.4357,286.0976,288.3519,75172709.0
2019-12-04,289.4232,290.7459,289.0692,290.1311,49190402.0
2019-12-05,290.8484,290.867,289.3114,290.6528,40781669.0
2019-12-06,292.609,293.7175,292.5996,293.3076,48956767.0
2019-12-07,292.609,293.7175,292.5996,293.3076,48956767.0
2019-12-08,292.609,293.7175,292.5996,293.3076,48956767.0
2019-12-09,292.907,293.5964,292.3109,292.3854,34904315.0
2019-12-10,292.3295,293.0095,291.3887,292.0594,53107133.0
2019-12-11,292.5251,293.1492,291.9749,292.8884,53521450.0
2019-12-12,292.8977,296.2139,292.6555,295.4128,96585802.0
2019-12-13,295.1706,296.8474,294.3788,295.5898,81546487.0
2019-12-14,295.1706,296.8474,294.3788,295.5898,81546487.0
2019-12-15,295.1706,296.8474,294.3788,295.5898,81546487.0
2019-12-16,297.3597,298.226,295.5285,297.6205,82836128.0
2019-12-17,298.0118,298.3192,297.6019,297.6857,61131769.0
2019-12-18,298.0863,298.3192,297.6485,297.7044,48199955.0
2019-12-19,297.9,298.9992,297.6434,298.9247,85388424.0
2019-12-20,299.9823,301.3997,298.9782,300.2351,149338215.0
2019-12-21,299.9823,301.3997,298.9782,300.2351,149338215.0
2019-12-22,299.9823,301.3997,298.9782,300.2351,149338215.0
2019-12-23,301.0401,301.0963,300.544,300.6937,53015641.0
2019-12-24,300.9278,300.9746,300.3942,300.7031,20270007.0
2019-12-25,300.9278,300.9746,300.3942,300.7031,20270007.0
2019-12-26,301.0963,302.3132,301.0869,302.3038,31024188.0
2019-12-27,303.0527,303.1089,301.686,302.2289,42554820.0
2019-12-28,303.0527,303.1089,301.686,302.2289,42554820.0
2019-12-29,303.0527,303.1089,301.686,302.2289,42554820.0
2019-12-30,302.3132,302.4536,300.0666,300.5627,49782730.0
2019-12-31,300.0478,301.5456,299.6921,301.2928,57106998.0
2020-01-01,300.0478,301.5456,299.6921,301.2928,57106998.0
2020-01-02,302.8655,304.1292,301.92,304.1105,59253833.0
2020-01-03,300.6376,302.9591,300.5814,301.8077,77783121.0
2020-01-04,300.6376,302.9591,300.5814,301.8077,77783121.0
2020-01-05,300.6376,302.9591,300.5814,301.8077,77783121.0
2020-01-06,300.0104,303.0433,299.8887,302.9591,55761948.0
2020-01-07,302.3787,302.8655,301.6486,302.1072,42854811.0
2020-01-08,302.3038,304.9624,302.0511,303.7173,68434153.0
2020-01-09,305.3181,305.8516,304.719,305.7768,48569601.0
2020-01-10,306.3758,306.535,304.4194,304.8968,53057389.0
2020-01-11,306.3758,306.535,304.4194,304.8968,53057389.0
2020-01-12,306.3758,306.535,304.4194,304.8968,53057389.0
2020-01-13,305.5334,307.003,305.0934,306.9937,47262010.0
2020-01-14,306.5444,307.6209,305.9584,306.5256,63036384.0
2020-01-15,306.432,307.9953,306.3478,307.2184,72056598.0
2020-01-16,308.6319,309.7739,308.3978,309.7739,54050328.0
2020-01-17,310.5041,310.9534,309.712,310.7381,95846017.0
2020-01-18,310.5041,310.9534,309.712,310.7381,95846017.0
2020-01-19,310.5041,310.9534,309.712,310.7381,95846017.0
2020-01-20,310.5041,310.9534,309.712,310.7381,95846017.0
2020-01-21,309.7552,310.9534,309.6803,310.1296,77742415.0
2020-01-22,311.0096,311.6742,310.0079,310.1671,48914899.0
2020-01-23,309.5024,310.9423,308.3604,310.5228,51962994.0
2020-01-24,311.1968,311.281,306.4414,307.7613,87578442.0
2020-01-25,311.1968,311.281,306.4414,307.7613,87578442.0
2020-01-26,311.1968,311.281,306.4414,307.7613,87578442.0
2020-01-27,302.3881,304.3445,302.0417,302.828,84062463.0
2020-01-28,304.2884,306.9001,302.9252,306.0014,63833953.0
2020-01-29,307.3962,307.6302,305.5427,305.7487,54040889.0
2020-01-30,303.6331,306.9562,302.8655,306.7409,75491844.0
2020-01-31,306.1044,306.2635,300.2351,301.1712,113845576.0
2020-02-01,306.1044,306.2635,300.2351,301.1712,113845576.0
2020-02-02,306.1044,306.2635,300.2351,301.1712,113845576.0
2020-02-03,302.6876,305.3181,302.5659,303.4084,69242293.0
2020-02-04,307.106,308.9221,306.7784,308.0328,62573190.0
2020-02-05,311.0376,311.8052,309.5399,311.5899,65951146.0
2020-02-06,312.5728,312.8349,311.5338,312.6384,50359688.0
2020-02-07,311.5525,312.6516,310.4104,310.9721,64139443.0
2020-02-08,311.5525,312.6516,310.4104,310.9721,64139443.0
2020-02-09,311.5525,312.6516,310.4104,310.9721,64139443.0
2020-02-10,310.0641,313.3592,310.0266,313.2936,42070006.0
2020-02-11,314.6791,315.4841,313.2974,313.8366,54864533.0
2020-02-12,315.3062,316.0738,314.9318,315.8585,43992662.0
2020-02-13,314.4002,316.5138,314.1174,315.5215,54501922.0
2020-02-14,315.9428,316.1487,314.7165,316.027,64582210.0
2020-02-15,315.9428,316.1487,314.7165,316.027,64582210.0
2020-02-16,315.9428,316.1487,314.7165,316.027,64582210.0
2020-02-17,315.9428,316.1487,314.7165,316.027,64582210.0
2020-02-18,315.0067,316.0904,313.7898,315.2126,57342526.0
2020-02-19,316.2049,317.4125,315.9147,316.7198,48814692.0
2020-02-20,316.1602,317.0006,312.3591,315.4186,74163362.0
2020-02-21,314.0332,314.3514,311.3278,312.1703,113788208.0
2020-02-22,314.0332,314.3514,311.3278,312.1703,113788208.0
2020-02-23,314.0332,314.3514,311.3278,312.1703,113788208.0
2020-02-24,302.4911,312.2474,300.7125,301.8171,161088409.0
2020-02-25,303.2399,303.8671,291.7727,292.6714,218913168.0
2020-02-26,294.1036,297.7825,290.846,291.5949,194773819.0
2020-02-27,285.9408,291.6545,278.4988,278.4988,284353459.0
2020-02-28,270.2518,278.8564,267.2937,277.3287,385764020.0
2020-02-29,270.2518,278.8564,267.2937,277.3287,385764020.0
2020-03-01,270.2518,278.8564,267.2937,277.3287,385764020.0
