,GD US Equity,GD US Equity,GD US Equity,GD US Equity,GD US Equity
2019-03-29,148.584,149.072,148.26,148.944,1333670.0
2019-03-30,148.584,149.072,148.26,148.944,1333670.0
2019-03-31,148.584,149.072,148.26,148.944,1333670.0
2019-04-01,149.798,152.015,149.613,151.61,1055123.0
2019-04-02,151.267,151.516,149.156,149.525,1367808.0
2019-04-03,150.106,150.106,146.718,147.598,1484859.0
2019-04-04,147.818,149.903,147.66,148.848,1062064.0
2019-04-05,148.927,150.572,148.337,150.563,1240361.0
2019-04-06,148.927,150.572,148.337,150.563,1240361.0
2019-04-07,148.927,150.572,148.337,150.563,1240361.0
2019-04-08,150.035,151.804,149.661,151.602,1159753.0
2019-04-09,150.607,150.955,148.751,148.848,1037087.0
2019-04-10,148.892,149.428,147.475,149.024,926839.0
2019-04-11,149.413,151.945,149.059,151.75,1212411.0
2019-04-12,152.848,155.344,152.299,154.848,1454065.0
2019-04-13,152.848,155.344,152.299,154.848,1454065.0
2019-04-14,152.848,155.344,152.299,154.848,1454065.0
2019-04-15,154.352,154.689,151.812,152.254,1601544.0
2019-04-16,152.874,154.669,152.874,153.795,931728.0
2019-04-17,154.91,156.22,154.264,154.494,988403.0
2019-04-18,154.822,156.68,154.476,156.548,1348448.0
2019-04-19,154.822,156.68,154.476,156.548,1348448.0
2019-04-20,154.822,156.68,154.476,156.548,1348448.0
2019-04-21,154.822,156.68,154.476,156.548,1348448.0
2019-04-22,155.68,157.437,155.149,156.707,1467058.0
2019-04-23,159.035,162.107,158.274,161.434,1948133.0
2019-04-24,170.941,170.941,159.549,159.982,3087278.0
2019-04-25,159.106,159.531,155.724,156.574,1799148.0
2019-04-26,156.804,157.698,155.928,157.628,852316.0
2019-04-27,156.804,157.698,155.928,157.628,852316.0
2019-04-28,156.804,157.698,155.928,157.628,852316.0
2019-04-29,157.566,159.017,157.212,158.637,844938.0
2019-04-30,158.938,159.318,156.433,158.203,1213173.0
2019-05-01,158.557,159.274,156.105,156.14,1224102.0
2019-05-02,155.627,156.105,152.963,154.529,2036484.0
2019-05-03,155.123,156.495,154.981,156.406,1354422.0
2019-05-04,155.123,156.495,154.981,156.406,1354422.0
2019-05-05,155.123,156.495,154.981,156.406,1354422.0
2019-05-06,153.671,155.539,152.794,155.229,992091.0
2019-05-07,153.494,154.007,150.431,150.909,1614675.0
2019-05-08,150.82,151.141,148.616,148.97,2021505.0
2019-05-09,148.342,153.281,147.979,152.299,2037670.0
2019-05-10,151.139,153.618,150.033,153.21,1254326.0
2019-05-11,151.139,153.618,150.033,153.21,1254326.0
2019-05-12,151.139,153.618,150.033,153.21,1254326.0
2019-05-13,150.962,151.387,147.643,148.705,1762657.0
2019-05-14,148.749,150.847,148.554,149.147,847924.0
2019-05-15,147.846,149.802,146.633,148.466,787512.0
2019-05-16,149.006,150.865,148.802,150.351,634249.0
2019-05-17,148.59,149.072,147.032,147.271,998067.0
2019-05-18,148.59,149.072,147.032,147.271,998067.0
2019-05-19,148.59,149.072,147.032,147.271,998067.0
2019-05-20,148.811,150.882,148.174,149.856,1359168.0
2019-05-21,150.661,152.272,150.342,151.768,1182263.0
2019-05-22,151.006,151.554,149.094,149.847,939232.0
2019-05-23,148.51,148.938,144.013,144.801,1883638.0
2019-05-24,145.093,145.899,142.924,145.199,1508119.0
2019-05-25,145.093,145.899,142.924,145.199,1508119.0
2019-05-26,145.093,145.899,142.924,145.199,1508119.0
2019-05-27,145.093,145.899,142.924,145.199,1508119.0
2019-05-28,145.421,146.448,144.35,144.872,2609727.0
2019-05-29,144.775,145.129,143.279,143.677,1204148.0
2019-05-30,143.81,144.859,143.044,143.606,839595.0
2019-05-31,142.022,143.031,141.818,142.358,1306330.0
2019-06-01,142.022,143.031,141.818,142.358,1306330.0
2019-06-02,142.022,143.031,141.818,142.358,1306330.0
2019-06-03,142.845,146.492,142.544,144.42,1515265.0
2019-06-04,145.412,148.634,145.412,148.519,1034430.0
2019-06-05,149.006,152.228,148.917,152.201,1251641.0
2019-06-06,152.192,152.781,150.201,152.237,862066.0
2019-06-07,153.272,154.361,152.679,153.998,973389.0
2019-06-08,153.272,154.361,152.679,153.998,973389.0
2019-06-09,153.272,154.361,152.679,153.998,973389.0
2019-06-10,155.618,156.185,153.29,153.485,1054464.0
2019-06-11,154.06,154.414,149.183,150.245,853862.0
2019-06-12,150.413,150.865,149.314,150.519,585501.0
2019-06-13,150.626,152.201,149.997,152.201,1128028.0
2019-06-14,152.476,152.476,150.599,151.591,724379.0
2019-06-15,152.476,152.476,150.599,151.591,724379.0
2019-06-16,152.476,152.476,150.599,151.591,724379.0
2019-06-17,151.98,152.635,150.82,152.06,924973.0
2019-06-18,152.768,154.795,152.585,153.662,857781.0
2019-06-19,154.228,154.447,152.741,153.688,531707.0
2019-06-20,155.654,157.924,154.37,157.53,1265964.0
2019-06-21,157.681,157.858,155.618,157.061,1851348.0
2019-06-22,157.681,157.858,155.618,157.061,1851348.0
2019-06-23,157.681,157.858,155.618,157.061,1851348.0
2019-06-24,156.424,157.822,156.087,157.406,976333.0
2019-06-25,157.628,158.279,156.769,157.247,763492.0
2019-06-26,156.902,159.115,156.565,158.362,1334099.0
2019-06-27,158.424,158.424,156.415,157.318,966477.0
2019-06-28,157.672,161.177,157.672,160.947,2450800.0
2019-06-29,157.672,161.177,157.672,160.947,2450800.0
2019-06-30,157.672,161.177,157.672,160.947,2450800.0
2019-07-01,162.284,163.187,160.69,161.584,1141892.0
2019-07-02,162.213,162.54,161.177,162.496,928214.0
2019-07-03,162.701,162.8,161.072,162.585,533590.0
2019-07-04,162.701,162.8,161.072,162.585,533590.0
2019-07-05,161.829,162.434,160.466,162.256,481765.0
2019-07-06,161.829,162.434,160.466,162.256,481765.0
2019-07-07,161.829,162.434,160.466,162.256,481765.0
2019-07-08,161.312,162.834,160.746,161.535,822894.0
2019-07-09,160.351,161.099,159.443,160.965,1378755.0
2019-07-10,162.318,163.662,161.624,162.487,887007.0
2019-07-11,162.478,163.458,162.336,163.431,707975.0
2019-07-12,164.285,165.523,163.52,165.425,827482.0
2019-07-13,164.285,165.523,163.52,165.425,827482.0
2019-07-14,164.285,165.523,163.52,165.425,827482.0
2019-07-15,165.425,166.315,165.078,165.923,1215282.0
2019-07-16,166.377,166.885,166.066,166.359,1078244.0
2019-07-17,165.327,165.612,163.279,163.386,2259796.0
2019-07-18,163.386,163.386,160.751,163.057,1237337.0
2019-07-19,163.885,164.561,163.475,163.653,939851.0
2019-07-20,163.885,164.561,163.475,163.653,939851.0
2019-07-21,163.885,164.561,163.475,163.653,939851.0
2019-07-22,163.636,164.686,163.004,164.339,702550.0
2019-07-23,165.487,165.567,163.458,165.54,1150627.0
2019-07-24,165.549,168.736,164.722,167.027,1368566.0
2019-07-25,166.804,168.238,165.122,167.0,1106288.0
2019-07-26,166.707,169.039,165.959,168.887,1745207.0
2019-07-27,166.707,169.039,165.959,168.887,1745207.0
2019-07-28,166.707,169.039,165.959,168.887,1745207.0
2019-07-29,168.878,169.27,168.015,168.976,924153.0
2019-07-30,168.353,168.647,166.862,168.344,939500.0
2019-07-31,168.264,168.825,164.499,165.514,1187422.0
2019-08-01,165.202,166.226,162.416,163.279,1273189.0
2019-08-02,163.199,163.413,161.241,161.98,941661.0
2019-08-03,163.199,163.413,161.241,161.98,941661.0
2019-08-04,163.199,163.413,161.241,161.98,941661.0
2019-08-05,160.2,160.217,155.802,157.351,1197748.0
2019-08-06,158.758,160.876,157.351,160.823,886416.0
2019-08-07,158.766,161.579,158.01,160.983,1003307.0
2019-08-08,162.594,164.766,162.069,163.938,778632.0
2019-08-09,163.182,164.793,162.674,163.876,719639.0
2019-08-10,163.182,164.793,162.674,163.876,719639.0
2019-08-11,163.182,164.793,162.674,163.876,719639.0
2019-08-12,163.066,163.248,160.778,161.428,563009.0
2019-08-13,161.25,164.33,160.805,162.995,803840.0
2019-08-14,161.971,162.283,159.959,160.965,1555554.0
2019-08-15,160.965,162.772,160.395,162.202,1200970.0
2019-08-16,163.511,165.914,163.208,164.098,1450866.0
2019-08-17,163.511,165.914,163.208,164.098,1450866.0
2019-08-18,163.511,165.914,163.208,164.098,1450866.0
2019-08-19,166.039,167.365,165.478,166.982,758215.0
2019-08-20,166.217,167.223,165.643,166.609,941717.0
2019-08-21,168.238,168.276,166.164,167.775,1012876.0
2019-08-22,168.291,168.514,165.656,166.947,633973.0
2019-08-23,166.244,168.478,162.425,163.386,1619705.0
2019-08-24,166.244,168.478,162.425,163.386,1619705.0
2019-08-25,166.244,168.478,162.425,163.386,1619705.0
2019-08-26,164.882,165.309,162.185,164.365,632074.0
2019-08-27,164.962,165.247,162.523,163.217,628268.0
2019-08-28,162.71,165.229,162.122,165.069,535358.0
2019-08-29,166.324,168.985,165.968,168.656,1301974.0
2019-08-30,169.573,171.099,169.128,170.258,1153661.0
2019-08-31,169.573,171.099,169.128,170.258,1153661.0
2019-09-01,169.573,171.099,169.128,170.258,1153661.0
2019-09-02,169.573,171.099,169.128,170.258,1153661.0
2019-09-03,169.163,169.858,166.609,168.487,837594.0
2019-09-04,170.036,171.006,169.279,169.76,964521.0
2019-09-05,171.309,172.368,170.623,171.148,818565.0
2019-09-06,171.878,172.475,170.944,171.504,698959.0
2019-09-07,171.878,172.475,170.944,171.504,698959.0
2019-09-08,171.878,172.475,170.944,171.504,698959.0
2019-09-09,171.656,171.798,166.929,167.41,1612281.0
2019-09-10,167.08,167.232,165.033,167.232,1097415.0
2019-09-11,167.223,167.899,165.879,167.882,836537.0
2019-09-12,169.128,169.128,166.573,168.603,1042640.0
2019-09-13,169.261,169.332,168.246,169.092,1064554.0
2019-09-14,169.261,169.332,168.246,169.092,1064554.0
2019-09-15,169.261,169.332,168.246,169.092,1064554.0
2019-09-16,169.875,170.614,167.659,169.991,1550910.0
2019-09-17,171.424,171.424,168.736,170.294,1223102.0
2019-09-18,170.071,170.071,167.258,169.395,1238760.0
2019-09-19,168.362,169.297,166.466,167.463,1301692.0
2019-09-20,167.953,168.238,165.629,166.787,7649932.0
2019-09-21,167.953,168.238,165.629,166.787,7649932.0
2019-09-22,167.953,168.238,165.629,166.787,7649932.0
2019-09-23,165.79,167.846,164.734,166.27,1367390.0
2019-09-24,167.321,168.104,164.152,164.41,1833077.0
2019-09-25,165.078,165.932,164.285,165.567,1759220.0
2019-09-26,166.03,166.288,164.873,165.567,1180280.0
2019-09-27,166.288,166.359,162.487,162.915,1144014.0
2019-09-28,166.288,166.359,162.487,162.915,1144014.0
2019-09-29,166.288,166.359,162.487,162.915,1144014.0
2019-09-30,163.217,164.072,162.594,162.656,1187730.0
2019-10-01,163.644,164.269,158.117,159.078,1582861.0
2019-10-02,158.037,158.677,154.992,155.25,1208700.0
2019-10-03,155.161,155.776,153.114,155.669,888990.0
2019-10-04,155.776,157.458,154.663,157.235,912646.0
2019-10-05,155.776,157.458,154.663,157.235,912646.0
2019-10-06,155.776,157.458,154.663,157.235,912646.0
2019-10-07,156.87,158.624,156.507,157.289,941277.0
2019-10-08,156.354,158.869,155.615,157.111,1411069.0
2019-10-09,158.446,159.22,156.844,157.6,966448.0
2019-10-10,157.126,159.825,157.126,158.191,868024.0
2019-10-11,160.08,162.184,159.695,160.823,855801.0
2019-10-12,160.08,162.184,159.695,160.823,855801.0
2019-10-13,160.08,162.184,159.695,160.823,855801.0
2019-10-14,160.85,161.029,160.08,160.367,591969.0
2019-10-15,160.421,160.823,159.668,159.767,847711.0
2019-10-16,159.767,160.465,158.657,159.624,769309.0
2019-10-17,159.463,159.865,158.093,158.254,785210.0
2019-10-18,158.514,158.514,155.774,156.168,1107881.0
2019-10-19,158.514,158.514,155.774,156.168,1107881.0
2019-10-20,158.514,158.514,155.774,156.168,1107881.0
2019-10-21,156.947,158.397,156.365,157.081,944829.0
2019-10-22,156.965,161.208,156.965,161.047,1261790.0
2019-10-23,159.087,159.113,154.35,155.389,1998675.0
2019-10-24,157.556,159.145,156.347,156.383,2458291.0
2019-10-25,156.893,158.236,155.192,155.371,1894576.0
2019-10-26,156.893,158.236,155.192,155.371,1894576.0
2019-10-27,156.893,158.236,155.192,155.371,1894576.0
2019-10-28,156.034,157.542,155.756,156.616,1544560.0
2019-10-29,156.741,159.57,156.607,157.6,1856788.0
2019-10-30,157.967,159.977,157.573,159.579,1261966.0
2019-10-31,159.167,159.579,157.153,158.29,1373904.0
2019-11-01,159.391,161.321,159.391,160.913,1136081.0
2019-11-02,159.391,161.321,159.391,160.913,1136081.0
2019-11-03,159.391,161.321,159.391,160.913,1136081.0
2019-11-04,162.211,162.462,158.442,159.427,2483385.0
2019-11-05,159.301,160.877,158.558,160.528,2253305.0
2019-11-06,161.083,162.668,161.083,162.56,1445573.0
2019-11-07,162.945,164.047,162.525,163.796,1427546.0
2019-11-08,163.545,166.491,163.545,165.703,1446177.0
2019-11-09,163.545,166.491,163.545,165.703,1446177.0
2019-11-10,163.545,166.491,163.545,165.703,1446177.0
2019-11-11,164.96,165.501,163.357,165.049,684223.0
2019-11-12,164.781,166.213,164.315,165.882,852719.0
2019-11-13,165.909,166.598,164.808,165.381,961687.0
2019-11-14,165.264,166.356,165.204,165.801,739430.0
2019-11-15,166.831,168.245,166.365,167.493,1088454.0
2019-11-16,166.831,168.245,166.365,167.493,1088454.0
2019-11-17,166.831,168.245,166.365,167.493,1088454.0
2019-11-18,167.332,167.44,166.697,167.046,758689.0
2019-11-19,167.359,167.359,165.327,165.586,805453.0
2019-11-20,165.407,165.81,164.154,165.031,729218.0
2019-11-21,164.781,165.524,163.662,163.796,808820.0
2019-11-22,164.127,164.349,163.087,163.733,560156.0
2019-11-23,164.127,164.349,163.087,163.733,560156.0
2019-11-24,164.127,164.349,163.087,163.733,560156.0
2019-11-25,164.02,164.485,163.366,163.536,855126.0
2019-11-26,163.653,164.539,162.704,162.963,1849095.0
2019-11-27,163.339,163.733,162.623,163.259,1930415.0
2019-11-28,163.339,163.733,162.623,163.259,1930415.0
2019-11-29,163.563,163.563,162.229,162.713,915649.0
2019-11-30,163.563,163.563,162.229,162.713,915649.0
2019-12-01,163.563,163.563,162.229,162.713,915649.0
2019-12-02,162.972,163.178,159.14,159.355,1963859.0
2019-12-03,158.469,159.547,157.305,158.505,2985857.0
2019-12-04,159.212,161.781,159.14,159.436,1409001.0
2019-12-05,160.259,163.465,159.986,163.277,2458339.0
2019-12-06,163.841,164.503,162.927,164.333,1467408.0
2019-12-07,163.841,164.503,162.927,164.333,1467408.0
2019-12-08,163.841,164.503,162.927,164.333,1467408.0
2019-12-09,163.876,164.673,163.169,163.993,1285874.0
2019-12-10,163.867,164.1,161.37,161.584,1191424.0
2019-12-11,161.405,161.661,158.979,160.501,1603020.0
2019-12-12,161.155,163.545,160.608,161.575,1204687.0
2019-12-13,161.065,161.978,159.727,160.286,968345.0
2019-12-14,161.065,161.978,159.727,160.286,968345.0
2019-12-15,161.065,161.978,159.727,160.286,968345.0
2019-12-16,160.635,161.952,160.125,161.683,1031499.0
2019-12-17,162.31,162.99,161.763,162.14,857514.0
2019-12-18,162.113,162.336,159.74,159.776,995103.0
2019-12-19,160.349,161.101,159.57,159.946,1161859.0
2019-12-20,160.045,160.743,159.463,159.66,1961946.0
2019-12-21,160.045,160.743,159.463,159.66,1961946.0
2019-12-22,160.045,160.743,159.463,159.66,1961946.0
2019-12-23,160.412,161.799,159.821,160.922,1404450.0
2019-12-24,161.173,161.226,159.606,160.098,321382.0
2019-12-25,161.173,161.226,159.606,160.098,321382.0
2019-12-26,160.367,160.497,158.836,159.534,664578.0
2019-12-27,159.713,160.206,158.594,158.907,781115.0
2019-12-28,159.713,160.206,158.594,158.907,781115.0
2019-12-29,159.713,160.206,158.594,158.907,781115.0
2019-12-30,158.952,159.248,157.368,157.582,886648.0
2019-12-31,157.556,158.352,156.965,157.887,726300.0
2020-01-01,157.556,158.352,156.965,157.887,726300.0
2020-01-02,158.872,160.295,158.397,159.749,1373344.0
2020-01-03,159.364,161.54,159.364,161.316,1662342.0
2020-01-04,159.364,161.54,159.364,161.316,1662342.0
2020-01-05,159.364,161.54,159.364,161.316,1662342.0
2020-01-06,162.542,163.823,162.054,163.026,1958569.0
2020-01-07,161.531,162.614,160.931,161.173,1470889.0
2020-01-08,161.334,162.892,160.797,161.584,1226453.0
2020-01-09,162.05,163.76,162.014,162.596,1582245.0
2020-01-10,162.507,162.757,160.626,160.716,831847.0
2020-01-11,162.507,162.757,160.626,160.716,831847.0
2020-01-12,162.507,162.757,160.626,160.716,831847.0
2020-01-13,161.37,163.026,161.191,162.166,898041.0
2020-01-14,162.05,162.525,160.85,162.023,917883.0
2020-01-15,162.113,163.805,162.113,162.596,1174680.0
2020-01-16,163.442,164.829,163.064,164.226,1289909.0
2020-01-17,164.568,164.874,163.397,163.767,1820104.0
2020-01-18,164.568,164.874,163.397,163.767,1820104.0
2020-01-19,164.568,164.874,163.397,163.767,1820104.0
2020-01-20,164.568,164.874,163.397,163.767,1820104.0
2020-01-21,163.379,166.17,162.799,165.027,2074863.0
2020-01-22,165.54,167.089,164.847,164.856,1058679.0
2020-01-23,164.649,166.99,163.911,166.225,1146749.0
2020-01-24,166.774,167.296,165.963,166.63,925535.0
2020-01-25,166.774,167.296,165.963,166.63,925535.0
2020-01-26,166.774,167.296,165.963,166.63,925535.0
2020-01-27,164.19,165.423,163.496,164.379,1132390.0
2020-01-28,164.838,166.279,162.749,165.333,1534073.0
2020-01-29,165.594,166.044,161.714,165.189,2033164.0
2020-01-30,164.136,165.207,161.813,163.172,1842749.0
2020-01-31,162.281,162.88,157.374,157.959,2365852.0
2020-02-01,162.281,162.88,157.374,157.959,2365852.0
2020-02-02,162.281,162.88,157.374,157.959,2365852.0
2020-02-03,159.508,160.818,157.734,159.022,1605371.0
2020-02-04,161.381,162.659,161.164,161.642,1882518.0
2020-02-05,162.974,166.08,162.137,165.639,1273270.0
2020-02-06,167.152,168.646,166.747,167.584,1319635.0
2020-02-07,167.269,169.538,167.098,168.133,1715396.0
2020-02-08,167.269,169.538,167.098,168.133,1715396.0
2020-02-09,167.269,169.538,167.098,168.133,1715396.0
2020-02-10,167.926,169.691,166.873,167.692,1239910.0
2020-02-11,168.304,169.61,166.909,168.313,1599101.0
2020-02-12,168.692,169.943,167.864,169.943,1448043.0
2020-02-13,169.106,171.14,168.892,170.555,1546010.0
2020-02-14,170.492,170.527,168.025,169.322,1351868.0
2020-02-15,170.492,170.527,168.025,169.322,1351868.0
2020-02-16,170.492,170.527,168.025,169.322,1351868.0
2020-02-17,170.492,170.527,168.025,169.322,1351868.0
2020-02-18,168.511,169.925,168.088,169.394,1139870.0
2020-02-19,169.475,169.889,167.764,167.962,1191255.0
2020-02-20,167.53,168.682,166.049,167.422,1247887.0
2020-02-21,166.486,169.142,165.318,168.908,1416928.0
2020-02-22,166.486,169.142,165.318,168.908,1416928.0
2020-02-23,166.486,169.142,165.318,168.908,1416928.0
2020-02-24,164.865,167.152,163.94,166.216,1857850.0
2020-02-25,166.522,167.143,156.005,156.591,2780129.0
2020-02-26,157.788,159.224,154.16,154.457,2737409.0
2020-02-27,152.323,155.483,149.037,149.586,2809533.0
2020-02-28,144.58,147.38,139.979,143.779,3829145.0
2020-02-29,144.58,147.38,139.979,143.779,3829145.0
2020-03-01,144.58,147.38,139.979,143.779,3829145.0
2020-03-02,144.562,148.767,141.901,148.586,2233308.0
2020-03-03,148.46,153.233,144.715,145.003,2418311.0
2020-03-04,147.155,152.809,145.147,151.513,2694732.0
2020-03-05,148.253,151.198,145.534,147.083,2951551.0
2020-03-06,143.472,147.83,141.455,146.786,1879412.0
2020-03-07,143.472,147.83,141.455,146.786,1879412.0
2020-03-08,143.472,147.83,141.455,146.786,1879412.0
2020-03-09,136.891,141.465,131.984,135.072,3241817.0
2020-03-10,139.565,140.132,134.703,139.826,2606861.0
2020-03-11,135.621,138.926,132.479,133.658,2753289.0
2020-03-12,123.926,125.564,115.723,119.055,5116173.0
2020-03-13,125.276,127.464,118.505,125.726,4187722.0
2020-03-14,125.276,127.464,118.505,125.726,4187722.0
2020-03-15,125.276,127.464,118.505,125.726,4187722.0
2020-03-16,113.679,123.439,113.679,114.076,3951441.0
2020-03-17,115.399,118.794,112.905,118.478,3327582.0
2020-03-18,111.095,113.734,104.181,109.043,2779973.0
2020-03-19,108.052,108.052,99.058,106.27,3248291.0
2020-03-20,106.414,109.7,101.993,102.632,3390521.0
2020-03-21,106.414,109.7,101.993,102.632,3390521.0
2020-03-22,106.414,109.7,101.993,102.632,3390521.0
2020-03-23,100.984,101.741,90.531,95.978,3724510.0
2020-03-24,101.029,104.469,99.562,102.83,3280783.0
2020-03-25,104.892,113.182,103.109,109.844,3310341.0
2020-03-26,112.068,121.441,111.771,119.892,2842417.0
2020-03-27,116.579,120.279,115.246,117.11,2431452.0
2020-03-28,116.579,120.279,115.246,117.11,2431452.0
2020-03-29,116.579,120.279,115.246,117.11,2431452.0
2020-03-30,117.047,121.062,114.418,120.288,1881072.0
2020-03-31,119.298,121.161,118.064,119.127,1703400.0
2020-04-01,114.085,116.146,112.716,114.706,1439055.0
2020-04-02,113.355,117.285,112.455,115.174,1426521.0
2020-04-03,114.562,115.781,112.275,113.157,1207451.0
2020-04-04,114.562,115.781,112.275,113.157,1207451.0
2020-04-05,114.562,115.781,112.275,113.157,1207451.0
2020-04-06,118.505,121.089,117.317,120.369,2370708.0
2020-04-07,126.42,127.293,120.81,121.008,2784044.0
2020-04-08,122.933,125.62,121.68,124.721,1700987.0
2020-04-09,127.408,129.324,125.829,128.008,2273702.0
2020-04-10,127.408,129.324,125.829,128.008,2273702.0
2020-04-11,127.408,129.324,125.829,128.008,2273702.0
2020-04-12,127.408,129.324,125.829,128.008,2273702.0
2020-04-13,127.944,128.384,123.932,124.322,1406886.0
2020-04-14,126.192,128.471,125.656,125.729,1446595.0
2020-04-15,122.733,123.46,119.647,121.471,1609201.0
2020-04-16,121.29,121.698,118.521,120.228,1289464.0
2020-04-17,123.469,126.637,122.774,125.448,2037044.0
2020-04-18,123.469,126.637,122.774,125.448,2037044.0
2020-04-19,123.469,126.637,122.774,125.448,2037044.0
2020-04-20,125.266,125.457,122.733,122.779,1272690.0
2020-04-21,120.237,121.508,118.63,119.547,1328052.0
2020-04-22,122.161,122.443,120.355,121.072,1693895.0
2020-04-23,121.644,122.384,118.34,118.458,1885229.0
2020-04-24,119.284,119.482,116.796,117.377,2652699.0
2020-04-25,119.284,119.482,116.796,117.377,2652699.0
2020-04-26,119.284,119.482,116.796,117.377,2652699.0
2020-04-27,118.013,123.096,117.795,122.098,3679637.0
