,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity,INDB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-10-09,73.9542,73.9542,72.5193,72.642,139554.0
2022-10-10,72.9724,73.8173,72.8308,73.1706,130521.0
2022-10-11,72.7175,74.3601,72.6892,73.5577,199711.0
2022-10-12,73.5577,74.3884,72.9157,73.6332,107724.0
2022-10-13,72.9157,76.8098,72.9157,76.1065,219586.0
2022-10-14,76.7768,77.8152,75.946,76.2859,170052.0
2022-10-15,76.7768,77.8152,75.946,76.2859,170052.0
2022-10-16,76.7768,77.8152,75.946,76.2859,170052.0
2022-10-17,77.2299,77.9379,75.9366,77.0977,200104.0
2022-10-18,77.6453,78.3249,76.7815,77.6547,188456.0
2022-10-19,77.2488,78.1173,76.6776,77.8057,185252.0
2022-10-20,77.683,77.8341,74.9737,75.8044,257530.0
2022-10-21,77.8152,79.9959,77.3998,78.7592,322759.0
2022-10-22,77.8152,79.9959,77.3998,78.7592,322759.0
2022-10-23,77.8152,79.9959,77.3998,78.7592,322759.0
2022-10-24,79.1557,79.9675,78.9102,79.9392,203140.0
2022-10-25,80.0336,81.5393,79.977,81.0059,211405.0
2022-10-26,81.3552,82.1199,79.8637,80.9965,148686.0
2022-10-27,81.1381,82.4503,80.8738,80.9776,156806.0
2022-10-28,81.9405,82.3181,80.9776,81.9877,221770.0
2022-10-29,81.9405,82.3181,80.9776,81.9877,221770.0
2022-10-30,81.9405,82.3181,80.9776,81.9877,221770.0
2022-10-31,81.7895,82.4597,81.2797,82.1388,242829.0
2022-11-01,82.422,82.7996,81.8744,82.101,198147.0
2022-11-02,81.8272,82.4031,80.3546,80.6095,193161.0
2022-11-03,80.2979,80.6755,79.099,80.1563,90517.0
2022-11-04,80.7888,82.016,80.6,81.78,111737.0
2022-11-05,80.7888,82.016,80.6,81.78,111737.0
2022-11-06,80.7888,82.016,80.6,81.78,111737.0
2022-11-07,81.8744,82.6485,81.629,82.3087,150526.0
2022-11-08,82.6674,83.5265,81.6101,81.9594,159855.0
2022-11-09,81.714,82.3087,80.9115,81.4024,126090.0
2022-11-10,82.7901,84.4138,82.7901,83.6114,212882.0
2022-11-11,83.5737,84.4516,81.629,81.7612,108172.0
2022-11-12,83.5737,84.4516,81.629,81.7612,108172.0
2022-11-13,83.5737,84.4516,81.629,81.7612,108172.0
2022-11-14,81.8839,83.0922,81.0579,81.1004,202948.0
