,PBH US Equity,PBH US Equity,PBH US Equity,PBH US Equity,PBH US Equity
2020-06-27,37.08,37.3,36.65,36.88,851748.0
2020-06-28,37.08,37.3,36.65,36.88,851748.0
2020-06-29,37.51,37.65,36.28,36.63,880348.0
2020-06-30,36.28,37.62,34.9,37.56,1204668.0
2020-07-01,37.61,37.905,36.84,36.89,447875.0
2020-07-02,37.3,37.3,36.02,36.17,524296.0
2020-07-03,37.3,37.3,36.02,36.17,524296.0
2020-07-04,37.3,37.3,36.02,36.17,524296.0
2020-07-05,37.3,37.3,36.02,36.17,524296.0
2020-07-06,36.6,36.665,35.68,36.28,390936.0
2020-07-07,35.98,36.9,35.98,36.57,379211.0
2020-07-08,36.44,36.69,36.0301,36.24,360485.0
2020-07-09,36.16,36.505,34.95,35.61,478404.0
2020-07-10,35.7,36.59,35.21,36.54,367979.0
2020-07-11,35.7,36.59,35.21,36.54,367979.0
2020-07-12,35.7,36.59,35.21,36.54,367979.0
2020-07-13,36.88,37.09,36.31,36.35,394618.0
2020-07-14,36.34,37.75,36.23,37.74,395027.0
2020-07-15,38.42,39.48,37.92,39.35,552373.0
2020-07-16,39.14,39.87,39.01,39.83,345859.0
2020-07-17,40.04,40.3,39.55,39.78,424213.0
2020-07-18,40.04,40.3,39.55,39.78,424213.0
2020-07-19,40.04,40.3,39.55,39.78,424213.0
2020-07-20,39.69,39.69,38.63,39.02,196624.0
2020-07-21,39.25,39.72,38.91,39.06,279464.0
2020-07-22,38.91,39.07,38.1,38.5,265255.0
2020-07-23,38.37,38.82,38.1,38.17,226868.0
2020-07-24,38.3,38.31,37.41,37.55,194730.0
2020-07-25,38.3,38.31,37.41,37.55,194730.0
2020-07-26,38.3,38.31,37.41,37.55,194730.0
2020-07-27,37.42,37.87,37.35,37.69,234496.0
2020-07-28,37.6,38.11,37.42,37.71,235142.0
2020-07-29,37.77,38.24,37.48,37.79,318030.0
2020-07-30,37.23,37.71,36.84,37.58,265925.0
2020-07-31,37.48,37.59,36.53,37.19,357825.0
2020-08-01,37.48,37.59,36.53,37.19,357825.0
2020-08-02,37.48,37.59,36.53,37.19,357825.0
2020-08-03,37.5,38.3,37.395,38.08,420724.0
2020-08-04,37.93,38.98,37.59,38.86,376836.0
2020-08-05,39.27,39.27,38.07,38.88,426358.0
2020-08-06,39.4,42.99,39.4,40.79,845452.0
2020-08-07,39.81,40.48,39.15,39.94,340937.0
2020-08-08,39.81,40.48,39.15,39.94,340937.0
2020-08-09,39.81,40.48,39.15,39.94,340937.0
2020-08-10,39.83,40.14,39.46,39.58,349621.0
2020-08-11,39.9,40.12,38.04,38.16,315800.0
2020-08-12,38.6,38.97,37.565,37.77,304615.0
2020-08-13,37.85,38.555,37.65,37.72,299731.0
2020-08-14,37.53,38.055,37.43,37.86,253969.0
2020-08-15,37.53,38.055,37.43,37.86,253969.0
2020-08-16,37.53,38.055,37.43,37.86,253969.0
2020-08-17,38.05,38.375,37.89,37.94,290180.0
2020-08-18,37.85,37.94,37.09,37.72,322582.0
2020-08-19,37.94,38.34,37.68,37.77,270527.0
2020-08-20,37.53,37.73,37.33,37.48,235365.0
2020-08-21,37.22,37.56,36.92,37.21,349106.0
2020-08-22,37.22,37.56,36.92,37.21,349106.0
2020-08-23,37.22,37.56,36.92,37.21,349106.0
2020-08-24,37.47,37.79,37.15,37.56,175771.0
2020-08-25,37.95,37.95,37.08,37.54,183471.0
2020-08-26,37.29,37.62,36.97,37.06,199244.0
2020-08-27,37.31,37.78,37.11,37.23,252800.0
2020-08-28,37.15,37.43,36.91,36.99,274097.0
2020-08-29,37.15,37.43,36.91,36.99,274097.0
2020-08-30,37.15,37.43,36.91,36.99,274097.0
2020-08-31,37.0,37.11,36.4,36.43,387907.0
2020-09-01,36.3,36.59,35.75,36.55,435695.0
2020-09-02,36.47,37.19,36.45,37.0,324797.0
2020-09-03,37.13,37.22,35.65,36.08,371944.0
2020-09-04,36.46,36.88,35.59,36.84,489212.0
2020-09-05,36.46,36.88,35.59,36.84,489212.0
2020-09-06,36.46,36.88,35.59,36.84,489212.0
2020-09-07,36.46,36.88,35.59,36.84,489212.0
2020-09-08,36.7,36.81,35.82,35.9,439527.0
2020-09-09,36.07,36.87,35.97,36.43,302015.0
2020-09-10,36.47,36.985,36.26,36.48,270776.0
2020-09-11,36.58,36.97,36.275,36.52,304791.0
2020-09-12,36.58,36.97,36.275,36.52,304791.0
2020-09-13,36.58,36.97,36.275,36.52,304791.0
2020-09-14,36.67,37.48,36.67,37.01,375690.0
2020-09-15,37.28,37.28,35.92,36.02,347935.0
2020-09-16,36.12,36.26,35.54,35.59,359144.0
2020-09-17,35.29,36.17,34.89,35.87,296830.0
2020-09-18,35.96,36.51,35.63,36.27,886283.0
2020-09-19,35.96,36.51,35.63,36.27,886283.0
2020-09-20,35.96,36.51,35.63,36.27,886283.0
2020-09-21,35.7,36.16,34.8,35.32,576150.0
2020-09-22,35.34,36.11,35.01,35.27,397083.0
2020-09-23,35.21,35.72,34.55,34.58,272590.0
2020-09-24,34.6,34.7,33.88,34.54,517292.0
2020-09-25,34.33,35.0,34.2025,34.55,521117.0
2020-09-26,34.33,35.0,34.2025,34.55,521117.0
2020-09-27,34.33,35.0,34.2025,34.55,521117.0
2020-09-28,34.64,35.3,34.56,35.22,353072.0
2020-09-29,35.41,35.49,34.74,35.22,328016.0
2020-09-30,35.47,36.52,35.45,36.42,446932.0
2020-10-01,36.56,36.725,35.79,36.11,504066.0
2020-10-02,35.68,36.15,35.48,35.8,268631.0
2020-10-03,35.68,36.15,35.48,35.8,268631.0
2020-10-04,35.68,36.15,35.48,35.8,268631.0
2020-10-05,36.08,36.56,36.0,36.45,238376.0
2020-10-06,36.71,37.065,36.17,36.22,263063.0
2020-10-07,36.34,36.63,35.86,36.29,303310.0
2020-10-08,36.68,36.89,36.25,36.54,203042.0
2020-10-09,36.91,37.17,36.475,37.16,211554.0
2020-10-10,36.91,37.17,36.475,37.16,211554.0
2020-10-11,36.91,37.17,36.475,37.16,211554.0
2020-10-12,37.13,37.66,36.94,37.55,126012.0
2020-10-13,37.17,37.26,36.44,36.49,260816.0
2020-10-14,36.39,36.81,35.74,35.75,322944.0
2020-10-15,35.44,36.22,35.08,36.15,408222.0
2020-10-16,36.34,36.93,36.14,36.29,230078.0
2020-10-17,36.34,36.93,36.14,36.29,230078.0
2020-10-18,36.34,36.93,36.14,36.29,230078.0
2020-10-19,36.44,36.44,34.74,34.85,223029.0
2020-10-20,35.06,35.47,34.78,34.89,274846.0
2020-10-21,34.78,35.07,34.15,34.16,207302.0
2020-10-22,33.86,34.67,33.82,34.5,369852.0
2020-10-23,34.73,34.97,33.92,34.17,207423.0
2020-10-24,34.73,34.97,33.92,34.17,207423.0
2020-10-25,34.73,34.97,33.92,34.17,207423.0
2020-10-26,33.81,34.56,33.4,34.33,327703.0
2020-10-27,34.16,34.73,33.1,33.21,261921.0
2020-10-28,32.66,32.91,32.42,32.69,527387.0
2020-10-29,32.59,33.58,32.195,33.25,306972.0
2020-10-30,33.0,33.35,32.665,33.03,421519.0
2020-10-31,33.0,33.35,32.665,33.03,421519.0
2020-11-01,33.0,33.35,32.665,33.03,421519.0
2020-11-02,33.5,33.95,33.12,33.6,304881.0
2020-11-03,34.09,34.6,33.86,34.31,333746.0
2020-11-04,33.81,35.11,33.81,34.26,261610.0
2020-11-05,34.58,35.36,33.54,33.68,956972.0
2020-11-06,33.7,34.36,32.86,33.05,734639.0
2020-11-07,33.7,34.36,32.86,33.05,734639.0
2020-11-08,33.7,34.36,32.86,33.05,734639.0
2020-11-09,34.26,35.34,33.87,34.1,429796.0
2020-11-10,34.4,35.83,34.38,35.28,892390.0
2020-11-11,35.44,35.63,34.8,35.23,328615.0
2020-11-12,35.02,35.37,34.58,35.24,296243.0
2020-11-13,35.41,36.21,35.23,36.01,263964.0
2020-11-14,35.41,36.21,35.23,36.01,263964.0
2020-11-15,35.41,36.21,35.23,36.01,263964.0
2020-11-16,36.53,36.67,35.73,36.4,334072.0
2020-11-17,36.05,36.565,35.84,36.47,391673.0
2020-11-18,36.61,37.375,35.795,35.98,438049.0
2020-11-19,35.93,36.44,35.57,36.21,277020.0
2020-11-20,36.08,36.455,35.755,36.13,506146.0
2020-11-21,36.08,36.455,35.755,36.13,506146.0
2020-11-22,36.08,36.455,35.755,36.13,506146.0
2020-11-23,36.36,36.575,35.69,35.86,404465.0
2020-11-24,36.2,36.97,35.9,36.84,258683.0
2020-11-25,36.71,36.89,35.91,36.37,215393.0
2020-11-26,36.71,36.89,35.91,36.37,215393.0
2020-11-27,36.3,36.8,35.88,36.67,126392.0
2020-11-28,36.3,36.8,35.88,36.67,126392.0
2020-11-29,36.3,36.8,35.88,36.67,126392.0
2020-11-30,36.54,36.95,35.4,35.57,479507.0
2020-12-01,35.92,36.1,35.33,35.97,460337.0
2020-12-02,35.94,36.46,35.2344,35.6,269696.0
2020-12-03,35.6,35.85,35.16,35.39,350921.0
2020-12-04,35.59,36.71,35.27,36.64,434844.0
2020-12-05,35.59,36.71,35.27,36.64,434844.0
2020-12-06,35.59,36.71,35.27,36.64,434844.0
2020-12-07,36.56,36.7,36.1,36.21,290728.0
2020-12-08,36.05,37.59,35.86,37.52,478079.0
2020-12-09,37.8,37.99,37.19,37.56,349233.0
2020-12-10,37.38,37.83,37.2,37.69,309390.0
2020-12-11,37.46,37.89,36.71,36.73,240783.0
2020-12-12,37.46,37.89,36.71,36.73,240783.0
2020-12-13,37.46,37.89,36.71,36.73,240783.0
2020-12-14,37.15,37.15,35.88,36.29,419505.0
2020-12-15,36.55,36.7,35.83,36.29,317728.0
2020-12-16,36.49,36.56,35.92,35.96,350583.0
2020-12-17,36.05,36.22,35.41,36.19,360428.0
2020-12-18,36.3,36.785,35.89,36.14,837638.0
2020-12-19,36.3,36.785,35.89,36.14,837638.0
2020-12-20,36.3,36.785,35.89,36.14,837638.0
2020-12-21,35.43,35.76,34.67,34.9,268050.0
2020-12-22,34.83,35.11,34.26,34.6,220541.0
2020-12-23,34.62,35.1,34.48,34.76,217962.0
2020-12-24,34.94,35.17,34.62,34.9,97219.0
2020-12-25,34.94,35.17,34.62,34.9,97219.0
2020-12-26,34.94,35.17,34.62,34.9,97219.0
2020-12-27,34.94,35.17,34.62,34.9,97219.0
2020-12-28,35.06,35.68,34.67,35.17,270600.0
2020-12-29,35.22,35.64,34.89,35.2,226272.0
2020-12-30,35.19,35.66,34.69,34.97,224502.0
2020-12-31,34.91,35.14,34.53,34.87,214392.0
2021-01-01,34.91,35.14,34.53,34.87,214392.0
2021-01-02,34.91,35.14,34.53,34.87,214392.0
2021-01-03,34.91,35.14,34.53,34.87,214392.0
2021-01-04,34.98,36.31,34.74,36.16,401621.0
2021-01-05,36.17,37.44,36.05,36.51,468498.0
2021-01-06,36.72,38.2,36.37,37.47,392620.0
2021-01-07,37.48,37.84,36.68,37.47,266540.0
2021-01-08,37.45,37.58,36.67,37.11,344190.0
2021-01-09,37.45,37.58,36.67,37.11,344190.0
2021-01-10,37.45,37.58,36.67,37.11,344190.0
2021-01-11,36.92,37.8,36.92,37.11,228439.0
2021-01-12,37.23,37.655,37.12,37.51,287983.0
2021-01-13,37.61,37.72,37.3,37.7,314217.0
2021-01-14,38.01,38.24,37.73,37.78,290273.0
2021-01-15,37.58,38.02,37.07,37.52,334402.0
2021-01-16,37.58,38.02,37.07,37.52,334402.0
2021-01-17,37.58,38.02,37.07,37.52,334402.0
2021-01-18,37.58,38.02,37.07,37.52,334402.0
2021-01-19,37.99,38.25,37.19,38.05,464202.0
2021-01-20,37.91,38.67,37.76,38.1,466925.0
2021-01-21,38.23,38.67,37.89,37.95,255563.0
2021-01-22,37.6,38.13,37.35,38.08,249307.0
2021-01-23,37.6,38.13,37.35,38.08,249307.0
2021-01-24,37.6,38.13,37.35,38.08,249307.0
2021-01-25,37.89,39.29,37.78,39.27,280908.0
2021-01-26,42.61,44.63,41.77,42.5,2569027.0
2021-01-27,42.1,43.49,41.43,41.97,1627292.0
2021-01-28,42.12,42.81,40.35,40.62,10069223.0
2021-01-29,40.59,40.93,39.56,40.0,781509.0
2021-01-30,40.59,40.93,39.56,40.0,781509.0
2021-01-31,40.59,40.93,39.56,40.0,781509.0
2021-02-01,40.11,41.75,39.76,40.89,712635.0
2021-02-02,41.26,41.68,40.2,40.26,508827.0
2021-02-03,40.03,41.26,39.44,40.95,834828.0
2021-02-04,40.59,42.37,40.32,41.73,522278.0
2021-02-05,41.97,42.37,41.11,42.27,385258.0
2021-02-06,41.97,42.37,41.11,42.27,385258.0
2021-02-07,41.97,42.37,41.11,42.27,385258.0
2021-02-08,42.5,43.0,42.13,42.8,505878.0
2021-02-09,42.98,43.4,42.64,43.21,372888.0
2021-02-10,43.55,44.14,43.17,44.08,455170.0
2021-02-11,44.21,45.29,43.95,44.67,469838.0
2021-02-12,44.48,44.67,43.4,43.66,438697.0
2021-02-13,44.48,44.67,43.4,43.66,438697.0
2021-02-14,44.48,44.67,43.4,43.66,438697.0
2021-02-15,44.48,44.67,43.4,43.66,438697.0
2021-02-16,43.78,44.09,42.25,42.41,438441.0
2021-02-17,42.24,43.0,42.05,42.43,393702.0
2021-02-18,42.19,42.62,41.8,42.13,489331.0
2021-02-19,42.14,42.42,41.295,41.33,727235.0
2021-02-20,42.14,42.42,41.295,41.33,727235.0
2021-02-21,42.14,42.42,41.295,41.33,727235.0
2021-02-22,40.94,41.6,40.485,41.56,273401.0
2021-02-23,41.46,41.92,41.24,41.48,459111.0
2021-02-24,41.62,42.36,41.45,42.07,318867.0
2021-02-25,41.97,42.78,41.54,41.77,235601.0
2021-02-26,42.0,42.525,41.31,41.71,444573.0
2021-02-27,42.0,42.525,41.31,41.71,444573.0
2021-02-28,42.0,42.525,41.31,41.71,444573.0
2021-03-01,42.13,42.885,42.13,42.28,251724.0
2021-03-02,42.17,42.7,41.84,42.01,384794.0
2021-03-03,41.97,42.92,41.75,42.31,410719.0
2021-03-04,42.19,43.06,42.0,42.45,498596.0
2021-03-05,42.8,43.55,42.525,43.53,469092.0
2021-03-06,42.8,43.55,42.525,43.53,469092.0
2021-03-07,42.8,43.55,42.525,43.53,469092.0
2021-03-08,43.8,45.93,43.745,45.77,412298.0
2021-03-09,45.67,46.91,45.61,45.97,447137.0
2021-03-10,46.38,46.62,45.97,46.27,238534.0
2021-03-11,46.26,46.45,45.3,45.86,304713.0
2021-03-12,46.06,46.66,45.74,46.48,221473.0
2021-03-13,46.06,46.66,45.74,46.48,221473.0
2021-03-14,46.06,46.66,45.74,46.48,221473.0
2021-03-15,46.42,47.67,46.33,47.63,266358.0
2021-03-16,47.6,47.98,46.73,46.88,198590.0
2021-03-17,47.06,47.07,46.24,46.65,227254.0
2021-03-18,46.38,46.75,45.82,45.96,274348.0
2021-03-19,45.96,46.66,45.62,45.83,892805.0
2021-03-20,45.96,46.66,45.62,45.83,892805.0
2021-03-21,45.96,46.66,45.62,45.83,892805.0
2021-03-22,45.72,46.17,45.19,45.65,224453.0
2021-03-23,45.25,45.655,44.68,44.84,249585.0
2021-03-24,44.89,45.45,44.2,44.2,307199.0
2021-03-25,44.0,44.45,43.39,44.29,337963.0
2021-03-26,44.67,45.255,44.04,45.05,298314.0
2021-03-27,44.67,45.255,44.04,45.05,298314.0
2021-03-28,44.67,45.255,44.04,45.05,298314.0
2021-03-29,44.92,46.15,44.79,44.94,283651.0
2021-03-30,44.91,45.23,43.5,43.7,393968.0
2021-03-31,43.67,44.575,43.3543,44.08,463033.0
2021-04-01,44.07,44.07,42.72,43.07,394981.0
2021-04-02,44.07,44.07,42.72,43.07,394981.0
2021-04-03,44.07,44.07,42.72,43.07,394981.0
2021-04-04,44.07,44.07,42.72,43.07,394981.0
2021-04-05,43.19,43.67,42.74,42.92,419133.0
2021-04-06,43.06,43.8,42.7,43.32,488050.0
2021-04-07,43.29,44.06,43.26,43.48,238792.0
2021-04-08,43.53,44.725,43.14,43.95,256384.0
2021-04-09,43.88,44.34,43.57,43.75,267745.0
2021-04-10,43.88,44.34,43.57,43.75,267745.0
2021-04-11,43.88,44.34,43.57,43.75,267745.0
2021-04-12,43.8,44.34,43.53,44.3,228018.0
2021-04-13,44.09,44.33,43.49,44.04,301501.0
2021-04-14,44.06,44.55,43.57,43.81,207411.0
2021-04-15,44.13,45.09,44.11,45.03,251687.0
2021-04-16,45.39,45.73,44.88,45.22,270939.0
2021-04-17,45.39,45.73,44.88,45.22,270939.0
2021-04-18,45.39,45.73,44.88,45.22,270939.0
2021-04-19,45.39,45.58,44.86,45.18,187681.0
2021-04-20,45.11,45.47,44.805,45.16,189506.0
2021-04-21,45.39,45.89,45.12,45.8,208451.0
2021-04-22,45.7,45.81,45.02,45.81,305968.0
2021-04-23,45.96,45.96,44.81,44.81,202491.0
2021-04-24,45.96,45.96,44.81,44.81,202491.0
2021-04-25,45.96,45.96,44.81,44.81,202491.0
2021-04-26,44.83,45.025,43.72,44.06,224516.0
2021-04-27,43.92,44.42,43.695,43.82,229151.0
2021-04-28,43.81,44.35,43.38,43.42,205524.0
2021-04-29,43.46,44.18,43.21,44.09,162470.0
2021-04-30,44.01,44.14,43.4,43.56,244074.0
2021-05-01,44.01,44.14,43.4,43.56,244074.0
2021-05-02,44.01,44.14,43.4,43.56,244074.0
2021-05-03,43.83,44.5,43.463,44.33,308424.0
2021-05-04,44.33,44.35,43.76,44.32,193904.0
2021-05-05,44.26,44.37,43.48,44.34,354475.0
2021-05-06,44.51,47.15,44.37,47.1,322225.0
2021-05-07,46.93,47.33,45.93,46.1,212665.0
2021-05-08,46.93,47.33,45.93,46.1,212665.0
