,JLL US Equity,JLL US Equity,JLL US Equity,JLL US Equity,JLL US Equity
2020-07-17,105.44,106.15,104.91,105.6,194864.0
2020-07-18,105.44,106.15,104.91,105.6,194864.0
2020-07-19,105.44,106.15,104.91,105.6,194864.0
2020-07-20,104.67,105.16,101.27,101.38,243766.0
2020-07-21,102.11,103.59,100.0,100.4,369476.0
2020-07-22,100.0,102.92,100.0,101.37,352135.0
2020-07-23,100.88,102.47,100.51,102.21,292569.0
2020-07-24,102.27,102.965,99.845,100.06,279117.0
2020-07-25,102.27,102.965,99.845,100.06,279117.0
2020-07-26,102.27,102.965,99.845,100.06,279117.0
2020-07-27,99.22,99.22,96.25,98.39,378103.0
2020-07-28,97.54,98.845,96.61,96.96,308468.0
2020-07-29,96.5,98.5,95.9,97.86,494315.0
2020-07-30,96.22,99.24,94.43,99.07,503546.0
2020-07-31,99.29,99.83,95.93,98.91,318603.0
2020-08-01,99.29,99.83,95.93,98.91,318603.0
2020-08-02,99.29,99.83,95.93,98.91,318603.0
2020-08-03,99.03,99.03,93.19,93.92,343812.0
2020-08-04,94.32,95.94,93.69,94.39,388638.0
2020-08-05,95.84,96.22,94.16,96.13,572463.0
2020-08-06,96.02,97.61,87.67,90.0,1157045.0
2020-08-07,90.68,95.74,90.02,94.73,604228.0
2020-08-08,90.68,95.74,90.02,94.73,604228.0
2020-08-09,90.68,95.74,90.02,94.73,604228.0
2020-08-10,94.76,98.36,94.74,98.19,426052.0
2020-08-11,100.0,106.405,100.0,105.4,579479.0
2020-08-12,106.56,107.085,103.21,103.86,365381.0
2020-08-13,102.71,102.73,98.065,98.91,319403.0
2020-08-14,98.38,102.085,97.68,100.35,252905.0
2020-08-15,98.38,102.085,97.68,100.35,252905.0
2020-08-16,98.38,102.085,97.68,100.35,252905.0
2020-08-17,100.12,100.5,99.36,100.37,285761.0
2020-08-18,100.0,100.75,96.83,96.98,366240.0
2020-08-19,96.98,97.69,95.365,96.73,243261.0
2020-08-20,96.12,96.63,94.04,94.43,493796.0
2020-08-21,94.75,97.49,94.16,96.87,386822.0
2020-08-22,94.75,97.49,94.16,96.87,386822.0
2020-08-23,94.75,97.49,94.16,96.87,386822.0
2020-08-24,97.49,101.93,96.3268,101.67,304257.0
2020-08-25,102.62,103.45,100.3375,103.0,369050.0
2020-08-26,103.06,103.79,101.63,103.54,382045.0
2020-08-27,103.59,105.2,103.08,104.38,323686.0
2020-08-28,104.68,105.06,102.9,104.79,282127.0
2020-08-29,104.68,105.06,102.9,104.79,282127.0
2020-08-30,104.68,105.06,102.9,104.79,282127.0
2020-08-31,105.4,105.4,101.54,103.04,400480.0
2020-09-01,102.07,103.0,100.53,102.56,237651.0
2020-09-02,102.9,105.05,101.77,104.86,346296.0
2020-09-03,105.42,107.905,102.5,102.96,341128.0
2020-09-04,104.24,104.98,100.5,103.03,193657.0
2020-09-05,104.24,104.98,100.5,103.03,193657.0
2020-09-06,104.24,104.98,100.5,103.03,193657.0
2020-09-07,104.24,104.98,100.5,103.03,193657.0
2020-09-08,102.16,102.68,100.69,101.21,237125.0
2020-09-09,101.62,104.09,100.81,103.23,248715.0
2020-09-10,103.65,104.1,100.66,100.89,268651.0
2020-09-11,101.39,101.39,98.09,100.75,278359.0
2020-09-12,101.39,101.39,98.09,100.75,278359.0
2020-09-13,101.39,101.39,98.09,100.75,278359.0
2020-09-14,101.28,106.61,101.28,105.94,280341.0
2020-09-15,106.94,108.64,105.49,107.0,348568.0
2020-09-16,108.0,109.705,106.58,106.93,387008.0
2020-09-17,106.08,107.0,104.19,106.07,287471.0
2020-09-18,106.21,106.63,102.96,103.22,593982.0
2020-09-19,106.21,106.63,102.96,103.22,593982.0
2020-09-20,106.21,106.63,102.96,103.22,593982.0
2020-09-21,100.5,100.67,95.595,98.73,600612.0
2020-09-22,99.24,101.085,95.7,95.89,541537.0
2020-09-23,95.92,97.01,92.02,92.28,555272.0
2020-09-24,92.27,95.5,90.86,94.32,666674.0
2020-09-25,93.39,96.08,93.19,95.0,547056.0
2020-09-26,93.39,96.08,93.19,95.0,547056.0
2020-09-27,93.39,96.08,93.19,95.0,547056.0
2020-09-28,97.37,98.87,96.61,97.47,527368.0
2020-09-29,97.59,98.15,95.34,96.12,360841.0
2020-09-30,97.09,98.42,94.92,95.66,511655.0
2020-10-01,96.77,98.24,95.63,96.5,433272.0
2020-10-02,94.0,99.41,93.91,99.2,505274.0
2020-10-03,94.0,99.41,93.91,99.2,505274.0
2020-10-04,94.0,99.41,93.91,99.2,505274.0
2020-10-05,100.3,101.86,99.73,101.57,318195.0
2020-10-06,102.54,106.53,101.8,104.03,391800.0
2020-10-07,105.49,105.82,103.57,105.45,302427.0
2020-10-08,104.0,108.05,104.0,107.97,438171.0
2020-10-09,109.11,109.85,106.72,107.13,334268.0
2020-10-10,109.11,109.85,106.72,107.13,334268.0
2020-10-11,109.11,109.85,106.72,107.13,334268.0
2020-10-12,107.82,108.67,105.7224,108.24,176238.0
2020-10-13,107.68,108.65,107.145,108.1,358581.0
2020-10-14,107.43,108.87,107.0,108.35,230422.0
2020-10-15,106.84,111.05,106.515,110.33,282957.0
2020-10-16,110.05,110.05,107.685,108.84,232249.0
2020-10-17,110.05,110.05,107.685,108.84,232249.0
2020-10-18,110.05,110.05,107.685,108.84,232249.0
2020-10-19,108.97,111.46,108.615,109.12,410490.0
2020-10-20,110.35,111.34,109.62,109.83,254804.0
2020-10-21,109.12,111.69,108.8,110.4,441348.0
2020-10-22,110.49,111.83,109.48,111.41,507830.0
2020-10-23,112.65,113.36,111.03,111.86,488783.0
2020-10-24,112.65,113.36,111.03,111.86,488783.0
2020-10-25,112.65,113.36,111.03,111.86,488783.0
2020-10-26,110.39,110.62,109.06,110.47,471006.0
2020-10-27,109.87,110.85,105.81,105.86,465440.0
2020-10-28,103.31,104.83,101.39,101.63,583638.0
2020-10-29,102.6,114.47,101.64,113.1,609203.0
2020-10-30,111.72,114.15,110.5,112.86,550947.0
2020-10-31,111.72,114.15,110.5,112.86,550947.0
2020-11-01,111.72,114.15,110.5,112.86,550947.0
2020-11-02,117.0,123.845,115.73,117.82,902754.0
2020-11-03,119.82,120.4,111.4,115.26,657006.0
2020-11-04,114.96,117.04,111.52,114.03,323057.0
2020-11-05,115.37,120.22,115.15,119.84,357541.0
2020-11-06,119.56,119.93,115.05,116.75,291615.0
2020-11-07,119.56,119.93,115.05,116.75,291615.0
2020-11-08,119.56,119.93,115.05,116.75,291615.0
2020-11-09,126.61,141.41,126.34,137.13,1498787.0
2020-11-10,137.84,138.51,131.38,133.65,881681.0
2020-11-11,134.14,134.28,128.27,129.42,517299.0
2020-11-12,128.05,129.46,125.45,127.69,473415.0
2020-11-13,128.85,133.27,128.85,132.45,360132.0
2020-11-14,128.85,133.27,128.85,132.45,360132.0
2020-11-15,128.85,133.27,128.85,132.45,360132.0
2020-11-16,138.57,139.6,135.005,138.05,710384.0
2020-11-17,136.48,141.73,134.05,140.82,344572.0
2020-11-18,141.05,141.05,137.27,137.61,391746.0
2020-11-19,135.23,135.84,131.97,134.23,512995.0
2020-11-20,134.2,135.05,131.64,131.81,534513.0
2020-11-21,134.2,135.05,131.64,131.81,534513.0
2020-11-22,134.2,135.05,131.64,131.81,534513.0
2020-11-23,133.12,136.33,130.8826,135.98,641065.0
2020-11-24,137.85,141.81,137.37,140.73,514028.0
2020-11-25,140.0,140.01,136.51,137.25,834403.0
2020-11-26,140.0,140.01,136.51,137.25,834403.0
2020-11-27,137.23,137.7,133.02,133.96,532289.0
2020-11-28,137.23,137.7,133.02,133.96,532289.0
2020-11-29,137.23,137.7,133.02,133.96,532289.0
2020-11-30,133.31,136.845,131.91,132.29,5007752.0
2020-12-01,134.5,135.91,132.49,133.91,611105.0
2020-12-02,133.36,135.45,133.25,135.21,427836.0
2020-12-03,135.18,139.88,135.18,138.94,524795.0
2020-12-04,140.02,145.51,139.37,145.11,489041.0
2020-12-05,140.02,145.51,139.37,145.11,489041.0
2020-12-06,140.02,145.51,139.37,145.11,489041.0
2020-12-07,145.06,148.51,143.46,147.91,576762.0
2020-12-08,146.7,149.25,146.53,149.21,552392.0
2020-12-09,150.17,152.645,149.29,150.1,670326.0
2020-12-10,148.07,153.12,147.55,152.67,585073.0
2020-12-11,151.02,153.22,148.19,148.27,834147.0
2020-12-12,151.02,153.22,148.19,148.27,834147.0
2020-12-13,151.02,153.22,148.19,148.27,834147.0
2020-12-14,148.79,149.38,143.265,145.36,477899.0
2020-12-15,146.61,150.89,144.84,150.88,493651.0
2020-12-16,151.5,152.75,148.58,151.2,610886.0
2020-12-17,151.19,151.29,146.06,147.5,302363.0
2020-12-18,148.42,149.12,145.38,148.33,986595.0
2020-12-19,148.42,149.12,145.38,148.33,986595.0
2020-12-20,148.42,149.12,145.38,148.33,986595.0
2020-12-21,146.05,147.88,144.86,146.65,454550.0
2020-12-22,147.37,149.11,145.2,149.07,324782.0
2020-12-23,149.6,153.49,149.6,151.85,351742.0
2020-12-24,153.07,154.04,151.08,153.76,97378.0
2020-12-25,153.07,154.04,151.08,153.76,97378.0
2020-12-26,153.07,154.04,151.08,153.76,97378.0
2020-12-27,153.07,154.04,151.08,153.76,97378.0
2020-12-28,155.0,155.49,151.53,152.81,204181.0
2020-12-29,153.15,153.86,149.15,150.87,257086.0
2020-12-30,150.3,152.26,148.77,149.23,199296.0
2020-12-31,148.95,149.42,146.7,148.37,314912.0
2021-01-01,148.95,149.42,146.7,148.37,314912.0
2021-01-02,148.95,149.42,146.7,148.37,314912.0
2021-01-03,148.95,149.42,146.7,148.37,314912.0
2021-01-04,149.82,149.82,141.39,142.33,232830.0
2021-01-05,142.05,145.48,141.88,143.32,372979.0
2021-01-06,146.06,149.87,144.91,148.22,466058.0
2021-01-07,149.62,149.63,145.64,147.89,384512.0
2021-01-08,148.7,151.93,147.615,149.69,275337.0
2021-01-09,148.7,151.93,147.615,149.69,275337.0
2021-01-10,148.7,151.93,147.615,149.69,275337.0
2021-01-11,148.49,150.45,148.39,150.2,269041.0
2021-01-12,150.93,154.47,150.285,152.79,299049.0
2021-01-13,152.71,154.14,146.93,147.24,394136.0
2021-01-14,149.24,151.73,148.53,149.07,381084.0
2021-01-15,148.3,149.82,146.11,148.3,240615.0
2021-01-16,148.3,149.82,146.11,148.3,240615.0
2021-01-17,148.3,149.82,146.11,148.3,240615.0
2021-01-18,148.3,149.82,146.11,148.3,240615.0
2021-01-19,149.5,151.43,146.26,149.71,237297.0
2021-01-20,149.42,156.355,148.75,154.11,342665.0
2021-01-21,152.99,155.46,151.91,154.33,258215.0
2021-01-22,153.38,161.07,152.7286,159.9,330422.0
2021-01-23,153.38,161.07,152.7286,159.9,330422.0
2021-01-24,153.38,161.07,152.7286,159.9,330422.0
2021-01-25,161.18,161.18,154.9,158.65,386931.0
2021-01-26,159.41,159.71,152.59,152.75,333186.0
2021-01-27,150.84,155.17,150.19,152.26,651602.0
2021-01-28,153.27,155.69,152.1725,153.79,430541.0
2021-01-29,153.27,153.27,145.085,146.21,492145.0
2021-01-30,153.27,153.27,145.085,146.21,492145.0
2021-01-31,153.27,153.27,145.085,146.21,492145.0
2021-02-01,147.02,151.275,145.82,151.22,577066.0
2021-02-02,153.52,153.7372,150.08,152.38,860132.0
2021-02-03,151.58,151.76,148.77,150.0,1354223.0
2021-02-04,150.97,154.29,149.28,153.27,909060.0
2021-02-05,154.87,155.4,153.435,154.26,459707.0
2021-02-06,154.87,155.4,153.435,154.26,459707.0
2021-02-07,154.87,155.4,153.435,154.26,459707.0
2021-02-08,154.35,156.98,153.825,156.71,475723.0
2021-02-09,158.1,163.81,152.84,155.82,805457.0
2021-02-10,155.61,156.7,153.17,154.32,401524.0
2021-02-11,154.74,159.65,154.16,156.74,429089.0
2021-02-12,156.57,159.01,154.28,155.72,282196.0
2021-02-13,156.57,159.01,154.28,155.72,282196.0
2021-02-14,156.57,159.01,154.28,155.72,282196.0
2021-02-15,156.57,159.01,154.28,155.72,282196.0
2021-02-16,156.18,156.61,154.045,154.86,282326.0
2021-02-17,152.9,154.2,151.41,151.42,199689.0
2021-02-18,150.57,150.97,148.56,150.59,214615.0
2021-02-19,152.04,156.92,150.97,156.92,306466.0
2021-02-20,152.04,156.92,150.97,156.92,306466.0
2021-02-21,152.04,156.92,150.97,156.92,306466.0
2021-02-22,156.35,167.615,156.045,166.56,557577.0
2021-02-23,165.72,172.97,165.72,172.06,555252.0
2021-02-24,172.06,175.0,171.75,174.38,370326.0
2021-02-25,174.34,174.65,169.22,171.45,560321.0
2021-02-26,172.48,175.4,171.38,173.98,690106.0
2021-02-27,172.48,175.4,171.38,173.98,690106.0
2021-02-28,172.48,175.4,171.38,173.98,690106.0
2021-03-01,177.21,179.99,176.85,178.92,575449.0
2021-03-02,180.0,180.6,177.53,178.25,712232.0
2021-03-03,179.13,186.18,178.12,181.78,586855.0
2021-03-04,182.44,183.04,171.8,173.97,514982.0
2021-03-05,175.29,177.46,169.76,177.18,427297.0
2021-03-06,175.29,177.46,169.76,177.18,427297.0
2021-03-07,175.29,177.46,169.76,177.18,427297.0
2021-03-08,177.87,180.27,174.73,177.29,371294.0
2021-03-09,177.79,177.94,172.03,175.56,320147.0
2021-03-10,175.21,176.66,173.41,174.09,245245.0
2021-03-11,175.91,176.19,173.23,175.26,247480.0
2021-03-12,173.96,176.89,173.321,175.8,250875.0
2021-03-13,173.96,176.89,173.321,175.8,250875.0
2021-03-14,173.96,176.89,173.321,175.8,250875.0
2021-03-15,176.0,180.96,173.63,180.12,273342.0
2021-03-16,180.54,180.85,175.95,176.29,183578.0
2021-03-17,175.63,179.63,174.55,179.61,185089.0
2021-03-18,178.68,182.2,176.69,177.77,198386.0
2021-03-19,178.43,179.48,173.41,175.02,509354.0
2021-03-20,178.43,179.48,173.41,175.02,509354.0
2021-03-21,178.43,179.48,173.41,175.02,509354.0
2021-03-22,174.79,176.76,173.5598,175.41,192855.0
2021-03-23,173.61,175.78,171.35,172.65,390417.0
2021-03-24,174.68,176.2,170.43,170.67,201056.0
2021-03-25,169.34,175.905,167.06,175.13,380949.0
2021-03-26,176.82,181.09,174.74,181.09,311236.0
2021-03-27,176.82,181.09,174.74,181.09,311236.0
2021-03-28,176.82,181.09,174.74,181.09,311236.0
2021-03-29,179.44,182.18,176.39,177.75,265063.0
2021-03-30,177.8,181.29,176.79,179.13,385883.0
2021-03-31,178.75,182.38,177.2,179.04,329180.0
2021-04-01,180.66,184.52,179.265,184.52,297708.0
2021-04-02,180.66,184.52,179.265,184.52,297708.0
2021-04-03,180.66,184.52,179.265,184.52,297708.0
2021-04-04,180.66,184.52,179.265,184.52,297708.0
2021-04-05,185.0,186.6,183.15,185.82,252747.0
2021-04-06,184.87,185.43,181.66,182.44,308999.0
2021-04-07,183.04,183.64,178.82,180.69,213635.0
2021-04-08,180.08,183.34,177.69,182.22,281252.0
2021-04-09,181.98,183.52,179.25,183.32,213112.0
2021-04-10,181.98,183.52,179.25,183.32,213112.0
2021-04-11,181.98,183.52,179.25,183.32,213112.0
2021-04-12,183.3,183.3,179.24,182.02,357829.0
2021-04-13,182.63,182.63,178.1,179.18,220638.0
2021-04-14,179.91,183.56,179.2841,179.63,175717.0
2021-04-15,180.7,181.68,178.04,180.56,382817.0
2021-04-16,181.39,182.27,177.85,179.18,268686.0
2021-04-17,181.39,182.27,177.85,179.18,268686.0
2021-04-18,181.39,182.27,177.85,179.18,268686.0
2021-04-19,178.43,179.81,177.38,179.34,339652.0
2021-04-20,178.61,180.21,174.685,176.38,189715.0
2021-04-21,175.68,178.08,175.0,177.6,207131.0
2021-04-22,177.64,179.18,175.32,176.19,264409.0
2021-04-23,177.65,179.27,176.42,178.22,233607.0
2021-04-24,177.65,179.27,176.42,178.22,233607.0
2021-04-25,177.65,179.27,176.42,178.22,233607.0
2021-04-26,179.62,181.455,178.4,179.13,207551.0
2021-04-27,180.3,181.37,176.975,180.98,177216.0
2021-04-28,181.24,181.35,177.92,178.66,190369.0
2021-04-29,180.89,187.86,180.43,186.11,334614.0
2021-04-30,185.6,188.76,185.37,187.91,319198.0
2021-05-01,185.6,188.76,185.37,187.91,319198.0
2021-05-02,185.6,188.76,185.37,187.91,319198.0
2021-05-03,189.8,192.32,187.54,191.45,450286.0
2021-05-04,190.95,192.07,188.8,191.04,331770.0
2021-05-05,192.9,192.9,185.41,187.97,318688.0
2021-05-06,190.5,193.39,186.31,193.2,331204.0
2021-05-07,192.29,199.07,192.29,199.03,230716.0
2021-05-08,192.29,199.07,192.29,199.03,230716.0
