,STC US Equity,STC US Equity,STC US Equity,STC US Equity,STC US Equity
2020-02-25,34.8316,35.0582,34.1602,34.3607,292803.0
2020-02-26,34.7008,34.7008,33.4104,33.5237,116972.0
2020-02-27,32.9832,33.3842,32.0939,32.1985,202074.0
2020-02-28,31.8149,32.1636,31.2045,31.5446,322946.0
2020-02-29,31.8149,32.1636,31.2045,31.5446,322946.0
2020-03-01,31.8149,32.1636,31.2045,31.5446,322946.0
2020-03-02,31.6492,33.4366,31.0302,33.4278,155682.0
2020-03-03,33.4017,33.7068,31.8236,32.3903,146338.0
2020-03-04,32.8088,33.6632,32.5385,33.5761,74782.0
2020-03-05,32.896,33.5761,32.7391,33.3668,215427.0
2020-03-06,32.5385,33.2273,32.1026,33.0268,168527.0
2020-03-07,32.5385,33.2273,32.1026,33.0268,168527.0
2020-03-08,32.5385,33.2273,32.1026,33.0268,168527.0
2020-03-09,30.9168,31.4661,29.9578,30.1409,146465.0
2020-03-10,30.6378,30.8122,28.602,29.8444,269485.0
2020-03-11,29.1818,29.6875,27.9437,28.5192,148576.0
2020-03-12,26.54,27.3508,24.7265,25.1014,169369.0
2020-03-13,26.0706,29.2512,25.9031,29.1807,202493.0
2020-03-14,26.0706,29.2512,25.9031,29.1807,202493.0
2020-03-15,26.0706,29.2512,25.9031,29.1807,202493.0
2020-03-16,26.4846,26.8547,22.3084,22.934,204716.0
2020-03-17,23.3305,23.6653,20.4318,21.6212,212865.0
2020-03-18,20.1498,20.1498,17.8503,18.7666,217852.0
2020-03-19,18.5992,21.8327,18.097,20.5551,282898.0
2020-03-20,20.6873,22.4318,20.1498,20.6256,271860.0
2020-03-21,20.6873,22.4318,20.1498,20.6256,271860.0
2020-03-22,20.6873,22.4318,20.1498,20.6256,271860.0
2020-03-23,20.4846,20.7137,19.3833,20.1498,342187.0
2020-03-24,21.2071,22.5727,20.9095,22.326,145150.0
2020-03-25,22.4846,23.3657,21.326,22.9252,341744.0
2020-03-26,22.9252,24.5816,22.9252,23.9824,167146.0
2020-03-27,23.0661,24.5904,22.978,23.0926,118079.0
2020-03-28,23.0661,24.5904,22.978,23.0926,118079.0
2020-03-29,23.0661,24.5904,22.978,23.0926,118079.0
2020-03-30,23.6388,23.7005,21.6741,23.4538,181598.0
2020-03-31,23.1014,24.2907,22.8039,23.4979,291342.0
2020-04-01,22.4846,23.3305,21.1542,21.5948,150214.0
2020-04-02,21.0926,22.0265,20.8811,21.5507,131322.0
2020-04-03,21.2512,22.097,20.1366,20.7578,108559.0
2020-04-04,21.2512,22.097,20.1366,20.7578,108559.0
2020-04-05,21.2512,22.097,20.1366,20.7578,108559.0
2020-04-06,21.7445,22.6948,21.4097,22.423,103550.0
2020-04-07,23.4362,23.8238,22.2379,22.4318,191605.0
2020-04-08,23.7269,24.8106,22.9428,24.4318,125946.0
2020-04-09,25.2952,26.2291,25.0573,25.8327,121159.0
2020-04-10,25.2952,26.2291,25.0573,25.8327,121159.0
2020-04-11,25.2952,26.2291,25.0573,25.8327,121159.0
2020-04-12,25.2952,26.2291,25.0573,25.8327,121159.0
2020-04-13,25.5331,25.7181,24.5276,25.2512,94985.0
2020-04-14,25.8239,26.5463,24.608,24.9252,118029.0
2020-04-15,24.1058,25.1454,24.1058,24.4318,174712.0
2020-04-16,24.1939,24.9692,23.1719,24.1322,147503.0
2020-04-17,24.6697,25.9208,24.5727,25.7886,169899.0
2020-04-18,24.6697,25.9208,24.5727,25.7886,169899.0
2020-04-19,24.6697,25.9208,24.5727,25.7886,169899.0
2020-04-20,25.1014,25.5507,24.3172,24.8547,111090.0
2020-04-21,24.2556,24.9428,24.0441,24.5287,97338.0
2020-04-22,25.1454,25.8943,24.0529,25.0045,213881.0
2020-04-23,26.0617,26.6256,24.6873,25.8591,231727.0
2020-04-24,26.4054,26.608,25.6653,26.0089,134054.0
2020-04-25,26.4054,26.608,25.6653,26.0089,134054.0
2020-04-26,26.4054,26.608,25.6653,26.0089,134054.0
2020-04-27,26.2556,26.9957,26.238,26.3789,165841.0
2020-04-28,27.1102,27.3921,26.3569,26.8547,148451.0
2020-04-29,27.956,28.4935,27.2688,27.9296,192165.0
2020-04-30,27.1983,28.0706,26.6697,28.0706,236622.0
2020-05-01,27.3657,27.5595,26.6785,27.0838,182298.0
2020-05-02,27.3657,27.5595,26.6785,27.0838,182298.0
2020-05-03,27.3657,27.5595,26.6785,27.0838,182298.0
2020-05-04,26.7842,27.3481,26.2115,27.2512,167295.0
2020-05-05,27.7269,27.7269,25.1366,25.2247,146468.0
2020-05-06,25.3393,25.3393,23.6829,23.7974,183187.0
2020-05-07,24.1675,24.7666,24.1675,24.5904,151438.0
2020-05-08,25.26,25.7657,25.0309,25.6653,117926.0
2020-05-09,25.26,25.7657,25.0309,25.6653,117926.0
2020-05-10,25.26,25.7657,25.0309,25.6653,117926.0
2020-05-11,25.2776,25.7005,24.4142,25.2424,182476.0
2020-05-12,25.3216,25.5419,24.1322,24.2027,211879.0
2020-05-13,23.7357,23.7357,22.8899,23.4098,159923.0
2020-05-14,23.2159,25.1807,22.7401,24.9868,156748.0
2020-05-15,24.9957,25.7886,24.5904,25.4274,205974.0
2020-05-16,24.9957,25.7886,24.5904,25.4274,205974.0
2020-05-17,24.9957,25.7886,24.5904,25.4274,205974.0
2020-05-18,26.4318,27.586,26.423,27.2424,168252.0
2020-05-19,26.8635,27.2424,26.2996,26.7666,116582.0
2020-05-20,27.2688,27.5772,26.9516,27.2512,136482.0
2020-05-21,27.119,27.5419,26.8899,26.978,94632.0
2020-05-22,27.1983,27.1983,26.141,26.5551,61195.0
2020-05-23,27.1983,27.1983,26.141,26.5551,61195.0
2020-05-24,27.1983,27.1983,26.141,26.5551,61195.0
2020-05-25,27.1983,27.1983,26.141,26.5551,61195.0
2020-05-26,27.6917,28.2468,27.3833,27.9296,159808.0
2020-05-27,28.7754,29.3393,27.7798,29.119,152223.0
2020-05-28,29.3128,29.3921,27.7622,27.8855,157109.0
2020-05-29,27.2688,27.6829,26.4935,27.1543,130653.0
2020-05-30,27.2688,27.6829,26.4935,27.1543,130653.0
2020-05-31,27.2688,27.6829,26.4935,27.1543,130653.0
2020-06-01,27.0573,27.9208,26.9308,27.7886,278882.0
2020-06-02,28.0089,28.2688,27.6256,27.7798,113500.0
2020-06-03,28.3965,28.7886,27.9736,28.0353,169339.0
2020-06-04,27.7181,29.586,27.6653,28.9516,219027.0
2020-06-05,30.4847,30.5286,29.26,29.5595,167238.0
2020-06-06,30.4847,30.5286,29.26,29.5595,167238.0
2020-06-07,30.4847,30.5286,29.26,29.5595,167238.0
2020-06-08,29.8943,31.1014,29.8415,30.8635,240729.0
2020-06-09,30.2644,31.1719,29.8566,30.6344,165389.0
2020-06-10,30.2115,30.8018,29.5155,30.5287,177602.0
2020-06-11,29.2159,29.2864,27.3658,27.6829,164697.0
2020-06-12,28.697,29.0339,27.4427,28.3945,111507.0
2020-06-13,28.697,29.0339,27.4427,28.3945,111507.0
2020-06-14,28.697,29.0339,27.4427,28.3945,111507.0
2020-06-15,27.2826,28.8215,27.2826,28.4301,194214.0
2020-06-16,29.6577,29.6577,28.5191,28.6169,211561.0
2020-06-17,28.5013,28.5013,27.7452,27.9764,127375.0
2020-06-18,27.7096,28.2611,27.674,27.8163,138592.0
2020-06-19,27.9053,28.3056,27.7185,27.9231,315207.0
2020-06-20,27.9053,28.3056,27.7185,27.9231,315207.0
2020-06-21,27.9053,28.3056,27.7185,27.9231,315207.0
2020-06-22,27.6651,28.4835,27.5761,28.3412,104826.0
2020-06-23,28.8126,29.1418,28.4479,28.8304,140945.0
2020-06-24,28.4568,28.4568,27.0424,27.7629,214606.0
2020-06-25,27.5317,28.5413,27.247,28.3945,183512.0
2020-06-26,28.1188,28.866,27.6117,28.5724,243610.0
2020-06-27,28.1188,28.866,27.6117,28.5724,243610.0
2020-06-28,28.1188,28.866,27.6117,28.5724,243610.0
2020-06-29,28.9372,29.293,28.5724,28.8749,98828.0
2020-06-30,28.6614,29.1418,28.6347,28.9194,209335.0
2020-07-01,28.8838,29.1862,28.0209,28.0298,121396.0
2020-07-02,28.608,29.0973,27.7452,27.8074,120526.0
2020-07-03,28.608,29.0973,27.7452,27.8074,120526.0
2020-07-04,28.608,29.0973,27.7452,27.8074,120526.0
2020-07-05,28.608,29.0973,27.7452,27.8074,120526.0
2020-07-06,28.439,28.439,27.6651,28.2255,88396.0
2020-07-07,28.1544,28.2655,27.7807,27.9853,204190.0
2020-07-08,28.0565,28.608,27.9853,28.5902,114943.0
2020-07-09,28.3856,28.3856,27.3004,27.7541,146868.0
2020-07-10,27.9142,29.1418,27.6473,29.0795,200949.0
2020-07-11,27.9142,29.1418,27.6473,29.0795,200949.0
2020-07-12,27.9142,29.1418,27.6473,29.0795,200949.0
2020-07-13,29.4264,29.5332,28.9394,29.0706,121429.0
2020-07-14,29.204,29.9779,28.9105,29.9157,135537.0
2020-07-15,30.6807,31.0187,30.2537,30.7963,171002.0
2020-07-16,30.5828,31.1077,30.3249,31.0721,115422.0
2020-07-17,31.0365,31.757,30.7252,31.5969,185873.0
2020-07-18,31.0365,31.757,30.7252,31.5969,185873.0
2020-07-19,31.0365,31.757,30.7252,31.5969,185873.0
2020-07-20,31.508,31.6681,31.17,31.6325,120282.0
2020-07-21,31.935,32.7267,31.8905,32.7178,315430.0
2020-07-22,32.3975,33.2337,32.3975,33.1447,209160.0
2020-07-23,33.9098,36.2226,33.4739,34.0877,547343.0
2020-07-24,33.7941,33.9631,32.8156,33.4739,367849.0
2020-07-25,33.7941,33.9631,32.8156,33.4739,367849.0
2020-07-26,33.7941,33.9631,32.8156,33.4739,367849.0
2020-07-27,35.1818,37.7882,34.9505,37.6014,436117.0
2020-07-28,37.3879,37.6414,36.0447,36.8097,302397.0
2020-07-29,36.8186,37.717,36.6318,37.6993,206697.0
2020-07-30,37.0855,38.1707,36.3649,37.4591,195210.0
2020-07-31,37.1833,37.4324,36.0758,37.3167,309624.0
2020-08-01,37.1833,37.4324,36.0758,37.3167,309624.0
2020-08-02,37.1833,37.4324,36.0758,37.3167,309624.0
2020-08-03,36.9609,37.9394,36.6585,37.468,201679.0
2020-08-04,37.2278,37.7882,37.041,37.717,159752.0
2020-08-05,38.1529,38.5176,37.468,38.4554,234662.0
2020-08-06,38.2063,38.8717,37.7348,38.402,188044.0
2020-08-07,38.144,39.2471,37.7615,39.2115,130356.0
2020-08-08,38.144,39.2471,37.7615,39.2115,130356.0
2020-08-09,38.144,39.2471,37.7615,39.2115,130356.0
2020-08-10,39.4517,39.9053,38.8201,39.2738,163778.0
2020-08-11,39.6652,39.8609,38.3397,38.571,136045.0
2020-08-12,37.8594,38.6333,36.0714,36.4183,477143.0
2020-08-13,37.1299,38.0106,35.1996,36.0091,1683102.0
2020-08-14,35.8045,36.1959,35.3153,35.6355,310341.0
2020-08-15,35.8045,36.1959,35.3153,35.6355,310341.0
2020-08-16,35.8045,36.1959,35.3153,35.6355,310341.0
2020-08-17,35.9113,36.4984,35.4042,35.8223,250679.0
2020-08-18,35.8223,36.912,35.7156,36.3204,366030.0
2020-08-19,36.6585,36.7741,35.9735,36.2226,206945.0
2020-08-20,35.8134,36.9698,35.7689,36.8631,332375.0
2020-08-21,36.5161,37.4947,36.5161,37.3167,654231.0
2020-08-22,36.5161,37.4947,36.5161,37.3167,654231.0
2020-08-23,36.5161,37.4947,36.5161,37.3167,654231.0
2020-08-24,37.5569,38.2597,37.1922,38.1262,319522.0
2020-08-25,38.4554,38.4554,37.4502,37.9216,150607.0
2020-08-26,37.8327,38.0907,37.4057,37.4146,132359.0
2020-08-27,37.5302,38.2953,37.3701,37.9572,134398.0
2020-08-28,38.1529,38.1529,37.4769,38.0907,103439.0
2020-08-29,38.1529,38.1529,37.4769,38.0907,103439.0
2020-08-30,38.1529,38.1529,37.4769,38.0907,103439.0
2020-08-31,37.8861,38.2374,37.5036,37.9572,306348.0
2020-09-01,38.1618,40.3768,37.9488,40.2078,331526.0
2020-09-02,40.2523,40.8127,39.5584,39.8253,258121.0
2020-09-03,39.7007,40.1722,38.2597,38.9357,234961.0
2020-09-04,39.7808,40.0032,38.1974,38.8735,218683.0
2020-09-05,39.7808,40.0032,38.1974,38.8735,218683.0
2020-09-06,39.7808,40.0032,38.1974,38.8735,218683.0
2020-09-07,39.7808,40.0032,38.1974,38.8735,218683.0
2020-09-08,38.5532,40.1989,38.064,39.7007,712702.0
2020-09-09,40.7237,41.64,40.0477,40.2256,438987.0
2020-09-10,40.4391,40.9194,39.6741,39.683,250911.0
2020-09-11,40.0922,40.1989,39.0514,39.3627,222132.0
2020-09-12,40.0922,40.1989,39.0514,39.3627,222132.0
2020-09-13,40.0922,40.1989,39.0514,39.3627,222132.0
2020-09-14,39.4165,39.8016,39.1567,39.5508,403359.0
2020-09-15,39.7568,39.7568,38.7358,38.8612,182339.0
2020-09-16,38.7806,39.3269,38.7,38.7537,203686.0
2020-09-17,38.6014,39.1657,38.082,39.103,315107.0
2020-09-18,39.3359,39.7658,38.3059,38.4492,1118437.0
2020-09-19,39.3359,39.7658,38.3059,38.4492,1118437.0
2020-09-20,39.3359,39.7658,38.3059,38.4492,1118437.0
2020-09-21,37.7864,37.8294,35.5742,37.0341,361045.0
2020-09-22,36.9087,37.5715,36.855,37.4013,263124.0
2020-09-23,37.2759,37.5983,36.4251,36.7296,314022.0
2020-09-24,36.7206,37.6438,36.2818,37.3834,423310.0
2020-09-25,37.3834,37.9736,37.3834,37.7954,203015.0
2020-09-26,37.3834,37.9736,37.3834,37.7954,203015.0
2020-09-27,37.3834,37.9736,37.3834,37.7954,203015.0
2020-09-28,38.2522,38.8343,38.082,38.7627,234579.0
2020-09-29,38.6821,39.4075,38.1626,39.2194,398252.0
2020-09-30,39.2911,39.6669,38.906,39.1657,291743.0
2020-10-01,39.3179,39.8016,38.9597,39.7837,165218.0
2020-10-02,39.112,41.5391,38.9776,41.3689,241905.0
2020-10-03,39.112,41.5391,38.9776,41.3689,241905.0
2020-10-04,39.112,41.5391,38.9776,41.3689,241905.0
2020-10-05,41.8974,42.587,41.7721,42.5243,232040.0
2020-10-06,43.0617,43.814,42.0496,42.6318,607706.0
2020-10-07,43.0885,44.3155,42.5243,42.5691,418482.0
2020-10-08,43.0348,43.2497,41.4137,41.4764,202759.0
2020-10-09,41.4585,42.2108,41.1271,41.1809,218388.0
2020-10-10,41.4585,42.2108,41.1271,41.1809,218388.0
2020-10-11,41.4585,42.2108,41.1271,41.1809,218388.0
2020-10-12,41.1898,41.4406,40.8763,41.4137,171244.0
2020-10-13,40.939,41.1718,40.1151,40.742,161504.0
2020-10-14,40.6614,41.4316,40.4823,40.9749,192182.0
2020-10-15,40.8316,41.6466,40.5718,41.5928,312717.0
2020-10-16,41.6108,42.1571,41.2973,41.6287,170417.0
2020-10-17,41.6108,42.1571,41.2973,41.6287,170417.0
2020-10-18,41.6108,42.1571,41.2973,41.6287,170417.0
2020-10-19,41.7093,41.8167,41.0376,41.3421,161884.0
2020-10-20,41.2883,41.5704,40.3748,40.7778,123691.0
2020-10-21,40.9122,41.2794,39.9538,41.0017,304960.0
2020-10-22,41.978,42.5512,37.5177,37.7416,473439.0
2020-10-23,39.103,40.0613,38.6821,39.9718,306569.0
2020-10-24,39.103,40.0613,38.6821,39.9718,306569.0
2020-10-25,39.103,40.0613,38.6821,39.9718,306569.0
2020-10-26,39.8195,40.2942,39.094,39.4433,198776.0
2020-10-27,39.4523,39.9718,38.9687,39.103,154211.0
2020-10-28,38.3328,39.1567,38.1536,38.6821,148410.0
2020-10-29,38.3865,39.4702,38.0909,39.1836,227024.0
2020-10-30,39.0045,39.0313,37.5446,37.9656,304623.0
2020-10-31,39.0045,39.0313,37.5446,37.9656,304623.0
2020-11-01,39.0045,39.0313,37.5446,37.9656,304623.0
2020-11-02,38.5119,39.1836,37.8043,38.0999,172207.0
2020-11-03,38.6821,39.2821,38.082,38.8343,170419.0
2020-11-04,38.1626,40.3121,38.0193,40.0165,260299.0
2020-11-05,40.2315,40.8763,38.9597,39.5419,221986.0
2020-11-06,39.6672,40.1912,38.7179,38.9418,151618.0
2020-11-07,39.6672,40.1912,38.7179,38.9418,151618.0
2020-11-08,39.6672,40.1912,38.7179,38.9418,151618.0
2020-11-09,41.0734,41.36,36.6759,36.7654,495790.0
2020-11-10,37.0968,38.6641,36.7385,38.1984,267066.0
2020-11-11,38.2253,38.2253,37.052,37.9566,198177.0
2020-11-12,37.7685,38.3417,37.1684,38.1268,196148.0
2020-11-13,37.9208,38.5119,37.7148,38.2342,135792.0
2020-11-14,37.9208,38.5119,37.7148,38.2342,135792.0
2020-11-15,37.9208,38.5119,37.7148,38.2342,135792.0
2020-11-16,38.7985,39.8553,38.6283,39.6672,221236.0
2020-11-17,39.4702,39.9628,38.4223,39.6852,160036.0
2020-11-18,39.7299,40.1061,39.4881,39.6225,182341.0
2020-11-19,39.506,40.0165,39.0761,39.9718,99676.0
2020-11-20,39.712,40.0568,39.3896,39.9538,147535.0
2020-11-21,39.712,40.0568,39.3896,39.9538,147535.0
2020-11-22,39.712,40.0568,39.3896,39.9538,147535.0
2020-11-23,40.3121,40.5539,39.6583,39.8911,201251.0
2020-11-24,40.1777,40.1777,38.9597,39.4971,191914.0
2020-11-25,39.2105,39.3717,38.8612,38.9955,128058.0
2020-11-26,39.2105,39.3717,38.8612,38.9955,128058.0
2020-11-27,38.9597,39.2553,38.4223,39.1657,77643.0
2020-11-28,38.9597,39.2553,38.4223,39.1657,77643.0
2020-11-29,38.9597,39.2553,38.4223,39.1657,77643.0
2020-11-30,38.8522,39.0672,37.473,37.4998,248968.0
2020-12-01,37.9118,38.9507,37.9118,38.3059,296510.0
2020-12-02,38.3148,38.9328,38.185,38.6641,169063.0
2020-12-03,38.6641,39.8016,38.374,39.6941,259836.0
2020-12-04,39.8553,41.8436,39.7658,41.6287,270566.0
2020-12-05,39.8553,41.8436,39.7658,41.6287,270566.0
2020-12-06,39.8553,41.8436,39.7658,41.6287,270566.0
2020-12-07,41.6018,41.7093,40.6435,41.6197,139666.0
2020-12-08,41.3331,42.4079,41.2794,42.1571,280898.0
2020-12-09,42.2377,42.7751,41.9511,42.3631,203345.0
2020-12-10,41.9332,43.2945,41.4854,43.2318,122517.0
2020-12-11,42.9721,43.4916,42.8601,43.2408,178368.0
2020-12-12,42.9721,43.4916,42.8601,43.2408,178368.0
2020-12-13,42.9721,43.4916,42.8601,43.2408,178368.0
2020-12-14,43.4391,44.097,42.7361,42.7541,171918.0
2020-12-15,43.2228,45.8544,42.947,45.5479,422175.0
2020-12-16,45.9625,46.9268,45.0871,45.2956,255753.0
2020-12-17,45.5209,46.0977,44.8991,45.1334,140342.0
2020-12-18,45.3767,46.2779,44.5476,45.3767,527519.0
2020-12-19,45.3767,46.2779,44.5476,45.3767,527519.0
2020-12-20,45.3767,46.2779,44.5476,45.3767,527519.0
2020-12-21,44.7458,45.3316,43.8672,44.6828,272886.0
2020-12-22,44.4845,44.6918,43.8176,43.8626,126357.0
2020-12-23,43.8176,44.3042,43.4391,43.6283,169473.0
2020-12-24,43.6283,44.3673,43.4391,44.16,55390.0
2020-12-25,43.6283,44.3673,43.4391,44.16,55390.0
2020-12-26,43.6283,44.3673,43.4391,44.16,55390.0
2020-12-27,43.6283,44.3673,43.4391,44.16,55390.0
2020-12-28,44.5205,45.0162,43.3309,43.5562,191718.0
2020-12-29,43.6373,43.8266,43.2949,43.6373,86683.0
2020-12-30,43.7365,44.124,43.2768,43.4481,131496.0
2020-12-31,43.394,44.142,43.029,43.5833,106715.0
2021-01-01,43.394,44.142,43.029,43.5833,106715.0
2021-01-02,43.394,44.142,43.029,43.5833,106715.0
2021-01-03,43.394,44.142,43.029,43.5833,106715.0
2021-01-04,43.7275,43.7275,42.2585,42.9073,180307.0
2021-01-05,42.8262,44.1105,42.8262,43.6193,176592.0
2021-01-06,44.16,45.4939,44.16,44.827,350488.0
2021-01-07,44.8991,46.2239,44.6197,45.9805,202016.0
2021-01-08,45.9715,46.3861,45.3992,46.2058,203821.0
2021-01-09,45.9715,46.3861,45.3992,46.2058,203821.0
2021-01-10,45.9715,46.3861,45.3992,46.2058,203821.0
2021-01-11,45.9355,46.5843,45.6651,46.4492,139090.0
2021-01-12,46.8367,48.1345,46.332,47.3684,157676.0
2021-01-13,47.7019,47.7019,45.9715,46.35,142698.0
2021-01-14,46.4852,46.9538,45.0748,45.1063,170408.0
2021-01-15,44.8089,45.7011,43.6193,44.9621,201770.0
2021-01-16,44.8089,45.7011,43.6193,44.9621,201770.0
2021-01-17,44.8089,45.7011,43.6193,44.9621,201770.0
2021-01-18,44.8089,45.7011,43.6193,44.9621,201770.0
2021-01-19,45.4128,45.4654,44.1691,44.3042,229059.0
2021-01-20,44.5656,45.8453,44.3374,45.8183,189036.0
2021-01-21,45.8183,45.8724,45.1334,45.4037,150898.0
2021-01-22,45.0613,45.5479,44.7008,45.2866,162161.0
2021-01-23,45.0613,45.5479,44.7008,45.2866,162161.0
2021-01-24,45.0613,45.5479,44.7008,45.2866,162161.0
2021-01-25,45.0342,45.9039,44.8089,44.881,172764.0
2021-01-26,45.2235,45.4263,44.845,45.0973,112146.0
2021-01-27,44.5656,44.827,42.3666,42.9614,242831.0
2021-01-28,43.2588,43.4661,42.6099,43.1507,173916.0
2021-01-29,43.1056,43.2228,41.195,41.7988,149609.0
2021-01-30,43.1056,43.2228,41.195,41.7988,149609.0
2021-01-31,43.1056,43.2228,41.195,41.7988,149609.0
2021-02-01,41.8079,42.673,41.0959,42.2855,113750.0
2021-02-02,42.9073,43.0245,42.0512,42.1954,148623.0
2021-02-03,41.925,42.4567,41.7177,42.2224,121612.0
2021-02-04,42.1053,42.7136,41.916,42.2675,388662.0
2021-02-05,42.6009,43.4841,42.2359,43.376,254008.0
2021-02-06,42.6009,43.4841,42.2359,43.376,254008.0
2021-02-07,42.6009,43.4841,42.2359,43.376,254008.0
2021-02-08,43.6554,44.6918,43.4571,44.6737,180277.0
2021-02-09,44.9081,47.0259,44.9081,46.2509,197848.0
2021-02-10,46.6294,46.8637,45.2235,45.8093,179707.0
2021-02-11,45.8994,47.828,45.7217,47.7019,236225.0
2021-02-12,47.5847,48.558,47.3684,48.4499,160923.0
2021-02-13,47.5847,48.558,47.3684,48.4499,160923.0
2021-02-14,47.5847,48.558,47.3684,48.4499,160923.0
2021-02-15,47.5847,48.558,47.3684,48.4499,160923.0
2021-02-16,49.306,49.9458,48.4769,49.0627,177512.0
2021-02-17,48.9095,48.9762,47.5532,48.8284,175771.0
2021-02-18,49.0086,49.9009,48.4589,49.7026,129631.0
2021-02-19,50.0631,50.4055,49.4502,49.5043,118918.0
2021-02-20,50.0631,50.4055,49.4502,49.5043,118918.0
2021-02-21,50.0631,50.4055,49.4502,49.5043,118918.0
2021-02-22,49.1619,49.27,48.1795,48.2426,221068.0
2021-02-23,47.9722,47.9948,46.6835,46.7015,189281.0
2021-02-24,46.6745,47.4225,45.6471,45.7192,275758.0
2021-02-25,45.7192,45.9084,43.1236,43.1777,276339.0
2021-02-26,43.412,43.7004,42.4928,42.5378,239562.0
2021-02-27,43.412,43.7004,42.4928,42.5378,239562.0
2021-02-28,43.412,43.7004,42.4928,42.5378,239562.0
2021-03-01,43.2678,44.6016,42.9524,44.151,254936.0
2021-03-02,44.124,45.2686,43.3129,43.3129,189997.0
2021-03-03,43.412,43.9347,42.9164,42.9704,258287.0
2021-03-04,42.7992,44.142,42.1864,43.1236,325803.0
2021-03-05,43.8987,44.1961,41.0779,43.6554,274994.0
2021-03-06,43.8987,44.1961,41.0779,43.6554,274994.0
2021-03-07,43.8987,44.1961,41.0779,43.6554,274994.0
2021-03-08,44.0519,45.575,43.8176,44.6918,248600.0
2021-03-09,45.5569,47.2242,45.1469,46.7556,213851.0
2021-03-10,46.9538,48.2696,46.9538,47.9812,133001.0
2021-03-11,48.3147,49.1528,48.1254,49.0267,136893.0
2021-03-12,48.9269,49.4982,48.401,49.1173,122545.0
2021-03-13,48.9269,49.4982,48.401,49.1173,122545.0
2021-03-14,48.9269,49.4982,48.401,49.1173,122545.0
