,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-12-03,111.5871,112.193,109.342,109.652,3257231.0
2020-12-04,109.8493,112.3997,109.8493,111.6153,1490767.0
2020-12-05,109.8493,112.3997,109.8493,111.6153,1490767.0
2020-12-06,109.8493,112.3997,109.8493,111.6153,1490767.0
2020-12-07,111.2677,111.3992,109.8775,110.2814,1310403.0
2020-12-08,109.7459,111.3476,109.2199,110.7135,1617962.0
2020-12-09,111.2395,111.775,109.7178,110.7417,1511153.0
2020-12-10,110.0278,110.0278,107.8109,108.1678,1401479.0
2020-12-11,107.3788,108.9381,107.1815,108.5905,1279415.0
2020-12-12,107.3788,108.9381,107.1815,108.5905,1279415.0
2020-12-13,107.3788,108.9381,107.1815,108.5905,1279415.0
2020-12-14,108.9381,109.4078,106.9279,106.9372,1771650.0
2020-12-15,108.0833,110.0278,106.8903,109.4735,1983600.0
2020-12-16,109.5299,109.6144,108.0927,108.3745,1610573.0
2020-12-17,108.7878,109.0978,107.2097,108.2993,1794732.0
2020-12-18,108.0551,109.4172,107.3694,109.0414,4499221.0
2020-12-19,108.0551,109.4172,107.3694,109.0414,4499221.0
2020-12-20,108.0551,109.4172,107.3694,109.0414,4499221.0
2020-12-21,108.196,110.4176,107.0406,109.8869,2548516.0
2020-12-22,110.0747,110.4974,108.708,109.5393,1552777.0
2020-12-23,110.3847,111.4609,109.8869,109.9244,1109358.0
2020-12-24,110.0935,110.9155,108.9757,110.9108,362213.0
2020-12-25,110.0935,110.9155,108.9757,110.9108,362213.0
2020-12-26,110.0935,110.9155,108.9757,110.9108,362213.0
2020-12-27,110.0935,110.9155,108.9757,110.9108,362213.0
2020-12-28,111.8501,112.6862,110.5256,110.582,1075481.0
2020-12-29,111.0705,111.344,109.0039,110.0559,874309.0
2020-12-30,110.7229,112.3433,110.4223,112.0662,1288411.0
2020-12-31,112.038,113.0995,111.5307,112.8552,1056873.0
2021-01-01,112.038,113.0995,111.5307,112.8552,1056873.0
2021-01-02,112.038,113.0995,111.5307,112.8552,1056873.0
2021-01-03,112.038,113.0995,111.5307,112.8552,1056873.0
2021-01-04,113.0055,114.2079,110.7229,111.5495,1947789.0
2021-01-05,111.1456,113.231,111.0141,112.7331,1217420.0
2021-01-06,114.8937,120.5768,114.7528,118.7826,3083004.0
2021-01-07,120.0414,122.1174,118.7638,121.2626,2585346.0
2021-01-08,121.441,122.0234,117.5521,119.1866,2695628.0
2021-01-09,121.441,122.0234,117.5521,119.1866,2695628.0
2021-01-10,121.441,122.0234,117.5521,119.1866,2695628.0
2021-01-11,117.6084,120.0226,117.5448,119.2617,1490239.0
2021-01-12,119.2899,120.8117,118.5102,120.558,1479967.0
2021-01-13,120.1541,120.558,117.7024,117.8057,2344135.0
2021-01-14,118.576,118.9235,116.6597,117.0636,4047729.0
2021-01-15,115.4291,115.9176,113.6631,115.7015,2590518.0
2021-01-16,115.4291,115.9176,113.6631,115.7015,2590518.0
2021-01-17,115.4291,115.9176,113.6631,115.7015,2590518.0
2021-01-18,115.4291,115.9176,113.6631,115.7015,2590518.0
2021-01-19,116.9509,119.257,116.4906,117.8902,2144502.0
2021-01-20,117.9372,118.8202,116.8241,118.3411,1698637.0
2021-01-21,118.2942,119.1772,117.3266,117.5427,1348540.0
2021-01-22,116.8851,117.6272,115.4761,116.8851,1405702.0
2021-01-23,116.8851,117.6272,115.4761,116.8851,1405702.0
2021-01-24,116.8851,117.6272,115.4761,116.8851,1405702.0
2021-01-25,116.4436,116.6972,113.9355,114.4334,1598960.0
2021-01-26,115.1003,115.1755,113.1934,113.4189,1140763.0
2021-01-27,111.4838,111.6998,107.0969,107.8954,2062196.0
2021-01-28,108.8911,112.4513,108.5154,111.1174,1537357.0
2021-01-29,110.6853,114.3676,109.6614,110.5632,2444790.0
2021-01-30,110.6853,114.3676,109.6614,110.5632,2444790.0
2021-01-31,110.6853,114.3676,109.6614,110.5632,2444790.0
2021-02-01,111.7844,114.7622,111.155,114.1704,3054736.0
2021-02-02,114.3676,115.9458,111.4603,113.1371,4882987.0
2021-02-03,113.5598,114.1797,111.7844,112.2916,2133231.0
2021-02-04,112.4795,113.5598,111.7938,113.231,2184182.0
2021-02-05,114.64,115.2506,112.7801,114.5461,1983024.0
2021-02-06,114.64,115.2506,112.7801,114.5461,1983024.0
2021-02-07,114.64,115.2506,112.7801,114.5461,1983024.0
2021-02-08,115.26,115.5742,112.1789,112.9304,2548191.0
2021-02-09,113.1464,113.2967,111.4086,112.564,1857658.0
2021-02-10,114.2173,115.3446,113.541,114.377,2988453.0
2021-02-11,114.9218,116.4624,114.0952,116.0397,2285849.0
2021-02-12,115.1567,116.6691,114.9031,116.4624,1586775.0
2021-02-13,115.1567,116.6691,114.9031,116.4624,1586775.0
2021-02-14,115.1567,116.6691,114.9031,116.4624,1586775.0
2021-02-15,115.1567,116.6691,114.9031,116.4624,1586775.0
2021-02-16,118.3599,118.712,117.3736,117.4206,2167913.0
2021-02-17,115.8236,117.7399,115.8236,117.4487,1302913.0
2021-02-18,116.7066,118.1063,116.5798,117.599,1513392.0
2021-02-19,118.7075,120.8633,118.3927,120.0508,2662222.0
2021-02-20,118.7075,120.8633,118.3927,120.0508,2662222.0
2021-02-21,118.7075,120.8633,118.3927,120.0508,2662222.0
2021-02-22,119.5059,123.7331,119.0175,122.9158,2533163.0
2021-02-23,122.8407,123.5264,119.675,122.9252,2963779.0
2021-02-24,123.3479,125.7988,123.0849,124.6349,3035379.0
2021-02-25,124.7476,125.4734,121.8262,122.2677,2635746.0
2021-02-26,122.5683,124.0337,120.785,122.2959,2539119.0
2021-02-27,122.5683,124.0337,120.785,122.2959,2539119.0
2021-02-28,122.5683,124.0337,120.785,122.2959,2539119.0
2021-03-01,124.0055,127.6033,123.3386,126.1003,2858060.0
2021-03-02,126.1191,126.7391,125.2549,125.8467,1936485.0
2021-03-03,128.7305,129.8014,126.8339,127.3121,3316145.0
2021-03-04,126.3069,128.2702,123.4889,126.2976,2390915.0
2021-03-05,128.073,129.5571,124.1934,129.0593,2381991.0
2021-03-06,128.073,129.5571,124.1934,129.0593,2381991.0
2021-03-07,128.073,129.5571,124.1934,129.0593,2381991.0
2021-03-08,130.2805,132.4974,129.2565,130.985,2174633.0
2021-03-09,131.4171,131.4171,127.9414,127.9884,2805009.0
2021-03-10,128.4863,131.8398,127.9602,130.8065,2313655.0
2021-03-11,131.1165,132.7982,130.5341,130.7689,1844942.0
2021-03-12,131.8116,132.4504,131.0038,132.2343,1759504.0
2021-03-13,131.8116,132.4504,131.0038,132.2343,1759504.0
2021-03-14,131.8116,132.4504,131.0038,132.2343,1759504.0
2021-03-15,130.2321,131.8377,128.976,131.7999,3192149.0
2021-03-16,131.7999,131.7999,128.2723,129.231,2427111.0
2021-03-17,129.6749,130.8365,128.5037,130.336,2594030.0
2021-03-18,130.5249,131.9982,129.0893,129.3537,2707571.0
2021-03-19,129.0515,129.0893,125.7837,125.8592,12545649.0
2021-03-20,129.0515,129.0893,125.7837,125.8592,12545649.0
2021-03-21,129.0515,129.0893,125.7837,125.8592,12545649.0
2021-03-22,126.0576,127.8237,124.8959,127.3704,2805093.0
2021-03-23,126.4826,128.3337,124.9809,125.5475,1851306.0
2021-03-24,126.5676,128.6265,126.4165,126.9831,2195606.0
2021-03-25,126.3031,128.8768,124.537,128.277,1511706.0
2021-03-26,129.3632,131.1482,128.7398,130.9877,1988339.0
2021-03-27,129.3632,131.1482,128.7398,130.9877,1988339.0
2021-03-28,129.3632,131.1482,128.7398,130.9877,1988339.0
2021-03-29,130.336,131.8424,130.1046,130.8554,2399463.0
2021-03-30,130.8838,132.3949,130.7698,131.9038,2058599.0
2021-03-31,132.2816,133.4433,130.5721,130.6004,2338219.0
2021-04-01,131.3088,132.0124,130.2982,131.7432,2379395.0
2021-04-02,131.3088,132.0124,130.2982,131.7432,2379395.0
2021-04-03,131.3088,132.0124,130.2982,131.7432,2379395.0
2021-04-04,131.3088,132.0124,130.2982,131.7432,2379395.0
2021-04-05,133.5377,135.285,132.631,134.4538,2039079.0
2021-04-06,134.2744,135.3322,133.0466,133.2827,1393304.0
2021-04-07,132.8955,133.6322,131.9132,132.5838,1882552.0
2021-04-08,132.206,132.7538,131.0727,132.1305,1743311.0
2021-04-09,132.886,133.2166,131.3135,132.6499,2430789.0
2021-04-10,132.886,133.2166,131.3135,132.6499,2430789.0
2021-04-11,132.886,133.2166,131.3135,132.6499,2430789.0
2021-04-12,132.4138,133.736,132.4138,133.4433,1438041.0
2021-04-13,132.6971,132.9521,130.6665,132.036,1536042.0
2021-04-14,132.0832,133.396,131.9463,132.4516,1552207.0
2021-04-15,133.0466,133.3724,132.1399,132.9805,1619894.0
2021-04-16,134.5483,135.1433,132.6121,133.311,1369999.0
2021-04-17,134.5483,135.1433,132.6121,133.311,1369999.0
2021-04-18,134.5483,135.1433,132.6121,133.311,1369999.0
2021-04-19,133.5472,133.5472,132.2344,132.9616,1259251.0
2021-04-20,132.2438,132.4894,129.9204,130.7704,1503744.0
2021-04-21,130.8365,133.7266,130.5249,133.651,1432751.0
2021-04-22,134.2461,134.6522,133.0718,133.5472,2295004.0
2021-04-23,134.0099,135.7005,133.4767,135.03,1652423.0
2021-04-24,134.0099,135.7005,133.4767,135.03,1652423.0
2021-04-25,134.0099,135.7005,133.4767,135.03,1652423.0
2021-04-26,135.37,136.5222,135.1244,135.4077,1288369.0
2021-04-27,135.4077,136.9567,134.605,136.56,1874926.0
