,CRMT US Equity,CRMT US Equity,CRMT US Equity,CRMT US Equity,CRMT US Equity
2019-10-18,89.19,89.99,88.29,89.69,60851.0
2019-10-19,89.19,89.99,88.29,89.69,60851.0
2019-10-20,89.19,89.99,88.29,89.69,60851.0
2019-10-21,90.1,90.75,89.765,90.65,43288.0
2019-10-22,90.46,91.505,89.895,90.18,39931.0
2019-10-23,89.84,90.73,89.545,90.17,39990.0
2019-10-24,90.08,90.85,89.58,90.0,67999.0
2019-10-25,89.8,91.565,89.6575,90.33,65053.0
2019-10-26,89.8,91.565,89.6575,90.33,65053.0
2019-10-27,89.8,91.565,89.6575,90.33,65053.0
2019-10-28,90.37,93.48,90.37,92.86,57654.0
2019-10-29,92.51,93.98,91.92,93.28,37327.0
2019-10-30,93.35,93.35,90.85,92.34,46337.0
2019-10-31,92.11,92.7,90.02,90.99,43145.0
2019-11-01,91.1,91.91,90.71,91.81,52978.0
2019-11-02,91.1,91.91,90.71,91.81,52978.0
2019-11-03,91.1,91.91,90.71,91.81,52978.0
2019-11-04,92.37,94.23,91.96,93.96,44117.0
2019-11-05,93.93,95.03,93.615,94.74,70273.0
2019-11-06,94.6,95.16,93.52,94.64,64633.0
2019-11-07,95.28,96.4862,94.32,94.91,75701.0
2019-11-08,94.75,94.75,90.44,90.79,75775.0
2019-11-09,94.75,94.75,90.44,90.79,75775.0
2019-11-10,94.75,94.75,90.44,90.79,75775.0
2019-11-11,90.23,91.15,89.13,89.2,78895.0
2019-11-12,89.11,89.61,87.2,87.72,87442.0
2019-11-13,87.39,88.66,85.63,87.81,71652.0
2019-11-14,87.6,88.85,86.26,86.33,78921.0
2019-11-15,87.14,88.1608,85.53,87.66,94822.0
2019-11-16,87.14,88.1608,85.53,87.66,94822.0
2019-11-17,87.14,88.1608,85.53,87.66,94822.0
2019-11-18,87.51,90.89,87.0,90.72,219228.0
2019-11-19,99.89,101.94,92.7929,99.96,430202.0
2019-11-20,100.0,103.0,96.26,99.93,196752.0
2019-11-21,100.65,100.87,97.95,99.0,167786.0
2019-11-22,99.22,101.68,98.1,101.31,87061.0
2019-11-23,99.22,101.68,98.1,101.31,87061.0
2019-11-24,99.22,101.68,98.1,101.31,87061.0
2019-11-25,101.9,106.81,100.79,104.71,147437.0
2019-11-26,104.96,105.84,103.97,104.78,81476.0
2019-11-27,105.42,110.36,103.84,109.6,198738.0
2019-11-28,105.42,110.36,103.84,109.6,198738.0
2019-11-29,110.0,110.21,109.03,109.26,73369.0
2019-11-30,110.0,110.21,109.03,109.26,73369.0
2019-12-01,110.0,110.21,109.03,109.26,73369.0
2019-12-02,109.38,109.38,105.38,105.84,71208.0
2019-12-03,104.9,106.37,101.514,105.38,85831.0
2019-12-04,105.5,107.15,105.185,105.37,62008.0
2019-12-05,105.97,106.0,102.78,105.02,65857.0
2019-12-06,106.07,108.225,105.72,107.77,57752.0
2019-12-07,106.07,108.225,105.72,107.77,57752.0
2019-12-08,106.07,108.225,105.72,107.77,57752.0
2019-12-09,107.27,107.27,103.91,106.14,67581.0
2019-12-10,105.64,106.09,103.19,104.01,100521.0
2019-12-11,103.85,103.85,101.01,102.17,81285.0
2019-12-12,101.94,105.29,101.76,104.44,97063.0
2019-12-13,104.5,104.58,101.895,103.51,68577.0
2019-12-14,104.5,104.58,101.895,103.51,68577.0
2019-12-15,104.5,104.58,101.895,103.51,68577.0
2019-12-16,103.51,104.08,102.12,103.29,86495.0
2019-12-17,103.83,107.27,102.4,106.75,94975.0
2019-12-18,107.0,109.11,106.08,108.86,106448.0
2019-12-19,108.86,110.6199,107.325,108.67,93995.0
2019-12-20,108.75,108.75,106.38,108.54,121072.0
2019-12-21,108.75,108.75,106.38,108.54,121072.0
2019-12-22,108.75,108.75,106.38,108.54,121072.0
2019-12-23,108.45,108.895,105.9245,107.03,47644.0
2019-12-24,106.99,108.3,106.42,107.92,15849.0
2019-12-25,106.99,108.3,106.42,107.92,15849.0
2019-12-26,108.4,108.54,106.495,107.94,50850.0
2019-12-27,108.39,110.61,106.1175,108.64,63613.0
2019-12-28,108.39,110.61,106.1175,108.64,63613.0
2019-12-29,108.39,110.61,106.1175,108.64,63613.0
2019-12-30,109.11,110.15,107.3306,109.06,48806.0
2019-12-31,108.52,110.8,108.33,109.66,45110.0
2020-01-01,108.52,110.8,108.33,109.66,45110.0
2020-01-02,110.29,110.89,108.47,110.85,66985.0
2020-01-03,109.73,111.11,108.71,109.72,45095.0
2020-01-04,109.73,111.11,108.71,109.72,45095.0
2020-01-05,109.73,111.11,108.71,109.72,45095.0
2020-01-06,108.81,110.975,108.28,110.6,52901.0
2020-01-07,110.6,110.725,108.5,109.35,40831.0
2020-01-08,109.56,110.83,108.25,108.47,47628.0
2020-01-09,109.05,109.44,106.32,106.81,61198.0
2020-01-10,107.0,108.915,106.6474,108.37,58047.0
2020-01-11,107.0,108.915,106.6474,108.37,58047.0
2020-01-12,107.0,108.915,106.6474,108.37,58047.0
2020-01-13,108.25,110.57,107.4978,109.79,69735.0
2020-01-14,110.18,110.2,107.84,108.01,48431.0
2020-01-15,108.17,108.67,106.37,107.79,57259.0
2020-01-16,108.64,110.245,108.535,110.04,41585.0
2020-01-17,110.73,110.73,109.14,109.55,31370.0
2020-01-18,110.73,110.73,109.14,109.55,31370.0
2020-01-19,110.73,110.73,109.14,109.55,31370.0
2020-01-20,110.73,110.73,109.14,109.55,31370.0
2020-01-21,109.61,110.52,109.3607,110.3,29740.0
2020-01-22,110.77,111.04,109.657,110.35,35465.0
2020-01-23,109.7,112.99,107.5701,110.71,48126.0
2020-01-24,111.25,111.25,108.0,109.25,45150.0
2020-01-25,111.25,111.25,108.0,109.25,45150.0
2020-01-26,111.25,111.25,108.0,109.25,45150.0
2020-01-27,107.71,109.92,106.4281,108.75,37654.0
2020-01-28,109.5,112.86,108.7808,112.75,44906.0
2020-01-29,113.04,114.0199,112.13,113.38,43355.0
2020-01-30,112.43,113.98,111.7218,113.51,51514.0
2020-01-31,113.43,114.2,109.55,109.78,47191.0
2020-02-01,113.43,114.2,109.55,109.78,47191.0
2020-02-02,113.43,114.2,109.55,109.78,47191.0
2020-02-03,110.56,112.54,109.7905,111.08,44441.0
2020-02-04,112.51,113.84,107.3,108.01,65313.0
2020-02-05,109.14,112.61,108.13,111.77,51953.0
2020-02-06,112.36,112.72,111.05,111.94,43933.0
2020-02-07,111.12,111.12,106.02,106.78,39958.0
2020-02-08,111.12,111.12,106.02,106.78,39958.0
2020-02-09,111.12,111.12,106.02,106.78,39958.0
2020-02-10,115.2,118.54,114.08,117.0,379747.0
2020-02-11,116.02,118.02,115.66,117.15,228399.0
2020-02-12,118.48,120.73,117.23,120.52,1451788.0
2020-02-13,118.5,121.88,118.5,120.86,192277.0
2020-02-14,120.61,121.77,117.2,117.97,171541.0
2020-02-15,120.61,121.77,117.2,117.97,171541.0
2020-02-16,120.61,121.77,117.2,117.97,171541.0
2020-02-17,120.61,121.77,117.2,117.97,171541.0
2020-02-18,117.55,121.88,117.55,121.58,177761.0
2020-02-19,122.15,126.96,121.04,126.52,204587.0
2020-02-20,120.01,129.7,120.01,129.7,230865.0
2020-02-21,129.53,129.53,120.63,121.93,99845.0
2020-02-22,129.53,129.53,120.63,121.93,99845.0
2020-02-23,129.53,129.53,120.63,121.93,99845.0
2020-02-24,117.8,118.67,115.03,115.83,95663.0
2020-02-25,116.52,116.52,109.49,109.73,121258.0
2020-02-26,109.36,111.31,108.46,110.87,79424.0
2020-02-27,108.29,112.0,104.29,104.76,110632.0
2020-02-28,101.28,105.31,99.445,102.77,126022.0
2020-02-29,101.28,105.31,99.445,102.77,126022.0
2020-03-01,101.28,105.31,99.445,102.77,126022.0
2020-03-02,103.59,106.4,101.65,106.16,101984.0
2020-03-03,106.58,109.3,102.125,104.09,68177.0
2020-03-04,106.33,107.88,104.155,107.42,70410.0
2020-03-05,104.84,106.2175,98.94,100.69,63045.0
2020-03-06,97.3,99.925,95.49,97.97,73514.0
2020-03-07,97.3,99.925,95.49,97.97,73514.0
2020-03-08,97.3,99.925,95.49,97.97,73514.0
2020-03-09,92.08,98.46,81.03,97.48,115294.0
2020-03-10,99.44,102.18,95.5,98.75,61732.0
2020-03-11,96.11,96.23,90.77,92.44,64960.0
2020-03-12,85.71,86.45,74.92,74.92,158613.0
2020-03-13,79.17,82.9,74.69,82.37,98460.0
2020-03-14,79.17,82.9,74.69,82.37,98460.0
2020-03-15,79.17,82.9,74.69,82.37,98460.0
2020-03-16,74.48,74.5,65.4,65.52,118348.0
2020-03-17,65.64,70.354,55.0,59.45,283922.0
2020-03-18,54.37,59.705,35.18,38.5,284182.0
2020-03-19,38.64,45.1,36.5,43.86,318194.0
2020-03-20,45.9,51.6,40.01,40.43,215749.0
2020-03-21,45.9,51.6,40.01,40.43,215749.0
2020-03-22,45.9,51.6,40.01,40.43,215749.0
2020-03-23,40.09,40.78,37.02,39.16,168672.0
2020-03-24,41.61,49.19,40.04,49.19,144416.0
2020-03-25,49.24,58.9773,49.1101,54.78,146933.0
2020-03-26,55.26,60.79,50.46,54.81,163248.0
2020-03-27,53.88,56.51,50.0,53.91,94844.0
2020-03-28,53.88,56.51,50.0,53.91,94844.0
2020-03-29,53.88,56.51,50.0,53.91,94844.0
2020-03-30,56.19,57.4,49.5,53.13,113828.0
2020-03-31,51.76,56.99,50.52,56.35,87821.0
2020-04-01,53.54,55.15,48.2,49.21,90947.0
2020-04-02,48.97,51.46,45.77,48.46,96972.0
2020-04-03,48.74,50.55,44.15,46.89,103996.0
2020-04-04,48.74,50.55,44.15,46.89,103996.0
2020-04-05,48.74,50.55,44.15,46.89,103996.0
2020-04-06,49.47,55.94,49.47,55.37,93422.0
2020-04-07,58.09,62.7513,55.9734,58.78,75205.0
2020-04-08,60.52,64.595,57.3,61.3,100650.0
2020-04-09,62.8,72.15,62.8,64.45,76941.0
2020-04-10,62.8,72.15,62.8,64.45,76941.0
2020-04-11,62.8,72.15,62.8,64.45,76941.0
2020-04-12,62.8,72.15,62.8,64.45,76941.0
2020-04-13,64.28,66.54,63.86,64.75,78334.0
2020-04-14,66.9,69.34,63.6,64.4,66099.0
2020-04-15,61.11,62.285,56.4,57.15,133906.0
2020-04-16,57.75,58.09,54.45,57.96,64319.0
2020-04-17,60.89,62.7,57.87,58.82,91002.0
2020-04-18,60.89,62.7,57.87,58.82,91002.0
2020-04-19,60.89,62.7,57.87,58.82,91002.0
2020-04-20,58.81,60.09,54.75,56.63,73001.0
2020-04-21,54.71,55.9899,53.67,54.43,75550.0
2020-04-22,55.84,55.84,53.5,54.1,38757.0
2020-04-23,55.08,57.33,54.29,55.0,61706.0
2020-04-24,55.97,59.02,54.08,58.53,62924.0
2020-04-25,55.97,59.02,54.08,58.53,62924.0
2020-04-26,55.97,59.02,54.08,58.53,62924.0
2020-04-27,60.2,62.66,60.0,61.89,69634.0
2020-04-28,64.0,66.0,61.42,62.68,62837.0
2020-04-29,66.36,69.41,64.97,67.59,86334.0
2020-04-30,65.73,66.8,64.53,65.95,53191.0
2020-05-01,63.76,64.01,61.5,63.56,68784.0
2020-05-02,63.76,64.01,61.5,63.56,68784.0
2020-05-03,63.76,64.01,61.5,63.56,68784.0
2020-05-04,61.21,68.73,60.13,67.93,139908.0
2020-05-05,68.11,71.87,67.56,68.73,107082.0
2020-05-06,68.78,70.47,66.53,66.69,56929.0
