,DISH US Equity,DISH US Equity,DISH US Equity,DISH US Equity,DISH US Equity
2020-02-03,37.12,37.42,36.67,36.75,1865649.0
2020-02-04,37.03,37.16,36.66,36.78,2414232.0
2020-02-05,37.12,38.25,37.05,37.94,3596547.0
2020-02-06,38.13,38.47,36.81,36.9,2459900.0
2020-02-07,36.79,36.9399,36.52,36.78,2712845.0
2020-02-08,36.79,36.9399,36.52,36.78,2712845.0
2020-02-09,36.79,36.9399,36.52,36.78,2712845.0
2020-02-10,36.75,36.9,36.36,36.85,2790872.0
2020-02-11,41.39,41.5,38.1741,39.48,15537330.0
2020-02-12,40.07,42.01,39.6,40.11,9039569.0
2020-02-13,39.98,40.55,39.83,40.18,5598753.0
2020-02-14,40.09,40.26,39.69,39.97,3277856.0
2020-02-15,40.09,40.26,39.69,39.97,3277856.0
2020-02-16,40.09,40.26,39.69,39.97,3277856.0
2020-02-17,40.09,40.26,39.69,39.97,3277856.0
2020-02-18,39.89,41.56,39.82,41.29,5294606.0
2020-02-19,42.0,42.62,40.89,41.25,5084701.0
2020-02-20,41.76,41.85,40.83,41.0,3135853.0
2020-02-21,40.82,40.88,40.43,40.73,2387525.0
2020-02-22,40.82,40.88,40.43,40.73,2387525.0
2020-02-23,40.82,40.88,40.43,40.73,2387525.0
2020-02-24,39.84,39.98,38.32,38.36,3718166.0
2020-02-25,38.57,38.975,37.12,37.62,3702628.0
2020-02-26,37.87,38.48,36.275,36.32,2622940.0
2020-02-27,35.78,35.78,33.48,33.48,6592602.0
2020-02-28,32.47,33.71,31.685,33.52,7458961.0
2020-02-29,32.47,33.71,31.685,33.52,7458961.0
2020-03-01,32.47,33.71,31.685,33.52,7458961.0
2020-03-02,33.42,34.33,32.42,34.33,3272468.0
2020-03-03,34.28,35.41,32.7,32.82,3533951.0
2020-03-04,33.14,33.92,32.56,33.87,4409590.0
2020-03-05,32.87,33.15,31.17,31.43,3994664.0
2020-03-06,30.8,31.0,28.51,29.21,6281448.0
2020-03-07,30.8,31.0,28.51,29.21,6281448.0
2020-03-08,30.8,31.0,28.51,29.21,6281448.0
2020-03-09,26.98,27.16,24.88,24.93,6162004.0
2020-03-10,25.88,26.47,24.39,26.34,3380435.0
2020-03-11,25.33,25.69,23.425,23.58,4436983.0
2020-03-12,21.67,21.67,19.6001,19.85,5897060.0
2020-03-13,21.12,21.61,19.6,21.59,5995909.0
2020-03-14,21.12,21.61,19.6,21.59,5995909.0
2020-03-15,21.12,21.61,19.6,21.59,5995909.0
2020-03-16,19.07,21.4,18.51,18.79,4947674.0
2020-03-17,19.25,23.7,17.97,20.88,5977418.0
2020-03-18,19.26,19.48,17.09,18.74,3880580.0
2020-03-19,18.53,23.31,17.5,21.87,5842296.0
2020-03-20,20.15,21.16,18.94,19.97,7205541.0
2020-03-21,20.15,21.16,18.94,19.97,7205541.0
2020-03-22,20.15,21.16,18.94,19.97,7205541.0
2020-03-23,20.53,20.53,17.15,18.15,4815371.0
2020-03-24,19.4,21.21,19.39,20.74,3780992.0
2020-03-25,20.71,22.28,19.49,20.64,5072313.0
2020-03-26,20.74,22.5,20.51,22.32,5172326.0
2020-03-27,21.24,21.75,20.54,20.98,2741732.0
2020-03-28,21.24,21.75,20.54,20.98,2741732.0
2020-03-29,21.24,21.75,20.54,20.98,2741732.0
2020-03-30,20.93,21.005,19.77,20.73,3242906.0
2020-03-31,20.67,20.865,19.795,19.99,4079123.0
2020-04-01,19.07,19.23,18.07,18.7,3652508.0
2020-04-02,18.65,19.5875,18.18,18.96,3260451.0
2020-04-03,18.97,19.47,18.34,18.98,3043750.0
2020-04-04,18.97,19.47,18.34,18.98,3043750.0
2020-04-05,18.97,19.47,18.34,18.98,3043750.0
2020-04-06,20.18,21.31,19.96,21.11,3539624.0
2020-04-07,22.15,22.91,20.55,20.77,4803206.0
2020-04-08,21.09,22.41,20.83,21.78,2345246.0
2020-04-09,22.36,23.595,22.26,23.07,3272889.0
2020-04-10,22.36,23.595,22.26,23.07,3272889.0
2020-04-11,22.36,23.595,22.26,23.07,3272889.0
2020-04-12,22.36,23.595,22.26,23.07,3272889.0
2020-04-13,23.26,23.26,21.49,22.0,2399171.0
2020-04-14,22.43,22.75,21.69,22.31,2898489.0
2020-04-15,21.48,21.5,20.535,21.09,2250104.0
2020-04-16,21.03,21.35,20.41,21.335,2962034.0
2020-04-17,22.0,22.66,21.63,22.52,5026745.0
2020-04-18,22.0,22.66,21.63,22.52,5026745.0
2020-04-19,22.0,22.66,21.63,22.52,5026745.0
2020-04-20,21.91,22.65,21.58,22.21,2805822.0
2020-04-21,21.54,22.0,21.41,21.57,3606431.0
2020-04-22,22.14,22.535,21.61,22.38,3884320.0
2020-04-23,22.52,23.06,22.34,22.88,2922961.0
2020-04-24,22.89,23.615,22.76,23.4,3401289.0
2020-04-25,22.89,23.615,22.76,23.4,3401289.0
2020-04-26,22.89,23.615,22.76,23.4,3401289.0
2020-04-27,23.63,24.51,23.62,24.37,2243540.0
2020-04-28,25.0,25.53,24.37,24.525,3310478.0
2020-04-29,25.18,25.725,25.08,25.55,2095055.0
2020-04-30,25.01,25.1,24.43,25.015,3595452.0
2020-05-01,24.4,24.61,23.76,23.99,3917399.0
2020-05-02,24.4,24.61,23.76,23.99,3917399.0
2020-05-03,24.4,24.61,23.76,23.99,3917399.0
2020-05-04,23.55,23.65,22.59,23.6,2428075.0
2020-05-05,23.84,24.52,23.64,24.31,2515016.0
2020-05-06,24.1,24.49,22.825,22.9,3256760.0
2020-05-07,22.96,24.36,22.9,23.35,2754813.0
2020-05-08,24.2,25.86,23.69,25.73,3641910.0
2020-05-09,24.2,25.86,23.69,25.73,3641910.0
2020-05-10,24.2,25.86,23.69,25.73,3641910.0
2020-05-11,25.15,26.05,24.75,25.93,3705823.0
2020-05-12,26.2,26.42,25.13,25.16,2578791.0
2020-05-13,24.9,25.0462,23.215,23.72,4353185.0
2020-05-14,23.22,24.68,22.535,24.62,3026130.0
2020-05-15,24.2,25.04,24.15,24.71,2438721.0
2020-05-16,24.2,25.04,24.15,24.71,2438721.0
2020-05-17,24.2,25.04,24.15,24.71,2438721.0
2020-05-18,26.03,27.11,25.7,26.74,3556754.0
2020-05-19,26.82,27.52,26.5,26.76,3052620.0
2020-05-20,27.11,29.34,27.11,28.34,6259511.0
2020-05-21,28.18,28.95,28.02,28.555,1813664.0
2020-05-22,28.64,29.89,28.47,29.56,2741422.0
2020-05-23,28.64,29.89,28.47,29.56,2741422.0
2020-05-24,28.64,29.89,28.47,29.56,2741422.0
2020-05-25,28.64,29.89,28.47,29.56,2741422.0
2020-05-26,30.91,31.28,30.42,30.88,3273208.0
2020-05-27,31.68,32.185,30.51,31.075,2993042.0
2020-05-28,30.99,31.525,30.5,31.185,3138364.0
2020-05-29,30.83,31.78,30.55,31.65,5439567.0
2020-05-30,30.83,31.78,30.55,31.65,5439567.0
2020-05-31,30.83,31.78,30.55,31.65,5439567.0
2020-06-01,31.66,32.71,31.51,32.63,2461813.0
2020-06-02,32.95,32.97,32.1,32.45,2713885.0
2020-06-03,32.9,34.31,32.49,33.93,3731272.0
2020-06-04,33.63,34.795,33.53,34.74,3425591.0
2020-06-05,36.15,36.83,35.625,35.82,5363605.0
2020-06-06,36.15,36.83,35.625,35.82,5363605.0
2020-06-07,36.15,36.83,35.625,35.82,5363605.0
2020-06-08,35.94,37.44,35.85,37.32,3436231.0
2020-06-09,36.44,36.56,35.19,35.28,4701326.0
2020-06-10,35.06,35.13,32.88,33.33,3836036.0
2020-06-11,31.77,32.2,31.01,31.455,3827112.0
2020-06-12,32.77,32.99,31.155,32.7,4104715.0
2020-06-13,32.77,32.99,31.155,32.7,4104715.0
2020-06-14,32.77,32.99,31.155,32.7,4104715.0
2020-06-15,31.7,34.55,31.0346,34.04,4314968.0
2020-06-16,35.27,35.78,33.93,35.24,4193177.0
2020-06-17,35.47,36.05,35.16,35.29,3352273.0
2020-06-18,35.46,37.89,35.07,36.89,5499028.0
2020-06-19,37.52,37.565,35.42,35.45,5990003.0
2020-06-20,37.52,37.565,35.42,35.45,5990003.0
2020-06-21,37.52,37.565,35.42,35.45,5990003.0
2020-06-22,35.49,35.87,35.0,35.26,2111013.0
2020-06-23,35.82,36.03,35.105,35.16,2085928.0
2020-06-24,34.65,35.31,34.05,34.41,3185459.0
2020-06-25,34.28,34.3,33.44,33.87,2750079.0
2020-06-26,33.63,33.84,32.42,32.55,5986314.0
2020-06-27,33.63,33.84,32.42,32.55,5986314.0
2020-06-28,33.63,33.84,32.42,32.55,5986314.0
2020-06-29,32.91,33.35,32.24,33.05,2759906.0
2020-06-30,32.97,34.66,32.65,34.51,3193994.0
2020-07-01,34.59,35.38,34.38,34.625,3498302.0
2020-07-02,35.35,35.44,32.895,33.06,3195718.0
2020-07-03,35.35,35.44,32.895,33.06,3195718.0
2020-07-04,35.35,35.44,32.895,33.06,3195718.0
2020-07-05,35.35,35.44,32.895,33.06,3195718.0
2020-07-06,33.68,34.2,32.98,33.5,2350338.0
2020-07-07,33.5,33.5,32.6,32.68,2052742.0
2020-07-08,32.65,32.93,31.48,31.97,3273031.0
2020-07-09,32.09,32.15,30.42,30.83,2640546.0
2020-07-10,30.67,31.91,30.67,31.87,1622204.0
2020-07-11,30.67,31.91,30.67,31.87,1622204.0
2020-07-12,30.67,31.91,30.67,31.87,1622204.0
2020-07-13,32.24,32.43,31.3,32.05,2577150.0
2020-07-14,31.71,32.83,31.415,32.49,3395750.0
2020-07-15,32.93,33.95,32.59,33.78,3100033.0
2020-07-16,33.36,33.775,32.93,33.23,1556133.0
2020-07-17,32.9,33.3,32.535,32.74,2338183.0
2020-07-18,32.9,33.3,32.535,32.74,2338183.0
2020-07-19,32.9,33.3,32.535,32.74,2338183.0
2020-07-20,32.48,32.81,32.22,32.5,1667014.0
2020-07-21,32.82,34.04,32.76,33.55,1954231.0
2020-07-22,33.5,33.82,32.99,33.55,2303085.0
2020-07-23,33.68,34.07,33.02,33.4,2801381.0
2020-07-24,33.34,33.61,33.095,33.36,1203232.0
2020-07-25,33.34,33.61,33.095,33.36,1203232.0
2020-07-26,33.34,33.61,33.095,33.36,1203232.0
2020-07-27,33.63,33.95,32.63,33.38,1416652.0
2020-07-28,33.06,33.63,32.92,33.13,1301781.0
2020-07-29,33.23,33.62,32.87,33.42,2090088.0
2020-07-30,32.8,33.4,32.56,32.84,1468882.0
2020-07-31,33.32,33.34,31.67,32.11,4137511.0
2020-08-01,33.32,33.34,31.67,32.11,4137511.0
2020-08-02,33.32,33.34,31.67,32.11,4137511.0
2020-08-03,32.31,34.08,32.055,33.96,3645034.0
2020-08-04,33.76,34.17,33.35,33.74,1828784.0
2020-08-05,34.01,34.3,33.48,34.07,3401797.0
2020-08-06,34.04,34.685,33.86,34.3,2969544.0
2020-08-07,35.0,37.0,33.58,34.17,7180974.0
2020-08-08,35.0,37.0,33.58,34.17,7180974.0
2020-08-09,35.0,37.0,33.58,34.17,7180974.0
2020-08-10,34.09,35.47,34.09,35.37,4878649.0
2020-08-11,35.78,36.37,35.07,35.23,4688138.0
2020-08-12,35.56,35.99,34.4,34.43,2598229.0
2020-08-13,34.54,35.17,34.2301,35.08,2831735.0
2020-08-14,35.02,35.1,34.36,34.67,1663552.0
2020-08-15,35.02,35.1,34.36,34.67,1663552.0
2020-08-16,35.02,35.1,34.36,34.67,1663552.0
2020-08-17,34.77,35.04,33.9,35.0,2180147.0
2020-08-18,35.02,35.16,34.29,34.36,1511161.0
2020-08-19,34.17,34.48,33.96,34.05,1416848.0
2020-08-20,33.95,34.26,33.275,33.89,2975564.0
2020-08-21,33.7,33.82,33.24,33.53,3229167.0
2020-08-22,33.7,33.82,33.24,33.53,3229167.0
2020-08-23,33.7,33.82,33.24,33.53,3229167.0
2020-08-24,33.74,34.58,33.46,34.58,3011621.0
2020-08-25,34.81,35.09,33.795,34.2,1292903.0
2020-08-26,34.03,34.72,33.86,34.56,1780667.0
2020-08-27,34.61,35.04,34.49,34.71,1599499.0
2020-08-28,34.79,34.89,34.425,34.82,1327655.0
2020-08-29,34.79,34.89,34.425,34.82,1327655.0
2020-08-30,34.79,34.89,34.425,34.82,1327655.0
2020-08-31,36.22,36.94,35.48,35.52,4242594.0
2020-09-01,35.09,35.3,34.05,34.57,2401244.0
2020-09-02,34.76,35.695,34.48,35.5,3058732.0
2020-09-03,35.67,36.15,33.7,34.04,2078138.0
2020-09-04,34.32,34.555,32.91,33.78,1836367.0
2020-09-05,34.32,34.555,32.91,33.78,1836367.0
2020-09-06,34.32,34.555,32.91,33.78,1836367.0
2020-09-07,34.32,34.555,32.91,33.78,1836367.0
2020-09-08,33.39,33.53,32.61,33.03,3635735.0
2020-09-09,33.33,33.64,33.01,33.17,1533171.0
2020-09-10,33.34,33.5863,32.05,32.09,2644513.0
2020-09-11,32.19,32.34,31.71,32.105,1678143.0
2020-09-12,32.19,32.34,31.71,32.105,1678143.0
2020-09-13,32.19,32.34,31.71,32.105,1678143.0
2020-09-14,32.27,33.0542,32.14,32.66,1707068.0
2020-09-15,32.66,33.21,32.24,32.74,1452574.0
2020-09-16,33.01,33.81,32.865,33.24,1984067.0
2020-09-17,32.51,32.79,31.605,32.04,2712610.0
2020-09-18,32.01,32.15,30.795,31.06,6511281.0
2020-09-19,32.01,32.15,30.795,31.06,6511281.0
2020-09-20,32.01,32.15,30.795,31.06,6511281.0
2020-09-21,30.69,30.69,29.35,30.0,3564853.0
2020-09-22,30.19,30.47,29.81,30.125,2349540.0
2020-09-23,30.15,30.43,28.565,28.595,3391099.0
2020-09-24,28.62,28.92,28.06,28.58,1941700.0
2020-09-25,28.41,28.75,27.99,28.55,2362766.0
2020-09-26,28.41,28.75,27.99,28.55,2362766.0
2020-09-27,28.41,28.75,27.99,28.55,2362766.0
2020-09-28,29.16,30.03,29.0,29.875,2377674.0
2020-09-29,29.71,30.0765,29.35,29.65,1547687.0
2020-09-30,29.84,30.09,28.66,29.03,2560876.0
2020-10-01,29.16,29.6,28.49,28.78,1919470.0
2020-10-02,28.2,28.85,28.07,28.545,2335357.0
2020-10-03,28.2,28.85,28.07,28.545,2335357.0
2020-10-04,28.2,28.85,28.07,28.545,2335357.0
2020-10-05,28.87,29.08,28.31,28.41,2590447.0
2020-10-06,28.49,28.815,27.37,27.43,2469046.0
2020-10-07,27.63,28.03,27.14,27.5,2983243.0
2020-10-08,27.72,27.81,27.26,27.58,1693123.0
2020-10-09,28.125,28.125,27.28,27.33,1821797.0
2020-10-10,28.125,28.125,27.28,27.33,1821797.0
2020-10-11,28.125,28.125,27.28,27.33,1821797.0
2020-10-12,27.59,28.43,27.25,28.39,2601545.0
2020-10-13,28.19,28.62,27.83,28.49,2412028.0
2020-10-14,28.58,29.01,27.91,28.06,2629061.0
2020-10-15,27.75,27.88,26.59,27.64,3021634.0
2020-10-16,27.62,28.04,27.25,27.66,1629722.0
2020-10-17,27.62,28.04,27.25,27.66,1629722.0
2020-10-18,27.62,28.04,27.25,27.66,1629722.0
2020-10-19,27.69,27.8,26.46,26.56,1751573.0
2020-10-20,26.84,27.37,26.66,27.06,1896089.0
2020-10-21,26.87,27.13,26.305,26.83,4114084.0
2020-10-22,26.91,27.22,26.27,26.95,1542975.0
2020-10-23,27.09,27.33,26.51,27.24,1951025.0
2020-10-24,27.09,27.33,26.51,27.24,1951025.0
2020-10-25,27.09,27.33,26.51,27.24,1951025.0
2020-10-26,26.95,26.95,26.05,26.25,1857935.0
2020-10-27,26.05,26.59,25.86,26.0,2637467.0
2020-10-28,25.41,26.0,24.761,24.81,2456958.0
2020-10-29,24.67,25.655,24.51,25.4,2626014.0
2020-10-30,25.28,25.67,25.11,25.49,2164385.0
2020-10-31,25.28,25.67,25.11,25.49,2164385.0
2020-11-01,25.28,25.67,25.11,25.49,2164385.0
2020-11-02,26.0,26.24,25.245,25.82,1917972.0
2020-11-03,26.26,26.64,26.04,26.29,1680858.0
2020-11-04,26.46,27.12,25.88,26.51,1938209.0
2020-11-05,26.88,27.58,26.71,27.39,2716642.0
2020-11-06,29.26,29.35,27.44,27.71,5561999.0
2020-11-07,29.26,29.35,27.44,27.71,5561999.0
2020-11-08,29.26,29.35,27.44,27.71,5561999.0
2020-11-09,28.8,29.99,27.84,28.045,5036035.0
2020-11-10,27.9,28.945,27.83,28.88,2949548.0
2020-11-11,29.34,30.56,28.96,30.35,5384583.0
2020-11-12,30.34,31.06,29.96,30.13,3052902.0
2020-11-13,30.47,32.08,30.35,31.54,3845660.0
2020-11-14,30.47,32.08,30.35,31.54,3845660.0
2020-11-15,30.47,32.08,30.35,31.54,3845660.0
2020-11-16,32.13,33.46,31.8,32.94,3246031.0
2020-11-17,32.6,34.3,32.52,34.05,4019841.0
2020-11-18,34.11,34.445,31.03,33.5,9140767.0
2020-11-19,33.25,34.33,33.0001,33.96,2599045.0
2020-11-20,33.85,34.34,33.7601,33.99,1923042.0
2020-11-21,33.85,34.34,33.7601,33.99,1923042.0
2020-11-22,33.85,34.34,33.7601,33.99,1923042.0
2020-11-23,34.19,35.33,34.15,35.13,3738967.0
2020-11-24,35.5,36.66,35.26,36.43,3288502.0
2020-11-25,36.11,36.49,35.39,36.16,1995794.0
2020-11-26,36.11,36.49,35.39,36.16,1995794.0
2020-11-27,36.31,36.45,35.82,35.91,641948.0
2020-11-28,36.31,36.45,35.82,35.91,641948.0
2020-11-29,36.31,36.45,35.82,35.91,641948.0
2020-11-30,35.92,36.01,35.35,35.87,3252981.0
2020-12-01,36.3,36.88,35.925,36.14,2314226.0
2020-12-02,36.12,37.05,35.78,36.98,1998776.0
2020-12-03,37.09,37.27,36.705,37.17,1960999.0
2020-12-04,36.65,37.31,36.13,36.44,2310698.0
2020-12-05,36.65,37.31,36.13,36.44,2310698.0
2020-12-06,36.65,37.31,36.13,36.44,2310698.0
2020-12-07,35.6057,36.88,35.32,36.7,2111275.0
2020-12-08,36.3,36.67,35.895,36.35,2376092.0
2020-12-09,36.64,36.98,35.89,36.13,3021771.0
2020-12-10,35.95,36.41,35.5628,36.21,1734670.0
2020-12-11,35.76,36.16,35.5202,36.01,1485880.0
2020-12-12,35.76,36.16,35.5202,36.01,1485880.0
2020-12-13,35.76,36.16,35.5202,36.01,1485880.0
2020-12-14,36.42,36.42,35.02,35.03,1795575.0
2020-12-15,35.16,35.82,34.98,35.68,1500530.0
2020-12-16,32.96,33.82,31.17,31.51,25111860.0
2020-12-17,31.31,31.57,30.7,31.41,16856921.0
2020-12-18,31.3,31.62,30.275,30.49,7979294.0
2020-12-19,31.3,31.62,30.275,30.49,7979294.0
2020-12-20,31.3,31.62,30.275,30.49,7979294.0
2020-12-21,30.21,30.26,29.2255,29.77,7217335.0
2020-12-22,29.85,29.89,28.75,28.88,7299243.0
2020-12-23,28.98,31.15,28.82,30.97,7959954.0
2020-12-24,31.02,31.08,30.49,31.06,1730224.0
2020-12-25,31.02,31.08,30.49,31.06,1730224.0
2020-12-26,31.02,31.08,30.49,31.06,1730224.0
2020-12-27,31.02,31.08,30.49,31.06,1730224.0
2020-12-28,31.3464,32.095,31.16,31.93,4576527.0
2020-12-29,32.05,32.17,31.29,31.7,4086751.0
2020-12-30,31.81,32.24,31.32,31.52,2507790.0
2020-12-31,31.22,32.45,31.17,32.34,2679042.0
2021-01-01,31.22,32.45,31.17,32.34,2679042.0
2021-01-02,31.22,32.45,31.17,32.34,2679042.0
2021-01-03,31.22,32.45,31.17,32.34,2679042.0
2021-01-04,32.43,32.67,31.42,31.53,5078458.0
2021-01-05,31.51,32.04,30.95,31.47,3671728.0
2021-01-06,31.63,32.1,31.435,31.82,4375592.0
2021-01-07,31.85,32.7,31.77,32.42,3822669.0
2021-01-08,32.6,33.19,32.48,33.16,4344319.0
2021-01-09,32.6,33.19,32.48,33.16,4344319.0
2021-01-10,32.6,33.19,32.48,33.16,4344319.0
2021-01-11,32.7,33.18,32.425,32.73,3852763.0
2021-01-12,32.86,33.11,32.31,33.04,5076076.0
2021-01-13,32.96,33.4095,32.35,32.38,3214134.0
2021-01-14,32.94,33.97,32.5,33.53,4614247.0
2021-01-15,33.28,33.72,32.87,33.12,4624163.0
2021-01-16,33.28,33.72,32.87,33.12,4624163.0
2021-01-17,33.28,33.72,32.87,33.12,4624163.0
2021-01-18,33.28,33.72,32.87,33.12,4624163.0
2021-01-19,33.07,33.44,32.56,32.69,2958201.0
2021-01-20,32.91,32.98,32.13,32.41,3078585.0
2021-01-21,32.47,32.83,31.89,31.92,2659408.0
2021-01-22,31.61,31.63,30.35,30.72,5519919.0
2021-01-23,31.61,31.63,30.35,30.72,5519919.0
2021-01-24,31.61,31.63,30.35,30.72,5519919.0
2021-01-25,30.67,30.97,29.59,30.7,4115223.0
2021-01-26,30.69,31.6854,30.25,31.56,13835473.0
2021-01-27,31.21,31.21,30.07,30.16,10934403.0
2021-01-28,30.38,30.97,29.84,29.93,15253167.0
2021-01-29,29.95,30.345,28.53,29.02,11748013.0
2021-01-30,29.95,30.345,28.53,29.02,11748013.0
2021-01-31,29.95,30.345,28.53,29.02,11748013.0
2021-02-01,29.32,29.645,28.815,29.45,8155983.0
2021-02-02,29.79,30.82,29.53,30.07,4632590.0
2021-02-03,30.05,30.89,29.86,30.73,5352958.0
2021-02-04,30.7885,31.76,30.7885,31.5,4590572.0
2021-02-05,31.39,31.8899,31.16,31.21,4075878.0
2021-02-06,31.39,31.8899,31.16,31.21,4075878.0
2021-02-07,31.39,31.8899,31.16,31.21,4075878.0
2021-02-08,31.62,31.75,31.125,31.52,2091196.0
2021-02-09,31.47,32.62,31.4,32.28,3353777.0
2021-02-10,32.51,32.83,31.5,32.29,6120579.0
2021-02-11,32.46,32.46,31.51,31.69,3462090.0
2021-02-12,31.67,31.94,31.27,31.36,3170896.0
2021-02-13,31.67,31.94,31.27,31.36,3170896.0
2021-02-14,31.67,31.94,31.27,31.36,3170896.0
2021-02-15,31.67,31.94,31.27,31.36,3170896.0
2021-02-16,31.69,32.37,31.52,32.255,2891359.0
2021-02-17,32.09,32.645,31.85,32.5,2897238.0
2021-02-18,32.19,34.22,31.9,33.85,6093588.0
2021-02-19,34.23,34.81,33.53,33.67,4984261.0
2021-02-20,34.23,34.81,33.53,33.67,4984261.0
2021-02-21,34.23,34.81,33.53,33.67,4984261.0
2021-02-22,33.69,34.1838,32.18,32.26,5090555.0
2021-02-23,31.16,31.62,29.71,30.95,8489416.0
2021-02-24,31.0,31.67,30.67,31.4,3590019.0
2021-02-25,31.6,32.49,31.28,31.55,6228555.0
2021-02-26,31.59,32.76,31.105,31.51,3884726.0
2021-02-27,31.59,32.76,31.105,31.51,3884726.0
2021-02-28,31.59,32.76,31.105,31.51,3884726.0
2021-03-01,31.98,32.97,31.47,32.84,3242378.0
2021-03-02,32.77,33.6697,32.61,33.09,3036545.0
2021-03-03,34.01,34.49,33.35,33.64,4813487.0
2021-03-04,33.65,33.84,32.15,32.78,3317185.0
2021-03-05,33.38,34.26,32.68,33.81,4211511.0
2021-03-06,33.38,34.26,32.68,33.81,4211511.0
2021-03-07,33.38,34.26,32.68,33.81,4211511.0
2021-03-08,34.26,35.43,33.91,34.83,5780977.0
2021-03-09,34.95,35.11,34.0,34.43,6186129.0
2021-03-10,34.85,36.05,34.47,35.78,5526787.0
2021-03-11,35.68,36.46,35.47,35.91,3508865.0
2021-03-12,36.07,37.505,35.43,37.27,5238102.0
2021-03-13,36.07,37.505,35.43,37.27,5238102.0
2021-03-14,36.07,37.505,35.43,37.27,5238102.0
2021-03-15,37.33,38.82,37.1,38.78,5723094.0
2021-03-16,38.49,39.24,38.1,38.73,4469307.0
2021-03-17,38.45,39.02,37.7825,38.97,3171449.0
2021-03-18,38.84,39.22,37.58,37.64,2501256.0
2021-03-19,37.19,37.71,37.07,37.28,4872557.0
2021-03-20,37.19,37.71,37.07,37.28,4872557.0
2021-03-21,37.19,37.71,37.07,37.28,4872557.0
2021-03-22,37.25,37.85,36.8,37.54,1931300.0
2021-03-23,37.33,37.335,35.85,35.94,4546202.0
2021-03-24,36.19,36.48,35.44,35.52,3170452.0
2021-03-25,35.38,36.4,34.8,36.25,3324209.0
2021-03-26,36.26,36.5,35.37,36.12,3457436.0
2021-03-27,36.26,36.5,35.37,36.12,3457436.0
2021-03-28,36.26,36.5,35.37,36.12,3457436.0
2021-03-29,35.49,35.97,34.78,35.42,2219014.0
2021-03-30,35.52,36.075,35.16,35.87,2305139.0
2021-03-31,35.8,36.545,35.685,36.2,3495492.0
2021-04-01,36.2,36.8,35.995,36.8,2797002.0
2021-04-02,36.2,36.8,35.995,36.8,2797002.0
2021-04-03,36.2,36.8,35.995,36.8,2797002.0
2021-04-04,36.2,36.8,35.995,36.8,2797002.0
2021-04-05,37.08,38.08,36.86,37.69,2998554.0
2021-04-06,37.542,37.8,37.21,37.43,2353280.0
2021-04-07,37.57,38.13,37.425,37.74,1707704.0
2021-04-08,37.66,38.08,37.36,37.85,2540479.0
2021-04-09,37.78,38.01,37.07,37.56,2825531.0
2021-04-10,37.78,38.01,37.07,37.56,2825531.0
2021-04-11,37.78,38.01,37.07,37.56,2825531.0
2021-04-12,37.78,38.0079,37.54,37.95,1707064.0
2021-04-13,37.86,37.95,37.28,37.49,4712695.0
2021-04-14,37.41,38.15,37.25,37.68,2748353.0
2021-04-15,37.72,38.705,37.57,37.7,2503562.0
2021-04-16,37.7,38.09,37.531,38.01,1575083.0
2021-04-17,37.7,38.09,37.531,38.01,1575083.0
2021-04-18,37.7,38.09,37.531,38.01,1575083.0
2021-04-19,37.82,38.22,36.87,37.0,2356592.0
2021-04-20,37.0,37.08,36.25,36.89,2043204.0
2021-04-21,37.41,41.7,37.3,40.94,15121022.0
