,MOV US Equity,MOV US Equity,MOV US Equity,MOV US Equity,MOV US Equity
2020-08-03,8.1968,8.1968,7.9694,8.0957,174247.0
2020-08-04,8.003,8.4495,7.9862,8.3063,166854.0
2020-08-05,8.3232,8.7865,8.2895,8.7697,108672.0
2020-08-06,8.7191,8.7739,8.5254,8.5843,140164.0
2020-08-07,8.5675,8.9297,8.4158,8.8876,181180.0
2020-08-08,8.5675,8.9297,8.4158,8.8876,181180.0
2020-08-09,8.5675,8.9297,8.4158,8.8876,181180.0
2020-08-10,8.9297,9.2246,8.7528,8.8034,206782.0
2020-08-11,8.9887,9.0982,8.8202,8.8792,185501.0
2020-08-12,9.0898,9.0982,8.7107,9.0477,193171.0
2020-08-13,8.8792,9.174,8.7275,9.014,171757.0
2020-08-14,8.9213,9.1824,8.8876,9.1151,210179.0
2020-08-15,8.9213,9.1824,8.8876,9.1151,210179.0
2020-08-16,8.9213,9.1824,8.8876,9.1151,210179.0
2020-08-17,9.1403,9.1656,8.9044,9.1487,132889.0
2020-08-18,9.1066,9.1066,8.4327,8.8455,301300.0
2020-08-19,8.896,8.896,8.6264,8.6686,187552.0
2020-08-20,8.5759,8.7023,8.399,8.4917,202033.0
2020-08-21,8.4158,8.4327,8.2726,8.4243,203622.0
2020-08-22,8.4158,8.4327,8.2726,8.4243,203622.0
2020-08-23,8.4158,8.4327,8.2726,8.4243,203622.0
2020-08-24,8.6686,9.4183,8.4243,9.3846,238027.0
2020-08-25,9.4352,9.8817,9.2414,9.7469,282468.0
2020-08-26,9.6542,9.7047,9.0898,9.1656,217807.0
2020-08-27,10.3155,10.5219,9.1235,9.2583,289246.0
2020-08-28,9.4015,9.4267,9.2245,9.3846,216937.0
2020-08-29,9.4015,9.4267,9.2245,9.3846,216937.0
2020-08-30,9.4015,9.4267,9.2245,9.3846,216937.0
2020-08-31,9.4183,9.448,9.1319,9.1909,238026.0
2020-09-01,9.0814,9.3088,8.6644,9.2498,236242.0
2020-09-02,9.292,9.6458,9.1066,9.6121,293243.0
2020-09-03,9.6795,9.9575,9.4857,9.5868,260024.0
2020-09-04,9.8058,9.8227,9.3762,9.4689,229871.0
2020-09-05,9.8058,9.8227,9.3762,9.4689,229871.0
2020-09-06,9.8058,9.8227,9.3762,9.4689,229871.0
2020-09-07,9.8058,9.8227,9.3762,9.4689,229871.0
2020-09-08,9.4773,9.4773,9.1403,9.3594,222801.0
2020-09-09,9.4099,9.4546,9.16,9.3257,195384.0
2020-09-10,9.3425,9.6963,9.2583,9.452,357058.0
2020-09-11,9.5026,9.6289,9.3678,9.5363,226720.0
2020-09-12,9.5026,9.6289,9.3678,9.5363,226720.0
2020-09-13,9.5026,9.6289,9.3678,9.5363,226720.0
2020-09-14,9.5868,9.7384,9.452,9.6795,276221.0
2020-09-15,9.7469,10.286,9.709,10.1091,283796.0
2020-09-16,10.1091,10.4082,9.9238,10.2186,328640.0
2020-09-17,10.2102,10.5388,10.1428,10.2776,272770.0
2020-09-18,10.3955,11.0948,10.3366,10.7662,658440.0
2020-09-19,10.3955,11.0948,10.3366,10.7662,658440.0
2020-09-20,10.3955,11.0948,10.3366,10.7662,658440.0
2020-09-21,10.623,10.623,9.2751,9.5531,303441.0
2020-09-22,9.5784,9.7628,9.2498,9.3341,210783.0
2020-09-23,9.4099,9.6079,8.955,8.9634,201982.0
2020-09-24,9.0055,9.014,8.5506,8.6854,297583.0
2020-09-25,8.6686,8.8034,8.5927,8.6349,172744.0
2020-09-26,8.6686,8.8034,8.5927,8.6349,172744.0
2020-09-27,8.6686,8.8034,8.5927,8.6349,172744.0
2020-09-28,8.7444,8.9213,8.6517,8.7528,150757.0
2020-09-29,8.677,8.6896,8.1378,8.3484,267779.0
2020-09-30,8.3653,8.5305,8.1631,8.3737,247968.0
2020-10-01,8.4158,8.7275,8.2979,8.677,205789.0
2020-10-02,8.5254,8.9381,8.458,8.8623,157197.0
2020-10-03,8.5254,8.9381,8.458,8.8623,157197.0
2020-10-04,8.5254,8.9381,8.458,8.8623,157197.0
2020-10-05,8.9044,9.2667,8.9044,9.1824,166987.0
2020-10-06,9.3425,9.3509,8.7528,8.8286,173480.0
2020-10-07,8.896,9.0392,8.8539,8.9718,139199.0
2020-10-08,9.0729,9.1824,8.9213,9.1656,98841.0
2020-10-09,9.1909,9.2751,8.9381,9.2161,134101.0
2020-10-10,9.1909,9.2751,8.9381,9.2161,134101.0
2020-10-11,9.1909,9.2751,8.9381,9.2161,134101.0
2020-10-12,9.174,9.2751,9.0519,9.1572,111490.0
2020-10-13,9.1572,9.1572,8.8034,9.0055,123970.0
2020-10-14,8.955,9.0322,8.7275,8.8371,79109.0
2020-10-15,8.7191,9.1656,8.4832,9.0729,132279.0
2020-10-16,9.0561,9.4352,9.0561,9.2498,277668.0
2020-10-17,9.0561,9.4352,9.0561,9.2498,277668.0
2020-10-18,9.0561,9.4352,9.0561,9.2498,277668.0
2020-10-19,9.2751,9.6289,9.1909,9.6037,221292.0
2020-10-20,9.7132,10.1007,9.6627,9.9912,291876.0
2020-10-21,9.9912,10.3324,9.9912,10.2355,146286.0
2020-10-22,10.4208,10.8504,10.2692,10.8168,146822.0
2020-10-23,10.9515,11.0948,10.4461,10.7494,173398.0
2020-10-24,10.9515,11.0948,10.4461,10.7494,173398.0
2020-10-25,10.9515,11.0948,10.4461,10.7494,173398.0
2020-10-26,10.5809,10.7915,10.3534,10.6651,161597.0
2020-10-27,10.5977,10.7409,10.3366,10.3366,168501.0
2020-10-28,10.0586,10.1091,9.452,9.4773,167974.0
2020-10-29,9.3594,9.5531,9.2414,9.4099,109739.0
2020-10-30,9.3931,9.3931,9.0982,9.1909,145613.0
2020-10-31,9.3931,9.3931,9.0982,9.1909,145613.0
2020-11-01,9.3931,9.3931,9.0982,9.1909,145613.0
2020-11-02,9.3341,9.4352,9.1319,9.3509,93746.0
2020-11-03,9.5784,9.6879,9.4436,9.5868,94667.0
2020-11-04,9.4604,9.7721,9.4604,9.6374,102452.0
2020-11-05,9.7637,10.1934,9.7637,10.1007,71045.0
2020-11-06,10.1344,10.1344,9.511,9.6289,104866.0
2020-11-07,10.1344,10.1344,9.511,9.6289,104866.0
2020-11-08,10.1344,10.1344,9.511,9.6289,104866.0
2020-11-09,10.4629,11.2969,10.4629,11.0863,423043.0
2020-11-10,11.1874,12.2152,11.1284,11.735,215629.0
2020-11-11,11.8445,11.8445,10.6251,10.842,126474.0
2020-11-12,10.96,11.398,10.7154,10.9852,192321.0
2020-11-13,11.1537,11.735,11.0442,11.5749,128893.0
2020-11-14,11.1537,11.735,11.0442,11.5749,128893.0
2020-11-15,11.1537,11.735,11.0442,11.5749,128893.0
2020-11-16,12.0383,12.4848,11.5075,11.7687,161066.0
2020-11-17,11.5749,12.3921,11.5113,12.2405,109687.0
2020-11-18,12.3163,12.9144,12.2657,12.8217,181879.0
2020-11-19,12.7459,13.3777,12.4342,13.3525,198369.0
2020-11-20,13.1587,13.7905,12.8723,13.6726,215846.0
2020-11-21,13.1587,13.7905,12.8723,13.6726,215846.0
2020-11-22,13.1587,13.7905,12.8723,13.6726,215846.0
2020-11-23,13.6894,14.2707,13.4367,14.0601,361470.0
2020-11-24,14.4223,15.5849,13.8326,15.5512,266851.0
2020-11-25,15.5512,16.0061,14.734,15.2142,263432.0
2020-11-26,15.5512,16.0061,14.734,15.2142,263432.0
2020-11-27,15.1637,15.4164,14.6414,15.0289,159309.0
2020-11-28,15.1637,15.4164,14.6414,15.0289,159309.0
2020-11-29,15.1637,15.4164,14.6414,15.0289,159309.0
2020-11-30,14.8267,14.9109,13.8832,14.2623,233915.0
2020-12-01,14.4392,14.4476,13.6557,14.2117,359145.0
2020-12-02,14.1191,14.4055,13.9422,14.3044,208654.0
2020-12-03,14.3044,14.9362,14.3044,14.5908,110271.0
2020-12-04,14.515,15.0626,14.515,15.0036,90522.0
2020-12-05,14.515,15.0626,14.515,15.0036,90522.0
2020-12-06,14.515,15.0626,14.515,15.0036,90522.0
2020-12-07,14.9362,14.9362,14.2623,14.4055,153108.0
2020-12-08,14.2623,14.9952,14.1022,14.9278,173985.0
2020-12-09,15.1552,15.4754,14.4982,14.6077,267770.0
2020-12-10,14.5824,14.7762,13.7989,14.296,132458.0
2020-12-11,14.2791,14.6498,14.1654,14.3297,198102.0
2020-12-12,14.2791,14.6498,14.1654,14.3297,198102.0
2020-12-13,14.2791,14.6498,14.1654,14.3297,198102.0
2020-12-14,14.4813,14.6077,13.5378,13.5883,215349.0
2020-12-15,13.6894,14.6751,13.6177,14.6161,253845.0
2020-12-16,14.6161,14.8099,14.2112,14.7425,360913.0
2020-12-17,14.8772,15.5428,14.3212,15.071,201672.0
2020-12-18,15.0626,15.0963,14.4645,14.9868,545667.0
2020-12-19,15.0626,15.0963,14.4645,14.9868,545667.0
2020-12-20,15.0626,15.0963,14.4645,14.9868,545667.0
2020-12-21,14.7677,14.8772,14.1022,14.5992,260964.0
2020-12-22,14.6835,14.7003,14.0095,14.2033,171398.0
2020-12-23,14.3044,14.8435,14.1865,14.7088,381044.0
2020-12-24,14.6666,14.8435,14.515,14.6498,56877.0
2020-12-25,14.6666,14.8435,14.515,14.6498,56877.0
2020-12-26,14.6666,14.8435,14.515,14.6498,56877.0
2020-12-27,14.6666,14.8435,14.515,14.6498,56877.0
2020-12-28,14.9531,15.0542,14.4055,14.4476,161742.0
2020-12-29,14.5234,14.5908,13.9337,14.1443,118134.0
2020-12-30,14.1865,14.3212,13.4872,14.018,335105.0
2020-12-31,13.9759,14.3718,13.9422,14.0011,144986.0
2021-01-01,13.9759,14.3718,13.9422,14.0011,144986.0
2021-01-02,13.9759,14.3718,13.9422,14.0011,144986.0
2021-01-03,13.9759,14.3718,13.9422,14.0011,144986.0
2021-01-04,14.0685,14.3043,13.8095,14.1106,167531.0
2021-01-05,14.2791,14.7425,14.0854,14.4982,166033.0
2021-01-06,14.6835,15.7618,14.6835,15.1552,491664.0
2021-01-07,15.3237,15.408,14.9607,15.3237,251700.0
2021-01-08,15.3743,15.3996,14.9495,15.2311,140724.0
2021-01-09,15.3743,15.3996,14.9495,15.2311,140724.0
2021-01-10,15.3743,15.3996,14.9495,15.2311,140724.0
2021-01-11,14.9699,16.1914,14.9699,15.905,442133.0
2021-01-12,15.9808,17.8005,15.9808,17.6741,356550.0
2021-01-13,17.4635,17.8931,16.9033,17.1771,250340.0
2021-01-14,17.1939,17.8763,17.1939,17.6067,201884.0
2021-01-15,17.1265,18.3649,16.8738,17.8679,342610.0
2021-01-16,17.1265,18.3649,16.8738,17.8679,342610.0
2021-01-17,17.1265,18.3649,16.8738,17.8679,342610.0
2021-01-18,17.1265,18.3649,16.8738,17.8679,342610.0
2021-01-19,17.7836,17.969,17.4888,17.7162,212745.0
2021-01-20,17.6062,17.9363,17.3607,17.6993,181247.0
2021-01-21,17.7331,17.8009,17.166,17.5723,219962.0
2021-01-22,17.2845,17.5977,16.9375,17.3184,218882.0
2021-01-23,17.2845,17.5977,16.9375,17.3184,218882.0
2021-01-24,17.2845,17.5977,16.9375,17.3184,218882.0
2021-01-25,17.2253,17.4961,16.4635,17.3776,348768.0
2021-01-26,17.657,17.9024,17.0645,17.8347,123757.0
2021-01-27,17.4284,19.4514,17.403,18.9774,305676.0
2021-01-28,19.0959,19.4261,17.6908,18.0548,229508.0
2021-01-29,18.2156,18.274,17.3015,17.4877,136208.0
2021-01-30,18.2156,18.274,17.3015,17.4877,136208.0
2021-01-31,18.2156,18.274,17.3015,17.4877,136208.0
2021-02-01,17.8686,18.5711,17.7289,18.2918,198048.0
2021-02-02,18.478,18.5457,17.9025,18.2918,141558.0
2021-02-03,18.3172,18.5711,18.0971,18.3511,104065.0
2021-02-04,18.4611,19.443,18.4611,19.3329,118267.0
2021-02-05,19.6546,20.1455,19.4176,20.1117,203726.0
2021-02-06,19.6546,20.1455,19.4176,20.1117,203726.0
2021-02-07,19.6546,20.1455,19.4176,20.1117,203726.0
2021-02-08,20.3233,20.6619,19.7858,20.5942,225268.0
2021-02-09,20.5603,20.5603,19.7816,20.1794,127845.0
2021-02-10,20.3487,20.3656,19.5022,20.2471,112246.0
2021-02-11,20.3233,20.4494,19.2483,19.443,109142.0
2021-02-12,19.3245,19.3245,18.5881,18.842,123867.0
2021-02-13,19.3245,19.3245,18.5881,18.842,123867.0
2021-02-14,19.3245,19.3245,18.5881,18.842,123867.0
2021-02-15,19.3245,19.3245,18.5881,18.842,123867.0
2021-02-16,18.9774,19.0959,18.2495,18.605,104029.0
2021-02-17,18.4865,18.6812,18.1733,18.3341,108625.0
2021-02-18,18.1733,18.1733,17.42,17.8009,91935.0
2021-02-19,17.8855,18.1902,17.4707,18.1225,83975.0
2021-02-20,17.8855,18.1902,17.4707,18.1225,83975.0
2021-02-21,17.8855,18.1902,17.4707,18.1225,83975.0
2021-02-22,18.2156,18.6219,17.9702,18.3003,110160.0
2021-02-23,18.0379,18.5271,17.3353,18.495,159819.0
2021-02-24,18.4188,19.1829,18.4188,18.8928,141408.0
2021-02-25,18.952,19.2568,18.4357,18.9774,197508.0
2021-02-26,18.9605,19.6123,18.8251,19.2991,182378.0
2021-02-27,18.9605,19.6123,18.8251,19.2991,182378.0
2021-02-28,18.9605,19.6123,18.8251,19.2991,182378.0
2021-03-01,19.7223,20.0609,19.4007,19.9762,113633.0
2021-03-02,19.9001,19.9255,19.2144,19.2822,109370.0
2021-03-03,19.4599,20.2217,19.2822,19.9255,128019.0
2021-03-04,19.9255,20.001,18.9266,19.8154,252462.0
2021-03-05,20.1963,20.4672,19.6038,20.3148,193177.0
2021-03-06,20.1963,20.4672,19.6038,20.3148,193177.0
2021-03-07,20.1963,20.4672,19.6038,20.3148,193177.0
2021-03-08,20.3233,21.6649,20.3233,21.2544,165814.0
2021-03-09,21.4067,21.4152,20.628,21.2205,199465.0
2021-03-10,21.2882,22.1939,21.1528,21.3729,179474.0
2021-03-11,21.6353,21.6353,20.8904,21.3644,141895.0
2021-03-12,21.3644,21.5845,21.0639,21.3729,74324.0
2021-03-13,21.3644,21.5845,21.0639,21.3729,74324.0
