,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity
2019-04-21,272.171,275.269,270.806,274.997,1107163.0
2019-04-22,274.989,276.748,274.131,275.873,1318968.0
2019-04-23,285.726,295.172,283.976,291.484,3425799.0
2019-04-24,292.184,293.829,286.881,288.876,2089980.0
2019-04-25,288.99,292.472,287.423,287.782,1506514.0
2019-04-26,288.421,289.427,286.216,287.31,873509.0
2019-04-27,288.421,289.427,286.216,287.31,873509.0
2019-04-28,288.421,289.427,286.216,287.31,873509.0
2019-04-29,287.371,289.777,286.33,287.537,969221.0
2019-04-30,288.351,292.149,287.425,291.685,990090.0
2019-05-01,292.49,295.08,290.154,290.39,1104397.0
2019-05-02,290.53,291.134,287.231,291.002,962542.0
2019-05-03,291.904,293.706,289.821,292.332,806766.0
2019-05-04,291.904,293.706,289.821,292.332,806766.0
2019-05-05,291.904,293.706,289.821,292.332,806766.0
2019-05-06,289.208,294.485,288.917,293.776,812813.0
2019-05-07,292.919,292.919,287.76,289.559,1176417.0
2019-05-08,289.559,294.791,289.077,292.429,1083968.0
2019-05-09,292.271,297.81,290.469,296.962,1496527.0
2019-05-10,295.255,298.939,293.383,298.703,1205014.0
2019-05-11,295.255,298.939,293.383,298.703,1205014.0
2019-05-12,295.255,298.939,293.383,298.703,1205014.0
2019-05-13,293.365,297.298,291.571,293.47,1503998.0
2019-05-14,294.03,298.322,292.928,294.17,1171595.0
2019-05-15,293.4,293.768,288.71,292.402,1126981.0
2019-05-16,293.951,297.215,293.015,296.988,1092362.0
2019-05-17,294.424,298.353,294.424,295.763,1268411.0
2019-05-18,294.424,298.353,294.424,295.763,1268411.0
2019-05-19,294.424,298.353,294.424,295.763,1268411.0
2019-05-20,295.106,301.276,295.106,299.28,1388296.0
2019-05-21,300.672,301.722,297.084,300.978,1097997.0
2019-05-22,300.401,300.401,297.417,298.659,1049320.0
2019-05-23,297.277,298.782,294.091,297.583,1461463.0
2019-05-24,298.108,298.939,295.128,296.454,1293099.0
2019-05-25,298.108,298.939,295.128,296.454,1293099.0
2019-05-26,298.108,298.939,295.128,296.454,1293099.0
2019-05-27,298.108,298.939,295.128,296.454,1293099.0
2019-05-28,296.612,298.642,294.984,295.675,3559638.0
2019-05-29,294.704,297.837,293.392,296.944,1184632.0
2019-05-30,297.522,300.567,297.303,299.237,859051.0
2019-05-31,297.325,300.452,297.233,298.162,1024169.0
2019-06-01,297.325,300.452,297.233,298.162,1024169.0
2019-06-02,297.325,300.452,297.233,298.162,1024169.0
2019-06-03,297.757,303.658,297.599,303.473,1345296.0
2019-06-04,304.627,307.973,304.627,307.683,1573475.0
2019-06-05,308.246,310.774,306.943,310.633,1750507.0
2019-06-06,311.223,312.078,308.387,310.475,1149785.0
2019-06-07,311.294,313.672,310.369,312.861,1125847.0
2019-06-08,311.294,313.672,310.369,312.861,1125847.0
2019-06-09,311.294,313.672,310.369,312.861,1125847.0
2019-06-10,315.275,315.856,308.898,309.664,1356231.0
2019-06-11,310.025,310.501,300.214,303.006,1684428.0
2019-06-12,303.173,304.856,301.491,304.301,1132227.0
2019-06-13,306.124,307.995,303.323,307.445,1203880.0
2019-06-14,307.445,310.422,306.881,308.379,1059494.0
2019-06-15,307.445,310.422,306.881,308.379,1059494.0
2019-06-16,307.445,310.422,306.881,308.379,1059494.0
2019-06-17,309.33,310.378,305.402,307.101,904169.0
2019-06-18,307.806,312.025,306.837,311.355,826400.0
2019-06-19,311.567,314.02,311.065,313.302,816682.0
2019-06-20,315.098,319.995,315.046,319.529,1049080.0
2019-06-21,319.027,319.476,314.922,316.499,1544872.0
2019-06-22,319.027,319.476,314.922,316.499,1544872.0
2019-06-23,319.027,319.476,314.922,316.499,1544872.0
2019-06-24,317.45,319.599,316.834,317.045,1766730.0
2019-06-25,317.063,319.524,316.834,317.556,1169114.0
2019-06-26,318.507,318.824,314.42,316.622,977659.0
2019-06-27,317.001,317.521,314.645,316.261,826517.0
2019-06-28,316.605,320.365,315.01,320.18,1369653.0
2019-06-29,316.605,320.365,315.01,320.18,1369653.0
2019-06-30,316.605,320.365,315.01,320.18,1369653.0
2019-07-01,321.827,323.025,317.987,318.357,1004500.0
2019-07-02,318.454,323.73,318.002,323.73,1053033.0
2019-07-03,324.056,326.284,321.774,326.204,742109.0
2019-07-04,324.056,326.284,321.774,326.204,742109.0
2019-07-05,325.764,326.601,322.94,325.799,716882.0
2019-07-06,325.764,326.601,322.94,325.799,716882.0
2019-07-07,325.764,326.601,322.94,325.799,716882.0
2019-07-08,324.584,325.799,323.029,325.148,646804.0
2019-07-09,323.888,326.09,322.431,325.632,650988.0
2019-07-10,325.87,328.838,323.967,324.249,818745.0
2019-07-11,324.249,325.324,322.532,324.311,1358023.0
2019-07-12,325.165,325.438,323.078,325.385,1148702.0
2019-07-13,325.165,325.438,323.078,325.385,1148702.0
2019-07-14,325.165,325.438,323.078,325.385,1148702.0
2019-07-15,325.729,325.879,323.14,323.835,1010704.0
2019-07-16,324.108,324.478,321.607,321.774,1027121.0
2019-07-17,321.774,321.88,315.169,315.715,1866997.0
2019-07-18,315.556,315.636,310.712,313.725,1704944.0
2019-07-19,314.984,316.27,313.407,314.385,1463296.0
2019-07-20,314.984,316.27,313.407,314.385,1463296.0
2019-07-21,314.984,316.27,313.407,314.385,1463296.0
2019-07-22,314.808,315.715,313.152,314.975,1145622.0
2019-07-23,319.705,319.705,308.969,315.125,2344066.0
2019-07-24,315.477,324.98,315.297,324.901,1900584.0
2019-07-25,324.778,328.258,323.36,326.152,1143372.0
2019-07-26,325.526,326.492,323.915,325.394,791383.0
2019-07-27,325.526,326.492,323.915,325.394,791383.0
2019-07-28,325.526,326.492,323.915,325.394,791383.0
2019-07-29,325.35,325.967,324.064,325.535,659196.0
2019-07-30,324.663,326.46,321.752,322.338,701602.0
2019-07-31,322.268,324.734,316.437,318.974,1037053.0
2019-08-01,318.577,323.527,316.349,319.784,1220648.0
2019-08-02,320.7,320.858,316.613,318.745,836256.0
2019-08-03,320.7,320.858,316.613,318.745,836256.0
2019-08-04,320.7,320.858,316.613,318.745,836256.0
2019-08-05,314.024,318.031,311.748,315.68,1464608.0
2019-08-06,318.19,323.133,316.036,323.034,1124866.0
2019-08-07,320.603,326.689,318.842,325.253,1242993.0
2019-08-08,325.879,333.268,325.879,332.185,1185864.0
2019-08-09,331.242,334.113,328.803,332.044,871962.0
2019-08-10,331.242,334.113,328.803,332.044,871962.0
2019-08-11,331.242,334.113,328.803,332.044,871962.0
2019-08-12,330.273,332.96,329.04,332.035,678348.0
2019-08-13,332.907,336.007,330.516,332.229,1060897.0
2019-08-14,331.154,331.154,323.545,324.936,1469057.0
2019-08-15,325.121,329.895,323.373,328.917,1066914.0
2019-08-16,331.242,333.215,328.838,332.035,821356.0
2019-08-17,331.242,333.215,328.838,332.035,821356.0
2019-08-18,331.242,333.215,328.838,332.035,821356.0
2019-08-19,334.457,336.158,333.374,335.091,799914.0
2019-08-20,335.117,338.288,334.237,336.218,920614.0
2019-08-21,338.2,338.442,334.052,337.319,791496.0
2019-08-22,337.319,340.534,335.311,339.856,742580.0
2019-08-23,339.327,340.781,329.934,331.938,1393141.0
2019-08-24,339.327,340.781,329.934,331.938,1393141.0
2019-08-25,339.327,340.781,329.934,331.938,1393141.0
2019-08-26,334.677,335.17,330.714,334.959,688219.0
2019-08-27,336.218,336.624,332.255,334.668,760325.0
2019-08-28,333.832,337.319,331.836,335.531,820584.0
2019-08-29,338.667,339.768,335.382,338.579,1063524.0
2019-08-30,339.482,340.802,337.941,340.244,760901.0
2019-08-31,339.482,340.802,337.941,340.244,760901.0
2019-09-01,339.482,340.802,337.941,340.244,760901.0
2019-09-02,339.482,340.802,337.941,340.244,760901.0
2019-09-03,337.48,341.192,336.417,340.758,891668.0
2019-09-04,343.079,345.196,341.83,344.647,792243.0
2019-09-05,345.887,348.498,341.015,341.165,941775.0
2019-09-06,343.052,344.088,341.75,342.414,701065.0
2019-09-07,343.052,344.088,341.75,342.414,701065.0
2019-09-08,343.052,344.088,341.75,342.414,701065.0
2019-09-09,343.646,343.947,336.639,336.79,1146949.0
2019-09-10,334.203,337.773,328.153,337.773,1297959.0
2019-09-11,337.666,341.741,336.652,337.976,1125255.0
2019-09-12,340.581,344.142,339.5,342.476,855144.0
2019-09-13,343.486,343.486,339.792,340.908,898638.0
2019-09-14,343.486,343.486,339.792,340.908,898638.0
2019-09-15,343.486,343.486,339.792,340.908,898638.0
2019-09-16,344.487,349.536,342.707,347.818,1689923.0
2019-09-17,347.649,354.284,344.073,348.987,978401.0
2019-09-18,349.696,351.866,346.835,351.697,784503.0
2019-09-19,351.786,352.991,348.145,348.5,1046876.0
2019-09-20,349.439,350.28,343.734,343.911,2132356.0
2019-09-21,349.439,350.28,343.734,343.911,2132356.0
2019-09-22,349.439,350.28,343.734,343.911,2132356.0
2019-09-23,343.752,345.515,342.016,343.398,1155542.0
2019-09-24,345.461,348.11,342.99,344.726,1187707.0
2019-09-25,345.975,346.259,343.433,345.842,1337184.0
2019-09-26,346.569,349.572,344.514,348.048,881099.0
2019-09-27,350.723,350.732,342.299,343.575,751895.0
2019-09-28,350.723,350.732,342.299,343.575,751895.0
2019-09-29,350.723,350.732,342.299,343.575,751895.0
2019-09-30,344.186,348.845,344.064,345.515,1293800.0
2019-10-01,346.728,347.658,340.049,340.315,1240345.0
2019-10-02,339.031,339.314,331.349,334.974,1763814.0
2019-10-03,335.603,337.658,331.581,336.657,928845.0
2019-10-04,336.79,341.245,336.152,340.988,771915.0
2019-10-05,336.79,341.245,336.152,340.988,771915.0
2019-10-06,336.79,341.245,336.152,340.988,771915.0
2019-10-07,341.041,342.521,338.986,339.952,864344.0
2019-10-08,337.542,341.741,335.975,338.481,1001446.0
2019-10-09,340.882,342.211,338.818,340.687,712573.0
2019-10-10,340.138,344.139,339.438,342.698,700457.0
2019-10-11,345.275,346.108,337.711,337.906,1329367.0
2019-10-12,345.275,346.108,337.711,337.906,1329367.0
2019-10-13,345.275,346.108,337.711,337.906,1329367.0
2019-10-14,339.057,341.36,337.835,338.915,623447.0
2019-10-15,339.872,341.653,338.437,339.039,851382.0
2019-10-16,338.721,340.488,336.807,339.119,855112.0
2019-10-17,339.748,340.333,333.317,333.999,1005147.0
2019-10-18,333.698,334.575,325.974,329.942,1935666.0
2019-10-19,333.698,334.575,325.974,329.942,1935666.0
2019-10-20,333.698,334.575,325.974,329.942,1935666.0
2019-10-21,331.298,332.963,330.164,331.333,1174602.0
2019-10-22,321.545,334.389,321.545,331.005,2595285.0
2019-10-23,331.094,332.166,326.621,330.483,1289629.0
2019-10-24,331.076,334.354,329.517,331.944,1137189.0
2019-10-25,331.625,332.073,327.338,328.392,1173479.0
2019-10-26,331.625,332.073,327.338,328.392,1173479.0
2019-10-27,331.625,332.073,327.338,328.392,1173479.0
2019-10-28,328.977,332.573,327.852,329.375,1322105.0
2019-10-29,329.207,332.396,327.781,328.72,1298549.0
2019-10-30,330.598,335.709,329.048,335.399,1064902.0
2019-10-31,334.761,336.763,332.405,333.663,911811.0
2019-11-01,334.929,337.445,333.889,335.868,915629.0
2019-11-02,334.929,337.445,333.889,335.868,915629.0
2019-11-03,334.929,337.445,333.889,335.868,915629.0
2019-11-04,336.541,337.294,329.677,331.714,1117519.0
2019-11-05,331.342,332.857,328.906,330.961,1364210.0
2019-11-06,331.723,336.541,331.315,336.417,1505809.0
2019-11-07,336.905,339.031,334.752,335.496,1157244.0
2019-11-08,334.478,339.155,334.478,338.251,783576.0
2019-11-09,334.478,339.155,334.478,338.251,783576.0
2019-11-10,334.478,339.155,334.478,338.251,783576.0
2019-11-11,336.169,339.624,335.992,337.826,580913.0
2019-11-12,337.985,343.247,337.985,342.184,910737.0
2019-11-13,341.865,345.922,341.112,343.415,962410.0
2019-11-14,343.052,347.499,343.052,345.603,915586.0
2019-11-15,347.472,349.439,345.709,348.606,1533552.0
2019-11-16,347.472,349.439,345.709,348.606,1533552.0
2019-11-17,347.472,349.439,345.709,348.606,1533552.0
2019-11-18,348.119,350.488,347.189,347.906,827764.0
2019-11-19,349.005,350.62,345.931,346.179,800294.0
2019-11-20,346.4,348.597,345.683,347.853,907757.0
2019-11-21,346.223,347.455,344.859,345.692,1416867.0
2019-11-22,345.63,346.692,343.53,346.117,758654.0
2019-11-23,345.63,346.692,343.53,346.117,758654.0
2019-11-24,345.63,346.692,343.53,346.117,758654.0
2019-11-25,346.879,348.207,343.238,345.444,801371.0
2019-11-26,345.993,350.732,345.444,347.676,1206645.0
2019-11-27,348.677,349.43,346.896,349.217,770302.0
2019-11-28,348.677,349.43,346.896,349.217,770302.0
2019-11-29,349.36,349.534,347.615,348.495,401529.0
2019-11-30,349.36,349.534,347.615,348.495,401529.0
2019-12-01,349.36,349.534,347.615,348.495,401529.0
2019-12-02,348.21,348.941,341.731,341.892,1283565.0
2019-12-03,339.94,342.801,338.791,340.109,1502875.0
2019-12-04,341.811,345.751,340.697,342.747,1081122.0
2019-12-05,344.066,344.458,341.348,343.959,1203937.0
2019-12-06,345.055,346.597,343.211,344.779,709743.0
2019-12-07,345.055,346.597,343.211,344.779,709743.0
2019-12-08,345.055,346.597,343.211,344.779,709743.0
2019-12-09,344.209,345.278,341.544,341.642,833635.0
2019-12-10,341.785,344.699,341.562,342.622,862109.0
2019-12-11,343.576,344.558,342.257,344.227,579709.0
2019-12-12,344.013,345.608,341.74,342.275,736539.0
2019-12-13,342.23,345.599,342.226,344.432,658026.0
2019-12-14,342.23,345.599,342.226,344.432,658026.0
2019-12-15,342.23,345.599,342.226,344.432,658026.0
2019-12-16,345.706,346.107,342.273,343.968,847464.0
2019-12-17,343.121,345.795,343.121,344.806,730134.0
2019-12-18,345.26,345.474,338.362,339.173,1526018.0
2019-12-19,339.548,342.836,338.87,341.473,899285.0
2019-12-20,343.148,344.581,341.339,344.432,1599765.0
2019-12-21,343.148,344.581,341.339,344.432,1599765.0
2019-12-22,343.148,344.581,341.339,344.432,1599765.0
2019-12-23,345.492,351.757,345.43,349.271,1050417.0
2019-12-24,349.672,349.672,347.159,347.729,516250.0
2019-12-25,349.672,349.672,347.159,347.729,516250.0
2019-12-26,348.38,349.761,348.005,349.627,711713.0
2019-12-27,351.134,351.588,349.307,350.786,729315.0
2019-12-28,351.134,351.588,349.307,350.786,729315.0
2019-12-29,351.134,351.588,349.307,350.786,729315.0
2019-12-30,350.83,350.929,348.35,349.271,776966.0
2019-12-31,349.137,349.342,344.966,347.025,775368.0
2020-01-01,349.137,349.342,344.966,347.025,775368.0
2020-01-02,350.126,355.928,348.424,355.928,1149985.0
2020-01-03,360.072,371.792,359.163,368.735,2990531.0
2020-01-04,360.072,371.792,359.163,368.735,2990531.0
2020-01-05,360.072,371.792,359.163,368.735,2990531.0
2020-01-06,372.523,372.523,363.343,368.174,2478943.0
2020-01-07,366.516,370.856,363.878,369.413,1081521.0
2020-01-08,371.694,372.692,365.152,366.32,1709701.0
2020-01-09,365.839,370.749,365.402,369.796,1064337.0
2020-01-10,369.858,370.393,367.612,368.815,987835.0
2020-01-11,369.858,370.393,367.612,368.815,987835.0
2020-01-12,369.858,370.393,367.612,368.815,987835.0
2020-01-13,369.805,375.17,369.555,373.441,986889.0
2020-01-14,372.166,372.772,369.918,370.874,967466.0
2020-01-15,371.124,375.633,370.874,375.161,833271.0
2020-01-16,377.104,379.43,374.911,379.394,1085567.0
2020-01-17,380.205,381.034,378.325,379.359,1195646.0
2020-01-18,380.205,381.034,378.325,379.359,1195646.0
2020-01-19,380.205,381.034,378.325,379.359,1195646.0
2020-01-20,380.205,381.034,378.325,379.359,1195646.0
2020-01-21,378.253,381.248,376.997,379.795,1071421.0
2020-01-22,380.998,381.888,378.2,378.253,919041.0
2020-01-23,377.933,382.834,377.879,382.139,978485.0
2020-01-24,383.137,386.365,382.95,385.455,1087074.0
2020-01-25,383.137,386.365,382.95,385.455,1087074.0
2020-01-26,383.137,386.365,382.95,385.455,1087074.0
2020-01-27,379.537,387.192,379.537,385.348,1737869.0
2020-01-28,387.478,391.239,379.902,389.617,2063247.0
2020-01-29,390.107,390.347,384.136,386.649,1268927.0
2020-01-30,383.533,389.465,383.53,388.485,1210345.0
2020-01-31,387.62,388.191,379.751,381.551,1650244.0
2020-02-01,387.62,388.191,379.751,381.551,1650244.0
2020-02-02,387.62,388.191,379.751,381.551,1650244.0
2020-02-03,382.799,383.227,376.132,377.754,1795998.0
2020-02-04,379.18,385.0,379.18,383.922,1216258.0
2020-02-05,386.185,388.503,382.353,387.852,1251783.0
2020-02-06,388.182,392.014,387.605,391.221,833514.0
2020-02-07,390.481,393.217,389.724,391.399,883793.0
2020-02-08,390.481,393.217,389.724,391.399,883793.0
2020-02-09,390.481,393.217,389.724,391.399,883793.0
2020-02-10,391.248,393.493,390.196,391.925,870420.0
2020-02-11,393.351,394.396,389.884,392.005,744852.0
2020-02-12,391.256,391.862,387.326,389.109,1419473.0
2020-02-13,388.396,391.506,387.059,387.415,800252.0
2020-02-14,387.665,390.775,387.068,390.223,948768.0
2020-02-15,387.665,390.775,387.068,390.223,948768.0
2020-02-16,387.665,390.775,387.068,390.223,948768.0
2020-02-17,387.665,390.775,387.068,390.223,948768.0
2020-02-18,389.465,391.203,386.8,388.173,776502.0
2020-02-19,389.465,390.597,387.148,387.219,787230.0
2020-02-20,386.462,387.674,378.018,379.635,1190564.0
2020-02-21,378.877,382.086,376.685,381.266,1055800.0
2020-02-22,378.877,382.086,376.685,381.266,1055800.0
2020-02-23,378.877,382.086,376.685,381.266,1055800.0
2020-02-24,374.002,378.057,372.621,373.735,1117774.0
2020-02-25,374.403,375.856,354.288,356.811,1600075.0
2020-02-26,356.766,365.865,355.902,357.292,1678581.0
2020-02-27,350.715,355.607,342.524,342.765,1894460.0
2020-02-28,331.698,335.249,323.16,331.707,3364321.0
2020-02-29,331.698,335.249,323.16,331.707,3364321.0
2020-03-01,331.698,335.249,323.16,331.707,3364321.0
2020-03-02,333.034,343.572,323.367,342.003,2859878.0
2020-03-03,345.132,355.948,337.734,338.46,2531514.0
2020-03-04,345.653,361.383,343.648,360.549,2025808.0
2020-03-05,353.276,356.8,342.783,345.007,1967451.0
2020-03-06,333.698,345.231,330.445,343.007,2161008.0
2020-03-07,333.698,345.231,330.445,343.007,2161008.0
2020-03-08,333.698,345.231,330.445,343.007,2161008.0
2020-03-09,322.837,331.348,315.026,315.708,3086724.0
2020-03-10,325.555,329.734,314.425,329.286,2505975.0
2020-03-11,319.779,328.138,313.699,320.102,1951466.0
2020-03-12,288.776,304.399,278.086,279.252,3892633.0
2020-03-13,293.556,295.197,271.826,294.686,3877770.0
2020-03-14,293.556,295.197,271.826,294.686,3877770.0
2020-03-15,293.556,295.197,271.826,294.686,3877770.0
2020-03-16,264.571,279.415,255.594,258.231,2351530.0
2020-03-17,262.768,286.507,257.522,285.933,2626228.0
2020-03-18,266.284,304.228,265.495,299.009,3589404.0
2020-03-19,299.009,299.628,279.095,281.781,2836722.0
2020-03-20,281.781,283.252,258.473,261.172,3040087.0
2020-03-21,281.781,283.252,258.473,261.172,3040087.0
2020-03-22,281.781,283.252,258.473,261.172,3040087.0
2020-03-23,255.594,257.441,238.653,248.24,3172086.0
2020-03-24,258.257,264.553,251.326,259.1,3088354.0
2020-03-25,269.602,295.789,263.315,286.687,2950520.0
2020-03-26,292.364,315.771,290.58,314.183,2681161.0
2020-03-27,304.91,327.42,300.444,312.434,3562975.0
2020-03-28,304.91,327.42,300.444,312.434,3562975.0
2020-03-29,304.91,327.42,300.444,312.434,3562975.0
2020-03-30,315.223,319.699,306.963,312.856,1756317.0
2020-03-31,309.233,311.123,301.547,303.977,2169674.0
2020-04-01,291.314,305.807,288.785,303.592,2082566.0
2020-04-02,300.659,317.474,300.027,317.439,1896286.0
2020-04-03,315.681,319.125,313.537,314.336,2113228.0
2020-04-04,315.681,319.125,313.537,314.336,2113228.0
2020-04-05,315.681,319.125,313.537,314.336,2113228.0
2020-04-06,324.568,331.779,324.568,329.985,2525354.0
2020-04-07,341.24,342.496,317.519,318.622,2101620.0
2020-04-08,324.084,334.2,321.591,324.12,1447756.0
2020-04-09,331.59,337.496,326.012,332.72,1629395.0
2020-04-10,331.59,337.496,326.012,332.72,1629395.0
2020-04-11,331.59,337.496,326.012,332.72,1629395.0
2020-04-12,331.59,337.496,326.012,332.72,1629395.0
2020-04-13,332.676,335.402,327.976,331.77,1237455.0
2020-04-14,339.258,346.693,335.905,340.819,1653386.0
2020-04-15,337.877,337.877,329.456,335.752,1251454.0
2020-04-16,335.061,341.953,334.066,338.891,1568405.0
2020-04-17,347.446,360.925,345.123,360.082,1768381.0
2020-04-18,347.446,360.925,345.123,360.082,1768381.0
2020-04-19,347.446,360.925,345.123,360.082,1768381.0
2020-04-20,353.419,358.7,343.671,343.671,1487184.0
2020-04-21,343.491,352.038,332.729,334.909,2041994.0
2020-04-22,343.922,344.325,336.602,341.151,1188744.0
2020-04-23,343.258,345.157,337.37,337.859,1164387.0
2020-04-24,339.644,344.43,334.496,342.379,1029269.0
2020-04-25,339.644,344.43,334.496,342.379,1029269.0
2020-04-26,339.644,344.43,334.496,342.379,1029269.0
2020-04-27,344.298,344.415,338.998,339.509,1457366.0
2020-04-28,342.46,347.814,341.168,345.034,1314033.0
