,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity
2019-05-16,85.413,86.506,84.892,85.17,3337884.0
2019-05-17,84.482,85.424,84.024,84.363,2587007.0
2019-05-18,84.482,85.424,84.024,84.363,2587007.0
2019-05-19,84.482,85.424,84.024,84.363,2587007.0
2019-05-20,83.684,83.888,83.073,83.616,2088488.0
2019-05-21,84.321,84.66,83.633,84.372,1762095.0
2019-05-22,83.786,83.871,82.7,82.751,2580723.0
2019-05-23,82.259,82.326,80.756,81.622,3112059.0
2019-05-24,81.826,82.174,80.913,81.35,2401666.0
2019-05-25,81.826,82.174,80.913,81.35,2401666.0
2019-05-26,81.826,82.174,80.913,81.35,2401666.0
2019-05-27,81.826,82.174,80.913,81.35,2401666.0
2019-05-28,81.376,81.435,79.84,79.84,3357610.0
2019-05-29,79.746,80.731,78.965,80.434,3388352.0
2019-05-30,80.968,81.588,80.646,81.266,2518894.0
2019-05-31,80.103,80.629,78.634,78.864,4192501.0
2019-06-01,80.103,80.629,78.634,78.864,4192501.0
2019-06-02,80.103,80.629,78.634,78.864,4192501.0
2019-06-03,78.796,80.688,78.787,79.891,4971801.0
2019-06-04,81.036,82.904,80.366,82.887,5096030.0
2019-06-05,83.455,83.727,82.819,83.353,2767067.0
2019-06-06,83.362,83.557,82.691,83.175,2643239.0
2019-06-07,83.761,83.973,83.218,83.37,2803257.0
2019-06-08,83.761,83.973,83.218,83.37,2803257.0
2019-06-09,83.761,83.973,83.218,83.37,2803257.0
2019-06-10,84.151,85.238,83.953,84.949,3327342.0
2019-06-11,85.713,86.01,84.75,84.881,3229580.0
2019-06-12,84.516,85.238,84.334,85.212,2261675.0
2019-06-13,85.721,86.816,85.687,86.587,2943200.0
2019-06-14,86.443,86.477,85.424,86.248,1829527.0
2019-06-15,86.443,86.477,85.424,86.248,1829527.0
2019-06-16,86.443,86.477,85.424,86.248,1829527.0
2019-06-17,86.273,86.511,85.696,86.061,2317903.0
2019-06-18,86.477,87.92,86.265,86.697,2524238.0
2019-06-19,86.791,87.013,85.696,86.197,2056593.0
2019-06-20,87.207,88.0,86.918,87.758,2622920.0
2019-06-21,87.767,87.962,86.689,86.714,5283119.0
2019-06-22,87.767,87.962,86.689,86.714,5283119.0
2019-06-23,87.767,87.962,86.689,86.714,5283119.0
2019-06-24,86.273,86.562,84.584,84.635,3704662.0
2019-06-25,84.635,84.635,82.318,82.437,5339355.0
2019-06-26,82.844,85.195,82.445,84.847,4623977.0
2019-06-27,85.161,86.646,85.017,86.315,2613555.0
2019-06-28,86.774,87.818,86.774,87.648,3130360.0
2019-06-29,86.774,87.818,86.774,87.648,3130360.0
2019-06-30,86.774,87.818,86.774,87.648,3130360.0
2019-07-01,88.76,89.218,86.893,87.393,2630394.0
2019-07-02,87.529,87.529,85.989,86.57,2020215.0
2019-07-03,86.757,87.597,86.451,87.589,1193338.0
2019-07-04,86.757,87.597,86.451,87.589,1193338.0
2019-07-05,87.241,87.241,85.934,86.927,1572035.0
2019-07-06,87.241,87.241,85.934,86.927,1572035.0
2019-07-07,87.241,87.241,85.934,86.927,1572035.0
2019-07-08,86.324,87.147,86.324,86.502,1675413.0
2019-07-09,86.256,86.366,85.857,86.341,1952391.0
2019-07-10,86.935,86.952,85.942,86.248,1992390.0
2019-07-11,86.265,87.75,86.112,87.699,1819966.0
2019-07-12,88.013,90.143,88.013,89.889,3541254.0
2019-07-13,88.013,90.143,88.013,89.889,3541254.0
2019-07-14,88.013,90.143,88.013,89.889,3541254.0
2019-07-15,89.727,90.177,88.734,89.787,2288208.0
2019-07-16,90.177,91.264,89.592,89.634,2958355.0
2019-07-17,89.184,89.184,86.642,86.765,3672351.0
2019-07-18,86.494,87.385,86.416,87.249,2359035.0
2019-07-19,87.597,88.971,87.555,87.682,3011846.0
2019-07-20,87.597,88.971,87.555,87.682,3011846.0
2019-07-21,87.597,88.971,87.555,87.682,3011846.0
2019-07-22,88.191,88.658,87.962,88.276,2495483.0
2019-07-23,88.675,89.379,88.276,89.345,3362331.0
2019-07-24,93.419,97.646,93.029,97.086,12086009.0
2019-07-25,97.858,100.396,97.502,100.362,8941646.0
2019-07-26,99.708,102.95,99.674,102.339,8526543.0
2019-07-27,99.708,102.95,99.674,102.339,8526543.0
2019-07-28,99.708,102.95,99.674,102.339,8526543.0
2019-07-29,101.321,101.677,100.235,100.786,4171063.0
2019-07-30,99.878,102.338,99.437,101.686,3265877.0
2019-07-31,101.55,102.866,100.307,101.397,4859498.0
2019-08-01,100.888,102.501,98.936,99.284,5106866.0
2019-08-02,99.004,100.226,98.707,99.471,3669333.0
2019-08-03,99.004,100.226,98.707,99.471,3669333.0
2019-08-04,99.004,100.226,98.707,99.471,3669333.0
2019-08-05,98.011,98.213,96.441,97.476,4332869.0
2019-08-06,98.121,98.393,96.407,97.603,4875246.0
2019-08-07,96.449,98.079,95.244,97.951,3529419.0
2019-08-08,98.911,99.978,98.664,99.768,2349065.0
2019-08-09,99.513,99.674,97.977,98.24,2113845.0
2019-08-10,99.513,99.674,97.977,98.24,2113845.0
2019-08-11,99.513,99.674,97.977,98.24,2113845.0
2019-08-12,97.714,98.401,97.145,97.51,1723988.0
2019-08-13,97.094,100.09,96.967,98.308,2817409.0
2019-08-14,97.4,97.901,96.67,96.789,3775794.0
2019-08-15,97.349,97.459,95.66,96.67,3697978.0
2019-08-16,97.492,98.801,97.492,98.69,2723321.0
2019-08-17,97.492,98.801,97.492,98.69,2723321.0
2019-08-18,97.492,98.801,97.492,98.69,2723321.0
2019-08-19,99.871,100.573,99.512,99.965,2382803.0
2019-08-20,99.503,99.7,98.399,98.467,2600100.0
2019-08-21,99.563,99.803,98.698,99.229,1906901.0
2019-08-22,99.58,100.094,97.671,98.621,3004990.0
2019-08-23,97.86,98.134,94.59,95.249,4375816.0
2019-08-24,97.86,98.134,94.59,95.249,4375816.0
2019-08-25,97.86,98.134,94.59,95.249,4375816.0
2019-08-26,96.755,98.219,96.327,97.885,3215766.0
2019-08-27,98.151,98.433,97.115,97.688,2884007.0
2019-08-28,97.466,99.965,97.012,99.571,2610901.0
2019-08-29,100.838,102.293,100.436,101.318,2709158.0
2019-08-30,102.362,102.584,101.463,101.566,2209765.0
2019-08-31,102.362,102.584,101.463,101.566,2209765.0
2019-09-01,102.362,102.584,101.463,101.566,2209765.0
2019-09-02,102.362,102.584,101.463,101.566,2209765.0
2019-09-03,100.71,101.326,99.452,100.427,1981984.0
2019-09-04,101.489,102.661,101.378,102.259,2732909.0
2019-09-05,102.815,104.887,102.713,103.74,2854851.0
2019-09-06,104.014,104.331,102.507,102.781,2116511.0
2019-09-07,104.014,104.331,102.507,102.781,2116511.0
2019-09-08,104.014,104.331,102.507,102.781,2116511.0
2019-09-09,103.569,104.587,102.949,104.134,2882349.0
2019-09-10,103.74,104.827,103.372,104.767,3070254.0
2019-09-11,104.793,105.195,103.748,105.152,2437020.0
2019-09-12,105.127,105.82,104.27,104.904,2224434.0
2019-09-13,105.443,105.666,104.707,104.998,3107251.0
2019-09-14,105.443,105.666,104.707,104.998,3107251.0
2019-09-15,105.443,105.666,104.707,104.998,3107251.0
2019-09-16,104.476,105.246,103.911,104.913,2294435.0
2019-09-17,104.185,104.87,103.62,104.758,2039946.0
2019-09-18,101.96,103.826,101.617,103.603,4118343.0
2019-09-19,103.235,103.363,101.771,101.96,3750480.0
2019-09-20,102.567,103.5,102.088,103.312,5324031.0
2019-09-21,102.567,103.5,102.088,103.312,5324031.0
2019-09-22,102.567,103.5,102.088,103.312,5324031.0
2019-09-23,102.542,103.475,101.78,101.9,3073064.0
2019-09-24,102.045,102.687,100.513,100.992,3220319.0
2019-09-25,101.198,102.627,100.958,101.9,3203717.0
2019-09-26,101.857,101.857,100.71,101.386,2011239.0
2019-09-27,101.857,102.285,101.283,101.814,2455967.0
2019-09-28,101.857,102.285,101.283,101.814,2455967.0
2019-09-29,101.857,102.285,101.283,101.814,2455967.0
2019-09-30,102.122,102.713,101.852,102.559,2775274.0
2019-10-01,102.927,103.312,98.3,99.126,4320220.0
2019-10-02,98.339,99.272,97.869,98.639,3933819.0
2019-10-03,98.775,99.691,97.586,99.203,3072413.0
2019-10-04,99.409,100.659,99.229,100.564,2333951.0
2019-10-05,99.409,100.659,99.229,100.564,2333951.0
2019-10-06,99.409,100.659,99.229,100.564,2333951.0
2019-10-07,99.888,100.171,98.801,98.921,2878107.0
2019-10-08,97.928,97.928,96.242,96.499,3475181.0
2019-10-09,97.577,98.005,96.853,97.457,2555744.0
2019-10-10,97.611,98.801,97.423,98.673,2241043.0
2019-10-11,100.042,100.984,99.195,99.306,3092292.0
2019-10-12,100.042,100.984,99.195,99.306,3092292.0
2019-10-13,100.042,100.984,99.195,99.306,3092292.0
2019-10-14,99.238,99.863,98.87,99.178,1963531.0
2019-10-15,99.366,101.134,99.144,99.7,2645062.0
2019-10-16,99.417,100.607,99.417,100.573,2260764.0
2019-10-17,100.838,101.788,100.718,101.335,2224177.0
2019-10-18,101.378,101.549,100.171,100.445,2720603.0
2019-10-19,101.378,101.549,100.171,100.445,2720603.0
2019-10-20,101.378,101.549,100.171,100.445,2720603.0
2019-10-21,100.744,102.071,100.659,101.446,3296103.0
2019-10-22,99.144,99.768,95.677,99.375,8329915.0
2019-10-23,98.775,99.349,98.142,98.561,3672432.0
2019-10-24,98.262,98.861,97.081,97.586,2978927.0
2019-10-25,97.577,99.263,97.466,99.049,2704425.0
2019-10-26,97.577,99.263,97.466,99.049,2704425.0
2019-10-27,97.577,99.263,97.466,99.049,2704425.0
2019-10-28,99.358,100.385,99.272,99.503,1730378.0
2019-10-29,99.837,100.693,99.542,100.068,2867265.0
2019-10-30,100.034,100.145,98.502,100.042,2417329.0
2019-10-31,99.323,100.042,98.014,98.579,2954249.0
2019-11-01,99.683,102.353,99.383,102.293,4171865.0
2019-11-02,99.683,102.353,99.383,102.293,4171865.0
2019-11-03,99.683,102.353,99.383,102.293,4171865.0
2019-11-04,102.713,105.366,102.713,105.298,4230707.0
2019-11-05,105.555,105.948,103.804,103.903,3117848.0
2019-11-06,103.894,104.382,103.346,104.382,2820159.0
2019-11-07,104.724,106.701,104.442,105.7,3156161.0
2019-11-08,105.726,107.258,105.717,106.393,2310718.0
2019-11-09,105.726,107.258,105.717,106.393,2310718.0
2019-11-10,105.726,107.258,105.717,106.393,2310718.0
2019-11-11,105.632,105.931,105.058,105.4,1320128.0
2019-11-12,105.281,105.858,104.955,105.289,1555803.0
2019-11-13,104.955,105.674,104.45,105.298,1614999.0
2019-11-14,105.058,106.333,105.058,106.205,1581039.0
2019-11-15,106.567,106.981,106.145,106.731,1891025.0
2019-11-16,106.567,106.981,106.145,106.731,1891025.0
2019-11-17,106.567,106.981,106.145,106.731,1891025.0
2019-11-18,106.559,106.748,105.718,105.903,1772957.0
2019-11-19,106.498,106.567,103.712,103.979,3642672.0
2019-11-20,103.686,103.79,102.504,102.66,2904758.0
2019-11-21,102.47,103.264,102.392,103.1,1994742.0
2019-11-22,103.479,104.471,102.703,102.927,2597920.0
2019-11-23,103.479,104.471,102.703,102.927,2597920.0
2019-11-24,103.479,104.471,102.703,102.927,2597920.0
2019-11-25,103.376,103.859,102.867,103.772,2460594.0
2019-11-26,103.833,104.963,103.436,104.549,2873001.0
2019-11-27,104.756,104.98,103.298,103.402,1863583.0
2019-11-28,104.756,104.98,103.298,103.402,1863583.0
2019-11-29,103.531,103.729,103.186,103.281,1372003.0
2019-11-30,103.531,103.729,103.186,103.281,1372003.0
2019-12-01,103.531,103.729,103.186,103.281,1372003.0
2019-12-02,103.591,104.083,101.918,101.978,2438415.0
2019-12-03,100.779,101.267,99.822,100.865,2139916.0
2019-12-04,101.116,101.987,100.391,100.469,2202228.0
2019-12-05,100.132,100.408,98.554,99.209,4889444.0
2019-12-06,100.063,101.659,100.063,101.383,2762734.0
2019-12-07,100.063,101.659,100.063,101.383,2762734.0
2019-12-08,100.063,101.659,100.063,101.383,2762734.0
2019-12-09,100.926,102.095,100.546,101.909,1991507.0
2019-12-10,101.901,102.97,101.629,102.254,2439059.0
2019-12-11,102.254,102.254,100.719,100.745,3355670.0
2019-12-12,99.356,101.4,99.011,100.883,4321845.0
2019-12-13,101.814,103.195,101.616,102.323,2968129.0
2019-12-14,101.814,103.195,101.616,102.323,2968129.0
2019-12-15,101.814,103.195,101.616,102.323,2968129.0
2019-12-16,102.755,103.453,102.427,102.755,2978264.0
2019-12-17,103.54,104.652,103.121,103.764,2805532.0
2019-12-18,102.254,102.435,100.969,101.745,4957697.0
2019-12-19,102.099,103.134,102.021,102.272,3200950.0
2019-12-20,103.419,103.419,101.21,101.271,6945432.0
2019-12-21,103.419,103.419,101.21,101.271,6945432.0
2019-12-22,103.419,103.419,101.21,101.271,6945432.0
2019-12-23,101.987,103.013,101.409,102.599,2048264.0
2019-12-24,101.297,102.099,101.219,102.073,872025.0
2019-12-25,101.297,102.099,101.219,102.073,872025.0
2019-12-26,102.729,102.849,102.306,102.686,1274586.0
2019-12-27,103.039,103.074,102.28,102.599,1419599.0
2019-12-28,103.039,103.074,102.28,102.599,1419599.0
2019-12-29,103.039,103.074,102.28,102.599,1419599.0
2019-12-30,102.841,102.841,100.279,100.443,2430918.0
2019-12-31,100.098,101.003,99.693,100.978,2877107.0
2020-01-01,100.098,101.003,99.693,100.978,2877107.0
2020-01-02,101.512,101.759,99.399,100.745,4112522.0
2020-01-03,99.175,100.805,99.063,100.684,2477904.0
2020-01-04,99.175,100.805,99.063,100.684,2477904.0
2020-01-05,99.175,100.805,99.063,100.684,2477904.0
2020-01-06,99.589,100.262,98.657,100.236,3383123.0
2020-01-07,99.942,100.443,99.261,100.063,1978789.0
2020-01-08,99.528,101.409,99.477,100.633,2015982.0
2020-01-09,100.952,101.642,100.391,100.865,2151511.0
2020-01-10,100.986,100.986,99.718,99.951,2545165.0
2020-01-11,100.986,100.986,99.718,99.951,2545165.0
2020-01-12,100.986,100.986,99.718,99.951,2545165.0
2020-01-13,100.167,101.116,99.977,100.71,1826285.0
2020-01-14,100.71,101.944,100.658,101.159,2598804.0
2020-01-15,101.366,102.392,101.159,101.728,3168371.0
2020-01-16,102.228,102.746,101.875,102.315,2426958.0
2020-01-17,102.427,102.858,101.935,102.306,3403414.0
2020-01-18,102.427,102.858,101.935,102.306,3403414.0
2020-01-19,102.427,102.858,101.935,102.306,3403414.0
2020-01-20,102.427,102.858,101.935,102.306,3403414.0
2020-01-21,101.97,102.254,100.71,101.262,2960666.0
2020-01-22,101.607,102.858,101.124,101.15,2425268.0
2020-01-23,100.952,101.029,99.675,100.865,2493730.0
2020-01-24,100.96,101.021,99.999,100.633,2015558.0
2020-01-25,100.96,101.021,99.999,100.633,2015558.0
2020-01-26,100.96,101.021,99.999,100.633,2015558.0
2020-01-27,99.157,99.589,97.777,99.132,2904122.0
2020-01-28,99.589,100.37,98.718,99.52,2039557.0
2020-01-29,99.856,100.917,99.485,99.856,2846008.0
2020-01-30,96.837,97.536,92.593,93.162,9473040.0
2020-01-31,93.024,93.076,88.927,89.298,7234280.0
2020-02-01,93.024,93.076,88.927,89.298,7234280.0
2020-02-02,93.024,93.076,88.927,89.298,7234280.0
2020-02-03,89.85,90.126,87.693,88.012,5627414.0
2020-02-04,89.143,89.591,88.521,89.177,4858732.0
2020-02-05,90.255,91.946,90.005,91.472,4439895.0
2020-02-06,91.955,92.981,91.006,91.877,3861834.0
2020-02-07,91.48,91.756,88.849,88.953,5754415.0
2020-02-08,91.48,91.756,88.849,88.953,5754415.0
2020-02-09,91.48,91.756,88.849,88.953,5754415.0
2020-02-10,89.194,89.496,87.667,88.91,4669449.0
2020-02-11,89.212,90.963,89.039,90.462,2806283.0
2020-02-12,91.239,92.101,90.997,91.04,2493334.0
2020-02-13,90.566,91.549,90.031,90.781,2768258.0
2020-02-14,90.566,91.601,90.294,91.394,2694596.0
2020-02-15,90.566,91.601,90.294,91.394,2694596.0
2020-02-16,90.566,91.601,90.294,91.394,2694596.0
2020-02-17,90.566,91.601,90.294,91.394,2694596.0
2020-02-18,91.394,92.231,91.178,91.799,3373257.0
2020-02-19,92.282,92.282,91.394,92.093,2663498.0
2020-02-20,91.851,92.822,91.394,91.851,3171286.0
2020-02-21,91.109,91.204,88.634,88.797,6036966.0
2020-02-22,91.109,91.204,88.634,88.797,6036966.0
2020-02-23,91.109,91.204,88.634,88.797,6036966.0
2020-02-24,86.907,87.238,85.043,85.801,7300597.0
2020-02-25,86.306,86.437,81.21,81.802,7609140.0
2020-02-26,82.83,83.1,81.175,81.654,7413350.0
2020-02-27,79.72,81.142,78.309,78.614,9143756.0
2020-02-28,77.211,79.581,76.375,78.831,11517377.0
2020-02-29,77.211,79.581,76.375,78.831,11517377.0
2020-03-01,77.211,79.581,76.375,78.831,11517377.0
2020-03-02,80.19,81.136,77.89,80.8,8738757.0
2020-03-03,82.638,83.631,78.902,79.537,9263420.0
2020-03-04,80.399,83.527,79.65,83.475,6644750.0
2020-03-05,80.826,82.107,80.095,81.009,5277204.0
2020-03-06,78.64,82.307,78.526,81.889,5598425.0
2020-03-07,78.64,82.307,78.526,81.889,5598425.0
2020-03-08,78.64,82.307,78.526,81.889,5598425.0
2020-03-09,77.045,80.147,75.878,75.948,8648254.0
2020-03-10,78.823,80.974,75.957,80.861,8914206.0
2020-03-11,78.248,79.424,76.061,76.653,5558986.0
2020-03-12,71.627,80.53,71.435,75.068,9412805.0
2020-03-13,79.276,82.412,76.235,82.089,10918893.0
2020-03-14,79.276,82.412,76.235,82.089,10918893.0
2020-03-15,79.276,82.412,76.235,82.089,10918893.0
2020-03-16,74.798,82.072,74.484,75.843,9006342.0
2020-03-17,77.577,84.686,76.479,84.32,10476122.0
2020-03-18,79.276,88.728,78.676,86.471,11152106.0
2020-03-19,85.957,90.426,83.161,83.849,7690326.0
2020-03-20,83.762,85.139,79.197,81.419,7355325.0
2020-03-21,83.762,85.139,79.197,81.419,7355325.0
2020-03-22,83.762,85.139,79.197,81.419,7355325.0
2020-03-23,82.046,83.745,78.622,80.06,7117792.0
2020-03-24,81.828,84.233,80.286,82.987,6067105.0
2020-03-25,83.309,85.191,79.319,82.325,5682206.0
2020-03-26,82.325,87.142,81.48,86.924,6374335.0
2020-03-27,83.283,86.724,82.76,84.956,4671051.0
2020-03-28,83.283,86.724,82.76,84.956,4671051.0
2020-03-29,83.283,86.724,82.76,84.956,4671051.0
2020-03-30,85.487,86.079,83.553,85.234,3994224.0
2020-03-31,84.424,84.773,81.157,81.384,5396135.0
2020-04-01,79.197,80.913,77.603,78.744,5762759.0
2020-04-02,78.195,81.506,76.967,81.053,4039893.0
2020-04-03,80.295,81.366,77.377,78.404,4471903.0
2020-04-04,80.295,81.366,77.377,78.404,4471903.0
2020-04-05,80.295,81.366,77.377,78.404,4471903.0
2020-04-06,81.201,84.05,80.513,83.353,5642748.0
2020-04-07,83.849,84.895,80.748,80.94,5113935.0
2020-04-08,84.503,86.681,81.68,86.062,6628400.0
2020-04-09,85.879,87.142,83.736,85.975,5588675.0
2020-04-10,85.879,87.142,83.736,85.975,5588675.0
2020-04-11,85.879,87.142,83.736,85.975,5588675.0
2020-04-12,85.879,87.142,83.736,85.975,5588675.0
2020-04-13,85.879,87.334,85.539,85.74,3355104.0
2020-04-14,87.604,88.71,86.733,88.336,4093098.0
2020-04-15,87.064,87.099,85.321,87.046,3721177.0
2020-04-16,87.273,89.285,86.763,89.05,4303365.0
2020-04-17,88.998,90.383,86.968,89.512,5850281.0
2020-04-18,88.998,90.383,86.968,89.512,5850281.0
2020-04-19,88.998,90.383,86.968,89.512,5850281.0
2020-04-20,88.632,89.73,88.031,88.161,4359727.0
2020-04-21,87.43,88.954,87.334,87.656,3793940.0
2020-04-22,88.423,88.658,84.834,85.034,5105168.0
