,AL US Equity,AL US Equity,AL US Equity,AL US Equity,AL US Equity
2019-03-16,31.3833,31.3833,30.6095,30.6231,1927019.0
2019-03-17,31.3833,31.3833,30.6095,30.6231,1927019.0
2019-03-18,30.7407,31.0213,30.605,30.8584,1082769.0
2019-03-19,31.0764,31.2944,30.5404,30.5586,741823.0
2019-03-20,30.4405,30.6313,29.7955,30.0772,1293453.0
2019-03-21,29.9772,31.031,29.841,30.8856,1187584.0
2019-03-22,30.5859,30.5859,29.0498,29.6865,2427960.0
2019-03-23,30.5859,30.5859,29.0498,29.6865,2427960.0
2019-03-24,30.5859,30.5859,29.0498,29.6865,2427960.0
2019-03-25,29.6775,30.2588,29.4413,30.059,1250343.0
2019-03-26,30.4314,30.8584,30.1135,30.386,1032593.0
2019-03-27,30.3497,30.7585,30.0408,30.4133,737900.0
2019-03-28,30.4133,30.9129,30.4133,30.9038,942186.0
2019-03-29,31.1854,31.4983,31.0037,31.2036,574730.0
2019-03-30,31.1854,31.4983,31.0037,31.2036,574730.0
2019-03-31,31.1854,31.4983,31.0037,31.2036,574730.0
2019-04-01,31.5033,32.3572,31.467,32.1756,970150.0
2019-04-02,32.1937,32.3391,31.903,32.2846,692183.0
2019-04-03,32.5753,33.2021,32.3027,32.5026,665357.0
2019-04-04,32.4572,33.4473,32.4572,33.2475,1313524.0
2019-04-05,33.4382,33.629,33.2293,33.4655,820345.0
2019-04-06,33.4382,33.629,33.2293,33.4655,820345.0
2019-04-07,33.4382,33.629,33.2293,33.4655,820345.0
2019-04-08,33.4655,33.5836,33.0289,33.2475,840271.0
2019-04-09,33.0567,33.0567,32.2346,32.3391,733838.0
2019-04-10,32.33,33.1748,32.33,32.9659,787850.0
2019-04-11,33.0022,33.6381,33.0022,33.6108,638776.0
2019-04-12,33.9288,34.3739,33.8652,34.2467,711725.0
2019-04-13,33.9288,34.3739,33.8652,34.2467,711725.0
2019-04-14,33.9288,34.3739,33.8652,34.2467,711725.0
2019-04-15,34.3376,34.4738,33.9288,34.0378,524912.0
2019-04-16,34.0559,34.4466,33.9015,34.1831,732683.0
2019-04-17,34.3466,34.819,34.2377,34.5192,997760.0
2019-04-18,34.8008,34.8644,34.1196,34.3376,709428.0
2019-04-19,34.8008,34.8644,34.1196,34.3376,709428.0
2019-04-20,34.8008,34.8644,34.1196,34.3376,709428.0
2019-04-21,34.8008,34.8644,34.1196,34.3376,709428.0
2019-04-22,34.2104,34.383,33.7562,33.8924,451268.0
2019-04-23,34.0014,34.6555,34.0014,34.5192,562280.0
2019-04-24,34.4556,34.9734,34.4556,34.7827,735901.0
2019-04-25,34.7827,34.7999,34.2195,34.4647,885346.0
2019-04-26,34.3376,34.7554,34.283,34.7282,885465.0
2019-04-27,34.3376,34.7554,34.283,34.7282,885465.0
2019-04-28,34.3376,34.7554,34.283,34.7282,885465.0
2019-04-29,34.7918,35.3095,34.7463,34.9008,699201.0
2019-04-30,34.8372,35.0915,34.7009,35.0279,1306223.0
2019-05-01,35.0915,36.1907,35.087,35.3368,1122328.0
2019-05-02,35.3822,35.9363,35.0189,35.3005,1163451.0
2019-05-03,35.3913,35.959,35.2514,35.9545,742467.0
2019-05-04,35.3913,35.959,35.2514,35.9545,742467.0
2019-05-05,35.3913,35.959,35.2514,35.9545,742467.0
2019-05-06,34.9825,35.8182,34.8826,35.7728,875550.0
2019-05-07,35.255,35.3822,34.5011,34.9189,968370.0
2019-05-08,34.8553,35.255,34.6282,34.8281,724837.0
2019-05-09,34.5192,34.7282,33.738,34.6464,1091323.0
2019-05-10,35.0007,35.8364,34.1922,35.3368,1507264.0
2019-05-11,35.0007,35.8364,34.1922,35.3368,1507264.0
2019-05-12,35.0007,35.8364,34.1922,35.3368,1507264.0
2019-05-13,34.3012,34.5101,33.8924,34.3012,1039043.0
2019-05-14,34.5101,35.3822,34.4375,35.0007,686278.0
2019-05-15,34.6282,35.2823,34.4375,34.8463,716769.0
2019-05-16,34.9462,35.3913,34.5374,34.6646,1259490.0
2019-05-17,34.3012,34.5737,33.7925,34.174,1278650.0
2019-05-18,34.3012,34.5737,33.7925,34.174,1278650.0
2019-05-19,34.3012,34.5737,33.7925,34.174,1278650.0
2019-05-20,33.6926,34.2376,33.6699,33.8107,686179.0
2019-05-21,33.956,34.5919,33.8834,34.4011,713482.0
2019-05-22,34.4011,34.4057,33.8288,33.9924,848992.0
2019-05-23,33.5745,33.7108,32.8478,33.2021,809557.0
2019-05-24,33.4201,33.6199,33.3474,33.3928,771252.0
2019-05-25,33.4201,33.6199,33.3474,33.3928,771252.0
2019-05-26,33.4201,33.6199,33.3474,33.3928,771252.0
2019-05-27,33.4201,33.6199,33.3474,33.3928,771252.0
2019-05-28,33.5291,33.629,33.1748,33.3656,760133.0
2019-05-29,33.0749,33.5064,32.9568,33.3474,964015.0
2019-05-30,33.4564,33.9106,33.0749,33.3837,1031842.0
2019-05-31,32.8478,33.0452,32.439,32.7024,2795760.0
2019-06-01,32.8478,33.0452,32.439,32.7024,2795760.0
2019-06-02,32.8478,33.0452,32.439,32.7024,2795760.0
2019-06-03,32.7388,33.302,32.7297,33.0749,1748734.0
2019-06-04,33.5216,35.3266,33.4578,35.3266,1760424.0
2019-06-05,35.3722,35.4269,34.4879,34.9985,840494.0
2019-06-06,35.0896,35.1899,34.4515,35.1626,544758.0
2019-06-07,35.2264,35.5272,35.0349,35.1443,846491.0
2019-06-08,35.2264,35.5272,35.0349,35.1443,846491.0
2019-06-09,35.2264,35.5272,35.0349,35.1443,846491.0
2019-06-10,35.4269,36.2201,35.3863,36.138,629598.0
2019-06-11,36.3842,36.84,35.9056,36.0833,714010.0
2019-06-12,36.056,36.0742,35.3631,35.7095,639844.0
2019-06-13,35.8828,36.2292,35.8098,36.138,557143.0
2019-06-14,35.9922,35.9922,35.2537,35.4087,599306.0
2019-06-15,35.9922,35.9922,35.2537,35.4087,599306.0
2019-06-16,35.9922,35.9922,35.2537,35.4087,599306.0
2019-06-17,35.436,35.8189,35.0258,35.2537,512928.0
2019-06-18,35.5819,36.4886,35.2628,36.3386,771506.0
2019-06-19,36.3659,36.9904,36.3021,36.5756,600661.0
2019-06-20,37.1682,37.3505,36.4662,36.84,583715.0
2019-06-21,36.7306,37.1044,36.5072,36.7124,634886.0
2019-06-22,36.7306,37.1044,36.5072,36.7124,634886.0
2019-06-23,36.7306,37.1044,36.5072,36.7124,634886.0
2019-06-24,36.7671,36.9129,36.1198,36.1927,840031.0
2019-06-25,36.2201,36.3112,35.9283,36.0195,406884.0
2019-06-26,36.2474,36.9038,36.138,36.7306,474079.0
2019-06-27,36.8673,37.2131,36.8218,37.0406,364590.0
2019-06-28,37.1955,37.9522,37.1859,37.6878,1010431.0
2019-06-29,37.1955,37.9522,37.1859,37.6878,1010431.0
2019-06-30,37.1955,37.9522,37.1859,37.6878,1010431.0
2019-07-01,38.2895,38.8092,37.4873,37.6878,719501.0
2019-07-02,37.624,37.6878,37.17,37.4508,572933.0
2019-07-03,37.624,37.8155,37.232,37.4417,381812.0
2019-07-04,37.624,37.8155,37.232,37.4417,381812.0
2019-07-05,37.2867,37.7881,37.1955,37.7881,270640.0
2019-07-06,37.2867,37.7881,37.1955,37.7881,270640.0
2019-07-07,37.2867,37.7881,37.1955,37.7881,270640.0
2019-07-08,37.5876,37.7972,37.0953,37.1955,643160.0
2019-07-09,36.9585,37.5146,36.7944,37.4508,782473.0
2019-07-10,37.4782,37.7881,36.9038,36.9676,518143.0
2019-07-11,37.3323,37.8793,37.1682,37.8611,762162.0
2019-07-12,37.8884,38.2075,37.4508,38.0069,1148892.0
2019-07-13,37.8884,38.2075,37.4508,38.0069,1148892.0
2019-07-14,37.8884,38.2075,37.4508,38.0069,1148892.0
2019-07-15,37.9887,38.1801,37.6149,37.7881,1291106.0
2019-07-16,37.8428,38.7454,37.6468,38.3807,947411.0
2019-07-17,38.0981,38.2075,37.2685,37.2685,851381.0
2019-07-18,37.077,37.2776,36.6759,37.2502,1157470.0
2019-07-19,37.4417,37.8702,37.2776,37.3049,901516.0
2019-07-20,37.4417,37.8702,37.2776,37.3049,901516.0
2019-07-21,37.4417,37.8702,37.2776,37.3049,901516.0
2019-07-22,37.2685,37.4417,37.0953,37.3414,723667.0
2019-07-23,37.5876,38.1528,37.5602,38.1072,633787.0
2019-07-24,37.9249,38.9003,37.9249,38.8274,472193.0
2019-07-25,38.9186,38.9596,38.1437,38.2895,551883.0
2019-07-26,38.1892,38.4719,37.7608,38.4172,529371.0
2019-07-27,38.1892,38.4719,37.7608,38.4172,529371.0
2019-07-28,38.1892,38.4719,37.7608,38.4172,529371.0
2019-07-29,38.326,38.4354,37.3049,37.3505,993716.0
2019-07-30,37.1044,39.0462,36.8765,38.9642,999513.0
2019-07-31,38.9642,39.2377,38.0981,38.0981,866330.0
2019-08-01,37.9613,38.2622,36.5574,36.9494,828245.0
2019-08-02,36.6759,36.7762,35.4816,36.0104,920832.0
2019-08-03,36.6759,36.7762,35.4816,36.0104,920832.0
2019-08-04,36.6759,36.7762,35.4816,36.0104,920832.0
2019-08-05,35.2902,35.509,34.652,34.9711,1900645.0
2019-08-06,35.272,35.7187,34.6885,35.4269,577495.0
2019-08-07,34.6794,35.5044,34.3785,35.2811,923691.0
2019-08-08,35.509,36.6941,35.4816,36.6212,809093.0
2019-08-09,36.4115,36.9676,34.8344,36.5665,1117435.0
2019-08-10,36.4115,36.9676,34.8344,36.5665,1117435.0
2019-08-11,36.4115,36.9676,34.8344,36.5665,1117435.0
2019-08-12,36.3021,36.3021,35.5546,35.7642,549859.0
2019-08-13,35.9375,36.603,35.3266,35.5363,911188.0
2019-08-14,34.7797,34.9073,34.2144,34.57,825652.0
2019-08-15,34.7432,34.9438,34.2235,34.5973,710360.0
2019-08-16,34.9529,35.3631,34.7979,35.0896,735937.0
2019-08-17,34.9529,35.3631,34.7979,35.0896,735937.0
2019-08-18,34.9529,35.3631,34.7979,35.0896,735937.0
2019-08-19,35.6001,35.7187,35.4816,35.509,701451.0
2019-08-20,35.3358,35.6913,35.1079,35.6001,411392.0
2019-08-21,35.9922,36.1218,35.7004,35.7734,314537.0
2019-08-22,35.9557,36.2748,35.7642,36.1654,306433.0
2019-08-23,35.8554,36.2383,35.272,35.5546,993210.0
2019-08-24,35.8554,36.2383,35.272,35.5546,993210.0
2019-08-25,35.8554,36.2383,35.272,35.5546,993210.0
2019-08-26,35.9375,36.1563,35.6184,36.0924,679616.0
2019-08-27,36.3477,36.3477,35.117,35.3358,963793.0
2019-08-28,35.2628,36.6668,34.9802,36.4571,663159.0
2019-08-29,36.8582,37.8755,36.8582,37.4964,595476.0
2019-08-30,37.8519,37.9887,37.5602,37.8702,418981.0
2019-08-31,37.8519,37.9887,37.5602,37.8702,418981.0
2019-09-01,37.8519,37.9887,37.5602,37.8702,418981.0
2019-09-02,37.8519,37.9887,37.5602,37.8702,418981.0
2019-09-03,37.5602,37.5602,36.5847,37.1408,768905.0
2019-09-04,37.5876,37.8155,37.2867,37.7972,774153.0
2019-09-05,38.2804,38.8639,37.9997,38.6177,1204062.0
2019-09-06,38.5357,38.8365,38.0616,38.1801,668098.0
2019-09-07,38.5357,38.8365,38.0616,38.1801,668098.0
2019-09-08,38.5357,38.8365,38.0616,38.1801,668098.0
2019-09-09,38.3898,39.1738,38.3442,39.1191,791286.0
2019-09-10,39.1921,39.9852,38.8001,39.5385,1225675.0
2019-09-11,39.7573,40.8422,39.2924,40.833,837249.0
2019-09-12,40.6593,41.1439,40.2387,41.0342,823929.0
2019-09-13,41.2353,41.537,40.2387,40.257,788746.0
2019-09-14,41.2353,41.537,40.2387,40.257,788746.0
2019-09-15,41.2353,41.537,40.2387,40.257,788746.0
2019-09-16,39.6536,40.2296,39.361,39.9187,1057331.0
2019-09-17,39.8181,40.0376,39.2421,39.9096,425475.0
2019-09-18,39.5347,39.8364,39.2513,39.7359,387515.0
2019-09-19,39.7724,39.8881,39.3793,39.5896,440570.0
2019-09-20,39.6627,39.8822,38.7667,39.0227,539307.0
2019-09-21,39.6627,39.8822,38.7667,39.0227,539307.0
2019-09-22,39.6627,39.8822,38.7667,39.0227,539307.0
2019-09-23,38.849,39.1233,38.3095,38.8581,500733.0
2019-09-24,38.7301,39.0684,38.2821,38.3553,360281.0
2019-09-25,38.4193,39.0351,38.2547,38.8124,376029.0
2019-09-26,38.785,38.8581,38.3644,38.7667,453389.0
2019-09-27,38.8673,39.3061,38.2638,38.4193,504636.0
2019-09-28,38.8673,39.3061,38.2638,38.4193,504636.0
2019-09-29,38.8673,39.3061,38.2638,38.4193,504636.0
2019-09-30,38.4193,38.7301,37.9943,38.2364,433362.0
2019-10-01,38.5198,38.593,37.0386,37.0935,528070.0
2019-10-02,36.5906,36.7964,35.2832,35.9781,683314.0
2019-10-03,35.722,36.2432,35.2512,36.1701,608769.0
2019-10-04,36.2523,36.5998,35.9689,36.5998,311834.0
2019-10-05,36.2523,36.5998,35.9689,36.5998,311834.0
2019-10-06,36.2523,36.5998,35.9689,36.5998,311834.0
2019-10-07,36.4443,36.5815,36.0603,36.1152,563902.0
2019-10-08,35.6946,36.0603,35.5483,35.7495,807957.0
2019-10-09,36.0969,36.3803,35.8683,36.1701,368902.0
2019-10-10,36.1883,36.8832,36.1061,36.5724,292079.0
2019-10-11,37.3221,38.0901,37.2947,37.3038,509294.0
2019-10-12,37.3221,38.0901,37.2947,37.3038,509294.0
2019-10-13,37.3221,38.0901,37.2947,37.3038,509294.0
2019-10-14,37.0478,37.761,36.8649,37.7061,279835.0
2019-10-15,37.6421,38.4834,37.4409,38.3278,437793.0
2019-10-16,38.145,38.8764,38.1084,38.8216,443743.0
2019-10-17,39.0318,39.4341,38.7758,39.3153,365498.0
2019-10-18,39.2421,39.5804,38.7941,38.9038,483089.0
2019-10-19,39.2421,39.5804,38.7941,38.9038,483089.0
2019-10-20,39.2421,39.5804,38.7941,38.9038,483089.0
2019-10-21,39.3244,40.0376,39.0593,39.681,512524.0
2019-10-22,39.6901,40.0284,39.0684,39.8273,281017.0
2019-10-23,39.617,40.3393,39.4341,40.3393,358136.0
2019-10-24,40.7873,40.8147,40.0193,40.4582,386164.0
2019-10-25,40.4307,41.0433,40.3622,40.8605,328718.0
2019-10-26,40.4307,41.0433,40.3622,40.8605,328718.0
2019-10-27,40.4307,41.0433,40.3622,40.8605,328718.0
2019-10-28,41.1439,41.5005,40.7599,40.9153,507595.0
2019-10-29,40.7965,41.1622,40.7142,40.9885,306347.0
2019-10-30,40.9153,40.9153,39.6261,40.2479,523819.0
2019-10-31,40.0924,40.2662,39.5347,40.2113,360896.0
2019-11-01,40.4856,41.1622,40.3164,41.0616,455605.0
2019-11-02,40.4856,41.1622,40.3164,41.0616,455605.0
2019-11-03,40.4856,41.1622,40.3164,41.0616,455605.0
2019-11-04,41.4456,41.8662,41.185,41.8388,393093.0
2019-11-05,42.1405,42.9634,41.8936,42.3416,722502.0
2019-11-06,42.9725,43.4114,41.8388,42.2776,974829.0
2019-11-07,42.7348,43.2925,42.1222,42.6068,674904.0
2019-11-08,43.0274,43.4662,41.0067,41.8205,1322720.0
2019-11-09,43.0274,43.4662,41.0067,41.8205,1322720.0
2019-11-10,43.0274,43.4662,41.0067,41.8205,1322720.0
2019-11-11,41.6102,42.0308,41.3999,41.8845,579864.0
2019-11-12,41.8936,42.1039,41.5279,41.5919,679077.0
2019-11-13,41.3725,41.3725,40.6959,41.0616,827458.0
2019-11-14,41.0799,41.4639,40.6867,41.3085,464707.0
2019-11-15,41.4913,41.6925,41.281,41.5553,581489.0
2019-11-16,41.4913,41.6925,41.281,41.5553,581489.0
2019-11-17,41.4913,41.6925,41.281,41.5553,581489.0
2019-11-18,41.3085,41.3085,40.769,40.9245,659488.0
2019-11-19,41.0525,41.6559,40.8513,41.2445,481206.0
2019-11-20,40.9976,41.5462,40.9153,41.5005,534025.0
2019-11-21,41.5096,41.9668,41.2536,41.8662,500680.0
2019-11-22,41.8845,42.1862,41.7108,41.9302,485264.0
2019-11-23,41.8845,42.1862,41.7108,41.9302,485264.0
2019-11-24,41.8845,42.1862,41.7108,41.9302,485264.0
2019-11-25,42.1496,42.8765,41.8625,42.5519,1113940.0
2019-11-26,42.4879,42.8994,42.2502,42.7714,477838.0
2019-11-27,43.0091,43.0091,42.2959,42.5976,246702.0
2019-11-28,43.0091,43.0091,42.2959,42.5976,246702.0
2019-11-29,42.3142,42.8354,42.0948,42.4514,165815.0
2019-11-30,42.3142,42.8354,42.0948,42.4514,165815.0
2019-12-01,42.3142,42.8354,42.0948,42.4514,165815.0
2019-12-02,42.6159,42.7897,42.2502,42.2868,449705.0
2019-12-03,41.7291,42.0399,40.7507,41.3359,457543.0
2019-12-04,41.4822,42.0673,41.3679,41.4273,581567.0
2019-12-05,41.4822,41.8022,41.3176,41.6742,608301.0
2019-12-06,42.2228,43.0457,42.1313,42.8262,771364.0
2019-12-07,42.2228,43.0457,42.1313,42.8262,771364.0
2019-12-08,42.2228,43.0457,42.1313,42.8262,771364.0
2019-12-09,42.6342,43.0457,42.6342,42.7805,278692.0
2019-12-10,42.6982,42.8994,42.4788,42.5794,338824.0
2019-12-11,42.6525,42.9634,42.2822,42.6251,426752.0
2019-12-12,42.6251,43.5211,42.5976,43.384,389108.0
2019-12-13,43.3748,43.7862,42.9451,43.1554,564964.0
2019-12-14,43.3748,43.7862,42.9451,43.1554,564964.0
2019-12-15,43.3748,43.7862,42.9451,43.1554,564964.0
2019-12-16,43.3931,43.7588,43.2925,43.4022,543919.0
2019-12-17,43.3931,43.64,43.2651,43.448,479543.0
2019-12-18,43.4388,44.0057,43.4205,43.5942,656734.0
2019-12-19,43.4842,43.9795,43.3191,43.8877,454562.0
2019-12-20,44.0895,44.2088,43.6309,44.1721,702783.0
2019-12-21,44.0895,44.2088,43.6309,44.1721,702783.0
2019-12-22,44.0895,44.2088,43.6309,44.1721,702783.0
2019-12-23,44.328,44.383,44.0253,44.117,341653.0
2019-12-24,44.2638,44.4289,44.062,44.3555,137025.0
2019-12-25,44.2638,44.4289,44.062,44.3555,137025.0
2019-12-26,44.4839,44.5619,44.14,44.4105,234860.0
2019-12-27,44.4839,44.5252,43.952,44.1446,479582.0
2019-12-28,44.4839,44.5252,43.952,44.1446,479582.0
2019-12-29,44.4839,44.5252,43.952,44.1446,479582.0
2019-12-30,44.2638,44.3555,43.5942,43.6493,361745.0
2019-12-31,43.5576,43.7227,43.3283,43.5851,298857.0
2020-01-01,43.5576,43.7227,43.3283,43.5851,298857.0
2020-01-02,43.741,43.8382,42.9889,43.4016,742541.0
2020-01-03,42.7504,43.7685,42.7046,43.6768,560347.0
2020-01-04,42.7504,43.7685,42.7046,43.6768,560347.0
2020-01-05,42.7504,43.7685,42.7046,43.6768,560347.0
2020-01-06,43.2916,43.7869,43.1081,43.2824,488739.0
2020-01-07,43.2274,43.5851,42.5945,42.6862,840165.0
2020-01-08,42.7871,43.099,42.3455,42.8513,420201.0
2020-01-09,43.1173,43.4292,42.943,43.4292,529004.0
2020-01-10,43.5484,43.9419,43.3741,43.6768,619154.0
2020-01-11,43.5484,43.9419,43.3741,43.6768,619154.0
2020-01-12,43.5484,43.9419,43.3741,43.6768,619154.0
2020-01-13,43.8327,44.5665,43.7728,44.539,552894.0
2020-01-14,44.3922,44.9333,44.3922,44.5114,645978.0
2020-01-15,44.2638,44.9196,44.117,44.8875,583700.0
2020-01-16,45.1902,45.7221,45.1902,45.5204,744873.0
2020-01-17,45.6946,45.823,45.1351,45.3277,853878.0
2020-01-18,45.6946,45.823,45.1351,45.3277,853878.0
2020-01-19,45.6946,45.823,45.1351,45.3277,853878.0
2020-01-20,45.6946,45.823,45.1351,45.3277,853878.0
2020-01-21,45.0251,45.0526,43.6034,43.7869,1122196.0
2020-01-22,43.7869,43.8877,43.1494,43.1723,913950.0
2020-01-23,42.9522,43.5392,41.8883,43.4383,925705.0
2020-01-24,43.4934,43.6126,41.8974,42.1909,664639.0
2020-01-25,43.4934,43.6126,41.8974,42.1909,664639.0
2020-01-26,43.4934,43.6126,41.8974,42.1909,664639.0
2020-01-27,41.3013,41.5856,40.6409,40.6776,732476.0
2020-01-28,40.8518,41.2004,40.5858,40.916,347548.0
2020-01-29,41.0903,41.2187,40.5858,40.8243,356255.0
2020-01-30,40.219,40.6592,39.7695,40.4299,530446.0
2020-01-31,40.1823,40.4024,39.3385,39.3843,776759.0
2020-02-01,40.1823,40.4024,39.3385,39.3843,776759.0
2020-02-02,40.1823,40.4024,39.3385,39.3843,776759.0
2020-02-03,39.5586,39.7879,39.2101,39.4669,524583.0
2020-02-04,39.9255,41.0536,39.7512,40.6317,718534.0
2020-02-05,41.2829,41.6957,41.182,41.5489,513749.0
2020-02-06,41.7232,41.8791,40.7234,40.7876,397072.0
2020-02-07,40.3565,40.4482,39.5265,39.5586,524151.0
2020-02-08,40.3565,40.4482,39.5265,39.5586,524151.0
2020-02-09,40.3565,40.4482,39.5265,39.5586,524151.0
2020-02-10,39.366,40.1181,39.3201,39.9713,1256813.0
2020-02-11,40.1823,40.9527,40.1823,40.54,1228817.0
2020-02-12,40.8977,41.2279,40.7693,40.7968,847390.0
2020-02-13,40.7601,42.0717,40.7234,41.5489,749315.0
2020-02-14,42.2368,42.3744,41.2921,41.5397,752919.0
2020-02-15,42.2368,42.3744,41.2921,41.5397,752919.0
2020-02-16,42.2368,42.3744,41.2921,41.5397,752919.0
2020-02-17,42.2368,42.3744,41.2921,41.5397,752919.0
2020-02-18,41.4388,41.6039,39.3935,39.898,1319624.0
2020-02-19,40.1273,40.3382,39.9117,40.1273,889277.0
2020-02-20,39.9805,41.1178,39.9805,40.9619,746768.0
2020-02-21,40.7051,40.8702,39.4027,39.742,576940.0
2020-02-22,40.7051,40.8702,39.4027,39.742,576940.0
2020-02-23,40.7051,40.8702,39.4027,39.742,576940.0
2020-02-24,37.7701,38.3387,36.6786,38.1003,1286033.0
2020-02-25,38.2745,38.2929,35.1744,35.3395,1113214.0
2020-02-26,35.6697,35.9082,34.1196,34.459,1193693.0
2020-02-27,33.9178,35.6743,32.7805,34.6149,3000033.0
2020-02-28,33.2024,35.4037,33.1474,35.1836,3398376.0
2020-02-29,33.2024,35.4037,33.1474,35.1836,3398376.0
2020-03-01,33.2024,35.4037,33.1474,35.1836,3398376.0
2020-03-02,35.4404,36.1191,34.7341,35.954,1651780.0
2020-03-03,35.9907,36.4676,34.6791,35.0552,1725389.0
2020-03-04,35.688,35.7247,33.8536,34.9359,940042.0
2020-03-05,33.7711,33.8261,31.4082,32.1018,2345442.0
2020-03-06,30.8177,32.5421,30.6986,32.166,3558115.0
2020-03-07,30.8177,32.5421,30.6986,32.166,3558115.0
2020-03-08,30.8177,32.5421,30.6986,32.166,3558115.0
2020-03-09,29.0109,30.671,28.8641,29.2952,1573386.0
2020-03-10,30.6435,31.1571,28.5798,31.1204,1920165.0
