,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-09-03,437.287,437.287,422.399,424.812,130837.0
2022-09-04,437.287,437.287,422.399,424.812,130837.0
2022-09-05,437.287,437.287,422.399,424.812,130837.0
2022-09-06,427.042,433.359,422.601,430.684,195481.0
2022-09-07,432.164,439.31,430.763,438.955,161707.0
2022-09-08,437.711,443.327,435.086,442.971,137181.0
2022-09-09,444.116,448.873,443.682,447.452,192147.0
2022-09-10,444.116,448.873,443.682,447.452,192147.0
2022-09-11,444.116,448.873,443.682,447.452,192147.0
2022-09-12,449.051,452.352,446.731,451.104,241607.0
2022-09-13,443.702,447.748,440.376,441.027,262743.0
2022-09-14,440.711,447.768,439.557,442.991,317567.0
2022-09-15,445.754,445.754,438.056,440.83,293165.0
2022-09-16,437.316,441.175,432.707,440.188,444013.0
2022-09-17,437.316,441.175,432.707,440.188,444013.0
2022-09-18,437.316,441.175,432.707,440.188,444013.0
2022-09-19,436.872,440.83,434.148,440.622,261201.0
2022-09-20,437.711,439.547,431.937,435.865,229346.0
2022-09-21,437.0,440.943,424.595,424.822,334961.0
2022-09-22,407.61,412.258,381.752,389.589,1215550.0
2022-09-23,388.236,393.546,380.351,387.536,463802.0
2022-09-24,388.236,393.546,380.351,387.536,463802.0
2022-09-25,388.236,393.546,380.351,387.536,463802.0
2022-09-26,386.815,389.737,380.163,383.341,403096.0
2022-09-27,386.884,391.247,381.091,386.016,266415.0
2022-09-28,388.246,393.26,385.118,387.921,311078.0
2022-09-29,386.045,393.063,380.045,391.671,339749.0
2022-09-30,394.691,401.293,391.686,394.878,300689.0
2022-10-01,394.691,401.293,391.686,394.878,300689.0
2022-10-02,394.691,401.293,391.686,394.878,300689.0
2022-10-03,395.964,406.198,395.964,402.784,283672.0
2022-10-04,407.314,417.153,407.106,416.788,263604.0
2022-10-05,413.64,422.192,413.087,418.259,262548.0
2022-10-06,418.071,421.012,412.426,413.768,242414.0
2022-10-07,408.162,409.465,404.284,408.281,277728.0
2022-10-08,408.162,409.465,404.284,408.281,277728.0
2022-10-09,408.162,409.465,404.284,408.281,277728.0
2022-10-10,411.252,411.252,400.287,407.383,244424.0
2022-10-11,406.248,412.199,403.47,409.288,268337.0
2022-10-12,409.613,409.613,396.211,396.408,372807.0
2022-10-13,389.49,405.369,384.555,403.711,297437.0
2022-10-14,407.205,407.518,388.69,389.421,277059.0
2022-10-15,407.205,407.518,388.69,389.421,277059.0
2022-10-16,407.205,407.518,388.69,389.421,277059.0
2022-10-17,395.846,403.297,395.303,401.678,185462.0
2022-10-18,409.87,411.686,400.405,403.938,226018.0
2022-10-19,401.126,404.126,397.188,400.79,169624.0
2022-10-20,401.363,401.461,393.526,394.306,174334.0
2022-10-21,394.869,402.172,390.926,401.767,163031.0
2022-10-22,394.869,402.172,390.926,401.767,163031.0
2022-10-23,394.869,402.172,390.926,401.767,163031.0
2022-10-24,404.975,407.857,398.708,404.807,184096.0
2022-10-25,405.389,413.956,404.649,413.778,357519.0
2022-10-26,414.479,418.071,410.423,412.189,216508.0
2022-10-27,414.193,420.588,413.364,417.894,191420.0
2022-10-28,417.351,425.73,414.291,424.772,215277.0
2022-10-29,417.351,425.73,414.291,424.772,215277.0
2022-10-30,417.351,425.73,414.291,424.772,215277.0
2022-10-31,423.095,423.401,416.137,419.927,306039.0
2022-11-01,422.345,424.528,415.436,420.677,263563.0
2022-11-02,418.92,424.077,408.922,409.83,232811.0
2022-11-03,406.495,416.147,404.708,407.126,236034.0
2022-11-04,410.63,411.291,397.948,403.109,244298.0
2022-11-05,410.63,411.291,397.948,403.109,244298.0
2022-11-06,410.63,411.291,397.948,403.109,244298.0
2022-11-07,404.402,410.314,402.512,408.794,132304.0
2022-11-08,408.873,420.785,408.577,417.232,200334.0
2022-11-09,415.555,419.912,411.479,412.712,158593.0
2022-11-10,426.322,431.168,416.157,430.576,254105.0
2022-11-11,431.108,431.464,414.42,415.732,325294.0
2022-11-12,431.108,431.464,414.42,415.732,325294.0
2022-11-13,431.108,431.464,414.42,415.732,325294.0
2022-11-14,416.393,424.161,415.184,419.038,263493.0
2022-11-15,424.378,429.796,420.163,427.259,222138.0
2022-11-16,426.539,438.629,426.115,435.708,223854.0
2022-11-17,432.441,433.25,425.838,430.99,168280.0
2022-11-18,436.359,437.425,427.235,432.046,170739.0
2022-11-19,436.359,437.425,427.235,432.046,170739.0
2022-11-20,436.359,437.425,427.235,432.046,170739.0
2022-11-21,430.112,443.198,428.651,440.77,220126.0
2022-11-22,441.037,447.649,439.517,445.952,196391.0
2022-11-23,445.745,450.383,443.563,447.807,169212.0
2022-11-24,445.745,450.383,443.563,447.807,169212.0
2022-11-25,446.554,449.717,446.554,449.623,75220.0
2022-11-26,446.554,449.717,446.554,449.623,75220.0
2022-11-27,446.554,449.717,446.554,449.623,75220.0
2022-11-28,447.255,451.202,444.501,446.435,185547.0
2022-11-29,445.911,450.697,440.937,444.121,287909.0
2022-11-30,444.823,456.156,440.057,456.156,629151.0
2022-12-01,458.509,468.586,457.881,466.905,246783.0
2022-12-02,462.178,468.853,459.839,465.906,181952.0
2022-12-03,462.178,468.853,459.839,465.906,181952.0
