,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-10-31,27.1591,27.7879,27.1591,27.4963,45768.0
2020-11-01,27.1591,27.7879,27.1591,27.4963,45768.0
2020-11-02,27.6603,28.7267,27.6603,28.353,46746.0
2020-11-03,28.9727,29.3008,28.517,29.0548,57723.0
2020-11-04,28.4806,28.4806,27.3778,27.5783,30750.0
2020-11-05,27.4781,28.271,27.4325,28.1343,27768.0
2020-11-06,28.4077,29.155,27.4963,27.551,22009.0
2020-11-07,28.4077,29.155,27.4963,27.551,22009.0
2020-11-08,28.4077,29.155,27.4963,27.551,22009.0
2020-11-09,29.4862,31.137,28.7433,29.6054,92817.0
2020-11-10,29.7154,31.4488,29.3944,31.1737,85758.0
2020-11-11,30.9536,30.9536,29.8805,30.2566,37641.0
2020-11-12,29.8347,29.8347,29.0001,29.4311,33422.0
2020-11-13,29.8072,30.2749,29.2752,30.0273,36661.0
2020-11-14,29.8072,30.2749,29.2752,30.0273,36661.0
2020-11-15,29.8072,30.2749,29.2752,30.0273,36661.0
2020-11-16,30.4492,31.2746,30.1924,31.2379,63804.0
2020-11-17,30.7335,31.2287,29.9906,30.9628,35813.0
2020-11-18,31.192,31.2378,30.5776,30.5867,39581.0
2020-11-19,30.5959,30.871,29.7154,30.5592,29757.0
2020-11-20,30.1832,30.3116,29.7063,30.0273,54092.0
2020-11-21,30.1832,30.3116,29.7063,30.0273,54092.0
2020-11-22,30.1832,30.3116,29.7063,30.0273,54092.0
2020-11-23,30.1373,30.5409,30.0273,30.2382,54966.0
2020-11-24,30.385,31.9991,30.2932,31.8249,84846.0
2020-11-25,31.4397,31.4672,30.9903,31.1645,60379.0
2020-11-26,31.4397,31.4672,30.9903,31.1645,60379.0
2020-11-27,31.2287,31.3801,30.0731,30.4675,28531.0
2020-11-28,31.2287,31.3801,30.0731,30.4675,28531.0
2020-11-29,31.2287,31.3801,30.0731,30.4675,28531.0
2020-11-30,30.1465,30.3208,29.156,29.2936,59237.0
2020-12-01,29.9814,30.4033,29.6788,30.2749,55184.0
2020-12-02,29.9722,30.7335,29.9264,30.4216,45322.0
2020-12-03,30.4308,30.495,30.119,30.3666,28979.0
2020-12-04,30.3391,30.6142,30.2566,30.6142,39290.0
2020-12-05,30.3391,30.6142,30.2566,30.6142,39290.0
2020-12-06,30.3391,30.6142,30.2566,30.6142,39290.0
2020-12-07,30.3299,30.3483,29.5412,29.9906,51547.0
2020-12-08,29.7338,30.0731,29.7338,29.9264,55676.0
2020-12-09,30.064,30.1465,29.6054,29.8989,51146.0
2020-12-10,29.5687,29.9539,29.5228,29.8255,32318.0
2020-12-11,29.532,29.9356,29.4586,29.6237,32110.0
2020-12-12,29.532,29.9356,29.4586,29.6237,32110.0
2020-12-13,29.532,29.9356,29.4586,29.6237,32110.0
