,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-05-22,36.0798,36.6008,35.7846,36.3924,404873.0
2020-05-23,36.0798,36.6008,35.7846,36.3924,404873.0
2020-05-24,36.0798,36.6008,35.7846,36.3924,404873.0
2020-05-25,36.0798,36.6008,35.7846,36.3924,404873.0
2020-05-26,37.174,37.5908,36.6964,37.3389,482882.0
2020-05-27,37.8773,37.9034,36.7658,37.1913,562320.0
2020-05-28,37.7297,37.9381,37.2174,37.3737,463065.0
2020-05-29,35.6978,36.7311,35.2549,36.4445,3248060.0
2020-05-30,35.6978,36.7311,35.2549,36.4445,3248060.0
2020-05-31,35.6978,36.7311,35.2549,36.4445,3248060.0
2020-06-01,36.9048,37.4431,36.705,36.9221,938597.0
2020-06-02,36.9221,37.1305,35.9409,36.9395,1146332.0
2020-06-03,37.3216,37.912,37.0437,37.2782,670324.0
2020-06-04,36.9742,37.0871,36.3664,37.0263,1025756.0
2020-06-05,37.7384,38.1291,36.7832,36.8961,873868.0
2020-06-06,37.7384,38.1291,36.7832,36.8961,873868.0
2020-06-07,37.7384,38.1291,36.7832,36.8961,873868.0
2020-06-08,36.9742,39.1104,36.9048,38.9627,1034368.0
2020-06-09,38.6241,38.8238,37.6429,38.3028,1055014.0
2020-06-10,38.1552,38.1552,36.9048,37.3303,730792.0
2020-06-11,36.4098,36.4098,35.0899,35.3504,825633.0
2020-06-12,36.2709,36.4619,35.0118,36.0017,1058941.0
2020-06-13,36.2709,36.4619,35.0118,36.0017,1058941.0
2020-06-14,36.2709,36.4619,35.0118,36.0017,1058941.0
2020-06-15,35.2723,35.9496,34.2042,35.4546,1168076.0
2020-06-16,36.5748,37.1045,35.9583,36.5661,651050.0
2020-06-17,36.6616,36.6703,35.8888,35.8888,475535.0
2020-06-18,35.6196,36.323,35.6196,36.0364,525148.0
2020-06-19,36.4793,36.6443,35.2462,35.3244,1404789.0
2020-06-20,36.4793,36.6443,35.2462,35.3244,1404789.0
2020-06-21,36.4793,36.6443,35.2462,35.3244,1404789.0
2020-06-22,35.3331,35.3938,34.7513,34.9597,559064.0
2020-06-23,35.3938,35.5328,34.8641,34.951,595181.0
2020-06-24,34.6384,35.2115,34.43,35.0291,747437.0
2020-06-25,34.786,35.1854,34.1608,34.7339,945808.0
2020-06-26,34.4734,34.8555,34.1955,34.6123,863698.0
2020-06-27,34.4734,34.8555,34.1955,34.6123,863698.0
2020-06-28,34.4734,34.8555,34.1955,34.6123,863698.0
2020-06-29,34.9943,35.7056,34.8187,35.6178,571419.0
2020-06-30,35.6705,37.0316,35.6266,36.8209,880320.0
2020-07-01,36.6189,36.9965,35.4158,35.9427,763808.0
2020-07-02,36.2237,36.6979,35.8725,36.2501,507875.0
2020-07-03,36.2237,36.6979,35.8725,36.2501,507875.0
2020-07-04,36.2237,36.6979,35.8725,36.2501,507875.0
2020-07-05,36.2237,36.6979,35.8725,36.2501,507875.0
2020-07-06,36.8472,37.0755,36.3028,36.7418,585722.0
2020-07-07,36.4169,37.6376,36.1623,37.2336,851846.0
2020-07-08,37.1721,37.1721,36.0657,36.2852,453052.0
2020-07-09,36.2852,36.2852,34.4938,34.9241,569613.0
2020-07-10,34.8011,35.4861,34.766,35.2314,651123.0
2020-07-11,34.8011,35.4861,34.766,35.2314,651123.0
2020-07-12,34.8011,35.4861,34.766,35.2314,651123.0
2020-07-13,35.4246,35.7847,35.0294,35.0997,491765.0
2020-07-14,35.0031,35.6968,35.0031,35.5212,364878.0
2020-07-15,36.0042,36.6101,35.6529,35.8461,426380.0
2020-07-16,35.7847,36.3818,35.5476,35.8725,306201.0
2020-07-17,35.8461,36.3115,35.7978,35.9164,336382.0
2020-07-18,35.8461,36.3115,35.7978,35.9164,336382.0
2020-07-19,35.8461,36.3115,35.7978,35.9164,336382.0
2020-07-20,35.8461,35.8813,34.9855,35.1787,647993.0
2020-07-21,35.5212,36.6013,35.3939,36.1008,474650.0
2020-07-22,35.7934,36.3379,35.3983,36.215,746318.0
2020-07-23,36.3028,36.8823,35.89,36.8472,463982.0
2020-07-24,36.7243,37.2995,36.2589,36.3906,467748.0
2020-07-25,36.7243,37.2995,36.2589,36.3906,467748.0
2020-07-26,36.7243,37.2995,36.2589,36.3906,467748.0
2020-07-27,36.4433,36.6101,35.9691,36.2764,596074.0
2020-07-28,36.1271,36.9438,36.1271,36.4081,410971.0
2020-07-29,36.3291,36.5039,35.6793,36.3906,511640.0
2020-07-30,35.89,36.5486,35.6354,36.3818,470092.0
2020-07-31,36.3115,36.3906,35.2402,35.6266,1684772.0
2020-08-01,36.3115,36.3906,35.2402,35.6266,1684772.0
2020-08-02,36.3115,36.3906,35.2402,35.6266,1684772.0
2020-08-03,35.7583,36.171,35.4246,36.0481,724501.0
2020-08-04,35.9427,36.9789,35.9427,36.9263,508727.0
2020-08-05,36.9614,37.2512,36.6628,37.0229,523357.0
2020-08-06,36.9789,37.7342,36.654,37.4707,681552.0
2020-08-07,37.7605,39.508,37.5541,38.8143,862747.0
2020-08-08,37.7605,39.508,37.5541,38.8143,862747.0
2020-08-09,37.7605,39.508,37.5541,38.8143,862747.0
2020-08-10,38.9636,40.3247,38.8862,39.3148,735126.0
2020-08-11,39.5431,39.6924,38.3137,38.5069,441328.0
2020-08-12,39.1743,40.0525,38.9899,39.6134,459500.0
2020-08-13,39.5695,39.5695,38.9548,39.0689,382715.0
2020-08-14,38.9109,40.1842,38.6913,39.7978,618201.0
2020-08-15,38.9109,40.1842,38.6913,39.7978,618201.0
2020-08-16,38.9109,40.1842,38.6913,39.7978,618201.0
2020-08-17,39.7978,39.7978,39.1392,39.2358,478750.0
2020-08-18,39.2885,39.4246,38.9811,39.1568,266650.0
2020-08-19,39.3851,40.4389,39.1129,40.1227,758113.0
2020-08-20,39.789,40.193,39.3851,39.3939,447370.0
2020-08-21,39.1743,39.3412,38.8406,38.9899,523206.0
2020-08-22,39.1743,39.3412,38.8406,38.9899,523206.0
2020-08-23,39.1743,39.3412,38.8406,38.9899,523206.0
2020-08-24,38.9811,39.9207,38.8924,39.8856,322124.0
2020-08-25,40.0086,40.0086,39.2446,39.7627,329732.0
2020-08-26,39.4553,39.7978,38.9328,39.1831,317164.0
2020-08-27,39.4026,39.8681,39.2709,39.5783,424713.0
2020-08-28,39.6573,40.3159,39.4641,40.2369,458932.0
2020-08-29,39.6573,40.3159,39.4641,40.2369,458932.0
2020-08-30,39.6573,40.3159,39.4641,40.2369,458932.0
2020-08-31,40.2105,40.2984,39.9998,40.0788,571492.0
2020-09-01,39.8944,39.9427,38.7879,38.9109,398468.0
2020-09-02,38.8055,39.8066,38.7967,39.4465,516183.0
2020-09-03,39.4465,40.193,39.306,39.4378,517584.0
2020-09-04,39.6397,39.8242,38.6386,38.8055,477488.0
2020-09-05,39.6397,39.8242,38.6386,38.8055,477488.0
2020-09-06,39.6397,39.8242,38.6386,38.8055,477488.0
2020-09-07,39.6397,39.8242,38.6386,38.8055,477488.0
2020-09-08,38.6562,38.8055,37.4839,37.7605,521541.0
2020-09-09,37.8307,38.2786,37.4531,37.9888,372906.0
2020-09-10,38.0239,38.0591,37.4707,37.4795,264617.0
2020-09-11,37.6376,37.6376,37.0316,37.3126,279637.0
2020-09-12,37.6376,37.6376,37.0316,37.3126,279637.0
2020-09-13,37.6376,37.6376,37.0316,37.3126,279637.0
2020-09-14,37.4531,37.699,37.2424,37.6288,388615.0
2020-09-15,37.6815,37.8395,36.856,37.0053,764440.0
2020-09-16,36.9965,37.6288,36.8911,37.3741,484106.0
2020-09-17,37.1019,37.2424,36.6716,37.1194,469769.0
2020-09-18,37.1019,37.2336,36.5135,36.8472,969049.0
2020-09-19,37.1019,37.2336,36.5135,36.8472,969049.0
2020-09-20,37.1019,37.2336,36.5135,36.8472,969049.0
2020-09-21,36.4433,36.4433,35.609,36.0305,482258.0
2020-09-22,36.0042,36.7858,35.8373,36.0481,590697.0
2020-09-23,36.0744,36.2325,35.451,35.6617,656835.0
2020-09-24,35.4773,36.2764,35.1524,36.1535,524110.0
2020-09-25,36.1008,36.7155,35.9339,36.6452,460327.0
2020-09-26,36.1008,36.7155,35.9339,36.6452,460327.0
2020-09-27,36.1008,36.7155,35.9339,36.6452,460327.0
2020-09-28,36.9087,37.3126,36.7067,36.9877,381413.0
2020-09-29,36.9833,37.0099,35.8472,36.5218,402936.0
2020-09-30,36.5218,36.7703,35.5632,36.0248,615834.0
2020-10-01,35.9538,36.1756,35.2526,35.4656,615452.0
2020-10-02,35.226,35.7585,35.0041,35.4922,584058.0
2020-10-03,35.226,35.7585,35.0041,35.4922,584058.0
2020-10-04,35.226,35.7585,35.0041,35.4922,584058.0
2020-10-05,35.7496,36.5484,35.368,36.4508,429489.0
2020-10-06,36.5573,37.0321,36.2999,36.4508,424099.0
2020-10-07,36.6016,36.7792,35.8295,36.6194,408612.0
2020-10-08,36.8945,37.3117,36.504,37.2495,317013.0
2020-10-09,37.6134,37.7199,36.93,37.2673,286025.0
2020-10-10,37.6134,37.7199,36.93,37.2673,286025.0
2020-10-11,37.6134,37.7199,36.93,37.2673,286025.0
2020-10-12,37.2762,37.6267,37.0188,37.5779,290196.0
2020-10-13,37.5868,37.7732,37.2673,37.6401,372034.0
2020-10-14,37.6401,37.8619,37.2762,37.4626,248620.0
2020-10-15,37.2318,37.7022,37.0188,37.5779,413009.0
2020-10-16,37.5513,37.7199,36.9034,36.9655,445363.0
2020-10-17,37.5513,37.7199,36.9034,36.9655,445363.0
2020-10-18,37.5513,37.7199,36.9034,36.9655,445363.0
2020-10-19,37.1075,37.3427,36.6904,36.717,372055.0
2020-10-20,37.072,37.5247,36.6815,37.214,377421.0
2020-10-21,37.214,37.5665,37.001,37.1697,626273.0
2020-10-22,37.0987,38.3767,36.8413,38.288,524002.0
2020-10-23,38.5808,38.6518,37.8087,38.1016,383211.0
2020-10-24,38.5808,38.6518,37.8087,38.1016,383211.0
2020-10-25,38.5808,38.6518,37.8087,38.1016,383211.0
2020-10-26,37.8264,37.8264,37.1874,37.4892,418808.0
2020-10-27,37.3205,37.5868,36.93,36.9478,523931.0
2020-10-28,36.3886,36.7287,35.1106,35.1372,475614.0
2020-10-29,34.871,35.4745,33.9213,35.3325,645413.0
2020-10-30,35.3591,35.7851,34.8932,35.4656,1695940.0
2020-10-31,35.3591,35.7851,34.8932,35.4656,1695940.0
2020-11-01,35.3591,35.7851,34.8932,35.4656,1695940.0
2020-11-02,35.9005,36.1313,35.3502,35.8739,480757.0
2020-11-03,36.2733,37.001,36.2733,36.6904,500948.0
2020-11-04,36.4863,37.1874,36.2466,36.2644,358464.0
2020-11-05,36.4153,36.9567,35.7585,35.8117,355135.0
2020-11-06,35.8117,36.1668,33.6107,33.8769,508207.0
2020-11-07,35.8117,36.1668,33.6107,33.8769,508207.0
2020-11-08,35.8117,36.1668,33.6107,33.8769,508207.0
2020-11-09,35.226,35.6431,34.4361,34.5781,521964.0
2020-11-10,34.9065,36.6371,34.6136,36.4596,576105.0
2020-11-11,36.4685,37.0809,36.1046,37.0543,430331.0
2020-11-12,36.6815,37.0321,35.865,36.0514,407737.0
2020-11-13,36.3531,37.2939,36.2733,37.1874,263775.0
2020-11-14,36.3531,37.2939,36.2733,37.1874,263775.0
2020-11-15,36.3531,37.2939,36.2733,37.1874,263775.0
2020-11-16,37.6046,37.7643,37.0809,37.4714,612900.0
2020-11-17,37.2407,38.0838,37.0277,37.8264,362418.0
2020-11-18,38.0217,38.359,37.0543,37.1697,360703.0
2020-11-19,36.9567,37.0498,36.0159,36.7614,386277.0
2020-11-20,36.6016,36.7437,36.2466,36.5395,376617.0
2020-11-21,36.6016,36.7437,36.2466,36.5395,376617.0
2020-11-22,36.6016,36.7437,36.2466,36.5395,376617.0
