,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-10-22,175.068,187.979,174.441,186.07,2383453.0
2021-10-23,175.068,187.979,174.441,186.07,2383453.0
2021-10-24,175.068,187.979,174.441,186.07,2383453.0
2021-10-25,181.572,185.669,181.415,181.65,1244642.0
2021-10-26,183.071,183.538,178.39,179.584,790766.0
2021-10-27,180.072,181.659,175.844,176.184,814200.0
2021-10-28,177.335,183.629,176.585,183.228,698514.0
2021-10-29,183.603,186.218,182.723,183.795,728726.0
2021-10-30,183.603,186.218,182.723,183.795,728726.0
2021-10-31,183.603,186.218,182.723,183.795,728726.0
2021-11-01,184.527,187.657,183.821,186.959,607917.0
2021-11-02,187.046,188.528,184.899,187.822,618338.0
2021-11-03,188.572,194.021,187.43,190.106,882407.0
2021-11-04,190.708,193.524,188.703,190.202,495960.0
2021-11-05,191.972,193.777,189.235,190.167,510324.0
2021-11-06,191.972,193.777,189.235,190.167,510324.0
2021-11-07,191.972,193.777,189.235,190.167,510324.0
2021-11-08,190.15,191.649,188.659,190.568,408830.0
2021-11-09,190.22,193.611,190.128,192.713,429230.0
2021-11-10,192.277,195.049,191.917,192.757,524531.0
2021-11-11,193.184,197.987,192.172,196.148,590058.0
2021-11-12,197.046,203.645,196.636,202.398,780731.0
2021-11-13,197.046,203.645,196.636,202.398,780731.0
2021-11-14,197.046,203.645,196.636,202.398,780731.0
2021-11-15,203.444,207.289,203.0,204.412,684947.0
2021-11-16,204.543,206.775,203.296,205.057,553377.0
2021-11-17,204.604,205.144,201.527,203.052,399306.0
2021-11-18,204.473,204.473,200.342,201.377,493660.0
2021-11-19,201.816,204.192,200.842,201.096,404520.0
2021-11-20,201.816,204.192,200.842,201.096,404520.0
2021-11-21,201.816,204.192,200.842,201.096,404520.0
2021-11-22,201.824,204.561,200.912,202.263,413128.0
2021-11-23,202.43,203.85,200.671,202.833,337701.0
2021-11-24,201.649,204.35,200.026,202.824,318218.0
2021-11-25,201.649,204.35,200.026,202.824,318218.0
2021-11-26,196.281,199.246,196.106,198.211,331672.0
2021-11-27,196.281,199.246,196.106,198.211,331672.0
2021-11-28,196.281,199.246,196.106,198.211,331672.0
2021-11-29,199.088,199.786,194.905,195.387,360612.0
2021-11-30,193.712,194.501,190.142,190.967,902420.0
2021-12-01,193.063,198.237,189.598,189.774,641926.0
2021-12-02,191.554,197.378,191.151,194.703,594418.0
2021-12-03,194.378,196.773,193.87,195.615,698858.0
2021-12-04,194.378,196.773,193.87,195.615,698858.0
2021-12-05,194.378,196.773,193.87,195.615,698858.0
2021-12-06,198.299,201.789,197.492,200.061,531284.0
2021-12-07,202.158,202.982,200.386,201.377,345855.0
2021-12-08,202.289,203.193,199.246,199.921,709804.0
2021-12-09,198.772,201.123,198.097,198.246,529709.0
