,RGS US Equity,RGS US Equity,RGS US Equity,RGS US Equity,RGS US Equity
2020-08-31,158.2,166.6,145.0,147.8,101632.0
2020-09-01,150.2,151.8,146.0,150.4,40542.0
2020-09-02,149.4,154.8,146.2,146.6,31908.0
2020-09-03,147.4,152.4,141.0,141.8,39745.0
2020-09-04,143.0,146.8,137.4,139.4,30092.0
2020-09-05,143.0,146.8,137.4,139.4,30092.0
2020-09-06,143.0,146.8,137.4,139.4,30092.0
2020-09-07,143.0,146.8,137.4,139.4,30092.0
2020-09-08,138.2,138.2,128.6,129.2,39471.0
2020-09-09,131.8,133.2,123.744,126.8,31949.0
2020-09-10,128.0,131.0,126.0,127.0,25328.0
2020-09-11,128.0,128.6,119.6,121.0,32063.0
2020-09-12,128.0,128.6,119.6,121.0,32063.0
2020-09-13,128.0,128.6,119.6,121.0,32063.0
2020-09-14,121.6,124.4,118.5,120.4,33209.0
2020-09-15,121.8,122.94,115.4,115.6,21994.0
2020-09-16,117.2,121.1,115.8,116.0,34368.0
2020-09-17,115.0,118.0,109.4,110.2,28851.0
2020-09-18,111.0,111.2,104.8,110.0,36718.0
2020-09-19,111.0,111.2,104.8,110.0,36718.0
2020-09-20,111.0,111.2,104.8,110.0,36718.0
2020-09-21,106.0,111.6,101.2,110.2,42931.0
2020-09-22,110.4,120.8,110.4,119.6,34755.0
2020-09-23,120.0,124.4,108.0,108.4,22875.0
2020-09-24,108.6,109.4,104.6,107.0,22880.0
2020-09-25,106.4,112.02,106.4,109.2,16724.0
2020-09-26,106.4,112.02,106.4,109.2,16724.0
2020-09-27,106.4,112.02,106.4,109.2,16724.0
2020-09-28,111.6,116.9,111.6,115.2,22934.0
2020-09-29,114.8,120.2,110.2,120.0,28493.0
2020-09-30,121.0,126.8,120.0,122.8,28372.0
2020-10-01,122.8,125.0,119.4,124.6,19479.0
2020-10-02,119.8,128.8,117.8,127.6,18763.0
2020-10-03,119.8,128.8,117.8,127.6,18763.0
2020-10-04,119.8,128.8,117.8,127.6,18763.0
2020-10-05,127.6,131.8,126.4,130.6,17419.0
2020-10-06,132.6,144.8,131.67,134.4,38204.0
2020-10-07,134.4,140.8,133.6,139.2,24335.0
2020-10-08,140.8,147.6,140.8,143.4,25658.0
2020-10-09,145.8,146.8,136.402,140.0,27737.0
2020-10-10,145.8,146.8,136.402,140.0,27737.0
2020-10-11,145.8,146.8,136.402,140.0,27737.0
2020-10-12,139.2,146.6,138.4,145.0,18654.0
2020-10-13,143.0,146.0,139.6,142.2,19146.0
2020-10-14,141.4,146.2,140.6,141.2,15794.0
2020-10-15,137.8,144.0,137.8,141.8,13941.0
2020-10-16,143.0,146.6,141.998,144.6,13117.0
2020-10-17,143.0,146.6,141.998,144.6,13117.0
2020-10-18,143.0,146.6,141.998,144.6,13117.0
2020-10-19,144.8,148.6,139.2,140.0,17654.0
2020-10-20,141.2,143.4,133.0,133.4,21839.0
2020-10-21,132.4,136.0,130.4,133.0,11299.0
2020-10-22,125.2,134.6,123.4,133.8,24623.0
2020-10-23,135.2,137.8,130.2,130.2,17119.0
2020-10-24,135.2,137.8,130.2,130.2,17119.0
2020-10-25,135.2,137.8,130.2,130.2,17119.0
2020-10-26,127.8,127.8,118.8,119.2,17833.0
2020-10-27,119.4,121.4,114.6,114.8,15395.0
2020-10-28,110.0,115.2,108.8,108.8,26789.0
2020-10-29,110.0,116.2,107.788,113.4,25994.0
2020-10-30,113.4,115.2,107.2,110.8,23406.0
2020-10-31,113.4,115.2,107.2,110.8,23406.0
2020-11-01,113.4,115.2,107.2,110.8,23406.0
2020-11-02,103.8,116.0,96.0,102.4,76554.0
2020-11-03,104.0,115.6,104.0,105.2,26113.0
2020-11-04,102.0,108.0,99.8,105.2,17642.0
2020-11-05,105.4,110.6,105.4,109.8,22739.0
2020-11-06,110.8,111.6,105.0,108.2,18109.0
2020-11-07,110.8,111.6,105.0,108.2,18109.0
2020-11-08,110.8,111.6,105.0,108.2,18109.0
2020-11-09,135.4,138.8,124.0,129.6,56806.0
2020-11-10,130.6,131.0,121.6,129.6,33600.0
2020-11-11,131.4,138.0,126.2,128.8,21807.0
2020-11-12,125.6,129.6,120.0,121.8,16467.0
2020-11-13,123.0,127.576,121.8,125.6,17922.0
2020-11-14,123.0,127.576,121.8,125.6,17922.0
2020-11-15,123.0,127.576,121.8,125.6,17922.0
2020-11-16,133.4,136.2,129.0,134.4,36070.0
2020-11-17,132.2,139.2,130.0,137.4,28680.0
2020-11-18,140.2,146.0,136.8,137.8,32987.0
2020-11-19,138.0,148.2,136.6,144.0,20921.0
2020-11-20,141.8,148.2,140.4,146.4,26798.0
2020-11-21,141.8,148.2,140.4,146.4,26798.0
2020-11-22,141.8,148.2,140.4,146.4,26798.0
2020-11-23,149.8,164.0,149.2,162.2,47376.0
2020-11-24,167.6,181.2,165.002,180.0,58404.0
2020-11-25,177.8,178.8,165.6,172.8,33798.0
2020-11-26,177.8,178.8,165.6,172.8,33798.0
2020-11-27,172.6,176.2,163.6,168.6,11135.0
2020-11-28,172.6,176.2,163.6,168.6,11135.0
2020-11-29,172.6,176.2,163.6,168.6,11135.0
2020-11-30,180.8,191.198,169.4,169.8,87996.0
2020-12-01,177.0,188.4,174.0,175.6,49133.0
2020-12-02,175.6,184.0,175.52,182.0,33760.0
2020-12-03,184.2,197.6,181.0,196.0,60662.0
2020-12-04,198.4,208.4,198.4,203.2,65772.0
2020-12-05,198.4,208.4,198.4,203.2,65772.0
2020-12-06,198.4,208.4,198.4,203.2,65772.0
2020-12-07,203.4,204.244,183.484,184.4,62408.0
2020-12-08,184.0,188.8,180.5,186.0,35014.0
2020-12-09,189.2,194.4,187.0,191.4,32673.0
2020-12-10,189.6,196.4,186.6,195.0,20915.0
2020-12-11,192.0,197.4,188.0,188.8,17896.0
2020-12-12,192.0,197.4,188.0,188.8,17896.0
2020-12-13,192.0,197.4,188.0,188.8,17896.0
2020-12-14,194.4,194.646,178.8,181.2,24937.0
2020-12-15,182.8,188.6,180.2,188.4,20893.0
2020-12-16,189.6,194.0,183.4,187.8,25578.0
2020-12-17,187.8,194.4,186.0,194.0,28479.0
2020-12-18,193.8,193.8,187.4,188.0,43790.0
2020-12-19,193.8,193.8,187.4,188.0,43790.0
2020-12-20,193.8,193.8,187.4,188.0,43790.0
2020-12-21,173.0,189.0,172.6,185.2,43830.0
2020-12-22,187.0,192.8,180.992,183.4,28499.0
2020-12-23,183.4,193.6,182.2,190.6,28308.0
2020-12-24,189.8,193.8,187.8,189.6,16008.0
2020-12-25,189.8,193.8,187.8,189.6,16008.0
2020-12-26,189.8,193.8,187.8,189.6,16008.0
2020-12-27,189.8,193.8,187.8,189.6,16008.0
2020-12-28,192.4,195.0,187.2,192.4,19196.0
2020-12-29,194.8,194.8,184.4,187.6,23567.0
2020-12-30,189.6,192.6,183.386,184.6,21184.0
2020-12-31,185.0,188.4,182.0,183.8,19743.0
2021-01-01,185.0,188.4,182.0,183.8,19743.0
2021-01-02,185.0,188.4,182.0,183.8,19743.0
2021-01-03,185.0,188.4,182.0,183.8,19743.0
2021-01-04,183.0,186.2,172.4,179.0,27447.0
2021-01-05,179.8,182.0,177.4,177.4,22950.0
2021-01-06,180.6,183.3,175.4,176.6,35291.0
2021-01-07,180.0,181.0,177.6,178.8,20197.0
2021-01-08,178.6,179.0,170.2,172.0,29281.0
2021-01-09,178.6,179.0,170.2,172.0,29281.0
2021-01-10,178.6,179.0,170.2,172.0,29281.0
2021-01-11,170.6,172.0,164.39,167.8,41159.0
2021-01-12,167.6,169.6,160.4,163.6,34407.0
2021-01-13,164.0,165.2,157.6,161.2,30531.0
2021-01-14,162.8,176.4,162.2,174.8,48114.0
2021-01-15,172.6,173.09,168.4,171.4,27238.0
2021-01-16,172.6,173.09,168.4,171.4,27238.0
2021-01-17,172.6,173.09,168.4,171.4,27238.0
2021-01-18,172.6,173.09,168.4,171.4,27238.0
2021-01-19,173.2,181.62,171.0,174.0,28729.0
2021-01-20,174.0,183.8,171.402,180.4,27779.0
2021-01-21,186.8,196.8,182.2,185.6,30634.0
2021-01-22,174.4,186.8,173.6,184.6,35585.0
2021-01-23,174.4,186.8,173.6,184.6,35585.0
2021-01-24,174.4,186.8,173.6,184.6,35585.0
2021-01-25,183.8,202.7,180.0,201.6,52806.0
2021-01-26,204.0,237.6,202.6,236.0,83387.0
2021-01-27,230.6,287.8,225.2,238.6,135024.0
2021-01-28,237.6,246.6,192.0,193.8,57545.0
2021-01-29,199.8,202.8,187.0,189.8,29073.0
2021-01-30,199.8,202.8,187.0,189.8,29073.0
2021-01-31,199.8,202.8,187.0,189.8,29073.0
2021-02-01,206.2,206.2,183.4,200.8,33306.0
2021-02-02,204.6,205.0,188.4,189.2,19046.0
2021-02-03,191.2,198.6,189.2,192.4,23696.0
2021-02-04,182.2,207.8,166.8,204.0,67466.0
2021-02-05,207.2,208.4,195.4,203.2,14913.0
2021-02-06,207.2,208.4,195.4,203.2,14913.0
2021-02-07,207.2,208.4,195.4,203.2,14913.0
2021-02-08,206.8,215.8,205.09,211.4,23776.0
2021-02-09,211.0,217.4,204.2,210.6,27758.0
2021-02-10,213.2,216.2,204.0,212.0,17124.0
2021-02-11,212.8,215.8,205.8,209.6,12334.0
2021-02-12,209.0,213.4,206.8,211.2,9023.0
2021-02-13,209.0,213.4,206.8,211.2,9023.0
2021-02-14,209.0,213.4,206.8,211.2,9023.0
2021-02-15,209.0,213.4,206.8,211.2,9023.0
2021-02-16,212.8,213.96,200.6,206.2,14657.0
2021-02-17,203.4,213.4,200.81,210.8,10977.0
2021-02-18,209.0,211.0,205.0,206.0,9885.0
2021-02-19,207.6,213.4,206.4,210.0,14089.0
2021-02-20,207.6,213.4,206.4,210.0,14089.0
2021-02-21,207.6,213.4,206.4,210.0,14089.0
2021-02-22,206.6,224.6,205.0,216.4,17556.0
2021-02-23,216.8,221.4,208.0,218.4,13646.0
2021-02-24,219.8,254.0,219.8,252.8,33847.0
2021-02-25,252.8,259.0,240.2,246.4,23391.0
2021-02-26,246.4,256.2,231.2,235.0,22500.0
2021-02-27,246.4,256.2,231.2,235.0,22500.0
2021-02-28,246.4,256.2,231.2,235.0,22500.0
2021-03-01,242.0,258.2,238.2,252.4,19402.0
2021-03-02,251.2,259.2,250.2,252.0,12834.0
2021-03-03,254.4,275.0,244.4,268.0,18475.0
2021-03-04,268.8,270.2,237.402,247.2,25712.0
2021-03-05,245.8,255.0,217.0,232.6,24226.0
2021-03-06,245.8,255.0,217.0,232.6,24226.0
2021-03-07,245.8,255.0,217.0,232.6,24226.0
2021-03-08,235.0,260.79,235.0,254.2,16903.0
2021-03-09,260.0,260.0,243.8,245.6,13700.0
2021-03-10,247.2,255.0,242.2,249.4,16143.0
2021-03-11,249.8,259.6,246.6,257.4,15553.0
2021-03-12,256.8,271.0,250.8,269.0,20405.0
2021-03-13,256.8,271.0,250.8,269.0,20405.0
2021-03-14,256.8,271.0,250.8,269.0,20405.0
2021-03-15,272.8,278.4,263.0,273.6,18878.0
2021-03-16,272.0,272.2,251.0,251.2,20265.0
2021-03-17,250.0,259.8,242.6,256.6,10910.0
2021-03-18,257.6,261.4,244.0,245.6,14356.0
2021-03-19,246.0,265.2,239.0,265.0,30087.0
2021-03-20,246.0,265.2,239.0,265.0,30087.0
2021-03-21,246.0,265.2,239.0,265.0,30087.0
2021-03-22,264.2,264.2,246.4,250.0,12239.0
2021-03-23,244.4,250.6,240.4,241.8,10401.0
2021-03-24,246.4,253.2,233.6,234.0,13074.0
2021-03-25,231.0,252.0,230.52,246.2,15145.0
2021-03-26,252.6,260.8,244.0,254.0,12958.0
2021-03-27,252.6,260.8,244.0,254.0,12958.0
2021-03-28,252.6,260.8,244.0,254.0,12958.0
2021-03-29,250.8,263.0,246.6,247.4,15052.0
2021-03-30,247.4,251.4,239.2,247.2,11816.0
2021-03-31,247.8,256.2,245.6,251.2,10120.0
2021-04-01,252.8,258.234,249.2,256.4,5389.0
2021-04-02,252.8,258.234,249.2,256.4,5389.0
2021-04-03,252.8,258.234,249.2,256.4,5389.0
2021-04-04,252.8,258.234,249.2,256.4,5389.0
2021-04-05,260.0,263.4,255.6,263.0,8192.0
2021-04-06,261.8,272.6,259.4,260.8,13258.0
2021-04-07,261.0,266.2,253.4,258.2,9638.0
2021-04-08,257.8,260.8,253.3,260.0,7550.0
2021-04-09,262.0,262.0,253.4,257.4,6546.0
2021-04-10,262.0,262.0,253.4,257.4,6546.0
2021-04-11,262.0,262.0,253.4,257.4,6546.0
2021-04-12,257.4,259.4,250.0,255.2,4770.0
2021-04-13,253.6,257.8,246.4,254.2,10942.0
2021-04-14,255.0,264.6,255.0,256.8,8021.0
2021-04-15,258.2,258.6,248.6,249.6,6082.0
2021-04-16,252.8,255.0,247.6,253.2,7875.0
2021-04-17,252.8,255.0,247.6,253.2,7875.0
2021-04-18,252.8,255.0,247.6,253.2,7875.0
2021-04-19,252.2,258.0,249.4,253.6,8059.0
2021-04-20,252.0,252.8,233.0,235.6,12677.0
2021-04-21,235.2,248.6,233.0,246.6,7108.0
2021-04-22,247.2,253.0,239.4,241.4,7518.0
2021-04-23,243.2,253.6,243.2,251.2,6324.0
2021-04-24,243.2,253.6,243.2,251.2,6324.0
2021-04-25,243.2,253.6,243.2,251.2,6324.0
2021-04-26,253.2,256.0,246.6,249.2,6507.0
2021-04-27,250.8,257.6,245.2,247.8,11047.0
2021-04-28,249.0,254.3,245.8,250.6,7311.0
2021-04-29,254.8,273.6,251.002,272.0,18524.0
2021-04-30,262.6,268.8,254.5,258.8,13650.0
2021-05-01,262.6,268.8,254.5,258.8,13650.0
2021-05-02,262.6,268.8,254.5,258.8,13650.0
2021-05-03,260.6,261.6,249.8,250.4,13408.0
2021-05-04,248.0,251.2,242.0,249.4,11060.0
2021-05-05,249.2,250.2,237.6,240.8,7761.0
2021-05-06,224.0,224.0,176.0,205.4,79411.0
2021-05-07,204.4,214.8,191.6,193.4,31136.0
2021-05-08,204.4,214.8,191.6,193.4,31136.0
2021-05-09,204.4,214.8,191.6,193.4,31136.0
