,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-04-11,498.21,518.685,490.883,516.03,716313.0
2022-04-12,517.43,529.47,504.08,506.84,433296.0
2022-04-13,500.45,521.14,498.5,520.67,493959.0
2022-04-14,516.45,522.39,506.0,507.06,713147.0
2022-04-15,516.45,522.39,506.0,507.06,713147.0
2022-04-16,516.45,522.39,506.0,507.06,713147.0
2022-04-17,516.45,522.39,506.0,507.06,713147.0
2022-04-18,507.09,507.23,493.78,503.7,337386.0
2022-04-19,510.0,540.56,507.705,537.08,558196.0
2022-04-20,534.8,536.76,516.09,518.07,629626.0
2022-04-21,532.3,532.93,496.06,503.13,512941.0
2022-04-22,573.95,578.63,540.97,541.04,1147444.0
2022-04-23,573.95,578.63,540.97,541.04,1147444.0
2022-04-24,573.95,578.63,540.97,541.04,1147444.0
2022-04-25,534.23,544.73,520.145,543.31,723192.0
2022-04-26,532.84,539.42,514.13,514.51,471377.0
2022-04-27,517.43,521.35,504.98,508.08,437774.0
2022-04-28,515.39,517.74,499.44,515.32,415815.0
2022-04-29,512.68,519.97,486.19,487.64,533259.0
2022-04-30,512.68,519.97,486.19,487.64,533259.0
2022-05-01,512.68,519.97,486.19,487.64,533259.0
2022-05-02,491.39,500.565,479.1,497.67,544540.0
2022-05-03,505.56,519.4,498.1,512.62,451568.0
2022-05-04,516.43,540.055,505.55,537.51,536515.0
2022-05-05,524.79,527.02,500.67,513.37,558004.0
2022-05-06,511.44,511.44,466.56,493.74,789416.0
2022-05-07,511.44,511.44,466.56,493.74,789416.0
2022-05-08,511.44,511.44,466.56,493.74,789416.0
2022-05-09,485.27,489.71,465.274,469.81,961999.0
2022-05-10,474.67,480.7,448.74,459.98,805330.0
2022-05-11,459.05,471.85,439.72,441.36,642591.0
2022-05-12,436.3,448.71,422.74,435.57,765464.0
2022-05-13,448.375,461.64,441.93,449.28,467250.0
2022-05-14,448.375,461.64,441.93,449.28,467250.0
2022-05-15,448.375,461.64,441.93,449.28,467250.0
2022-05-16,444.29,446.52,430.38,432.15,518291.0
2022-05-17,441.0,451.76,434.44,447.99,587344.0
2022-05-18,439.84,448.58,430.13,431.25,712086.0
2022-05-19,427.09,445.03,425.15,435.5,621188.0
2022-05-20,442.65,444.59,419.6,434.7,574276.0
2022-05-21,442.65,444.59,419.6,434.7,574276.0
2022-05-22,442.65,444.59,419.6,434.7,574276.0
2022-05-23,442.71,451.44,431.69,448.0,463491.0
2022-05-24,441.06,447.065,420.15,427.98,848363.0
2022-05-25,429.14,457.795,427.93,452.72,606839.0
2022-05-26,455.24,475.31,455.09,473.11,489101.0
2022-05-27,473.11,492.46,473.11,492.02,671909.0
2022-05-28,473.11,492.46,473.11,492.02,671909.0
2022-05-29,473.11,492.46,473.11,492.02,671909.0
2022-05-30,473.11,492.46,473.11,492.02,671909.0
2022-05-31,483.83,494.88,478.285,488.57,1178208.0
2022-06-01,492.47,496.68,465.84,474.72,456658.0
2022-06-02,478.0,492.15,472.51,491.99,375813.0
2022-06-03,481.97,484.93,474.56,480.28,367446.0
2022-06-04,481.97,484.93,474.56,480.28,367446.0
2022-06-05,481.97,484.93,474.56,480.28,367446.0
2022-06-06,492.61,496.83,481.07,483.26,291073.0
2022-06-07,475.6,492.48,472.93,491.96,365538.0
2022-06-08,486.75,491.51,478.3,485.86,529116.0
2022-06-09,486.36,486.59,469.64,470.67,592703.0
2022-06-10,454.9,462.89,440.72,442.88,827728.0
2022-06-11,454.9,462.89,440.72,442.88,827728.0
2022-06-12,454.9,462.89,440.72,442.88,827728.0
2022-06-13,419.52,424.37,399.61,402.14,1259234.0
2022-06-14,408.45,409.941,400.04,406.39,498222.0
2022-06-15,410.6,430.55,406.28,419.04,699464.0
2022-06-16,406.69,406.69,384.83,389.13,748134.0
2022-06-17,398.1,405.33,387.99,399.76,768818.0
2022-06-18,398.1,405.33,387.99,399.76,768818.0
2022-06-19,398.1,405.33,387.99,399.76,768818.0
2022-06-20,398.1,405.33,387.99,399.76,768818.0
2022-06-21,412.39,416.49,401.81,402.82,468036.0
2022-06-22,398.77,405.0,393.26,400.15,666175.0
2022-06-23,399.95,404.466,388.465,401.08,579031.0
2022-06-24,406.64,419.34,405.01,415.52,1167574.0
2022-06-25,406.64,419.34,405.01,415.52,1167574.0
2022-06-26,406.64,419.34,405.01,415.52,1167574.0
2022-06-27,420.71,424.76,410.25,412.28,375702.0
2022-06-28,416.16,425.0,404.34,404.65,318859.0
2022-06-29,400.96,404.45,393.16,402.56,476835.0
2022-06-30,390.25,399.22,374.99,394.99,941894.0
2022-07-01,393.58,409.48,390.935,400.67,389640.0
2022-07-02,393.58,409.48,390.935,400.67,389640.0
2022-07-03,393.58,409.48,390.935,400.67,389640.0
2022-07-04,393.58,409.48,390.935,400.67,389640.0
2022-07-05,388.01,412.49,385.22,412.41,499551.0
2022-07-06,408.78,417.15,402.38,407.23,339257.0
2022-07-07,413.14,425.06,413.14,423.2,364883.0
2022-07-08,418.75,424.85,412.29,418.63,349535.0
2022-07-09,418.75,424.85,412.29,418.63,349535.0
2022-07-10,418.75,424.85,412.29,418.63,349535.0
2022-07-11,413.13,417.42,405.88,408.51,256020.0
2022-07-12,405.61,421.97,403.55,411.5,290421.0
2022-07-13,400.44,410.095,395.77,406.3,419503.0
2022-07-14,400.21,400.65,387.45,393.14,458302.0
2022-07-15,402.64,412.335,396.04,408.62,594091.0
2022-07-16,402.64,412.335,396.04,408.62,594091.0
2022-07-17,402.64,412.335,396.04,408.62,594091.0
2022-07-18,416.64,427.23,411.84,413.81,419913.0
2022-07-19,411.0,427.96,411.0,426.7,388227.0
2022-07-20,427.18,435.095,422.105,434.54,377379.0
2022-07-21,428.28,437.86,421.5,436.17,726977.0
2022-07-22,385.0,392.0,355.371,361.36,2255346.0
2022-07-23,385.0,392.0,355.371,361.36,2255346.0
2022-07-24,385.0,392.0,355.371,361.36,2255346.0
2022-07-25,366.92,392.49,364.81,391.16,1075307.0
2022-07-26,385.58,393.57,364.95,364.99,764795.0
2022-07-27,370.46,383.5,369.46,379.43,555503.0
2022-07-28,378.65,390.8,371.76,390.78,431644.0
2022-07-29,389.14,409.64,387.24,403.55,655064.0
2022-07-30,389.14,409.64,387.24,403.55,655064.0
2022-07-31,389.14,409.64,387.24,403.55,655064.0
2022-08-01,398.55,401.87,390.11,398.0,352624.0
2022-08-02,395.82,401.12,389.62,400.19,513025.0
2022-08-03,406.56,417.67,406.0,413.4,528720.0
2022-08-04,415.76,417.58,407.59,416.26,478911.0
2022-08-05,414.33,421.08,408.961,413.21,302509.0
