,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity
2020-06-01,149.553,152.29,148.999,150.739,949778.0
2020-06-02,151.488,162.736,149.796,162.474,1638142.0
2020-06-03,164.029,169.24,162.07,169.172,1415875.0
2020-06-04,168.015,172.264,168.015,171.661,1224912.0
2020-06-05,173.79,174.743,169.663,172.089,1095549.0
2020-06-06,173.79,174.743,169.663,172.089,1095549.0
2020-06-07,173.79,174.743,169.663,172.089,1095549.0
2020-06-08,170.971,175.063,169.921,174.461,1074107.0
2020-06-09,172.964,172.983,167.825,170.164,1078002.0
2020-06-10,170.99,171.865,169.541,170.173,833350.0
2020-06-11,167.646,169.216,161.949,163.961,1002855.0
2020-06-12,167.519,168.569,159.819,163.31,793192.0
2020-06-13,167.519,168.569,159.819,163.31,793192.0
2020-06-14,167.519,168.569,159.819,163.31,793192.0
2020-06-15,159.868,164.389,159.256,164.262,841566.0
2020-06-16,168.346,168.909,162.964,165.021,758200.0
2020-06-17,165.682,168.015,164.155,165.73,626673.0
2020-06-18,164.71,167.5,164.019,166.09,895712.0
2020-06-19,168.034,168.457,162.668,163.232,934505.0
2020-06-20,168.034,168.457,162.668,163.232,934505.0
2020-06-21,168.034,168.457,162.668,163.232,934505.0
2020-06-22,163.436,167.325,162.639,166.605,520125.0
2020-06-23,167.286,167.981,166.012,166.858,513247.0
2020-06-24,165.662,166.62,161.404,161.55,665450.0
2020-06-25,161.035,163.446,158.847,163.271,465033.0
2020-06-26,162.755,163.835,161.258,162.872,1111627.0
2020-06-27,162.755,163.835,161.258,162.872,1111627.0
2020-06-28,162.755,163.835,161.258,162.872,1111627.0
2020-06-29,163.164,164.165,161.093,163.057,443148.0
2020-06-30,162.367,167.84,162.085,167.101,823882.0
2020-07-01,167.607,170.193,167.475,168.744,682997.0
2020-07-02,170.057,171.048,167.053,167.121,689554.0
2020-07-03,170.057,171.048,167.053,167.121,689554.0
2020-07-04,170.057,171.048,167.053,167.121,689554.0
2020-07-05,170.057,171.048,167.053,167.121,689554.0
2020-07-06,168.9,169.736,166.484,166.78,884359.0
2020-07-07,166.333,167.821,163.368,164.01,1332925.0
2020-07-08,163.786,165.376,163.786,164.398,750401.0
2020-07-09,163.98,164.637,155.882,157.292,1839523.0
2020-07-10,156.65,158.935,156.096,158.575,679606.0
2020-07-11,156.65,158.935,156.096,158.575,679606.0
2020-07-12,156.65,158.935,156.096,158.575,679606.0
2020-07-13,160.5,162.036,158.488,159.09,708783.0
2020-07-14,158.342,159.479,156.956,158.896,845228.0
2020-07-15,160.578,161.19,158.837,160.354,715605.0
2020-07-16,160.237,161.064,158.254,160.617,628264.0
2020-07-17,161.521,162.862,160.587,162.162,785864.0
2020-07-18,161.521,162.862,160.587,162.162,785864.0
2020-07-19,161.521,162.862,160.587,162.162,785864.0
2020-07-20,161.832,164.175,161.472,163.135,864217.0
2020-07-21,163.698,164.379,161.185,161.705,771523.0
2020-07-22,161.958,164.504,161.842,163.339,1231112.0
2020-07-23,170.134,176.706,169.522,171.729,2603416.0
2020-07-24,172.04,172.04,161.005,162.512,1315469.0
2020-07-25,172.04,172.04,161.005,162.512,1315469.0
2020-07-26,172.04,172.04,161.005,162.512,1315469.0
2020-07-27,163.203,163.485,159.197,160.762,978198.0
2020-07-28,160.83,161.579,157.729,157.865,916068.0
2020-07-29,157.535,161.438,157.535,161.025,572502.0
2020-07-30,159.149,160.053,157.613,158.886,487075.0
2020-07-31,159.314,159.858,155.999,158.04,522248.0
2020-08-01,159.314,159.858,155.999,158.04,522248.0
2020-08-02,159.314,159.858,155.999,158.04,522248.0
2020-08-03,158.721,159.187,157.156,158.332,411749.0
2020-08-04,157.943,158.935,155.765,156.281,523977.0
2020-08-05,157.34,158.643,157.272,158.099,469991.0
2020-08-06,157.593,158.604,157.593,158.254,387452.0
2020-08-07,158.565,162.085,158.089,162.007,594885.0
2020-08-08,158.565,162.085,158.089,162.007,594885.0
2020-08-09,158.565,162.085,158.089,162.007,594885.0
2020-08-10,161.764,162.503,159.411,160.092,808479.0
2020-08-11,160.83,162.717,157.408,159.926,981204.0
2020-08-12,160.539,163.601,160.539,162.221,389924.0
2020-08-13,160.889,162.93,160.889,162.104,386445.0
2020-08-14,161.501,162.454,159.367,160.16,321027.0
2020-08-15,161.501,162.454,159.367,160.16,321027.0
2020-08-16,161.501,162.454,159.367,160.16,321027.0
2020-08-17,161.278,161.905,159.751,159.8,366117.0
2020-08-18,159.897,161.968,159.455,160.218,709648.0
2020-08-19,160.51,160.607,156.776,157.321,523137.0
2020-08-20,156.232,157.525,155.358,156.971,598721.0
2020-08-21,156.145,156.524,153.889,154.9,730780.0
2020-08-22,156.145,156.524,153.889,154.9,730780.0
2020-08-23,156.145,156.524,153.889,154.9,730780.0
2020-08-24,155.456,155.753,153.224,155.329,1183028.0
2020-08-25,156.011,157.098,155.076,156.109,558172.0
2020-08-26,155.602,158.267,155.319,157.171,1112155.0
2020-08-27,158.077,162.804,157.553,161.966,713654.0
2020-08-28,162.024,164.743,160.821,164.09,709544.0
2020-08-29,162.024,164.743,160.821,164.09,709544.0
2020-08-30,162.024,164.743,160.821,164.09,709544.0
2020-08-31,163.935,164.549,161.43,163.993,676077.0
2020-09-01,163.174,164.948,162.258,164.402,623064.0
2020-09-02,165.328,170.279,164.724,169.704,515497.0
2020-09-03,168.846,169.74,163.087,164.558,531532.0
2020-09-04,166.205,167.17,161.391,162.161,769587.0
2020-09-05,166.205,167.17,161.391,162.161,769587.0
2020-09-06,166.205,167.17,161.391,162.161,769587.0
2020-09-07,166.205,167.17,161.391,162.161,769587.0
2020-09-08,160.679,162.108,156.245,159.656,1308897.0
2020-09-09,162.268,165.591,160.689,163.437,989203.0
2020-09-10,163.184,165.046,157.249,157.58,1129062.0
2020-09-11,158.253,158.779,156.206,158.418,915153.0
2020-09-12,158.253,158.779,156.206,158.418,915153.0
2020-09-13,158.253,158.779,156.206,158.418,915153.0
2020-09-14,160.26,161.225,159.091,159.169,823254.0
2020-09-15,160.27,160.407,155.465,156.157,562842.0
2020-09-16,156.635,157.268,154.715,155.076,647784.0
2020-09-17,153.38,155.3,151.59,155.115,969990.0
2020-09-18,154.12,155.076,150.476,151.957,1019661.0
2020-09-19,154.12,155.076,150.476,151.957,1019661.0
2020-09-20,154.12,155.076,150.476,151.957,1019661.0
2020-09-21,150.154,151.216,148.341,151.158,817757.0
2020-09-22,151.567,153.419,151.372,152.123,621985.0
2020-09-23,152.366,152.551,147.162,148.292,581086.0
2020-09-24,148.02,149.667,146.704,148.078,465957.0
2020-09-25,147.074,152.873,147.074,152.434,729929.0
2020-09-26,147.074,152.873,147.074,152.434,729929.0
2020-09-27,147.074,152.873,147.074,152.434,729929.0
2020-09-28,154.647,155.378,153.477,154.091,462898.0
2020-09-29,154.569,157.083,153.604,153.828,378503.0
2020-09-30,154.237,155.139,152.142,152.912,534064.0
2020-10-01,153.565,154.9,153.029,153.994,588854.0
2020-10-02,152.717,156.625,151.83,154.92,481295.0
2020-10-03,152.717,156.625,151.83,154.92,481295.0
2020-10-04,152.717,156.625,151.83,154.92,481295.0
2020-10-05,155.183,156.284,154.218,155.807,394888.0
2020-10-06,157.093,157.356,152.717,153.273,732378.0
2020-10-07,154.988,157.361,154.228,156.976,624248.0
2020-10-08,158.311,161.347,157.678,157.678,407109.0
2020-10-09,159.062,161.137,157.58,160.104,319707.0
2020-10-10,159.062,161.137,157.58,160.104,319707.0
2020-10-11,159.062,161.137,157.58,160.104,319707.0
2020-10-12,161.089,162.19,159.948,160.377,293406.0
2020-10-13,159.003,161.235,158.964,160.699,425909.0
2020-10-14,161.284,162.375,159.739,159.997,367626.0
2020-10-15,159.257,159.442,156.313,158.253,533919.0
2020-10-16,159.179,159.832,157.366,159.188,606097.0
2020-10-17,159.179,159.832,157.366,159.188,606097.0
2020-10-18,159.179,159.832,157.366,159.188,606097.0
2020-10-19,159.198,159.987,153.867,154.549,496810.0
2020-10-20,155.436,157.015,154.695,155.651,566568.0
2020-10-21,156.07,159.052,155.826,158.223,798749.0
2020-10-22,154.13,158.175,149.686,151.937,2601997.0
2020-10-23,153.36,153.36,145.973,149.062,1289575.0
2020-10-24,153.36,153.36,145.973,149.062,1289575.0
2020-10-25,153.36,153.36,145.973,149.062,1289575.0
2020-10-26,147.581,148.195,145.32,147.074,1124001.0
2020-10-27,147.064,148.292,143.985,144.053,792155.0
2020-10-28,141.811,143.498,136.539,137.309,1615996.0
2020-10-29,136.792,138.313,135.574,136.013,1635784.0
2020-10-30,135.243,136.714,132.524,133.128,1539776.0
2020-10-31,135.243,136.714,132.524,133.128,1539776.0
2020-11-01,135.243,136.714,132.524,133.128,1539776.0
2020-11-02,135.097,138.654,133.947,138.245,1395343.0
2020-11-03,140.057,147.24,139.57,146.187,1808393.0
2020-11-04,146.616,151.968,146.616,148.088,1254741.0
2020-11-05,150.251,150.934,147.698,147.795,1013862.0
2020-11-06,148.137,149.277,146.217,146.256,776302.0
2020-11-07,148.137,149.277,146.217,146.256,776302.0
2020-11-08,148.137,149.277,146.217,146.256,776302.0
2020-11-09,153.994,156.206,147.898,148.039,1013241.0
2020-11-10,147.659,151.82,145.71,150.68,1812924.0
2020-11-11,151.723,155.387,151.226,155.144,1529067.0
2020-11-12,154.988,158.769,154.218,158.389,2136812.0
2020-11-13,160.134,160.943,157.658,160.894,1227739.0
2020-11-14,160.134,160.943,157.658,160.894,1227739.0
2020-11-15,160.134,160.943,157.658,160.894,1227739.0
2020-11-16,162.073,167.346,161.747,167.151,1023731.0
2020-11-17,165.718,167.657,164.022,167.579,724102.0
2020-11-18,168.223,169.802,167.326,167.579,894744.0
2020-11-19,166.157,169.85,165.699,169.197,691604.0
2020-11-20,169.304,170.118,166.917,167.277,504610.0
2020-11-21,169.304,170.118,166.917,167.277,504610.0
2020-11-22,169.304,170.118,166.917,167.277,504610.0
2020-11-23,168.186,168.674,165.744,168.586,596133.0
2020-11-24,169.583,169.666,161.837,161.954,1171856.0
2020-11-25,161.934,165.138,161.837,162.149,614608.0
2020-11-26,161.934,165.138,161.837,162.149,614608.0
2020-11-27,161.983,163.165,160.425,160.918,316289.0
2020-11-28,161.983,163.165,160.425,160.918,316289.0
2020-11-29,161.983,163.165,160.425,160.918,316289.0
2020-11-30,161.495,164.054,161.231,163.028,1117092.0
2020-12-01,164.532,166.726,162.989,163.067,472359.0
2020-12-02,162.52,162.96,159.546,160.791,664347.0
2020-12-03,161.026,163.263,160.664,161.416,430709.0
2020-12-04,162.159,163.438,161.846,162.637,956399.0
2020-12-05,162.159,163.438,161.846,162.637,956399.0
2020-12-06,162.159,163.438,161.846,162.637,956399.0
2020-12-07,163.077,167.346,162.774,166.867,612516.0
2020-12-08,171.898,185.746,171.79,179.956,2075754.0
2020-12-09,179.116,179.507,175.17,175.805,1081829.0
2020-12-10,174.808,179.224,174.232,179.136,726061.0
2020-12-11,180.777,185.143,180.572,183.775,726237.0
2020-12-12,180.777,185.143,180.572,183.775,726237.0
2020-12-13,180.777,185.143,180.572,183.775,726237.0
2020-12-14,183.121,186.725,183.121,184.733,623655.0
2020-12-15,187.106,189.539,186.178,189.089,557080.0
2020-12-16,188.132,190.623,188.122,188.767,612503.0
2020-12-17,188.962,191.912,188.513,189.255,435259.0
2020-12-18,189.021,191.092,188.23,190.642,829587.0
2020-12-19,189.021,191.092,188.23,190.642,829587.0
2020-12-20,189.021,191.092,188.23,190.642,829587.0
2020-12-21,187.673,190.379,184.913,190.037,469537.0
2020-12-22,189.451,190.115,188.347,189.529,353990.0
2020-12-23,189.666,190.33,188.279,188.396,555455.0
2020-12-24,188.923,189.968,188.562,189.46,153140.0
2020-12-25,188.923,189.968,188.562,189.46,153140.0
2020-12-26,188.923,189.968,188.562,189.46,153140.0
2020-12-27,188.923,189.968,188.562,189.46,153140.0
2020-12-28,191.375,191.375,188.747,189.167,352735.0
2020-12-29,190.388,191.297,185.153,186.325,333722.0
2020-12-30,186.423,187.907,185.719,186.735,263824.0
2020-12-31,187.419,188.738,185.573,188.366,487749.0
2021-01-01,187.419,188.738,185.573,188.366,487749.0
2021-01-02,187.419,188.738,185.573,188.366,487749.0
2021-01-03,187.419,188.738,185.573,188.366,487749.0
2021-01-04,188.972,189.9,180.879,183.6,703986.0
2021-01-05,184.049,185.944,182.603,185.475,644603.0
2021-01-06,183.561,184.435,177.67,177.739,1135216.0
2021-01-07,178.891,179.732,176.244,177.084,742012.0
2021-01-08,176.84,182.457,176.321,181.744,873867.0
2021-01-09,176.84,182.457,176.321,181.744,873867.0
2021-01-10,176.84,182.457,176.321,181.744,873867.0
2021-01-11,180.152,182.945,179.058,180.406,369221.0
2021-01-12,179.458,181.128,177.973,179.644,473000.0
2021-01-13,180.279,181.036,177.739,177.924,275582.0
2021-01-14,178.1,178.188,172.454,173.509,635454.0
2021-01-15,173.558,174.716,171.702,172.894,461626.0
2021-01-16,173.558,174.716,171.702,172.894,461626.0
2021-01-17,173.558,174.716,171.702,172.894,461626.0
2021-01-18,173.558,174.716,171.702,172.894,461626.0
2021-01-19,173.08,173.485,171.233,171.937,425885.0
2021-01-20,172.308,175.141,171.937,174.007,412372.0
2021-01-21,173.031,176.049,173.031,174.349,456846.0
2021-01-22,174.066,175.873,173.202,174.594,458087.0
2021-01-23,174.066,175.873,173.202,174.594,458087.0
2021-01-24,174.066,175.873,173.202,174.594,458087.0
2021-01-25,173.509,175.805,171.844,174.603,459672.0
2021-01-26,176.176,177.7,174.115,176.303,443286.0
2021-01-27,173.949,177.514,172.269,174.564,829672.0
2021-01-28,176.069,180.572,174.735,176.938,800978.0
2021-01-29,176.274,177.602,172.64,173.001,728803.0
2021-01-30,176.274,177.602,172.64,173.001,728803.0
2021-01-31,176.274,177.602,172.64,173.001,728803.0
2021-02-01,174.144,176.342,173.695,176.127,559142.0
2021-02-02,177.436,178.159,176.225,176.274,486067.0
2021-02-03,176.127,176.127,172.962,174.642,651919.0
2021-02-04,175.57,178.364,175.277,176.694,448339.0
2021-02-05,178.1,178.1,173.773,174.496,534439.0
2021-02-06,178.1,178.1,173.773,174.496,534439.0
2021-02-07,178.1,178.1,173.773,174.496,534439.0
2021-02-08,174.994,175.932,173.719,175.248,985744.0
2021-02-09,175.824,179.194,175.424,178.96,687050.0
2021-02-10,180.142,180.267,178.13,178.755,929238.0
2021-02-11,176.811,177.28,169.583,172.845,1792466.0
2021-02-12,172.826,175.141,171.985,173.08,1244046.0
2021-02-13,172.826,175.141,171.985,173.08,1244046.0
2021-02-14,172.826,175.141,171.985,173.08,1244046.0
2021-02-15,172.826,175.141,171.985,173.08,1244046.0
2021-02-16,172.62,173.099,168.762,170.774,959259.0
2021-02-17,169.553,172.718,167.419,172.493,912234.0
2021-02-18,171.966,174.755,171.819,173.441,937278.0
2021-02-19,173.441,174.733,171.796,172.824,1525920.0
2021-02-20,173.441,174.733,171.796,172.824,1525920.0
2021-02-21,173.441,174.733,171.796,172.824,1525920.0
2021-02-22,173.764,174.009,165.766,166.353,850551.0
2021-02-23,166.461,168.83,164.562,168.252,1330872.0
2021-02-24,169.163,169.452,165.776,167.107,1017899.0
2021-02-25,166.206,167.352,159.011,160.059,1502568.0
2021-02-26,161.361,164.111,158.463,158.473,1757766.0
2021-02-27,161.361,164.111,158.463,158.473,1757766.0
2021-02-28,161.361,164.111,158.463,158.473,1757766.0
2021-03-01,159.814,165.492,159.814,163.103,1276422.0
2021-03-02,163.407,164.875,161.796,162.594,680957.0
2021-03-03,163.426,164.978,161.625,163.524,1041169.0
2021-03-04,163.886,166.735,159.442,160.382,909270.0
2021-03-05,161.693,166.392,159.383,166.177,923311.0
2021-03-06,161.693,166.392,159.383,166.177,923311.0
2021-03-07,161.693,166.392,159.383,166.177,923311.0
2021-03-08,166.696,172.305,166.422,169.496,947395.0
2021-03-09,171.082,174.253,169.368,171.219,641862.0
2021-03-10,172.168,173.049,168.908,168.918,775776.0
2021-03-11,168.654,169.31,166.02,167.127,717345.0
2021-03-12,167.988,169.662,166.216,166.941,570684.0
2021-03-13,167.988,169.662,166.216,166.941,570684.0
2021-03-14,167.988,169.662,166.216,166.941,570684.0
2021-03-15,167.058,170.318,166.657,169.995,503143.0
2021-03-16,170.044,171.503,167.567,168.938,450604.0
2021-03-17,168.155,169.271,166.353,168.37,559829.0
2021-03-18,167.117,170.338,165.864,169.065,665300.0
2021-03-19,168.448,171.816,167.831,170.514,1048475.0
2021-03-20,168.448,171.816,167.831,170.514,1048475.0
2021-03-21,168.448,171.816,167.831,170.514,1048475.0
2021-03-22,170.406,172.501,168.908,171.444,491502.0
2021-03-23,171.62,174.41,170.347,171.786,709891.0
2021-03-24,170.945,172.408,170.347,170.739,496371.0
2021-03-25,171.679,173.852,169.378,173.274,375539.0
2021-03-26,173.284,178.717,173.079,178.659,572074.0
2021-03-27,173.284,178.717,173.079,178.659,572074.0
2021-03-28,173.284,178.717,173.079,178.659,572074.0
2021-03-29,177.748,181.106,177.249,179.824,704405.0
2021-03-30,179.217,180.098,177.42,179.422,922883.0
2021-03-31,177.68,179.882,177.288,177.317,977793.0
2021-04-01,177.455,178.962,174.165,178.766,575670.0
2021-04-02,177.455,178.962,174.165,178.766,575670.0
2021-04-03,177.455,178.962,174.165,178.766,575670.0
2021-04-04,177.455,178.962,174.165,178.766,575670.0
2021-04-05,180.264,183.402,179.74,182.809,398065.0
2021-04-06,182.614,182.805,180.528,181.126,401736.0
2021-04-07,181.507,181.507,177.043,177.768,612936.0
2021-04-08,178.854,181.488,178.854,179.873,736300.0
2021-04-09,179.628,181.928,178.962,181.899,356241.0
2021-04-10,179.628,181.928,178.962,181.899,356241.0
2021-04-11,179.628,181.928,178.962,181.899,356241.0
2021-04-12,182.261,183.475,181.204,183.279,286262.0
2021-04-13,182.584,185.11,182.193,184.033,458992.0
2021-04-14,182.829,184.043,181.106,181.625,404251.0
2021-04-15,183.671,185.017,183.03,184.386,354757.0
2021-04-16,185.11,187.567,184.288,186.96,801767.0
2021-04-17,185.11,187.567,184.288,186.96,801767.0
2021-04-18,185.11,187.567,184.288,186.96,801767.0
2021-04-19,185.482,186.246,184.532,185.599,511339.0
2021-04-20,185.609,189.74,185.394,188.154,629035.0
2021-04-21,188.164,190.347,187.665,188.575,911909.0
2021-04-22,213.31,222.153,208.213,216.75,3209107.0
2021-04-23,217.787,226.294,216.505,224.885,1551032.0
2021-04-24,217.787,226.294,216.505,224.885,1551032.0
2021-04-25,217.787,226.294,216.505,224.885,1551032.0
2021-04-26,225.325,226.833,220.274,220.783,897018.0
2021-04-27,222.702,230.024,222.271,229.408,885150.0
2021-04-28,229.809,229.907,222.261,222.516,1175867.0
2021-04-29,224.513,224.513,219.824,223.201,926507.0
2021-04-30,223.23,224.425,219.432,224.405,936297.0
2021-05-01,223.23,224.425,219.432,224.405,936297.0
2021-05-02,223.23,224.425,219.432,224.405,936297.0
2021-05-03,225.648,230.524,224.855,228.967,879552.0
2021-05-04,227.352,232.09,226.324,232.021,696303.0
