,LGND US Equity,LGND US Equity,LGND US Equity,LGND US Equity,LGND US Equity
2020-02-17,59.556,61.022,58.895,60.629,274708.0
2020-02-18,60.629,61.34,60.174,61.14,207987.0
2020-02-19,61.701,64.283,61.352,63.223,386118.0
2020-02-20,63.017,64.358,62.157,63.198,277762.0
2020-02-21,63.179,63.441,62.063,62.811,298603.0
2020-02-22,63.179,63.441,62.063,62.811,298603.0
2020-02-23,63.179,63.441,62.063,62.811,298603.0
2020-02-24,61.271,63.784,60.648,62.406,559925.0
2020-02-25,63.31,64.551,61.309,62.001,442414.0
2020-02-26,62.624,64.227,61.809,63.99,341225.0
2020-02-27,68.592,76.124,64.308,64.451,1427183.0
2020-02-28,63.048,65.137,55.191,58.365,1384426.0
2020-02-29,63.048,65.137,55.191,58.365,1384426.0
2020-03-01,63.048,65.137,55.191,58.365,1384426.0
2020-03-02,59.687,64.246,56.202,64.096,818140.0
2020-03-03,63.84,66.671,63.366,63.84,636692.0
2020-03-04,64.651,67.37,64.439,67.27,346170.0
2020-03-05,65.861,67.17,64.794,66.49,358381.0
2020-03-06,64.932,67.856,63.267,67.064,685900.0
2020-03-07,64.932,67.856,63.267,67.064,685900.0
2020-03-08,64.932,67.856,63.267,67.064,685900.0
2020-03-09,63.504,66.902,58.952,58.995,999969.0
2020-03-10,61.053,61.296,55.023,61.184,691965.0
2020-03-11,59.743,64.85,56.439,57.262,998470.0
2020-03-12,53.776,56.102,50.898,51.232,839499.0
2020-03-13,53.614,53.745,43.649,50.777,895010.0
2020-03-14,53.614,53.745,43.649,50.777,895010.0
2020-03-15,53.614,53.745,43.649,50.777,895010.0
2020-03-16,44.317,47.572,39.496,39.515,1143025.0
2020-03-17,40.164,52.491,35.693,49.311,1079527.0
2020-03-18,45.283,51.668,44.024,47.01,997246.0
2020-03-19,45.794,56.744,45.39,50.515,816146.0
2020-03-20,51.226,51.634,42.677,45.439,807184.0
2020-03-21,51.226,51.634,42.677,45.439,807184.0
2020-03-22,51.226,51.634,42.677,45.439,807184.0
2020-03-23,47.646,47.646,43.244,43.986,480063.0
2020-03-24,44.585,47.515,43.518,46.256,692348.0
2020-03-25,46.287,48.045,42.82,43.593,585945.0
2020-03-26,43.78,46.281,42.677,45.47,717171.0
2020-03-27,44.08,44.798,41.576,41.648,745856.0
2020-03-28,44.08,44.798,41.576,41.648,745856.0
2020-03-29,44.08,44.798,41.576,41.648,745856.0
2020-03-30,42.122,44.485,41.193,44.404,538705.0
2020-03-31,44.497,47.048,43.35,45.345,804635.0
2020-04-01,43.924,45.165,41.947,42.577,645787.0
2020-04-02,42.396,47.509,41.935,44.865,810681.0
2020-04-03,44.797,46.508,44.248,45.663,565259.0
2020-04-04,44.797,46.508,44.248,45.663,565259.0
2020-04-05,44.797,46.508,44.248,45.663,565259.0
2020-04-06,48.052,50.166,46.187,48.289,748918.0
2020-04-07,49.885,51.388,48.332,48.781,606792.0
2020-04-08,48.975,53.003,48.638,51.762,427395.0
2020-04-09,52.573,54.811,51.469,53.888,417934.0
2020-04-10,52.573,54.811,51.469,53.888,417934.0
2020-04-11,52.573,54.811,51.469,53.888,417934.0
2020-04-12,52.573,54.811,51.469,53.888,417934.0
2020-04-13,54.555,56.549,53.003,56.127,345740.0
2020-04-14,57.368,59.151,56.17,56.819,520786.0
2020-04-15,54.605,55.41,52.791,55.11,410710.0
2020-04-16,55.597,56.738,54.013,55.248,218527.0
2020-04-17,58.06,62.65,56.753,58.602,647448.0
2020-04-18,58.06,62.65,56.753,58.602,647448.0
2020-04-19,58.06,62.65,56.753,58.602,647448.0
2020-04-20,57.449,61.327,56.919,60.691,554330.0
2020-04-21,59.407,61.608,58.609,60.086,425048.0
2020-04-22,61.714,61.714,58.372,60.423,237208.0
2020-04-23,60.966,63.522,55.94,57.916,573950.0
2020-04-24,58.403,61.178,57.386,60.878,240681.0
2020-04-25,58.403,61.178,57.386,60.878,240681.0
2020-04-26,58.403,61.178,57.386,60.878,240681.0
2020-04-27,61.726,62.269,59.862,60.093,219889.0
2020-04-28,61.134,61.477,57.761,58.104,287634.0
2020-04-29,65.193,69.957,61.159,63.055,721973.0
2020-04-30,62.032,63.229,60.66,61.465,280346.0
2020-05-01,60.249,60.392,56.847,57.991,363927.0
2020-05-02,60.249,60.392,56.847,57.991,363927.0
2020-05-03,60.249,60.392,56.847,57.991,363927.0
2020-05-04,58.21,59.737,57.255,59.725,336807.0
2020-05-05,60.772,62.319,59.862,62.281,358833.0
2020-05-06,63.391,64.034,60.224,63.285,450428.0
2020-05-07,62.649,67.613,61.795,64.302,475433.0
2020-05-08,65.424,65.555,63.603,64.252,313751.0
2020-05-09,65.424,65.555,63.603,64.252,313751.0
2020-05-10,65.424,65.555,63.603,64.252,313751.0
2020-05-11,63.173,66.746,62.774,66.497,478187.0
2020-05-12,67.195,68.118,64.027,64.077,435886.0
2020-05-13,63.547,64.698,61.078,61.315,529821.0
2020-05-14,60.298,60.966,57.941,58.677,434796.0
2020-05-15,58.328,62.562,57.393,61.577,401578.0
2020-05-16,58.328,62.562,57.393,61.577,401578.0
2020-05-17,58.328,62.562,57.393,61.577,401578.0
2020-05-18,63.179,65.917,63.179,64.763,476101.0
2020-05-19,64.227,65.087,62.637,62.649,201171.0
2020-05-20,63.728,65.181,63.005,64.389,208880.0
2020-05-21,63.965,66.609,63.348,66.085,200408.0
2020-05-22,66.054,67.893,65.215,67.744,202542.0
2020-05-23,66.054,67.893,65.215,67.744,202542.0
2020-05-24,66.054,67.893,65.215,67.744,202542.0
2020-05-25,66.054,67.893,65.215,67.744,202542.0
2020-05-26,69.321,69.484,65.649,66.017,290139.0
2020-05-27,66.335,66.522,62.069,65.331,291256.0
2020-05-28,66.01,66.01,62.487,62.849,324418.0
2020-05-29,62.662,63.578,60.733,63.335,293647.0
2020-05-30,62.662,63.578,60.733,63.335,293647.0
2020-05-31,62.662,63.578,60.733,63.335,293647.0
2020-06-01,63.316,64.507,62.387,63.753,311360.0
2020-06-02,64.121,70.325,63.653,69.072,516024.0
2020-06-03,69.39,74.237,69.346,73.605,650533.0
2020-06-04,72.657,75.202,72.336,74.765,473634.0
2020-06-05,76.823,77.923,75.214,76.075,346270.0
2020-06-06,76.823,77.923,75.214,76.075,346270.0
2020-06-07,76.823,77.923,75.214,76.075,346270.0
2020-06-08,75.881,77.34,75.308,76.798,292293.0
2020-06-09,76.181,77.621,75.046,77.103,226994.0
2020-06-10,77.64,77.814,73.075,73.318,282986.0
2020-06-11,71.766,71.766,68.829,68.947,348090.0
2020-06-12,70.138,70.887,66.041,68.068,330064.0
2020-06-13,70.138,70.887,66.041,68.068,330064.0
2020-06-14,70.138,70.887,66.041,68.068,330064.0
2020-06-15,66.908,70.472,65.836,69.521,242224.0
2020-06-16,71.604,71.604,67.731,69.203,190570.0
2020-06-17,69.39,70.032,68.008,69.334,275138.0
2020-06-18,69.097,69.749,68.087,68.143,256177.0
2020-06-19,68.922,72.483,67.257,72.483,910977.0
2020-06-20,68.922,72.483,67.257,72.483,910977.0
2020-06-21,68.922,72.483,67.257,72.483,910977.0
2020-06-22,72.452,74.241,68.754,72.913,383667.0
2020-06-23,73.624,73.624,69.621,72.034,283822.0
2020-06-24,71.834,71.834,68.124,68.598,190669.0
2020-06-25,68.592,70.394,67.937,70.313,197489.0
2020-06-26,69.945,72.82,68.904,70.363,886481.0
2020-06-27,69.945,72.82,68.904,70.363,886481.0
2020-06-28,69.945,72.82,68.904,70.363,886481.0
2020-06-29,71.142,72.084,69.708,70.475,237681.0
2020-06-30,70.232,71.663,68.766,69.745,335648.0
2020-07-01,69.452,71.08,68.286,69.783,352722.0
2020-07-02,70.862,70.862,68.324,69.614,350791.0
2020-07-03,70.862,70.862,68.324,69.614,350791.0
2020-07-04,70.862,70.862,68.324,69.614,350791.0
2020-07-05,70.862,70.862,68.324,69.614,350791.0
2020-07-06,69.764,73.306,69.59,70.974,263639.0
2020-07-07,70.724,71.678,68.405,68.461,334984.0
2020-07-08,68.66,70.706,67.893,69.82,232441.0
2020-07-09,69.44,71.261,68.86,69.97,208236.0
2020-07-10,68.91,73.169,68.904,71.747,226883.0
2020-07-11,68.91,73.169,68.904,71.747,226883.0
2020-07-12,68.91,73.169,68.904,71.747,226883.0
2020-07-13,72.701,73.693,70.487,70.812,198127.0
2020-07-14,72.458,74.509,70.631,74.466,198553.0
2020-07-15,74.547,76.04,73.593,74.06,210958.0
2020-07-16,73.524,75.526,73.187,75.276,230433.0
2020-07-17,75.594,77.103,74.84,76.58,215427.0
2020-07-18,75.594,77.103,74.84,76.58,215427.0
2020-07-19,75.594,77.103,74.84,76.58,215427.0
2020-07-20,76.704,78.413,76.075,78.257,161813.0
2020-07-21,78.45,78.779,75.887,76.131,181554.0
2020-07-22,76.081,77.421,76.081,76.91,129130.0
2020-07-23,76.623,78.974,75.582,76.1,244841.0
2020-07-24,75.844,75.844,73.418,74.678,168673.0
2020-07-25,75.844,75.844,73.418,74.678,168673.0
2020-07-26,75.844,75.844,73.418,74.678,168673.0
2020-07-27,75.046,77.509,74.257,77.434,151653.0
2020-07-28,77.322,78.419,75.164,76.262,184900.0
2020-07-29,76.262,78.538,76.218,77.696,272150.0
2020-07-30,76.555,79.691,76.555,79.018,134548.0
2020-07-31,79.348,79.629,70.004,73.069,566601.0
2020-08-01,79.348,79.629,70.004,73.069,566601.0
2020-08-02,79.348,79.629,70.004,73.069,566601.0
2020-08-03,74.827,74.827,69.371,74.254,607366.0
2020-08-04,76.274,76.676,72.801,73.537,405885.0
2020-08-05,73.78,74.029,71.273,72.62,196151.0
2020-08-06,71.984,72.788,71.03,71.99,150545.0
2020-08-07,71.934,73.412,71.71,73.368,169422.0
2020-08-08,71.934,73.412,71.71,73.368,169422.0
2020-08-09,71.934,73.412,71.71,73.368,169422.0
2020-08-10,73.537,74.198,72.674,73.992,143839.0
2020-08-11,74.64,74.821,69.762,69.777,328710.0
2020-08-12,70.213,71.211,67.108,69.689,339164.0
2020-08-13,70.381,72.102,69.789,70.587,187543.0
2020-08-14,70.057,71.055,69.022,70.618,146125.0
2020-08-15,70.057,71.055,69.022,70.618,146125.0
2020-08-16,70.057,71.055,69.022,70.618,146125.0
2020-08-17,71.41,73.598,70.606,72.67,193252.0
2020-08-18,72.327,73.237,71.457,72.227,163793.0
2020-08-19,72.071,73.1,71.348,71.554,135546.0
2020-08-20,71.036,72.433,70.874,71.71,107559.0
2020-08-21,71.298,72.177,69.318,69.826,163550.0
2020-08-22,71.298,72.177,69.318,69.826,163550.0
2020-08-23,71.298,72.177,69.318,69.826,163550.0
2020-08-24,69.147,69.652,66.889,66.971,191921.0
2020-08-25,67.401,67.968,66.306,67.594,144464.0
2020-08-26,67.158,67.781,65.412,65.705,167451.0
2020-08-27,66.104,66.104,63.635,64.464,193547.0
2020-08-28,64.638,64.838,63.953,64.383,124186.0
2020-08-29,64.638,64.838,63.953,64.383,124186.0
2020-08-30,64.638,64.838,63.953,64.383,124186.0
2020-08-31,64.894,65.078,63.154,63.603,176407.0
2020-09-01,63.447,64.414,62.453,63.472,225021.0
2020-09-02,63.435,65.393,62.955,64.364,197838.0
2020-09-03,63.965,64.133,60.373,61.564,246096.0
2020-09-04,61.564,62.506,60.037,61.776,288472.0
2020-09-05,61.564,62.506,60.037,61.776,288472.0
2020-09-06,61.564,62.506,60.037,61.776,288472.0
2020-09-07,61.564,62.506,60.037,61.776,288472.0
2020-09-08,60.766,63.479,59.874,61.795,365182.0
2020-09-09,62.219,63.441,61.938,63.005,210350.0
2020-09-10,63.903,64.158,61.595,62.369,366859.0
2020-09-11,63.186,64.32,62.45,63.46,302005.0
2020-09-12,63.186,64.32,62.45,63.46,302005.0
2020-09-13,63.186,64.32,62.45,63.46,302005.0
2020-09-14,64.189,64.85,61.034,61.284,382019.0
2020-09-15,61.508,62.886,59.496,59.856,370300.0
2020-09-16,60.224,61.231,59.295,59.357,197728.0
2020-09-17,58.895,59.974,57.815,58.708,192483.0
2020-09-18,59.238,59.525,56.32,57.418,399303.0
2020-09-19,59.238,59.525,56.32,57.418,399303.0
2020-09-20,59.238,59.525,56.32,57.418,399303.0
2020-09-21,56.713,56.713,54.524,56.102,464400.0
2020-09-22,56.227,56.557,55.419,55.846,253504.0
2020-09-23,62.107,62.107,57.767,58.104,780034.0
2020-09-24,57.58,60.305,56.894,58.814,483904.0
2020-09-25,58.814,60.841,58.428,60.598,216009.0
2020-09-26,58.814,60.841,58.428,60.598,216009.0
2020-09-27,58.814,60.841,58.428,60.598,216009.0
2020-09-28,61.377,61.814,59.332,59.706,191934.0
2020-09-29,60.828,61.39,59.123,59.737,251053.0
2020-09-30,59.725,61.371,59.351,59.438,149094.0
2020-10-01,59.862,61.359,58.515,61.234,186856.0
2020-10-02,60.629,62.387,59.8,60.579,209261.0
2020-10-03,60.629,62.387,59.8,60.579,209261.0
2020-10-04,60.629,62.387,59.8,60.579,209261.0
2020-10-05,61.003,63.173,60.529,62.518,289566.0
2020-10-06,65.534,66.643,62.573,63.117,358578.0
2020-10-07,63.223,65.187,63.223,64.919,193063.0
2020-10-08,65.68,65.786,63.763,64.875,192027.0
2020-10-09,65.474,65.848,63.148,63.36,225612.0
2020-10-10,65.474,65.848,63.148,63.36,225612.0
2020-10-11,65.474,65.848,63.148,63.36,225612.0
2020-10-12,63.541,64.483,62.356,63.697,163354.0
2020-10-13,63.697,64.86,63.063,63.884,184722.0
2020-10-14,64.071,64.483,62.325,62.362,122337.0
2020-10-15,61.745,62.219,59.238,59.781,275418.0
2020-10-16,60.249,61.19,58.54,60.679,205687.0
2020-10-17,60.249,61.19,58.54,60.679,205687.0
2020-10-18,60.249,61.19,58.54,60.679,205687.0
2020-10-19,60.822,61.706,57.374,57.979,258201.0
2020-10-20,57.979,58.827,55.085,55.322,731762.0
2020-10-21,54.88,55.503,49.922,50.228,824485.0
2020-10-22,50.509,53.888,50.509,52.841,427056.0
2020-10-23,55.447,55.478,52.379,53.015,700343.0
2020-10-24,55.447,55.478,52.379,53.015,700343.0
2020-10-25,55.447,55.478,52.379,53.015,700343.0
2020-10-26,52.685,53.695,51.675,52.965,1298621.0
2020-10-27,53.127,53.876,52.579,53.739,344368.0
2020-10-28,53.003,54.428,52.442,52.641,324340.0
2020-10-29,52.753,53.576,50.134,51.799,456698.0
2020-10-30,50.203,52.778,48.8,51.413,547689.0
2020-10-31,50.203,52.778,48.8,51.413,547689.0
2020-11-01,50.203,52.778,48.8,51.413,547689.0
2020-11-02,52.13,53.552,50.727,51.693,293060.0
2020-11-03,51.986,54.287,51.974,53.82,300930.0
2020-11-04,54.381,57.212,54.312,54.593,276102.0
2020-11-05,55.534,55.715,54.437,54.905,197936.0
2020-11-06,54.767,55.313,52.342,53.876,251855.0
2020-11-07,54.767,55.313,52.342,53.876,251855.0
2020-11-08,54.767,55.313,52.342,53.876,251855.0
2020-11-09,55.204,56.202,50.714,50.989,662548.0
2020-11-10,50.982,52.467,50.633,51.282,615054.0
2020-11-11,51.806,53.003,51.687,52.161,175682.0
2020-11-12,51.955,53.832,51.756,52.915,251197.0
2020-11-13,53.315,53.82,51.631,52.198,264117.0
2020-11-14,53.315,53.82,51.631,52.198,264117.0
2020-11-15,53.315,53.82,51.631,52.198,264117.0
2020-11-16,52.236,52.753,50.533,51.132,396468.0
2020-11-17,50.795,52.529,50.257,51.868,344803.0
2020-11-18,52.148,52.997,50.764,50.808,246602.0
2020-11-19,50.939,51.435,49.586,50.845,244649.0
2020-11-20,50.496,52.148,50.097,51.893,209486.0
2020-11-21,50.496,52.148,50.097,51.893,209486.0
2020-11-22,50.496,52.148,50.097,51.893,209486.0
2020-11-23,52.049,53.888,50.964,53.782,349991.0
2020-11-24,53.782,54.955,53.545,53.944,201411.0
2020-11-25,53.626,54.625,53.583,54.506,194859.0
2020-11-26,53.626,54.625,53.583,54.506,194859.0
2020-11-27,54.849,55.678,53.021,53.576,175355.0
2020-11-28,54.849,55.678,53.021,53.576,175355.0
2020-11-29,54.849,55.678,53.021,53.576,175355.0
2020-11-30,53.333,55.466,52.267,52.61,411961.0
2020-12-01,53.233,53.776,51.288,52.304,323987.0
2020-12-02,52.442,52.891,51.793,52.03,223924.0
2020-12-03,51.893,53.626,51.537,53.24,264486.0
2020-12-04,53.458,54.512,52.984,53.976,188612.0
2020-12-05,53.458,54.512,52.984,53.976,188612.0
2020-12-06,53.458,54.512,52.984,53.976,188612.0
2020-12-07,53.188,54.599,53.188,54.032,234704.0
2020-12-08,53.938,54.743,53.383,54.574,261931.0
2020-12-09,54.923,56.364,54.58,56.276,246047.0
2020-12-10,55.946,58.266,55.609,57.443,343981.0
2020-12-11,57.405,59.164,56.775,57.891,292549.0
2020-12-12,57.405,59.164,56.775,57.891,292549.0
2020-12-13,57.405,59.164,56.775,57.891,292549.0
2020-12-14,58.072,67.345,58.072,63.472,1110993.0
2020-12-15,64.302,64.601,59.609,60.635,472384.0
2020-12-16,60.317,61.153,58.846,59.719,260725.0
2020-12-17,59.8,62.93,58.958,62.78,279354.0
2020-12-18,63.036,63.479,61.433,61.795,750214.0
2020-12-19,63.036,63.479,61.433,61.795,750214.0
2020-12-20,63.036,63.479,61.433,61.795,750214.0
2020-12-21,60.685,62.306,60.387,62.007,209863.0
2020-12-22,62.394,64.944,61.608,64.339,229893.0
2020-12-23,64.813,67.02,64.095,65.892,240447.0
2020-12-24,66.278,66.54,65.511,66.129,162315.0
2020-12-25,66.278,66.54,65.511,66.129,162315.0
2020-12-26,66.278,66.54,65.511,66.129,162315.0
2020-12-27,66.278,66.54,65.511,66.129,162315.0
2020-12-28,66.815,66.815,64.423,64.632,203343.0
2020-12-29,64.695,64.894,61.234,61.62,156898.0
2020-12-30,61.652,65.193,61.652,63.996,204691.0
2020-12-31,63.709,63.709,61.134,62.013,298439.0
2021-01-01,63.709,63.709,61.134,62.013,298439.0
2021-01-02,63.709,63.709,61.134,62.013,298439.0
2021-01-03,63.709,63.709,61.134,62.013,298439.0
2021-01-04,62.082,65.792,62.082,63.023,707450.0
2021-01-05,62.892,63.335,61.533,62.057,204116.0
2021-01-06,61.751,64.682,61.493,64.09,286476.0
2021-01-07,64.127,67.432,64.127,66.858,228440.0
2021-01-08,66.721,67.875,64.252,66.297,227146.0
2021-01-09,66.721,67.875,64.252,66.297,227146.0
2021-01-10,66.721,67.875,64.252,66.297,227146.0
2021-01-11,66.484,68.592,65.462,68.274,234664.0
2021-01-12,68.916,69.552,68.037,68.841,254618.0
2021-01-13,68.904,72.134,68.109,69.34,260924.0
2021-01-14,70.082,76.692,69.409,76.249,473350.0
2021-01-15,76.081,78.569,75.451,76.91,310418.0
2021-01-16,76.081,78.569,75.451,76.91,310418.0
2021-01-17,76.081,78.569,75.451,76.91,310418.0
2021-01-18,76.081,78.569,75.451,76.91,310418.0
2021-01-19,78.232,82.04,77.796,81.5,475186.0
2021-01-20,81.768,85.26,81.599,84.212,488427.0
2021-01-21,84.673,84.736,80.564,84.112,301943.0
2021-01-22,83.913,89.537,83.314,88.932,473537.0
2021-01-23,83.913,89.537,83.314,88.932,473537.0
2021-01-24,83.913,89.537,83.314,88.932,473537.0
2021-01-25,93.472,104.334,90.591,97.282,1868443.0
2021-01-26,100.019,101.329,94.102,97.812,1143978.0
2021-01-27,106.006,123.958,95.947,101.603,5579534.0
2021-01-28,96.658,123.939,96.621,119.468,3526962.0
2021-01-29,116.606,120.541,110.764,115.577,1469303.0
2021-01-30,116.606,120.541,110.764,115.577,1469303.0
2021-01-31,116.606,120.541,110.764,115.577,1469303.0
2021-02-01,118.439,119.574,105.108,112.26,1531508.0
2021-02-02,107.515,111.618,104.808,110.42,1363572.0
2021-02-03,112.497,118.123,103.134,110.682,888172.0
2021-02-04,106.879,112.84,104.659,112.316,1146484.0
2021-02-05,112.899,127.101,111.618,126.602,979473.0
2021-02-06,112.899,127.101,111.618,126.602,979473.0
2021-02-07,112.899,127.101,111.618,126.602,979473.0
2021-02-08,127.213,130.917,121.146,129.844,575766.0
2021-02-09,129.701,136.392,127.444,134.583,670547.0
2021-02-10,136.56,137.028,126.15,131.484,672250.0
2021-02-11,131.017,132.039,111.699,112.266,605909.0
2021-02-12,111.786,114.542,105.264,107.54,584127.0
2021-02-13,111.786,114.542,105.264,107.54,584127.0
2021-02-14,111.786,114.542,105.264,107.54,584127.0
2021-02-15,111.786,114.542,105.264,107.54,584127.0
2021-02-16,112.38,112.38,96.92,100.425,851197.0
2021-02-17,97.425,100.045,90.423,92.805,907875.0
2021-02-18,92.013,93.188,89.681,90.348,325919.0
2021-02-19,90.554,92.643,88.259,89.088,313593.0
2021-02-20,90.554,92.643,88.259,89.088,313593.0
2021-02-21,90.554,92.643,88.259,89.088,313593.0
2021-02-22,88.733,91.227,86.451,87.261,298040.0
2021-02-23,85.054,91.198,81.693,88.034,477661.0
2021-02-24,88.577,91.321,86.101,91.252,263940.0
2021-02-25,91.882,98.847,89.64,93.665,533187.0
2021-02-26,91.851,95.854,89.269,92.424,303360.0
2021-02-27,91.851,95.854,89.269,92.424,303360.0
2021-02-28,91.851,95.854,89.269,92.424,303360.0
2021-03-01,93.996,98.504,91.134,97.6,256829.0
2021-03-02,96.116,100.531,95.205,95.318,411559.0
2021-03-03,96.266,96.446,90.846,92.156,254410.0
2021-03-04,92.081,93.223,86.338,88.365,266464.0
2021-03-05,88.147,91.763,84.393,90.042,360236.0
2021-03-06,88.147,91.763,84.393,90.042,360236.0
2021-03-07,88.147,91.763,84.393,90.042,360236.0
2021-03-08,89.606,91.932,85.571,86.887,225970.0
2021-03-09,88.989,96.428,88.989,94.962,345652.0
2021-03-10,96.11,98.46,90.211,91.639,236769.0
2021-03-11,92.63,104.26,92.462,97.737,455984.0
2021-03-12,99.009,103.742,95.729,102.751,312914.0
2021-03-13,99.009,103.742,95.729,102.751,312914.0
2021-03-14,99.009,103.742,95.729,102.751,312914.0
2021-03-15,103.574,107.371,100.833,101.79,200423.0
2021-03-16,102.04,105.37,100.038,101.341,174898.0
2021-03-17,100.705,104.253,98.386,103.499,146052.0
2021-03-18,103.599,104.515,96.403,96.59,230461.0
2021-03-19,96.752,101.984,96.284,99.739,952613.0
2021-03-20,96.752,101.984,96.284,99.739,952613.0
2021-03-21,96.752,101.984,96.284,99.739,952613.0
2021-03-22,100.624,104.079,100.624,102.607,154548.0
2021-03-23,102.208,102.757,92.287,93.522,258784.0
2021-03-24,93.834,97.772,89.169,89.219,166918.0
2021-03-25,87.698,96.478,86.675,95.848,203546.0
2021-03-26,96.184,98.13,93.017,95.704,126840.0
2021-03-27,96.184,98.13,93.017,95.704,126840.0
2021-03-28,96.184,98.13,93.017,95.704,126840.0
2021-03-29,95.305,96.615,90.791,92.867,98818.0
2021-03-30,92.125,94.339,91.352,92.979,82542.0
2021-03-31,93.534,98.018,93.534,95.062,163981.0
2021-04-01,96.209,97.768,94.588,96.403,120331.0
2021-04-02,96.209,97.768,94.588,96.403,120331.0
2021-04-03,96.209,97.768,94.588,96.403,120331.0
2021-04-04,96.209,97.768,94.588,96.403,120331.0
2021-04-05,98.273,98.273,94.813,95.729,114000.0
2021-04-06,95.748,99.751,95.748,96.122,132381.0
2021-04-07,95.474,97.176,94.358,95.648,142116.0
2021-04-08,96.222,98.292,96.222,97.051,139931.0
2021-04-09,96.29,97.313,95.09,95.679,116541.0
2021-04-10,96.29,97.313,95.09,95.679,116541.0
2021-04-11,96.29,97.313,95.09,95.679,116541.0
2021-04-12,95.255,95.823,90.298,90.354,169786.0
2021-04-13,90.516,93.241,88.646,91.664,110755.0
2021-04-14,92.094,95.835,92.047,94.177,116834.0
2021-04-15,94.944,95.654,92.58,92.836,77582.0
2021-04-16,93.647,94.719,92.499,93.678,110836.0
2021-04-17,93.647,94.719,92.499,93.678,110836.0
2021-04-18,93.647,94.719,92.499,93.678,110836.0
2021-04-19,92.705,94.663,90.529,91.04,116673.0
2021-04-20,90.491,92.268,89.437,91.514,131139.0
2021-04-21,91.776,95.112,91.096,94.844,97734.0
2021-04-22,95.162,96.652,91.751,92.275,111684.0
2021-04-23,93.647,95.28,90.915,91.177,93540.0
2021-04-24,93.647,95.28,90.915,91.177,93540.0
2021-04-25,93.647,95.28,90.915,91.177,93540.0
2021-04-26,91.115,94.594,90.822,94.164,97224.0
2021-04-27,94.251,95.664,92.932,94.208,96244.0
2021-04-28,93.335,93.503,91.115,91.47,79328.0
2021-04-29,93.191,93.191,89.936,90.897,70576.0
2021-04-30,89.961,93.201,89.943,90.971,122486.0
2021-05-01,89.961,93.201,89.943,90.971,122486.0
2021-05-02,89.961,93.201,89.943,90.971,122486.0
2021-05-03,92.05,92.287,89.581,90.56,124906.0
2021-05-04,82.553,85.424,81.219,82.323,310727.0
2021-05-05,82.204,83.227,80.44,81.188,171222.0
2021-05-06,81.125,81.125,77.378,78.868,204806.0
2021-05-07,79.779,82.036,79.255,81.45,148583.0
2021-05-08,79.779,82.036,79.255,81.45,148583.0
2021-05-09,79.779,82.036,79.255,81.45,148583.0
