,BFH US Equity,BFH US Equity,BFH US Equity,BFH US Equity,BFH US Equity
2019-03-29,125.598,128.287,124.724,126.488,958406.0
2019-03-30,125.598,128.287,124.724,126.488,958406.0
2019-03-31,125.598,128.287,124.724,126.488,958406.0
2019-04-01,127.275,129.683,126.86,127.312,986660.0
2019-04-02,127.904,128.598,126.545,126.885,500899.0
2019-04-03,128.078,129.871,127.048,129.74,529652.0
2019-04-04,129.777,130.955,128.887,129.993,318336.0
2019-04-05,130.536,131.924,127.416,128.027,809124.0
2019-04-06,130.536,131.924,127.416,128.027,809124.0
2019-04-07,130.536,131.924,127.416,128.027,809124.0
2019-04-08,127.767,129.01,125.729,128.924,526156.0
2019-04-09,128.309,128.512,127.073,128.1,406143.0
2019-04-10,128.425,128.649,126.415,127.565,540795.0
2019-04-11,128.034,128.291,126.697,127.037,329269.0
2019-04-12,127.977,132.249,127.977,130.789,685597.0
2019-04-13,127.977,132.249,127.977,130.789,685597.0
2019-04-14,127.977,132.249,127.977,130.789,685597.0
2019-04-15,124.868,124.868,116.685,118.579,3057926.0
2019-04-16,119.158,119.801,117.922,118.211,1019195.0
2019-04-17,119.172,120.636,118.341,118.97,807079.0
2019-04-18,118.659,119.111,116.928,117.538,1154830.0
2019-04-19,118.659,119.111,116.928,117.538,1154830.0
2019-04-20,118.659,119.111,116.928,117.538,1154830.0
2019-04-21,118.659,119.111,116.928,117.538,1154830.0
2019-04-22,117.097,118.167,115.666,116.201,683950.0
2019-04-23,116.497,119.555,115.666,117.842,1110346.0
2019-04-24,117.856,120.083,116.938,119.129,726190.0
2019-04-25,115.659,115.767,110.303,111.307,1977468.0
2019-04-26,111.372,114.857,111.278,113.331,1182689.0
2019-04-27,111.372,114.857,111.278,113.331,1182689.0
2019-04-28,111.372,114.857,111.278,113.331,1182689.0
2019-04-29,113.787,115.5,113.201,114.264,465212.0
2019-04-30,114.264,116.129,114.264,115.731,711186.0
2019-05-01,116.237,116.736,113.18,113.18,587091.0
2019-05-02,112.861,113.48,111.04,111.77,570607.0
2019-05-03,112.84,113.418,111.951,113.172,445015.0
2019-05-04,112.84,113.418,111.951,113.172,445015.0
2019-05-05,112.84,113.418,111.951,113.172,445015.0
2019-05-06,110.621,111.994,110.288,111.365,479554.0
2019-05-07,109.587,109.941,108.062,109.088,674237.0
2019-05-08,108.597,109.688,108.091,108.416,500766.0
2019-05-09,107.245,108.083,105.568,106.919,984735.0
2019-05-10,106.298,108.018,104.816,107.7,549831.0
2019-05-11,106.298,108.018,104.816,107.7,549831.0
2019-05-12,106.298,108.018,104.816,107.7,549831.0
2019-05-13,104.811,105.856,103.134,103.315,403507.0
2019-05-14,103.548,106.161,103.533,105.159,574619.0
2019-05-15,104.216,106.306,103.962,105.602,679965.0
2019-05-16,105.697,107.867,105.697,107.243,470452.0
2019-05-17,105.682,107.562,105.261,105.733,533529.0
2019-05-18,105.682,107.562,105.261,105.733,533529.0
2019-05-19,105.682,107.562,105.261,105.733,533529.0
2019-05-20,104.608,105.174,103.606,103.889,443058.0
2019-05-21,105.254,107.076,104.775,106.589,473399.0
2019-05-22,105.74,106.328,104.978,105.305,629062.0
2019-05-23,104.121,104.121,102.299,103.032,564999.0
2019-05-24,104.078,105.087,102.96,104.056,379109.0
2019-05-25,104.078,105.087,102.96,104.056,379109.0
2019-05-26,104.078,105.087,102.96,104.056,379109.0
2019-05-27,104.078,105.087,102.96,104.056,379109.0
2019-05-28,104.223,104.804,102.786,103.134,552316.0
2019-05-29,102.364,103.315,101.236,103.127,641540.0
2019-05-30,103.127,104.299,101.722,102.103,407967.0
2019-05-31,101.174,101.203,99.715,99.816,470915.0
2019-06-01,101.174,101.203,99.715,99.816,470915.0
2019-06-02,101.174,101.203,99.715,99.816,470915.0
2019-06-03,99.816,100.992,98.466,99.163,579908.0
2019-06-04,100.542,103.686,100.542,103.613,374658.0
2019-06-05,104.266,104.441,101.145,102.285,617811.0
2019-06-06,102.081,103.591,101.443,103.207,542263.0
2019-06-07,103.925,104.891,103.432,103.678,425466.0
2019-06-08,103.925,104.891,103.432,103.678,425466.0
2019-06-09,103.925,104.891,103.432,103.678,425466.0
2019-06-10,104.528,104.891,98.771,98.982,1168985.0
2019-06-11,99.737,100.622,99.105,99.991,688862.0
2019-06-12,99.904,100.165,98.829,99.94,455868.0
2019-06-13,100.129,102.139,100.056,101.907,378693.0
2019-06-14,101.508,101.776,100.557,101.486,361941.0
2019-06-15,101.508,101.776,100.557,101.486,361941.0
2019-06-16,101.508,101.776,100.557,101.486,361941.0
2019-06-17,101.508,101.747,99.773,100.15,648126.0
2019-06-18,101.029,102.023,99.729,99.824,637602.0
2019-06-19,100.092,100.335,99.054,99.41,516487.0
2019-06-20,101.007,101.108,99.679,100.317,692025.0
2019-06-21,100.129,100.39,99.326,99.541,811302.0
2019-06-22,100.129,100.39,99.326,99.541,811302.0
2019-06-23,100.129,100.39,99.326,99.541,811302.0
2019-06-24,99.403,100.041,97.13,97.617,557248.0
2019-06-25,97.45,98.633,96.956,97.581,644049.0
2019-06-26,98.125,98.778,98.002,98.277,541012.0
2019-06-27,98.437,99.773,97.944,99.671,491984.0
2019-06-28,100.208,101.878,99.758,101.726,1468826.0
2019-06-29,100.208,101.878,99.758,101.726,1468826.0
2019-06-30,100.208,101.878,99.758,101.726,1468826.0
2019-07-01,103.061,104.462,102.121,103.635,757930.0
2019-07-02,103.497,106.764,102.488,106.285,992130.0
2019-07-03,106.415,106.873,105.145,106.575,432382.0
2019-07-04,106.415,106.873,105.145,106.575,432382.0
2019-07-05,106.292,107.642,105.649,107.62,383676.0
2019-07-06,106.292,107.642,105.649,107.62,383676.0
2019-07-07,106.292,107.642,105.649,107.62,383676.0
2019-07-08,106.793,109.13,106.147,106.502,656718.0
2019-07-09,106.72,107.802,105.631,107.446,656567.0
2019-07-10,107.62,108.364,106.793,107.395,547721.0
2019-07-11,108.179,108.499,106.88,107.417,458160.0
2019-07-12,107.729,108.876,106.513,108.6,620734.0
2019-07-13,107.729,108.876,106.513,108.6,620734.0
2019-07-14,107.729,108.876,106.513,108.6,620734.0
2019-07-15,108.687,108.956,107.408,108.905,488928.0
2019-07-16,108.6,109.951,108.564,109.435,620538.0
2019-07-17,109.174,109.725,108.295,109.428,799842.0
2019-07-18,110.524,115.591,110.005,114.698,2772067.0
2019-07-19,114.807,114.909,109.885,110.023,2151431.0
2019-07-20,114.807,114.909,109.885,110.023,2151431.0
2019-07-21,114.807,114.909,109.885,110.023,2151431.0
2019-07-22,110.706,111.794,110.181,110.88,1019836.0
2019-07-23,111.446,112.673,110.974,112.578,779893.0
2019-07-24,112.622,114.248,112.299,114.219,711627.0
2019-07-25,114.698,115.199,113.254,113.711,634646.0
2019-07-26,114.27,115.722,114.088,115.33,525136.0
2019-07-27,114.27,115.722,114.088,115.33,525136.0
2019-07-28,114.27,115.722,114.088,115.33,525136.0
2019-07-29,115.235,115.555,113.682,114.371,501931.0
2019-07-30,113.609,114.727,113.072,114.531,579820.0
2019-07-31,114.48,114.967,112.883,113.914,548696.0
2019-08-01,114.117,115.076,112.146,113.275,724666.0
2019-08-02,112.673,113.667,111.715,113.072,608590.0
2019-08-03,112.673,113.667,111.715,113.072,608590.0
2019-08-04,112.673,113.667,111.715,113.072,608590.0
2019-08-05,110.517,111.105,109.108,110.437,1004737.0
2019-08-06,111.33,111.562,109.591,111.417,771226.0
2019-08-07,109.871,111.315,109.108,111.221,1534005.0
2019-08-08,111.794,112.992,111.272,112.724,897281.0
2019-08-09,112.208,112.52,110.822,111.591,902823.0
2019-08-10,112.208,112.52,110.822,111.591,902823.0
2019-08-11,112.208,112.52,110.822,111.591,902823.0
2019-08-12,110.444,111.308,108.869,108.891,1489558.0
2019-08-13,108.971,111.94,108.971,110.662,1862069.0
2019-08-14,109.094,109.972,108.535,108.971,2513830.0
2019-08-15,109.711,111.686,109.268,110.706,3213865.0
2019-08-16,106.611,107.01,100.615,100.68,4969753.0
2019-08-17,106.611,107.01,100.615,100.68,4969753.0
2019-08-18,106.611,107.01,100.615,100.68,4969753.0
2019-08-19,100.796,101.457,98.517,99.12,1480793.0
2019-08-20,98.873,98.873,94.829,94.916,1641524.0
2019-08-21,99.453,101.602,98.002,100.23,2429292.0
2019-08-22,100.6,100.985,98.248,98.386,1080156.0
2019-08-23,97.777,99.025,94.328,94.793,1982466.0
2019-08-24,97.777,99.025,94.328,94.793,1982466.0
2019-08-25,97.777,99.025,94.328,94.793,1982466.0
2019-08-26,95.671,95.671,92.049,92.535,1376019.0
2019-08-27,92.659,92.818,88.456,88.622,1402486.0
2019-08-28,88.027,89.515,87.672,88.739,893872.0
2019-08-29,89.058,90.082,88.891,89.109,1226452.0
2019-08-30,89.537,90.136,88.622,89.254,709172.0
2019-08-31,89.537,90.136,88.622,89.254,709172.0
2019-09-01,89.537,90.136,88.622,89.254,709172.0
2019-09-02,89.537,90.136,88.622,89.254,709172.0
2019-09-03,89.531,89.692,86.394,89.057,1475780.0
2019-09-04,89.67,90.013,87.722,89.991,1589108.0
2019-09-05,91.02,93.282,90.961,92.662,826441.0
2019-09-06,92.829,93.296,91.895,91.91,632570.0
2019-09-07,92.829,93.296,91.895,91.91,632570.0
2019-09-08,92.829,93.296,91.895,91.91,632570.0
2019-09-09,92.72,94.946,92.559,94.15,776807.0
2019-09-10,94.004,96.58,93.818,96.522,1050762.0
2019-09-11,98.426,98.849,96.091,98.776,898963.0
2019-09-12,98.806,99.156,96.916,98.28,625165.0
2019-09-13,99.28,100.177,97.456,97.58,580836.0
2019-09-14,99.28,100.177,97.456,97.58,580836.0
2019-09-15,99.28,100.177,97.456,97.58,580836.0
2019-09-16,96.66,98.951,96.66,97.011,742021.0
2019-09-17,96.901,97.178,94.354,95.887,713076.0
2019-09-18,95.901,95.901,94.468,95.522,652006.0
2019-09-19,96.062,98.123,95.376,95.383,544552.0
2019-09-20,95.807,97.288,94.936,94.997,922306.0
2019-09-21,95.807,97.288,94.936,94.997,922306.0
2019-09-22,95.807,97.288,94.936,94.997,922306.0
2019-09-23,94.559,95.376,93.574,94.347,558331.0
2019-09-24,94.354,94.517,91.574,92.487,742049.0
2019-09-25,92.355,93.763,92.078,93.311,423050.0
2019-09-26,93.289,93.829,92.793,93.238,379627.0
2019-09-27,93.887,94.34,92.224,92.246,333114.0
2019-09-28,93.887,94.34,92.224,92.246,333114.0
2019-09-29,93.887,94.34,92.224,92.246,333114.0
2019-09-30,92.37,93.979,91.832,93.493,456660.0
2019-10-01,94.157,95.515,91.56,91.968,323617.0
2019-10-02,91.253,91.341,88.743,89.838,578695.0
2019-10-03,89.495,89.984,86.897,89.429,585054.0
2019-10-04,89.728,90.443,88.522,90.392,315733.0
2019-10-05,89.728,90.443,88.522,90.392,315733.0
2019-10-06,89.728,90.443,88.522,90.392,315733.0
2019-10-07,89.852,90.925,89.509,89.663,512402.0
2019-10-08,88.816,88.933,86.168,86.583,621791.0
2019-10-09,87.131,87.275,85.139,86.408,605777.0
2019-10-10,86.897,88.444,85.427,86.255,483259.0
2019-10-11,87.802,89.779,87.357,89.422,701360.0
2019-10-12,87.802,89.779,87.357,89.422,701360.0
2019-10-13,87.802,89.779,87.357,89.422,701360.0
2019-10-14,89.422,90.276,88.247,89.415,493777.0
2019-10-15,89.641,90.64,88.459,90.261,598184.0
2019-10-16,90.4,91.1,89.604,89.903,665872.0
2019-10-17,90.079,91.129,89.597,90.013,563174.0
2019-10-18,89.787,90.932,89.356,90.144,652756.0
2019-10-19,89.787,90.932,89.356,90.144,652756.0
2019-10-20,89.787,90.932,89.356,90.144,652756.0
2019-10-21,90.837,91.75,90.56,91.042,478515.0
2019-10-22,90.881,91.779,89.758,90.772,475721.0
2019-10-23,90.699,91.028,89.918,90.305,572909.0
2019-10-24,84.642,85.518,74.069,78.09,4086595.0
2019-10-25,77.601,78.287,75.981,76.47,1622903.0
2019-10-26,77.601,78.287,75.981,76.47,1622903.0
2019-10-27,77.601,78.287,75.981,76.47,1622903.0
2019-10-28,76.908,80.038,76.897,77.922,1118160.0
2019-10-29,75.449,77.105,75.157,75.872,2855057.0
2019-10-30,76.149,76.448,74.347,75.003,1070363.0
2019-10-31,74.733,75.113,72.384,72.968,1293773.0
2019-11-01,73.566,74.547,73.011,73.741,1076205.0
2019-11-02,73.566,74.547,73.011,73.741,1076205.0
2019-11-03,73.566,74.547,73.011,73.741,1076205.0
2019-11-04,74.449,75.803,74.431,74.668,778235.0
2019-11-05,75.149,76.718,75.084,75.799,993534.0
2019-11-06,75.587,76.558,74.93,75.631,705007.0
2019-11-07,76.609,77.893,76.609,76.908,1246716.0
2019-11-08,76.791,79.338,76.536,78.732,1166809.0
2019-11-09,76.791,79.338,76.536,78.732,1166809.0
2019-11-10,76.791,79.338,76.536,78.732,1166809.0
2019-11-11,79.199,80.848,78.564,78.834,1063266.0
2019-11-12,78.958,79.921,78.44,79.36,966289.0
2019-11-13,78.897,79.162,77.885,78.662,556741.0
2019-11-14,78.384,79.462,77.906,78.244,504874.0
2019-11-15,78.435,78.435,75.477,75.925,1486284.0
2019-11-16,78.435,78.435,75.477,75.925,1486284.0
2019-11-17,78.435,78.435,75.477,75.925,1486284.0
2019-11-18,75.741,77.151,75.653,76.916,1182154.0
2019-11-19,77.459,77.738,75.103,75.991,1227267.0
2019-11-20,75.793,75.896,74.274,74.288,1457317.0
2019-11-21,74.516,74.641,73.547,74.347,972768.0
2019-11-22,74.795,76.681,74.692,76.629,920195.0
2019-11-23,74.795,76.681,74.692,76.629,920195.0
2019-11-24,74.795,76.681,74.692,76.629,920195.0
2019-11-25,76.556,77.752,75.162,77.356,721146.0
2019-11-26,77.796,78.13,76.864,77.833,907530.0
2019-11-27,78.222,78.938,77.433,78.486,430619.0
2019-11-28,78.222,78.938,77.433,78.486,430619.0
2019-11-29,78.134,78.662,77.305,78.464,343162.0
2019-11-30,78.134,78.662,77.305,78.464,343162.0
2019-12-01,78.134,78.662,77.305,78.464,343162.0
2019-12-02,78.457,79.506,77.789,77.943,952038.0
2019-12-03,76.718,77.026,75.007,75.44,800238.0
2019-12-04,75.242,77.195,74.428,76.549,723550.0
2019-12-05,77.033,77.033,75.015,76.02,651101.0
2019-12-06,76.475,77.899,76.475,77.253,867027.0
2019-12-07,76.475,77.899,76.475,77.253,867027.0
2019-12-08,76.475,77.899,76.475,77.253,867027.0
2019-12-09,77.084,77.848,76.028,77.363,567175.0
2019-12-10,77.187,77.723,76.057,76.277,669651.0
2019-12-11,76.182,77.591,76.182,77.415,749928.0
2019-12-12,77.796,80.079,77.738,79.954,1046502.0
2019-12-13,79.961,82.273,79.961,80.769,1082355.0
2019-12-14,79.961,82.273,79.961,80.769,1082355.0
2019-12-15,79.961,82.273,79.961,80.769,1082355.0
2019-12-16,81.459,82.708,79.686,79.998,893091.0
2019-12-17,79.602,81.114,79.602,80.607,827518.0
2019-12-18,80.571,81.694,80.174,81.062,725006.0
2019-12-19,81.084,82.303,80.255,80.791,879747.0
2019-12-20,81.393,81.884,80.527,81.679,1608077.0
2019-12-21,81.393,81.884,80.527,81.679,1608077.0
2019-12-22,81.393,81.884,80.527,81.679,1608077.0
2019-12-23,81.723,82.295,81.334,81.811,458726.0
2019-12-24,82.09,82.09,81.15,81.459,189231.0
2019-12-25,82.09,82.09,81.15,81.459,189231.0
2019-12-26,81.811,81.972,80.497,80.974,438114.0
2019-12-27,81.451,81.906,80.806,81.4,465901.0
2019-12-28,81.451,81.906,80.806,81.4,465901.0
2019-12-29,81.451,81.906,80.806,81.4,465901.0
2019-12-30,81.305,81.84,80.717,81.239,475188.0
2019-12-31,80.717,82.545,80.152,82.347,602559.0
2020-01-01,80.717,82.545,80.152,82.347,602559.0
2020-01-02,83.272,84.027,81.745,82.552,652001.0
2020-01-03,81.158,81.972,79.279,81.011,570505.0
2020-01-04,81.158,81.972,79.279,81.011,570505.0
2020-01-05,81.158,81.972,79.279,81.011,570505.0
2020-01-06,80.262,81.444,79.541,81.378,654301.0
2020-01-07,80.82,81.385,79.969,80.916,530360.0
2020-01-08,80.659,81.327,79.661,80.886,819482.0
2020-01-09,81.554,82.031,80.468,81.283,537799.0
2020-01-10,81.774,82.765,80.813,82.251,715315.0
2020-01-11,81.774,82.765,80.813,82.251,715315.0
2020-01-12,81.774,82.765,80.813,82.251,715315.0
2020-01-13,82.325,82.783,80.776,82.508,667123.0
2020-01-14,81.62,83.205,81.62,82.31,802468.0
2020-01-15,81.884,83.708,81.672,83.066,812391.0
2020-01-16,83.991,84.857,82.963,83.69,446552.0
2020-01-17,83.851,84.02,82.699,82.868,576474.0
2020-01-18,83.851,84.02,82.699,82.868,576474.0
2020-01-19,83.851,84.02,82.699,82.868,576474.0
2020-01-20,83.851,84.02,82.699,82.868,576474.0
2020-01-21,82.78,83.139,81.965,82.09,512079.0
2020-01-22,82.53,83.015,81.899,81.921,479181.0
2020-01-23,81.605,82.163,79.433,82.053,568061.0
2020-01-24,82.347,82.347,78.722,78.824,1577813.0
2020-01-25,82.347,82.347,78.722,78.824,1577813.0
2020-01-26,82.347,82.347,78.722,78.824,1577813.0
2020-01-27,77.393,77.884,76.38,77.54,1053621.0
2020-01-28,77.929,79.367,77.818,78.773,826211.0
2020-01-29,79.389,80.938,79.015,80.505,1328892.0
2020-01-30,77.796,79.066,75.162,78.662,2129315.0
2020-01-31,78.229,78.229,75.228,75.44,1725738.0
2020-02-01,78.229,78.229,75.228,75.44,1725738.0
2020-02-02,78.229,78.229,75.228,75.44,1725738.0
2020-02-03,75.918,76.292,73.503,73.826,1245236.0
2020-02-04,74.905,76.02,74.875,75.154,816723.0
2020-02-05,75.954,79.631,75.954,78.42,1094387.0
2020-02-06,78.743,79.051,77.532,78.163,763929.0
2020-02-07,77.54,77.929,76.769,77.738,572890.0
2020-02-08,77.54,77.929,76.769,77.738,572890.0
2020-02-09,77.54,77.929,76.769,77.738,572890.0
2020-02-10,77.554,77.738,75.712,75.918,591721.0
2020-02-11,76.556,76.93,75.631,76.101,342163.0
2020-02-12,76.769,78.53,76.365,76.791,477856.0
2020-02-13,76.466,76.784,75.742,76.414,559772.0
2020-02-14,76.348,77.367,75.853,75.927,1280775.0
2020-02-15,76.348,77.367,75.853,75.927,1280775.0
2020-02-16,76.348,77.367,75.853,75.927,1280775.0
2020-02-17,76.348,77.367,75.853,75.927,1280775.0
2020-02-18,74.339,75.543,73.38,74.207,854906.0
2020-02-19,74.509,75.011,73.099,74.842,717939.0
2020-02-20,74.982,76.643,74.428,76.097,590703.0
2020-02-21,75.299,75.838,74.568,75.432,503662.0
2020-02-22,75.299,75.838,74.568,75.432,503662.0
2020-02-23,75.299,75.838,74.568,75.432,503662.0
2020-02-24,73.099,73.365,72.043,72.892,771742.0
2020-02-25,73.069,73.173,69.045,69.223,1134056.0
2020-02-26,69.695,70.374,67.089,67.148,969599.0
2020-02-27,65.287,67.037,63.685,64.755,1180896.0
2020-02-28,62.858,64.268,62.26,63.412,1868747.0
2020-02-29,62.858,64.268,62.26,63.412,1868747.0
2020-03-01,62.858,64.268,62.26,63.412,1868747.0
2020-03-02,64.039,64.039,60.621,63.552,1697764.0
2020-03-03,63.227,63.589,58.664,58.834,1034992.0
2020-03-04,59.424,59.83,57.158,59.579,1463964.0
2020-03-05,58.14,58.191,54.411,54.795,1060441.0
2020-03-06,52.617,55.09,51.369,53.613,1166492.0
2020-03-07,52.617,55.09,51.369,53.613,1166492.0
2020-03-08,52.617,55.09,51.369,53.613,1166492.0
2020-03-09,49.242,50.726,46.23,46.532,1144237.0
2020-03-10,49.198,49.449,44.066,46.931,1803410.0
2020-03-11,45.499,46.399,42.013,42.294,2058277.0
2020-03-12,38.934,39.134,34.15,34.571,1978334.0
2020-03-13,37.391,37.687,32.776,36.557,2558366.0
2020-03-14,37.391,37.687,32.776,36.557,2558366.0
2020-03-15,37.391,37.687,32.776,36.557,2558366.0
2020-03-16,26.581,31.809,26.559,26.663,2389018.0
2020-03-17,27.276,27.357,20.734,22.794,3849801.0
2020-03-18,21.285,21.285,15.506,16.695,2703355.0
2020-03-19,16.458,20.091,15.144,18.74,3435333.0
2020-03-20,20.128,22.956,19.788,20.342,3864781.0
2020-03-21,20.128,22.956,19.788,20.342,3864781.0
2020-03-22,20.128,22.956,19.788,20.342,3864781.0
2020-03-23,19.589,23.753,19.582,22.904,2098680.0
2020-03-24,25.038,31.314,24.226,31.019,2564904.0
2020-03-25,32.082,34.29,28.28,28.435,2156940.0
2020-03-26,29.535,31.595,26.884,27.726,1702849.0
2020-03-27,26.412,28.08,25.88,26.929,2085542.0
2020-03-28,26.412,28.08,25.88,26.929,2085542.0
2020-03-29,26.412,28.08,25.88,26.929,2085542.0
2020-03-30,27.01,27.01,24.219,25.326,1386949.0
2020-03-31,24.957,26.227,23.702,24.846,1291293.0
2020-04-01,23.436,23.739,22.24,22.919,1525989.0
2020-04-02,22.897,23.325,19.611,20.889,2273672.0
2020-04-03,20.977,21.177,18.928,19.56,1419626.0
2020-04-04,20.977,21.177,18.928,19.56,1419626.0
2020-04-05,20.977,21.177,18.928,19.56,1419626.0
2020-04-06,21.398,24.211,21.213,23.008,3188585.0
2020-04-07,25.311,29.077,25.311,26.264,2414518.0
2020-04-08,26.581,30.842,26.508,30.059,1825027.0
2020-04-09,33.064,34.187,27.408,28.486,2269271.0
2020-04-10,33.064,34.187,27.408,28.486,2269271.0
2020-04-11,33.064,34.187,27.408,28.486,2269271.0
2020-04-12,33.064,34.187,27.408,28.486,2269271.0
2020-04-13,27.224,27.689,24.95,26.449,2225970.0
2020-04-14,27.482,27.792,25.112,26.884,1908004.0
2020-04-15,25.297,25.673,24.13,25.489,1444503.0
2020-04-16,25.437,25.437,24.008,24.366,1555134.0
2020-04-17,25.651,28.014,25.636,27.955,1999133.0
2020-04-18,25.651,28.014,25.636,27.955,1999133.0
2020-04-19,25.651,28.014,25.636,27.955,1999133.0
2020-04-20,26.581,28.531,26.087,26.943,1203325.0
2020-04-21,25.843,27.541,25.843,26.559,1653243.0
2020-04-22,27.726,28.036,26.375,27.084,1322935.0
2020-04-23,27.091,30.458,26.279,29.823,2944825.0
2020-04-24,30.118,31.337,28.612,29.83,3935621.0
2020-04-25,30.118,31.337,28.612,29.83,3935621.0
2020-04-26,30.118,31.337,28.612,29.83,3935621.0
2020-04-27,30.421,31.558,29.912,30.561,2004789.0
2020-04-28,32.843,35.685,32.2,35.147,2104879.0
2020-04-29,38.174,40.876,37.856,40.566,2743784.0
2020-04-30,39.621,39.64,36.926,36.97,1748398.0
2020-05-01,35.265,35.368,33.234,34.246,1961517.0
2020-05-02,35.265,35.368,33.234,34.246,1961517.0
2020-05-03,35.265,35.368,33.234,34.246,1961517.0
