,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-03-20,274.2309,274.7259,267.1716,269.528,43466649.0
2023-03-21,272.1517,272.2705,266.844,271.0626,34558704.0
2023-03-22,270.6864,278.2506,269.4785,269.5874,34873330.0
2023-03-23,275.1813,278.2704,272.4685,274.9041,36610879.0
2023-03-24,274.4883,277.8446,272.5477,277.7852,28199962.0
2023-03-25,274.4883,277.8446,272.5477,277.7852,28199962.0
2023-03-26,274.4883,277.8446,272.5477,277.7852,28199962.0
2023-03-27,277.7159,278.6653,272.7854,273.6368,26840212.0
2023-03-28,273.0527,273.3992,269.3449,272.4982,21878647.0
2023-03-29,276.1912,278.3494,275.6467,277.7258,25087032.0
2023-03-30,281.4089,281.6366,278.6862,281.2307,25053410.0
2023-03-31,280.9139,286.3989,280.1911,285.4385,32765976.0
2023-04-01,280.9139,286.3989,280.1911,285.4385,32765976.0
2023-04-02,280.9139,286.3989,280.1911,285.4385,32765976.0
2023-04-03,283.6762,285.4088,281.1317,284.3791,24883342.0
2023-04-04,284.3791,287.5671,282.8346,284.3296,25824299.0
2023-04-05,283.0128,284.2999,280.1119,281.5178,22064770.0
2023-04-06,280.399,289.181,279.2307,288.7057,29770334.0
2023-04-07,280.399,289.181,279.2307,288.7057,29770334.0
2023-04-08,280.399,289.181,279.2307,288.7057,29770334.0
2023-04-09,280.399,289.181,279.2307,288.7057,29770334.0
2023-04-10,286.3375,286.7256,281.8841,286.5177,23102994.0
2023-04-11,282.9138,283.1415,278.8446,280.0228,27276589.0
2023-04-12,281.9633,284.1613,279.1614,280.6762,27403432.0
2023-04-13,280.7753,287.0226,280.3594,286.9632,24222678.0
2023-04-14,284.1514,285.6167,280.8743,283.2999,20987917.0
2023-04-15,284.1514,285.6167,280.8743,283.2999,20987917.0
2023-04-16,284.1514,285.6167,280.8743,283.2999,20987917.0
2023-04-17,287.0523,288.7057,283.3197,285.9335,23836223.0
2023-04-18,288.676,288.8592,284.1613,285.5078,20161845.0
2023-04-19,283.1514,286.1811,281.7158,285.587,17150271.0
2023-04-20,282.4188,286.1613,282.2505,283.2702,23244363.0
2023-04-21,282.1812,283.4287,280.2513,282.9237,21676387.0
2023-04-22,282.1812,283.4287,280.2513,282.9237,21676387.0
2023-04-23,282.1812,283.4287,280.2513,282.9237,21676387.0
2023-04-24,279.2901,282.1218,275.9536,278.9733,26611014.0
2023-04-25,276.7357,278.805,272.6368,272.6863,45772236.0
2023-04-26,293.7551,296.5966,289.8245,292.4383,64599182.0
2023-04-27,293.0324,302.1708,292.3195,301.8044,46462638.0
2023-04-28,300.9926,305.8637,300.2995,304.2103,36469613.0
2023-04-29,300.9926,305.8637,300.2995,304.2103,36469613.0
2023-04-30,300.9926,305.8637,300.2995,304.2103,36469613.0
2023-05-01,303.9232,305.537,302.1213,302.5272,21294115.0
2023-05-02,304.7054,306.1113,300.8936,302.3787,26404431.0
2023-05-03,303.5767,305.5469,301.0718,301.3787,22360754.0
2023-05-04,303.2004,304.7079,300.3886,302.3787,22519907.0
2023-05-05,302.6856,308.8736,301.25,307.5667,28197052.0
2023-05-06,302.6856,308.8736,301.25,307.5667,28197052.0
2023-05-07,302.6856,308.8736,301.25,307.5667,28197052.0
2023-05-08,307.0518,307.1211,303.0519,305.5865,21318613.0
2023-05-09,304.943,306.9627,303.2697,303.9529,21340829.0
2023-05-10,305.5568,309.8933,304.6162,309.2102,30078044.0
2023-05-11,307.0221,308.032,303.2203,307.032,31680179.0
2023-05-12,307.4677,307.5667,303.5569,305.9033,19774696.0
2023-05-13,307.4677,307.5667,303.5569,305.9033,19774696.0
2023-05-14,307.4677,307.5667,303.5569,305.9033,19774696.0
2023-05-15,306.0271,306.8291,304.537,306.3885,16336547.0
2023-05-16,306.7548,310.5963,306.7548,308.6459,26730347.0
2023-05-17,309.8662,311.9896,308.3282,311.5629,24315012.0
2023-05-18,312.0888,316.5638,311.2851,316.0479,27275991.0
2023-05-19,314.2817,316.2761,313.9145,315.8693,27546701.0
2023-05-20,314.2817,316.2761,313.9145,315.8693,27546701.0
2023-05-21,314.2817,316.2761,313.9145,315.8693,27546701.0
2023-05-22,316.1272,320.0863,315.5418,318.6872,24115664.0
2023-05-23,317.5461,320.2153,312.8032,312.8132,30797173.0
2023-05-24,312.2873,314.0435,310.1837,311.4141,23384887.0
2023-05-25,320.7312,324.3628,317.5164,323.3904,43301743.0
2023-05-26,321.5052,330.8124,321.3663,330.3063,36630633.0
2023-05-27,321.5052,330.8124,321.3663,330.3063,36630633.0
2023-05-28,321.5052,330.8124,321.3663,330.3063,36630633.0
2023-05-29,321.5052,330.8124,321.3663,330.3063,36630633.0
2023-05-30,332.6282,333.1342,327.9547,328.6394,29503070.0
2023-05-31,329.711,333.3327,324.7895,325.8413,45950553.0
2023-06-01,323.4003,330.9414,322.1997,329.9987,26773851.0
2023-06-02,331.6528,334.8805,329.969,332.7968,25873769.0
2023-06-03,331.6528,334.8805,329.969,332.7968,25873769.0
2023-06-04,331.6528,334.8805,329.969,332.7968,25873769.0
2023-06-05,332.6182,335.9322,332.0627,333.3327,21307053.0
2023-06-06,332.7274,332.7671,329.5919,331.0902,20396223.0
2023-06-07,329.076,331.8939,319.997,320.8701,40717129.0
2023-06-08,321.4208,324.1048,320.8404,322.7355,23277708.0
2023-06-09,322.4676,327.4288,321.8921,324.2537,22528950.0
2023-06-10,322.4676,327.4288,321.8921,324.2537,22528950.0
2023-06-11,322.4676,327.4288,321.8921,324.2537,22528950.0
2023-06-12,326.0298,329.5224,322.6363,329.2744,24306753.0
2023-06-13,331.8691,334.3646,327.8257,331.6955,22951279.0
2023-06-14,331.7451,336.4086,330.2269,334.7218,26003791.0
2023-06-15,334.8607,347.1248,334.5829,345.3983,38899075.0
