,NMRK US Equity,NMRK US Equity,NMRK US Equity,NMRK US Equity,NMRK US Equity
2019-02-13,9.6154,9.7248,9.0503,9.4058,2229550.0
2019-02-14,9.424,9.5698,9.2599,9.424,759255.0
2019-02-15,9.424,9.7794,9.3875,9.4058,1147505.0
2019-02-16,9.424,9.7794,9.3875,9.4058,1147505.0
2019-02-17,9.424,9.7794,9.3875,9.4058,1147505.0
2019-02-18,9.424,9.7794,9.3875,9.4058,1147505.0
2019-02-19,9.4149,9.4331,9.0321,9.2873,1899934.0
2019-02-20,9.3237,9.3784,9.1232,9.1414,1301145.0
2019-02-21,9.1141,9.1979,9.0503,9.1414,749983.0
2019-02-22,9.1506,9.3556,9.1414,9.3511,930643.0
2019-02-23,9.1506,9.3556,9.1414,9.3511,930643.0
2019-02-24,9.1506,9.3556,9.1414,9.3511,930643.0
2019-02-25,9.3693,9.424,8.8771,8.9501,1339833.0
2019-02-26,8.9501,8.9774,8.6721,8.7678,1653225.0
2019-02-27,8.7678,8.8046,8.4136,8.5562,1044726.0
2019-02-28,8.5194,8.7402,8.3998,8.5194,1362012.0
2019-03-01,8.6114,8.685,8.317,8.4458,831307.0
2019-03-02,8.6114,8.685,8.317,8.4458,831307.0
2019-03-03,8.6114,8.685,8.317,8.4458,831307.0
2019-03-04,8.4458,8.4918,8.2894,8.409,961984.0
2019-03-05,8.363,8.5562,8.3078,8.501,1823343.0
2019-03-06,8.5102,8.5102,7.8753,7.903,2772616.0
2019-03-07,7.8937,8.0962,7.8017,7.8937,1856679.0
2019-03-08,7.8477,7.995,7.7741,7.9858,2060725.0
2019-03-09,7.8477,7.995,7.7741,7.9858,2060725.0
2019-03-10,7.8477,7.995,7.7741,7.9858,2060725.0
2019-03-11,8.0042,8.0226,7.7741,7.8109,1555890.0
2019-03-12,7.8477,8.2388,7.8385,8.179,2408981.0
2019-03-13,8.2158,8.2158,8.0778,8.1422,1021811.0
2019-03-14,8.1422,8.363,8.0916,8.2342,1359764.0
2019-03-15,8.2342,8.3274,8.0594,8.1882,1560433.0
2019-03-16,8.2342,8.3274,8.0594,8.1882,1560433.0
2019-03-17,8.2342,8.3274,8.0594,8.1882,1560433.0
2019-03-18,8.1974,8.3538,8.1054,8.2526,874717.0
2019-03-19,8.317,8.5746,8.2986,8.3446,1242474.0
2019-03-20,8.3262,8.3676,8.0134,8.179,904434.0
2019-03-21,8.1422,8.317,8.06,8.1514,787830.0
2019-03-22,8.1422,8.2802,7.6545,7.6821,1040902.0
2019-03-23,8.1422,8.2802,7.6545,7.6821,1040902.0
2019-03-24,8.1422,8.2802,7.6545,7.6821,1040902.0
2019-03-25,7.6637,7.7741,7.4061,7.7005,937579.0
2019-03-26,7.7373,7.8753,7.6637,7.7649,646424.0
2019-03-27,7.7649,7.7741,7.4981,7.6545,2141325.0
2019-03-28,7.6637,7.7741,7.5349,7.6729,535154.0
2019-03-29,7.7005,7.8293,7.5809,7.6729,723388.0
2019-03-30,7.7005,7.8293,7.5809,7.6729,723388.0
2019-03-31,7.7005,7.8293,7.5809,7.6729,723388.0
2019-04-01,7.6729,7.903,7.6361,7.8937,1061199.0
2019-04-02,7.9122,8.0663,7.5257,7.6913,791610.0
2019-04-03,7.7373,7.9122,7.6269,7.6453,897253.0
2019-04-04,7.6453,7.8201,7.5902,7.8017,804184.0
2019-04-05,7.8109,7.8293,7.6637,7.8109,578991.0
2019-04-06,7.8109,7.8293,7.6637,7.8109,578991.0
2019-04-07,7.8109,7.8293,7.6637,7.8109,578991.0
2019-04-08,7.7649,7.7888,7.6821,7.7005,682977.0
2019-04-09,7.7005,7.756,7.4429,7.4981,1132309.0
2019-04-10,7.5073,7.7097,7.482,7.6729,580143.0
2019-04-11,7.6729,7.8017,7.6177,7.7373,766943.0
2019-04-12,7.7741,7.8753,7.7143,7.8661,704054.0
2019-04-13,7.7741,7.8753,7.7143,7.8661,704054.0
2019-04-14,7.7741,7.8753,7.7143,7.8661,704054.0
2019-04-15,7.8477,7.926,7.7649,7.8845,699388.0
2019-04-16,7.9122,7.9858,7.7281,7.7925,735510.0
2019-04-17,7.8477,7.8652,7.7097,7.7281,918940.0
2019-04-18,7.7097,7.8385,7.5672,7.7097,1413869.0
2019-04-19,7.7097,7.8385,7.5672,7.7097,1413869.0
2019-04-20,7.7097,7.8385,7.5672,7.7097,1413869.0
2019-04-21,7.7097,7.8385,7.5672,7.7097,1413869.0
2019-04-22,7.7649,7.7649,7.6131,7.6545,655312.0
2019-04-23,7.6821,7.7557,7.5533,7.7005,742745.0
2019-04-24,7.6821,7.7465,7.6177,7.6729,921989.0
2019-04-25,7.7281,7.7649,7.4889,7.5901,589616.0
2019-04-26,7.5993,7.6913,7.5349,7.6821,505466.0
2019-04-27,7.5993,7.6913,7.5349,7.6821,505466.0
2019-04-28,7.5993,7.6913,7.5349,7.6821,505466.0
2019-04-29,7.7005,7.9122,7.6637,7.8569,514610.0
2019-04-30,7.8477,7.9214,7.7097,7.8385,1093287.0
2019-05-01,7.8569,8.0686,7.7833,7.9582,938100.0
2019-05-02,7.9582,8.0134,7.6361,7.6821,719585.0
2019-05-03,7.6821,7.9858,7.6821,7.9306,817941.0
2019-05-04,7.6821,7.9858,7.6821,7.9306,817941.0
2019-05-05,7.6821,7.9858,7.6821,7.9306,817941.0
2019-05-06,7.8017,7.9444,7.7189,7.8845,1518422.0
2019-05-07,7.8385,7.8937,7.6269,7.7097,703289.0
2019-05-08,7.7281,7.7281,7.4245,7.5165,770450.0
2019-05-09,7.4153,7.5854,6.7621,6.9829,2679512.0
2019-05-10,6.6517,7.1577,6.4585,7.1393,2687671.0
2019-05-11,6.6517,7.1577,6.4585,7.1393,2687671.0
2019-05-12,6.6517,7.1577,6.4585,7.1393,2687671.0
2019-05-13,6.9553,7.1945,6.7161,7.1485,1647701.0
2019-05-14,7.0841,7.4613,7.0795,7.3601,1202490.0
2019-05-15,7.4061,7.6361,7.3141,7.6085,1224492.0
2019-05-16,7.6269,7.8477,7.5901,7.7649,1590634.0
2019-05-17,7.7373,7.8569,7.5993,7.8385,2116153.0
2019-05-18,7.7373,7.8569,7.5993,7.8385,2116153.0
2019-05-19,7.7373,7.8569,7.5993,7.8385,2116153.0
2019-05-20,7.8753,7.8937,7.6729,7.7557,1499189.0
2019-05-21,7.8017,7.9858,7.8017,7.9858,1249784.0
2019-05-22,7.995,8.0226,7.8293,7.8753,924072.0
2019-05-23,7.8017,7.8937,7.6637,7.8661,1255912.0
2019-05-24,7.9406,8.313,7.9406,8.2013,1090460.0
2019-05-25,7.9406,8.313,7.9406,8.2013,1090460.0
2019-05-26,7.9406,8.313,7.9406,8.2013,1090460.0
2019-05-27,7.9406,8.313,7.9406,8.2013,1090460.0
2019-05-28,8.2013,8.2944,8.0616,8.1082,1351985.0
2019-05-29,8.0244,8.0709,7.8289,7.9499,771029.0
2019-05-30,7.9499,8.0709,7.6893,7.7172,679360.0
2019-05-31,7.6241,7.6334,7.3076,7.4286,1028625.0
2019-06-01,7.6241,7.6334,7.3076,7.4286,1028625.0
2019-06-02,7.6241,7.6334,7.3076,7.4286,1028625.0
2019-06-03,7.41,7.68,7.3448,7.4007,1135622.0
2019-06-04,7.5031,7.5496,7.4007,7.5496,1137170.0
2019-06-05,7.559,7.7079,7.2983,7.5683,996775.0
2019-06-06,7.5496,7.7172,7.4379,7.531,691448.0
2019-06-07,7.559,7.8382,7.5217,7.7451,748640.0
2019-06-08,7.559,7.8382,7.5217,7.7451,748640.0
2019-06-09,7.559,7.8382,7.5217,7.7451,748640.0
2019-06-10,7.7824,7.9406,7.7172,7.8941,927849.0
2019-06-11,7.9592,8.0989,7.7498,7.8848,775409.0
2019-06-12,7.8475,7.8755,7.7312,7.7638,747797.0
2019-06-13,7.8103,7.908,7.6148,7.8568,756512.0
2019-06-14,7.8755,7.9034,7.7358,7.7824,528294.0
2019-06-15,7.8755,7.9034,7.7358,7.7824,528294.0
2019-06-16,7.8755,7.9034,7.7358,7.7824,528294.0
2019-06-17,7.801,7.9406,7.7358,7.8848,631396.0
2019-06-18,7.9034,8.1733,7.7731,8.043,1406610.0
2019-06-19,8.0058,8.2013,7.9592,8.192,777014.0
2019-06-20,8.2571,8.3781,8.218,8.3223,761917.0
2019-06-21,8.2664,8.3968,8.2013,8.2106,1162944.0
2019-06-22,8.2664,8.3968,8.2013,8.2106,1162944.0
2019-06-23,8.2664,8.3968,8.2013,8.2106,1162944.0
2019-06-24,8.1827,8.2525,8.0803,8.1268,858471.0
2019-06-25,8.1268,8.2757,8.0989,8.1361,877345.0
2019-06-26,8.1733,8.2447,8.0151,8.164,769030.0
2019-06-27,8.1827,8.3037,8.1641,8.2478,447710.0
2019-06-28,8.2664,8.4154,8.2292,8.3595,1915675.0
2019-06-29,8.2664,8.4154,8.2292,8.3595,1915675.0
2019-06-30,8.2664,8.4154,8.2292,8.3595,1915675.0
2019-07-01,8.4526,8.5271,8.3735,8.5085,519404.0
2019-07-02,8.4805,8.6155,8.4061,8.555,482321.0
2019-07-03,8.6109,8.7133,8.5736,8.6667,298114.0
2019-07-04,8.6109,8.7133,8.5736,8.6667,298114.0
2019-07-05,8.6016,8.6947,8.4387,8.6667,461061.0
2019-07-06,8.6016,8.6947,8.4387,8.6667,461061.0
2019-07-07,8.6016,8.6947,8.4387,8.6667,461061.0
2019-07-08,8.6109,8.6853,8.5224,8.5829,632968.0
2019-07-09,8.555,8.5923,8.4293,8.4899,1027419.0
2019-07-10,8.5457,8.6109,8.434,8.5736,532503.0
2019-07-11,8.6853,9.0112,8.6202,8.9832,940667.0
2019-07-12,8.9832,9.1694,8.9274,9.0856,837402.0
2019-07-13,8.9832,9.1694,8.9274,9.0856,837402.0
2019-07-14,8.9832,9.1694,8.9274,9.0856,837402.0
2019-07-15,9.0949,9.1043,8.9693,9.0763,540854.0
2019-07-16,9.067,9.2067,9.0391,9.0763,448332.0
2019-07-17,9.067,9.2392,8.9693,9.1694,747266.0
2019-07-18,9.1415,9.2532,8.9782,9.2532,724841.0
2019-07-19,9.2253,9.3463,9.2067,9.2346,767538.0
2019-07-20,9.2253,9.3463,9.2067,9.2346,767538.0
2019-07-21,9.2253,9.3463,9.2067,9.2346,767538.0
2019-07-22,9.188,9.2526,8.946,8.9646,350710.0
2019-07-23,9.0205,9.1415,8.9553,9.1043,416393.0
2019-07-24,9.0763,9.216,8.9786,9.2067,403207.0
2019-07-25,9.188,9.2579,9.0763,9.1136,727083.0
2019-07-26,9.1322,9.2253,9.0577,9.1694,586782.0
2019-07-27,9.1322,9.2253,9.0577,9.1694,586782.0
2019-07-28,9.1322,9.2253,9.0577,9.1694,586782.0
2019-07-29,9.1508,9.2811,8.9925,9.1136,599302.0
2019-07-30,9.0577,9.3649,9.0577,9.2718,828007.0
2019-07-31,9.2718,9.3835,9.1508,9.1787,1029444.0
2019-08-01,9.3556,9.7005,9.1872,9.2997,982612.0
2019-08-02,9.3184,9.3184,8.7253,8.7691,1024050.0
2019-08-03,9.3184,9.3184,8.7253,8.7691,1024050.0
2019-08-04,9.3184,9.3184,8.7253,8.7691,1024050.0
2019-08-05,8.5923,8.657,8.0291,8.1175,1440931.0
2019-08-06,8.1454,8.3037,8.0616,8.1827,986063.0
2019-08-07,8.0709,8.4247,8.0523,8.3875,1027373.0
2019-08-08,8.3968,8.6667,8.3875,8.6202,995082.0
2019-08-09,8.5829,8.6481,8.4992,8.6109,543540.0
2019-08-10,8.5829,8.6481,8.4992,8.6109,543540.0
2019-08-11,8.5829,8.6481,8.4992,8.6109,543540.0
2019-08-12,8.5178,8.5178,8.2385,8.3595,724622.0
2019-08-13,8.3223,8.5504,8.2773,8.4433,1134261.0
2019-08-14,8.313,8.4061,8.1268,8.1361,842974.0
2019-08-15,8.1268,8.1268,7.9313,7.9965,806102.0
2019-08-16,8.0337,8.1733,7.9659,8.1361,639556.0
2019-08-17,8.0337,8.1733,7.9659,8.1361,639556.0
2019-08-18,8.0337,8.1733,7.9659,8.1361,639556.0
2019-08-19,8.2585,8.4845,8.2585,8.3998,756238.0
2019-08-20,8.3433,8.3904,8.2303,8.2774,680310.0
2019-08-21,8.3621,8.4186,8.268,8.381,517478.0
2019-08-22,8.4092,8.4277,8.1361,8.1455,508011.0
2019-08-23,8.089,8.1079,7.5805,7.7029,1272521.0
2019-08-24,8.089,8.1079,7.5805,7.7029,1272521.0
2019-08-25,8.089,8.1079,7.5805,7.7029,1272521.0
2019-08-26,7.7877,7.9854,7.7077,7.863,1404196.0
2019-08-27,7.9289,7.9854,7.8159,7.9384,2119513.0
2019-08-28,7.9007,8.1361,7.8706,8.0419,665761.0
2019-08-29,8.1079,8.2303,8.0749,8.1079,460257.0
2019-08-30,8.1644,8.2491,8.0419,8.1738,415800.0
2019-08-31,8.1644,8.2491,8.0419,8.1738,415800.0
2019-09-01,8.1644,8.2491,8.0419,8.1738,415800.0
2019-09-02,8.1644,8.2491,8.0419,8.1738,415800.0
2019-09-03,8.0796,8.2303,7.9572,8.0419,492233.0
2019-09-04,8.1455,8.2821,8.0514,8.1173,623675.0
2019-09-05,8.2303,8.6164,8.1832,8.3245,715225.0
2019-09-06,8.381,8.5034,8.1738,8.3056,569390.0
2019-09-07,8.381,8.5034,8.1738,8.3056,569390.0
2019-09-08,8.381,8.5034,8.1738,8.3056,569390.0
2019-09-09,8.3245,8.8377,8.3245,8.7859,655314.0
2019-09-10,8.72,9.0684,8.672,9.0495,771854.0
2019-09-11,9.0401,9.5016,9.0119,9.4451,1001484.0
2019-09-12,9.4168,9.5298,9.238,9.4921,778784.0
2019-09-13,9.5298,9.6711,9.4074,9.5204,772729.0
2019-09-14,9.5298,9.6711,9.4074,9.5204,772729.0
2019-09-15,9.5298,9.6711,9.4074,9.5204,772729.0
2019-09-16,9.5204,9.8594,9.5204,9.7652,1140178.0
2019-09-17,9.6899,9.6899,9.2002,9.2473,772868.0
2019-09-18,9.2473,9.2944,8.9978,9.0778,1109109.0
2019-09-19,9.1155,9.1814,9.0025,9.0213,689335.0
2019-09-20,9.0119,9.0966,8.88,8.9271,952443.0
2019-09-21,9.0119,9.0966,8.88,8.9271,952443.0
2019-09-22,9.0119,9.0966,8.88,8.9271,952443.0
2019-09-23,8.8612,8.9648,8.7765,8.8989,775523.0
2019-09-24,8.9271,8.946,8.5316,8.5693,639621.0
2019-09-25,8.5505,8.7859,8.4704,8.7247,658900.0
2019-09-26,8.72,8.8546,8.6729,8.7388,463116.0
2019-09-27,8.7765,8.8989,8.6729,8.7105,453842.0
2019-09-28,8.7765,8.8989,8.6729,8.7105,453842.0
2019-09-29,8.7765,8.8989,8.6729,8.7105,453842.0
2019-09-30,8.7011,8.7294,8.4892,8.5316,670765.0
2019-10-01,8.6258,8.7388,8.2491,8.2774,911584.0
2019-10-02,8.089,8.2774,8.0231,8.1644,718573.0
2019-10-03,8.1738,8.5787,8.1314,8.4563,569828.0
2019-10-04,8.4845,8.654,8.4798,8.6258,605106.0
2019-10-05,8.4845,8.654,8.4798,8.6258,605106.0
2019-10-06,8.4845,8.654,8.4798,8.6258,605106.0
2019-10-07,8.5881,8.6587,8.494,8.5316,709307.0
2019-10-08,8.3904,8.4751,8.2962,8.3197,444746.0
2019-10-09,8.3998,8.4657,8.3433,8.381,403337.0
2019-10-10,8.381,8.494,8.2962,8.315,656204.0
2019-10-11,8.4657,8.7576,8.4563,8.5881,786442.0
2019-10-12,8.4657,8.7576,8.4563,8.5881,786442.0
2019-10-13,8.4657,8.7576,8.4563,8.5881,786442.0
2019-10-14,8.5787,8.6022,8.4375,8.574,550918.0
2019-10-15,8.6635,8.8047,8.5881,8.6635,716800.0
2019-10-16,8.6635,8.7859,8.541,8.6917,654916.0
2019-10-17,8.7482,8.833,8.7152,8.7388,309089.0
2019-10-18,8.767,8.9742,8.5881,8.8989,572233.0
2019-10-19,8.767,8.9742,8.5881,8.8989,572233.0
2019-10-20,8.767,8.9742,8.5881,8.8989,572233.0
2019-10-21,9.0213,9.5392,8.88,9.3697,1293704.0
2019-10-22,9.3791,9.478,9.2944,9.3415,598371.0
2019-10-23,9.3603,9.4262,9.2803,9.3791,514715.0
2019-10-24,9.3697,9.3791,9.0119,9.1531,629251.0
2019-10-25,9.0495,9.3509,9.0401,9.3038,415605.0
2019-10-26,9.0495,9.3509,9.0401,9.3038,415605.0
2019-10-27,9.0495,9.3509,9.0401,9.3038,415605.0
2019-10-28,9.3509,9.4827,9.285,9.3038,460723.0
2019-10-29,9.3132,9.3697,9.2096,9.3509,677770.0
2019-10-30,9.5581,10.2973,9.4356,10.0666,1314339.0
2019-10-31,9.9253,10.1089,9.8217,10.0006,746050.0
2019-11-01,10.1042,10.6881,10.0571,10.6692,1902039.0
2019-11-02,10.1042,10.6881,10.0571,10.6692,1902039.0
2019-11-03,10.1042,10.6881,10.0571,10.6692,1902039.0
2019-11-04,10.7822,11.1118,10.7163,11.0459,1329149.0
2019-11-05,11.1589,11.1966,10.7917,10.9235,1228616.0
2019-11-06,11.0177,11.1212,10.8952,10.9235,916693.0
2019-11-07,11.0177,11.1966,10.9329,11.1307,1040984.0
2019-11-08,11.1307,11.4461,11.0365,11.3755,1316104.0
2019-11-09,11.1307,11.4461,11.0365,11.3755,1316104.0
2019-11-10,11.1307,11.4461,11.0365,11.3755,1316104.0
2019-11-11,11.3755,11.7428,11.3284,11.7428,1116698.0
2019-11-12,11.7616,11.8181,11.6056,11.6486,1347097.0
2019-11-13,11.6297,11.6957,11.3755,11.5921,872592.0
2019-11-14,11.5921,11.7333,11.4697,11.4885,875380.0
2019-11-15,11.5732,11.8558,11.4226,11.7993,890899.0
2019-11-16,11.5732,11.8558,11.4226,11.7993,890899.0
2019-11-17,11.5732,11.8558,11.4226,11.7993,890899.0
2019-11-18,11.7708,11.9986,11.6284,11.8182,888967.0
2019-11-19,11.8847,11.9986,11.6569,11.8847,1127972.0
2019-11-20,11.8372,12.1884,11.8372,12.1505,1070145.0
2019-11-21,12.141,12.3688,11.8847,12.3024,840153.0
2019-11-22,12.3878,12.4068,12.122,12.141,599326.0
2019-11-23,12.3878,12.4068,12.122,12.141,599326.0
2019-11-24,12.3878,12.4068,12.122,12.141,599326.0
2019-11-25,12.2169,12.459,12.141,12.4542,838692.0
2019-11-26,12.4447,12.55,12.3498,12.5112,1038470.0
2019-11-27,12.5587,12.5587,12.3973,12.4827,783453.0
2019-11-28,12.5587,12.5587,12.3973,12.4827,783453.0
2019-11-29,12.3973,12.5207,12.3498,12.3878,803647.0
2019-11-30,12.3973,12.5207,12.3498,12.3878,803647.0
2019-12-01,12.3973,12.5207,12.3498,12.3878,803647.0
2019-12-02,12.5017,12.5302,12.1949,12.3688,794911.0
2019-12-03,12.1979,12.3878,11.9511,12.3783,829018.0
2019-12-04,12.4258,12.6726,12.3498,12.6251,766900.0
2019-12-05,12.6536,12.6821,12.4323,12.5871,755809.0
2019-12-06,12.72,12.9004,12.5444,12.5682,730306.0
2019-12-07,12.72,12.9004,12.5444,12.5682,730306.0
2019-12-08,12.72,12.9004,12.5444,12.5682,730306.0
2019-12-09,12.5397,12.6488,12.459,12.5492,777539.0
2019-12-10,12.5776,12.8909,12.5017,12.8339,995862.0
2019-12-11,12.815,12.8434,12.5492,12.5682,956388.0
2019-12-12,12.5776,12.9289,12.5765,12.701,705045.0
2019-12-13,12.7105,12.815,12.5776,12.6156,975041.0
2019-12-14,12.7105,12.815,12.5776,12.6156,975041.0
2019-12-15,12.7105,12.815,12.5776,12.6156,975041.0
2019-12-16,12.758,12.9479,12.739,12.8292,518002.0
2019-12-17,12.8434,12.8624,12.5112,12.6441,977025.0
2019-12-18,12.6441,12.9289,12.6204,12.8529,656902.0
2019-12-19,12.9289,12.9763,12.8102,12.9194,537924.0
2019-12-20,12.9573,13.1472,12.7865,13.0048,1863697.0
2019-12-21,12.9573,13.1472,12.7865,13.0048,1863697.0
2019-12-22,12.9573,13.1472,12.7865,13.0048,1863697.0
2019-12-23,13.0523,13.1472,12.7295,12.8529,496501.0
2019-12-24,12.8624,12.9384,12.796,12.8719,158019.0
2019-12-25,12.8624,12.9384,12.796,12.8719,158019.0
2019-12-26,12.8814,13.0428,12.8814,12.9384,262793.0
2019-12-27,13.0048,13.0048,12.7105,12.7675,450304.0
2019-12-28,13.0048,13.0048,12.7105,12.7675,450304.0
2019-12-29,13.0048,13.0048,12.7105,12.7675,450304.0
2019-12-30,12.7485,12.796,12.4163,12.7865,471073.0
2019-12-31,12.7865,13.0333,12.701,12.7722,573341.0
2020-01-01,12.7865,13.0333,12.701,12.7722,573341.0
2020-01-02,12.9099,12.9289,12.0461,12.16,1457934.0
2020-01-03,12.103,12.3308,11.9321,12.1884,850296.0
2020-01-04,12.103,12.3308,11.9321,12.1884,850296.0
2020-01-05,12.103,12.3308,11.9321,12.1884,850296.0
2020-01-06,12.0935,12.0935,11.7708,11.8942,967189.0
2020-01-07,11.8372,11.9606,11.7233,11.7613,888012.0
2020-01-08,11.7803,11.8752,11.543,11.5714,1107972.0
2020-01-09,11.5809,11.6711,11.2582,11.6474,1403123.0
2020-01-10,11.6664,11.7613,11.1253,11.2677,1095671.0
2020-01-11,11.6664,11.7613,11.1253,11.2677,1095671.0
2020-01-12,11.6664,11.7613,11.1253,11.2677,1095671.0
2020-01-13,11.2677,11.3436,11.0968,11.1063,1107928.0
2020-01-14,11.0778,11.3056,10.869,11.2867,1117552.0
2020-01-15,11.2012,11.524,11.1739,11.5145,802512.0
2020-01-16,11.5904,11.7613,11.3436,11.486,1408268.0
2020-01-17,11.6094,11.7233,11.4955,11.5714,853021.0
2020-01-18,11.6094,11.7233,11.4955,11.5714,853021.0
2020-01-19,11.6094,11.7233,11.4955,11.5714,853021.0
2020-01-20,11.6094,11.7233,11.4955,11.5714,853021.0
2020-01-21,11.505,11.533,11.2629,11.3816,716902.0
2020-01-22,11.3816,11.486,11.2582,11.2961,637426.0
2020-01-23,11.2297,11.6474,11.1253,11.5952,966668.0
2020-01-24,11.524,11.6189,11.0968,11.3151,764314.0
2020-01-25,11.524,11.6189,11.0968,11.3151,764314.0
2020-01-26,11.524,11.6189,11.0968,11.3151,764314.0
2020-01-27,11.0873,11.3626,11.0398,11.3246,599562.0
2020-01-28,11.3721,11.4955,11.3009,11.3341,628825.0
2020-01-29,11.3341,11.3721,11.1395,11.2867,650977.0
2020-01-30,11.1727,11.3531,11.1063,11.3341,593959.0
2020-01-31,11.2487,11.2961,11.0683,11.1727,973917.0
2020-02-01,11.2487,11.2961,11.0683,11.1727,973917.0
2020-02-02,11.2487,11.2961,11.0683,11.1727,973917.0
2020-02-03,11.2297,11.3626,11.1443,11.2961,592830.0
2020-02-04,11.4385,11.6094,11.3816,11.5809,897472.0
2020-02-05,11.7043,11.7898,11.6094,11.7233,801292.0
2020-02-06,11.7233,11.8277,11.6189,11.6379,624590.0
2020-02-07,11.5524,11.5809,11.168,11.2297,724523.0
2020-02-08,11.5524,11.5809,11.168,11.2297,724523.0
2020-02-09,11.5524,11.5809,11.168,11.2297,724523.0
2020-02-10,11.2202,11.505,11.1538,11.505,621629.0
2020-02-11,11.5524,11.6474,11.1158,11.1348,1373492.0
2020-02-12,11.2867,11.7043,11.2344,11.448,1251775.0
2020-02-13,11.1158,11.4499,10.5937,11.1917,2070858.0
2020-02-14,10.8975,11.2867,10.7503,10.8785,1296356.0
2020-02-15,10.8975,11.2867,10.7503,10.8785,1296356.0
2020-02-16,10.8975,11.2867,10.7503,10.8785,1296356.0
2020-02-17,10.8975,11.2867,10.7503,10.8785,1296356.0
2020-02-18,10.8595,10.9639,10.5462,10.7456,2033717.0
2020-02-19,10.7741,11.2107,10.7551,11.187,1322671.0
2020-02-20,11.1822,11.4955,11.0588,11.429,1261053.0
2020-02-21,11.3721,11.429,10.8832,11.0968,791006.0
2020-02-22,11.3721,11.429,10.8832,11.0968,791006.0
2020-02-23,11.3721,11.429,10.8832,11.0968,791006.0
2020-02-24,10.7266,10.888,10.3184,10.5272,1488676.0
2020-02-25,10.5652,10.7113,9.9957,10.0811,1490666.0
2020-02-26,10.1381,10.2804,10.0147,10.1713,930753.0
2020-02-27,9.9292,9.9957,9.4641,9.4831,2094423.0
2020-02-28,9.0654,9.3786,8.8898,9.0654,3015293.0
2020-02-29,9.0654,9.3786,8.8898,9.0654,3015293.0
2020-03-01,9.0654,9.3786,8.8898,9.0654,3015293.0
2020-03-02,9.1034,9.6255,8.98,9.597,1496683.0
2020-03-03,9.597,10.0147,9.1746,9.2078,1270582.0
2020-03-04,9.39,9.4572,9.2078,9.3325,699608.0
2020-03-05,9.1119,9.1646,8.6994,8.8433,859265.0
2020-03-06,8.5364,8.7856,8.1623,8.4213,774947.0
2020-03-07,8.5364,8.7856,8.1623,8.4213,774947.0
2020-03-08,8.5364,8.7856,8.1623,8.4213,774947.0
