,M US Equity,M US Equity,M US Equity,M US Equity,M US Equity
2019-04-29,19.9982,20.0843,19.6784,19.7522,4691180.0
2019-04-30,19.7604,19.8014,19.3013,19.3013,8351415.0
2019-05-01,19.3832,19.5964,19.1619,19.1619,8264698.0
2019-05-02,19.1619,19.3341,19.0348,19.2111,5330116.0
2019-05-03,19.3095,19.3668,19.0389,19.0553,5575066.0
2019-05-04,19.3095,19.3668,19.0389,19.0553,5575066.0
2019-05-05,19.3095,19.3668,19.0389,19.0553,5575066.0
2019-05-06,18.8421,19.0717,18.5797,19.0225,7199478.0
2019-05-07,18.9159,18.9815,18.5305,18.6863,7553020.0
2019-05-08,18.5961,18.9569,18.3993,18.6289,6905666.0
2019-05-09,18.5387,18.8162,18.3419,18.6125,6822902.0
2019-05-10,18.4813,18.6289,18.1321,18.4157,8843200.0
2019-05-11,18.4813,18.6289,18.1321,18.4157,8843200.0
2019-05-12,18.4813,18.6289,18.1321,18.4157,8843200.0
2019-05-13,18.1779,18.2025,17.5712,17.6942,10852968.0
2019-05-14,17.7352,18.055,17.2842,17.8746,14401013.0
2019-05-15,18.2435,18.5961,17.5302,17.7926,33610918.0
2019-05-16,17.8746,17.9627,17.5056,17.6286,14595634.0
2019-05-17,17.5138,18.2025,17.4072,17.85,12143189.0
2019-05-18,17.5138,18.2025,17.4072,17.85,12143189.0
2019-05-19,17.5138,18.2025,17.4072,17.85,12143189.0
2019-05-20,17.686,17.8008,17.4072,17.6942,10821435.0
2019-05-21,17.3744,17.9402,17.1051,17.85,13046775.0
2019-05-22,17.7762,17.9238,17.5712,17.9156,10947734.0
2019-05-23,17.645,17.7434,17.3826,17.44,10484034.0
2019-05-24,17.481,17.5138,17.0628,17.2268,9620071.0
2019-05-25,17.481,17.5138,17.0628,17.2268,9620071.0
2019-05-26,17.481,17.5138,17.0628,17.2268,9620071.0
2019-05-27,17.481,17.5138,17.0628,17.2268,9620071.0
2019-05-28,17.2186,17.5302,17.1448,17.2514,8088789.0
2019-05-29,17.0956,17.3334,16.866,17.1694,8040050.0
2019-05-30,17.2596,17.4646,16.9644,17.0136,7866696.0
2019-05-31,16.866,16.9316,16.4397,16.866,11302740.0
2019-06-01,16.866,16.9316,16.4397,16.866,11302740.0
2019-06-02,16.866,16.9316,16.4397,16.866,11302740.0
2019-06-03,16.8415,17.4646,16.8005,17.3498,9660549.0
2019-06-04,17.44,17.8172,17.44,17.727,13136411.0
2019-06-05,17.7926,17.8254,17.1858,17.2678,7458204.0
2019-06-06,17.2186,17.2186,16.4151,16.7923,14442166.0
2019-06-07,16.8087,16.8824,16.5709,16.7513,10144778.0
2019-06-08,16.8087,16.8824,16.5709,16.7513,10144778.0
2019-06-09,16.8087,16.8824,16.5709,16.7513,10144778.0
2019-06-10,16.8988,17.7926,16.8906,17.768,14771612.0
2019-06-11,17.6614,17.9812,17.6368,17.973,9250344.0
2019-06-12,17.9484,18.0468,17.4318,17.5876,8994480.0
2019-06-13,17.6606,18.2824,17.6368,18.1697,9894483.0
2019-06-14,18.153,18.153,17.5855,17.9945,9284330.0
2019-06-15,18.153,18.153,17.5855,17.9945,9284330.0
2019-06-16,18.153,18.153,17.5855,17.9945,9284330.0
2019-06-17,17.9444,18.4368,17.7942,18.128,7624689.0
2019-06-18,18.153,18.5286,17.9861,18.2782,8347294.0
2019-06-19,18.2782,18.562,18.0112,18.4785,8756218.0
2019-06-20,18.6371,18.6538,18.0404,18.2949,7398062.0
2019-06-21,18.345,18.7331,18.1113,18.6121,9181765.0
2019-06-22,18.345,18.7331,18.1113,18.6121,9181765.0
2019-06-23,18.345,18.7331,18.1113,18.6121,9181765.0
2019-06-24,18.4869,18.5203,18.0946,18.1948,6701248.0
2019-06-25,18.2115,18.2115,17.6773,17.7775,8098421.0
2019-06-26,17.8442,18.2866,17.7691,18.0696,8100344.0
2019-06-27,18.32,18.3951,17.7608,17.9694,8020845.0
2019-06-28,17.9861,18.153,17.8275,17.911,10029922.0
2019-06-29,17.9861,18.153,17.8275,17.911,10029922.0
2019-06-30,17.9861,18.153,17.8275,17.911,10029922.0
2019-07-01,18.1864,18.6705,17.7566,17.8526,10515295.0
2019-07-02,17.8359,17.8359,17.4186,17.5605,7670710.0
2019-07-03,17.6356,17.911,17.5104,17.7524,4552775.0
2019-07-04,17.6356,17.911,17.5104,17.7524,4552775.0
2019-07-05,17.7107,18.2198,17.7107,18.1113,5873615.0
2019-07-06,17.7107,18.2198,17.7107,18.1113,5873615.0
2019-07-07,17.7107,18.2198,17.7107,18.1113,5873615.0
2019-07-08,18.103,18.2115,17.8776,18.0863,7395298.0
2019-07-09,18.0028,18.3283,17.719,17.719,10040155.0
2019-07-10,17.8192,17.8526,17.6314,17.6773,6080411.0
2019-07-11,17.7274,17.886,17.5504,17.8609,6225624.0
2019-07-12,17.9027,18.537,17.9027,18.2866,7459030.0
2019-07-13,17.9027,18.537,17.9027,18.2866,7459030.0
2019-07-14,17.9027,18.537,17.9027,18.2866,7459030.0
2019-07-15,18.32,18.6872,18.2449,18.3951,6950459.0
2019-07-16,18.3951,18.6789,18.2949,18.3867,7831074.0
2019-07-17,18.37,18.3784,17.8609,17.9611,7144476.0
2019-07-18,17.8359,18.0279,17.6022,17.9861,6465479.0
2019-07-19,18.0279,18.5954,17.9945,18.4452,7685239.0
2019-07-20,18.0279,18.5954,17.9945,18.4452,7685239.0
2019-07-21,18.0279,18.5954,17.9945,18.4452,7685239.0
2019-07-22,18.5119,18.8374,18.2699,18.4368,6439380.0
2019-07-23,18.5286,18.9334,18.5119,18.8625,6295328.0
2019-07-24,18.8708,19.5302,18.8258,19.405,8578810.0
2019-07-25,19.3215,19.405,18.8124,19.0044,7162613.0
2019-07-26,19.0628,19.1379,18.711,19.0878,5136053.0
2019-07-27,19.0628,19.1379,18.711,19.0878,5136053.0
2019-07-28,19.0628,19.1379,18.711,19.0878,5136053.0
2019-07-29,19.1546,19.1963,18.6371,18.9376,5448345.0
2019-07-30,18.8541,18.9209,18.3951,18.8041,6236226.0
2019-07-31,18.7874,19.188,18.6705,18.971,10380686.0
2019-08-01,18.9626,19.067,17.5938,17.7023,11948688.0
2019-08-02,17.6523,18.0112,17.5521,17.7691,7022718.0
2019-08-03,17.6523,18.0112,17.5521,17.7691,7022718.0
2019-08-04,17.6523,18.0112,17.5521,17.7691,7022718.0
2019-08-05,17.4853,17.5104,16.5255,17.2183,16221949.0
2019-08-06,17.3268,17.4269,17.0347,17.4019,7684532.0
2019-08-07,17.1348,17.2407,16.8176,17.0597,7865628.0
2019-08-08,17.1515,17.3184,16.8385,16.9595,7433370.0
2019-08-09,16.9262,16.9762,16.1583,16.2167,11805614.0
2019-08-10,16.9262,16.9762,16.1583,16.2167,11805614.0
2019-08-11,16.9262,16.9762,16.1583,16.2167,11805614.0
2019-08-12,16.2,16.2501,15.8161,16.0915,11823672.0
2019-08-13,15.9914,16.9011,15.741,16.1583,15904332.0
2019-08-14,13.6878,14.3472,13.2037,14.0217,65058971.0
2019-08-15,13.9299,14.1385,13.187,13.4875,23129079.0
2019-08-16,13.5626,13.7045,13.2705,13.3373,14808621.0
2019-08-17,13.5626,13.7045,13.2705,13.3373,14808621.0
2019-08-18,13.5626,13.7045,13.2705,13.3373,14808621.0
2019-08-19,13.4625,13.6044,13.2788,13.4625,13827956.0
2019-08-20,13.4541,13.4875,12.8198,12.8198,20349465.0
2019-08-21,12.9951,13.0702,12.8115,12.8365,16210752.0
2019-08-22,13.0201,13.2413,12.9116,12.9867,15190432.0
2019-08-23,12.8031,12.9617,12.3858,12.4693,18818789.0
2019-08-24,12.8031,12.9617,12.3858,12.4693,18818789.0
2019-08-25,12.8031,12.9617,12.3858,12.4693,18818789.0
2019-08-26,12.5193,12.5945,12.2523,12.2773,11046463.0
2019-08-27,12.3608,12.3858,11.9184,11.9351,12980015.0
2019-08-28,11.8934,12.319,11.8516,12.2022,17218184.0
2019-08-29,12.3357,12.6028,12.3023,12.4442,14419998.0
2019-08-30,12.4943,12.7238,12.2773,12.319,10171664.0
2019-08-31,12.4943,12.7238,12.2773,12.319,10171664.0
2019-09-01,12.4943,12.7238,12.2773,12.319,10171664.0
2019-09-02,12.4943,12.7238,12.2773,12.319,10171664.0
2019-09-03,12.2272,12.2272,11.9435,12.0102,11890394.0
2019-09-04,12.1438,12.4734,12.1224,12.4442,10116980.0
2019-09-05,12.6195,13.1453,12.6195,12.7781,16481299.0
2019-09-06,13.0034,13.0702,12.7781,12.8448,12993741.0
2019-09-07,13.0034,13.0702,12.7781,12.8448,12993741.0
2019-09-08,13.0034,13.0702,12.7781,12.8448,12993741.0
2019-09-09,12.9283,13.571,12.8699,13.5042,16072874.0
2019-09-10,13.6044,14.2846,13.571,14.2721,21902534.0
2019-09-11,14.3972,14.898,13.9799,14.8897,20562165.0
2019-09-12,14.7596,14.9046,14.329,14.4953,16574766.0
2019-09-13,14.7085,15.0026,14.5124,14.6147,14249059.0
2019-09-14,14.7085,15.0026,14.5124,14.6147,14249059.0
2019-09-15,14.7085,15.0026,14.5124,14.6147,14249059.0
2019-09-16,14.5379,14.8961,14.5038,14.8534,10813122.0
2019-09-17,14.5976,14.5976,14.0775,14.1798,17246357.0
2019-09-18,14.1372,14.248,13.7791,13.8729,12300577.0
2019-09-19,14.1031,14.1116,13.357,13.4039,13720319.0
2019-09-20,13.4551,13.5957,13.0628,13.1396,17876032.0
2019-09-21,13.4551,13.5957,13.0628,13.1396,17876032.0
2019-09-22,13.4551,13.5957,13.0628,13.1396,17876032.0
2019-09-23,13.0458,13.3527,12.9353,13.2504,9221414.0
2019-09-24,13.3101,13.4477,12.8795,13.0117,10211162.0
2019-09-25,13.0373,13.4892,12.969,13.2504,9299196.0
2019-09-26,13.421,13.421,12.9264,13.0031,11279831.0
2019-09-27,13.2163,13.4124,12.8923,13.0373,12567215.0
2019-09-28,13.2163,13.4124,12.8923,13.0373,12567215.0
2019-09-29,13.2163,13.4124,12.8923,13.0373,12567215.0
2019-09-30,13.0117,13.2632,12.9435,13.2504,9774051.0
2019-10-01,13.3186,13.5147,13.0202,13.2589,13223757.0
2019-10-02,13.1907,13.1907,12.4489,12.4915,17114355.0
2019-10-03,12.4148,12.6621,12.0311,12.6194,14771157.0
2019-10-04,12.5001,12.7985,12.5001,12.7559,8768792.0
2019-10-05,12.5001,12.7985,12.5001,12.7559,8768792.0
2019-10-06,12.5001,12.7985,12.5001,12.7559,8768792.0
2019-10-07,12.8326,13.1246,12.6621,12.8156,15555868.0
2019-10-08,12.6194,12.7644,12.4233,12.6536,10691272.0
2019-10-09,12.7388,12.8838,12.6877,12.7132,8403324.0
2019-10-10,12.7985,13.1993,12.7644,13.0458,10871965.0
2019-10-11,13.1993,13.5574,13.1737,13.4039,12040216.0
2019-10-12,13.1993,13.5574,13.1737,13.4039,12040216.0
2019-10-13,13.1993,13.5574,13.1737,13.4039,12040216.0
2019-10-14,13.4039,13.4039,12.8667,13.0458,11819558.0
2019-10-15,13.1225,13.6256,13.05,13.3783,9345617.0
2019-10-16,13.2589,13.745,13.2163,13.4551,9114248.0
2019-10-17,13.5489,13.7279,13.3868,13.4551,9638763.0
2019-10-18,12.9861,13.1993,12.7047,12.8923,18347201.0
2019-10-19,12.9861,13.1993,12.7047,12.8923,18347201.0
2019-10-20,12.9861,13.1993,12.7047,12.8923,18347201.0
2019-10-21,12.969,13.2931,12.969,13.1566,9443032.0
2019-10-22,13.3101,13.583,12.9094,13.5233,9492827.0
2019-10-23,13.4977,13.5147,13.1566,13.3613,8563977.0
2019-10-24,13.3613,13.3783,12.9477,13.1225,10662083.0
2019-10-25,13.0543,13.3464,12.969,13.2845,8710223.0
2019-10-26,13.0543,13.3464,12.969,13.2845,8710223.0
2019-10-27,13.0543,13.3464,12.969,13.2845,8710223.0
2019-10-28,13.3527,13.4039,13.1737,13.1737,8848282.0
2019-10-29,13.1481,13.2078,12.9989,13.0202,8449514.0
2019-10-30,12.9946,13.131,12.6877,12.8923,12678065.0
2019-10-31,12.7388,12.9264,12.5171,12.9264,12204214.0
2019-11-01,13.0031,13.4295,12.969,13.2845,10798834.0
2019-11-02,13.0031,13.4295,12.969,13.2845,10798834.0
2019-11-03,13.0031,13.4295,12.969,13.2845,10798834.0
2019-11-04,13.4295,13.6938,13.3954,13.5147,10288692.0
2019-11-05,13.7109,14.248,13.6682,14.248,19489468.0
2019-11-06,14.1713,14.2395,13.5659,13.6171,17948950.0
2019-11-07,13.907,14.2054,13.7919,13.8302,14387639.0
2019-11-08,13.7279,13.7876,13.3016,13.5403,14906716.0
2019-11-09,13.7279,13.7876,13.3016,13.5403,14906716.0
2019-11-10,13.7279,13.7876,13.3016,13.5403,14906716.0
2019-11-11,13.5147,13.8984,13.3357,13.6853,15622563.0
2019-11-12,13.5744,14.0008,13.2334,13.7109,23178343.0
2019-11-13,13.6,13.7791,13.421,13.7023,14578038.0
2019-11-14,13.8046,14.1542,13.7194,13.8473,17460961.0
2019-11-15,14.0604,14.5038,13.9752,14.3674,17394285.0
2019-11-16,14.0604,14.5038,13.9752,14.3674,17394285.0
2019-11-17,14.0604,14.5038,13.9752,14.3674,17394285.0
2019-11-18,14.3674,14.41,14.0775,14.393,19807408.0
2019-11-19,13.5403,13.6,12.79,12.8241,48262558.0
2019-11-20,12.952,12.9946,12.6706,12.807,23861963.0
2019-11-21,12.3636,12.9776,12.1931,12.5086,42280269.0
2019-11-22,12.5768,13.1822,12.4319,13.1566,28085581.0
2019-11-23,12.5768,13.1822,12.4319,13.1566,28085581.0
2019-11-24,12.5768,13.1822,12.4319,13.1566,28085581.0
2019-11-25,13.2589,13.3954,12.9008,13.2675,20869208.0
2019-11-26,13.2931,13.5147,13.0969,13.1055,35573764.0
2019-11-27,13.2163,13.3527,13.0373,13.1993,16903555.0
2019-11-28,13.2163,13.3527,13.0373,13.1993,16903555.0
2019-11-29,13.2163,13.2163,13.0117,13.0628,7481776.0
2019-11-30,13.2163,13.2163,13.0117,13.0628,7481776.0
2019-12-01,13.2163,13.2163,13.0117,13.0628,7481776.0
2019-12-02,13.1396,13.3783,12.9605,13.131,18082494.0
2019-12-03,12.9264,12.9264,12.6536,12.6791,20951428.0
2019-12-04,12.7729,12.8326,12.6365,12.6536,16000934.0
2019-12-05,12.7047,13.0074,12.7047,12.8838,22719994.0
2019-12-06,13.0884,13.2334,12.8838,12.9179,17144805.0
2019-12-07,13.0884,13.2334,12.8838,12.9179,17144805.0
2019-12-08,13.0884,13.2334,12.8838,12.9179,17144805.0
2019-12-09,12.6791,13.3101,12.5853,13.1993,32537357.0
2019-12-10,13.1652,13.4465,13.0671,13.421,18206465.0
2019-12-11,13.4551,13.6085,13.3442,13.3868,21987600.0
2019-12-12,13.3934,13.8564,13.3235,13.7254,20143579.0
2019-12-13,13.7603,13.7603,13.2536,13.2624,17284579.0
2019-12-14,13.7603,13.7603,13.2536,13.2624,17284579.0
2019-12-15,13.7603,13.7603,13.2536,13.2624,17284579.0
2019-12-16,13.3759,13.7691,13.3235,13.6555,20684415.0
2019-12-17,13.6118,14.136,13.5245,14.005,18530226.0
2019-12-18,14.1448,14.6646,14.0312,14.4418,23791367.0
2019-12-19,14.3807,14.4243,13.9438,14.0487,20759349.0
2019-12-20,14.1535,14.2409,14.005,14.1535,18574108.0
2019-12-21,14.1535,14.2409,14.005,14.1535,18574108.0
2019-12-22,14.1535,14.2409,14.005,14.1535,18574108.0
2019-12-23,14.2409,14.3392,14.1011,14.1535,12570186.0
2019-12-24,14.1884,14.2671,14.053,14.0836,5808671.0
2019-12-25,14.1884,14.2671,14.053,14.0836,5808671.0
2019-12-26,14.1797,14.4505,14.1186,14.4505,12225748.0
2019-12-27,14.4593,14.5641,14.3544,14.4243,10271286.0
2019-12-28,14.4593,14.5641,14.3544,14.4243,10271286.0
2019-12-29,14.4593,14.5641,14.3544,14.4243,10271286.0
2019-12-30,14.4593,14.8,14.4069,14.6515,12875285.0
2019-12-31,14.6078,14.8961,14.5379,14.8524,12934923.0
2020-01-01,14.6078,14.8961,14.5379,14.8524,12934923.0
2020-01-02,15.0097,15.0883,14.3195,14.4331,26263153.0
2020-01-03,14.2583,14.5161,14.1622,14.4418,12043232.0
2020-01-04,14.2583,14.5161,14.1622,14.4418,12043232.0
2020-01-05,14.2583,14.5161,14.1622,14.4418,12043232.0
2020-01-06,14.4331,15.0796,14.42,14.9398,20262410.0
2020-01-07,15.2019,15.5241,15.0971,15.4378,19968196.0
2020-01-08,15.7873,16.2241,15.3242,15.8135,35773186.0
2020-01-09,15.9271,15.9271,15.1582,15.4727,18367785.0
2020-01-10,15.4028,15.5601,15.2631,15.5601,11390716.0
2020-01-11,15.4028,15.5601,15.2631,15.5601,11390716.0
2020-01-12,15.4028,15.5601,15.2631,15.5601,11390716.0
2020-01-13,15.5339,15.7174,15.333,15.6213,11130661.0
2020-01-14,15.6475,15.7654,15.5077,15.6038,10334441.0
2020-01-15,15.464,15.5164,15.132,15.2194,11017588.0
2020-01-16,15.2631,15.3766,15.0971,15.3155,9013253.0
2020-01-17,15.3504,15.4465,15.2408,15.3504,6988386.0
2020-01-18,15.3504,15.4465,15.2408,15.3504,6988386.0
2020-01-19,15.3504,15.4465,15.2408,15.3504,6988386.0
2020-01-20,15.3504,15.4465,15.2408,15.3504,6988386.0
2020-01-21,15.3592,15.3635,14.8088,14.8437,12769706.0
2020-01-22,15.001,15.2019,14.8786,14.9835,8829979.0
2020-01-23,14.9573,15.001,14.5772,14.9136,6389723.0
2020-01-24,14.9223,14.9485,14.5641,14.6602,8269937.0
2020-01-25,14.9223,14.9485,14.5641,14.6602,8269937.0
2020-01-26,14.9223,14.9485,14.5641,14.6602,8269937.0
2020-01-27,14.337,14.4593,14.1972,14.3108,7671521.0
2020-01-28,14.4768,14.8,14.2933,14.7389,10628177.0
2020-01-29,14.8088,15.0053,14.7214,14.7389,7882487.0
2020-01-30,14.5292,14.7301,14.4768,14.7039,8428978.0
2020-01-31,14.634,14.634,13.7866,13.9351,16657986.0
2020-02-01,14.634,14.634,13.7866,13.9351,16657986.0
2020-02-02,14.634,14.634,13.7866,13.9351,16657986.0
2020-02-03,13.97,14.6428,13.8827,14.3807,16009287.0
2020-02-04,14.5554,14.9049,14.3719,14.3894,15719885.0
2020-02-05,14.5903,15.2718,14.5379,15.2456,24444290.0
2020-02-06,15.2893,15.4378,14.8,14.8088,12294885.0
2020-02-07,14.7126,14.7651,14.2845,14.3282,8706581.0
2020-02-08,14.7126,14.7651,14.2845,14.3282,8706581.0
2020-02-09,14.7126,14.7651,14.2845,14.3282,8706581.0
2020-02-10,14.3282,14.4855,14.1273,14.1797,7029265.0
2020-02-11,14.2933,14.3282,14.0923,14.2933,6727646.0
2020-02-12,14.3894,14.9311,14.3544,14.8524,12034073.0
2020-02-13,14.7825,14.7825,14.4156,14.6253,7337232.0
2020-02-14,14.5903,14.7563,14.5073,14.5641,5560060.0
2020-02-15,14.5903,14.7563,14.5073,14.5641,5560060.0
2020-02-16,14.5903,14.7563,14.5073,14.5641,5560060.0
2020-02-17,14.5903,14.7563,14.5073,14.5641,5560060.0
2020-02-18,14.5117,14.5554,13.8739,14.0399,12522382.0
2020-02-19,13.9788,14.2845,13.8564,14.2321,8891308.0
2020-02-20,14.1535,14.5554,14.1273,14.5379,9005334.0
2020-02-21,14.3807,14.5466,14.1273,14.1797,8123406.0
2020-02-22,14.3807,14.5466,14.1273,14.1797,8123406.0
2020-02-23,14.3807,14.5466,14.1273,14.1797,8123406.0
2020-02-24,13.6992,13.6992,13.3235,13.4982,12614776.0
2020-02-25,13.6817,13.9001,12.677,12.7556,24836438.0
2020-02-26,12.843,12.9871,11.8033,11.8732,25516767.0
2020-02-27,11.4364,11.8033,10.8685,11.2704,22438819.0
2020-02-28,10.886,11.6286,10.8423,11.5587,21302904.0
2020-02-29,10.886,11.6286,10.8423,11.5587,21302904.0
2020-03-01,10.886,11.6286,10.8423,11.5587,21302904.0
