,LLY US Equity,LLY US Equity,LLY US Equity,LLY US Equity,LLY US Equity
2020-07-21,158.7046,159.047,156.6979,157.2114,1540685.0
2020-07-22,157.4397,157.7345,154.3868,156.774,1686461.0
2020-07-23,157.1734,157.3636,152.9221,153.6164,2408773.0
2020-07-24,153.5689,153.5689,150.6966,151.7333,2247922.0
2020-07-25,153.5689,153.5689,150.6966,151.7333,2247922.0
2020-07-26,153.5689,153.5689,150.6966,151.7333,2247922.0
2020-07-27,151.7904,153.8256,150.8298,152.6463,2709788.0
2020-07-28,153.7591,157.3161,153.45,154.6911,3483155.0
2020-07-29,154.577,155.0478,153.217,153.8352,3108858.0
2020-07-30,150.6966,150.7442,143.0881,145.5133,6638127.0
2020-07-31,145.637,145.8319,141.4618,142.9359,5342109.0
2020-08-01,145.637,145.8319,141.4618,142.9359,5342109.0
2020-08-02,145.637,145.8319,141.4618,142.9359,5342109.0
2020-08-03,145.3231,146.3217,143.8204,145.3611,3618435.0
2020-08-04,145.8747,148.3665,145.5989,147.2728,3260042.0
2020-08-05,149.6124,149.7836,145.7986,146.7877,2476460.0
2020-08-06,146.3217,147.891,143.6112,145.3992,2176543.0
2020-08-07,145.4753,145.9888,144.1628,145.4467,2017370.0
2020-08-08,145.4753,145.9888,144.1628,145.4467,2017370.0
2020-08-09,145.4753,145.9888,144.1628,145.4467,2017370.0
2020-08-10,145.4467,145.9793,144.1152,145.5133,1745207.0
2020-08-11,145.6465,145.6465,142.8503,143.2593,2103351.0
2020-08-12,143.4115,145.675,143.2308,145.0853,2430758.0
2020-08-13,144.1392,144.9707,143.1548,143.7952,2077861.0
2020-08-14,143.1644,144.9707,142.5432,143.4415,1538044.0
2020-08-15,143.1644,144.9707,142.5432,143.4415,1538044.0
2020-08-16,143.1644,144.9707,142.5432,143.4415,1538044.0
2020-08-17,144.2348,145.9359,143.6996,144.8178,2704741.0
2020-08-18,145.4103,146.366,144.4546,146.3278,1960131.0
2020-08-19,146.9968,147.5702,145.2765,145.5441,1939000.0
2020-08-20,145.7926,146.0793,144.1679,144.6362,1830243.0
2020-08-21,144.6362,144.6457,141.3963,142.6483,3111979.0
2020-08-22,144.6362,144.6457,141.3963,142.6483,3111979.0
2020-08-23,144.6362,144.6457,141.3963,142.6483,3111979.0
2020-08-24,143.4033,143.7378,141.683,142.8968,2268439.0
2020-08-25,143.6996,144.6075,142.6961,143.0497,2216224.0
2020-08-26,142.5814,142.8394,140.8803,142.6483,3029691.0
2020-08-27,143.9098,144.2539,142.3425,142.3712,3146090.0
2020-08-28,142.2469,142.5449,140.4693,140.8134,2102621.0
2020-08-29,142.2469,142.5449,140.4693,140.8134,2102621.0
2020-08-30,142.2469,142.5449,140.4693,140.8134,2102621.0
2020-08-31,140.8229,142.2039,140.5171,141.8168,4430706.0
2020-09-01,142.0271,142.591,140.1491,140.7751,2359277.0
2020-09-02,140.2877,143.3555,140.0201,142.9255,2407127.0
2020-09-03,145.4485,146.5762,140.928,142.4189,4226126.0
2020-09-04,142.18,145.8212,141.3963,144.2252,4361833.0
2020-09-05,142.18,145.8212,141.3963,144.2252,4361833.0
2020-09-06,142.18,145.8212,141.3963,144.2252,4361833.0
2020-09-07,142.18,145.8212,141.3963,144.2252,4361833.0
2020-09-08,144.2634,144.6075,141.922,142.6961,4351532.0
2020-09-09,143.9481,147.293,143.6518,145.2383,2328525.0
2020-09-10,143.2408,143.929,139.2603,139.743,3961343.0
2020-09-11,141.0236,142.5766,140.3737,141.5301,3001470.0
2020-09-12,141.0236,142.5766,140.3737,141.5301,3001470.0
2020-09-13,141.0236,142.5766,140.3737,141.5301,3001470.0
2020-09-14,142.4858,143.8382,140.9376,142.3998,3072507.0
2020-09-15,143.3173,145.1427,142.7964,143.432,2923507.0
2020-09-16,144.9993,145.9168,144.1105,144.273,3619715.0
2020-09-17,143.4798,145.9168,142.8347,145.7161,3620831.0
2020-09-18,145.3052,147.6562,145.3052,147.3408,13210113.0
2020-09-19,145.3052,147.6562,145.3052,147.3408,13210113.0
2020-09-20,145.3052,147.6562,145.3052,147.3408,13210113.0
2020-09-21,146.3851,146.8534,142.4572,144.4833,3501584.0
2020-09-22,144.2252,144.856,142.5432,143.2217,2926393.0
2020-09-23,143.4033,144.8751,142.1131,143.1739,3546101.0
2020-09-24,142.6483,143.0306,140.842,142.2182,3424319.0
2020-09-25,141.8168,143.7378,141.3008,143.604,2440587.0
2020-09-26,141.8168,143.7378,141.3008,143.604,2440587.0
2020-09-27,141.8168,143.7378,141.3008,143.604,2440587.0
2020-09-28,144.3112,144.8655,141.3486,141.5397,2427522.0
2020-09-29,141.425,141.8646,139.4658,139.7812,3308955.0
2020-09-30,139.915,141.8694,138.6344,141.4632,5083858.0
2020-10-01,141.7595,142.1179,137.6786,137.8985,3809247.0
2020-10-02,137.3059,140.4311,136.9236,138.7777,3879999.0
2020-10-03,137.3059,140.4311,136.9236,138.7777,3879999.0
2020-10-04,137.3059,140.4311,136.9236,138.7777,3879999.0
2020-10-05,138.6439,140.9376,137.7933,140.1348,2790616.0
2020-10-06,140.4215,141.2817,137.5544,137.7455,2409309.0
2020-10-07,141.9411,143.2504,140.3451,142.3616,4602829.0
2020-10-08,145.6492,147.121,143.8334,146.7005,4686102.0
2020-10-09,147.2644,150.1888,147.2452,149.9308,4590567.0
2020-10-10,147.2644,150.1888,147.2452,149.9308,4590567.0
2020-10-11,147.2644,150.1888,147.2452,149.9308,4590567.0
2020-10-12,149.883,150.1888,147.5797,147.6466,3242667.0
2020-10-13,146.2226,147.4908,141.9698,143.432,5963891.0
2020-10-14,143.7187,143.929,141.167,141.8837,2710585.0
2020-10-15,140.0201,140.4024,138.9402,140.2782,3785950.0
2020-10-16,140.5935,141.8073,139.5327,139.6474,2919724.0
2020-10-17,140.5935,141.8073,139.5327,139.6474,2919724.0
2020-10-18,140.5935,141.8073,139.5327,139.6474,2919724.0
2020-10-19,140.4884,140.8791,135.9106,136.4745,3158872.0
2020-10-20,137.0097,137.736,135.815,137.2295,2188844.0
2020-10-21,135.9871,136.981,134.9549,135.0505,1983653.0
2020-10-22,135.2607,135.9632,134.5631,135.3754,3057821.0
2020-10-23,135.9393,138.2903,135.4423,136.0731,2427462.0
2020-10-24,135.9393,138.2903,135.4423,136.0731,2427462.0
2020-10-25,135.9393,138.2903,135.4423,136.0731,2427462.0
2020-10-26,135.6143,135.987,133.8463,135.4232,2947097.0
2020-10-27,127.1277,130.0521,126.0286,126.0573,11374611.0
2020-10-28,124.6763,128.1606,124.5377,125.4934,6188028.0
2020-10-29,126.1529,127.2328,124.6046,126.6785,4099914.0
2020-10-30,125.9235,127.2089,123.4865,124.6811,4336046.0
2020-10-31,125.9235,127.2089,123.4865,124.6811,4336046.0
2020-11-01,125.9235,127.2089,123.4865,124.6811,4336046.0
2020-11-02,126.6689,128.0165,124.2319,125.7993,3449595.0
2020-11-03,127.7202,128.1312,124.9105,125.178,3628832.0
2020-11-04,128.9292,145.2478,128.9292,142.008,12211676.0
2020-11-05,141.1383,142.2182,138.2903,139.074,5730964.0
2020-11-06,138.6248,140.8611,132.9384,136.4171,6229782.0
2020-11-07,138.6248,140.8611,132.9384,136.4171,6229782.0
2020-11-08,138.6248,140.8611,132.9384,136.4171,6229782.0
2020-11-09,136.226,138.3381,134.3719,136.0253,5493775.0
2020-11-10,141.0618,142.591,137.4206,140.0679,5376964.0
2020-11-11,141.2148,141.2148,137.0192,138.3476,3046843.0
2020-11-12,137.3006,137.8097,134.3515,135.4754,3464669.0
2020-11-13,136.8203,137.5696,135.7541,136.7722,2144882.0
2020-11-14,136.8203,137.5696,135.7541,136.7722,2144882.0
2020-11-15,136.8203,137.5696,135.7541,136.7722,2144882.0
2020-11-16,137.4255,138.6166,134.486,135.0527,4957963.0
2020-11-17,134.0729,136.3688,133.1507,135.6387,3619448.0
2020-11-18,136.3112,136.8107,134.6109,134.6493,2795172.0
2020-11-19,134.7261,138.2228,133.4485,137.7617,4626099.0
2020-11-20,137.2141,141.2967,137.2141,139.7598,5064305.0
2020-11-21,137.2141,141.2967,137.2141,139.7598,5064305.0
2020-11-22,137.2141,141.2967,137.2141,139.7598,5064305.0
2020-11-23,139.8078,139.8846,135.6003,137.7329,3794513.0
2020-11-24,137.7425,139.9038,137.4735,139.193,4127874.0
2020-11-25,139.193,139.6157,136.9932,139.0489,3223766.0
2020-11-26,139.193,139.6157,136.9932,139.0489,3223766.0
2020-11-27,139.9135,142.0941,139.6349,141.633,1753995.0
2020-11-28,139.9135,142.0941,139.6349,141.633,1753995.0
2020-11-29,139.9135,142.0941,139.6349,141.633,1753995.0
2020-11-30,140.5763,142.3342,139.193,139.9135,5842198.0
2020-12-01,140.9125,142.2285,139.5388,139.827,3954412.0
2020-12-02,139.6349,141.2967,138.6935,139.4428,3757360.0
2020-12-03,139.9615,140.73,137.4927,138.4341,4059610.0
2020-12-04,138.3957,142.8625,138.3284,142.6032,3058757.0
2020-12-05,138.3957,142.8625,138.3284,142.6032,3058757.0
2020-12-06,138.3957,142.8625,138.3284,142.6032,3058757.0
2020-12-07,141.4985,142.4879,140.7108,141.6137,2637180.0
2020-12-08,141.1911,144.2266,141.1238,143.4197,2754502.0
2020-12-09,148.5013,152.68,147.6272,151.777,8364372.0
2020-12-10,153.5734,155.6195,151.95,154.6589,6430596.0
2020-12-11,153.4293,154.8318,152.7953,153.7367,3435693.0
2020-12-12,153.4293,154.8318,152.7953,153.7367,3435693.0
2020-12-13,153.4293,154.8318,152.7953,153.7367,3435693.0
2020-12-14,154.3611,155.8953,151.6137,151.6906,4390109.0
2020-12-15,153.1507,161.6041,151.8251,160.8356,6976079.0
2020-12-16,163.0066,166.3688,160.1824,165.2737,6009932.0
2020-12-17,164.9663,167.046,164.3611,165.8308,3473825.0
2020-12-18,165.7252,166.0806,162.3438,164.6493,7356515.0
2020-12-19,165.7252,166.0806,162.3438,164.6493,7356515.0
2020-12-20,165.7252,166.0806,162.3438,164.6493,7356515.0
2020-12-21,162.2285,162.3438,159.2698,162.1325,3656017.0
2020-12-22,161.1046,161.7578,159.3371,160.1536,2448907.0
2020-12-23,160.8548,161.3829,158.9528,158.9624,1697282.0
2020-12-24,159.3179,161.3255,159.3179,160.096,627229.0
2020-12-25,159.3179,161.3255,159.3179,160.096,627229.0
2020-12-26,159.3179,161.3255,159.3179,160.096,627229.0
2020-12-27,159.3179,161.3255,159.3179,160.096,627229.0
2020-12-28,160.6243,161.0016,158.7031,159.9423,1482012.0
2020-12-29,160.0671,161.143,159.3755,160.0191,1712024.0
2020-12-30,160.8452,161.7578,160.1152,160.4322,1413465.0
2020-12-31,160.4898,162.4735,159.7405,162.1901,1643767.0
2021-01-01,160.4898,162.4735,159.7405,162.1901,1643767.0
2021-01-02,160.4898,162.4735,159.7405,162.1901,1643767.0
2021-01-03,160.4898,162.4735,159.7405,162.1901,1643767.0
2021-01-04,162.363,162.8026,156.681,158.9816,3164894.0
2021-01-05,158.6839,160.096,156.7722,159.7694,2322787.0
2021-01-06,156.5609,160.6915,156.5513,157.8481,3619696.0
2021-01-07,157.7136,160.5378,155.4082,159.2987,3025518.0
2021-01-08,159.6733,160.2881,158.1555,159.8558,3438248.0
2021-01-09,159.6733,160.2881,158.1555,159.8558,3438248.0
2021-01-10,159.6733,160.2881,158.1555,159.8558,3438248.0
2021-01-11,177.7136,181.8454,174.851,178.6166,11402288.0
2021-01-12,175.5907,176.9836,170.4495,171.7578,7179275.0
2021-01-13,172.7472,180.2304,172.2765,178.1939,7303875.0
2021-01-14,177.973,181.5177,177.3102,179.3371,4413184.0
2021-01-15,179.4427,184.2266,179.4427,183.2564,6624572.0
2021-01-16,179.4427,184.2266,179.4427,183.2564,6624572.0
2021-01-17,179.4427,184.2266,179.4427,183.2564,6624572.0
2021-01-18,179.4427,184.2266,179.4427,183.2564,6624572.0
2021-01-19,188.2804,191.6616,186.4264,190.6627,7729052.0
2021-01-20,190.9413,193.8261,190.8548,193.3332,5335808.0
2021-01-21,195.6771,196.6569,190.2112,194.3803,8702898.0
2021-01-22,194.0825,198.4053,192.6608,198.021,6128788.0
2021-01-23,194.0825,198.4053,192.6608,198.021,6128788.0
2021-01-24,194.0825,198.4053,192.6608,198.021,6128788.0
2021-01-25,200.0383,204.1593,199.8922,203.9864,5959055.0
2021-01-26,204.1785,204.8318,202.3053,204.3418,6601482.0
2021-01-27,202.7568,203.6694,197.022,199.3947,7358032.0
2021-01-28,199.8078,203.4965,199.3947,201.8443,5460392.0
2021-01-29,203.6118,209.4139,196.4072,199.7789,8401721.0
2021-01-30,203.6118,209.4139,196.4072,199.7789,8401721.0
2021-01-31,203.6118,209.4139,196.4072,199.7789,8401721.0
2021-02-01,201.2102,201.6233,195.1007,195.1392,5383786.0
2021-02-02,196.3303,197.7905,189.5772,189.7789,5314567.0
2021-02-03,190.0191,192.6896,189.1353,189.2026,3679090.0
2021-02-04,189.0585,193.9288,187.9346,193.679,2924329.0
2021-02-05,193.679,194.9277,192.9394,193.8231,2732210.0
2021-02-06,193.679,194.9277,192.9394,193.8231,2732210.0
2021-02-07,193.679,194.9277,192.9394,193.8231,2732210.0
2021-02-08,194.4091,198.2996,193.9576,197.6656,2909487.0
2021-02-09,195.7251,196.8778,192.4302,193.7655,2661320.0
2021-02-10,196.4168,197.4542,193.6982,196.3399,3062709.0
2021-02-11,195.6937,196.9573,194.4879,195.4139,3544689.0
2021-02-12,194.5168,200.8544,194.0345,199.9573,2611297.0
2021-02-13,194.5168,200.8544,194.0345,199.9573,2611297.0
2021-02-14,194.5168,200.8544,194.0345,199.9573,2611297.0
2021-02-15,194.5168,200.8544,194.0345,199.9573,2611297.0
2021-02-16,198.6937,200.1503,196.4075,198.4815,2741949.0
2021-02-17,197.758,199.3786,197.0393,199.1567,3339286.0
2021-02-18,198.0377,198.1487,193.8416,194.0056,3919791.0
2021-02-19,194.0152,195.7023,193.2436,193.8127,3434858.0
2021-02-20,194.0152,195.7023,193.2436,193.8127,3434858.0
2021-02-21,194.0152,195.7023,193.2436,193.8127,3434858.0
2021-02-22,192.1342,194.4783,190.9574,193.5812,2263632.0
2021-02-23,193.2242,197.0828,191.6519,195.3175,3287678.0
2021-02-24,194.5361,199.1519,194.4976,197.2853,2848792.0
2021-02-25,196.3689,198.2789,194.6133,196.6101,2386804.0
2021-02-26,199.3882,199.6679,194.9123,197.6422,3887878.0
2021-02-27,199.3882,199.6679,194.9123,197.6422,3887878.0
2021-02-28,199.3882,199.6679,194.9123,197.6422,3887878.0
