,EQT US Equity,EQT US Equity,EQT US Equity,EQT US Equity,EQT US Equity
2020-01-29,6.4174,6.4653,5.7469,5.8331,9945965.0
2020-01-30,5.7756,5.9768,5.7565,5.9289,6957906.0
2020-01-31,5.814,6.0055,5.5266,5.7948,12281604.0
2020-02-01,5.814,6.0055,5.5266,5.7948,12281604.0
2020-02-02,5.814,6.0055,5.5266,5.7948,12281604.0
2020-02-03,5.7469,5.8714,5.4979,5.6511,9139562.0
2020-02-04,5.7756,5.7948,5.4404,5.4787,8939973.0
2020-02-05,5.5937,5.8954,5.5745,5.7469,13261105.0
2020-02-06,5.699,5.7181,5.201,5.2105,12069952.0
2020-02-07,5.1626,5.2873,5.0477,5.0764,8670681.0
2020-02-08,5.1626,5.2873,5.0477,5.0764,8670681.0
2020-02-09,5.1626,5.2873,5.0477,5.0764,8670681.0
2020-02-10,4.9711,5.1339,4.7987,4.8944,8002194.0
2020-02-11,4.9902,5.1387,4.8944,4.9136,7467523.0
2020-02-12,5.0669,5.1914,4.9328,5.0573,8390107.0
2020-02-13,5.0765,5.3077,4.9898,5.2114,6544784.0
2020-02-14,5.2307,5.3284,5.0717,5.0958,6198597.0
2020-02-15,5.2307,5.3284,5.0717,5.0958,6198597.0
2020-02-16,5.2307,5.3284,5.0717,5.0958,6198597.0
2020-02-17,5.2307,5.3284,5.0717,5.0958,6198597.0
2020-02-18,5.1536,5.51,5.1247,5.4715,6849077.0
2020-02-19,5.5486,5.722,5.3848,5.6931,9990359.0
2020-02-20,5.6834,5.9242,5.6834,5.7894,8791637.0
2020-02-21,5.6642,5.6642,5.327,5.5967,8703392.0
2020-02-22,5.6642,5.6642,5.327,5.5967,8703392.0
2020-02-23,5.6642,5.6642,5.327,5.5967,8703392.0
2020-02-24,5.221,5.5004,5.2114,5.3077,7711171.0
2020-02-25,5.3174,5.3174,4.7538,4.9706,8393639.0
2020-02-26,5.0284,5.1825,4.7683,4.7779,9345520.0
2020-02-27,4.7394,5.3366,4.0555,5.1825,21824969.0
2020-02-28,4.961,5.7316,4.9417,5.6545,19794066.0
2020-02-29,4.961,5.7316,4.9417,5.6545,19794066.0
2020-03-01,4.961,5.7316,4.9417,5.6545,19794066.0
2020-03-02,5.8375,5.8761,5.5293,5.8568,17256272.0
2020-03-03,5.8472,5.9805,5.5341,5.9242,11179798.0
2020-03-04,5.9242,6.1073,5.6275,5.8857,10516769.0
2020-03-05,5.6449,6.1651,5.6449,6.1169,11214998.0
2020-03-06,5.8568,6.6756,5.799,6.1554,18486846.0
2020-03-07,5.8568,6.6756,5.799,6.1554,18486846.0
2020-03-08,5.8568,6.6756,5.799,6.1554,18486846.0
2020-03-09,4.7394,7.6293,4.7201,6.8008,26465436.0
2020-03-10,6.955,7.4366,5.7894,6.8008,20699710.0
2020-03-11,6.4541,7.1862,6.4348,6.6274,16600406.0
2020-03-12,6.0687,7.0513,5.8279,6.6852,15101074.0
2020-03-13,6.849,9.1802,6.6371,9.1802,21564121.0
2020-03-14,6.849,9.1802,6.6371,9.1802,21564121.0
2020-03-15,6.849,9.1802,6.6371,9.1802,21564121.0
2020-03-16,8.1591,9.9315,7.5907,8.371,18020332.0
2020-03-17,8.4673,9.2283,8.1976,9.0646,14730884.0
2020-03-18,8.7178,9.2813,7.9038,8.371,12141153.0
2020-03-19,8.6022,8.7852,6.7719,7.7834,11988127.0
2020-03-20,7.7738,7.9279,6.9742,7.1765,9511996.0
2020-03-21,7.7738,7.9279,6.9742,7.1765,9511996.0
2020-03-22,7.7738,7.9279,6.9742,7.1765,9511996.0
2020-03-23,7.1765,7.244,5.7894,5.8375,8974697.0
2020-03-24,6.2132,7.032,5.4233,6.9839,11355893.0
2020-03-25,6.9839,7.8123,6.5985,7.4462,11077607.0
2020-03-26,7.4559,7.9533,6.4348,6.7045,6897027.0
2020-03-27,6.5311,7.1091,6.4059,6.6467,6588280.0
2020-03-28,6.5311,7.1091,6.4059,6.6467,6588280.0
2020-03-29,6.5311,7.1091,6.4059,6.6467,6588280.0
2020-03-30,6.483,7.2054,6.2614,6.7238,9191213.0
2020-03-31,6.7334,7.0657,6.3914,6.8105,9753717.0
2020-04-01,6.6274,7.4029,6.5889,7.032,8688854.0
2020-04-02,7.244,7.6389,6.2036,7.6004,14678751.0
2020-04-03,7.716,8.6118,7.3884,8.4481,9024189.0
2020-04-04,7.716,8.6118,7.3884,8.4481,9024189.0
2020-04-05,7.716,8.6118,7.3884,8.4481,9024189.0
2020-04-06,8.5251,9.6088,8.1543,9.4017,9123670.0
2020-04-07,9.4884,10.7696,9.2042,10.3554,10694368.0
2020-04-08,10.4324,10.7011,9.8159,10.4421,6554765.0
2020-04-09,10.4228,11.3187,10.1627,10.4228,11886906.0
2020-04-10,10.4228,11.3187,10.1627,10.4228,11886906.0
2020-04-11,10.4228,11.3187,10.1627,10.4228,11886906.0
2020-04-12,10.4228,11.3187,10.1627,10.4228,11886906.0
2020-04-13,10.9719,12.0508,10.8081,11.9737,10942819.0
2020-04-14,12.0411,12.6095,11.704,12.3879,9092060.0
2020-04-15,12.2049,12.7443,11.598,12.571,9017275.0
2020-04-16,12.5806,13.0526,12.1712,12.3398,9171864.0
2020-04-17,12.5613,12.9852,12.0604,12.8792,7702895.0
2020-04-18,12.5613,12.9852,12.0604,12.8792,7702895.0
2020-04-19,12.5613,12.9852,12.0604,12.8792,7702895.0
2020-04-20,12.5517,15.1574,12.5421,14.9888,13228424.0
2020-04-21,15.1622,16.5301,14.9166,14.9984,11685445.0
2020-04-22,15.2971,15.5861,13.6113,13.7269,7500856.0
2020-04-23,13.3609,13.6691,11.8966,12.0411,17449735.0
2020-04-24,12.176,13.1393,11.9352,12.8985,25836365.0
2020-04-25,12.176,13.1393,11.9352,12.8985,25836365.0
2020-04-26,12.176,13.1393,11.9352,12.8985,25836365.0
2020-04-27,12.8985,13.4764,12.3494,13.2838,8616626.0
2020-04-28,13.3898,13.6402,12.6865,12.8985,9159842.0
2020-04-29,13.1297,13.8232,13.0044,13.5728,6911058.0
2020-04-30,13.9774,14.5842,13.2067,14.0544,10297209.0
2020-05-01,13.7558,13.9966,13.3898,13.8425,6444030.0
2020-05-02,13.7558,13.9966,13.3898,13.8425,6444030.0
2020-05-03,13.7558,13.9966,13.3898,13.8425,6444030.0
2020-05-04,13.7076,14.3627,13.3609,14.2567,6613588.0
2020-05-05,14.7384,14.854,13.5824,13.804,6853208.0
2020-05-06,13.881,13.9966,13.0719,13.1297,6300652.0
2020-05-07,13.1393,13.9388,12.8407,13.12,6888381.0
2020-05-08,13.1008,13.5487,12.9659,13.4764,4597767.0
2020-05-09,13.1008,13.5487,12.9659,13.4764,4597767.0
2020-05-10,13.1008,13.5487,12.9659,13.4764,4597767.0
2020-05-11,13.3801,13.8329,12.6673,12.6865,6436412.0
2020-05-12,12.754,12.9659,12.1712,12.1953,7111086.0
2020-05-13,12.2242,12.2627,11.4535,11.9833,9142813.0
2020-05-14,11.8196,12.648,11.5017,12.0797,6650877.0
2020-05-15,12.07,12.8792,11.8678,12.2723,5532882.0
2020-05-16,12.07,12.8792,11.8678,12.2723,5532882.0
2020-05-17,12.07,12.8792,11.8678,12.2723,5532882.0
2020-05-18,12.6095,12.831,12.1086,12.4072,7375206.0
2020-05-19,12.5902,12.8696,12.2627,12.3301,4684106.0
2020-05-20,12.5517,13.2067,12.4457,12.8407,7183786.0
2020-05-21,13.0333,13.1971,12.4361,12.6865,3992335.0
2020-05-22,12.6288,13.3416,12.3879,13.2356,6788277.0
2020-05-23,12.6288,13.3416,12.3879,13.2356,6788277.0
2020-05-24,12.6288,13.3416,12.3879,13.2356,6788277.0
2020-05-25,12.6288,13.3416,12.3879,13.2356,6788277.0
2020-05-26,12.8503,14.4927,12.6191,14.2085,12750237.0
2020-05-27,14.276,14.4012,13.1393,13.6498,6925587.0
2020-05-28,13.5439,14.3673,12.7492,12.8792,6074946.0
2020-05-29,12.8888,13.2067,12.4987,12.8503,5988439.0
2020-05-30,12.8888,13.2067,12.4987,12.8503,5988439.0
2020-05-31,12.8888,13.2067,12.4987,12.8503,5988439.0
2020-06-01,12.3494,12.7347,12.0893,12.3976,7220451.0
2020-06-02,12.4361,12.9948,12.3349,12.8985,4393636.0
2020-06-03,13.1104,13.4668,12.7154,13.3609,7115676.0
2020-06-04,13.3512,13.7991,13.1682,13.7751,5266362.0
2020-06-05,13.8329,14.5553,13.5246,14.4783,6680313.0
2020-06-06,13.8329,14.5553,13.5246,14.4783,6680313.0
2020-06-07,13.8329,14.5553,13.5246,14.4783,6680313.0
2020-06-08,14.5842,16.2796,14.3628,16.27,9865856.0
2020-06-09,16.087,16.087,15.4223,15.6342,7274198.0
2020-06-10,15.4994,15.6053,14.5939,14.6131,5833408.0
2020-06-11,14.0063,14.8299,13.8907,14.1315,7067904.0
2020-06-12,14.6324,14.6324,13.7751,14.2663,5339310.0
2020-06-13,14.6324,14.6324,13.7751,14.2663,5339310.0
2020-06-14,14.6324,14.6324,13.7751,14.2663,5339310.0
2020-06-15,13.6498,14.0207,13.1393,13.8618,6698701.0
2020-06-16,14.2567,14.2567,13.4186,13.5631,5288385.0
2020-06-17,13.6306,13.8329,13.2982,13.5053,4560948.0
2020-06-18,13.4379,13.6932,13.12,13.1778,4681091.0
2020-06-19,13.3031,13.3994,12.4361,12.4457,14577264.0
2020-06-20,13.3031,13.3994,12.4361,12.4457,14577264.0
2020-06-21,13.3031,13.3994,12.4361,12.4457,14577264.0
2020-06-22,12.4554,12.5565,11.6221,11.8966,5756948.0
2020-06-23,11.9641,12.2723,11.6462,11.8003,5455688.0
2020-06-24,11.7136,12.1471,11.521,11.5499,5340892.0
2020-06-25,11.3765,11.7328,10.6636,10.9623,7015465.0
2020-06-26,10.9526,10.9526,10.129,10.2591,7140023.0
2020-06-27,10.9526,10.9526,10.129,10.2591,7140023.0
2020-06-28,10.9526,10.9526,10.129,10.2591,7140023.0
2020-06-29,10.4035,10.7985,10.1627,10.654,5757036.0
2020-06-30,10.7792,11.5499,10.6636,11.4632,8873287.0
2020-07-01,11.3187,11.4921,10.8804,11.0201,4940808.0
2020-07-02,11.521,12.3494,11.4636,12.2049,5177750.0
2020-07-03,11.521,12.3494,11.4636,12.2049,5177750.0
2020-07-04,11.521,12.3494,11.4636,12.2049,5177750.0
2020-07-05,11.521,12.3494,11.4636,12.2049,5177750.0
2020-07-06,12.6576,13.2404,12.6384,13.1008,7133911.0
2020-07-07,12.8696,14.2182,12.8696,13.5535,6666744.0
2020-07-08,13.5824,13.6691,12.6817,12.8214,4130059.0
2020-07-09,12.9948,13.4283,12.6769,12.6865,5416330.0
2020-07-10,12.6865,12.8407,12.2097,12.5421,4693875.0
2020-07-11,12.6865,12.8407,12.2097,12.5421,4693875.0
2020-07-12,12.6865,12.8407,12.2097,12.5421,4693875.0
2020-07-13,12.6576,12.8503,12.0219,12.0315,4129372.0
2020-07-14,11.9352,12.2964,11.7425,12.1471,4077185.0
2020-07-15,12.3783,12.4265,11.9015,12.282,3987461.0
2020-07-16,12.2627,12.6432,12.1327,12.1953,2697754.0
2020-07-17,12.3301,12.4505,11.9833,12.0219,3763400.0
2020-07-18,12.3301,12.4505,11.9833,12.0219,3763400.0
2020-07-19,12.3301,12.4505,11.9833,12.0219,3763400.0
2020-07-20,11.9833,12.2434,11.8196,11.9159,4287156.0
2020-07-21,12.1471,13.0044,11.9352,12.8696,4493248.0
2020-07-22,12.5902,12.648,12.0508,12.5517,4530048.0
2020-07-23,12.7829,14.0111,12.648,13.7076,6980435.0
2020-07-24,13.5246,14.1989,13.4861,13.6498,5308207.0
2020-07-25,13.5246,14.1989,13.4861,13.6498,5308207.0
2020-07-26,13.5246,14.1989,13.4861,13.6498,5308207.0
2020-07-27,12.7732,13.9003,12.6288,12.9177,5230517.0
2020-07-28,13.043,13.7558,13.0333,13.3127,3950265.0
2020-07-29,13.4379,13.9581,12.99,13.9581,4477881.0
2020-07-30,13.6787,14.0014,13.4964,13.7173,3597150.0
2020-07-31,13.6017,13.987,13.2453,13.987,5056222.0
2020-08-01,13.6017,13.987,13.2453,13.987,5056222.0
2020-08-02,13.6017,13.987,13.2453,13.987,5056222.0
2020-08-03,14.4494,15.6053,14.4012,15.114,6736530.0
2020-08-04,15.0177,15.5283,14.748,15.3934,6202538.0
2020-08-05,15.6342,16.2411,15.3255,15.7594,6163515.0
2020-08-06,15.9136,16.5156,15.6487,15.7402,4653617.0
2020-08-07,15.7113,16.6071,15.6728,16.5397,4392937.0
2020-08-08,15.7113,16.6071,15.6728,16.5397,4392937.0
2020-08-09,15.7113,16.6071,15.6728,16.5397,4392937.0
2020-08-10,16.5397,17.3055,16.4049,16.5301,7098309.0
2020-08-11,16.5975,16.7709,15.615,15.6342,3920884.0
2020-08-12,15.7691,16.0773,15.4367,15.7691,2700109.0
2020-08-13,15.7787,15.981,15.1911,15.403,3194802.0
2020-08-14,15.6053,16.8961,15.5729,16.3374,5616870.0
2020-08-15,15.6053,16.8961,15.5729,16.3374,5616870.0
2020-08-16,15.6053,16.8961,15.5729,16.3374,5616870.0
2020-08-17,16.376,16.5879,15.6467,16.4819,4398673.0
2020-08-18,16.742,16.9925,15.8606,15.9232,4270780.0
2020-08-19,15.9617,16.5012,15.8276,16.0195,2554283.0
2020-08-20,15.9714,16.0099,15.2489,15.2778,3038132.0
2020-08-21,15.3645,15.5909,15.1237,15.4512,3187587.0
2020-08-22,15.3645,15.5909,15.1237,15.4512,3187587.0
2020-08-23,15.3645,15.5909,15.1237,15.4512,3187587.0
2020-08-24,15.6728,16.0711,15.1911,15.7787,3014306.0
2020-08-25,15.8076,15.981,15.5331,15.7691,1817685.0
2020-08-26,15.6535,15.7787,14.9671,15.1044,3306237.0
2020-08-27,15.2778,15.6631,14.9984,15.5572,3504146.0
2020-08-28,15.5764,15.7305,15.3404,15.4319,2515978.0
2020-08-29,15.5764,15.7305,15.3404,15.4319,2515978.0
2020-08-30,15.5764,15.7305,15.3404,15.4319,2515978.0
2020-08-31,15.3645,15.4994,14.5168,15.2874,4945732.0
2020-09-01,15.0466,15.1526,14.748,15.0273,2380550.0
2020-09-02,14.9214,15.0081,14.4686,14.5072,3702908.0
2020-09-03,14.4783,15.2537,14.4686,14.7287,3188487.0
2020-09-04,14.8732,15.0562,14.2567,14.7962,3275693.0
2020-09-05,14.8732,15.0562,14.2567,14.7962,3275693.0
2020-09-06,14.8732,15.0562,14.2567,14.7962,3275693.0
2020-09-07,14.8732,15.0562,14.2567,14.7962,3275693.0
2020-09-08,14.5168,14.5168,13.804,13.9677,5222908.0
2020-09-09,14.1604,14.3097,13.8425,14.2278,3882472.0
2020-09-10,14.3145,14.3145,13.4186,13.5535,4114154.0
2020-09-11,13.6402,13.7076,13.1441,13.515,4217679.0
2020-09-12,13.6402,13.7076,13.1441,13.515,4217679.0
2020-09-13,13.6402,13.7076,13.1441,13.515,4217679.0
2020-09-14,13.6306,13.8618,13.1778,13.7076,4493072.0
2020-09-15,13.8425,14.3627,13.6609,13.7269,4506061.0
2020-09-16,13.7751,14.4205,13.6498,14.2182,4591730.0
2020-09-17,13.9677,14.1122,13.1489,14.0448,6260407.0
2020-09-18,14.1219,14.8395,13.987,14.5842,6956257.0
2020-09-19,14.1219,14.8395,13.987,14.5842,6956257.0
2020-09-20,14.1219,14.8395,13.987,14.5842,6956257.0
2020-09-21,14.3049,15.0466,14.1411,14.8829,4443035.0
2020-09-22,14.8251,15.0466,14.17,14.17,4037769.0
2020-09-23,14.353,14.6613,13.8521,13.8618,3425426.0
2020-09-24,13.804,14.353,13.7173,13.9485,3779889.0
2020-09-25,13.7269,13.9196,13.2356,13.3609,3570773.0
2020-09-26,13.7269,13.9196,13.2356,13.3609,3570773.0
2020-09-27,13.7269,13.9196,13.2356,13.3609,3570773.0
2020-09-28,13.4572,13.6161,12.7492,13.4764,3602904.0
2020-09-29,13.226,13.2742,12.282,12.3687,6710542.0
2020-09-30,12.2627,12.6865,12.1134,12.4554,4474939.0
2020-10-01,12.3398,12.5999,12.0026,12.2145,2916065.0
2020-10-02,11.8389,12.595,11.8196,12.2627,2583378.0
2020-10-03,11.8389,12.595,11.8196,12.2627,2583378.0
2020-10-04,11.8389,12.595,11.8196,12.2627,2583378.0
2020-10-05,12.5613,13.226,12.5132,13.1875,4438717.0
2020-10-06,13.3705,13.7173,12.9081,12.9659,3119203.0
2020-10-07,13.1682,13.6884,13.0093,13.6113,3542026.0
2020-10-08,13.7462,13.9725,13.3753,13.9677,3052569.0
2020-10-09,14.3627,14.6806,13.8569,14.1508,4188425.0
2020-10-10,14.3627,14.6806,13.8569,14.1508,4188425.0
2020-10-11,14.3627,14.6806,13.8569,14.1508,4188425.0
2020-10-12,14.2182,14.9599,14.0544,14.8347,3954658.0
2020-10-13,15.0273,15.0659,14.6131,14.6902,2807152.0
2020-10-14,14.5264,14.7721,14.2856,14.3049,3165545.0
2020-10-15,14.4301,14.801,14.1604,14.5457,3121843.0
2020-10-16,14.6131,14.7432,14.1411,14.17,3543115.0
2020-10-17,14.6131,14.7432,14.1411,14.17,3543115.0
2020-10-18,14.6131,14.7432,14.1411,14.17,3543115.0
2020-10-19,14.2952,14.3097,13.8136,14.1219,2380187.0
2020-10-20,14.2374,14.7576,14.1411,14.4783,4106147.0
2020-10-21,14.9118,15.3163,14.093,14.2856,4933877.0
2020-10-22,14.2952,16.2507,14.2061,15.22,11511430.0
2020-10-23,15.1911,15.6342,14.854,15.5572,6562151.0
2020-10-24,15.1911,15.6342,14.854,15.5572,6562151.0
2020-10-25,15.1911,15.6342,14.854,15.5572,6562151.0
2020-10-26,15.4897,15.4897,14.8877,15.0562,3390628.0
2020-10-27,15.0273,15.7209,14.6228,15.5668,5483651.0
2020-10-28,14.7962,15.9204,14.7962,15.2007,22007480.0
2020-10-29,15.1815,15.4319,14.6179,14.9984,13423841.0
2020-10-30,14.9406,15.0466,14.2085,14.5842,6577461.0
2020-10-31,14.9406,15.0466,14.2085,14.5842,6577461.0
2020-11-01,14.9406,15.0466,14.2085,14.5842,6577461.0
2020-11-02,14.5746,15.1718,14.0833,14.9021,5651972.0
2020-11-03,14.9888,15.3067,14.1122,14.3145,5863710.0
2020-11-04,14.1508,14.2855,13.2838,13.6787,6681646.0
2020-11-05,13.7751,14.4012,13.5728,13.7365,4875657.0
2020-11-06,13.7847,13.9774,13.2645,13.6306,5954154.0
2020-11-07,13.7847,13.9774,13.2645,13.6306,5954154.0
2020-11-08,13.7847,13.9774,13.2645,13.6306,5954154.0
2020-11-09,14.1604,14.2567,12.5421,12.9948,11310641.0
2020-11-10,13.1971,13.6017,12.754,13.592,6111972.0
2020-11-11,13.7751,14.1893,13.6498,14.1508,4465571.0
2020-11-12,13.9774,14.4205,13.751,13.987,4425612.0
2020-11-13,14.1893,14.7673,13.9966,14.6709,4165903.0
2020-11-14,14.1893,14.7673,13.9966,14.6709,4165903.0
2020-11-15,14.1893,14.7673,13.9966,14.6709,4165903.0
2020-11-16,14.4205,14.4494,13.4524,14.1122,5999765.0
2020-11-17,13.9388,14.1315,13.698,13.9003,3879216.0
2020-11-18,14.0737,14.3434,13.7751,13.8714,5141751.0
2020-11-19,13.5439,14.4518,13.2067,14.4397,6067105.0
2020-11-20,14.4783,15.0081,13.8714,14.1796,5896926.0
2020-11-21,14.4783,15.0081,13.8714,14.1796,5896926.0
2020-11-22,14.4783,15.0081,13.8714,14.1796,5896926.0
2020-11-23,14.3916,14.9503,14.1989,14.8443,5038488.0
2020-11-24,15.1718,15.4127,14.5842,15.3838,5676435.0
2020-11-25,15.3452,15.3452,14.5686,14.8347,3932286.0
2020-11-26,15.3452,15.3452,14.5686,14.8347,3932286.0
2020-11-27,14.642,15.0659,14.5361,14.6902,1440625.0
2020-11-28,14.642,15.0659,14.5361,14.6902,1440625.0
2020-11-29,14.642,15.0659,14.5361,14.6902,1440625.0
2020-11-30,14.9792,15.2874,14.3001,14.3338,5346929.0
2020-12-01,14.5168,14.8154,13.804,13.9485,4264138.0
2020-12-02,13.9966,14.5553,13.6595,13.9581,4139439.0
2020-12-03,13.8714,13.8907,12.9563,12.9948,7718197.0
2020-12-04,13.2164,13.8136,13.1393,13.7173,5450191.0
2020-12-05,13.2164,13.8136,13.1393,13.7173,5450191.0
2020-12-06,13.2164,13.8136,13.1393,13.7173,5450191.0
2020-12-07,13.3801,13.804,13.0044,13.3705,6318996.0
2020-12-08,13.0911,13.4186,12.7443,12.8985,8810122.0
2020-12-09,13.0911,13.6739,12.8407,13.4379,6901979.0
2020-12-10,13.5053,14.2808,13.3512,14.1219,8051072.0
2020-12-11,14.17,14.17,12.9177,13.4379,7432809.0
2020-12-12,14.17,14.17,12.9177,13.4379,7432809.0
2020-12-13,14.17,14.17,12.9177,13.4379,7432809.0
2020-12-14,13.6595,13.9293,13.3368,13.3705,4008457.0
2020-12-15,13.7076,13.8714,13.3416,13.7462,4922026.0
2020-12-16,13.7462,13.751,13.0381,13.1104,5840887.0
2020-12-17,13.2164,13.4958,12.7829,13.0141,6621919.0
2020-12-18,13.0815,13.2934,12.7684,13.0237,10448902.0
2020-12-19,13.0815,13.2934,12.7684,13.0237,10448902.0
2020-12-20,13.0815,13.2934,12.7684,13.0237,10448902.0
2020-12-21,12.7347,13.0815,12.4457,12.9563,5752101.0
2020-12-22,13.1008,13.2356,12.7251,12.7925,3724705.0
2020-12-23,12.6962,13.7125,12.6962,13.6691,5817655.0
2020-12-24,13.7076,13.7462,13.3416,13.3994,1469497.0
2020-12-25,13.7076,13.7462,13.3416,13.3994,1469497.0
2020-12-26,13.7076,13.7462,13.3416,13.3994,1469497.0
2020-12-27,13.7076,13.7462,13.3416,13.3994,1469497.0
2020-12-28,13.0237,13.0911,12.1086,12.1471,10303450.0
2020-12-29,12.2338,12.3398,11.8196,12.0026,4846826.0
2020-12-30,12.0026,12.6095,11.8966,12.5035,3853592.0
2020-12-31,12.4457,12.4843,12.07,12.2434,4550691.0
2021-01-01,12.4457,12.4843,12.07,12.2434,4550691.0
2021-01-02,12.4457,12.4843,12.07,12.2434,4550691.0
2021-01-03,12.4457,12.4843,12.07,12.2434,4550691.0
2021-01-04,12.4939,13.0457,12.4554,12.9177,5338818.0
2021-01-05,13.2453,14.1363,13.1441,13.5246,10400648.0
2021-01-06,13.6498,14.4205,13.3801,14.4108,6488266.0
2021-01-07,14.4108,14.8829,14.1556,14.3916,4896138.0
2021-01-08,14.5361,14.5746,13.8232,13.987,4830727.0
2021-01-09,14.5361,14.5746,13.8232,13.987,4830727.0
2021-01-10,14.5361,14.5746,13.8232,13.987,4830727.0
2021-01-11,13.7173,14.7095,13.6017,14.6613,4200484.0
2021-01-12,15.0851,15.9039,14.9503,15.875,8700482.0
2021-01-13,15.9521,16.9395,15.6246,16.559,9650053.0
2021-01-14,16.8094,17.5126,16.7227,17.2429,8873907.0
2021-01-15,17.4452,17.975,17.1562,17.8209,7712825.0
2021-01-16,17.4452,17.975,17.1562,17.8209,7712825.0
2021-01-17,17.4452,17.975,17.1562,17.8209,7712825.0
2021-01-18,17.4452,17.975,17.1562,17.8209,7712825.0
2021-01-19,17.6282,17.9365,15.8461,16.4049,7818836.0
2021-01-20,16.5204,16.5975,15.2971,15.5861,6356378.0
2021-01-21,15.4416,15.9328,14.9118,15.403,4876229.0
2021-01-22,15.037,15.8365,14.7865,15.7883,3356325.0
2021-01-23,15.037,15.8365,14.7865,15.7883,3356325.0
2021-01-24,15.037,15.8365,14.7865,15.7883,3356325.0
2021-01-25,16.0773,16.4819,15.6631,15.8654,4480636.0
2021-01-26,16.0677,16.2604,15.3645,15.3838,4638621.0
2021-01-27,15.1526,16.5975,14.8347,15.9521,9222408.0
2021-01-28,16.2315,16.27,15.2393,15.8365,5974467.0
2021-01-29,15.8654,16.5782,15.6342,15.7113,6138800.0
2021-01-30,15.8654,16.5782,15.6342,15.7113,6138800.0
2021-01-31,15.8654,16.5782,15.6342,15.7113,6138800.0
2021-02-01,16.3567,16.9154,16.2604,16.3856,5397094.0
2021-02-02,16.9539,17.0117,15.896,15.9617,5561902.0
2021-02-03,15.9521,16.8191,15.9521,16.6264,4788912.0
2021-02-04,16.7516,16.7565,16.2796,16.3663,3121026.0
2021-02-05,16.6746,16.7035,15.9232,16.1351,4090539.0
2021-02-06,16.6746,16.7035,15.9232,16.1351,4090539.0
2021-02-07,16.6746,16.7035,15.9232,16.1351,4090539.0
2021-02-08,16.3374,16.4723,16.0195,16.453,4480535.0
2021-02-09,16.3278,16.4819,15.7402,15.8461,4806841.0
2021-02-10,15.9232,16.2844,15.3838,16.1544,5162872.0
2021-02-11,16.1544,16.3856,15.8993,16.2122,6318961.0
2021-02-12,16.2315,17.1081,16.1014,17.0117,6451304.0
2021-02-13,16.2315,17.1081,16.1014,17.0117,6451304.0
2021-02-14,16.2315,17.1081,16.1014,17.0117,6451304.0
2021-02-15,16.2315,17.1081,16.1014,17.0117,6451304.0
2021-02-16,17.5801,17.8931,17.031,17.2044,7559093.0
2021-02-17,17.397,18.9672,16.5493,18.4663,9346935.0
2021-02-18,18.3603,18.6397,17.3541,17.6282,7551634.0
2021-02-19,17.8787,18.2736,17.3681,17.7053,5376072.0
2021-02-20,17.8787,18.2736,17.3681,17.7053,5376072.0
2021-02-21,17.8787,18.2736,17.3681,17.7053,5376072.0
2021-02-22,17.8305,17.9413,17.0358,17.0406,6256820.0
2021-02-23,17.1466,17.2477,15.7402,17.0021,6878343.0
2021-02-24,17.1948,18.2592,16.9732,17.9269,5112811.0
2021-02-25,17.9172,18.3892,17.1177,17.4837,4940103.0
2021-02-26,17.4259,17.6465,16.4723,17.137,4949945.0
2021-02-27,17.4259,17.6465,16.4723,17.137,4949945.0
2021-02-28,17.4259,17.6465,16.4723,17.137,4949945.0
