,TPL US Equity,TPL US Equity,TPL US Equity,TPL US Equity,TPL US Equity
2020-02-05,243.7751,251.5852,242.3273,247.2881,81615.0
2020-02-06,247.2665,248.8657,245.4143,248.0567,63702.0
2020-02-07,246.3404,249.8626,243.9109,247.606,38334.0
2020-02-08,246.3404,249.8626,243.9109,247.606,38334.0
2020-02-09,246.3404,249.8626,243.9109,247.606,38334.0
2020-02-10,246.9578,247.8981,237.9284,239.9997,50280.0
2020-02-11,240.0121,244.4882,240.0121,241.4321,26175.0
2020-02-12,242.2965,245.1056,242.2965,243.1762,44205.0
2020-02-13,241.0925,242.636,238.744,241.8643,30705.0
2020-02-14,242.0186,242.0186,237.6969,237.7185,13950.0
2020-02-15,242.0186,242.0186,237.6969,237.7185,13950.0
2020-02-16,242.0186,242.0186,237.6969,237.7185,13950.0
2020-02-17,242.0186,242.0186,237.6969,237.7185,13950.0
2020-02-18,236.6812,237.4962,234.3012,236.5176,38727.0
2020-02-19,236.7862,239.2403,236.7862,238.6075,26757.0
2020-02-20,237.6969,241.2191,237.6969,241.2191,27807.0
2020-02-21,240.1664,240.1664,235.4959,236.1534,32115.0
2020-02-22,240.1664,240.1664,235.4959,236.1534,32115.0
2020-02-23,240.1664,240.1664,235.4959,236.1534,32115.0
2020-02-24,232.6126,235.3986,229.0932,231.9026,99864.0
2020-02-25,234.3012,236.0824,221.0273,223.8055,66432.0
2020-02-26,223.8055,227.2012,218.9342,219.4189,80940.0
2020-02-27,216.1282,219.1719,208.3706,209.3585,81105.0
2020-02-28,205.2837,214.7915,200.6532,214.7915,82386.0
2020-02-29,205.2837,214.7915,200.6532,214.7915,82386.0
2020-03-01,205.2837,214.7915,200.6532,214.7915,82386.0
2020-03-02,214.3347,217.4076,208.7256,213.2172,72948.0
2020-03-03,215.5571,215.5571,203.5328,207.1605,47829.0
2020-03-04,211.3866,215.2486,206.9074,207.7841,47808.0
2020-03-05,203.2709,207.4039,201.0572,202.4467,70878.0
2020-03-06,201.4528,202.0633,192.9867,196.7831,125286.0
2020-03-07,201.4528,202.0633,192.9867,196.7831,125286.0
2020-03-08,201.4528,202.0633,192.9867,196.7831,125286.0
2020-03-09,170.8407,170.8407,145.6796,147.812,289173.0
2020-03-10,154.5981,169.0437,145.2146,166.7278,242406.0
2020-03-11,156.6039,159.7677,143.832,144.585,149253.0
2020-03-12,132.4521,135.1318,123.3849,129.7155,251700.0
2020-03-13,136.0683,143.1487,131.2974,138.2228,173760.0
2020-03-14,136.0683,143.1487,131.2974,138.2228,173760.0
2020-03-15,136.0683,143.1487,131.2974,138.2228,173760.0
2020-03-16,129.7124,147.3785,119.6931,129.7155,221157.0
2020-03-17,131.0253,133.5057,112.6868,116.507,274836.0
2020-03-18,110.7301,112.7359,93.4562,98.3726,237177.0
2020-03-19,99.2236,117.4707,95.3544,112.0209,178449.0
2020-03-20,113.6027,117.8358,107.5758,111.6349,163005.0
2020-03-21,113.6027,117.8358,107.5758,111.6349,163005.0
2020-03-22,113.6027,117.8358,107.5758,111.6349,163005.0
2020-03-23,110.053,110.053,93.3451,97.55,180306.0
2020-03-24,103.4282,123.3501,101.4888,123.0496,223650.0
2020-03-25,120.3383,128.0546,109.7774,118.6394,165927.0
2020-03-26,118.6394,125.9627,114.9985,117.0607,182721.0
2020-03-27,115.4756,119.9998,102.8239,119.9998,190965.0
2020-03-28,115.4756,119.9998,102.8239,119.9998,190965.0
2020-03-29,115.4756,119.9998,102.8239,119.9998,190965.0
2020-03-30,118.6457,126.5486,113.261,123.3913,212715.0
2020-03-31,125.9823,126.5486,118.64,120.2244,191526.0
2020-04-01,115.4788,121.7366,109.1486,119.1202,188511.0
2020-04-02,123.0622,145.4835,120.2845,133.531,231255.0
2020-04-03,134.4579,147.1128,134.4579,144.8571,207579.0
2020-04-04,134.4579,147.1128,134.4579,144.8571,207579.0
2020-04-05,134.4579,147.1128,134.4579,144.8571,207579.0
2020-04-06,146.0403,151.4208,143.6232,150.286,168300.0
2020-04-07,155.0221,157.8789,141.0574,144.5945,547815.0
2020-04-08,144.1357,154.8607,139.4503,149.0205,532800.0
2020-04-09,146.7395,177.668,146.5275,162.3746,510378.0
2020-04-10,146.7395,177.668,146.5275,162.3746,510378.0
2020-04-11,146.7395,177.668,146.5275,162.3746,510378.0
2020-04-12,146.7395,177.668,146.5275,162.3746,510378.0
2020-04-13,162.9567,164.5164,155.0284,162.963,234342.0
2020-04-14,166.0951,170.4863,163.0453,169.4265,226929.0
2020-04-15,161.3495,162.9377,155.0253,162.9377,161160.0
2020-04-16,163.6622,165.9179,157.5531,161.2103,227169.0
2020-04-17,163.7571,164.5132,154.8924,162.1784,104814.0
2020-04-18,163.7571,164.5132,154.8924,162.1784,104814.0
2020-04-19,163.7571,164.5132,154.8924,162.1784,104814.0
2020-04-20,151.9533,160.0635,151.4977,158.9767,404688.0
2020-04-21,152.6651,155.0221,143.9522,146.5307,222492.0
2020-04-22,155.8162,161.3464,151.7951,157.9517,108342.0
2020-04-23,161.6659,168.0376,155.7956,156.1958,149004.0
2020-04-24,157.3221,171.1286,152.0118,157.8125,171351.0
2020-04-25,157.3221,171.1286,152.0118,157.8125,171351.0
2020-04-26,157.3221,171.1286,152.0118,157.8125,171351.0
2020-04-27,158.4705,165.2535,148.4099,162.6024,115788.0
2020-04-28,165.8673,166.0951,157.9045,164.3709,70953.0
2020-04-29,170.1225,181.882,168.3097,177.1839,88521.0
2020-04-30,177.1681,184.9424,170.075,180.2211,212838.0
2020-05-01,162.9314,168.3097,156.1009,160.799,148665.0
2020-05-02,162.9314,168.3097,156.1009,160.799,148665.0
2020-05-03,162.9314,168.3097,156.1009,160.799,148665.0
2020-05-04,155.3701,173.6311,155.3701,168.7305,181008.0
2020-05-05,170.0054,177.1649,161.1787,163.292,118995.0
2020-05-06,161.3495,161.3495,153.4402,155.3764,126069.0
2020-05-07,157.5562,162.9314,154.3118,155.9807,113133.0
2020-05-08,158.1858,165.2725,158.1858,165.0036,67125.0
2020-05-09,158.1858,165.2725,158.1858,165.0036,67125.0
2020-05-10,158.1858,165.2725,158.1858,165.0036,67125.0
2020-05-11,164.1969,167.2973,161.5877,164.5733,64818.0
2020-05-12,167.6738,169.0556,162.5799,165.7819,61983.0
2020-05-13,164.6493,167.756,159.1349,161.8905,88008.0
2020-05-14,161.6343,165.6205,157.8694,164.5037,79698.0
2020-05-15,164.5132,169.4209,163.7223,165.8895,50484.0
2020-05-16,164.5132,169.4209,163.7223,165.8895,50484.0
2020-05-17,164.5132,169.4209,163.7223,165.8895,50484.0
2020-05-18,172.5491,180.9646,172.0004,175.0674,104283.0
2020-05-19,175.5514,177.8008,172.103,174.2765,50298.0
2020-05-20,177.5889,185.7101,175.5989,185.0173,122013.0
2020-05-21,186.0265,188.2095,179.2308,183.0336,87927.0
2020-05-22,183.4955,190.4051,179.0916,182.268,107817.0
2020-05-23,183.4955,190.4051,179.0916,182.268,107817.0
2020-05-24,183.4955,190.4051,179.0916,182.268,107817.0
2020-05-25,183.4955,190.4051,179.0916,182.268,107817.0
2020-05-26,187.6621,190.1425,183.8847,185.9917,71211.0
2020-05-27,186.074,187.5324,180.5042,185.9221,83781.0
2020-05-28,186.6592,193.3031,181.9137,190.1362,140349.0
2020-05-29,188.5353,189.1871,182.4357,185.5171,95511.0
2020-05-30,188.5353,189.1871,182.4357,185.5171,95511.0
2020-05-31,188.5353,189.1871,182.4357,185.5171,95511.0
2020-06-01,182.9577,189.1902,182.9577,188.2506,63171.0
2020-06-02,190.8227,195.2835,190.8227,193.6574,49644.0
2020-06-03,193.05,196.1818,193.05,196.1377,44280.0
2020-06-04,196.1472,197.7354,193.1449,197.7354,73149.0
2020-06-05,199.3141,213.5508,199.3141,210.3238,192873.0
2020-06-06,199.3141,213.5508,199.3141,210.3238,192873.0
2020-06-07,199.3141,213.5508,199.3141,210.3238,192873.0
2020-06-08,211.4027,224.2442,211.4027,222.9123,170334.0
2020-06-09,221.1153,221.1153,210.7035,210.7035,100830.0
2020-06-10,210.7035,211.6526,202.4778,204.0565,84315.0
2020-06-11,195.7771,197.0995,180.3318,182.0149,293622.0
2020-06-12,188.4119,200.896,185.15,198.365,147888.0
2020-06-13,188.4119,200.896,185.15,198.365,147888.0
2020-06-14,188.4119,200.896,185.15,198.365,147888.0
2020-06-15,190.1077,203.1187,189.4117,197.9126,147951.0
2020-06-16,205.3948,206.8273,198.3713,202.9049,83523.0
2020-06-17,202.9207,202.9207,196.4225,197.7702,31095.0
2020-06-18,196.9287,198.9788,191.5038,194.5369,97968.0
2020-06-19,199.3141,200.8928,195.0637,197.4285,77310.0
2020-06-20,199.3141,200.8928,195.0637,197.4285,77310.0
2020-06-21,199.3141,200.8928,195.0637,197.4285,77310.0
2020-06-22,195.7581,198.8095,193.9358,194.287,51564.0
2020-06-23,198.3017,198.3017,189.8071,189.8071,57234.0
2020-06-24,187.5135,191.4048,177.2383,180.9646,72564.0
2020-06-25,182.23,185.0774,180.3318,184.8464,34962.0
2020-06-26,183.4797,186.6276,179.3511,181.012,49581.0
2020-06-27,183.4797,186.6276,179.3511,181.012,49581.0
2020-06-28,183.4797,186.6276,179.3511,181.012,49581.0
2020-06-29,182.1889,183.4955,177.6047,180.335,37293.0
2020-06-30,179.6674,188.2411,179.6674,188.143,45345.0
2020-07-01,188.2411,189.823,180.3508,182.9893,66444.0
2020-07-02,185.0774,186.7858,181.92,182.6698,41763.0
2020-07-03,185.0774,186.7858,181.92,182.6698,41763.0
2020-07-04,185.0774,186.7858,181.92,182.6698,41763.0
2020-07-05,185.0774,186.7858,181.92,182.6698,41763.0
2020-07-06,184.6028,184.9888,179.3827,180.3287,39645.0
2020-07-07,177.8641,178.9161,173.9285,173.9285,38322.0
2020-07-08,173.9411,177.5572,170.5243,177.4876,48054.0
2020-07-09,179.6358,180.1641,169.2256,171.6601,66669.0
2020-07-10,170.2522,175.1022,169.7919,173.0553,75000.0
2020-07-11,170.2522,175.1022,169.7919,173.0553,75000.0
2020-07-12,170.2522,175.1022,169.7919,173.0553,75000.0
2020-07-13,174.7858,176.1241,169.2651,169.8979,63909.0
2020-07-14,170.9419,189.2313,170.9419,185.1343,77904.0
2020-07-15,188.5258,192.9867,182.2838,188.7884,70356.0
2020-07-16,185.6912,186.9756,181.7049,184.2643,50466.0
2020-07-17,183.4955,185.7101,182.3186,185.302,37977.0
2020-07-18,183.4955,185.7101,182.3186,185.302,37977.0
2020-07-19,183.4955,185.7101,182.3186,185.302,37977.0
2020-07-20,185.0774,187.292,181.9137,181.9168,47127.0
2020-07-21,184.1283,188.2411,181.099,184.1283,60669.0
2020-07-22,183.4164,185.6785,178.4352,181.5404,44760.0
2020-07-23,179.6358,180.944,175.5514,179.9522,49467.0
2020-07-24,178.7075,179.0663,174.6371,177.1744,21063.0
2020-07-25,178.7075,179.0663,174.6371,177.1744,21063.0
2020-07-26,178.7075,179.0663,174.6371,177.1744,21063.0
2020-07-27,177.1744,178.5665,175.485,175.5862,46146.0
2020-07-28,175.5799,177.2162,171.6411,173.6848,46104.0
2020-07-29,175.504,180.819,175.504,177.8008,44136.0
2020-07-30,174.0044,182.249,172.7073,175.4502,81876.0
2020-07-31,172.4225,172.4225,162.9058,168.6229,120105.0
2020-08-01,172.4225,172.4225,162.9058,168.6229,120105.0
2020-08-02,172.4225,172.4225,162.9058,168.6229,120105.0
2020-08-03,168.6229,175.3078,164.8264,170.8375,79839.0
2020-08-04,169.9232,178.5854,169.9232,178.5601,50574.0
2020-08-05,178.5601,194.5685,178.5601,190.4557,155838.0
2020-08-06,187.9374,188.6635,180.3318,182.5148,48207.0
2020-08-07,180.3476,185.0774,178.75,184.761,49035.0
2020-08-08,180.3476,185.0774,178.75,184.761,49035.0
2020-08-09,180.3476,185.0774,178.75,184.761,49035.0
2020-08-10,184.761,189.823,184.761,189.5066,39093.0
2020-08-11,192.0376,192.9867,183.6379,186.0898,60210.0
2020-08-12,187.7665,189.6867,185.3938,186.6624,35058.0
2020-08-13,186.3318,187.5577,184.8717,186.3397,25896.0
2020-08-14,183.5999,189.823,183.5272,189.823,42999.0
2020-08-15,183.5999,189.823,183.5272,189.823,42999.0
2020-08-16,183.5999,189.823,183.5272,189.823,42999.0
2020-08-17,191.4048,191.4048,186.8111,188.7916,47214.0
2020-08-18,187.9089,187.9089,184.4826,185.8209,32958.0
2020-08-19,184.1283,185.041,180.9677,180.9994,34332.0
2020-08-20,181.3126,181.379,176.5354,177.0004,44238.0
2020-08-21,176.8454,177.7534,173.7513,174.7985,37116.0
2020-08-22,176.8454,177.7534,173.7513,174.7985,37116.0
2020-08-23,176.8454,177.7534,173.7513,174.7985,37116.0
2020-08-24,173.2198,176.181,170.2063,171.8151,60105.0
2020-08-25,171.9543,174.7953,170.431,172.4668,45483.0
2020-08-26,170.8407,172.5174,170.2554,171.7202,40125.0
2020-08-27,171.1887,172.856,168.112,170.1257,71181.0
2020-08-28,169.1164,170.3028,166.0951,168.18,63459.0
2020-08-29,169.1164,170.3028,166.0951,168.18,63459.0
2020-08-30,169.1164,170.3028,166.0951,168.18,63459.0
2020-08-31,167.677,167.677,165.108,166.6393,52977.0
2020-09-01,167.677,170.711,166.5791,169.803,75081.0
2020-09-02,171.1539,172.2106,167.9902,170.1446,39102.0
2020-09-03,170.9989,170.9989,164.315,166.8291,54102.0
2020-09-04,165.3042,166.731,159.6981,161.5678,113586.0
2020-09-05,165.3042,166.731,159.6981,161.5678,113586.0
2020-09-06,165.3042,166.731,159.6981,161.5678,113586.0
2020-09-07,165.3042,166.731,159.6981,161.5678,113586.0
2020-09-08,158.5022,159.4678,154.8006,156.2971,89229.0
2020-09-09,158.8185,160.9477,157.3765,160.9477,44625.0
2020-09-10,159.7677,159.7677,151.8584,152.1747,112437.0
2020-09-11,153.4529,155.1172,148.5143,151.2668,62205.0
2020-09-12,153.4529,155.1172,148.5143,151.2668,62205.0
2020-09-13,153.4529,155.1172,148.5143,151.2668,62205.0
2020-09-14,151.852,153.7598,148.9098,152.1716,59184.0
2020-09-15,151.7508,152.5502,146.6699,146.6699,70812.0
2020-09-16,146.8945,148.7643,142.7532,145.0754,120735.0
2020-09-17,143.348,145.6079,143.0696,145.3474,43848.0
2020-09-18,144.7827,145.7271,141.88,144.895,70551.0
2020-09-19,144.7827,145.7271,141.88,144.895,70551.0
2020-09-20,144.7827,145.7271,141.88,144.895,70551.0
2020-09-21,140.8708,145.5277,135.309,145.3917,117717.0
2020-09-22,145.7081,146.7964,143.5663,145.8473,88980.0
2020-09-23,145.8473,147.6443,138.9314,139.7413,53952.0
2020-09-24,139.8363,146.3282,139.6274,144.5882,33360.0
2020-09-25,143.9301,146.0561,141.2473,142.6836,51288.0
2020-09-26,143.9301,146.0561,141.2473,142.6836,51288.0
2020-09-27,143.9301,146.0561,141.2473,142.6836,51288.0
2020-09-28,145.2827,146.7964,143.8225,145.9992,41376.0
2020-09-29,143.9364,143.9364,139.2003,143.0189,57213.0
2020-09-30,143.0189,146.4737,142.8608,142.8608,63156.0
2020-10-01,142.5507,145.5309,139.2731,142.4305,91896.0
2020-10-02,139.2035,143.5416,138.2576,141.7661,55464.0
2020-10-03,139.2035,143.5416,138.2576,141.7661,55464.0
2020-10-04,139.2035,143.5416,138.2576,141.7661,55464.0
2020-10-05,142.6836,145.417,142.5159,143.9839,35526.0
2020-10-06,146.1574,150.286,144.6451,145.6005,41097.0
2020-10-07,145.2019,151.1054,145.1222,149.6374,46776.0
2020-10-08,151.3996,153.3548,148.7737,153.3548,44832.0
2020-10-09,153.3548,153.4402,146.4294,147.619,61281.0
2020-10-10,153.3548,153.4402,146.4294,147.619,61281.0
2020-10-11,153.3548,153.4402,146.4294,147.619,61281.0
2020-10-12,148.0619,150.3683,146.1637,149.3242,42690.0
2020-10-13,148.6599,149.3938,144.8191,145.4202,25758.0
2020-10-14,147.4977,152.2539,146.363,147.116,43035.0
2020-10-15,145.9296,153.5016,144.952,152.3076,46758.0
2020-10-16,153.4402,153.4402,148.5112,148.5112,42885.0
2020-10-17,153.4402,153.4402,148.5112,148.5112,42885.0
2020-10-18,153.4402,153.4402,148.5112,148.5112,42885.0
2020-10-19,149.6406,152.0466,148.4068,149.3274,45828.0
2020-10-20,149.3274,151.8584,147.1128,148.6883,45099.0
2020-10-21,149.3274,149.9855,146.1637,146.4959,34911.0
2020-10-22,146.8122,152.1796,144.7938,151.5958,37833.0
2020-10-23,151.3838,153.9211,150.2037,151.2193,25830.0
2020-10-24,151.3838,153.9211,150.2037,151.2193,25830.0
2020-10-25,151.3838,153.9211,150.2037,151.2193,25830.0
2020-10-26,150.8428,150.8428,146.4801,149.6374,50061.0
2020-10-27,150.3398,150.3714,146.5433,146.5433,34251.0
2020-10-28,144.9014,144.9014,139.2035,142.2059,97905.0
2020-10-29,141.6997,147.657,138.903,146.9926,48882.0
2020-10-30,145.1829,147.1128,142.4969,142.4969,43635.0
2020-10-31,145.1829,147.1128,142.4969,142.4969,43635.0
2020-11-01,145.1829,147.1128,142.4969,142.4969,43635.0
2020-11-02,144.6451,151.8584,144.6451,147.252,68331.0
2020-11-03,150.324,157.5562,149.011,153.1207,114357.0
2020-11-04,151.7192,152.2412,149.3954,150.1215,28965.0
2020-11-05,150.8238,161.6026,148.7105,160.3466,98505.0
2020-11-06,159.7677,160.7168,157.417,157.4202,37692.0
2020-11-07,159.7677,160.7168,157.417,157.4202,37692.0
2020-11-08,159.7677,160.7168,157.417,157.4202,37692.0
2020-11-09,168.1515,188.2411,168.1294,181.9073,263826.0
2020-11-10,182.0339,183.4955,174.4789,175.9089,71565.0
2020-11-11,177.2852,178.5918,170.9198,170.9198,70914.0
2020-11-12,170.654,173.3716,167.677,169.9612,39744.0
2020-11-13,170.8407,173.9569,170.8407,173.9569,24435.0
2020-11-14,170.8407,173.9569,170.8407,173.9569,24435.0
2020-11-15,170.8407,173.9569,170.8407,173.9569,24435.0
2020-11-16,176.4436,183.4924,176.4436,183.4924,54861.0
2020-11-17,182.8628,185.0363,178.6873,185.0363,34977.0
2020-11-18,185.707,185.707,181.7492,183.3057,52521.0
2020-11-19,181.8789,184.1283,179.6991,181.9105,49224.0
2020-11-20,182.5148,184.027,181.9121,182.6287,30720.0
2020-11-21,182.5148,184.027,181.9121,182.6287,30720.0
2020-11-22,182.5148,184.027,181.9121,182.6287,30720.0
2020-11-23,184.7705,191.1169,184.7705,191.1169,96099.0
2020-11-24,192.1958,206.8926,191.6421,199.7887,115995.0
2020-11-25,200.6302,200.6302,195.1918,195.1918,51621.0
2020-11-26,200.6302,200.6302,195.1918,195.1918,51621.0
2020-11-27,195.0368,196.2415,185.0774,186.3429,56169.0
2020-11-28,195.0368,196.2415,185.0774,186.3429,56169.0
2020-11-29,195.0368,196.2415,185.0774,186.3429,56169.0
2020-11-30,189.0921,195.5208,185.0774,192.9614,54825.0
2020-12-01,193.4897,198.0391,190.364,194.2553,52755.0
2020-12-02,192.9361,197.0995,192.9361,196.2137,32274.0
2020-12-03,197.6785,202.6613,195.6347,202.6423,30066.0
2020-12-04,203.1106,212.6144,203.1106,211.9563,53454.0
2020-12-05,203.1106,212.6144,203.1106,211.9563,53454.0
2020-12-06,203.1106,212.6144,203.1106,211.9563,53454.0
2020-12-07,209.438,212.7237,208.356,211.776,25797.0
2020-12-08,211.3995,214.7246,210.2779,212.6017,46947.0
2020-12-09,214.4999,217.6352,210.3808,216.0438,53811.0
2020-12-10,216.7888,224.1092,216.7888,222.5103,51651.0
2020-12-11,222.3433,222.9325,219.7747,222.1828,28167.0
2020-12-12,222.3433,222.9325,219.7747,222.1828,28167.0
2020-12-13,222.3433,222.9325,219.7747,222.1828,28167.0
2020-12-14,222.8249,222.8249,217.0456,219.6142,27705.0
2020-12-15,219.6142,225.3935,219.6142,224.7514,100803.0
2020-12-16,224.7514,231.1407,220.7458,231.1407,94236.0
2020-12-17,232.7782,234.3836,231.282,232.3062,70695.0
2020-12-18,233.9245,238.9475,232.7782,237.7934,60258.0
2020-12-19,233.9245,238.9475,232.7782,237.7934,60258.0
2020-12-20,233.9245,238.9475,232.7782,237.7934,60258.0
2020-12-21,232.714,240.8051,229.6799,232.6177,124566.0
2020-12-22,233.4172,234.3836,218.9175,224.7514,103764.0
2020-12-23,225.0725,227.32,221.6691,224.4303,56922.0
2020-12-24,222.2406,227.222,219.874,222.1828,21930.0
2020-12-25,222.2406,227.222,219.874,222.1828,21930.0
2020-12-26,222.2406,227.222,219.874,222.1828,21930.0
2020-12-27,222.2406,227.222,219.874,222.1828,21930.0
2020-12-28,222.1828,225.0147,219.6238,222.8249,29178.0
2020-12-29,223.3066,225.188,218.651,220.2756,32364.0
2020-12-30,218.651,232.2934,218.651,232.2934,56103.0
2020-12-31,231.2563,235.2922,229.3283,233.4204,37494.0
2021-01-01,231.2563,235.2922,229.3283,233.4204,37494.0
2021-01-02,231.2563,235.2922,229.3283,233.4204,37494.0
2021-01-03,231.2563,235.2922,229.3283,233.4204,37494.0
2021-01-04,232.2934,246.6935,228.1227,242.9113,91815.0
2021-01-05,244.3369,268.0481,244.3369,255.2534,186846.0
2021-01-06,253.7058,259.4305,252.5307,254.6176,61884.0
2021-01-07,255.2534,259.4241,246.1124,250.0134,87585.0
2021-01-08,247.615,259.0452,243.0059,257.1798,124653.0
2021-01-09,247.615,259.0452,243.0059,257.1798,124653.0
2021-01-10,247.615,259.0452,243.0059,257.1798,124653.0
2021-01-11,255.6386,279.1733,255.6386,279.1733,72693.0
2021-01-12,280.936,283.6491,275.1439,282.8304,118611.0
2021-01-13,285.0458,287.3607,267.8394,267.8394,99714.0
2021-01-14,268.7834,276.091,267.6179,274.1871,61389.0
2021-01-15,273.1949,273.1949,261.2767,270.0195,41661.0
2021-01-16,273.1949,273.1949,261.2767,270.0195,41661.0
2021-01-17,273.1949,273.1949,261.2767,270.0195,41661.0
2021-01-18,273.1949,273.1949,261.2767,270.0195,41661.0
2021-01-19,270.0227,272.9124,264.549,272.5432,36030.0
2021-01-20,275.7411,275.7411,267.4574,271.0951,50586.0
2021-01-21,272.6555,272.6555,257.6518,260.3616,68877.0
2021-01-22,257.4399,269.7017,256.4365,264.0187,62400.0
2021-01-23,257.4399,269.7017,256.4365,264.0187,62400.0
2021-01-24,257.4399,269.7017,256.4365,264.0187,62400.0
2021-01-25,262.9591,267.223,257.1959,264.5613,32256.0
2021-01-26,265.8488,272.8225,263.0105,267.4317,83160.0
2021-01-27,265.8713,266.523,252.0426,258.8173,76752.0
2021-01-28,255.9726,269.6856,255.8955,268.0963,117702.0
2021-01-29,267.1331,272.5881,257.8219,267.2101,135543.0
2021-01-30,267.1331,272.5881,257.8219,267.2101,135543.0
2021-01-31,267.1331,272.5881,257.8219,267.2101,135543.0
2021-02-01,268.4174,272.8129,264.4971,267.7752,70824.0
2021-02-02,272.2702,277.4411,271.9042,275.4617,61083.0
2021-02-03,274.9544,292.1768,274.9544,290.7641,179862.0
2021-02-04,290.9567,312.7223,289.483,308.7089,225432.0
2021-02-05,316.8995,318.8259,310.3038,318.8227,143370.0
2021-02-06,316.8995,318.8259,310.3038,318.8227,143370.0
2021-02-07,316.8995,318.8259,310.3038,318.8227,143370.0
2021-02-08,317.532,327.4949,316.5978,327.4949,143757.0
2021-02-09,323.3209,329.081,319.3268,324.8235,185148.0
2021-02-10,327.4949,342.2643,327.4949,342.245,180792.0
2021-02-11,340.1452,347.6904,340.0167,345.1475,126603.0
2021-02-12,345.475,359.766,340.6974,359.5316,117555.0
2021-02-13,345.475,359.766,340.6974,359.5316,117555.0
2021-02-14,345.475,359.766,340.6974,359.5316,117555.0
2021-02-15,345.475,359.766,340.6974,359.5316,117555.0
2021-02-16,361.2076,381.2416,359.5316,373.8033,200121.0
2021-02-17,374.0537,376.6769,365.5581,366.9323,155091.0
2021-02-18,363.8115,366.6658,338.3744,356.3369,168198.0
2021-02-19,360.0967,361.2076,352.9496,356.0704,107763.0
2021-02-20,360.0967,361.2076,352.9496,356.0704,107763.0
2021-02-21,360.0967,361.2076,352.9496,356.0704,107763.0
2021-02-22,351.9382,367.2887,349.8576,353.184,119331.0
2021-02-23,352.8051,359.6022,335.2006,357.7015,88824.0
2021-02-24,360.2379,374.2608,357.6758,367.1539,76377.0
2021-02-25,374.4326,382.0774,355.5792,356.9919,113094.0
2021-02-26,356.7126,362.1275,333.1981,354.4779,87093.0
2021-02-27,356.7126,362.1275,333.1981,354.4779,87093.0
2021-02-28,356.7126,362.1275,333.1981,354.4779,87093.0
2021-03-01,359.9233,361.1883,346.0494,355.6787,59229.0
2021-03-02,356.0704,362.5449,351.8194,352.6413,69906.0
2021-03-03,353.5018,380.472,353.5018,371.5461,104511.0
2021-03-04,377.7429,388.441,368.7881,377.2677,185133.0
2021-03-05,382.9735,391.9686,377.3351,386.1918,163743.0
2021-03-06,382.9735,391.9686,377.3351,386.1918,163743.0
2021-03-07,382.9735,391.9686,377.3351,386.1918,163743.0
2021-03-08,386.1918,409.4598,382.3476,404.8577,240423.0
2021-03-09,401.588,423.8101,398.6883,412.6556,257118.0
2021-03-10,418.3744,444.7738,410.8772,437.4813,257253.0
2021-03-11,440.8701,461.4573,440.6223,455.3684,244509.0
2021-03-12,459.7291,482.1572,456.1047,462.4647,263586.0
2021-03-13,459.7291,482.1572,456.1047,462.4647,263586.0
2021-03-14,459.7291,482.1572,456.1047,462.4647,263586.0
