,CARO US Equity,CARO US Equity,CARO US Equity,CARO US Equity,CARO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-02-06,39.8009,39.8009,39.0346,39.1341,71583.0
2020-02-07,39.0147,39.0943,38.2483,38.2583,77129.0
2020-02-08,39.0147,39.0943,38.2483,38.2583,77129.0
2020-02-09,39.0147,39.0943,38.2483,38.2583,77129.0
2020-02-10,38.1388,38.3379,37.9497,38.2782,51967.0
2020-02-11,38.4374,38.8504,38.3279,38.3478,60775.0
2020-02-12,38.5469,38.6365,38.1886,38.6066,81227.0
2020-02-13,38.4573,38.7758,38.4573,38.527,71015.0
2020-02-14,38.5071,38.5071,38.1786,38.2085,48024.0
2020-02-15,38.5071,38.5071,38.1786,38.2085,48024.0
2020-02-16,38.5071,38.5071,38.1786,38.2085,48024.0
2020-02-17,38.5071,38.5071,38.1786,38.2085,48024.0
2020-02-18,38.1289,38.2229,37.5118,37.6113,29206.0
2020-02-19,37.6611,37.7606,37.4421,37.5118,107325.0
2020-02-20,37.2928,38.1488,37.2928,38.0194,138784.0
2020-02-21,38.0194,38.0393,37.2729,37.3625,50104.0
2020-02-22,38.0194,38.0393,37.2729,37.3625,50104.0
2020-02-23,38.0194,38.0393,37.2729,37.3625,50104.0
2020-02-24,36.3274,36.5762,35.9791,36.1781,41506.0
2020-02-25,36.1781,36.1781,34.9042,34.9639,90584.0
2020-02-26,35.1829,35.581,34.8047,34.934,70253.0
2020-02-27,34.1975,35.1231,33.3814,33.4113,92701.0
2020-02-28,32.426,32.9336,31.3909,32.2468,215956.0
2020-02-29,32.426,32.9336,31.3909,32.2468,215956.0
2020-03-01,32.426,32.9336,31.3909,32.2468,215956.0
2020-03-02,32.2866,34.3667,31.9433,34.3369,96125.0
2020-03-03,34.4066,34.5957,32.6648,33.0729,90724.0
2020-03-04,33.5208,33.7298,32.1174,33.0928,215250.0
2020-03-05,32.0577,32.1274,31.0226,31.4506,171477.0
2020-03-06,30.3558,31.2714,29.8668,31.1719,96990.0
2020-03-07,30.3558,31.2714,29.8668,31.1719,96990.0
2020-03-08,30.3558,31.2714,29.8668,31.1719,96990.0
2020-03-09,29.3406,29.3406,26.4842,26.5439,87396.0
2020-03-10,27.569,28.2956,26.2453,27.9273,142277.0
2020-03-11,26.9918,27.3003,24.9614,25.1207,302859.0
2020-03-12,23.15,23.8467,20.8161,21.05,242571.0
2020-03-13,22.6,25.53,22.04,25.53,445042.0
2020-03-14,22.6,25.53,22.04,25.53,445042.0
2020-03-15,22.6,25.53,22.04,25.53,445042.0
2020-03-16,20.8,23.94,20.72,21.51,171365.0
2020-03-17,21.84,25.02,20.87,24.73,372314.0
2020-03-18,22.45,26.4,21.9601,23.27,351050.0
2020-03-19,22.75,25.77,21.82,25.17,412276.0
2020-03-20,25.16,25.49,21.67,22.32,526007.0
2020-03-21,25.16,25.49,21.67,22.32,526007.0
2020-03-22,25.16,25.49,21.67,22.32,526007.0
2020-03-23,24.14,24.14,21.58,23.04,343542.0
2020-03-24,24.31,25.53,24.06,25.41,386159.0
2020-03-25,25.59,26.15,24.69,25.14,260711.0
2020-03-26,25.53,26.58,25.2,26.52,353982.0
2020-03-27,25.56,25.7,24.48,24.7,198047.0
2020-03-28,25.56,25.7,24.48,24.7,198047.0
2020-03-29,25.56,25.7,24.48,24.7,198047.0
2020-03-30,24.9,26.0,24.63,25.89,246519.0
2020-03-31,25.73,26.405,25.1,25.87,219246.0
2020-04-01,24.82,26.03,24.23,25.35,188604.0
2020-04-02,25.13,26.37,25.11,25.74,148661.0
2020-04-03,25.78,25.98,24.205,24.72,120441.0
2020-04-04,25.78,25.98,24.205,24.72,120441.0
2020-04-05,25.78,25.98,24.205,24.72,120441.0
2020-04-06,25.9,26.635,25.77,26.49,178652.0
2020-04-07,27.01,27.9599,26.66,27.02,289447.0
2020-04-08,27.37,28.75,26.83,28.36,353233.0
2020-04-09,29.25,30.41,29.19,30.16,270338.0
2020-04-10,29.25,30.41,29.19,30.16,270338.0
2020-04-11,29.25,30.41,29.19,30.16,270338.0
2020-04-12,29.25,30.41,29.19,30.16,270338.0
2020-04-13,30.08,30.575,28.19,28.62,130333.0
2020-04-14,29.34,29.65,27.84,28.42,135678.0
2020-04-15,27.23,27.39,26.38,26.46,80615.0
2020-04-16,26.27,26.605,25.21,26.07,119369.0
2020-04-17,26.4,28.58,26.4,28.46,199751.0
2020-04-18,26.4,28.58,26.4,28.46,199751.0
2020-04-19,26.4,28.58,26.4,28.46,199751.0
2020-04-20,27.57,29.29,27.43,28.75,199807.0
2020-04-21,27.95,28.76,27.66,28.22,136148.0
2020-04-22,28.97,29.02,27.75,27.84,95466.0
2020-04-23,27.78,28.93,27.78,28.23,155934.0
2020-04-24,28.18,29.57,27.9609,29.36,303491.0
2020-04-25,28.18,29.57,27.9609,29.36,303491.0
2020-04-26,28.18,29.57,27.9609,29.36,303491.0
2020-04-27,29.41,32.66,29.41,32.42,528238.0
2020-04-28,33.24,33.9,32.36,32.96,175998.0
2020-04-29,34.19,35.55,33.92,35.09,188399.0
2020-04-30,34.3,34.61,32.92,33.83,589251.0
2020-05-01,32.89,33.79,32.5,32.88,691192.0
2020-05-02,32.89,33.79,32.5,32.88,691192.0
2020-05-03,32.89,33.79,32.5,32.88,691192.0
2020-05-04,32.89,33.79,32.5,32.88,691192.0
2020-05-05,32.89,33.79,32.5,32.88,691192.0
2020-05-06,32.89,33.79,32.5,32.88,691192.0
2020-05-07,32.89,33.79,32.5,32.88,691192.0
2020-05-08,32.89,33.79,32.5,32.88,691192.0
2020-05-09,32.89,33.79,32.5,32.88,691192.0
2020-05-10,32.89,33.79,32.5,32.88,691192.0
2020-05-11,32.89,33.79,32.5,32.88,691192.0
2020-05-12,32.89,33.79,32.5,32.88,691192.0
2020-05-13,32.89,33.79,32.5,32.88,691192.0
2020-05-14,32.89,33.79,32.5,32.88,691192.0
2020-05-15,32.89,33.79,32.5,32.88,691192.0
2020-05-16,32.89,33.79,32.5,32.88,691192.0
2020-05-17,32.89,33.79,32.5,32.88,691192.0
2020-05-18,32.89,33.79,32.5,32.88,691192.0
2020-05-19,32.89,33.79,32.5,32.88,691192.0
2020-05-20,32.89,33.79,32.5,32.88,691192.0
2020-05-21,32.89,33.79,32.5,32.88,691192.0
2020-05-22,32.89,33.79,32.5,32.88,691192.0
2020-05-23,32.89,33.79,32.5,32.88,691192.0
2020-05-24,32.89,33.79,32.5,32.88,691192.0
2020-05-25,32.89,33.79,32.5,32.88,691192.0
2020-05-26,32.89,33.79,32.5,32.88,691192.0
2020-05-27,32.89,33.79,32.5,32.88,691192.0
2020-05-28,32.89,33.79,32.5,32.88,691192.0
2020-05-29,32.89,33.79,32.5,32.88,691192.0
2020-05-30,32.89,33.79,32.5,32.88,691192.0
2020-05-31,32.89,33.79,32.5,32.88,691192.0
2020-06-01,32.89,33.79,32.5,32.88,691192.0
2020-06-02,32.89,33.79,32.5,32.88,691192.0
2020-06-03,32.89,33.79,32.5,32.88,691192.0
2020-06-04,32.89,33.79,32.5,32.88,691192.0
2020-06-05,32.89,33.79,32.5,32.88,691192.0
2020-06-06,32.89,33.79,32.5,32.88,691192.0
2020-06-07,32.89,33.79,32.5,32.88,691192.0
2020-06-08,32.89,33.79,32.5,32.88,691192.0
2020-06-09,32.89,33.79,32.5,32.88,691192.0
2020-06-10,32.89,33.79,32.5,32.88,691192.0
2020-06-11,32.89,33.79,32.5,32.88,691192.0
2020-06-12,32.89,33.79,32.5,32.88,691192.0
2020-06-13,32.89,33.79,32.5,32.88,691192.0
2020-06-14,32.89,33.79,32.5,32.88,691192.0
2020-06-15,32.89,33.79,32.5,32.88,691192.0
2020-06-16,32.89,33.79,32.5,32.88,691192.0
2020-06-17,32.89,33.79,32.5,32.88,691192.0
2020-06-18,32.89,33.79,32.5,32.88,691192.0
2020-06-19,32.89,33.79,32.5,32.88,691192.0
2020-06-20,32.89,33.79,32.5,32.88,691192.0
2020-06-21,32.89,33.79,32.5,32.88,691192.0
2020-06-22,32.89,33.79,32.5,32.88,691192.0
2020-06-23,32.89,33.79,32.5,32.88,691192.0
2020-06-24,32.89,33.79,32.5,32.88,691192.0
2020-06-25,32.89,33.79,32.5,32.88,691192.0
2020-06-26,32.89,33.79,32.5,32.88,691192.0
2020-06-27,32.89,33.79,32.5,32.88,691192.0
2020-06-28,32.89,33.79,32.5,32.88,691192.0
2020-06-29,32.89,33.79,32.5,32.88,691192.0
2020-06-30,32.89,33.79,32.5,32.88,691192.0
2020-07-01,32.89,33.79,32.5,32.88,691192.0
2020-07-02,32.89,33.79,32.5,32.88,691192.0
2020-07-03,32.89,33.79,32.5,32.88,691192.0
2020-07-04,32.89,33.79,32.5,32.88,691192.0
2020-07-05,32.89,33.79,32.5,32.88,691192.0
2020-07-06,32.89,33.79,32.5,32.88,691192.0
2020-07-07,32.89,33.79,32.5,32.88,691192.0
2020-07-08,32.89,33.79,32.5,32.88,691192.0
2020-07-09,32.89,33.79,32.5,32.88,691192.0
2020-07-10,32.89,33.79,32.5,32.88,691192.0
2020-07-11,32.89,33.79,32.5,32.88,691192.0
2020-07-12,32.89,33.79,32.5,32.88,691192.0
2020-07-13,32.89,33.79,32.5,32.88,691192.0
2020-07-14,32.89,33.79,32.5,32.88,691192.0
2020-07-15,32.89,33.79,32.5,32.88,691192.0
2020-07-16,32.89,33.79,32.5,32.88,691192.0
2020-07-17,32.89,33.79,32.5,32.88,691192.0
2020-07-18,32.89,33.79,32.5,32.88,691192.0
2020-07-19,32.89,33.79,32.5,32.88,691192.0
2020-07-20,32.89,33.79,32.5,32.88,691192.0
2020-07-21,32.89,33.79,32.5,32.88,691192.0
2020-07-22,32.89,33.79,32.5,32.88,691192.0
2020-07-23,32.89,33.79,32.5,32.88,691192.0
2020-07-24,32.89,33.79,32.5,32.88,691192.0
2020-07-25,32.89,33.79,32.5,32.88,691192.0
2020-07-26,32.89,33.79,32.5,32.88,691192.0
2020-07-27,32.89,33.79,32.5,32.88,691192.0
2020-07-28,32.89,33.79,32.5,32.88,691192.0
2020-07-29,32.89,33.79,32.5,32.88,691192.0
2020-07-30,32.89,33.79,32.5,32.88,691192.0
2020-07-31,32.89,33.79,32.5,32.88,691192.0
2020-08-01,32.89,33.79,32.5,32.88,691192.0
2020-08-02,32.89,33.79,32.5,32.88,691192.0
2020-08-03,32.89,33.79,32.5,32.88,691192.0
2020-08-04,32.89,33.79,32.5,32.88,691192.0
2020-08-05,32.89,33.79,32.5,32.88,691192.0
2020-08-06,32.89,33.79,32.5,32.88,691192.0
2020-08-07,32.89,33.79,32.5,32.88,691192.0
2020-08-08,32.89,33.79,32.5,32.88,691192.0
2020-08-09,32.89,33.79,32.5,32.88,691192.0
2020-08-10,32.89,33.79,32.5,32.88,691192.0
2020-08-11,32.89,33.79,32.5,32.88,691192.0
2020-08-12,32.89,33.79,32.5,32.88,691192.0
2020-08-13,32.89,33.79,32.5,32.88,691192.0
2020-08-14,32.89,33.79,32.5,32.88,691192.0
2020-08-15,32.89,33.79,32.5,32.88,691192.0
2020-08-16,32.89,33.79,32.5,32.88,691192.0
2020-08-17,32.89,33.79,32.5,32.88,691192.0
2020-08-18,32.89,33.79,32.5,32.88,691192.0
2020-08-19,32.89,33.79,32.5,32.88,691192.0
2020-08-20,32.89,33.79,32.5,32.88,691192.0
2020-08-21,32.89,33.79,32.5,32.88,691192.0
2020-08-22,32.89,33.79,32.5,32.88,691192.0
2020-08-23,32.89,33.79,32.5,32.88,691192.0
2020-08-24,32.89,33.79,32.5,32.88,691192.0
2020-08-25,32.89,33.79,32.5,32.88,691192.0
2020-08-26,32.89,33.79,32.5,32.88,691192.0
2020-08-27,32.89,33.79,32.5,32.88,691192.0
2020-08-28,32.89,33.79,32.5,32.88,691192.0
2020-08-29,32.89,33.79,32.5,32.88,691192.0
2020-08-30,32.89,33.79,32.5,32.88,691192.0
2020-08-31,32.89,33.79,32.5,32.88,691192.0
2020-09-01,32.89,33.79,32.5,32.88,691192.0
2020-09-02,32.89,33.79,32.5,32.88,691192.0
2020-09-03,32.89,33.79,32.5,32.88,691192.0
2020-09-04,32.89,33.79,32.5,32.88,691192.0
2020-09-05,32.89,33.79,32.5,32.88,691192.0
2020-09-06,32.89,33.79,32.5,32.88,691192.0
2020-09-07,32.89,33.79,32.5,32.88,691192.0
2020-09-08,32.89,33.79,32.5,32.88,691192.0
2020-09-09,32.89,33.79,32.5,32.88,691192.0
2020-09-10,32.89,33.79,32.5,32.88,691192.0
2020-09-11,32.89,33.79,32.5,32.88,691192.0
2020-09-12,32.89,33.79,32.5,32.88,691192.0
2020-09-13,32.89,33.79,32.5,32.88,691192.0
2020-09-14,32.89,33.79,32.5,32.88,691192.0
2020-09-15,32.89,33.79,32.5,32.88,691192.0
2020-09-16,32.89,33.79,32.5,32.88,691192.0
2020-09-17,32.89,33.79,32.5,32.88,691192.0
2020-09-18,32.89,33.79,32.5,32.88,691192.0
2020-09-19,32.89,33.79,32.5,32.88,691192.0
2020-09-20,32.89,33.79,32.5,32.88,691192.0
2020-09-21,32.89,33.79,32.5,32.88,691192.0
2020-09-22,32.89,33.79,32.5,32.88,691192.0
2020-09-23,32.89,33.79,32.5,32.88,691192.0
2020-09-24,32.89,33.79,32.5,32.88,691192.0
2020-09-25,32.89,33.79,32.5,32.88,691192.0
2020-09-26,32.89,33.79,32.5,32.88,691192.0
2020-09-27,32.89,33.79,32.5,32.88,691192.0
2020-09-28,32.89,33.79,32.5,32.88,691192.0
2020-09-29,32.89,33.79,32.5,32.88,691192.0
2020-09-30,32.89,33.79,32.5,32.88,691192.0
2020-10-01,32.89,33.79,32.5,32.88,691192.0
2020-10-02,32.89,33.79,32.5,32.88,691192.0
2020-10-03,32.89,33.79,32.5,32.88,691192.0
2020-10-04,32.89,33.79,32.5,32.88,691192.0
2020-10-05,32.89,33.79,32.5,32.88,691192.0
2020-10-06,32.89,33.79,32.5,32.88,691192.0
2020-10-07,32.89,33.79,32.5,32.88,691192.0
2020-10-08,32.89,33.79,32.5,32.88,691192.0
2020-10-09,32.89,33.79,32.5,32.88,691192.0
2020-10-10,32.89,33.79,32.5,32.88,691192.0
2020-10-11,32.89,33.79,32.5,32.88,691192.0
2020-10-12,32.89,33.79,32.5,32.88,691192.0
2020-10-13,32.89,33.79,32.5,32.88,691192.0
2020-10-14,32.89,33.79,32.5,32.88,691192.0
2020-10-15,32.89,33.79,32.5,32.88,691192.0
2020-10-16,32.89,33.79,32.5,32.88,691192.0
2020-10-17,32.89,33.79,32.5,32.88,691192.0
2020-10-18,32.89,33.79,32.5,32.88,691192.0
2020-10-19,32.89,33.79,32.5,32.88,691192.0
2020-10-20,32.89,33.79,32.5,32.88,691192.0
2020-10-21,32.89,33.79,32.5,32.88,691192.0
2020-10-22,32.89,33.79,32.5,32.88,691192.0
2020-10-23,32.89,33.79,32.5,32.88,691192.0
2020-10-24,32.89,33.79,32.5,32.88,691192.0
2020-10-25,32.89,33.79,32.5,32.88,691192.0
2020-10-26,32.89,33.79,32.5,32.88,691192.0
2020-10-27,32.89,33.79,32.5,32.88,691192.0
2020-10-28,32.89,33.79,32.5,32.88,691192.0
2020-10-29,32.89,33.79,32.5,32.88,691192.0
2020-10-30,32.89,33.79,32.5,32.88,691192.0
2020-10-31,32.89,33.79,32.5,32.88,691192.0
2020-11-01,32.89,33.79,32.5,32.88,691192.0
2020-11-02,32.89,33.79,32.5,32.88,691192.0
2020-11-03,32.89,33.79,32.5,32.88,691192.0
2020-11-04,32.89,33.79,32.5,32.88,691192.0
2020-11-05,32.89,33.79,32.5,32.88,691192.0
2020-11-06,32.89,33.79,32.5,32.88,691192.0
2020-11-07,32.89,33.79,32.5,32.88,691192.0
2020-11-08,32.89,33.79,32.5,32.88,691192.0
2020-11-09,32.89,33.79,32.5,32.88,691192.0
2020-11-10,32.89,33.79,32.5,32.88,691192.0
2020-11-11,32.89,33.79,32.5,32.88,691192.0
2020-11-12,32.89,33.79,32.5,32.88,691192.0
2020-11-13,32.89,33.79,32.5,32.88,691192.0
2020-11-14,32.89,33.79,32.5,32.88,691192.0
2020-11-15,32.89,33.79,32.5,32.88,691192.0
2020-11-16,32.89,33.79,32.5,32.88,691192.0
2020-11-17,32.89,33.79,32.5,32.88,691192.0
2020-11-18,32.89,33.79,32.5,32.88,691192.0
2020-11-19,32.89,33.79,32.5,32.88,691192.0
2020-11-20,32.89,33.79,32.5,32.88,691192.0
2020-11-21,32.89,33.79,32.5,32.88,691192.0
2020-11-22,32.89,33.79,32.5,32.88,691192.0
2020-11-23,32.89,33.79,32.5,32.88,691192.0
2020-11-24,32.89,33.79,32.5,32.88,691192.0
2020-11-25,32.89,33.79,32.5,32.88,691192.0
2020-11-26,32.89,33.79,32.5,32.88,691192.0
2020-11-27,32.89,33.79,32.5,32.88,691192.0
2020-11-28,32.89,33.79,32.5,32.88,691192.0
2020-11-29,32.89,33.79,32.5,32.88,691192.0
2020-11-30,32.89,33.79,32.5,32.88,691192.0
2020-12-01,32.89,33.79,32.5,32.88,691192.0
2020-12-02,32.89,33.79,32.5,32.88,691192.0
2020-12-03,32.89,33.79,32.5,32.88,691192.0
2020-12-04,32.89,33.79,32.5,32.88,691192.0
2020-12-05,32.89,33.79,32.5,32.88,691192.0
2020-12-06,32.89,33.79,32.5,32.88,691192.0
2020-12-07,32.89,33.79,32.5,32.88,691192.0
2020-12-08,32.89,33.79,32.5,32.88,691192.0
2020-12-09,32.89,33.79,32.5,32.88,691192.0
2020-12-10,32.89,33.79,32.5,32.88,691192.0
2020-12-11,32.89,33.79,32.5,32.88,691192.0
2020-12-12,32.89,33.79,32.5,32.88,691192.0
2020-12-13,32.89,33.79,32.5,32.88,691192.0
2020-12-14,32.89,33.79,32.5,32.88,691192.0
2020-12-15,32.89,33.79,32.5,32.88,691192.0
2020-12-16,32.89,33.79,32.5,32.88,691192.0
2020-12-17,32.89,33.79,32.5,32.88,691192.0
2020-12-18,32.89,33.79,32.5,32.88,691192.0
2020-12-19,32.89,33.79,32.5,32.88,691192.0
2020-12-20,32.89,33.79,32.5,32.88,691192.0
2020-12-21,32.89,33.79,32.5,32.88,691192.0
2020-12-22,32.89,33.79,32.5,32.88,691192.0
2020-12-23,32.89,33.79,32.5,32.88,691192.0
2020-12-24,32.89,33.79,32.5,32.88,691192.0
2020-12-25,32.89,33.79,32.5,32.88,691192.0
2020-12-26,32.89,33.79,32.5,32.88,691192.0
2020-12-27,32.89,33.79,32.5,32.88,691192.0
2020-12-28,32.89,33.79,32.5,32.88,691192.0
2020-12-29,32.89,33.79,32.5,32.88,691192.0
2020-12-30,32.89,33.79,32.5,32.88,691192.0
2020-12-31,32.89,33.79,32.5,32.88,691192.0
2021-01-01,32.89,33.79,32.5,32.88,691192.0
2021-01-02,32.89,33.79,32.5,32.88,691192.0
2021-01-03,32.89,33.79,32.5,32.88,691192.0
2021-01-04,32.89,33.79,32.5,32.88,691192.0
2021-01-05,32.89,33.79,32.5,32.88,691192.0
2021-01-06,32.89,33.79,32.5,32.88,691192.0
2021-01-07,32.89,33.79,32.5,32.88,691192.0
2021-01-08,32.89,33.79,32.5,32.88,691192.0
2021-01-09,32.89,33.79,32.5,32.88,691192.0
2021-01-10,32.89,33.79,32.5,32.88,691192.0
2021-01-11,32.89,33.79,32.5,32.88,691192.0
2021-01-12,32.89,33.79,32.5,32.88,691192.0
2021-01-13,32.89,33.79,32.5,32.88,691192.0
2021-01-14,32.89,33.79,32.5,32.88,691192.0
2021-01-15,32.89,33.79,32.5,32.88,691192.0
2021-01-16,32.89,33.79,32.5,32.88,691192.0
2021-01-17,32.89,33.79,32.5,32.88,691192.0
2021-01-18,32.89,33.79,32.5,32.88,691192.0
2021-01-19,32.89,33.79,32.5,32.88,691192.0
2021-01-20,32.89,33.79,32.5,32.88,691192.0
2021-01-21,32.89,33.79,32.5,32.88,691192.0
2021-01-22,32.89,33.79,32.5,32.88,691192.0
2021-01-23,32.89,33.79,32.5,32.88,691192.0
2021-01-24,32.89,33.79,32.5,32.88,691192.0
2021-01-25,32.89,33.79,32.5,32.88,691192.0
2021-01-26,32.89,33.79,32.5,32.88,691192.0
2021-01-27,32.89,33.79,32.5,32.88,691192.0
2021-01-28,32.89,33.79,32.5,32.88,691192.0
2021-01-29,32.89,33.79,32.5,32.88,691192.0
2021-01-30,32.89,33.79,32.5,32.88,691192.0
2021-01-31,32.89,33.79,32.5,32.88,691192.0
2021-02-01,32.89,33.79,32.5,32.88,691192.0
2021-02-02,32.89,33.79,32.5,32.88,691192.0
2021-02-03,32.89,33.79,32.5,32.88,691192.0
2021-02-04,32.89,33.79,32.5,32.88,691192.0
2021-02-05,32.89,33.79,32.5,32.88,691192.0
2021-02-06,32.89,33.79,32.5,32.88,691192.0
2021-02-07,32.89,33.79,32.5,32.88,691192.0
2021-02-08,32.89,33.79,32.5,32.88,691192.0
2021-02-09,32.89,33.79,32.5,32.88,691192.0
2021-02-10,32.89,33.79,32.5,32.88,691192.0
2021-02-11,32.89,33.79,32.5,32.88,691192.0
2021-02-12,32.89,33.79,32.5,32.88,691192.0
2021-02-13,32.89,33.79,32.5,32.88,691192.0
2021-02-14,32.89,33.79,32.5,32.88,691192.0
2021-02-15,32.89,33.79,32.5,32.88,691192.0
2021-02-16,32.89,33.79,32.5,32.88,691192.0
2021-02-17,32.89,33.79,32.5,32.88,691192.0
2021-02-18,32.89,33.79,32.5,32.88,691192.0
2021-02-19,32.89,33.79,32.5,32.88,691192.0
2021-02-20,32.89,33.79,32.5,32.88,691192.0
2021-02-21,32.89,33.79,32.5,32.88,691192.0
2021-02-22,32.89,33.79,32.5,32.88,691192.0
2021-02-23,32.89,33.79,32.5,32.88,691192.0
2021-02-24,32.89,33.79,32.5,32.88,691192.0
2021-02-25,32.89,33.79,32.5,32.88,691192.0
2021-02-26,32.89,33.79,32.5,32.88,691192.0
2021-02-27,32.89,33.79,32.5,32.88,691192.0
2021-02-28,32.89,33.79,32.5,32.88,691192.0
2021-03-01,32.89,33.79,32.5,32.88,691192.0
2021-03-02,32.89,33.79,32.5,32.88,691192.0
2021-03-03,32.89,33.79,32.5,32.88,691192.0
2021-03-04,32.89,33.79,32.5,32.88,691192.0
2021-03-05,32.89,33.79,32.5,32.88,691192.0
2021-03-06,32.89,33.79,32.5,32.88,691192.0
2021-03-07,32.89,33.79,32.5,32.88,691192.0
2021-03-08,32.89,33.79,32.5,32.88,691192.0
2021-03-09,32.89,33.79,32.5,32.88,691192.0
2021-03-10,32.89,33.79,32.5,32.88,691192.0
2021-03-11,32.89,33.79,32.5,32.88,691192.0
2021-03-12,32.89,33.79,32.5,32.88,691192.0
2021-03-13,32.89,33.79,32.5,32.88,691192.0
2021-03-14,32.89,33.79,32.5,32.88,691192.0
2021-03-15,32.89,33.79,32.5,32.88,691192.0
2021-03-16,32.89,33.79,32.5,32.88,691192.0
2021-03-17,32.89,33.79,32.5,32.88,691192.0
2021-03-18,32.89,33.79,32.5,32.88,691192.0
2021-03-19,32.89,33.79,32.5,32.88,691192.0
2021-03-20,32.89,33.79,32.5,32.88,691192.0
2021-03-21,32.89,33.79,32.5,32.88,691192.0
2021-03-22,32.89,33.79,32.5,32.88,691192.0
2021-03-23,32.89,33.79,32.5,32.88,691192.0
2021-03-24,32.89,33.79,32.5,32.88,691192.0
2021-03-25,32.89,33.79,32.5,32.88,691192.0
2021-03-26,32.89,33.79,32.5,32.88,691192.0
2021-03-27,32.89,33.79,32.5,32.88,691192.0
2021-03-28,32.89,33.79,32.5,32.88,691192.0
2021-03-29,32.89,33.79,32.5,32.88,691192.0
2021-03-30,32.89,33.79,32.5,32.88,691192.0
2021-03-31,32.89,33.79,32.5,32.88,691192.0
2021-04-01,32.89,33.79,32.5,32.88,691192.0
2021-04-02,32.89,33.79,32.5,32.88,691192.0
2021-04-03,32.89,33.79,32.5,32.88,691192.0
2021-04-04,32.89,33.79,32.5,32.88,691192.0
2021-04-05,32.89,33.79,32.5,32.88,691192.0
2021-04-06,32.89,33.79,32.5,32.88,691192.0
2021-04-07,32.89,33.79,32.5,32.88,691192.0
2021-04-08,32.89,33.79,32.5,32.88,691192.0
2021-04-09,32.89,33.79,32.5,32.88,691192.0
2021-04-10,32.89,33.79,32.5,32.88,691192.0
2021-04-11,32.89,33.79,32.5,32.88,691192.0
2021-04-12,32.89,33.79,32.5,32.88,691192.0
2021-04-13,32.89,33.79,32.5,32.88,691192.0
2021-04-14,32.89,33.79,32.5,32.88,691192.0
2021-04-15,32.89,33.79,32.5,32.88,691192.0
2021-04-16,32.89,33.79,32.5,32.88,691192.0
2021-04-17,32.89,33.79,32.5,32.88,691192.0
2021-04-18,32.89,33.79,32.5,32.88,691192.0
2021-04-19,32.89,33.79,32.5,32.88,691192.0
2021-04-20,32.89,33.79,32.5,32.88,691192.0
2021-04-21,32.89,33.79,32.5,32.88,691192.0
2021-04-22,32.89,33.79,32.5,32.88,691192.0
2021-04-23,32.89,33.79,32.5,32.88,691192.0
2021-04-24,32.89,33.79,32.5,32.88,691192.0
2021-04-25,32.89,33.79,32.5,32.88,691192.0
2021-04-26,32.89,33.79,32.5,32.88,691192.0
2021-04-27,32.89,33.79,32.5,32.88,691192.0
2021-04-28,32.89,33.79,32.5,32.88,691192.0
