,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity
2019-02-05,229.44,231.69,227.71,227.79,2262128.0
2019-02-06,230.55,236.22,230.11,233.03,2706413.0
2019-02-07,230.2,231.64,224.67,227.02,2864739.0
2019-02-08,225.53,231.41,225.31,231.21,2390288.0
2019-02-09,225.53,231.41,225.31,231.21,2390288.0
2019-02-10,225.53,231.41,225.31,231.21,2390288.0
2019-02-11,231.5,232.85,230.55,232.61,1801188.0
2019-02-12,235.09,236.55,233.74,235.71,1980916.0
2019-02-13,236.22,238.05,234.51,237.34,1919218.0
2019-02-14,236.73,238.62,235.34,237.49,1601504.0
2019-02-15,239.67,239.67,235.2,237.85,1735175.0
2019-02-16,239.67,239.67,235.2,237.85,1735175.0
2019-02-17,239.67,239.67,235.2,237.85,1735175.0
2019-02-18,239.67,239.67,235.2,237.85,1735175.0
2019-02-19,237.19,238.61,236.35,237.62,1515175.0
2019-02-20,238.97,241.81,238.15,239.11,1614951.0
2019-02-21,238.96,239.05,235.32,237.02,1325617.0
2019-02-22,236.18,236.22,231.72,233.27,2722814.0
2019-02-23,236.18,236.22,231.72,233.27,2722814.0
2019-02-24,236.18,236.22,231.72,233.27,2722814.0
2019-02-25,236.88,236.92,234.94,235.04,1924460.0
2019-02-26,234.48,234.55,231.54,232.01,2721216.0
2019-02-27,230.5,232.09,227.43,229.04,2914640.0
2019-02-28,227.76,232.6,226.63,232.31,3146053.0
2019-03-01,234.31,234.67,228.74,230.11,1903785.0
2019-03-02,234.31,234.67,228.74,230.11,1903785.0
2019-03-03,234.31,234.67,228.74,230.11,1903785.0
2019-03-04,232.01,233.34,228.51,231.91,1738161.0
2019-03-05,232.43,236.6,231.61,233.7,2169908.0
2019-03-06,233.41,233.63,228.19,228.93,1997385.0
2019-03-07,227.94,228.07,222.79,224.0,2541082.0
2019-03-08,220.67,223.37,218.68,222.89,2216990.0
2019-03-09,220.67,223.37,218.68,222.89,2216990.0
2019-03-10,220.67,223.37,218.68,222.89,2216990.0
2019-03-11,223.48,228.25,222.77,226.99,2716054.0
2019-03-12,227.58,227.81,222.95,227.48,2332424.0
2019-03-13,228.22,230.39,226.96,228.81,3208871.0
2019-03-14,229.55,229.69,226.01,226.27,4309432.0
2019-03-15,241.67,252.72,239.18,244.91,14406598.0
2019-03-16,241.67,252.72,239.18,244.91,14406598.0
2019-03-17,241.67,252.72,239.18,244.91,14406598.0
2019-03-18,244.85,250.55,244.84,247.9,5674859.0
2019-03-19,248.17,253.92,248.13,252.52,5155604.0
2019-03-20,253.66,254.51,247.09,247.72,4126580.0
2019-03-21,248.45,254.82,247.7,252.63,2737961.0
2019-03-22,251.89,252.33,248.04,249.1,2330901.0
2019-03-23,251.89,252.33,248.04,249.1,2330901.0
2019-03-24,251.89,252.33,248.04,249.1,2330901.0
2019-03-25,248.72,250.4,246.0,248.68,2387876.0
2019-03-26,250.57,254.91,250.44,252.83,2801154.0
2019-03-27,253.29,254.23,248.94,251.93,2186180.0
2019-03-28,252.9,258.17,251.67,254.57,3302952.0
2019-03-29,256.4,257.63,253.89,255.96,2449344.0
2019-03-30,256.4,257.63,253.89,255.96,2449344.0
2019-03-31,256.4,257.63,253.89,255.96,2449344.0
2019-04-01,258.01,261.1,255.15,260.29,2703960.0
2019-04-02,260.6,261.61,257.58,257.95,2285693.0
2019-04-03,260.65,261.66,256.91,258.93,2315289.0
2019-04-04,259.4,260.47,256.78,257.06,1522814.0
2019-04-05,258.76,259.14,256.89,259.0,1887537.0
2019-04-06,258.76,259.14,256.89,259.0,1887537.0
2019-04-07,258.76,259.14,256.89,259.0,1887537.0
2019-04-08,258.88,259.87,257.06,259.17,1389871.0
2019-04-09,257.55,258.86,255.6,258.29,1162051.0
2019-04-10,258.42,261.97,257.91,261.75,1499192.0
2019-04-11,262.3,264.03,260.66,263.37,1667017.0
2019-04-12,265.02,270.2,264.36,269.85,3008958.0
2019-04-13,265.02,270.2,264.36,269.85,3008958.0
2019-04-14,265.02,270.2,264.36,269.85,3008958.0
2019-04-15,269.85,270.27,266.56,269.32,1621682.0
2019-04-16,272.38,272.39,269.06,271.11,2111735.0
2019-04-17,272.59,273.18,270.54,272.83,1813793.0
2019-04-18,273.27,274.46,270.82,271.21,2654805.0
2019-04-19,273.27,274.46,270.82,271.21,2654805.0
2019-04-20,273.27,274.46,270.82,271.21,2654805.0
2019-04-21,273.27,274.46,270.82,271.21,2654805.0
2019-04-22,270.1,270.59,267.45,268.13,1350728.0
2019-04-23,269.62,270.76,267.44,268.67,1977675.0
2019-04-24,267.77,269.83,266.59,267.56,2333488.0
2019-04-25,266.38,266.38,260.95,265.42,2673609.0
2019-04-26,263.15,264.68,259.71,264.22,1640375.0
2019-04-27,263.15,264.68,259.71,264.22,1640375.0
2019-04-28,263.15,264.68,259.71,264.22,1640375.0
2019-04-29,264.93,267.85,264.24,266.19,1340358.0
2019-04-30,266.7,271.04,266.02,271.02,1895321.0
2019-05-01,272.81,275.11,271.26,271.45,1815793.0
2019-05-02,272.36,274.24,267.47,268.82,2042824.0
2019-05-03,268.08,269.53,264.46,268.73,1921373.0
2019-05-04,268.08,269.53,264.46,268.73,1921373.0
2019-05-05,268.08,269.53,264.46,268.73,1921373.0
2019-05-06,261.14,265.51,259.91,265.21,1437403.0
2019-05-07,262.72,263.54,258.53,261.56,2173409.0
2019-05-08,259.87,261.88,258.01,258.24,1509866.0
2019-05-09,255.36,260.34,252.68,258.81,2228224.0
2019-05-10,258.11,259.96,252.52,258.73,2102486.0
2019-05-11,258.11,259.96,252.52,258.73,2102486.0
2019-05-12,258.11,259.96,252.52,258.73,2102486.0
2019-05-13,250.1,251.68,245.31,249.72,3786434.0
2019-05-14,251.69,259.27,251.51,257.06,3427699.0
2019-05-15,255.59,261.97,254.18,259.08,1816785.0
2019-05-16,255.15,258.0,250.85,253.05,3423313.0
2019-05-17,249.21,249.88,245.49,246.75,3909439.0
2019-05-18,249.21,249.88,245.49,246.75,3909439.0
2019-05-19,249.21,249.88,245.49,246.75,3909439.0
2019-05-20,236.63,238.29,228.66,232.03,6516154.0
2019-05-21,235.86,238.15,233.78,234.36,2506008.0
2019-05-22,230.23,234.13,228.95,229.16,3180892.0
2019-05-23,225.21,225.98,219.75,221.39,4660703.0
2019-05-24,223.61,226.2,217.68,217.85,2796327.0
2019-05-25,223.61,226.2,217.68,217.85,2796327.0
2019-05-26,223.61,226.2,217.68,217.85,2796327.0
2019-05-27,223.61,226.2,217.68,217.85,2796327.0
2019-05-28,218.39,219.38,212.88,216.61,6196527.0
2019-05-29,215.13,218.22,214.14,216.31,2813243.0
2019-05-30,216.76,219.05,216.31,218.43,1731287.0
2019-05-31,215.39,217.68,213.65,214.19,2219380.0
2019-06-01,215.39,217.68,213.65,214.19,2219380.0
2019-06-02,215.39,217.68,213.65,214.19,2219380.0
2019-06-03,214.97,219.89,213.82,215.51,2891066.0
2019-06-04,218.72,226.42,217.7,226.16,3680802.0
2019-06-05,228.98,231.11,223.35,226.18,2365444.0
2019-06-06,227.29,234.08,225.8,232.2,3268676.0
2019-06-07,233.89,236.52,232.61,233.97,2596690.0
2019-06-08,233.89,236.52,232.61,233.97,2596690.0
2019-06-09,233.89,236.52,232.61,233.97,2596690.0
2019-06-10,235.55,242.39,235.54,238.51,2327989.0
2019-06-11,247.26,248.34,237.83,241.3,3710648.0
2019-06-12,239.76,241.02,236.13,238.1,2705712.0
2019-06-13,239.63,240.79,236.13,239.7,3773457.0
2019-06-14,219.7,228.2,219.16,226.36,10079720.0
2019-06-15,219.7,228.2,219.16,226.36,10079720.0
2019-06-16,219.7,228.2,219.16,226.36,10079720.0
2019-06-17,225.43,228.72,222.45,226.39,3578549.0
2019-06-18,228.25,240.9,226.81,236.67,5492044.0
2019-06-19,237.3,237.54,232.98,236.2,2892032.0
2019-06-20,240.47,242.97,235.92,237.53,5729124.0
2019-06-21,237.71,241.48,235.43,235.45,4539947.0
2019-06-22,237.71,241.48,235.43,235.45,4539947.0
2019-06-23,237.71,241.48,235.43,235.45,4539947.0
2019-06-24,236.77,240.15,236.32,239.93,2050617.0
2019-06-25,239.9,243.09,237.2,237.62,2443597.0
2019-06-26,239.4,244.08,238.99,241.86,2477396.0
2019-06-27,243.14,247.88,242.54,245.53,2181273.0
2019-06-28,247.37,248.61,244.76,247.37,4926498.0
2019-06-29,247.37,248.61,244.76,247.37,4926498.0
2019-06-30,247.37,248.61,244.76,247.37,4926498.0
2019-07-01,259.25,262.75,254.65,258.11,4495568.0
2019-07-02,256.84,258.38,252.56,253.79,1901117.0
2019-07-03,243.8,248.16,243.21,244.82,4941080.0
2019-07-04,243.8,248.16,243.21,244.82,4941080.0
2019-07-05,243.76,245.29,242.31,242.91,2456533.0
2019-07-06,243.76,245.29,242.31,242.91,2456533.0
2019-07-07,243.76,245.29,242.31,242.91,2456533.0
2019-07-08,240.62,241.64,235.8,236.29,3429056.0
2019-07-09,234.99,237.16,234.1,236.78,2613246.0
2019-07-10,238.78,239.59,235.46,235.89,3013447.0
2019-07-11,236.53,238.43,234.56,237.23,2071327.0
2019-07-12,237.51,245.72,237.51,245.25,2197117.0
2019-07-13,237.51,245.72,237.51,245.25,2197117.0
2019-07-14,237.51,245.72,237.51,245.25,2197117.0
2019-07-15,250.16,253.07,246.87,247.79,3033669.0
2019-07-16,246.63,247.31,242.67,244.17,1461752.0
2019-07-17,245.4,246.88,243.36,244.98,1545297.0
2019-07-18,245.93,249.47,243.88,249.02,1936983.0
2019-07-19,250.79,251.93,248.81,249.21,2204995.0
2019-07-20,250.79,251.93,248.81,249.21,2204995.0
2019-07-21,250.79,251.93,248.81,249.21,2204995.0
2019-07-22,251.79,257.8,251.14,254.5,3391297.0
2019-07-23,257.38,259.83,257.13,258.48,1969162.0
2019-07-24,258.84,262.0,258.24,261.05,1901044.0
2019-07-25,259.64,259.64,257.29,258.14,1574066.0
2019-07-26,259.17,260.4,258.26,258.6,1499559.0
2019-07-27,259.17,260.4,258.26,258.6,1499559.0
2019-07-28,259.17,260.4,258.26,258.6,1499559.0
2019-07-29,258.86,260.0,255.19,259.3,1206805.0
2019-07-30,257.02,258.61,255.31,257.43,1116439.0
2019-07-31,257.83,258.52,246.35,249.2,2081939.0
2019-08-01,248.47,255.93,242.61,245.21,2191069.0
2019-08-02,242.4,243.92,237.1,239.36,2007951.0
2019-08-03,242.4,243.92,237.1,239.36,2007951.0
2019-08-04,242.4,243.92,237.1,239.36,2007951.0
2019-08-05,233.7,233.95,226.94,230.01,2776482.0
2019-08-06,232.14,233.9,227.35,228.97,2219934.0
2019-08-07,226.9,234.36,226.01,232.07,2224408.0
2019-08-08,232.35,234.23,225.58,232.87,2916338.0
2019-08-09,231.66,241.09,231.66,236.95,3073462.0
2019-08-10,231.66,241.09,231.66,236.95,3073462.0
2019-08-11,231.66,241.09,231.66,236.95,3073462.0
2019-08-12,234.93,239.08,234.21,236.87,2003969.0
2019-08-13,236.58,245.35,233.77,243.8,2294124.0
2019-08-14,239.58,240.75,232.35,233.37,2710811.0
2019-08-15,233.74,234.41,227.6,230.86,2014233.0
2019-08-16,233.87,236.97,233.73,235.27,1820305.0
2019-08-17,233.87,236.97,233.73,235.27,1820305.0
2019-08-18,233.87,236.97,233.73,235.27,1820305.0
2019-08-19,240.19,240.67,236.85,239.57,1748910.0
2019-08-20,239.04,244.88,238.05,240.94,1792071.0
2019-08-21,244.61,247.72,244.1,247.06,1938488.0
2019-08-22,247.83,248.71,244.53,247.17,1229940.0
2019-08-23,244.05,245.33,232.93,233.86,2576280.0
2019-08-24,244.05,245.33,232.93,233.86,2576280.0
2019-08-25,244.05,245.33,232.93,233.86,2576280.0
2019-08-26,238.0,238.86,236.32,238.23,1425016.0
2019-08-27,239.89,240.81,236.25,236.81,1429887.0
2019-08-28,235.75,237.53,232.43,237.23,1720195.0
2019-08-29,241.9,245.34,241.52,243.52,1643001.0
2019-08-30,245.23,245.69,240.53,242.89,1672115.0
2019-08-31,245.23,245.69,240.53,242.89,1672115.0
2019-09-01,245.23,245.69,240.53,242.89,1672115.0
2019-09-02,245.23,245.69,240.53,242.89,1672115.0
2019-09-03,240.62,241.35,232.82,235.51,2221028.0
2019-09-04,239.58,244.36,239.07,243.21,1986835.0
2019-09-05,247.8,252.38,247.8,250.09,2094058.0
2019-09-06,250.8,252.05,248.61,250.85,1374758.0
2019-09-07,250.8,252.05,248.61,250.85,1374758.0
2019-09-08,250.8,252.05,248.61,250.85,1374758.0
2019-09-09,253.51,255.4,249.56,251.46,2168905.0
2019-09-10,250.37,253.04,248.2,253.03,2085102.0
2019-09-11,254.64,256.76,253.12,256.1,1925989.0
2019-09-12,259.04,259.81,254.77,258.3,3310930.0
2019-09-13,255.79,256.08,243.96,249.49,6255696.0
2019-09-14,255.79,256.08,243.96,249.49,6255696.0
2019-09-15,255.79,256.08,243.96,249.49,6255696.0
2019-09-16,246.46,249.44,245.52,248.06,2217572.0
2019-09-17,247.51,248.61,243.84,248.21,2203473.0
2019-09-18,247.92,249.86,243.95,247.27,1737065.0
2019-09-19,247.92,250.88,246.83,249.76,1977918.0
2019-09-20,249.49,250.12,244.41,246.53,3689318.0
2019-09-21,249.49,250.12,244.41,246.53,3689318.0
2019-09-22,249.49,250.12,244.41,246.53,3689318.0
2019-09-23,245.97,249.04,244.64,247.57,1558379.0
2019-09-24,249.18,250.55,242.62,244.84,2104247.0
2019-09-25,235.68,240.41,234.16,239.16,5595904.0
2019-09-26,238.72,241.67,236.48,240.15,2765225.0
2019-09-27,239.91,243.94,236.73,237.75,2894245.0
2019-09-28,239.91,243.94,236.73,237.75,2894245.0
2019-09-29,239.91,243.94,236.73,237.75,2894245.0
2019-09-30,239.18,239.99,236.33,239.42,2020410.0
2019-10-01,241.33,242.53,237.09,238.37,1958915.0
2019-10-02,237.16,237.46,232.7,234.22,2000229.0
2019-10-03,234.16,238.06,231.75,238.0,1901869.0
2019-10-04,241.52,244.31,238.67,244.07,2591666.0
2019-10-05,241.52,244.31,238.67,244.07,2591666.0
2019-10-06,241.52,244.31,238.67,244.07,2591666.0
2019-10-07,242.84,243.72,239.1,239.43,1910303.0
2019-10-08,237.68,238.41,233.22,234.45,2306738.0
2019-10-09,237.35,238.42,235.91,236.89,1666927.0
2019-10-10,238.12,241.78,237.33,238.02,1810886.0
2019-10-11,242.39,246.37,242.04,243.62,2389088.0
2019-10-12,242.39,246.37,242.04,243.62,2389088.0
2019-10-13,242.39,246.37,242.04,243.62,2389088.0
2019-10-14,243.2,245.13,242.73,244.27,1336895.0
2019-10-15,245.12,252.04,244.74,251.78,2149904.0
2019-10-16,250.64,251.59,248.51,250.19,2076893.0
2019-10-17,251.63,252.99,250.05,251.01,1362019.0
2019-10-18,251.07,251.45,246.3,248.67,1698053.0
2019-10-19,251.07,251.45,246.3,248.67,1698053.0
2019-10-20,251.07,251.45,246.3,248.67,1698053.0
2019-10-21,250.15,253.15,248.96,251.13,1374668.0
2019-10-22,251.15,252.25,249.11,249.3,1344039.0
2019-10-23,245.4,245.9,241.76,243.11,2099789.0
2019-10-24,245.34,245.87,241.71,244.84,1715972.0
2019-10-25,245.66,252.69,245.63,251.35,2086877.0
2019-10-26,245.66,252.69,245.63,251.35,2086877.0
2019-10-27,245.66,252.69,245.63,251.35,2086877.0
2019-10-28,252.51,253.66,250.05,252.85,1299941.0
2019-10-29,253.48,254.71,249.83,249.91,1327229.0
2019-10-30,251.51,252.35,248.49,251.71,1728068.0
2019-10-31,251.33,255.04,249.6,253.98,2788055.0
2019-11-01,254.1,257.22,253.32,257.22,2123401.0
2019-11-02,254.1,257.22,253.32,257.22,2123401.0
2019-11-03,254.1,257.22,253.32,257.22,2123401.0
2019-11-04,259.76,264.91,259.4,264.51,3407532.0
2019-11-05,264.51,274.73,264.06,272.35,3871146.0
2019-11-06,270.64,272.56,267.73,271.59,1807599.0
2019-11-07,273.69,277.09,269.41,270.36,2398255.0
2019-11-08,268.74,271.97,264.63,271.81,1783010.0
2019-11-09,268.74,271.97,264.63,271.81,1783010.0
2019-11-10,268.74,271.97,264.63,271.81,1783010.0
2019-11-11,269.89,271.66,269.58,271.24,915445.0
2019-11-12,272.32,274.41,271.68,273.65,1688039.0
2019-11-13,271.0,273.8,270.59,272.03,1334797.0
2019-11-14,269.5,270.44,265.48,267.96,1727126.0
2019-11-15,270.82,271.5,268.92,271.37,1812044.0
2019-11-16,270.82,271.5,268.92,271.37,1812044.0
2019-11-17,270.82,271.5,268.92,271.37,1812044.0
2019-11-18,270.43,271.81,267.14,269.78,1585106.0
2019-11-19,274.62,282.44,274.62,275.53,3174632.0
2019-11-20,273.97,274.77,267.98,270.3,1995247.0
2019-11-21,269.84,273.79,268.68,273.4,1931735.0
2019-11-22,274.61,277.07,272.07,273.12,1321643.0
2019-11-23,274.61,277.07,272.07,273.12,1321643.0
2019-11-24,274.61,277.07,272.07,273.12,1321643.0
2019-11-25,274.58,277.68,274.29,277.19,1963663.0
2019-11-26,276.66,277.68,274.1,274.29,3080101.0
2019-11-27,275.74,277.47,274.46,276.17,2018344.0
2019-11-28,275.74,277.47,274.46,276.17,2018344.0
2019-11-29,274.79,275.61,273.19,274.24,922924.0
2019-11-30,274.79,275.61,273.19,274.24,922924.0
2019-12-01,274.79,275.61,273.19,274.24,922924.0
2019-12-02,275.55,275.73,269.34,269.48,2317709.0
2019-12-03,265.23,267.98,262.89,265.83,1912356.0
2019-12-04,268.63,270.04,266.36,268.61,1443954.0
2019-12-05,269.36,270.98,268.04,269.88,1549453.0
2019-12-06,272.88,274.35,270.64,274.1,1693928.0
2019-12-07,272.88,274.35,270.64,274.1,1693928.0
2019-12-08,272.88,274.35,270.64,274.1,1693928.0
2019-12-09,274.05,275.05,272.27,272.65,2479303.0
2019-12-10,273.27,273.98,271.67,273.24,1456678.0
2019-12-11,273.34,278.69,273.34,277.28,2084755.0
2019-12-12,277.29,286.34,277.03,284.29,3918733.0
2019-12-13,275.84,277.32,269.39,273.55,7098711.0
2019-12-14,275.84,277.32,269.39,273.55,7098711.0
2019-12-15,275.84,277.32,269.39,273.55,7098711.0
2019-12-16,275.76,284.11,275.38,280.24,3793328.0
2019-12-17,280.77,281.82,279.04,280.82,2025210.0
2019-12-18,281.34,287.24,280.6,283.98,3517881.0
2019-12-19,285.51,285.55,280.74,281.08,3179904.0
2019-12-20,282.5,282.5,277.63,279.46,5054233.0
2019-12-21,282.5,282.5,277.63,279.46,5054233.0
2019-12-22,282.5,282.5,277.63,279.46,5054233.0
2019-12-23,280.81,282.38,278.24,279.92,2025490.0
2019-12-24,280.33,280.93,279.47,280.77,702376.0
2019-12-25,280.33,280.93,279.47,280.77,702376.0
2019-12-26,281.45,281.86,277.55,278.57,1585786.0
2019-12-27,279.72,279.77,276.15,277.3,1448916.0
2019-12-28,279.72,279.77,276.15,277.3,1448916.0
2019-12-29,279.72,279.77,276.15,277.3,1448916.0
2019-12-30,277.29,278.0,273.98,274.61,1310404.0
2019-12-31,274.31,277.15,274.03,276.85,1248887.0
2020-01-01,274.31,277.15,274.03,276.85,1248887.0
2020-01-02,279.74,282.53,277.99,282.43,1966411.0
2020-01-03,278.15,280.33,275.15,275.25,2287663.0
2020-01-04,278.15,280.33,275.15,275.25,2287663.0
2020-01-05,278.15,280.33,275.15,275.25,2287663.0
2020-01-06,272.31,275.01,271.25,274.83,2081081.0
2020-01-07,276.17,277.34,273.55,273.89,1863062.0
2020-01-08,274.19,274.63,270.18,270.47,3207546.0
2020-01-09,273.61,274.19,265.49,268.3,4245089.0
2020-01-10,267.59,267.68,261.76,262.13,4071143.0
2020-01-11,267.59,267.68,261.76,262.13,4071143.0
2020-01-12,267.59,267.68,261.76,262.13,4071143.0
2020-01-13,262.83,266.14,262.52,263.85,2205420.0
2020-01-14,264.57,270.83,264.21,269.98,2891287.0
2020-01-15,269.22,269.72,263.43,265.56,2273260.0
2020-01-16,267.19,269.7,266.5,268.99,2150771.0
2020-01-17,270.4,270.65,266.38,270.51,2689804.0
2020-01-18,270.4,270.65,266.38,270.51,2689804.0
2020-01-19,270.4,270.65,266.38,270.51,2689804.0
2020-01-20,270.4,270.65,266.38,270.51,2689804.0
2020-01-21,269.65,271.15,268.36,269.88,2196869.0
2020-01-22,272.28,278.51,272.01,274.1,2926382.0
2020-01-23,276.11,280.16,272.29,280.03,3026645.0
2020-01-24,289.53,290.48,281.01,283.84,5578152.0
2020-01-25,289.53,290.48,281.01,283.84,5578152.0
2020-01-26,289.53,290.48,281.01,283.84,5578152.0
2020-01-27,277.19,280.23,270.38,270.72,3884315.0
2020-01-28,274.67,279.66,274.0,278.85,2316594.0
2020-01-29,281.05,285.09,277.83,278.15,2367301.0
2020-01-30,275.36,276.41,270.34,276.13,2112818.0
2020-01-31,275.22,275.59,265.99,267.33,2212297.0
2020-02-01,275.22,275.59,265.99,267.33,2212297.0
2020-02-02,275.22,275.59,265.99,267.33,2212297.0
2020-02-03,267.75,268.6,266.0,267.4,2128994.0
2020-02-04,273.14,275.57,271.27,272.98,2255873.0
2020-02-05,278.14,280.17,276.71,278.04,2482475.0
2020-02-06,279.32,280.23,275.28,280.06,2268311.0
2020-02-07,278.86,279.04,275.84,276.16,1588405.0
2020-02-08,278.86,279.04,275.84,276.16,1588405.0
2020-02-09,278.86,279.04,275.84,276.16,1588405.0
2020-02-10,273.65,275.6,271.84,275.25,1921810.0
2020-02-11,277.4,281.03,276.84,280.48,1552703.0
2020-02-12,282.12,284.79,281.76,284.45,1531020.0
2020-02-13,281.63,285.12,281.17,283.81,1385663.0
2020-02-14,284.58,285.33,277.79,278.38,1913664.0
2020-02-15,284.58,285.33,277.79,278.38,1913664.0
2020-02-16,284.58,285.33,277.79,278.38,1913664.0
2020-02-17,284.58,285.33,277.79,278.38,1913664.0
2020-02-18,275.95,275.96,269.87,272.23,2670324.0
2020-02-19,274.2,277.56,273.06,276.56,2052525.0
2020-02-20,275.04,276.56,268.18,270.91,2552088.0
2020-02-21,270.26,271.09,264.82,266.76,2453090.0
2020-02-22,270.26,271.09,264.82,266.76,2453090.0
2020-02-23,270.26,271.09,264.82,266.76,2453090.0
2020-02-24,257.73,261.76,254.11,255.46,3684871.0
2020-02-25,257.65,259.07,246.23,247.64,3189198.0
2020-02-26,249.1,252.48,248.8,250.44,2308856.0
2020-02-27,245.56,249.94,239.63,239.99,3483709.0
2020-02-28,230.69,240.15,230.17,238.83,4460424.0
2020-02-29,230.69,240.15,230.17,238.83,4460424.0
2020-03-01,230.69,240.15,230.17,238.83,4460424.0
2020-03-02,242.45,250.02,237.54,249.65,3197647.0
2020-03-03,249.37,252.72,237.91,240.26,2992968.0
2020-03-04,243.14,250.3,240.71,250.07,2347789.0
2020-03-05,242.89,248.0,238.68,240.07,2437413.0
2020-03-06,233.89,237.35,229.96,236.05,3016877.0
2020-03-07,233.89,237.35,229.96,236.05,3016877.0
2020-03-08,233.89,237.35,229.96,236.05,3016877.0
2020-03-09,219.96,228.01,213.97,217.01,4393360.0
2020-03-10,224.78,231.0,213.23,230.31,5507531.0
2020-03-11,222.41,224.7,212.43,215.48,3604372.0
2020-03-12,198.85,212.67,189.51,191.66,6428111.0
2020-03-13,197.55,205.4,176.23,205.19,8471369.0
2020-03-14,197.55,205.4,176.23,205.19,8471369.0
2020-03-15,197.55,205.4,176.23,205.19,8471369.0
2020-03-16,182.38,191.68,157.89,164.33,7693502.0
2020-03-17,168.04,175.22,158.98,174.78,7066156.0
2020-03-18,162.65,164.24,136.37,147.06,9899262.0
2020-03-19,146.86,181.75,144.55,170.35,7443821.0
2020-03-20,179.97,185.92,167.42,171.26,7404367.0
2020-03-21,179.97,185.92,167.42,171.26,7404367.0
2020-03-22,179.97,185.92,167.42,171.26,7404367.0
2020-03-23,171.85,174.6,158.36,172.37,4692052.0
2020-03-24,183.21,194.86,179.34,189.56,6296977.0
2020-03-25,189.05,217.39,186.4,193.82,6444245.0
2020-03-26,201.38,218.1,201.38,216.65,6023343.0
2020-03-27,207.59,215.69,204.92,205.53,3944771.0
2020-03-28,207.59,215.69,204.92,205.53,3944771.0
2020-03-29,207.59,215.69,204.92,205.53,3944771.0
2020-03-30,206.88,215.04,203.53,213.92,5234349.0
2020-03-31,212.04,225.15,210.31,211.24,5021531.0
2020-04-01,203.12,208.84,195.72,199.24,4185832.0
2020-04-02,198.14,212.0,197.3,211.21,4504883.0
2020-04-03,210.83,216.1,205.41,208.71,2896148.0
2020-04-04,210.83,216.1,205.41,208.71,2896148.0
2020-04-05,210.83,216.1,205.41,208.71,2896148.0
2020-04-06,217.91,225.78,217.0,224.91,3886786.0
2020-04-07,233.28,236.54,224.99,225.65,4589207.0
2020-04-08,228.77,233.6,225.98,232.62,2756546.0
2020-04-09,236.8,238.33,223.9,226.57,3482759.0
2020-04-10,236.8,238.33,223.9,226.57,3482759.0
2020-04-11,236.8,238.33,223.9,226.57,3482759.0
2020-04-12,236.8,238.33,223.9,226.57,3482759.0
2020-04-13,225.85,233.0,225.23,231.57,2572858.0
2020-04-14,237.1,239.11,233.71,238.44,2309632.0
2020-04-15,232.53,233.71,228.22,229.36,2592648.0
2020-04-16,233.21,233.21,226.4,230.12,2689592.0
2020-04-17,234.51,238.26,230.7,236.88,3408880.0
2020-04-18,234.51,238.26,230.7,236.88,3408880.0
2020-04-19,234.51,238.26,230.7,236.88,3408880.0
2020-04-20,231.64,236.33,229.78,230.11,2380122.0
2020-04-21,226.8,227.0,219.88,220.64,2913805.0
2020-04-22,226.98,233.62,223.39,231.62,3544184.0
