,BBDC US Equity,BBDC US Equity,BBDC US Equity,BBDC US Equity,BBDC US Equity
2020-02-28,6.5581,6.5581,6.2747,6.3692,508415.0
2020-02-29,6.5581,6.5581,6.2747,6.3692,508415.0
2020-03-01,6.5581,6.5581,6.2747,6.3692,508415.0
2020-03-02,6.3557,6.6863,6.3557,6.6728,486764.0
2020-03-03,6.6795,6.8043,6.6795,6.7402,406977.0
2020-03-04,6.801,6.8954,6.801,6.828,147202.0
2020-03-05,6.7807,6.7908,6.72,6.7605,130912.0
2020-03-06,6.6458,6.6458,6.5108,6.6188,233173.0
2020-03-07,6.6458,6.6458,6.5108,6.6188,233173.0
2020-03-08,6.6458,6.6458,6.5108,6.6188,233173.0
2020-03-09,6.3152,6.3759,6.241,6.2747,259449.0
2020-03-10,6.3571,6.4463,6.2129,6.3777,335263.0
2020-03-11,6.2678,6.2747,6.055,6.0962,335203.0
2020-03-12,5.753,5.753,5.1969,5.6294,332756.0
2020-03-13,5.7735,5.8731,5.4852,5.65,244442.0
2020-03-14,5.7735,5.8731,5.4852,5.65,244442.0
2020-03-15,5.7735,5.8731,5.4852,5.65,244442.0
2020-03-16,4.9154,5.3102,4.7575,4.8879,195228.0
2020-03-17,5.0802,5.1008,4.6821,4.7301,727585.0
2020-03-18,4.5172,4.7232,3.666,3.666,896117.0
2020-03-19,3.666,4.1191,3.206,4.0916,830661.0
2020-03-20,4.2152,4.6065,4.1533,4.3044,402728.0
2020-03-21,4.2152,4.6065,4.1533,4.3044,402728.0
2020-03-22,4.2152,4.6065,4.1533,4.3044,402728.0
2020-03-23,4.3113,4.3113,3.7415,3.7415,396111.0
2020-03-24,3.8856,4.3113,3.7964,4.2701,418764.0
2020-03-25,4.3113,5.087,4.3113,4.531,375009.0
2020-03-26,4.5516,5.396,4.5516,5.1145,482450.0
2020-03-27,5.0527,5.5127,4.7301,5.142,577386.0
2020-03-28,5.0527,5.5127,4.7301,5.142,577386.0
2020-03-29,5.0527,5.5127,4.7301,5.142,577386.0
2020-03-30,5.1694,5.2964,4.9772,5.2037,330112.0
2020-03-31,5.2037,5.4166,5.1145,5.1351,305503.0
2020-04-01,4.8056,5.1969,4.7918,5.0939,251778.0
2020-04-02,4.9772,5.1076,4.6133,4.6683,349282.0
2020-04-03,4.8605,4.8605,4.4143,4.4623,489197.0
2020-04-04,4.8605,4.8605,4.4143,4.4623,489197.0
2020-04-05,4.8605,4.8605,4.4143,4.4623,489197.0
2020-04-06,4.5584,4.6957,4.3387,4.5653,559926.0
2020-04-07,4.5584,4.7438,4.4211,4.6339,531089.0
2020-04-08,4.6683,5.1076,4.6683,4.9703,337025.0
2020-04-09,5.087,5.3754,4.8948,4.9291,456618.0
2020-04-10,5.087,5.3754,4.8948,4.9291,456618.0
2020-04-11,5.087,5.3754,4.8948,4.9291,456618.0
2020-04-12,5.087,5.3754,4.8948,4.9291,456618.0
2020-04-13,4.9635,4.9944,4.6339,4.9635,228126.0
2020-04-14,4.9978,5.1008,4.8674,4.8879,317058.0
2020-04-15,4.7781,4.8262,4.6271,4.7575,183579.0
2020-04-16,4.7575,4.7575,4.428,4.5722,325470.0
2020-04-17,4.6957,4.7712,4.4829,4.6271,184193.0
2020-04-18,4.6957,4.7712,4.4829,4.6271,184193.0
2020-04-19,4.6957,4.7712,4.4829,4.6271,184193.0
2020-04-20,4.5241,4.6614,4.4554,4.4692,222817.0
2020-04-21,4.4417,4.4898,4.2152,4.325,202759.0
2020-04-22,4.4005,4.4005,4.2426,4.2701,254424.0
2020-04-23,4.3113,4.3937,4.1877,4.3319,194911.0
2020-04-24,4.3799,4.5996,4.3799,4.5722,270225.0
2020-04-25,4.3799,4.5996,4.3799,4.5722,270225.0
2020-04-26,4.3799,4.5996,4.3799,4.5722,270225.0
2020-04-27,4.5653,4.682,4.5312,4.6408,286950.0
2020-04-28,4.6957,4.8193,4.579,4.5859,185707.0
2020-04-29,4.682,4.8468,4.6751,4.7438,212620.0
2020-04-30,4.7163,4.7163,4.579,4.6408,297025.0
2020-05-01,4.5653,4.9429,4.4074,4.5447,400353.0
2020-05-02,4.5653,4.9429,4.4074,4.5447,400353.0
2020-05-03,4.5653,4.9429,4.4074,4.5447,400353.0
2020-05-04,4.8399,4.8536,4.5996,4.7506,334451.0
2020-05-05,4.7506,4.9154,4.4966,4.6133,600771.0
2020-05-06,4.5859,4.7232,4.531,4.6683,249275.0
2020-05-07,4.6957,4.7781,4.5241,4.6683,523311.0
2020-05-08,4.7575,4.7781,4.5996,4.682,296438.0
2020-05-09,4.7575,4.7781,4.5996,4.682,296438.0
2020-05-10,4.7575,4.7781,4.5996,4.682,296438.0
2020-05-11,4.6408,4.7506,4.579,4.6339,130727.0
2020-05-12,4.6408,4.6957,4.5241,4.5653,217869.0
2020-05-13,4.5653,4.5996,4.4074,4.4486,110833.0
2020-05-14,4.4211,4.4898,4.2598,4.4829,149267.0
2020-05-15,4.4005,4.6065,4.4005,4.5241,107643.0
2020-05-16,4.4005,4.6065,4.4005,4.5241,107643.0
2020-05-17,4.4005,4.6065,4.4005,4.5241,107643.0
2020-05-18,4.6957,4.7163,4.5516,4.6202,157529.0
2020-05-19,4.6202,4.6683,4.4966,4.5447,112398.0
2020-05-20,4.5447,4.6545,4.5255,4.5653,215736.0
2020-05-21,4.5516,4.9291,4.5516,4.8811,234370.0
2020-05-22,4.9085,4.9085,4.7026,4.7575,73186.0
2020-05-23,4.9085,4.9085,4.7026,4.7575,73186.0
2020-05-24,4.9085,4.9085,4.7026,4.7575,73186.0
2020-05-25,4.9085,4.9085,4.7026,4.7575,73186.0
2020-05-26,4.8536,4.9703,4.8536,4.8674,144649.0
2020-05-27,4.9429,5.1969,4.8811,5.0802,258995.0
2020-05-28,5.1969,5.3286,5.0664,5.142,187753.0
2020-05-29,5.1351,5.3822,5.0802,5.3273,258294.0
2020-05-30,5.1351,5.3822,5.0802,5.3273,258294.0
2020-05-31,5.1351,5.3822,5.0802,5.3273,258294.0
2020-06-01,5.4646,5.5882,5.3616,5.5539,241171.0
2020-06-02,5.6088,5.6088,5.4921,5.5745,252032.0
2020-06-03,5.6225,5.7598,5.5813,5.6774,374854.0
2020-06-04,5.7392,5.8285,5.6362,5.698,262347.0
2020-06-05,5.8079,5.8628,5.6156,5.6568,394849.0
2020-06-06,5.8079,5.8628,5.6156,5.6568,394849.0
2020-06-07,5.8079,5.8628,5.6156,5.6568,394849.0
2020-06-08,5.7873,5.8559,5.7324,5.7735,204643.0
2020-06-09,5.6686,5.7595,5.5916,5.6896,100072.0
2020-06-10,5.6406,5.7071,5.4166,5.5776,221757.0
2020-06-11,5.4166,5.4411,5.1857,5.2627,208032.0
2020-06-12,5.3886,5.5076,5.2627,5.5076,77855.0
2020-06-13,5.3886,5.5076,5.2627,5.5076,77855.0
2020-06-14,5.3886,5.5076,5.2627,5.5076,77855.0
2020-06-15,5.3607,5.5426,5.3187,5.4096,89779.0
2020-06-16,5.5286,5.5496,5.3397,5.3467,64540.0
2020-06-17,5.4166,5.4446,5.2207,5.2837,127415.0
2020-06-18,5.2277,5.4026,5.1297,5.1717,171293.0
2020-06-19,5.2487,5.3746,5.1367,5.1507,177045.0
2020-06-20,5.2487,5.3746,5.1367,5.1507,177045.0
2020-06-21,5.2487,5.3746,5.1367,5.1507,177045.0
2020-06-22,5.1297,5.2207,5.1087,5.1367,97225.0
2020-06-23,5.1507,5.2487,5.1087,5.1927,168005.0
2020-06-24,5.5216,5.5356,5.2907,5.5076,275467.0
2020-06-25,5.4866,5.5916,5.4376,5.4796,109722.0
2020-06-26,5.4026,5.4936,5.3467,5.4656,78626.0
2020-06-27,5.4026,5.4936,5.3467,5.4656,78626.0
2020-06-28,5.4026,5.4936,5.3467,5.4656,78626.0
2020-06-29,5.4516,5.5286,5.3467,5.3607,110132.0
2020-06-30,5.4236,5.5776,5.3397,5.5566,85514.0
2020-07-01,5.5356,5.5566,5.4026,5.4306,93865.0
2020-07-02,5.4866,5.5566,5.4446,5.4656,116299.0
2020-07-03,5.4866,5.5566,5.4446,5.4656,116299.0
2020-07-04,5.4866,5.5566,5.4446,5.4656,116299.0
2020-07-05,5.4866,5.5566,5.4446,5.4656,116299.0
2020-07-06,5.5286,5.5286,5.3257,5.4306,120824.0
2020-07-07,5.3467,5.3676,5.2487,5.3327,131821.0
2020-07-08,5.3467,5.3886,5.2557,5.3537,53187.0
2020-07-09,5.3467,5.3467,5.1297,5.1507,52614.0
2020-07-10,5.1437,5.2487,5.1087,5.2347,98962.0
2020-07-11,5.1437,5.2487,5.1087,5.2347,98962.0
2020-07-12,5.1437,5.2487,5.1087,5.2347,98962.0
2020-07-13,5.2557,5.3187,5.2077,5.2487,97986.0
2020-07-14,5.2207,5.3816,5.2137,5.3467,242891.0
2020-07-15,5.3956,5.4166,5.3187,5.3397,74218.0
2020-07-16,5.3047,5.3607,5.1927,5.2487,55817.0
2020-07-17,5.2067,5.2837,5.1717,5.2767,70438.0
2020-07-18,5.2067,5.2837,5.1717,5.2767,70438.0
2020-07-19,5.2067,5.2837,5.1717,5.2767,70438.0
2020-07-20,5.1577,5.3467,5.1507,5.3257,128550.0
2020-07-21,5.3117,5.4936,5.3117,5.4516,145304.0
2020-07-22,5.4376,5.5077,5.3956,5.4866,92176.0
2020-07-23,5.4866,5.5216,5.3117,5.3676,80432.0
2020-07-24,5.4096,5.4096,5.2837,5.3117,19717.0
2020-07-25,5.4096,5.4096,5.2837,5.3117,19717.0
2020-07-26,5.4096,5.4096,5.2837,5.3117,19717.0
2020-07-27,5.3117,5.3117,5.1787,5.2067,69112.0
2020-07-28,5.1927,5.3187,5.1927,5.3047,34261.0
2020-07-29,5.2767,5.3397,5.2067,5.3257,53552.0
2020-07-30,5.2487,5.3746,5.2487,5.3607,29550.0
2020-07-31,5.3047,5.3467,5.2627,5.3257,35287.0
2020-08-01,5.3047,5.3467,5.2627,5.3257,35287.0
2020-08-02,5.3047,5.3467,5.2627,5.3257,35287.0
2020-08-03,5.3327,5.4586,5.291,5.4166,57372.0
2020-08-04,5.3816,5.4446,5.3607,5.4026,48893.0
2020-08-05,5.4166,5.5846,5.4166,5.5426,47289.0
2020-08-06,5.6126,5.8505,5.5632,5.6686,162249.0
2020-08-07,5.6476,5.7735,5.6266,5.7665,97318.0
2020-08-08,5.6476,5.7735,5.6266,5.7665,97318.0
2020-08-09,5.6476,5.7735,5.6266,5.7665,97318.0
2020-08-10,5.7386,5.9065,5.6896,5.8155,85677.0
2020-08-11,5.6826,5.8785,5.4796,5.8015,440911.0
2020-08-12,5.7595,5.8645,5.7246,5.7875,109029.0
2020-08-13,5.7595,5.8505,5.7456,5.8155,127325.0
2020-08-14,5.7735,5.8505,5.7036,5.7805,228870.0
2020-08-15,5.7735,5.8505,5.7036,5.7805,228870.0
2020-08-16,5.7735,5.8505,5.7036,5.7805,228870.0
2020-08-17,5.7316,5.8365,5.7316,5.8015,201265.0
2020-08-18,5.9905,6.0535,5.8925,5.9065,266699.0
2020-08-19,5.9205,5.9415,5.8505,5.8575,39328.0
2020-08-20,5.7805,5.8855,5.7386,5.7875,51560.0
2020-08-21,5.7735,5.8155,5.7176,5.7386,30051.0
2020-08-22,5.7735,5.8155,5.7176,5.7386,30051.0
2020-08-23,5.7735,5.8155,5.7176,5.7386,30051.0
2020-08-24,5.8015,5.8715,5.7036,5.7595,107961.0
2020-08-25,5.7526,5.8435,5.7036,5.8365,129777.0
2020-08-26,5.8505,5.8785,5.7595,5.8295,78208.0
2020-08-27,5.8365,5.8575,5.7665,5.8365,66500.0
2020-08-28,5.8435,5.9345,5.7945,5.8435,266119.0
2020-08-29,5.8435,5.9345,5.7945,5.8435,266119.0
2020-08-30,5.8435,5.9345,5.7945,5.8435,266119.0
2020-08-31,5.8295,5.8785,5.6966,5.6966,222858.0
2020-09-01,5.7036,5.7665,5.6686,5.7456,88634.0
2020-09-02,5.7386,5.8225,5.7106,5.7945,46649.0
2020-09-03,5.7945,5.8295,5.6884,5.6966,76748.0
2020-09-04,5.7176,5.8295,5.6658,5.7805,127228.0
2020-09-05,5.7176,5.8295,5.6658,5.7805,127228.0
2020-09-06,5.7176,5.8295,5.6658,5.7805,127228.0
2020-09-07,5.7176,5.8295,5.6658,5.7805,127228.0
2020-09-08,5.7805,5.8697,5.7235,5.7948,158318.0
2020-09-09,5.8091,5.8805,5.7627,5.8234,63592.0
2020-09-10,5.8733,5.8983,5.7306,5.7377,81615.0
2020-09-11,5.7591,5.7948,5.6878,5.7092,22867.0
2020-09-12,5.7591,5.7948,5.6878,5.7092,22867.0
2020-09-13,5.7591,5.7948,5.6878,5.7092,22867.0
2020-09-14,5.6949,5.7377,5.6164,5.6592,117085.0
2020-09-15,5.6378,5.7235,5.6164,5.6307,135180.0
2020-09-16,5.6949,5.8448,5.6664,5.7163,192658.0
2020-09-17,5.6378,5.8162,5.6307,5.702,107142.0
2020-09-18,5.6949,5.7734,5.6878,5.7734,92852.0
2020-09-19,5.6949,5.7734,5.6878,5.7734,92852.0
2020-09-20,5.6949,5.7734,5.6878,5.7734,92852.0
2020-09-21,5.702,5.8091,5.6235,5.6806,151096.0
2020-09-22,5.7163,5.8448,5.6806,5.8234,71168.0
2020-09-23,5.8376,5.8519,5.6021,5.6021,74130.0
2020-09-24,5.6378,5.6378,5.5094,5.5236,68358.0
2020-09-25,5.4808,5.7163,5.4808,5.6521,60260.0
2020-09-26,5.4808,5.7163,5.4808,5.6521,60260.0
2020-09-27,5.4808,5.7163,5.4808,5.6521,60260.0
2020-09-28,5.7092,5.8091,5.7092,5.752,58683.0
2020-09-29,5.7235,5.7805,5.6592,5.6592,28967.0
2020-09-30,5.6806,5.7449,5.6664,5.7092,91901.0
2020-10-01,5.7663,5.9447,5.7092,5.8448,112811.0
2020-10-02,5.8448,5.8947,5.8234,5.8947,108294.0
2020-10-03,5.8448,5.8947,5.8234,5.8947,108294.0
2020-10-04,5.8448,5.8947,5.8234,5.8947,108294.0
2020-10-05,5.9233,5.9233,5.7591,5.7663,101766.0
2020-10-06,5.7663,5.8376,5.7449,5.7449,89324.0
2020-10-07,5.7805,5.8234,5.7591,5.7805,145864.0
2020-10-08,5.7591,5.8234,5.7591,5.7948,88008.0
2020-10-09,5.8091,5.8448,5.7594,5.8162,186638.0
2020-10-10,5.8091,5.8448,5.7594,5.8162,186638.0
2020-10-11,5.8091,5.8448,5.7594,5.8162,186638.0
2020-10-12,5.7877,5.8305,5.6735,5.752,127532.0
2020-10-13,5.7449,5.8234,5.7449,5.7805,80262.0
2020-10-14,5.7948,5.8305,5.7805,5.802,50437.0
2020-10-15,5.7805,5.8162,5.7805,5.7805,45272.0
2020-10-16,5.7805,5.8234,5.7734,5.8162,68865.0
2020-10-17,5.7805,5.8234,5.7734,5.8162,68865.0
2020-10-18,5.7805,5.8234,5.7734,5.8162,68865.0
2020-10-19,5.802,5.8876,5.7734,5.8376,116032.0
2020-10-20,5.8662,5.959,5.8519,5.9375,148803.0
2020-10-21,5.909,5.9304,5.7877,5.8091,105269.0
2020-10-22,5.8091,5.8091,5.7716,5.7877,74570.0
2020-10-23,5.8234,5.859,5.7163,5.752,173927.0
2020-10-24,5.8234,5.859,5.7163,5.752,173927.0
2020-10-25,5.8234,5.859,5.7163,5.752,173927.0
2020-10-26,5.7163,5.7386,5.6664,5.6664,103880.0
2020-10-27,5.6664,5.7235,5.6235,5.6235,59809.0
2020-10-28,5.6021,5.6378,5.3952,5.4094,255773.0
2020-10-29,5.3952,5.5807,5.3952,5.5379,101575.0
2020-10-30,5.5094,5.5308,5.2881,5.3595,181092.0
2020-10-31,5.5094,5.5308,5.2881,5.3595,181092.0
2020-11-01,5.5094,5.5308,5.2881,5.3595,181092.0
2020-11-02,5.388,5.4725,5.3524,5.4023,82669.0
2020-11-03,5.438,5.4951,5.4309,5.4309,85406.0
2020-11-04,5.438,5.6449,5.4237,5.5522,109211.0
2020-11-05,5.5664,5.7449,5.5664,5.6735,148375.0
2020-11-06,5.6664,5.7306,5.6021,5.6235,68101.0
2020-11-07,5.6664,5.7306,5.6021,5.6235,68101.0
2020-11-08,5.6664,5.7306,5.6021,5.6235,68101.0
2020-11-09,5.7449,5.909,5.6806,5.7449,284399.0
2020-11-10,5.8876,6.1374,5.7663,5.959,294205.0
2020-11-11,5.9804,6.1516,5.9804,6.0232,405365.0
2020-11-12,5.9804,6.0503,5.859,5.909,218989.0
2020-11-13,5.959,6.0232,5.9582,5.9804,143509.0
2020-11-14,5.959,6.0232,5.9582,5.9804,143509.0
2020-11-15,5.959,6.0232,5.9582,5.9804,143509.0
2020-11-16,6.0589,6.1374,5.9946,6.0089,215148.0
2020-11-17,6.0303,6.0517,5.9375,5.9447,197744.0
2020-11-18,5.9804,6.1374,5.9697,6.0232,183929.0
2020-11-19,6.0089,6.2087,6.0089,6.1873,339785.0
2020-11-20,6.1302,6.2301,6.1302,6.2159,233982.0
2020-11-21,6.1302,6.2301,6.1302,6.2159,233982.0
2020-11-22,6.1302,6.2301,6.1302,6.2159,233982.0
2020-11-23,6.2444,6.3515,6.2166,6.2944,270272.0
2020-11-24,6.3526,6.4399,6.2725,6.3526,165500.0
2020-11-25,6.2944,6.4326,6.2435,6.3453,141013.0
2020-11-26,6.2944,6.4326,6.2435,6.3453,141013.0
2020-11-27,6.3453,6.3671,6.2835,6.3671,55724.0
2020-11-28,6.3453,6.3671,6.2835,6.3671,55724.0
2020-11-29,6.3453,6.3671,6.2835,6.3671,55724.0
2020-11-30,6.3307,6.4108,6.3089,6.3089,144683.0
2020-12-01,6.3526,6.3962,6.2871,6.3526,125105.0
2020-12-02,6.389,6.4908,6.3671,6.4108,199574.0
2020-12-03,6.3962,6.5854,6.389,6.4253,227316.0
2020-12-04,6.4545,6.6073,6.4472,6.5491,103756.0
2020-12-05,6.4545,6.6073,6.4472,6.5491,103756.0
2020-12-06,6.4545,6.6073,6.4472,6.5491,103756.0
2020-12-07,6.5563,6.6436,6.4253,6.5418,287861.0
2020-12-08,6.5854,6.7164,6.5127,6.6946,250752.0
2020-12-09,6.7382,6.7819,6.6873,6.7528,276676.0
2020-12-10,6.7237,6.8256,6.6946,6.7091,219458.0
2020-12-11,6.6946,6.7746,6.5709,6.6873,112730.0
2020-12-12,6.6946,6.7746,6.5709,6.6873,112730.0
2020-12-13,6.6946,6.7746,6.5709,6.6873,112730.0
2020-12-14,6.6946,6.7237,6.6073,6.68,127202.0
2020-12-15,6.7237,6.7965,6.6364,6.6873,110167.0
2020-12-16,6.7019,6.7164,6.6073,6.6218,73991.0
2020-12-17,6.6073,6.6946,6.5854,6.6436,151266.0
2020-12-18,6.6364,6.6982,6.6218,6.68,149085.0
2020-12-19,6.6364,6.6982,6.6218,6.68,149085.0
2020-12-20,6.6364,6.6982,6.6218,6.68,149085.0
2020-12-21,6.6728,6.6946,6.5854,6.6509,207187.0
2020-12-22,6.6436,6.7674,6.5636,6.6073,292311.0
2020-12-23,6.6218,6.811,6.6218,6.7237,500951.0
2020-12-24,6.6946,6.7819,6.6073,6.6218,84581.0
2020-12-25,6.6946,6.7819,6.6073,6.6218,84581.0
2020-12-26,6.6946,6.7819,6.6073,6.6218,84581.0
2020-12-27,6.6946,6.7819,6.6073,6.6218,84581.0
2020-12-28,6.6364,6.7051,6.5199,6.5563,210430.0
2020-12-29,6.5563,6.7237,6.5563,6.6509,199609.0
2020-12-30,6.6436,6.7601,6.5927,6.68,284033.0
2020-12-31,6.6582,6.7237,6.6582,6.6946,244916.0
2021-01-01,6.6582,6.7237,6.6582,6.6946,244916.0
2021-01-02,6.6582,6.7237,6.6582,6.6946,244916.0
2021-01-03,6.6582,6.7237,6.6582,6.6946,244916.0
2021-01-04,6.6946,6.7019,6.64,6.6582,148527.0
2021-01-05,6.68,6.6946,6.6582,6.6946,245671.0
2021-01-06,6.6873,6.7601,6.5345,6.6,233513.0
2021-01-07,6.6145,6.6728,6.5454,6.5491,222191.0
2021-01-08,6.5782,6.6145,6.5054,6.5709,308294.0
2021-01-09,6.5782,6.6145,6.5054,6.5709,308294.0
2021-01-10,6.5782,6.6145,6.5054,6.5709,308294.0
2021-01-11,6.5563,6.6145,6.5127,6.5927,234861.0
2021-01-12,6.5854,6.6728,6.5491,6.5854,177164.0
2021-01-13,6.5927,6.68,6.5636,6.6218,193971.0
2021-01-14,6.6218,6.6655,6.5854,6.6582,152513.0
2021-01-15,6.6582,6.68,6.6,6.6509,209996.0
2021-01-16,6.6582,6.68,6.6,6.6509,209996.0
2021-01-17,6.6582,6.68,6.6,6.6509,209996.0
2021-01-18,6.6582,6.68,6.6,6.6509,209996.0
2021-01-19,6.6509,6.7237,6.5782,6.6291,177147.0
2021-01-20,6.6218,6.6582,6.5854,6.5854,169594.0
2021-01-21,6.7091,6.8983,6.68,6.6946,664158.0
2021-01-22,6.6582,6.731,6.6145,6.6509,205272.0
2021-01-23,6.6582,6.731,6.6145,6.6509,205272.0
2021-01-24,6.6582,6.731,6.6145,6.6509,205272.0
2021-01-25,6.6364,6.6586,6.5199,6.5563,273572.0
2021-01-26,6.5563,6.7382,6.5563,6.6873,259161.0
2021-01-27,6.6509,6.6618,6.5158,6.5345,324010.0
2021-01-28,6.5418,6.5854,6.4617,6.5418,254164.0
2021-01-29,6.5199,6.5443,6.4181,6.4253,301740.0
2021-01-30,6.5199,6.5443,6.4181,6.4253,301740.0
2021-01-31,6.5199,6.5443,6.4181,6.4253,301740.0
2021-02-01,6.4253,6.5782,6.4181,6.5563,188262.0
2021-02-02,6.5491,6.7528,6.5491,6.6364,597727.0
2021-02-03,6.6218,6.7019,6.5927,6.6655,193571.0
2021-02-04,6.6655,6.7674,6.6655,6.68,292043.0
2021-02-05,6.6582,6.731,6.6291,6.6873,221435.0
2021-02-06,6.6582,6.731,6.6291,6.6873,221435.0
2021-02-07,6.6582,6.731,6.6291,6.6873,221435.0
2021-02-08,6.68,6.7965,6.6582,6.68,293307.0
2021-02-09,6.9129,6.9784,6.7601,6.8692,860700.0
2021-02-10,6.9056,6.9565,6.8692,6.9056,322467.0
2021-02-11,6.9493,6.9493,6.7965,6.8328,288021.0
2021-02-12,6.8183,6.8911,6.7164,6.8401,247636.0
2021-02-13,6.8183,6.8911,6.7164,6.8401,247636.0
2021-02-14,6.8183,6.8911,6.7164,6.8401,247636.0
2021-02-15,6.8183,6.8911,6.7164,6.8401,247636.0
2021-02-16,6.8765,6.9056,6.7819,6.7965,268018.0
2021-02-17,6.8037,6.8241,6.7601,6.8037,604178.0
2021-02-18,6.8037,6.8619,6.7601,6.7674,255946.0
2021-02-19,6.7746,6.811,6.7674,6.7746,165714.0
2021-02-20,6.7746,6.811,6.7674,6.7746,165714.0
2021-02-21,6.7746,6.811,6.7674,6.7746,165714.0
2021-02-22,6.8183,6.9143,6.8176,6.8328,249388.0
2021-02-23,6.8256,6.9347,6.8037,6.8838,250118.0
2021-02-24,6.8983,7.0657,6.8775,6.9784,387334.0
2021-02-25,6.9857,7.0875,6.9784,7.0293,385288.0
2021-02-26,7.0366,7.1239,7.0366,7.0584,301978.0
2021-02-27,7.0366,7.1239,7.0366,7.0584,301978.0
2021-02-28,7.0366,7.1239,7.0366,7.0584,301978.0
2021-03-01,7.2331,7.3349,7.1603,7.2403,345656.0
2021-03-02,7.284,7.3568,7.2112,7.2986,432469.0
2021-03-03,7.2986,7.3932,7.2622,7.3786,363265.0
2021-03-04,7.4368,7.455,7.284,7.415,641173.0
2021-03-05,7.4295,7.4295,7.204,7.2331,332789.0
2021-03-06,7.4295,7.4295,7.204,7.2331,332789.0
2021-03-07,7.4295,7.4295,7.204,7.2331,332789.0
2021-03-08,7.2767,7.4041,7.2403,7.3859,297750.0
2021-03-09,7.3933,7.4674,7.245,7.3117,330529.0
2021-03-10,7.3488,7.3636,7.2079,7.2598,232552.0
2021-03-11,7.2376,7.3265,7.2079,7.3191,202103.0
