,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity
2019-05-14,184.469,186.514,183.428,184.558,209621.0
2019-05-15,182.944,184.935,181.213,183.904,167112.0
2019-05-16,185.151,188.855,184.684,187.241,281371.0
2019-05-17,185.805,187.608,185.168,185.689,218682.0
2019-05-18,185.805,187.608,185.168,185.689,218682.0
2019-05-19,185.805,187.608,185.168,185.689,218682.0
2019-05-20,185.222,189.089,185.222,188.335,243817.0
2019-05-21,189.555,190.515,188.38,190.156,184057.0
2019-05-22,189.663,189.663,187.801,188.398,203938.0
2019-05-23,186.894,187.713,182.075,184.038,329014.0
2019-05-24,184.957,186.119,183.741,185.137,187472.0
2019-05-25,184.957,186.119,183.741,185.137,187472.0
2019-05-26,184.957,186.119,183.741,185.137,187472.0
2019-05-27,184.957,186.119,183.741,185.137,187472.0
2019-05-28,185.101,186.038,184.218,184.282,357470.0
2019-05-29,184.209,185.624,183.192,184.101,257853.0
2019-05-30,184.525,186.452,183.975,184.525,217817.0
2019-05-31,184.056,184.899,182.624,184.759,245224.0
2019-06-01,184.056,184.899,182.624,184.759,245224.0
2019-06-02,184.056,184.899,182.624,184.759,245224.0
2019-06-03,184.759,188.997,184.741,187.2,291978.0
2019-06-04,188.299,191.397,187.344,190.145,357162.0
2019-06-05,191.298,194.55,190.497,194.388,259284.0
2019-06-06,195.054,195.243,191.668,193.361,198364.0
2019-06-07,194.424,197.027,191.884,196.541,232232.0
2019-06-08,194.424,197.027,191.884,196.541,232232.0
2019-06-09,194.424,197.027,191.884,196.541,232232.0
2019-06-10,197.928,198.243,192.82,193.415,275105.0
2019-06-11,193.793,194.379,187.074,188.497,355051.0
2019-06-12,188.254,190.028,187.461,190.001,208441.0
2019-06-13,190.956,193.847,189.533,193.586,184447.0
2019-06-14,193.784,194.248,190.902,193.469,238775.0
2019-06-15,193.784,194.248,190.902,193.469,238775.0
2019-06-16,193.784,194.248,190.902,193.469,238775.0
2019-06-17,193.829,196.315,193.28,194.559,178425.0
2019-06-18,195.433,198.301,194.667,197.405,209846.0
2019-06-19,197.405,200.594,197.405,199.765,244461.0
2019-06-20,201.233,203.224,200.342,202.449,327267.0
2019-06-21,202.422,202.616,199.445,200.774,609353.0
2019-06-22,202.422,202.616,199.445,200.774,609353.0
2019-06-23,202.422,202.616,199.445,200.774,609353.0
2019-06-24,200.711,202.882,200.459,200.549,219532.0
2019-06-25,200.549,203.571,199.261,201.296,331585.0
2019-06-26,201.368,201.999,199.567,201.134,376136.0
2019-06-27,201.648,203.107,200.612,201.711,240280.0
2019-06-28,202.116,203.954,201.314,202.431,795836.0
2019-06-29,202.116,203.954,201.314,202.431,795836.0
2019-06-30,202.116,203.954,201.314,202.431,795836.0
2019-07-01,203.936,205.215,201.54,202.161,239221.0
2019-07-02,202.783,209.007,202.413,206.53,507457.0
2019-07-03,206.746,209.925,206.494,209.628,179058.0
2019-07-04,206.746,209.925,206.494,209.628,179058.0
2019-07-05,208.872,209.209,205.107,207.647,167832.0
2019-07-06,208.872,209.209,205.107,207.647,167832.0
2019-07-07,208.872,209.209,205.107,207.647,167832.0
2019-07-08,205.98,207.286,205.156,206.115,194752.0
2019-07-09,205.089,208.471,204.053,208.286,224680.0
2019-07-10,208.971,209.853,207.052,207.521,219621.0
2019-07-11,207.421,209.835,206.485,209.61,260608.0
2019-07-12,210.214,212.06,209.331,211.376,183234.0
2019-07-13,210.214,212.06,209.331,211.376,183234.0
2019-07-14,210.214,212.06,209.331,211.376,183234.0
2019-07-15,211.43,211.583,208.998,211.538,178601.0
2019-07-16,211.934,214.234,211.601,212.709,222496.0
2019-07-17,211.808,211.808,207.548,208.385,247968.0
2019-07-18,207.358,208.056,204.188,207.052,241569.0
2019-07-19,208.268,209.754,206.827,207.187,155562.0
2019-07-20,208.268,209.754,206.827,207.187,155562.0
2019-07-21,208.268,209.754,206.827,207.187,155562.0
2019-07-22,206.863,206.917,204.026,206.124,276479.0
2019-07-23,208.322,208.322,204.332,207.439,181144.0
2019-07-24,206.665,211.331,206.665,210.475,175217.0
2019-07-25,210.475,212.466,209.475,210.205,309391.0
2019-07-26,210.304,211.214,209.223,210.745,191191.0
2019-07-27,210.304,211.214,209.223,210.745,191191.0
2019-07-28,210.304,211.214,209.223,210.745,191191.0
2019-07-29,210.862,211.295,209.106,210.637,150805.0
2019-07-30,208.872,210.025,207.376,209.998,189045.0
2019-07-31,209.989,211.835,205.638,205.638,379921.0
2019-08-01,189.164,194.928,184.957,193.667,1137685.0
2019-08-02,193.487,193.604,183.489,185.723,852137.0
2019-08-03,193.487,193.604,183.489,185.723,852137.0
2019-08-04,193.487,193.604,183.489,185.723,852137.0
2019-08-05,183.327,185.389,177.832,181.732,512819.0
2019-08-06,182.858,186.209,181.309,185.642,441787.0
2019-08-07,183.111,187.38,182.422,186.786,546103.0
2019-08-08,187.623,192.046,187.623,191.064,351782.0
2019-08-09,190.812,190.812,187.713,188.578,214863.0
2019-08-10,190.812,190.812,187.713,188.578,214863.0
2019-08-11,190.812,190.812,187.713,188.578,214863.0
2019-08-12,187.353,187.353,182.624,183.669,228854.0
2019-08-13,184.191,186.596,183.075,183.516,179622.0
2019-08-14,181.318,182.237,179.508,180.877,330656.0
2019-08-15,181.318,183.912,180.147,183.705,305637.0
2019-08-16,184.921,187.569,183.714,186.29,290711.0
2019-08-17,184.921,187.569,183.714,186.29,290711.0
2019-08-18,184.921,187.569,183.714,186.29,290711.0
2019-08-19,188.587,189.127,187.272,187.569,183408.0
2019-08-20,187.065,187.605,185.813,186.912,161811.0
2019-08-21,188.767,189.893,187.776,188.641,182563.0
2019-08-22,189.182,189.641,186.614,187.839,157054.0
2019-08-23,187.272,188.749,183.192,183.993,337615.0
2019-08-24,187.272,188.749,183.192,183.993,337615.0
2019-08-25,187.272,188.749,183.192,183.993,337615.0
2019-08-26,185.759,186.137,182.412,184.309,285078.0
2019-08-27,185.02,185.322,181.525,182.498,151104.0
2019-08-28,181.579,184.457,180.552,183.579,224234.0
2019-08-29,185.768,188.038,185.017,187.487,181696.0
2019-08-30,188.997,190.155,188.446,189.052,159525.0
2019-08-31,188.997,190.155,188.446,189.052,159525.0
2019-09-01,188.997,190.155,188.446,189.052,159525.0
2019-09-02,188.997,190.155,188.446,189.052,159525.0
2019-09-03,186.953,188.581,185.65,188.183,202083.0
2019-09-04,189.703,190.264,187.876,188.654,232814.0
2019-09-05,189.992,194.217,189.893,193.791,382578.0
2019-09-06,194.777,196.469,193.746,194.479,231502.0
2019-09-07,194.777,196.469,193.746,194.479,231502.0
2019-09-08,194.777,196.469,193.746,194.479,231502.0
2019-09-09,194.949,196.066,192.275,194.886,367083.0
2019-09-10,195.031,197.129,192.706,197.084,225999.0
2019-09-11,197.41,199.798,196.704,199.345,201290.0
2019-09-12,199.4,199.798,195.275,196.098,336269.0
2019-09-13,196.867,198.884,196.867,197.473,247416.0
2019-09-14,196.867,198.884,196.867,197.473,247416.0
2019-09-15,196.867,198.884,196.867,197.473,247416.0
2019-09-16,199.002,202.113,198.857,201.408,277099.0
2019-09-17,200.585,201.634,198.414,199.979,261713.0
2019-09-18,199.897,200.015,196.776,198.73,281430.0
2019-09-19,199.318,199.707,197.455,197.609,182381.0
2019-09-20,198.079,198.296,193.803,194.316,446914.0
2019-09-21,198.079,198.296,193.803,194.316,446914.0
2019-09-22,198.079,198.296,193.803,194.316,446914.0
2019-09-23,193.032,193.936,191.928,192.073,190294.0
2019-09-24,193.493,194.823,192.046,192.344,235132.0
2019-09-25,193.122,193.963,192.1,193.348,182716.0
2019-09-26,193.846,194.886,192.588,193.81,227497.0
2019-09-27,194.777,195.474,191.584,193.023,229521.0
2019-09-28,194.777,195.474,191.584,193.023,229521.0
2019-09-29,194.777,195.474,191.584,193.023,229521.0
2019-09-30,193.629,194.7,191.367,191.575,182561.0
2019-10-01,192.344,193.439,185.849,186.763,321478.0
2019-10-02,185.605,185.605,180.549,181.055,265852.0
2019-10-03,181.689,183.724,179.545,183.561,213754.0
2019-10-04,184.031,185.732,182.041,185.415,237615.0
2019-10-05,184.031,185.732,182.041,185.415,237615.0
2019-10-06,184.031,185.732,182.041,185.415,237615.0
2019-10-07,185.017,187.699,184.168,185.931,220518.0
2019-10-08,184.755,186.22,182.81,183.859,255413.0
2019-10-09,186.13,187.514,185.081,186.003,148022.0
2019-10-10,185.587,190.526,185.587,188.681,231262.0
2019-10-11,190.481,193.312,190.481,191.53,197246.0
2019-10-12,190.481,193.312,190.481,191.53,197246.0
2019-10-13,190.481,193.312,190.481,191.53,197246.0
2019-10-14,190.969,193.131,190.377,192.19,180946.0
2019-10-15,192.824,194.501,191.964,192.842,256906.0
2019-10-16,192.995,194.931,191.847,194.488,185602.0
2019-10-17,194.117,194.75,191.412,191.539,235019.0
2019-10-18,191.783,191.792,188.645,190.047,207696.0
2019-10-19,191.783,191.792,188.645,190.047,207696.0
2019-10-20,191.783,191.792,188.645,190.047,207696.0
2019-10-21,191.069,192.263,190.359,190.87,181162.0
2019-10-22,191.385,195.13,190.01,194.624,318121.0
2019-10-23,194.162,196.577,192.009,196.433,306810.0
2019-10-24,197.102,200.2,195.108,199.653,276073.0
2019-10-25,199.78,202.222,199.49,200.078,173522.0
2019-10-26,199.78,202.222,199.49,200.078,173522.0
2019-10-27,199.78,202.222,199.49,200.078,173522.0
2019-10-28,200.811,202.936,200.811,201.435,179592.0
2019-10-29,200.82,202.376,200.462,201.326,292511.0
2019-10-30,200.82,203.723,199.54,203.606,166920.0
2019-10-31,202.728,204.121,200.919,204.121,183671.0
2019-11-01,205.542,210.001,205.505,208.255,350634.0
2019-11-02,205.542,210.001,205.505,208.255,350634.0
2019-11-03,205.542,210.001,205.505,208.255,350634.0
2019-11-04,209.784,209.784,205.94,206.926,243114.0
2019-11-05,207.179,208.418,205.279,208.174,284278.0
2019-11-06,208.065,211.656,208.038,211.656,289306.0
2019-11-07,217.093,229.883,212.57,226.545,643113.0
2019-11-08,227.115,228.78,224.998,227.233,453670.0
2019-11-09,227.115,228.78,224.998,227.233,453670.0
2019-11-10,227.115,228.78,224.998,227.233,453670.0
2019-11-11,226.138,229.747,224.483,227.857,300682.0
2019-11-12,227.197,231.783,226.627,229.72,307121.0
2019-11-13,228.029,231.149,226.382,230.209,318208.0
2019-11-14,229.34,232.154,229.34,231.023,355059.0
2019-11-15,231.647,234.433,231.647,232.343,280705.0
2019-11-16,231.647,234.433,231.647,232.343,280705.0
2019-11-17,231.647,234.433,231.647,232.343,280705.0
2019-11-18,231.593,233.51,231.204,233.429,357071.0
2019-11-19,234.107,235.916,232.687,232.751,255709.0
2019-11-20,231.927,232.913,228.526,229.992,324255.0
2019-11-21,229.286,229.367,226.021,226.799,339243.0
2019-11-22,228.047,228.617,224.492,225.966,327805.0
2019-11-23,228.047,228.617,224.492,225.966,327805.0
2019-11-24,228.047,228.617,224.492,225.966,327805.0
2019-11-25,226.726,227.224,224.709,225.378,284293.0
2019-11-26,226.726,227.468,225.234,225.596,355902.0
2019-11-27,226.34,229.538,225.287,229.392,235398.0
2019-11-28,226.34,229.538,225.287,229.392,235398.0
2019-11-29,228.829,230.591,227.167,228.593,143021.0
2019-11-30,228.829,230.591,227.167,228.593,143021.0
2019-12-01,228.829,230.591,227.167,228.593,143021.0
2019-12-02,227.685,228.775,225.664,227.112,434700.0
2019-12-03,225.35,227.923,224.905,226.368,381376.0
2019-12-04,227.349,232.126,227.076,231.163,445774.0
2019-12-05,231.79,232.135,228.202,228.92,390768.0
2019-12-06,231.454,231.799,229.846,230.173,251841.0
2019-12-07,231.454,231.799,229.846,230.173,251841.0
2019-12-08,231.454,231.799,229.846,230.173,251841.0
2019-12-09,229.519,230.873,227.794,230.01,251655.0
2019-12-10,230.264,230.882,228.266,228.693,209157.0
2019-12-11,228.956,230.519,227.603,230.473,244465.0
2019-12-12,230.428,232.78,230.36,231.209,225895.0
2019-12-13,229.946,232.335,227.694,228.202,176814.0
2019-12-14,229.946,232.335,227.694,228.202,176814.0
2019-12-15,229.946,232.335,227.694,228.202,176814.0
2019-12-16,229.474,230.482,228.239,229.174,216744.0
2019-12-17,229.347,229.51,227.594,229.256,231911.0
2019-12-18,229.392,229.442,227.303,228.629,290843.0
2019-12-19,228.575,231.0,227.785,230.927,334959.0
2019-12-20,236.177,236.177,229.147,230.809,576727.0
2019-12-21,236.177,236.177,229.147,230.809,576727.0
2019-12-22,236.177,236.177,229.147,230.809,576727.0
2019-12-23,231.318,233.825,229.883,232.063,202805.0
2019-12-24,232.662,233.107,230.201,230.7,92504.0
2019-12-25,232.662,233.107,230.201,230.7,92504.0
2019-12-26,230.846,231.427,228.239,229.438,144901.0
2019-12-27,230.164,230.573,227.866,228.048,149114.0
2019-12-28,230.164,230.573,227.866,228.048,149114.0
2019-12-29,230.164,230.573,227.866,228.048,149114.0
2019-12-30,228.42,230.001,227.594,228.72,122962.0
2019-12-31,228.802,230.282,227.43,227.875,143227.0
2020-01-01,228.802,230.282,227.43,227.875,143227.0
2020-01-02,228.893,232.39,227.993,232.39,189081.0
2020-01-03,229.983,239.62,228.811,239.338,408074.0
2020-01-04,229.983,239.62,228.811,239.338,408074.0
2020-01-05,229.983,239.62,228.811,239.338,408074.0
2020-01-06,241.582,242.762,238.757,240.701,454644.0
2020-01-07,240.701,243.73,238.929,242.935,432949.0
2020-01-08,244.052,247.767,241.89,244.298,1054985.0
2020-01-09,245.169,251.618,244.367,250.701,962237.0
2020-01-10,250.919,254.062,245.751,246.096,384335.0
2020-01-11,250.919,254.062,245.751,246.096,384335.0
2020-01-12,250.919,254.062,245.751,246.096,384335.0
2020-01-13,246.423,250.12,245.415,249.62,185296.0
2020-01-14,248.394,248.394,245.633,246.505,308385.0
2020-01-15,246.777,250.697,246.777,248.966,237010.0
2020-01-16,250.12,251.655,249.584,251.21,344246.0
2020-01-17,252.763,252.863,251.4,252.336,201536.0
2020-01-18,252.763,252.863,251.4,252.336,201536.0
2020-01-19,252.763,252.863,251.4,252.336,201536.0
2020-01-20,252.763,252.863,251.4,252.336,201536.0
2020-01-21,251.6,253.957,250.668,253.026,298847.0
2020-01-22,250.837,251.677,248.612,250.456,244258.0
2020-01-23,250.083,252.704,249.221,251.691,167358.0
2020-01-24,252.291,252.327,249.261,251.119,227106.0
2020-01-25,252.291,252.327,249.261,251.119,227106.0
2020-01-26,252.291,252.327,249.261,251.119,227106.0
2020-01-27,247.122,250.221,246.35,248.975,231288.0
2020-01-28,249.657,251.555,246.468,249.148,319540.0
2020-01-29,249.865,250.078,238.048,240.101,607175.0
2020-01-30,237.603,241.582,237.603,241.436,270438.0
2020-01-31,240.728,241.291,235.124,237.067,383946.0
2020-02-01,240.728,241.291,235.124,237.067,383946.0
2020-02-02,240.728,241.291,235.124,237.067,383946.0
2020-02-03,238.548,242.072,236.831,237.385,272611.0
2020-02-04,239.901,242.59,239.792,240.755,249661.0
2020-02-05,242.517,245.651,241.1,244.842,224357.0
2020-02-06,246.16,246.16,243.416,243.589,201097.0
2020-02-07,243.089,244.888,242.853,244.461,187411.0
2020-02-08,243.089,244.888,242.853,244.461,187411.0
2020-02-09,243.089,244.888,242.853,244.461,187411.0
2020-02-10,244.08,246.278,242.208,244.261,242044.0
2020-02-11,245.387,245.787,241.736,243.489,270128.0
2020-02-12,244.552,245.315,241.609,245.315,363371.0
2020-02-13,236.223,240.383,226.24,227.403,635785.0
2020-02-14,228.657,229.206,222.852,223.634,523236.0
2020-02-15,228.657,229.206,222.852,223.634,523236.0
2020-02-16,228.657,229.206,222.852,223.634,523236.0
2020-02-17,228.657,229.206,222.852,223.634,523236.0
2020-02-18,222.535,222.634,215.495,215.722,668210.0
2020-02-19,217.339,218.284,213.515,214.087,538280.0
2020-02-20,213.47,217.557,213.388,215.65,362240.0
2020-02-21,214.641,215.704,212.67,214.378,246290.0
2020-02-22,214.641,215.704,212.67,214.378,246290.0
2020-02-23,214.641,215.704,212.67,214.378,246290.0
2020-02-24,210.309,214.691,208.419,213.306,365313.0
2020-02-25,213.733,214.233,201.312,202.397,380232.0
2020-02-26,203.833,206.448,198.891,199.609,424558.0
2020-02-27,194.362,200.147,192.81,196.433,669387.0
2020-02-28,190.255,193.809,183.347,187.563,1072449.0
2020-02-29,190.255,193.809,183.347,187.563,1072449.0
2020-03-01,190.255,193.809,183.347,187.563,1072449.0
2020-03-02,189.434,192.29,185.281,191.314,924148.0
2020-03-03,192.089,197.747,188.329,189.452,879201.0
2020-03-04,193.969,201.379,191.231,200.348,414992.0
2020-03-05,195.302,197.693,190.109,191.359,378788.0
2020-03-06,186.304,190.447,182.261,186.431,552288.0
2020-03-07,186.304,190.447,182.261,186.431,552288.0
2020-03-08,186.304,190.447,182.261,186.431,552288.0
2020-03-09,179.021,184.862,174.355,177.817,653740.0
2020-03-10,183.712,191.149,179.112,191.095,504028.0
2020-03-11,185.902,187.253,176.457,180.618,562846.0
2020-03-12,166.5,175.991,161.107,161.217,622763.0
2020-03-13,169.457,169.457,156.234,163.005,435475.0
2020-03-14,169.457,169.457,156.234,163.005,435475.0
2020-03-15,169.457,169.457,156.234,163.005,435475.0
2020-03-16,149.536,155.842,142.792,142.974,458677.0
2020-03-17,145.256,148.431,135.993,147.017,763950.0
2020-03-18,137.061,158.196,135.5,157.293,577510.0
2020-03-19,155.714,178.136,152.132,154.655,583761.0
2020-03-20,154.847,157.22,143.321,145.392,413932.0
2020-03-21,154.847,157.22,143.321,145.392,413932.0
2020-03-22,154.847,157.22,143.321,145.392,413932.0
2020-03-23,144.197,144.681,134.277,140.51,462665.0
2020-03-24,148.669,154.183,145.383,150.923,407691.0
2020-03-25,153.031,167.304,149.855,161.928,512298.0
2020-03-26,162.595,179.505,161.691,178.218,429789.0
2020-03-27,171.985,175.914,168.472,169.366,473910.0
2020-03-28,171.985,175.914,168.472,169.366,473910.0
2020-03-29,171.985,175.914,168.472,169.366,473910.0
2020-03-30,170.196,175.444,168.581,172.971,385217.0
2020-03-31,171.2,173.591,163.553,166.281,519784.0
2020-04-01,159.337,162.284,155.166,158.004,402077.0
2020-04-02,156.918,167.942,156.435,164.849,361842.0
2020-04-03,162.531,168.362,161.627,165.214,345894.0
2020-04-04,162.531,168.362,161.627,165.214,345894.0
2020-04-05,162.531,168.362,161.627,165.214,345894.0
2020-04-06,170.908,178.766,170.908,176.776,336333.0
2020-04-07,182.589,184.579,174.814,174.978,246418.0
2020-04-08,177.99,180.782,175.973,178.355,272400.0
2020-04-09,180.691,181.503,174.184,175.572,436866.0
2020-04-10,180.691,181.503,174.184,175.572,436866.0
2020-04-11,180.691,181.503,174.184,175.572,436866.0
2020-04-12,180.691,181.503,174.184,175.572,436866.0
2020-04-13,175.918,178.912,174.189,177.579,217150.0
2020-04-14,181.065,182.95,177.871,179.797,233165.0
2020-04-15,177.296,177.99,171.356,174.285,267584.0
2020-04-16,174.257,177.169,172.916,175.654,265929.0
2020-04-17,179.788,181.451,176.137,178.829,533623.0
2020-04-18,179.788,181.451,176.137,178.829,533623.0
2020-04-19,179.788,181.451,176.137,178.829,533623.0
2020-04-20,178.428,179.011,175.234,175.453,324165.0
2020-04-21,172.396,174.084,166.026,168.326,333477.0
2020-04-22,172.168,173.317,169.019,169.95,311544.0
2020-04-23,170.817,173.363,169.266,170.443,269450.0
2020-04-24,171.675,171.73,167.317,168.371,248879.0
2020-04-25,171.675,171.73,167.317,168.371,248879.0
2020-04-26,171.675,171.73,167.317,168.371,248879.0
2020-04-27,169.43,173.062,167.961,171.803,434141.0
2020-04-28,171.164,176.311,170.927,174.549,352654.0
2020-04-29,177.944,180.495,173.993,178.455,307850.0
2020-04-30,176.101,176.101,171.793,174.677,342846.0
2020-05-01,172.095,172.779,166.19,169.439,432166.0
2020-05-02,172.095,172.779,166.19,169.439,432166.0
2020-05-03,172.095,172.779,166.19,169.439,432166.0
2020-05-04,167.769,167.769,160.833,164.246,424427.0
2020-05-05,166.053,169.384,165.88,166.701,320006.0
2020-05-06,167.997,168.499,162.339,163.033,338983.0
2020-05-07,165.405,171.812,156.69,158.159,768768.0
2020-05-08,159.702,168.298,159.702,164.794,554116.0
2020-05-09,159.702,168.298,159.702,164.794,554116.0
