,ZTS US Equity,ZTS US Equity,ZTS US Equity,ZTS US Equity,ZTS US Equity
2020-01-30,133.7838,134.4545,132.2481,134.1629,1735411.0
2020-01-31,133.7449,134.1046,130.2458,130.4499,2582313.0
2020-02-01,133.7449,134.1046,130.2458,130.4499,2582313.0
2020-02-02,133.7449,134.1046,130.2458,130.4499,2582313.0
2020-02-03,130.9553,133.6186,130.4402,131.7232,2376967.0
2020-02-04,133.2395,135.5334,132.8604,135.0765,1839782.0
2020-02-05,136.0388,136.3693,133.6915,134.0268,1507609.0
2020-02-06,134.0948,135.2029,133.0354,135.0765,2206858.0
2020-02-07,135.1543,135.2612,134.1629,135.0085,1780830.0
2020-02-08,135.1543,135.2612,134.1629,135.0085,1780830.0
2020-02-09,135.1543,135.2612,134.1629,135.0085,1780830.0
2020-02-10,134.7363,138.7409,134.4768,138.5562,2455986.0
2020-02-11,139.3824,140.3058,138.6534,139.9948,2274224.0
2020-02-12,139.431,140.4127,138.4396,138.9742,1830699.0
2020-02-13,137.9536,142.1623,137.2927,140.8793,3384465.0
2020-02-14,140.8793,141.3264,139.1054,140.1309,1810544.0
2020-02-15,140.8793,141.3264,139.1054,140.1309,1810544.0
2020-02-16,140.8793,141.3264,139.1054,140.1309,1810544.0
2020-02-17,140.8793,141.3264,139.1054,140.1309,1810544.0
2020-02-18,139.9948,140.092,138.6146,139.6254,2461710.0
2020-02-19,139.4796,141.5305,138.809,140.0239,1676561.0
2020-02-20,139.7226,140.0531,137.2829,139.5282,1182574.0
2020-02-21,138.9256,138.9936,137.5357,138.2452,1755261.0
2020-02-22,138.9256,138.9936,137.5357,138.2452,1755261.0
2020-02-23,138.9256,138.9936,137.5357,138.2452,1755261.0
2020-02-24,135.3779,136.8727,133.6817,134.5128,1642254.0
2020-02-25,134.9016,134.9599,130.552,131.0428,2236214.0
2020-02-26,132.1314,135.3487,131.7038,132.3355,2562184.0
2020-02-27,130.6929,133.5748,130.1486,130.1972,3075293.0
2020-02-28,126.7466,129.5071,123.4419,129.4974,4779328.0
2020-02-29,126.7466,129.5071,123.4419,129.4974,4779328.0
2020-03-01,126.7466,129.5071,123.4419,129.4974,4779328.0
2020-03-02,130.0903,135.2709,129.3321,135.0182,2881609.0
2020-03-03,135.5528,137.7884,131.8204,133.395,2768225.0
2020-03-04,136.0291,139.674,134.6391,139.5963,3283746.0
2020-03-05,136.7872,138.6437,134.192,135.65,2472647.0
2020-03-06,131.14,133.7449,128.1366,133.2103,3204214.0
2020-03-07,131.14,133.7449,128.1366,133.2103,3204214.0
2020-03-08,131.14,133.7449,128.1366,133.2103,3204214.0
2020-03-09,125.1915,129.5557,124.0154,126.0857,2827439.0
2020-03-10,129.8764,129.8764,123.6995,129.0016,3265599.0
2020-03-11,126.7369,127.9616,123.7918,126.6203,3591655.0
2020-03-12,118.8347,123.7724,116.5603,116.9102,5344299.0
2020-03-13,120.8661,122.2561,114.0039,121.9645,4073441.0
2020-03-14,120.8661,122.2561,114.0039,121.9645,4073441.0
2020-03-15,120.8661,122.2561,114.0039,121.9645,4073441.0
2020-03-16,111.1657,116.5603,103.419,104.0411,4364756.0
2020-03-17,106.2086,114.7718,104.148,107.9388,5299641.0
2020-03-18,101.5723,106.9473,93.3337,102.8553,5218324.0
2020-03-19,102.0097,109.7272,97.9176,99.4631,4492883.0
2020-03-20,98.7049,103.4871,95.7695,98.112,6662727.0
2020-03-21,98.7049,103.4871,95.7695,98.112,6662727.0
2020-03-22,98.7049,103.4871,95.7695,98.112,6662727.0
2020-03-23,96.2847,98.2092,87.6146,90.064,5405896.0
2020-03-24,95.9445,102.2731,94.7684,100.853,4732571.0
2020-03-25,99.7741,109.8244,97.7038,105.1783,4424860.0
2020-03-26,106.4419,115.3647,106.4419,114.6066,4159038.0
2020-03-27,111.3115,114.4802,107.929,108.6386,2870096.0
2020-03-28,111.3115,114.4802,107.929,108.6386,2870096.0
2020-03-29,111.3115,114.4802,107.929,108.6386,2870096.0
2020-03-30,110.4465,114.4511,109.2801,113.411,2031878.0
2020-03-31,112.439,116.881,110.7089,114.3927,3956055.0
2020-04-01,110.7381,112.1231,107.6446,108.7844,2521032.0
2020-04-02,108.1332,113.0417,107.7638,112.7792,2404140.0
2020-04-03,111.8559,113.9456,110.5341,111.399,1702072.0
2020-04-04,111.8559,113.9456,110.5341,111.399,1702072.0
2020-04-05,111.8559,113.9456,110.5341,111.399,1702072.0
2020-04-06,116.2298,123.889,114.5968,123.2378,3420065.0
2020-04-07,125.4053,127.2132,122.4894,122.5768,3074981.0
2020-04-08,122.8198,124.4042,118.828,123.6849,2478486.0
2020-04-09,123.0045,127.4756,122.8976,125.1429,1962328.0
2020-04-10,123.0045,127.4756,122.8976,125.1429,1962328.0
2020-04-11,123.0045,127.4756,122.8976,125.1429,1962328.0
2020-04-12,123.0045,127.4756,122.8976,125.1429,1962328.0
2020-04-13,124.4236,125.2109,118.6889,119.5054,3188929.0
2020-04-14,122.8781,125.3275,120.7009,124.2389,2508162.0
2020-04-15,121.9062,122.5866,119.6317,120.3413,2262960.0
2020-04-16,121.9086,124.6638,120.7014,124.0797,2063984.0
2020-04-17,126.3091,128.0615,125.2129,127.2632,1977580.0
2020-04-18,126.3091,128.0615,125.2129,127.2632,1977580.0
2020-04-19,126.3091,128.0615,125.2129,127.2632,1977580.0
2020-04-20,125.3161,125.725,123.8655,124.0213,2418781.0
2020-04-21,122.4636,122.7167,120.3071,121.4024,2607803.0
2020-04-22,123.184,124.1089,122.2299,122.483,1943726.0
2020-04-23,122.9114,123.2716,120.1465,120.3704,3259349.0
2020-04-24,121.305,123.4955,119.4163,122.5804,1945362.0
2020-04-25,121.305,123.4955,119.4163,122.5804,1945362.0
2020-04-26,121.305,123.4955,119.4163,122.5804,1945362.0
2020-04-27,123.6026,125.1993,122.7654,124.0505,2202168.0
2020-04-28,125.063,125.2966,119.6013,119.7474,3098374.0
2020-04-29,120.9838,123.6221,119.7571,122.2299,2905278.0
2020-04-30,122.1812,126.9711,121.5387,125.8905,3075601.0
2020-05-01,124.0699,124.508,121.6119,124.1576,1738348.0
2020-05-02,124.0699,124.508,121.6119,124.1576,1738348.0
2020-05-03,124.0699,124.508,121.6119,124.1576,1738348.0
2020-05-04,124.3815,124.6687,122.2397,124.0699,1833797.0
2020-05-05,125.2479,128.7448,124.8975,127.8279,2445783.0
2020-05-06,122.6388,125.5011,122.3078,122.3662,3394225.0
2020-05-07,123.9239,124.1284,120.1056,120.9546,3097966.0
2020-05-08,121.8989,123.0185,121.5192,122.152,1617588.0
2020-05-09,121.8989,123.0185,121.5192,122.152,1617588.0
2020-05-10,121.8989,123.0185,121.5192,122.152,1617588.0
2020-05-11,122.0255,123.4955,121.2564,123.0477,1888254.0
2020-05-12,123.7,124.3231,120.5943,120.7306,1889757.0
2020-05-13,120.2633,121.7626,118.5255,119.7766,1879048.0
2020-05-14,118.8419,123.184,118.287,122.6972,2246902.0
2020-05-15,123.0964,124.5748,121.9963,124.1186,2921717.0
2020-05-16,123.0964,124.5748,121.9963,124.1186,2921717.0
2020-05-17,123.0964,124.5748,121.9963,124.1186,2921717.0
2020-05-18,126.7375,129.0351,126.3675,127.9447,2762783.0
2020-05-19,127.5845,132.1699,126.6401,130.7875,3335355.0
2020-05-20,132.5983,133.4453,129.5219,129.8139,2303439.0
2020-05-21,130.252,130.3494,126.4649,126.8835,1413283.0
2020-05-22,126.1728,127.3216,125.4719,126.6693,1602579.0
2020-05-23,126.1728,127.3216,125.4719,126.6693,1602579.0
2020-05-24,126.1728,127.3216,125.4719,126.6693,1602579.0
2020-05-25,126.1728,127.3216,125.4719,126.6693,1602579.0
2020-05-26,127.9447,129.3953,126.6985,127.0003,2322280.0
2020-05-27,130.1644,132.1212,127.3898,132.0531,2287030.0
2020-05-28,134.1657,136.5315,133.825,134.4578,2367785.0
2020-05-29,134.7791,135.9571,131.3813,135.7039,2814562.0
2020-05-30,134.7791,135.9571,131.3813,135.7039,2814562.0
2020-05-31,134.7791,135.9571,131.3813,135.7039,2814562.0
2020-06-01,134.9835,135.4216,133.4453,134.6817,1412966.0
2020-06-02,135.003,137.7679,134.5649,137.7387,1649338.0
2020-06-03,137.9042,139.4229,136.9501,138.7609,1459724.0
2020-06-04,137.2908,138.498,135.7137,136.8041,1524790.0
2020-06-05,137.7873,138.6635,135.665,137.2811,1947878.0
2020-06-06,137.7873,138.6635,135.665,137.2811,1947878.0
2020-06-07,137.7873,138.6635,135.665,137.2811,1947878.0
2020-06-08,135.3242,137.6121,134.0294,137.5634,1747335.0
2020-06-09,137.1545,138.0405,134.8083,135.1295,1622450.0
2020-06-10,135.5676,137.4855,135.0809,136.2102,1731140.0
2020-06-11,134.0294,134.4383,127.2486,127.5942,2523980.0
2020-06-12,130.8167,132.608,127.8376,130.5246,1638539.0
2020-06-13,130.8167,132.608,127.8376,130.5246,1638539.0
2020-06-14,130.8167,132.608,127.8376,130.5246,1638539.0
2020-06-15,128.3244,130.1254,126.9565,129.775,2458171.0
2020-06-16,133.27,134.0586,131.1477,132.6372,1919931.0
2020-06-17,133.1532,133.9126,132.5107,133.1727,1455023.0
2020-06-18,132.2089,134.0489,131.9557,133.7666,1031525.0
2020-06-19,136.3465,136.3952,132.8222,133.7666,2310278.0
2020-06-20,136.3465,136.3952,132.8222,133.7666,2310278.0
2020-06-21,136.3465,136.3952,132.8222,133.7666,2310278.0
2020-06-22,133.1922,133.8151,132.4133,133.3187,1107823.0
2020-06-23,134.448,135.3729,133.9029,134.4578,994943.0
2020-06-24,133.4063,134.1268,130.0232,130.7485,1701748.0
2020-06-25,130.622,131.8973,128.4023,131.7318,1141680.0
2020-06-26,131.43,132.1553,129.0935,129.1519,2612827.0
2020-06-27,131.43,132.1553,129.0935,129.1519,2612827.0
2020-06-28,131.43,132.1553,129.0935,129.1519,2612827.0
2020-06-29,129.736,130.0184,127.8084,128.4899,2126574.0
2020-06-30,128.6067,134.1755,128.5666,133.4161,1878794.0
2020-07-01,133.6595,135.295,133.0852,133.5621,1226811.0
2020-07-02,134.9154,135.3729,133.7374,134.0197,1307363.0
2020-07-03,134.9154,135.3729,133.7374,134.0197,1307363.0
2020-07-04,134.9154,135.3729,133.7374,134.0197,1307363.0
2020-07-05,134.9154,135.3729,133.7374,134.0197,1307363.0
2020-07-06,134.9056,135.9084,134.3069,134.9348,1297787.0
2020-07-07,134.672,136.843,134.4578,134.7791,1140329.0
2020-07-08,135.0517,135.996,133.7958,135.1393,932569.0
2020-07-09,135.1393,135.8694,131.761,134.0392,962454.0
2020-07-10,133.786,134.1852,132.0336,133.4745,1821107.0
2020-07-11,133.786,134.1852,132.0336,133.4745,1821107.0
2020-07-12,133.786,134.1852,132.0336,133.4745,1821107.0
2020-07-13,134.7985,137.9581,134.4627,134.6525,1569240.0
2020-07-14,134.5746,136.8917,134.5065,136.6872,1163347.0
2020-07-15,137.8165,139.9827,137.3103,139.1406,2223156.0
2020-07-16,139.0235,139.3745,137.9219,139.355,941971.0
2020-07-17,140.1934,141.6363,138.6628,141.0319,1518070.0
2020-07-18,140.1934,141.6363,138.6628,141.0319,1518070.0
2020-07-19,140.1934,141.6363,138.6628,141.0319,1518070.0
2020-07-20,141.4511,143.0061,140.7004,142.309,1173703.0
2020-07-21,142.8257,143.3083,140.5542,141.3731,1659556.0
2020-07-22,141.7631,142.4358,140.4372,141.4706,1020882.0
2020-07-23,141.8606,143.3961,140.0277,140.4567,1051513.0
2020-07-24,140.1057,140.7199,138.3216,140.6029,1214849.0
2020-07-25,140.1057,140.7199,138.3216,140.6029,1214849.0
2020-07-26,140.1057,140.7199,138.3216,140.6029,1214849.0
2020-07-27,140.5834,143.3863,140.1301,143.2352,1256777.0
2020-07-28,143.4107,144.0931,142.0653,142.3188,2257542.0
2020-07-29,142.7087,144.4636,142.3773,143.8884,1059580.0
2020-07-30,142.3675,145.7407,142.348,145.3703,1129348.0
2020-07-31,145.0778,148.1,144.7463,147.8758,2250132.0
2020-08-01,145.0778,148.1,144.7463,147.8758,2250132.0
2020-08-02,145.0778,148.1,144.7463,147.8758,2250132.0
2020-08-03,148.373,151.522,147.9246,150.6348,1902354.0
2020-08-04,150.1376,151.9997,149.3445,151.7365,1682267.0
2020-08-05,152.0875,154.398,151.873,153.7643,1599373.0
2020-08-06,154.4858,159.8673,153.7643,157.2838,2069138.0
2020-08-07,157.8882,157.9321,153.4621,154.8952,1515700.0
2020-08-08,157.8882,157.9321,153.4621,154.8952,1515700.0
2020-08-09,157.8882,157.9321,153.4621,154.8952,1515700.0
2020-08-10,155.3339,155.914,153.2476,154.125,1393296.0
2020-08-11,154.8855,155.4753,152.7309,152.9941,1136692.0
2020-08-12,153.3646,156.8256,152.9551,155.3632,1386534.0
2020-08-13,154.6905,155.8555,154.0861,154.8855,1192841.0
2020-08-14,154.6905,154.788,151.8291,153.1111,1780230.0
2020-08-15,154.6905,154.788,151.8291,153.1111,1780230.0
2020-08-16,154.6905,154.788,151.8291,153.1111,1780230.0
2020-08-17,153.9593,154.6059,152.8771,153.4719,2367956.0
2020-08-18,153.5596,156.5039,153.1501,156.1529,1476757.0
2020-08-19,156.0261,156.9426,154.398,154.6028,1076708.0
2020-08-20,154.0666,154.905,153.1501,154.5638,1828452.0
2020-08-21,154.7782,155.2267,153.2476,154.398,1259454.0
2020-08-22,154.7782,155.2267,153.2476,154.398,1259454.0
2020-08-23,154.7782,155.2267,153.2476,154.398,1259454.0
2020-08-24,155.7434,155.7434,152.2922,152.8284,1721488.0
2020-08-25,154.0276,154.8855,152.7114,154.6028,1076129.0
2020-08-26,153.6278,156.3869,153.2769,155.7532,1917756.0
2020-08-27,155.9871,156.9913,154.593,155.6069,1121653.0
2020-08-28,155.4119,156.1626,154.6125,155.9871,925974.0
2020-08-29,155.4119,156.1626,154.6125,155.9871,925974.0
2020-08-30,155.4119,156.1626,154.6125,155.9871,925974.0
2020-08-31,155.8409,157.5226,155.2657,156.0846,1392806.0
2020-09-01,156.6793,158.0735,155.9628,157.9857,1273151.0
2020-09-02,158.0345,161.6612,157.7615,161.1835,1790301.0
2020-09-03,161.1347,161.3687,153.4231,154.8172,1794222.0
2020-09-04,155.1682,156.1919,151.3953,153.2964,1552544.0
2020-09-05,155.1682,156.1919,151.3953,153.2964,1552544.0
2020-09-06,155.1682,156.1919,151.3953,153.2964,1552544.0
2020-09-07,155.1682,156.1919,151.3953,153.2964,1552544.0
2020-09-08,152.3117,152.3507,148.678,149.6599,1829058.0
2020-09-09,151.3075,156.6696,151.3075,154.9245,1408593.0
2020-09-10,154.9147,157.469,153.2671,154.1348,1356816.0
2020-09-11,155.0122,155.6167,153.8911,154.6125,854092.0
2020-09-12,155.0122,155.6167,153.8911,154.6125,854092.0
2020-09-13,155.0122,155.6167,153.8911,154.6125,854092.0
2020-09-14,155.9286,157.9077,155.6069,156.8256,2092036.0
2020-09-15,158.1807,159.7942,157.6396,158.21,1039901.0
2020-09-16,159.4189,159.8771,157.0888,157.2058,1721183.0
2020-09-17,156.3966,156.4844,154.0373,156.4454,1258067.0
2020-09-18,156.0944,157.9077,155.1269,156.8353,2518721.0
2020-09-19,156.0944,157.9077,155.1269,156.8353,2518721.0
2020-09-20,156.0944,157.9077,155.1269,156.8353,2518721.0
2020-09-21,155.3437,157.0303,153.4719,156.9328,1170004.0
2020-09-22,156.3284,158.4049,156.0846,157.4593,1544967.0
2020-09-23,157.9077,158.5902,155.1292,155.3339,1301298.0
2020-09-24,154.8562,155.5046,152.6042,154.0178,1415603.0
2020-09-25,153.4816,157.4057,153.3026,156.8061,1195871.0
2020-09-26,153.4816,157.4057,153.3026,156.8061,1195871.0
2020-09-27,153.4816,157.4057,153.3026,156.8061,1195871.0
2020-09-28,158.093,160.2206,157.1181,157.274,2293871.0
2020-09-29,157.5665,159.3116,157.3929,158.4049,1046340.0
2020-09-30,158.8339,162.6068,158.6682,161.2225,1906706.0
2020-10-01,162.0609,162.5971,159.0095,159.9161,1061924.0
2020-10-02,158.3075,160.579,157.937,159.4481,1042653.0
2020-10-03,158.3075,160.579,157.937,159.4481,1042653.0
2020-10-04,158.3075,160.579,157.937,159.4481,1042653.0
2020-10-05,159.9941,160.93,158.4537,159.3506,1274675.0
2020-10-06,160.3743,160.3743,156.8061,157.469,1194883.0
2020-10-07,157.6445,159.3896,154.9635,155.8994,3591701.0
2020-10-08,157.8687,159.453,155.8799,159.0776,3642531.0
2020-10-09,159.8673,161.4857,158.7754,161.281,1620930.0
2020-10-10,159.8673,161.4857,158.7754,161.281,1620930.0
2020-10-11,159.8673,161.4857,158.7754,161.281,1620930.0
2020-10-12,162.8896,164.7224,162.0219,164.3227,1582288.0
2020-10-13,163.6305,163.845,161.164,161.1737,1515846.0
2020-10-14,162.3631,162.5191,158.7072,159.5553,1319542.0
2020-10-15,157.9857,159.1361,157.1668,158.9022,1363831.0
2020-10-16,159.8673,161.6855,159.2239,159.4481,1631047.0
2020-10-17,159.8673,161.6855,159.2239,159.4481,1631047.0
2020-10-18,159.8673,161.6855,159.2239,159.4481,1631047.0
2020-10-19,160.4913,160.8617,155.4217,155.9774,1271127.0
2020-10-20,156.4557,157.6807,155.3234,155.8798,2145698.0
2020-10-21,155.6943,158.2615,155.6943,157.3342,1456729.0
2020-10-22,157.5197,159.3304,157.4025,158.5056,878752.0
2020-10-23,159.2084,160.6824,158.3787,159.5891,1111249.0
2020-10-24,159.2084,160.6824,158.3787,159.5891,1111249.0
2020-10-25,159.2084,160.6824,158.3787,159.5891,1111249.0
2020-10-26,158.1347,159.062,155.1672,156.6509,1151627.0
2020-10-27,157.0023,160.5555,156.7925,158.5934,1851025.0
2020-10-28,155.9481,157.6598,154.3863,154.9036,2160674.0
2020-10-29,155.6553,158.5739,154.357,157.344,1539036.0
2020-10-30,156.2019,157.4709,152.5218,154.767,2078341.0
2020-10-31,156.2019,157.4709,152.5218,154.767,2078341.0
2020-11-01,156.2019,157.4709,152.5218,154.767,2078341.0
2020-11-02,157.4611,159.3646,156.8754,159.0034,1516572.0
2020-11-03,160.7117,161.5414,159.0132,159.2475,1519516.0
2020-11-04,162.0294,171.9666,162.0099,170.19,3403777.0
2020-11-05,170.5072,172.4253,166.3147,166.8223,2539305.0
2020-11-06,167.896,168.5013,162.293,165.2117,2008167.0
2020-11-07,167.896,168.5013,162.293,165.2117,2008167.0
2020-11-08,167.896,168.5013,162.293,165.2117,2008167.0
2020-11-09,171.2735,172.2008,161.0728,161.2583,2325476.0
2020-11-10,162.0783,162.9762,156.6558,158.6813,2926603.0
2020-11-11,161.0533,161.9611,159.4329,161.0143,1570153.0
2020-11-12,160.2431,162.6249,159.8819,161.2485,1182848.0
2020-11-13,161.5121,163.0398,160.5848,161.8245,1666613.0
2020-11-14,161.5121,163.0398,160.5848,161.8245,1666613.0
2020-11-15,161.5121,163.0398,160.5848,161.8245,1666613.0
2020-11-16,162.4004,164.4991,160.6726,161.3462,1548060.0
2020-11-17,160.5652,162.1466,160.1553,161.4828,1214325.0
2020-11-18,161.1607,162.3613,159.5208,159.5989,1457816.0
2020-11-19,160.1553,162.9568,159.6379,162.3418,1329244.0
2020-11-20,162.8787,164.1477,162.1759,162.2344,1217711.0
2020-11-21,162.8787,164.1477,162.1759,162.2344,1217711.0
2020-11-22,162.8787,164.1477,162.1759,162.2344,1217711.0
2020-11-23,162.1856,163.2203,158.2713,160.4188,1493220.0
2020-11-24,160.4676,162.2832,156.6412,157.2171,2425927.0
2020-11-25,158.1249,158.7984,155.4454,156.3678,1981777.0
2020-11-26,158.1249,158.7984,155.4454,156.3678,1981777.0
2020-11-27,157.7637,158.3152,156.4655,157.6173,853298.0
2020-11-28,157.7637,158.3152,156.4655,157.6173,853298.0
2020-11-29,157.7637,158.3152,156.4655,157.6173,853298.0
2020-11-30,158.6032,158.6032,155.8407,156.5533,4533958.0
2020-12-01,157.7832,158.6032,156.1677,157.5099,1957143.0
2020-12-02,157.1585,157.9736,154.6986,155.1574,1529397.0
2020-12-03,154.7963,155.2892,152.7073,153.3223,2308205.0
2020-12-04,153.4101,154.4448,152.9221,154.1813,1497282.0
2020-12-05,153.4101,154.4448,152.9221,154.1813,1497282.0
2020-12-06,153.4101,154.4448,152.9221,154.1813,1497282.0
2020-12-07,153.8006,155.4015,153.8006,154.6694,1407087.0
2020-12-08,153.1271,155.6943,152.7366,155.1965,1593866.0
2020-12-09,155.8798,156.3434,153.8982,154.9134,1510417.0
2020-12-10,155.6455,156.6412,154.1227,154.3472,1847099.0
2020-12-11,153.7908,155.8114,153.4101,155.7236,1260587.0
2020-12-12,153.7908,155.8114,153.4101,155.7236,1260587.0
2020-12-13,153.7908,155.8114,153.4101,155.7236,1260587.0
2020-12-14,156.28,158.9839,155.2892,155.6943,1613027.0
2020-12-15,156.4655,158.242,154.5815,158.0956,1813106.0
2020-12-16,158.4861,159.4329,156.7095,156.7876,1440917.0
2020-12-17,158.0273,160.0576,157.3928,158.8179,1486986.0
2020-12-18,158.7691,160.614,157.2073,159.7258,3566379.0
2020-12-19,158.7691,160.614,157.2073,159.7258,3566379.0
2020-12-20,158.7691,160.614,157.2073,159.7258,3566379.0
2020-12-21,156.9047,157.7051,154.5229,157.0023,1463787.0
2020-12-22,156.6997,158.5007,155.831,157.9687,1209169.0
2020-12-23,158.1347,159.0913,156.0262,156.036,1164579.0
2020-12-24,156.1043,158.0077,156.036,156.8852,417444.0
2020-12-25,156.1043,158.0077,156.036,156.8852,417444.0
2020-12-26,156.1043,158.0077,156.036,156.8852,417444.0
2020-12-27,156.1043,158.0077,156.036,156.8852,417444.0
2020-12-28,157.588,158.9448,156.485,158.5153,1522435.0
2020-12-29,159.3158,161.1607,158.5251,159.2279,1188357.0
2020-12-30,159.6086,160.8678,159.267,160.3505,1008988.0
2020-12-31,160.575,161.722,159.3353,161.5511,1292649.0
2021-01-01,160.575,161.722,159.3353,161.5511,1292649.0
2021-01-02,160.575,161.722,159.3353,161.5511,1292649.0
2021-01-03,160.575,161.722,159.3353,161.5511,1292649.0
2021-01-04,162.0392,162.2735,156.8852,159.6867,1805925.0
2021-01-05,159.2572,161.3462,158.6227,160.7995,1358576.0
2021-01-06,159.0327,163.9036,158.7887,163.1618,2139772.0
2021-01-07,163.4546,164.7724,162.7225,163.0154,1710732.0
2021-01-08,163.4058,165.8266,162.7127,164.0989,1476016.0
2021-01-09,163.4058,165.8266,162.7127,164.0989,1476016.0
2021-01-10,163.4058,165.8266,162.7127,164.0989,1476016.0
2021-01-11,163.8939,166.4221,163.5815,165.3483,1117009.0
2021-01-12,164.9872,165.6997,160.3377,162.1563,1304190.0
2021-01-13,161.1607,162.088,157.7832,158.0858,2603060.0
2021-01-14,158.6813,159.4817,157.0609,157.1195,2213940.0
2021-01-15,157.5783,158.2323,155.8114,157.7051,2516495.0
2021-01-16,157.5783,158.2323,155.8114,157.7051,2516495.0
2021-01-17,157.5783,158.2323,155.8114,157.7051,2516495.0
2021-01-18,157.5783,158.2323,155.8114,157.7051,2516495.0
2021-01-19,158.7414,160.2861,157.6464,158.9369,1464165.0
2021-01-20,158.9271,160.5305,158.2135,159.7093,1617993.0
2021-01-21,158.8392,162.0459,158.8392,160.7847,2440414.0
2021-01-22,160.9704,161.5033,159.0054,159.6799,1079071.0
2021-01-23,160.9704,161.5033,159.0054,159.6799,1079071.0
2021-01-24,160.9704,161.5033,159.0054,159.6799,1079071.0
2021-01-25,158.9271,159.5431,156.8448,157.7344,1444111.0
2021-01-26,157.7442,158.0277,155.0165,156.1408,1982312.0
2021-01-27,154.4593,154.7379,149.1409,149.7274,2235674.0
2021-01-28,150.8517,157.0598,150.803,153.0319,1859337.0
2021-01-29,152.1716,153.071,148.8964,150.8029,1977226.0
2021-01-30,152.1716,153.071,148.8964,150.8029,1977226.0
2021-01-31,152.1716,153.071,148.8964,150.8029,1977226.0
2021-02-01,152.7093,153.5256,150.8029,152.1031,1885656.0
2021-02-02,154.0291,156.1213,153.7554,153.8727,1583001.0
2021-02-03,153.8043,154.7526,151.6241,151.761,1726227.0
2021-02-04,151.8783,153.7456,151.1255,153.6185,1888056.0
2021-02-05,154.3615,156.6834,154.078,155.7205,1377771.0
2021-02-06,154.3615,156.6834,154.078,155.7205,1377771.0
2021-02-07,154.3615,156.6834,154.078,155.7205,1377771.0
2021-02-08,156.8154,158.2721,154.9579,156.4439,1625162.0
2021-02-09,156.2386,158.1792,155.4565,156.2582,1852838.0
2021-02-10,157.6464,159.0958,156.5906,157.0305,1745976.0
2021-02-11,157.5487,161.0487,156.8154,160.7651,1860345.0
2021-02-12,159.9537,164.0012,159.9537,162.9844,2188658.0
2021-02-13,159.9537,164.0012,159.9537,162.9844,2188658.0
2021-02-14,159.9537,164.0012,159.9537,162.9844,2188658.0
2021-02-15,159.9537,164.0012,159.9537,162.9844,2188658.0
2021-02-16,164.226,166.0933,159.9732,162.6031,2609735.0
2021-02-17,162.1143,166.0542,161.3126,165.1255,1561762.0
2021-02-18,163.9621,166.2693,162.0165,164.1967,1954227.0
2021-02-19,164.1283,164.27,155.8475,156.4244,3793058.0
2021-02-20,164.1283,164.27,155.8475,156.4244,3793058.0
2021-02-21,164.1283,164.27,155.8475,156.4244,3793058.0
2021-02-22,155.4467,157.4118,154.7232,156.5808,2908206.0
2021-02-23,156.7861,158.1841,155.6813,155.9551,1810990.0
2021-02-24,157.5878,157.9984,155.2903,155.4956,2495911.0
2021-02-25,154.9579,155.8867,152.2693,152.983,2060008.0
2021-02-26,153.6283,153.9411,151.4872,151.7707,2561734.0
2021-02-27,153.6283,153.9411,151.4872,151.7707,2561734.0
2021-02-28,153.6283,153.9411,151.4872,151.7707,2561734.0
2021-03-01,152.6213,156.3755,152.4453,154.166,1680112.0
