,K US Equity,K US Equity,K US Equity,K US Equity,K US Equity
2020-06-04,53.4063,53.6683,52.6283,52.9886,1519762.0
2020-06-05,53.1197,54.2333,52.7594,53.7338,2468141.0
2020-06-06,53.1197,54.2333,52.7594,53.7338,2468141.0
2020-06-07,53.1197,54.2333,52.7594,53.7338,2468141.0
2020-06-08,53.439,55.2896,53.3571,55.003,2734739.0
2020-06-09,54.8638,54.958,54.0532,54.2087,1736091.0
2020-06-10,54.3807,54.8229,54.1678,54.4708,2026737.0
2020-06-11,53.6601,54.0286,52.2107,52.2189,2240216.0
2020-06-12,52.6365,52.8576,51.6457,52.0715,2667931.0
2020-06-13,52.6365,52.8576,51.6457,52.0715,2667931.0
2020-06-14,52.6365,52.8576,51.6457,52.0715,2667931.0
2020-06-15,51.8095,53.6683,51.3591,53.6273,3147766.0
2020-06-16,54.0532,54.9089,53.7666,54.6018,2662622.0
2020-06-17,54.741,55.3961,54.6919,54.9293,3835397.0
2020-06-18,54.8311,55.5353,54.7001,55.478,3066877.0
2020-06-19,55.8465,56.1331,55.1095,55.5025,6430474.0
2020-06-20,55.8465,56.1331,55.1095,55.5025,6430474.0
2020-06-21,55.8465,56.1331,55.1095,55.5025,6430474.0
2020-06-22,55.347,55.4288,54.3316,54.6182,3319276.0
2020-06-23,54.8884,55.2405,54.2497,54.307,2876337.0
2020-06-24,54.2415,54.2415,52.6365,53.1278,2330854.0
2020-06-25,53.046,53.8566,52.7184,53.6437,1795648.0
2020-06-26,53.7993,54.1269,52.1452,52.2926,2582675.0
2020-06-27,53.7993,54.1269,52.1452,52.2926,2582675.0
2020-06-28,53.7993,54.1269,52.1452,52.2926,2582675.0
2020-06-29,52.4727,53.6273,52.4154,53.2916,1950661.0
2020-06-30,53.6601,54.2333,53.2261,54.0941,2095089.0
2020-07-01,54.1023,54.5035,53.6355,53.9876,1777006.0
2020-07-02,54.307,54.6591,54.1432,54.2988,1018156.0
2020-07-03,54.307,54.6591,54.1432,54.2988,1018156.0
2020-07-04,54.307,54.6591,54.1432,54.2988,1018156.0
2020-07-05,54.307,54.6591,54.1432,54.2988,1018156.0
2020-07-06,54.6591,55.0194,53.8648,54.2087,1450722.0
2020-07-07,54.0532,54.8556,53.6969,54.5445,1233510.0
2020-07-08,54.61,54.6182,53.6192,54.5445,2506065.0
2020-07-09,54.2415,54.4626,53.7829,53.9631,1708376.0
2020-07-10,54.0941,55.0931,54.004,55.0194,1794016.0
2020-07-11,54.0941,55.0931,54.004,55.0194,1794016.0
2020-07-12,54.0941,55.0931,54.004,55.0194,1794016.0
2020-07-13,55.5025,55.6008,54.4298,54.8229,2113603.0
2020-07-14,54.6182,56.0839,54.4626,56.0102,1764323.0
2020-07-15,55.9693,56.54,55.6417,55.7564,1242855.0
2020-07-16,55.7973,56.5343,55.5435,55.8792,1213198.0
2020-07-17,56.0512,56.3705,55.9775,56.1986,1842550.0
2020-07-18,56.0512,56.3705,55.9775,56.1986,1842550.0
2020-07-19,56.0512,56.3705,55.9775,56.1986,1842550.0
2020-07-20,56.0512,56.0921,55.0112,55.2078,2149798.0
2020-07-21,55.2815,56.0512,55.2569,55.4125,1389585.0
2020-07-22,55.4043,55.4452,54.4953,55.2405,1903683.0
2020-07-23,55.4125,56.0757,55.4043,56.0184,1425891.0
2020-07-24,56.215,56.6735,55.5599,56.2395,1216988.0
2020-07-25,56.215,56.6735,55.5599,56.2395,1216988.0
2020-07-26,56.215,56.6735,55.5599,56.2395,1216988.0
2020-07-27,56.0921,57.3982,56.0921,57.2959,2354893.0
2020-07-28,57.2959,58.4013,57.2959,58.0656,2123573.0
2020-07-29,58.3849,58.5897,57.8035,58.0902,2639756.0
2020-07-30,58.9581,59.6787,57.1812,57.8035,4132870.0
2020-07-31,57.4023,57.7954,55.74,56.4934,5541573.0
2020-08-01,57.4023,57.7954,55.74,56.4934,5541573.0
2020-08-02,57.4023,57.7954,55.74,56.4934,5541573.0
2020-08-03,56.5016,57.0338,56.305,56.7882,1790064.0
2020-08-04,56.7963,57.1403,56.5507,57.0829,1871108.0
2020-08-05,57.1321,57.4924,56.6326,56.7145,1096570.0
2020-08-06,56.5753,57.1894,56.4524,56.6899,1548594.0
2020-08-07,56.7063,57.0993,56.2559,56.9274,1316089.0
2020-08-08,56.7063,57.0993,56.2559,56.9274,1316089.0
2020-08-09,56.7063,57.0993,56.2559,56.9274,1316089.0
2020-08-10,56.9765,57.1566,56.1413,56.5179,1476891.0
2020-08-11,56.5589,56.6899,55.609,55.7891,1386508.0
2020-08-12,55.9284,57.181,55.8301,56.7308,1206035.0
2020-08-13,56.7308,56.7308,56.1249,56.5179,903151.0
2020-08-14,56.3951,56.78,56.1863,56.5834,1279132.0
2020-08-15,56.3951,56.78,56.1863,56.5834,1279132.0
2020-08-16,56.3951,56.78,56.1863,56.5834,1279132.0
2020-08-17,56.5834,57.1485,56.3296,57.0584,1488186.0
2020-08-18,56.9437,57.7012,56.5671,57.4105,1750572.0
2020-08-19,57.2959,57.5169,56.2805,56.3787,1653944.0
2020-08-20,56.3705,56.6981,56.1249,56.2887,1073272.0
2020-08-21,56.3296,56.5507,55.8137,56.4115,1682726.0
2020-08-22,56.3296,56.5507,55.8137,56.4115,1682726.0
2020-08-23,56.3296,56.5507,55.8137,56.4115,1682726.0
2020-08-24,56.477,56.9765,56.0266,56.9765,1176681.0
2020-08-25,57.1812,57.1812,56.3378,56.9028,1848210.0
2020-08-26,56.7472,57.7053,56.5179,57.6316,1447565.0
2020-08-27,57.7299,58.2539,57.6234,57.6971,1043495.0
2020-08-28,57.6152,57.9591,56.7882,57.7626,1847152.0
2020-08-29,57.6152,57.9591,56.7882,57.7626,1847152.0
2020-08-30,57.6152,57.9591,56.7882,57.7626,1847152.0
2020-08-31,57.8451,58.7202,57.7956,58.5386,1713410.0
2020-09-01,58.1506,58.4313,56.8793,57.1599,1716013.0
2020-09-02,57.0279,58.4478,57.0279,58.1341,1627981.0
2020-09-03,58.0433,59.1495,57.1682,57.7378,2082167.0
2020-09-04,57.5314,57.9937,56.6894,57.1434,2563303.0
2020-09-05,57.5314,57.9937,56.6894,57.1434,2563303.0
2020-09-06,57.5314,57.9937,56.6894,57.1434,2563303.0
2020-09-07,57.5314,57.9937,56.6894,57.1434,2563303.0
2020-09-08,56.9618,57.4489,54.3779,54.7659,3153539.0
2020-09-09,55.2695,55.74,54.5595,54.9227,2347924.0
2020-09-10,54.8319,55.4511,54.3366,54.4852,2185357.0
2020-09-11,54.3944,54.5017,53.7422,54.0229,2121710.0
2020-09-12,54.3944,54.5017,53.7422,54.0229,2121710.0
2020-09-13,54.3944,54.5017,53.7422,54.0229,2121710.0
2020-09-14,54.122,54.5347,53.961,54.0064,1666106.0
2020-09-15,53.9816,54.7287,53.7587,54.1798,2105815.0
2020-09-16,54.1467,54.3284,52.7103,52.7764,5199617.0
2020-09-17,52.2975,52.5039,51.735,52.4296,4076610.0
2020-09-18,51.7775,52.4709,51.406,51.9426,5991890.0
2020-09-19,51.7775,52.4709,51.406,51.9426,5991890.0
2020-09-20,51.7775,52.4709,51.406,51.9426,5991890.0
2020-09-21,51.5463,52.215,51.1088,51.7775,2793751.0
2020-09-22,51.7775,52.5535,51.5298,51.7362,2966651.0
2020-09-23,52.0912,52.3388,50.4318,50.4649,2129300.0
2020-09-24,50.3575,51.827,50.2255,51.7197,2435111.0
2020-09-25,51.6866,52.2728,51.619,52.0746,1592753.0
2020-09-26,51.6866,52.2728,51.619,52.0746,1592753.0
2020-09-27,51.6866,52.2728,51.619,52.0746,1592753.0
2020-09-28,52.4709,52.669,51.8683,52.3223,1292675.0
2020-09-29,52.6443,52.7268,52.0746,52.3718,1661479.0
2020-09-30,52.6112,53.445,52.4503,53.3212,2024528.0
2020-10-01,53.4285,53.4946,52.554,53.1478,1691165.0
2020-10-02,52.6443,53.8413,52.3388,53.4203,1574887.0
2020-10-03,52.6443,53.8413,52.3388,53.4203,1574887.0
2020-10-04,52.6443,53.8413,52.3388,53.4203,1574887.0
2020-10-05,53.5276,54.089,53.2552,54.0312,1813396.0
2020-10-06,54.0642,54.3655,53.5463,53.7918,1374879.0
2020-10-07,53.767,54.122,53.1313,53.5441,1355023.0
2020-10-08,53.7092,54.0147,53.445,53.8413,868480.0
2020-10-09,54.122,54.6668,53.7835,54.3614,1280237.0
2020-10-10,54.122,54.6668,53.7835,54.3614,1280237.0
2020-10-11,54.122,54.6668,53.7835,54.3614,1280237.0
2020-10-12,54.4852,55.0631,54.3944,54.7411,1784850.0
2020-10-13,54.5512,55.253,54.4852,55.1621,992591.0
2020-10-14,55.0961,55.6987,54.9558,55.1952,1228081.0
2020-10-15,55.0135,55.674,54.7411,55.4263,1891221.0
2020-10-16,55.5501,55.7806,55.253,55.3933,1215727.0
2020-10-17,55.5501,55.7806,55.253,55.3933,1215727.0
2020-10-18,55.5501,55.7806,55.253,55.3933,1215727.0
2020-10-19,55.4346,56.029,54.9805,55.0548,1644374.0
2020-10-20,55.5584,55.5997,54.6379,54.6916,1340813.0
2020-10-21,54.4192,54.997,54.3036,54.4604,1122638.0
2020-10-22,54.51,54.9227,54.155,54.7824,1497978.0
2020-10-23,55.1456,55.5419,54.8237,55.1126,986384.0
2020-10-24,55.1456,55.5419,54.8237,55.1126,986384.0
2020-10-25,55.1456,55.5419,54.8237,55.1126,986384.0
2020-10-26,54.9723,55.1456,53.9981,54.2375,1413065.0
2020-10-27,54.0477,54.4522,53.5689,53.6019,1528118.0
2020-10-28,53.2469,53.4615,52.4049,52.4131,2557560.0
2020-10-29,52.6525,53.412,51.7197,52.0746,3469878.0
2020-10-30,51.8435,52.4956,51.6454,51.9178,2532461.0
2020-10-31,51.8435,52.4956,51.6454,51.9178,2532461.0
2020-11-01,51.8435,52.4956,51.6454,51.9178,2532461.0
2020-11-02,52.636,53.3268,52.2398,52.7846,1931557.0
2020-11-03,53.1726,54.0642,52.9002,53.1478,1572670.0
2020-11-04,53.3129,53.8248,52.4131,52.4874,1857253.0
2020-11-05,52.8919,53.833,52.8341,53.0818,2111323.0
2020-11-06,53.0983,53.767,52.8754,53.1231,1339352.0
2020-11-07,53.0983,53.767,52.8754,53.1231,1339352.0
2020-11-08,53.0983,53.767,52.8754,53.1231,1339352.0
2020-11-09,53.3047,53.701,51.893,51.9756,2921106.0
2020-11-10,51.9508,53.0488,51.2656,52.991,3262877.0
2020-11-11,53.1809,54.2128,52.9332,54.155,1653871.0
2020-11-12,54.155,54.2128,53.2964,53.7422,1999279.0
2020-11-13,54.2128,54.3036,53.734,54.2871,1049605.0
2020-11-14,54.2128,54.3036,53.734,54.2871,1049605.0
2020-11-15,54.2128,54.3036,53.734,54.2871,1049605.0
2020-11-16,54.0394,55.0053,53.6679,54.964,1710279.0
2020-11-17,54.6586,55.3273,54.3861,54.7494,1250532.0
2020-11-18,54.8154,54.997,53.6597,53.6762,1208665.0
2020-11-19,53.6432,53.9899,53.1561,53.833,1140555.0
2020-11-20,53.833,53.9816,53.2387,53.6679,1785979.0
2020-11-21,53.833,53.9816,53.2387,53.6679,1785979.0
2020-11-22,53.833,53.9816,53.2387,53.6679,1785979.0
2020-11-23,52.0912,53.0818,52.0912,52.5617,2595092.0
2020-11-24,52.8754,53.0405,51.5298,51.5711,3462263.0
2020-11-25,51.9508,52.9662,51.8683,52.2232,2216004.0
2020-11-26,51.9508,52.9662,51.8683,52.2232,2216004.0
2020-11-27,52.5782,52.6443,52.0086,52.4049,824307.0
2020-11-28,52.5782,52.6443,52.0086,52.4049,824307.0
2020-11-29,52.5782,52.6443,52.0086,52.4049,824307.0
2020-11-30,52.3799,53.2462,52.055,53.2379,3265669.0
2020-12-01,53.0713,53.2878,52.7214,53.0463,2751536.0
2020-12-02,52.9213,53.1629,52.0716,52.2466,2110538.0
2020-12-03,52.1466,52.5381,52.0217,52.4798,1736237.0
2020-12-04,52.4132,52.4132,51.6385,51.955,2736627.0
2020-12-05,52.4132,52.4132,51.6385,51.955,2736627.0
2020-12-06,52.4132,52.4132,51.6385,51.955,2736627.0
2020-12-07,52.0217,52.2466,51.4552,51.6052,2833744.0
2020-12-08,51.7384,52.1549,51.4386,52.105,2874727.0
2020-12-09,52.2049,52.3465,51.2803,51.6468,3059375.0
2020-12-10,51.7551,51.905,51.3886,51.6301,2112288.0
2020-12-11,51.3469,52.03,51.2493,51.7384,2140321.0
2020-12-12,51.3469,52.03,51.2493,51.7384,2140321.0
2020-12-13,51.3469,52.03,51.2493,51.7384,2140321.0
2020-12-14,52.0633,52.3549,51.5427,51.5802,2024486.0
2020-12-15,51.6635,51.7468,50.8471,51.0137,2286006.0
2020-12-16,51.3303,51.6301,51.0221,51.2303,2512175.0
2020-12-17,51.5802,52.2466,51.4635,52.0467,2066277.0
2020-12-18,52.0633,52.2882,51.2761,51.7135,5137953.0
2020-12-19,52.0633,52.2882,51.2761,51.7135,5137953.0
2020-12-20,52.0633,52.2882,51.2761,51.7135,5137953.0
2020-12-21,51.3636,51.3802,50.5139,51.2553,1889396.0
2020-12-22,51.147,51.2386,50.6639,50.9721,1687560.0
2020-12-23,51.2386,51.6262,51.1174,51.3219,1638496.0
2020-12-24,51.2969,51.5635,51.1637,51.4635,524805.0
2020-12-25,51.2969,51.5635,51.1637,51.4635,524805.0
2020-12-26,51.2969,51.5635,51.1637,51.4635,524805.0
2020-12-27,51.2969,51.5635,51.1637,51.4635,524805.0
2020-12-28,51.5885,51.9467,51.4802,51.93,956160.0
2020-12-29,52.0467,52.5465,51.6551,51.8884,1014486.0
2020-12-30,51.7718,51.8217,51.1887,51.2553,1084832.0
2020-12-31,51.2553,51.8884,51.0887,51.8384,1813140.0
2021-01-01,51.2553,51.8884,51.0887,51.8384,1813140.0
2021-01-02,51.2553,51.8884,51.0887,51.8384,1813140.0
2021-01-03,51.2553,51.8884,51.0887,51.8384,1813140.0
2021-01-04,51.6635,51.8217,50.7721,51.1887,3158866.0
2021-01-05,51.222,51.6218,51.0304,51.4802,1630030.0
2021-01-06,50.9804,51.4386,50.7222,51.0804,2595963.0
2021-01-07,51.2636,51.3636,50.6222,50.7222,2518050.0
2021-01-08,50.7472,51.147,49.5726,50.1474,3504000.0
2021-01-09,50.7472,51.147,49.5726,50.1474,3504000.0
2021-01-10,50.7472,51.147,49.5726,50.1474,3504000.0
2021-01-11,50.3223,50.4973,49.381,49.456,2941472.0
2021-01-12,49.5643,49.5893,48.1898,48.7812,3021397.0
2021-01-13,48.9229,49.6459,48.523,49.2644,2350527.0
2021-01-14,49.5559,49.5559,48.9312,49.1894,5630923.0
2021-01-15,49.331,49.6476,48.7396,49.1728,5054048.0
2021-01-16,49.331,49.6476,48.7396,49.1728,5054048.0
2021-01-17,49.331,49.6476,48.7396,49.1728,5054048.0
2021-01-18,49.331,49.6476,48.7396,49.1728,5054048.0
2021-01-19,49.5143,49.8142,48.3148,48.6979,3862881.0
2021-01-20,48.6896,48.6896,47.5151,48.0149,5202317.0
2021-01-21,48.0482,48.2315,47.69,48.2231,2982450.0
2021-01-22,48.3148,48.8229,47.9066,48.5647,2241626.0
2021-01-23,48.3148,48.8229,47.9066,48.5647,2241626.0
2021-01-24,48.3148,48.8229,47.9066,48.5647,2241626.0
2021-01-25,48.5813,50.7138,48.4647,49.8475,4423216.0
2021-01-26,49.8308,50.8055,49.2477,50.7472,2949156.0
2021-01-27,50.9554,52.8297,50.8138,51.9467,6165500.0
2021-01-28,51.7301,52.3465,49.8975,50.1224,3270742.0
2021-01-29,49.9808,50.6055,48.9737,49.0978,5715218.0
2021-01-30,49.9808,50.6055,48.9737,49.0978,5715218.0
2021-01-31,49.9808,50.6055,48.9737,49.0978,5715218.0
2021-02-01,49.0978,49.5143,48.498,48.9978,2823273.0
2021-02-02,49.0645,49.356,48.1981,48.6896,2816901.0
2021-02-03,48.648,48.7282,47.9899,48.3231,2306467.0
2021-02-04,48.3064,48.5563,48.0732,48.2065,3123297.0
2021-02-05,48.2564,48.6055,48.0232,48.3397,2949006.0
2021-02-06,48.2564,48.6055,48.0232,48.3397,2949006.0
2021-02-07,48.2564,48.6055,48.0232,48.3397,2949006.0
2021-02-08,48.4564,48.498,47.6567,48.0982,3168791.0
2021-02-09,48.2731,48.2898,47.5984,48.0149,3344910.0
2021-02-10,48.4397,48.7979,48.1315,48.4064,3423150.0
2021-02-11,48.2315,48.6396,47.1569,47.4817,7772882.0
2021-02-12,47.4984,48.2564,47.4234,47.7983,3556530.0
2021-02-13,47.4984,48.2564,47.4234,47.7983,3556530.0
2021-02-14,47.4984,48.2564,47.4234,47.7983,3556530.0
2021-02-15,47.4984,48.2564,47.4234,47.7983,3556530.0
2021-02-16,47.815,47.9566,47.3235,47.3651,3420951.0
2021-02-17,47.3901,48.4397,47.2318,48.3397,4342564.0
2021-02-18,48.2231,49.5976,47.9816,49.5893,4426675.0
2021-02-19,49.5893,49.7642,48.069,48.2398,5082553.0
2021-02-20,49.5893,49.7642,48.069,48.2398,5082553.0
2021-02-21,49.5893,49.7642,48.069,48.2398,5082553.0
2021-02-22,48.4647,49.4602,48.2065,49.3644,3517160.0
2021-02-23,49.6392,50.0641,48.9312,49.381,3993182.0
2021-02-24,49.3977,49.6726,48.5147,48.8229,4761714.0
2021-02-25,48.8062,49.6892,48.6646,48.9312,3424215.0
2021-02-26,49.1478,49.2811,48.0065,48.0732,4904705.0
2021-02-27,49.1478,49.2811,48.0065,48.0732,4904705.0
2021-02-28,49.1478,49.2811,48.0065,48.0732,4904705.0
2021-03-01,48.1237,48.6453,47.7451,47.8797,5101747.0
