,AVNT US Equity,AVNT US Equity,AVNT US Equity,AVNT US Equity,AVNT US Equity
2020-02-02,29.917,30.1783,29.3853,29.899,10292841.0
2020-02-03,30.1873,30.6649,29.9801,30.6469,3205957.0
2020-02-04,30.9713,31.512,30.8271,31.0434,3456776.0
2020-02-05,31.503,31.503,30.6649,31.0884,1027727.0
2020-02-06,31.2056,31.2146,29.4214,29.4574,1170939.0
2020-02-07,29.3223,29.4574,28.7546,28.9618,1805598.0
2020-02-08,29.3223,29.4574,28.7546,28.9618,1805598.0
2020-02-09,29.3223,29.4574,28.7546,28.9618,1805598.0
2020-02-10,29.0249,29.0249,28.0427,28.3671,765314.0
2020-02-11,28.5833,28.8041,27.9976,28.7546,1116604.0
2020-02-12,29.0609,29.1601,28.6194,28.8176,753916.0
2020-02-13,28.6374,28.9708,28.4662,28.6735,385897.0
2020-02-14,28.5563,28.7275,28.0877,28.3761,810179.0
2020-02-15,28.5563,28.7275,28.0877,28.3761,810179.0
2020-02-16,28.5563,28.7275,28.0877,28.3761,810179.0
2020-02-17,28.5563,28.7275,28.0877,28.3761,810179.0
2020-02-18,28.2589,28.4302,27.9075,27.9616,609994.0
2020-02-19,28.1869,28.277,27.9075,28.0066,688919.0
2020-02-20,27.8625,28.286,27.6822,27.9526,659168.0
2020-02-21,27.7543,27.7543,26.6279,26.673,1003996.0
2020-02-22,27.7543,27.7543,26.6279,26.673,1003996.0
2020-02-23,27.7543,27.7543,26.6279,26.673,1003996.0
2020-02-24,25.6818,25.907,25.1141,25.5916,1433238.0
2020-02-25,25.7899,25.7899,23.1541,23.438,2199912.0
2020-02-26,23.6723,23.9606,23.1046,23.2217,1122378.0
2020-02-27,22.5279,22.9784,21.9241,21.9872,1596623.0
2020-02-28,20.996,22.3296,20.996,22.3116,1790458.0
2020-02-29,20.996,22.3296,20.996,22.3116,1790458.0
2020-03-01,20.996,22.3296,20.996,22.3116,1790458.0
2020-03-02,22.4918,22.654,21.5366,22.627,1090120.0
2020-03-03,22.4468,23.0325,21.4015,21.825,1142044.0
2020-03-04,22.2485,22.9153,22.0413,22.7892,939593.0
2020-03-05,22.0413,22.4828,21.3294,22.0322,1147569.0
2020-03-06,20.9599,21.8971,20.5364,21.014,767514.0
2020-03-07,20.9599,21.8971,20.5364,21.014,767514.0
2020-03-08,20.9599,21.8971,20.5364,21.014,767514.0
2020-03-09,19.1216,19.6353,18.59,19.0766,960439.0
2020-03-10,20.0228,20.1189,18.1845,19.8966,755251.0
2020-03-11,19.1307,19.5181,17.7249,18.1665,768530.0
2020-03-12,16.5354,16.7652,15.4721,15.5532,1031814.0
2020-03-13,16.8508,17.0581,15.2108,17.0311,1074707.0
2020-03-14,16.8508,17.0581,15.2108,17.0311,1074707.0
2020-03-15,16.8508,17.0581,15.2108,17.0311,1074707.0
2020-03-16,14.7106,16.1634,13.6904,13.9181,1499176.0
2020-03-17,14.3189,14.3189,11.7412,13.6176,2811545.0
2020-03-18,12.734,13.1257,7.9109,9.2271,2644369.0
2020-03-19,9.3911,12.8251,8.8628,12.1784,2330719.0
2020-03-20,11.9598,14.8017,11.9598,13.2714,3886299.0
2020-03-21,11.9598,14.8017,11.9598,13.2714,3886299.0
2020-03-22,11.9598,14.8017,11.9598,13.2714,3886299.0
2020-03-23,13.2441,14.7288,13.0984,13.8635,2438810.0
2020-03-24,14.747,15.7035,14.2734,15.3664,1799913.0
2020-03-25,15.4848,17.2884,14.9383,16.1316,1592824.0
2020-03-26,16.3593,18.0353,16.2227,17.2064,1156169.0
2020-03-27,16.1133,16.7874,15.7126,15.9949,907673.0
2020-03-28,16.1133,16.7874,15.7126,15.9949,907673.0
2020-03-29,16.1133,16.7874,15.7126,15.9949,907673.0
2020-03-30,16.0951,17.1882,15.2116,17.0333,1328055.0
2020-03-31,17.1153,17.6983,17.0333,17.2793,1501034.0
2020-04-01,16.8603,16.8603,15.6124,16.1133,1459777.0
2020-04-02,16.0678,16.6553,15.7308,16.4686,1261886.0
2020-04-03,16.4139,16.7783,15.5577,16.004,1296375.0
2020-04-04,16.4139,16.7783,15.5577,16.004,1296375.0
2020-04-05,16.4139,16.7783,15.5577,16.004,1296375.0
2020-04-06,17.2155,17.8941,16.9149,17.5707,977812.0
2020-04-07,18.5909,19.0373,17.425,17.6436,1164570.0
2020-04-08,17.7074,18.7777,17.5252,18.7002,1062733.0
2020-04-09,19.438,20.3216,19.183,19.8115,974309.0
2020-04-10,19.438,20.3216,19.183,19.8115,974309.0
2020-04-11,19.438,20.3216,19.183,19.8115,974309.0
2020-04-12,19.438,20.3216,19.183,19.8115,974309.0
2020-04-13,19.5838,19.7477,18.8004,19.1101,778054.0
2020-04-14,19.7204,20.021,18.9462,19.1648,701444.0
2020-04-15,18.1264,18.2448,17.5434,17.8987,1080869.0
2020-04-16,18.0262,18.1446,16.5232,17.589,1237842.0
2020-04-17,18.1992,19.2376,18.1992,18.8004,1491112.0
2020-04-18,18.1992,19.2376,18.1992,18.8004,1491112.0
2020-04-19,18.1992,19.2376,18.1992,18.8004,1491112.0
2020-04-20,18.0991,18.4452,17.5616,17.7802,878251.0
2020-04-21,18.5545,19.0099,17.1426,18.1628,1125512.0
2020-04-22,18.6091,18.7008,17.762,18.1082,1006115.0
2020-04-23,18.2084,19.8753,18.181,19.5747,1180634.0
2020-04-24,19.6658,19.9755,19.0646,19.3561,1092049.0
2020-04-25,19.6658,19.9755,19.0646,19.3561,1092049.0
2020-04-26,19.6658,19.9755,19.0646,19.3561,1092049.0
2020-04-27,19.3561,20.4719,19.2832,20.2487,644644.0
2020-04-28,21.023,21.4328,20.185,20.3489,711531.0
2020-04-29,21.2325,22.3437,20.941,22.2071,911249.0
2020-04-30,21.5057,21.5148,21.114,21.2142,1062170.0
2020-05-01,20.4309,20.777,19.7933,20.276,834523.0
2020-05-02,20.4309,20.777,19.7933,20.276,834523.0
2020-05-03,20.4309,20.777,19.7933,20.276,834523.0
2020-05-04,19.8115,20.3762,19.4471,20.0483,504658.0
2020-05-05,20.5675,21.0138,20.0665,20.1212,476657.0
2020-05-06,20.185,20.3079,19.5291,19.5838,531121.0
2020-05-07,20.1121,20.3398,19.4927,19.7477,556117.0
2020-05-08,20.103,20.8499,19.9663,20.8226,494853.0
2020-05-09,20.103,20.8499,19.9663,20.8226,494853.0
2020-05-10,20.103,20.8499,19.9663,20.8226,494853.0
2020-05-11,20.2851,20.6313,19.438,20.5493,911894.0
2020-05-12,20.6313,20.8954,19.6111,19.6111,498577.0
2020-05-13,19.3378,19.4471,18.2448,18.6365,575700.0
2020-05-14,18.0626,19.3469,17.3977,19.183,597787.0
2020-05-15,19.1557,19.7933,18.9084,19.3469,423882.0
2020-05-16,19.1557,19.7933,18.9084,19.3469,423882.0
2020-05-17,19.1557,19.7933,18.9084,19.3469,423882.0
2020-05-18,20.4947,21.5968,20.4491,21.3964,961579.0
2020-05-19,21.0776,21.4966,20.4673,20.4673,795547.0
2020-05-20,21.0138,21.533,20.8772,21.4146,500935.0
2020-05-21,21.196,22.0705,21.1505,21.7972,999401.0
2020-05-22,22.034,22.2162,21.2598,21.952,747519.0
2020-05-23,22.034,22.2162,21.2598,21.952,747519.0
2020-05-24,22.034,22.2162,21.2598,21.952,747519.0
2020-05-25,22.034,22.2162,21.2598,21.952,747519.0
2020-05-26,22.9176,23.3821,21.9976,22.1615,972894.0
2020-05-27,22.8265,23.6736,22.6443,23.4823,1024529.0
2020-05-28,24.0197,24.0197,22.3802,22.5441,785810.0
2020-05-29,22.2709,22.8083,22.0887,22.5714,830114.0
2020-05-30,22.2709,22.8083,22.0887,22.5714,830114.0
2020-05-31,22.2709,22.8083,22.0887,22.5714,830114.0
2020-06-01,22.6899,23.4277,22.4986,23.3092,743892.0
2020-06-02,23.4641,24.4661,23.1908,24.4023,1072657.0
2020-06-03,24.9579,25.928,24.9033,24.9488,1039058.0
2020-06-04,24.4934,25.1856,24.211,25.1583,606494.0
2020-06-05,26.2696,27.1076,26.2514,26.2787,812077.0
2020-06-06,26.2696,27.1076,26.2514,26.2787,812077.0
2020-06-07,26.2696,27.1076,26.2514,26.2787,812077.0
2020-06-08,26.7159,27.2989,26.6066,26.6704,767499.0
2020-06-09,26.0054,26.4882,25.6684,26.1056,500728.0
2020-06-10,25.9963,26.1512,24.9033,25.1037,886137.0
2020-06-11,23.8397,24.1149,22.3348,22.8945,939155.0
2020-06-12,24.1241,24.3535,23.1423,23.7663,781018.0
2020-06-13,24.1241,24.3535,23.1423,23.7663,781018.0
2020-06-14,24.1241,24.3535,23.1423,23.7663,781018.0
2020-06-15,22.6101,24.0599,22.4816,23.8855,874313.0
2020-06-16,25.106,25.106,23.5644,23.9957,1258076.0
2020-06-17,24.1333,24.2709,23.4634,23.4726,808872.0
2020-06-18,23.2065,23.7938,22.8578,23.2707,592687.0
2020-06-19,23.1606,23.6286,22.5275,22.6192,1725306.0
2020-06-20,23.1606,23.6286,22.5275,22.6192,1725306.0
2020-06-21,23.1606,23.6286,22.5275,22.6192,1725306.0
2020-06-22,22.6101,22.8578,22.087,22.6926,632850.0
2020-06-23,23.2707,23.3442,22.4403,22.6651,739681.0
2020-06-24,22.2614,22.3623,21.642,21.8393,536063.0
2020-06-25,21.6374,22.8853,21.4539,22.8578,857508.0
2020-06-26,22.5825,23.2799,22.2522,23.1147,2863137.0
2020-06-27,22.5825,23.2799,22.2522,23.1147,2863137.0
2020-06-28,22.5825,23.2799,22.2522,23.1147,2863137.0
2020-06-29,23.5736,23.8672,23.3625,23.8672,947983.0
2020-06-30,23.6103,24.2618,23.4451,24.0691,761953.0
2020-07-01,24.0599,24.3902,23.2799,23.3625,485646.0
2020-07-02,24.0599,24.7389,23.858,23.9865,638292.0
2020-07-03,24.0599,24.7389,23.858,23.9865,638292.0
2020-07-04,24.0599,24.7389,23.858,23.9865,638292.0
2020-07-05,24.0599,24.7389,23.858,23.9865,638292.0
2020-07-06,24.7298,24.7298,23.9222,24.5095,533685.0
2020-07-07,24.0324,24.5416,23.8672,23.9314,530044.0
2020-07-08,23.7479,23.9498,23.023,23.3992,641044.0
2020-07-09,23.3992,23.4176,22.087,22.3439,503632.0
2020-07-10,22.5183,23.3533,22.4265,23.3166,370724.0
2020-07-11,22.5183,23.3533,22.4265,23.3166,370724.0
2020-07-12,22.5183,23.3533,22.4265,23.3166,370724.0
2020-07-13,24.4912,24.4912,22.7752,23.2249,319129.0
2020-07-14,23.1515,23.2707,22.6605,23.1515,630144.0
2020-07-15,24.014,24.3994,23.7938,24.17,816334.0
2020-07-16,24.0507,24.0507,23.5644,23.7754,382692.0
2020-07-17,23.9314,24.3902,23.6745,24.0048,900000.0
2020-07-18,23.9314,24.3902,23.6745,24.0048,900000.0
2020-07-19,23.9314,24.3902,23.6745,24.0048,900000.0
2020-07-20,23.9039,23.9131,23.1698,23.4726,469618.0
2020-07-21,23.6653,24.0599,23.3809,23.6103,644144.0
2020-07-22,23.2432,24.3076,22.8624,23.9773,964826.0
2020-07-23,23.6837,23.8397,22.7202,23.0964,809882.0
2020-07-24,22.9863,23.0322,22.4265,22.7293,391741.0
2020-07-25,22.9863,23.0322,22.4265,22.7293,391741.0
2020-07-26,22.9863,23.0322,22.4265,22.7293,391741.0
2020-07-27,22.6835,23.3809,22.5206,23.3625,509214.0
2020-07-28,23.1606,23.3442,22.4816,22.4999,383752.0
2020-07-29,22.4265,23.179,22.3898,23.1606,265201.0
2020-07-30,22.6192,22.9129,21.7888,22.1788,444586.0
2020-07-31,22.0411,22.0411,21.307,21.931,531086.0
2020-08-01,22.0411,22.0411,21.307,21.931,531086.0
2020-08-02,22.0411,22.0411,21.307,21.931,531086.0
2020-08-03,22.2247,22.5091,21.775,22.2063,464481.0
2020-08-04,21.9953,22.5045,21.9127,22.4174,353290.0
2020-08-05,22.8486,23.0322,22.6514,22.8762,346880.0
2020-08-06,22.9312,22.9312,22.5917,22.6926,364076.0
2020-08-07,22.5642,23.7663,22.3487,23.7387,568307.0
2020-08-08,22.5642,23.7663,22.3487,23.7387,568307.0
2020-08-09,22.5642,23.7663,22.3487,23.7387,568307.0
2020-08-10,23.5736,24.6655,23.5736,24.4453,607123.0
2020-08-11,24.7756,25.6932,24.6701,24.9775,616120.0
2020-08-12,25.4822,25.5373,24.6655,24.9775,497847.0
2020-08-13,24.7298,24.8766,24.0599,24.326,354797.0
2020-08-14,24.0415,24.3076,23.0872,24.0782,278642.0
2020-08-15,24.0415,24.3076,23.0872,24.0782,278642.0
2020-08-16,24.0415,24.3076,23.0872,24.0782,278642.0
2020-08-17,24.2893,24.3994,23.6928,23.8397,580155.0
2020-08-18,23.9773,23.9865,23.4955,23.5919,256695.0
2020-08-19,23.9222,24.1975,23.5185,23.8305,336860.0
2020-08-20,23.5369,24.0415,23.3809,23.9406,392645.0
2020-08-21,23.647,23.9406,23.491,23.7938,430941.0
2020-08-22,23.647,23.9406,23.491,23.7938,430941.0
2020-08-23,23.647,23.9406,23.491,23.7938,430941.0
2020-08-24,24.1517,24.8857,23.7571,24.8766,424125.0
2020-08-25,25.0234,25.3446,23.9773,24.5279,581857.0
2020-08-26,24.4086,24.4178,23.6194,23.8488,349077.0
2020-08-27,24.3076,24.7298,23.9452,24.2709,301613.0
2020-08-28,24.3627,24.6013,23.8947,24.5921,269277.0
2020-08-29,24.3627,24.6013,23.8947,24.5921,269277.0
2020-08-30,24.3627,24.6013,23.8947,24.5921,269277.0
2020-08-31,24.3994,24.4912,23.4176,23.4176,579073.0
2020-09-01,23.2157,24.6013,22.9863,24.5829,423921.0
2020-09-02,24.849,25.6382,24.6013,25.473,504193.0
2020-09-03,25.4638,25.8034,24.5279,24.6288,544521.0
2020-09-04,25.161,25.6015,24.5095,25.5648,680423.0
2020-09-05,25.161,25.6015,24.5095,25.5648,680423.0
2020-09-06,25.161,25.6015,24.5095,25.5648,680423.0
2020-09-07,25.161,25.6015,24.5095,25.5648,680423.0
2020-09-08,25.3904,25.3904,24.6518,24.8215,696960.0
2020-09-09,24.9408,25.3813,24.5738,25.2253,483016.0
2020-09-10,25.2803,25.5005,24.5462,24.5554,594493.0
2020-09-11,24.6747,24.8399,24.2434,24.5462,405893.0
2020-09-12,24.6747,24.8399,24.2434,24.5462,405893.0
2020-09-13,24.6747,24.8399,24.2434,24.5462,405893.0
2020-09-14,24.8032,25.1977,24.6242,25.106,393003.0
2020-09-15,25.2803,25.6749,24.794,25.418,428708.0
2020-09-16,25.5097,25.8676,25.1886,25.2253,509340.0
2020-09-17,24.978,25.6898,24.5851,25.6805,666086.0
2020-09-18,26.1982,26.2075,25.0334,25.1813,1231688.0
2020-09-19,26.1982,26.2075,25.0334,25.1813,1231688.0
2020-09-20,26.1982,26.2075,25.0334,25.1813,1231688.0
2020-09-21,24.3586,24.488,23.2401,23.6191,590113.0
2020-09-22,23.5174,23.8409,23.2308,23.6745,509309.0
2020-09-23,23.5913,23.9482,22.7963,22.7963,388289.0
2020-09-24,22.9442,23.6006,22.4266,23.2123,381646.0
2020-09-25,24.8578,25.0694,23.9703,24.8116,786839.0
2020-09-26,24.8578,25.0694,23.9703,24.8116,786839.0
2020-09-27,24.8578,25.0694,23.9703,24.8116,786839.0
2020-09-28,25.1259,25.6898,24.8578,25.2738,430358.0
2020-09-29,25.2276,25.2276,24.4788,25.0334,428744.0
2020-09-30,25.2645,25.6066,24.3863,24.4603,622269.0
2020-10-01,24.5897,24.9226,24.1922,24.7838,698253.0
2020-10-02,25.9764,27.2705,25.699,26.5772,1078305.0
2020-10-03,25.9764,27.2705,25.699,26.5772,1078305.0
2020-10-04,25.9764,27.2705,25.699,26.5772,1078305.0
2020-10-05,26.8361,28.121,26.8361,27.8622,678625.0
2020-10-06,28.3891,29.0639,27.9084,28.6572,1865135.0
2020-10-07,28.8883,29.9699,28.8074,29.9144,1237702.0
2020-10-08,30.2102,30.2102,29.2765,30.0068,857998.0
2020-10-09,30.0438,30.3304,29.0316,29.332,849909.0
2020-10-10,30.0438,30.3304,29.0316,29.332,849909.0
2020-10-11,30.0438,30.3304,29.0316,29.332,849909.0
2020-10-12,29.5816,29.6833,29.1009,29.4799,411275.0
2020-10-13,29.1934,29.5816,29.1934,29.3505,726051.0
2020-10-14,29.5539,29.8958,29.4383,29.6186,663742.0
2020-10-15,29.4892,29.9699,29.4614,29.5077,851647.0
2020-10-16,29.711,29.9514,29.5261,29.785,415643.0
2020-10-17,29.711,29.9514,29.5261,29.785,415643.0
2020-10-18,29.711,29.9514,29.5261,29.785,415643.0
2020-10-19,29.7388,30.2287,29.295,29.3413,471928.0
2020-10-20,29.4707,29.8774,29.3505,29.5169,498617.0
2020-10-21,29.5446,30.1594,29.5169,30.1085,691888.0
2020-10-22,30.3489,30.7279,30.1455,30.2657,747477.0
2020-10-23,30.5707,30.8203,29.9236,30.1732,622008.0
2020-10-24,30.5707,30.8203,29.9236,30.1732,622008.0
2020-10-25,30.5707,30.8203,29.9236,30.1732,622008.0
2020-10-26,29.6463,29.9976,28.9345,29.3505,386538.0
2020-10-27,29.2303,29.5077,28.5278,28.5647,402428.0
2020-10-28,27.7328,28.4631,27.6958,28.121,499382.0
2020-10-29,27.9269,28.9807,27.5941,28.8606,410443.0
2020-10-30,28.6202,29.0177,28.2967,28.7219,577358.0
2020-10-31,28.6202,29.0177,28.2967,28.7219,577358.0
2020-11-01,28.6202,29.0177,28.2967,28.7219,577358.0
2020-11-02,29.2118,29.8867,28.8328,29.7203,610695.0
2020-11-03,30.3119,30.7002,28.9622,30.3674,763784.0
2020-11-04,29.6463,29.9976,28.195,28.6572,743262.0
2020-11-05,28.8883,30.922,28.8282,30.6447,659090.0
2020-11-06,30.9682,31.0422,30.1455,30.164,582228.0
2020-11-07,30.9682,31.0422,30.1455,30.164,582228.0
2020-11-08,30.9682,31.0422,30.1455,30.164,582228.0
2020-11-09,32.1977,33.6768,31.6801,32.133,969486.0
2020-11-10,32.6692,33.6306,32.207,33.2886,949233.0
2020-11-11,33.6306,33.6676,31.9389,32.3179,625704.0
2020-11-12,32.1792,32.5028,31.4397,31.9759,623709.0
2020-11-13,32.3641,32.7663,31.9296,32.549,469658.0
2020-11-14,32.3641,32.7663,31.9296,32.549,469658.0
2020-11-15,32.3641,32.7663,31.9296,32.549,469658.0
2020-11-16,33.2793,33.6491,32.8911,33.5566,428582.0
2020-11-17,33.1961,33.8525,32.9003,33.5197,462343.0
2020-11-18,33.76,33.9819,32.7431,32.7524,404118.0
2020-11-19,32.5213,33.0297,32.0868,32.8541,413585.0
2020-11-20,32.549,33.0297,32.3456,32.9003,569613.0
2020-11-21,32.549,33.0297,32.3456,32.9003,569613.0
2020-11-22,32.549,33.0297,32.3456,32.9003,569613.0
2020-11-23,33.2886,34.0743,33.1129,33.7138,453082.0
2020-11-24,34.2407,35.6274,34.0004,35.5904,892230.0
2020-11-25,35.2206,35.5626,34.2777,34.3886,376399.0
2020-11-26,35.2206,35.5626,34.2777,34.3886,376399.0
2020-11-27,34.3609,34.7307,34.0096,34.5735,133214.0
2020-11-28,34.3609,34.7307,34.0096,34.5735,133214.0
2020-11-29,34.3609,34.7307,34.0096,34.5735,133214.0
2020-11-30,34.3054,34.4996,33.6121,33.7877,566625.0
2020-12-01,34.4348,34.592,34.0004,34.176,549382.0
2020-12-02,34.1483,34.5273,33.6953,34.3516,294042.0
2020-12-03,34.6844,34.9433,34.1298,34.2684,643429.0
2020-12-04,34.213,36.219,34.213,36.2005,457502.0
2020-12-05,34.213,36.219,34.213,36.2005,457502.0
2020-12-06,34.213,36.219,34.213,36.2005,457502.0
2020-12-07,35.9417,36.182,35.5442,35.5534,423493.0
2020-12-08,35.3593,36.5518,35.3593,36.0526,638928.0
2020-12-09,36.2929,36.6812,35.6643,36.0156,385132.0
2020-12-10,35.8215,36.1139,35.2114,35.9509,581254.0
2020-12-11,35.9047,36.2005,35.4794,35.7937,479412.0
2020-12-12,35.9047,36.2005,35.4794,35.7937,479412.0
2020-12-13,35.9047,36.2005,35.4794,35.7937,479412.0
2020-12-14,36.6627,36.9094,35.313,35.6551,600138.0
2020-12-15,36.1913,37.1064,35.4656,37.0417,533563.0
2020-12-16,37.4392,37.4392,35.9047,36.145,559545.0
2020-12-17,36.2217,37.4022,36.0358,37.3092,409284.0
2020-12-18,37.5973,37.8669,36.705,36.9281,1633554.0
2020-12-19,37.5973,37.8669,36.705,36.9281,1633554.0
2020-12-20,37.5973,37.8669,36.705,36.9281,1633554.0
2020-12-21,35.9801,37.1791,35.7059,37.1791,477047.0
2020-12-22,37.1977,37.7554,36.5842,37.4207,453929.0
2020-12-23,37.5788,37.7461,37.1884,37.5137,289105.0
2020-12-24,37.365,37.7739,37.0118,37.3929,140187.0
2020-12-25,37.365,37.7739,37.0118,37.3929,140187.0
2020-12-26,37.365,37.7739,37.0118,37.3929,140187.0
2020-12-27,37.365,37.7739,37.0118,37.3929,140187.0
2020-12-28,37.9877,38.0156,37.3557,37.3929,318214.0
2020-12-29,37.3929,37.4486,36.5563,36.7422,276922.0
2020-12-30,36.8352,37.7089,36.7469,37.523,290835.0
2020-12-31,37.2627,38.0667,37.1047,37.4393,379989.0
2021-01-01,37.2627,38.0667,37.1047,37.4393,379989.0
2021-01-02,37.2627,38.0667,37.1047,37.4393,379989.0
2021-01-03,37.2627,38.0667,37.1047,37.4393,379989.0
2021-01-04,37.8111,38.4803,36.3797,36.6679,532576.0
2021-01-05,36.9467,38.5268,36.8352,37.7925,555505.0
2021-01-06,39.0287,41.3989,38.8521,40.6739,985215.0
2021-01-07,41.8265,43.1091,41.1201,42.4771,1125487.0
2021-01-08,42.3934,42.4027,40.7808,41.8822,654365.0
2021-01-09,42.3934,42.4027,40.7808,41.8822,654365.0
2021-01-10,42.3934,42.4027,40.7808,41.8822,654365.0
2021-01-11,40.9249,41.6685,40.9063,41.5104,402211.0
2021-01-12,41.6592,42.6537,41.306,42.5422,375156.0
2021-01-13,42.1797,42.5143,41.0922,41.2223,458023.0
2021-01-14,41.5569,41.9473,40.9435,41.2037,375675.0
2021-01-15,40.4508,40.7111,39.5971,39.8095,383252.0
2021-01-16,40.4508,40.7111,39.5971,39.8095,383252.0
2021-01-17,40.4508,40.7111,39.5971,39.8095,383252.0
2021-01-18,40.4508,40.7111,39.5971,39.8095,383252.0
2021-01-19,40.3765,40.5624,39.4563,39.8188,363989.0
2021-01-20,39.8095,40.1813,38.8243,39.3448,437332.0
2021-01-21,39.4284,39.4284,38.4989,38.6477,369736.0
2021-01-22,38.0249,39.5214,37.8576,39.5214,390053.0
2021-01-23,38.0249,39.5214,37.8576,39.5214,390053.0
2021-01-24,38.0249,39.5214,37.8576,39.5214,390053.0
2021-01-25,39.1868,39.7444,38.1364,38.3595,522501.0
2021-01-26,38.8057,38.8335,36.9374,37.0954,486074.0
2021-01-27,36.1009,36.7143,34.0979,35.6826,680639.0
2021-01-28,36.1102,37.1047,35.8499,36.9002,490393.0
2021-01-29,36.5842,37.0768,35.664,35.7198,541676.0
2021-01-30,36.5842,37.0768,35.664,35.7198,541676.0
2021-01-31,36.5842,37.0768,35.664,35.7198,541676.0
2021-02-01,35.9615,37.9877,35.8871,37.8018,652762.0
2021-02-02,38.3967,38.6012,37.43,37.839,521694.0
2021-02-03,37.6531,38.2015,37.2163,37.5973,432225.0
2021-02-04,37.4765,37.8948,37.2163,37.4672,398219.0
2021-02-05,38.1643,38.313,37.3929,38.0807,388270.0
2021-02-06,38.1643,38.313,37.3929,38.0807,388270.0
2021-02-07,38.1643,38.313,37.3929,38.0807,388270.0
2021-02-08,38.2201,39.2983,37.6996,39.289,479184.0
2021-02-09,38.88,39.9303,37.9227,39.5957,598650.0
2021-02-10,40.2649,40.8598,38.6477,39.0845,568266.0
2021-02-11,39.9396,40.8319,39.4563,40.2649,712269.0
2021-02-12,40.1534,41.5569,40.1534,41.055,383690.0
2021-02-13,40.1534,41.5569,40.1534,41.055,383690.0
2021-02-14,40.1534,41.5569,40.1534,41.055,383690.0
2021-02-15,40.1534,41.5569,40.1534,41.055,383690.0
2021-02-16,41.3803,41.5569,40.0883,40.6832,449865.0
2021-02-17,40.1534,40.9806,39.7537,40.646,437761.0
2021-02-18,40.4601,40.8505,39.8467,40.0512,409438.0
2021-02-19,40.2835,41.5476,40.2835,41.3524,310255.0
2021-02-20,40.2835,41.5476,40.2835,41.3524,310255.0
2021-02-21,40.2835,41.5476,40.2835,41.3524,310255.0
2021-02-22,41.1201,42.1518,41.1201,41.3803,440756.0
2021-02-23,40.9899,41.1387,39.8932,40.9621,319483.0
2021-02-24,41.3338,42.2168,40.6739,42.096,275777.0
2021-02-25,41.8915,41.8915,40.0326,40.3858,363308.0
2021-02-26,40.4137,41.1294,39.5678,40.172,457216.0
2021-02-27,40.4137,41.1294,39.5678,40.172,457216.0
2021-02-28,40.4137,41.1294,39.5678,40.172,457216.0
2021-03-01,41.2223,42.0217,40.6832,41.8451,363368.0
2021-03-02,42.1983,43.0534,41.7614,41.7986,563370.0
2021-03-03,43.2579,45.2469,43.0441,43.8899,1462369.0
2021-03-04,44.2245,44.4662,39.8467,42.0031,1221227.0
2021-03-05,42.8954,43.8992,40.6832,43.6297,1014916.0
2021-03-06,42.8954,43.8992,40.6832,43.6297,1014916.0
2021-03-07,42.8954,43.8992,40.6832,43.6297,1014916.0
2021-03-08,43.0069,44.5312,42.7745,44.1595,920486.0
2021-03-09,44.587,45.1168,43.7598,43.8155,844153.0
2021-03-10,44.113,45.312,44.0293,45.0982,504248.0
2021-03-11,45.6559,46.2787,45.0982,45.7489,519387.0
2021-03-12,45.9719,46.7992,45.773,46.7341,577949.0
