,AMCX US Equity,AMCX US Equity,AMCX US Equity,AMCX US Equity,AMCX US Equity
2019-03-17,59.87,60.2102,58.94,59.49,1071566.0
2019-03-18,59.31,59.89,58.5,59.06,1007249.0
2019-03-19,59.15,59.53,57.59,57.79,587320.0
2019-03-20,57.76,58.2,56.02,56.73,1039007.0
2019-03-21,56.58,57.73,56.245,57.47,806490.0
2019-03-22,57.39,57.39,55.85,56.32,637317.0
2019-03-23,57.39,57.39,55.85,56.32,637317.0
2019-03-24,57.39,57.39,55.85,56.32,637317.0
2019-03-25,56.78,57.26,55.525,55.97,463389.0
2019-03-26,56.09,57.39,55.82,57.0,1554883.0
2019-03-27,57.18,57.68,56.55,56.91,657503.0
2019-03-28,56.98,57.25,56.59,56.91,366829.0
2019-03-29,57.23,57.36,56.41,56.76,696118.0
2019-03-30,57.23,57.36,56.41,56.76,696118.0
2019-03-31,57.23,57.36,56.41,56.76,696118.0
2019-04-01,57.24,58.04,56.78,57.33,646925.0
2019-04-02,57.45,57.75,56.76,56.95,482619.0
2019-04-03,57.23,58.25,56.76,57.47,470588.0
2019-04-04,57.64,58.7,57.38,57.93,456613.0
2019-04-05,58.27,59.0,58.0,58.25,474395.0
2019-04-06,58.27,59.0,58.0,58.25,474395.0
2019-04-07,58.27,59.0,58.0,58.25,474395.0
2019-04-08,58.15,59.06,57.43,58.78,640719.0
2019-04-09,58.71,59.25,58.09,58.96,399201.0
2019-04-10,58.97,60.2,58.765,59.61,561823.0
2019-04-11,59.78,60.99,59.3,59.64,573375.0
2019-04-12,59.95,60.675,59.22,60.05,490193.0
2019-04-13,59.95,60.675,59.22,60.05,490193.0
2019-04-14,59.95,60.675,59.22,60.05,490193.0
2019-04-15,59.85,60.89,59.54,60.27,658392.0
2019-04-16,60.44,60.865,59.9,60.08,515648.0
2019-04-17,60.25,60.75,59.97,60.73,338742.0
2019-04-18,60.74,61.13,60.1512,60.49,266581.0
2019-04-19,60.74,61.13,60.1512,60.49,266581.0
2019-04-20,60.74,61.13,60.1512,60.49,266581.0
2019-04-21,60.74,61.13,60.1512,60.49,266581.0
2019-04-22,60.33,60.33,58.19,58.61,360463.0
2019-04-23,58.77,59.41,58.61,58.65,420980.0
2019-04-24,58.16,59.56,57.7408,59.33,435140.0
2019-04-25,59.48,59.48,58.14,58.66,515831.0
2019-04-26,58.95,59.82,58.82,59.77,442584.0
2019-04-27,58.95,59.82,58.82,59.77,442584.0
2019-04-28,58.95,59.82,58.82,59.77,442584.0
2019-04-29,60.0,60.63,59.97,60.33,729979.0
2019-04-30,60.17,60.28,57.91,58.41,759476.0
2019-05-01,59.0,59.62,56.6,58.9,1291365.0
2019-05-02,57.05,58.98,55.58,57.36,1150832.0
2019-05-03,57.6,57.645,55.74,56.26,759665.0
2019-05-04,57.6,57.645,55.74,56.26,759665.0
2019-05-05,57.6,57.645,55.74,56.26,759665.0
2019-05-06,55.54,57.45,55.4,57.15,769905.0
2019-05-07,56.92,57.49,55.85,56.22,601863.0
2019-05-08,56.11,57.0,55.805,55.96,470406.0
2019-05-09,55.9,56.45,54.86,55.62,883654.0
2019-05-10,55.59,56.15,54.82,55.82,451675.0
2019-05-11,55.59,56.15,54.82,55.82,451675.0
2019-05-12,55.59,56.15,54.82,55.82,451675.0
2019-05-13,55.0,55.4199,53.465,54.39,1312688.0
2019-05-14,54.75,55.0,53.99,54.05,1218051.0
2019-05-15,53.63,54.69,53.51,54.34,967889.0
2019-05-16,54.52,55.66,54.04,55.05,648085.0
2019-05-17,54.6,55.61,54.6,55.45,593631.0
2019-05-18,54.6,55.61,54.6,55.45,593631.0
2019-05-19,54.6,55.61,54.6,55.45,593631.0
2019-05-20,55.53,55.655,54.95,55.37,916392.0
2019-05-21,55.57,55.98,55.24,55.3,335293.0
2019-05-22,54.97,55.37,54.5225,55.05,471918.0
2019-05-23,54.55,55.36,54.02,54.43,589323.0
2019-05-24,54.62,55.05,54.255,54.46,506643.0
2019-05-25,54.62,55.05,54.255,54.46,506643.0
2019-05-26,54.62,55.05,54.255,54.46,506643.0
2019-05-27,54.62,55.05,54.255,54.46,506643.0
2019-05-28,54.49,55.26,54.21,54.25,295043.0
2019-05-29,53.91,54.17,52.73,52.83,524670.0
2019-05-30,53.02,54.34,52.9,53.56,647286.0
2019-05-31,53.13,53.8,52.51,52.77,838698.0
2019-06-01,53.13,53.8,52.51,52.77,838698.0
2019-06-02,53.13,53.8,52.51,52.77,838698.0
2019-06-03,53.79,54.51,52.78,54.38,769641.0
2019-06-04,54.76,55.56,54.31,55.29,455689.0
2019-06-05,55.38,55.87,54.22,54.6,677791.0
2019-06-06,54.43,55.02,54.05,54.82,511249.0
2019-06-07,55.12,55.55,54.58,55.24,354181.0
2019-06-08,55.12,55.55,54.58,55.24,354181.0
2019-06-09,55.12,55.55,54.58,55.24,354181.0
2019-06-10,55.53,55.89,54.27,54.63,307766.0
2019-06-11,54.96,55.18,54.08,54.59,627386.0
2019-06-12,54.49,55.13,54.18,54.42,420843.0
2019-06-13,54.5,55.41,54.1,55.3,417795.0
2019-06-14,55.2,55.22,54.56,54.78,366030.0
2019-06-15,55.2,55.22,54.56,54.78,366030.0
2019-06-16,55.2,55.22,54.56,54.78,366030.0
2019-06-17,54.75,55.61,54.555,55.08,389810.0
2019-06-18,55.23,56.04,54.9,55.03,407556.0
2019-06-19,55.12,56.13,54.81,55.95,343946.0
2019-06-20,56.25,56.44,55.54,55.78,365078.0
2019-06-21,55.69,56.3,55.05,56.03,790392.0
2019-06-22,55.69,56.3,55.05,56.03,790392.0
2019-06-23,55.69,56.3,55.05,56.03,790392.0
2019-06-24,55.81,55.92,54.51,55.0,296854.0
2019-06-25,55.07,55.07,54.05,54.18,512446.0
2019-06-26,54.27,54.8,53.67,53.82,543080.0
2019-06-27,54.09,54.31,53.4912,54.0,524995.0
2019-06-28,54.04,55.12,54.04,54.49,638823.0
2019-06-29,54.04,55.12,54.04,54.49,638823.0
2019-06-30,54.04,55.12,54.04,54.49,638823.0
2019-07-01,55.3,55.74,54.47,54.8,403471.0
2019-07-02,54.91,55.245,54.26,55.06,334559.0
2019-07-03,55.24,55.875,55.01,55.48,206723.0
2019-07-04,55.24,55.875,55.01,55.48,206723.0
2019-07-05,55.48,56.29,55.37,56.16,250039.0
2019-07-06,55.48,56.29,55.37,56.16,250039.0
2019-07-07,55.48,56.29,55.37,56.16,250039.0
2019-07-08,56.02,56.24,55.38,55.88,268507.0
2019-07-09,55.74,56.3,55.54,55.95,316857.0
2019-07-10,56.01,56.61,55.605,55.96,317759.0
2019-07-11,56.09,56.68,55.94,56.42,278981.0
2019-07-12,56.39,57.04,56.19,56.7,379982.0
2019-07-13,56.39,57.04,56.19,56.7,379982.0
2019-07-14,56.39,57.04,56.19,56.7,379982.0
2019-07-15,56.65,56.96,55.67,56.18,367635.0
2019-07-16,56.18,56.89,56.12,56.17,383191.0
2019-07-17,56.19,56.36,55.13,55.17,262314.0
2019-07-18,55.31,55.4,54.355,54.6,261530.0
2019-07-19,54.57,54.96,54.27,54.3,302524.0
2019-07-20,54.57,54.96,54.27,54.3,302524.0
2019-07-21,54.57,54.96,54.27,54.3,302524.0
2019-07-22,54.39,54.755,52.17,52.36,704549.0
2019-07-23,52.38,52.93,51.1301,52.06,780137.0
2019-07-24,52.22,52.7,51.47,52.51,588943.0
2019-07-25,52.69,53.035,52.31,52.57,521916.0
2019-07-26,52.74,53.0,52.57,52.81,435223.0
2019-07-27,52.74,53.0,52.57,52.81,435223.0
2019-07-28,52.74,53.0,52.57,52.81,435223.0
2019-07-29,52.83,52.98,52.215,52.87,634201.0
2019-07-30,53.35,54.68,53.19,54.57,1065705.0
2019-07-31,52.77,54.449,51.26,53.38,1505707.0
2019-08-01,52.92,54.17,52.63,53.46,883583.0
2019-08-02,53.37,53.46,52.02,53.18,494492.0
2019-08-03,53.37,53.46,52.02,53.18,494492.0
2019-08-04,53.37,53.46,52.02,53.18,494492.0
2019-08-05,52.45,52.62,51.6,52.43,436576.0
2019-08-06,52.78,52.97,52.1,52.25,576386.0
2019-08-07,51.49,52.38,51.17,52.22,480096.0
2019-08-08,52.52,53.53,52.52,53.47,442804.0
2019-08-09,53.27,53.285,52.28,52.41,398559.0
2019-08-10,53.27,53.285,52.28,52.41,398559.0
2019-08-11,53.27,53.285,52.28,52.41,398559.0
2019-08-12,52.27,52.65,50.74,50.88,357668.0
2019-08-13,50.77,52.1,50.58,51.17,409899.0
2019-08-14,50.43,50.43,49.32,49.72,896475.0
2019-08-15,49.75,49.8,48.83,49.58,740524.0
2019-08-16,49.77,50.75,49.55,50.16,465193.0
2019-08-17,49.77,50.75,49.55,50.16,465193.0
2019-08-18,49.77,50.75,49.55,50.16,465193.0
2019-08-19,50.57,51.0628,50.38,50.43,351230.0
2019-08-20,50.25,50.36,48.96,49.49,622261.0
2019-08-21,49.91,49.91,48.86,49.66,371861.0
2019-08-22,49.93,50.58,49.92,50.23,338453.0
2019-08-23,49.77,50.47,48.9,49.09,497704.0
2019-08-24,49.77,50.47,48.9,49.09,497704.0
2019-08-25,49.77,50.47,48.9,49.09,497704.0
2019-08-26,49.76,50.24,49.05,49.11,390634.0
2019-08-27,49.39,49.39,48.17,48.2,343653.0
2019-08-28,48.06,48.56,47.68,47.9,338097.0
2019-08-29,48.09,49.2,48.09,48.64,266980.0
2019-08-30,48.81,49.03,48.31,48.5,419670.0
2019-08-31,48.81,49.03,48.31,48.5,419670.0
2019-09-01,48.81,49.03,48.31,48.5,419670.0
2019-09-02,48.81,49.03,48.31,48.5,419670.0
2019-09-03,48.05,48.21,46.31,46.74,659622.0
2019-09-04,47.25,47.32,46.7,47.23,373740.0
2019-09-05,47.64,49.0,47.34,48.94,375533.0
2019-09-06,48.93,49.34,48.56,48.72,363061.0
2019-09-07,48.93,49.34,48.56,48.72,363061.0
2019-09-08,48.93,49.34,48.56,48.72,363061.0
2019-09-09,49.02,49.42,48.75,49.16,296781.0
2019-09-10,49.13,51.22,49.13,51.05,826166.0
2019-09-11,51.5,52.46,50.32,52.45,631007.0
2019-09-12,52.35,52.35,50.46,50.61,445017.0
2019-09-13,50.59,51.2586,50.435,50.85,424903.0
2019-09-14,50.59,51.2586,50.435,50.85,424903.0
2019-09-15,50.59,51.2586,50.435,50.85,424903.0
2019-09-16,50.47,51.31,50.03,51.31,291464.0
2019-09-17,51.08,51.08,50.245,50.56,459374.0
2019-09-18,50.42,51.01,50.095,50.92,437646.0
2019-09-19,51.07,51.1,49.0,49.08,721983.0
2019-09-20,49.13,49.79,48.57,49.27,988355.0
2019-09-21,49.13,49.79,48.57,49.27,988355.0
2019-09-22,49.13,49.79,48.57,49.27,988355.0
2019-09-23,49.23,49.5,48.58,49.21,295999.0
2019-09-24,49.19,49.19,47.0,47.4,506805.0
2019-09-25,47.47,48.72,47.33,48.04,416882.0
2019-09-26,47.98,48.0,46.95,47.4,288174.0
2019-09-27,47.69,48.26,47.64,48.135,301627.0
2019-09-28,47.69,48.26,47.64,48.135,301627.0
2019-09-29,47.69,48.26,47.64,48.135,301627.0
2019-09-30,48.35,49.19,48.35,49.16,407161.0
2019-10-01,49.38,49.935,48.59,48.64,351630.0
2019-10-02,48.35,48.42,47.31,47.94,292401.0
2019-10-03,47.94,48.19,47.0553,48.14,271246.0
2019-10-04,48.34,48.85,48.0501,48.4,300003.0
2019-10-05,48.34,48.85,48.0501,48.4,300003.0
2019-10-06,48.34,48.85,48.0501,48.4,300003.0
2019-10-07,48.16,48.835,47.93,48.67,317790.0
2019-10-08,48.15,48.15,46.87,46.925,412880.0
2019-10-09,47.04,47.78,46.85,47.3,320444.0
2019-10-10,47.48,48.16,46.87,47.5,336450.0
2019-10-11,47.85,49.1009,47.52,48.4,442670.0
2019-10-12,47.85,49.1009,47.52,48.4,442670.0
2019-10-13,47.85,49.1009,47.52,48.4,442670.0
2019-10-14,46.3,47.69,45.98,47.24,554235.0
2019-10-15,47.34,47.62,46.605,47.25,402324.0
2019-10-16,47.17,47.83,46.82,47.52,378164.0
2019-10-17,47.79,48.41,46.93,47.88,321552.0
2019-10-18,47.75,47.97,47.4217,47.52,270401.0
2019-10-19,47.75,47.97,47.4217,47.52,270401.0
2019-10-20,47.75,47.97,47.4217,47.52,270401.0
2019-10-21,47.95,48.4577,47.52,47.58,481574.0
2019-10-22,47.56,48.43,47.04,48.33,679167.0
2019-10-23,48.46,48.5,47.53,47.67,339840.0
2019-10-24,47.5,47.5,44.52,45.34,662355.0
2019-10-25,45.56,47.29,45.56,46.74,608481.0
2019-10-26,45.56,47.29,45.56,46.74,608481.0
2019-10-27,45.56,47.29,45.56,46.74,608481.0
2019-10-28,47.0,47.49,46.66,46.8,345803.0
2019-10-29,45.09,46.065,44.56,44.96,484117.0
2019-10-30,44.46,44.81,43.57,43.85,769612.0
2019-10-31,45.98,45.98,40.8663,43.55,1085637.0
2019-11-01,43.53,43.89,42.66,43.08,668418.0
2019-11-02,43.53,43.89,42.66,43.08,668418.0
2019-11-03,43.53,43.89,42.66,43.08,668418.0
2019-11-04,43.43,43.71,41.06,41.4,1222033.0
2019-11-05,41.7,42.0,40.62,40.87,1205947.0
2019-11-06,40.75,41.12,39.53,40.67,777218.0
2019-11-07,41.13,42.23,41.1,41.5,815911.0
2019-11-08,41.51,41.855,40.51,41.41,640757.0
2019-11-09,41.51,41.855,40.51,41.41,640757.0
2019-11-10,41.51,41.855,40.51,41.41,640757.0
2019-11-11,41.27,42.34,41.2,41.75,499027.0
2019-11-12,41.32,41.5,40.4,40.53,578882.0
2019-11-13,40.17,40.31,39.23,39.24,578027.0
2019-11-14,39.14,40.21,39.1,39.62,427476.0
2019-11-15,39.68,39.995,39.43,39.65,470769.0
2019-11-16,39.68,39.995,39.43,39.65,470769.0
2019-11-17,39.68,39.995,39.43,39.65,470769.0
2019-11-18,39.45,40.13,39.12,40.06,527285.0
2019-11-19,40.14,40.63,39.34,40.25,529916.0
2019-11-20,39.88,40.24,38.6,38.83,814165.0
2019-11-21,39.06,39.13,38.41,38.62,393929.0
2019-11-22,38.64,40.03,38.45,39.82,1049700.0
2019-11-23,38.64,40.03,38.45,39.82,1049700.0
2019-11-24,38.64,40.03,38.45,39.82,1049700.0
2019-11-25,39.73,39.97,38.68,38.76,509264.0
2019-11-26,38.77,38.78,38.13,38.37,485454.0
2019-11-27,38.51,39.22,38.465,38.9,405529.0
2019-11-28,38.51,39.22,38.465,38.9,405529.0
2019-11-29,38.99,38.99,38.38,38.43,220852.0
2019-11-30,38.99,38.99,38.38,38.43,220852.0
2019-12-01,38.99,38.99,38.38,38.43,220852.0
2019-12-02,38.56,38.74,37.33,37.47,711200.0
2019-12-03,37.22,37.335,36.29,36.87,1268187.0
2019-12-04,37.08,38.23,36.93,37.69,678135.0
2019-12-05,37.8,38.54,37.7886,37.87,421569.0
2019-12-06,38.07,38.55,37.7,38.23,440639.0
2019-12-07,38.07,38.55,37.7,38.23,440639.0
2019-12-08,38.07,38.55,37.7,38.23,440639.0
2019-12-09,38.05,38.5,38.01,38.02,505708.0
2019-12-10,37.91,38.06,35.6,35.91,1099280.0
2019-12-11,36.26,37.48,35.979,36.86,593355.0
2019-12-12,37.02,37.88,36.88,37.46,821380.0
2019-12-13,37.55,38.17,37.02,37.39,808512.0
2019-12-14,37.55,38.17,37.02,37.39,808512.0
2019-12-15,37.55,38.17,37.02,37.39,808512.0
2019-12-16,37.76,38.36,37.22,37.25,721358.0
2019-12-17,37.24,37.53,36.74,37.07,1073459.0
2019-12-18,37.12,38.19,37.12,38.09,720979.0
2019-12-19,38.08,39.0799,38.0784,38.82,780787.0
2019-12-20,38.98,39.53,38.6121,39.47,1428326.0
2019-12-21,38.98,39.53,38.6121,39.47,1428326.0
2019-12-22,38.98,39.53,38.6121,39.47,1428326.0
2019-12-23,39.53,39.97,39.19,39.57,639150.0
2019-12-24,39.58,39.965,39.41,39.45,230241.0
2019-12-25,39.58,39.965,39.41,39.45,230241.0
2019-12-26,39.63,39.86,39.21,39.8,288281.0
2019-12-27,39.99,40.1,39.475,39.54,427040.0
2019-12-28,39.99,40.1,39.475,39.54,427040.0
2019-12-29,39.99,40.1,39.475,39.54,427040.0
2019-12-30,39.57,39.772,39.2705,39.41,407183.0
2019-12-31,39.29,39.9911,39.08,39.5,437012.0
2020-01-01,39.29,39.9911,39.08,39.5,437012.0
2020-01-02,39.64,39.78,38.39,39.15,713237.0
2020-01-03,38.71,39.49,38.4353,39.36,474020.0
2020-01-04,38.71,39.49,38.4353,39.36,474020.0
2020-01-05,38.71,39.49,38.4353,39.36,474020.0
2020-01-06,39.21,40.33,39.0378,40.32,566928.0
2020-01-07,40.03,41.19,40.02,41.03,667704.0
2020-01-08,40.92,41.29,40.43,40.685,612483.0
2020-01-09,40.7,40.93,39.53,40.015,478020.0
2020-01-10,39.94,40.15,39.32,39.69,541236.0
2020-01-11,39.94,40.15,39.32,39.69,541236.0
2020-01-12,39.94,40.15,39.32,39.69,541236.0
2020-01-13,39.69,40.82,39.28,40.73,522855.0
2020-01-14,40.47,41.44,40.47,41.35,490087.0
2020-01-15,41.28,41.53,40.59,40.75,431789.0
2020-01-16,40.94,41.44,40.72,41.36,372148.0
2020-01-17,41.45,42.3,41.27,42.25,497965.0
2020-01-18,41.45,42.3,41.27,42.25,497965.0
2020-01-19,41.45,42.3,41.27,42.25,497965.0
2020-01-20,41.45,42.3,41.27,42.25,497965.0
2020-01-21,42.17,42.63,41.845,42.35,479891.0
2020-01-22,42.25,42.35,41.15,41.21,471785.0
2020-01-23,41.02,41.03,38.78,38.85,709300.0
2020-01-24,38.69,38.78,36.9,38.25,812799.0
2020-01-25,38.69,38.78,36.9,38.25,812799.0
2020-01-26,38.69,38.78,36.9,38.25,812799.0
2020-01-27,37.56,38.07,37.26,37.72,529476.0
2020-01-28,37.88,38.3,37.58,38.18,308568.0
2020-01-29,38.35,38.52,36.82,37.23,508667.0
2020-01-30,37.01,37.67,36.36,37.6,381931.0
2020-01-31,37.37,37.45,36.41,36.59,531675.0
2020-02-01,37.37,37.45,36.41,36.59,531675.0
2020-02-02,37.37,37.45,36.41,36.59,531675.0
2020-02-03,37.01,37.19,36.39,36.56,500976.0
2020-02-04,36.9,37.585,36.76,37.425,506748.0
2020-02-05,37.9,39.03,37.8082,38.68,482081.0
2020-02-06,38.83,38.83,37.87,37.99,588399.0
2020-02-07,37.9,38.15,37.11,37.69,412032.0
2020-02-08,37.9,38.15,37.11,37.69,412032.0
2020-02-09,37.9,38.15,37.11,37.69,412032.0
2020-02-10,37.57,37.8579,37.09,37.4,231607.0
2020-02-11,37.65,38.14,37.36,38.0,329874.0
2020-02-12,38.35,39.19,37.3986,38.24,455013.0
2020-02-13,38.02,38.35,37.72,38.04,297899.0
2020-02-14,38.01,38.215,37.33,37.79,210277.0
2020-02-15,38.01,38.215,37.33,37.79,210277.0
2020-02-16,38.01,38.215,37.33,37.79,210277.0
2020-02-17,38.01,38.215,37.33,37.79,210277.0
2020-02-18,37.75,38.055,36.97,37.29,415271.0
2020-02-19,37.47,37.58,37.1,37.33,795978.0
2020-02-20,37.15,37.15,35.98,36.3,687776.0
2020-02-21,35.94,36.21,35.0,35.05,1188340.0
2020-02-22,35.94,36.21,35.0,35.05,1188340.0
2020-02-23,35.94,36.21,35.0,35.05,1188340.0
2020-02-24,34.1,34.81,33.415,34.26,857913.0
2020-02-25,36.32,36.32,32.84,33.06,1149698.0
2020-02-26,31.01,32.5516,28.37,30.45,3433110.0
2020-02-27,29.57,29.625,27.5401,28.3,2333534.0
2020-02-28,28.0,31.73,27.84,31.0,2059313.0
2020-02-29,28.0,31.73,27.84,31.0,2059313.0
2020-03-01,28.0,31.73,27.84,31.0,2059313.0
2020-03-02,30.9,32.34,29.9,31.07,1386403.0
2020-03-03,31.08,31.34,29.09,30.01,1054420.0
2020-03-04,30.54,30.54,28.37,28.98,873686.0
2020-03-05,28.35,28.57,27.09,27.35,1017356.0
2020-03-06,26.44,28.105,26.17,27.33,1132272.0
2020-03-07,26.44,28.105,26.17,27.33,1132272.0
2020-03-08,26.44,28.105,26.17,27.33,1132272.0
2020-03-09,25.4,26.77,25.0,26.01,1709160.0
2020-03-10,26.66,28.645,26.37,27.8,1383578.0
2020-03-11,27.13,28.29,26.325,27.25,1076405.0
2020-03-12,25.96,27.54,24.11,25.345,1193752.0
2020-03-13,26.76,28.0,24.72,27.94,961942.0
2020-03-14,26.76,28.0,24.72,27.94,961942.0
2020-03-15,26.76,28.0,24.72,27.94,961942.0
2020-03-16,25.31,28.06,23.75,28.06,1074864.0
2020-03-17,28.44,29.6,25.7,25.85,1325214.0
2020-03-18,24.6,25.87,22.83,25.77,1142076.0
2020-03-19,25.59,30.18,24.31,27.93,1199510.0
2020-03-20,28.3,29.2016,24.02,24.73,1294792.0
2020-03-21,28.3,29.2016,24.02,24.73,1294792.0
2020-03-22,28.3,29.2016,24.02,24.73,1294792.0
2020-03-23,24.75,25.3,21.026,22.29,1091313.0
2020-03-24,23.53,26.28,23.4,25.67,902301.0
2020-03-25,25.85,27.28,24.44,24.76,1151791.0
2020-03-26,25.16,26.68,24.4,25.85,797446.0
2020-03-27,24.98,25.65,23.74,24.83,650686.0
2020-03-28,24.98,25.65,23.74,24.83,650686.0
2020-03-29,24.98,25.65,23.74,24.83,650686.0
2020-03-30,24.6,26.79,23.0,26.18,869811.0
2020-03-31,26.11,27.11,24.13,24.31,1218963.0
2020-04-01,23.55,25.26,22.07,22.44,1252017.0
2020-04-02,22.2,24.29,21.755,22.3,940200.0
2020-04-03,22.22,22.5,19.62,20.58,1057634.0
2020-04-04,22.22,22.5,19.62,20.58,1057634.0
2020-04-05,22.22,22.5,19.62,20.58,1057634.0
2020-04-06,21.93,23.44,20.88,22.65,740898.0
2020-04-07,23.79,25.33,22.9,23.35,848575.0
2020-04-08,23.72,25.47,23.0868,24.46,704205.0
2020-04-09,25.03,26.4573,23.78,24.5,927941.0
2020-04-10,25.03,26.4573,23.78,24.5,927941.0
2020-04-11,25.03,26.4573,23.78,24.5,927941.0
2020-04-12,25.03,26.4573,23.78,24.5,927941.0
2020-04-13,23.95,24.735,23.0,24.5,822802.0
2020-04-14,24.9,25.5291,23.3,24.07,794899.0
2020-04-15,22.92,23.49,21.63,23.1,640552.0
2020-04-16,23.01,23.64,22.39,23.2,603122.0
2020-04-17,24.17,24.625,23.612,24.37,557508.0
2020-04-18,24.17,24.625,23.612,24.37,557508.0
2020-04-19,24.17,24.625,23.612,24.37,557508.0
2020-04-20,23.75,24.44,23.18,24.08,439007.0
2020-04-21,23.41,23.86,22.44,22.67,405498.0
2020-04-22,23.0,23.44,21.45,21.48,463416.0
2020-04-23,21.67,22.71,21.01,21.49,725085.0
2020-04-24,21.57,22.82,20.03,21.19,786674.0
2020-04-25,21.57,22.82,20.03,21.19,786674.0
2020-04-26,21.57,22.82,20.03,21.19,786674.0
2020-04-27,21.28,23.89,21.28,23.61,612796.0
2020-04-28,24.57,25.61,23.57,24.76,827168.0
2020-04-29,25.33,26.75,25.305,26.67,952841.0
2020-04-30,25.96,26.0,23.825,23.85,914648.0
2020-05-01,23.42,24.4,23.0,24.04,648815.0
2020-05-02,23.42,24.4,23.0,24.04,648815.0
2020-05-03,23.42,24.4,23.0,24.04,648815.0
2020-05-04,23.82,24.07,22.64,23.9,639449.0
