,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity
2020-05-20,174.61,176.87,174.29,176.02,5459007.0
2020-05-21,175.74,176.65,174.47,174.94,4062440.0
2020-05-22,174.86,175.12,173.21,174.93,3589844.0
2020-05-23,174.86,175.12,173.21,174.93,3589844.0
2020-05-24,174.86,175.12,173.21,174.93,3589844.0
2020-05-25,174.86,175.12,173.21,174.93,3589844.0
2020-05-26,179.99,181.69,178.68,180.34,7110034.0
2020-05-27,184.665,185.98,183.8,185.77,7416421.0
2020-05-28,187.24,187.28,183.92,185.1,6315543.0
2020-05-29,183.08,185.87,182.53,185.58,10631071.0
2020-05-30,183.08,185.87,182.53,185.58,10631071.0
2020-05-31,183.08,185.87,182.53,185.58,10631071.0
2020-06-01,185.53,185.71,183.185,183.84,5722581.0
2020-06-02,183.99,186.44,183.99,185.94,5806026.0
2020-06-03,188.75,191.62,187.81,190.82,6710121.0
2020-06-04,190.41,192.11,189.69,192.05,5818236.0
2020-06-05,197.88,201.49,196.22,200.66,10400938.0
2020-06-06,197.88,201.49,196.22,200.66,10400938.0
2020-06-07,197.88,201.49,196.22,200.66,10400938.0
2020-06-08,202.34,203.33,199.56,201.56,6706518.0
2020-06-09,197.15,198.79,195.83,196.07,7735857.0
2020-06-10,195.85,196.34,191.37,191.51,7351508.0
2020-06-11,185.0,186.9296,177.93,178.02,15387904.0
2020-06-12,184.02,184.02,178.22,181.21,9479915.0
2020-06-13,184.02,184.02,178.22,181.21,9479915.0
2020-06-14,184.02,184.02,178.22,181.21,9479915.0
2020-06-15,177.0,181.7699,176.05,181.55,8111656.0
2020-06-16,186.55,186.7,179.75,182.3,9414597.0
2020-06-17,183.03,183.15,180.11,180.86,6458205.0
2020-06-18,179.9,181.36,179.04,180.73,4924460.0
2020-06-19,183.5,183.88,179.01,179.72,8765108.0
2020-06-20,183.5,183.88,179.01,179.72,8765108.0
2020-06-21,183.5,183.88,179.01,179.72,8765108.0
2020-06-22,179.55,181.8,178.87,180.17,5822331.0
2020-06-23,181.87,182.39,180.4,181.01,6382428.0
2020-06-24,179.61,179.65,177.26,177.53,8086306.0
2020-06-25,176.58,179.7195,176.06,178.85,6385076.0
2020-06-26,176.71,178.7,174.63,175.37,14776382.0
2020-06-27,176.71,178.7,174.63,175.37,14776382.0
2020-06-28,176.71,178.7,174.63,175.37,14776382.0
2020-06-29,175.9,177.22,175.33,177.19,5222730.0
2020-06-30,176.75,179.12,176.51,178.51,6766502.0
2020-07-01,178.41,180.45,177.34,177.99,4623976.0
2020-07-02,180.45,180.94,178.24,178.83,5165918.0
2020-07-03,180.45,180.94,178.24,178.83,5165918.0
2020-07-04,180.45,180.94,178.24,178.83,5165918.0
2020-07-05,180.45,180.94,178.24,178.83,5165918.0
2020-07-06,183.1,183.52,181.59,182.72,6449353.0
2020-07-07,182.02,182.49,180.6,181.15,4956616.0
2020-07-08,180.42,182.3119,179.77,181.2,5557679.0
2020-07-09,181.79,181.88,177.77,178.8,5424922.0
2020-07-10,178.26,182.96,178.09,182.9,5487025.0
2020-07-11,178.26,182.96,178.09,182.9,5487025.0
2020-07-12,178.26,182.96,178.09,182.9,5487025.0
2020-07-13,183.81,185.82,183.31,184.13,7888833.0
2020-07-14,182.42,190.08,182.42,189.71,14687111.0
2020-07-15,192.64,193.05,188.75,190.56,7558957.0
2020-07-16,188.32,191.93,188.32,191.01,4773368.0
2020-07-17,191.77,192.12,190.4686,190.76,5187529.0
2020-07-18,191.77,192.12,190.4686,190.76,5187529.0
2020-07-19,191.77,192.12,190.4686,190.76,5187529.0
2020-07-20,190.02,191.23,189.48,190.48,4092175.0
2020-07-21,190.4,193.45,190.4,192.27,5257941.0
2020-07-22,191.78,192.24,190.63,192.1,4184472.0
2020-07-23,191.71,193.39,191.48,193.25,6039644.0
2020-07-24,193.25,196.28,193.05,194.52,5143693.0
2020-07-25,193.25,196.28,193.05,194.52,5143693.0
2020-07-26,193.25,196.28,193.05,194.52,5143693.0
2020-07-27,193.83,193.99,191.77,192.14,4312003.0
2020-07-28,190.9,194.46,190.61,194.12,4412796.0
2020-07-29,194.03,196.67,193.73,196.41,4069954.0
2020-07-30,193.43,194.57,192.25,194.3,4834570.0
2020-07-31,195.06,196.0,193.33,195.78,5943185.0
2020-08-01,195.06,196.0,193.33,195.78,5943185.0
2020-08-02,195.06,196.0,193.33,195.78,5943185.0
2020-08-03,197.28,200.68,196.0,199.26,6253519.0
2020-08-04,198.97,200.31,198.11,200.24,3839089.0
2020-08-05,201.44,204.69,201.0,203.62,5269199.0
2020-08-06,203.0,205.39,202.7,205.02,3387477.0
2020-08-07,204.2,209.75,204.0,209.48,6191783.0
2020-08-08,204.2,209.75,204.0,209.48,6191783.0
2020-08-09,204.2,209.75,204.0,209.48,6191783.0
2020-08-10,211.34,212.92,209.4,212.58,6635745.0
2020-08-11,214.74,215.6,212.24,212.66,5689794.0
2020-08-12,213.1,214.39,212.31,213.24,4792657.0
2020-08-13,212.93,213.33,211.66,211.98,4537189.0
2020-08-14,211.04,211.97,210.25,210.96,3444703.0
2020-08-15,211.04,211.97,210.25,210.96,3444703.0
2020-08-16,211.04,211.97,210.25,210.96,3444703.0
2020-08-17,210.05,210.82,206.34,206.78,5486419.0
2020-08-18,206.95,209.76,206.8,208.33,3501913.0
2020-08-19,209.19,210.21,206.66,207.21,5831268.0
2020-08-20,205.17,206.79,204.51,206.12,4134384.0
2020-08-21,205.52,208.4,205.52,207.43,4786825.0
2020-08-22,205.52,208.4,205.52,207.43,4786825.0
2020-08-23,205.52,208.4,205.52,207.43,4786825.0
2020-08-24,209.23,213.3,208.91,212.61,5040022.0
2020-08-25,213.56,214.0,212.85,213.35,3676863.0
2020-08-26,212.98,215.83,212.3,214.66,4640785.0
2020-08-27,214.99,217.98,214.76,216.87,4814583.0
2020-08-28,217.51,218.81,215.7297,218.55,4291213.0
2020-08-29,217.51,218.81,215.7297,218.55,4291213.0
2020-08-30,217.51,218.81,215.7297,218.55,4291213.0
2020-08-31,218.62,219.45,217.65,218.04,6134606.0
2020-09-01,216.92,218.59,216.62,218.55,4134939.0
2020-09-02,218.13,222.09,218.13,221.68,5495005.0
2020-09-03,222.0,223.2399,216.43,218.15,7095354.0
2020-09-04,219.95,221.48,215.06,218.32,6042649.0
2020-09-05,219.95,221.48,215.06,218.32,6042649.0
2020-09-06,219.95,221.48,215.06,218.32,6042649.0
2020-09-07,219.95,221.48,215.06,218.32,6042649.0
2020-09-08,217.28,219.19,215.3393,217.8,7001501.0
2020-09-09,218.95,221.62,218.52,219.63,5418297.0
2020-09-10,220.54,220.68,217.15,217.8,3838665.0
2020-09-11,218.0,219.265,216.92,217.93,3437465.0
2020-09-12,218.0,219.265,216.92,217.93,3437465.0
2020-09-13,218.0,219.265,216.92,217.93,3437465.0
2020-09-14,219.0,221.32,218.3,219.94,4070857.0
2020-09-15,220.08,221.57,218.45,218.94,3864321.0
2020-09-16,220.28,222.26,219.19,219.59,5663404.0
2020-09-17,218.46,218.68,216.5,218.05,6942515.0
2020-09-18,219.08,221.01,217.83,218.21,11864010.0
2020-09-19,219.08,221.01,217.83,218.21,11864010.0
2020-09-20,219.08,221.01,217.83,218.21,11864010.0
2020-09-21,214.0,215.45,208.73,213.02,8342537.0
2020-09-22,212.54,214.75,211.7,214.16,5291711.0
2020-09-23,213.94,214.88,209.38,209.61,4424597.0
2020-09-24,209.14,210.23,206.58,208.72,3963496.0
2020-09-25,207.0,211.11,206.82,210.45,3563345.0
2020-09-26,207.0,211.11,206.82,210.45,3563345.0
2020-09-27,207.0,211.11,206.82,210.45,3563345.0
2020-09-28,213.22,215.47,212.0206,213.54,5043931.0
2020-09-29,213.59,213.59,210.24,210.44,4037925.0
2020-09-30,211.11,213.7,210.7522,212.94,5822458.0
2020-10-01,214.3,214.385,210.62,212.02,4758944.0
2020-10-02,209.84,213.68,209.53,211.18,4421401.0
2020-10-03,209.84,213.68,209.53,211.18,4421401.0
2020-10-04,209.84,213.68,209.53,211.18,4421401.0
2020-10-05,213.09,213.9,212.05,212.36,3649194.0
2020-10-06,212.65,213.48,209.65,210.26,5315644.0
2020-10-07,212.33,214.67,211.36,213.29,3759814.0
2020-10-08,214.39,215.69,213.44,215.15,3612138.0
2020-10-09,215.88,216.2924,214.16,215.68,3091717.0
2020-10-10,215.88,216.2924,214.16,215.68,3091717.0
2020-10-11,215.88,216.2924,214.16,215.68,3091717.0
2020-10-12,216.74,217.43,215.12,216.41,3903098.0
2020-10-13,215.76,216.38,212.0,212.31,4850195.0
2020-10-14,212.02,212.35,210.54,210.91,5026903.0
2020-10-15,209.27,211.99,208.22,211.65,3063809.0
2020-10-16,211.84,213.8253,211.81,211.91,3630992.0
2020-10-17,211.84,213.8253,211.81,211.91,3630992.0
2020-10-18,211.84,213.8253,211.81,211.91,3630992.0
2020-10-19,212.16,212.32,208.2,208.99,3413786.0
2020-10-20,209.63,211.45,209.41,210.06,3888817.0
2020-10-21,208.97,211.38,208.6103,210.18,3196330.0
2020-10-22,209.63,211.78,209.23,211.61,2949963.0
2020-10-23,212.43,213.87,211.73,212.71,2831432.0
2020-10-24,212.43,213.87,211.73,212.71,2831432.0
2020-10-25,212.43,213.87,211.73,212.71,2831432.0
2020-10-26,209.64,210.26,207.0,208.49,4717982.0
2020-10-27,208.0,208.48,206.58,206.88,3039192.0
2020-10-28,202.68,203.88,199.79,200.7,7538290.0
2020-10-29,200.03,202.955,197.81,201.51,5227943.0
2020-10-30,200.51,202.271,198.7,201.9,5755622.0
2020-10-31,200.51,202.271,198.7,201.9,5755622.0
2020-11-01,200.51,202.271,198.7,201.9,5755622.0
2020-11-02,204.84,206.18,203.06,204.31,5940592.0
2020-11-03,206.93,209.8007,206.36,206.63,5472813.0
2020-11-04,206.59,210.15,204.78,206.17,5978686.0
2020-11-05,208.69,210.86,206.97,207.45,5940982.0
2020-11-06,208.45,210.26,207.5875,208.85,4324663.0
2020-11-07,208.45,210.26,207.5875,208.85,4324663.0
2020-11-08,208.45,210.26,207.5875,208.85,4324663.0
2020-11-09,221.97,225.23,218.01,221.5,11343436.0
2020-11-10,221.82,228.61,220.94,228.48,7059371.0
2020-11-11,228.5,228.98,225.4701,227.37,4789221.0
2020-11-12,225.01,225.88,223.18,224.72,5111764.0
2020-11-13,226.5,228.145,225.29,227.42,4790845.0
2020-11-14,226.5,228.145,225.29,227.42,4790845.0
2020-11-15,226.5,228.145,225.29,227.42,4790845.0
2020-11-16,230.58,233.46,229.86,233.1,5768612.0
2020-11-17,231.93,234.97,230.01,233.16,5040020.0
2020-11-18,233.57,234.476,230.0,230.07,4741785.0
2020-11-19,229.67,229.97,227.6154,229.53,4623632.0
2020-11-20,228.78,229.72,226.771,227.01,4028442.0
2020-11-21,228.78,229.72,226.771,227.01,4028442.0
2020-11-22,228.78,229.72,226.771,227.01,4028442.0
2020-11-23,229.77,230.5,228.0442,229.54,3632543.0
2020-11-24,232.45,234.99,231.24,233.92,4714771.0
2020-11-25,233.92,234.0,232.0104,233.13,3249877.0
2020-11-26,233.92,234.0,232.0104,233.13,3249877.0
2020-11-27,233.1,234.17,230.45,231.55,1935806.0
2020-11-28,233.1,234.17,230.45,231.55,1935806.0
2020-11-29,233.1,234.17,230.45,231.55,1935806.0
2020-11-30,231.19,231.29,228.165,228.91,5989549.0
2020-12-01,230.23,231.98,229.34,229.68,4442626.0
2020-12-02,229.8,230.59,228.31,230.42,4681526.0
2020-12-03,230.0,231.5,228.87,231.02,4699041.0
2020-12-04,230.24,231.89,230.24,231.35,4753002.0
2020-12-05,230.24,231.89,230.24,231.35,4753002.0
2020-12-06,230.24,231.89,230.24,231.35,4753002.0
2020-12-07,231.26,231.26,228.1,229.24,4743430.0
2020-12-08,227.46,228.735,226.61,228.19,4590686.0
2020-12-09,228.57,228.9,226.635,227.51,4874314.0
2020-12-10,226.45,227.87,225.728,227.35,4567434.0
2020-12-11,225.2,226.73,224.595,226.39,4028353.0
2020-12-12,225.2,226.73,224.595,226.39,4028353.0
2020-12-13,225.2,226.73,224.595,226.39,4028353.0
2020-12-14,227.68,228.06,222.36,222.85,6545455.0
2020-12-15,224.83,225.86,222.73,224.38,5169074.0
2020-12-16,225.48,225.48,221.82,221.91,7994869.0
2020-12-17,222.51,225.02,221.6673,224.68,7390467.0
2020-12-18,224.79,225.2,221.68,223.43,20672799.0
2020-12-19,224.79,225.2,221.68,223.43,20672799.0
2020-12-20,224.79,225.2,221.68,223.43,20672799.0
2020-12-21,222.02,224.2,221.26,223.49,7376589.0
2020-12-22,223.58,223.75,221.76,221.88,6165628.0
2020-12-23,222.63,224.91,222.61,224.24,4984149.0
2020-12-24,224.6,227.125,224.21,226.53,2386994.0
2020-12-25,224.6,227.125,224.21,226.53,2386994.0
2020-12-26,224.6,227.125,224.21,226.53,2386994.0
2020-12-27,224.6,227.125,224.21,226.53,2386994.0
2020-12-28,228.09,230.15,227.36,228.41,3507318.0
2020-12-29,230.5,231.1,229.1,229.57,3800358.0
2020-12-30,229.54,230.585,229.08,229.65,3257957.0
2020-12-31,229.28,232.28,228.89,231.87,4228870.0
2021-01-01,229.28,232.28,228.89,231.87,4228870.0
2021-01-02,229.28,232.28,228.89,231.87,4228870.0
2021-01-03,229.28,232.28,228.89,231.87,4228870.0
2021-01-04,231.73,231.87,226.85,228.45,7405706.0
2021-01-05,228.21,230.1,226.847,227.47,5531573.0
2021-01-06,229.49,232.68,227.55,230.27,9012829.0
2021-01-07,232.78,233.9643,231.33,232.88,4693848.0
2021-01-08,233.54,234.6,231.72,234.03,4850601.0
2021-01-09,233.54,234.6,231.72,234.03,4850601.0
2021-01-10,233.54,234.6,231.72,234.03,4850601.0
2021-01-11,231.22,233.92,231.02,233.43,3882330.0
2021-01-12,233.31,233.98,231.7,233.03,5618722.0
2021-01-13,232.0,234.95,231.71,234.51,3828413.0
2021-01-14,234.79,235.7,233.8372,235.02,4530181.0
2021-01-15,234.1,234.59,231.91,233.49,5226415.0
2021-01-16,234.1,234.59,231.91,233.49,5226415.0
2021-01-17,234.1,234.59,231.91,233.49,5226415.0
2021-01-18,234.1,234.59,231.91,233.49,5226415.0
2021-01-19,234.64,236.24,231.7,234.55,5503127.0
2021-01-20,234.0,235.2,233.24,234.76,4876514.0
2021-01-21,235.22,236.2,234.08,234.16,4319793.0
2021-01-22,232.5,233.83,232.21,232.92,4465090.0
2021-01-23,232.5,233.83,232.21,232.92,4465090.0
2021-01-24,232.5,233.83,232.21,232.92,4465090.0
2021-01-25,231.67,233.52,230.45,233.01,5098897.0
2021-01-26,233.0,233.5,231.33,231.57,3945915.0
2021-01-27,230.0,230.0,226.1,227.36,8230374.0
2021-01-28,229.76,233.51,228.16,230.95,5943918.0
2021-01-29,229.45,229.97,227.21,227.87,6388092.0
2021-01-30,229.45,229.97,227.21,227.87,6388092.0
2021-01-31,229.45,229.97,227.21,227.87,6388092.0
2021-02-01,229.9699,230.5,228.04,229.32,4068409.0
2021-02-02,231.21,233.43,230.665,232.24,5302328.0
2021-02-03,232.4,233.16,231.28,232.68,3807540.0
2021-02-04,232.84,235.905,232.41,235.77,4452386.0
2021-02-05,236.98,236.98,234.83,235.16,3812966.0
2021-02-06,236.98,236.98,234.83,235.16,3812966.0
2021-02-07,236.98,236.98,234.83,235.16,3812966.0
2021-02-08,236.0,237.56,235.35,237.42,3329703.0
2021-02-09,237.07,240.78,235.66,239.91,4774458.0
2021-02-10,241.43,241.52,239.04,239.92,3825592.0
2021-02-11,239.36,240.44,238.88,239.76,2909640.0
2021-02-12,238.07,242.76,238.03,242.46,3422107.0
2021-02-13,238.07,242.76,238.03,242.46,3422107.0
2021-02-14,238.07,242.76,238.03,242.46,3422107.0
2021-02-15,238.07,242.76,238.03,242.46,3422107.0
2021-02-16,244.14,247.26,242.82,245.28,4726101.0
2021-02-17,244.14,246.19,244.0,245.25,4323241.0
2021-02-18,244.73,245.49,241.67,243.5,4049896.0
2021-02-19,244.2,244.95,241.36,241.85,4254656.0
2021-02-20,244.2,244.95,241.36,241.85,4254656.0
2021-02-21,244.2,244.95,241.36,241.85,4254656.0
2021-02-22,240.89,245.9801,240.8,244.97,4013145.0
2021-02-23,245.56,246.57,243.29,245.53,5455367.0
2021-02-24,245.15,249.55,245.15,248.45,5106898.0
2021-02-25,248.07,250.56,242.927,243.69,6459817.0
2021-02-26,245.15,245.15,240.25,240.51,8087759.0
2021-02-27,245.15,245.15,240.25,240.51,8087759.0
2021-02-28,245.15,245.15,240.25,240.51,8087759.0
2021-03-01,246.86,250.55,246.09,249.21,6334166.0
2021-03-02,249.12,251.34,248.37,249.22,4686124.0
2021-03-03,249.73,254.81,249.29,251.55,6093204.0
2021-03-04,251.08,252.55,243.23,245.48,7843543.0
2021-03-05,248.89,253.45,247.325,253.15,6401890.0
2021-03-06,248.89,253.45,247.325,253.15,6401890.0
2021-03-07,248.89,253.45,247.325,253.15,6401890.0
2021-03-08,255.6,260.23,253.73,257.61,7135779.0
2021-03-09,258.55,262.94,255.61,259.02,8276597.0
2021-03-10,260.3,267.5,259.64,263.99,8945700.0
2021-03-11,264.22,264.8,260.4199,260.91,5921549.0
2021-03-12,262.4,264.65,259.67,260.02,4498086.0
2021-03-13,262.4,264.65,259.67,260.02,4498086.0
2021-03-14,262.4,264.65,259.67,260.02,4498086.0
2021-03-15,260.31,260.44,253.52,254.61,6979049.0
2021-03-16,254.53,254.53,249.82,251.5,6720786.0
2021-03-17,252.02,254.28,250.6601,252.0,6775745.0
2021-03-18,253.76,255.64,251.38,252.46,5558018.0
2021-03-19,252.31,252.5,248.52,250.99,16649846.0
2021-03-20,252.31,252.5,248.52,250.99,16649846.0
2021-03-21,252.31,252.5,248.52,250.99,16649846.0
2021-03-22,250.6,251.67,248.86,250.36,5370835.0
2021-03-23,250.2,251.17,247.71,248.31,4624233.0
2021-03-24,249.55,251.89,248.5,249.63,4167843.0
2021-03-25,249.38,251.53,246.79,250.75,5505215.0
2021-03-26,252.75,257.39,252.42,256.77,5801970.0
2021-03-27,252.75,257.39,252.42,256.77,5801970.0
2021-03-28,252.75,257.39,252.42,256.77,5801970.0
2021-03-29,253.93,260.05,253.3,258.82,6643130.0
2021-03-30,259.94,261.0,257.24,258.19,3879346.0
2021-03-31,256.86,257.68,255.17,255.47,6580741.0
2021-04-01,255.74,258.47,254.8,258.2,5573842.0
2021-04-02,255.74,258.47,254.8,258.2,5573842.0
2021-04-03,255.74,258.47,254.8,258.2,5573842.0
2021-04-04,255.74,258.47,254.8,258.2,5573842.0
2021-04-05,260.02,263.35,260.0,262.66,5050565.0
2021-04-06,262.86,263.34,261.94,263.06,3069093.0
2021-04-07,262.99,264.34,262.4003,263.62,3585586.0
2021-04-08,262.72,263.93,261.911,263.51,3113946.0
2021-04-09,264.22,266.24,263.35,266.01,6054022.0
2021-04-10,264.22,266.24,263.35,266.01,6054022.0
2021-04-11,264.22,266.24,263.35,266.01,6054022.0
2021-04-12,266.53,268.34,266.53,267.93,4294469.0
2021-04-13,267.42,268.2,266.05,267.1,3558493.0
2021-04-14,267.31,268.44,267.15,267.53,3124048.0
2021-04-15,268.06,269.28,266.3943,269.14,3921101.0
2021-04-16,270.47,272.97,270.11,272.11,4710925.0
2021-04-17,270.47,272.97,270.11,272.11,4710925.0
2021-04-18,270.47,272.97,270.11,272.11,4710925.0
2021-04-19,272.3,272.92,268.8475,270.28,4235932.0
