,PAR US Equity,PAR US Equity,PAR US Equity,PAR US Equity,PAR US Equity
2020-07-21,30.09,30.58,29.88,30.11,134721.0
2020-07-22,30.03,31.78,30.03,31.03,204014.0
2020-07-23,31.01,32.33,30.195,30.82,199361.0
2020-07-24,30.42,31.02,29.47,29.84,201627.0
2020-07-25,30.42,31.02,29.47,29.84,201627.0
2020-07-26,30.42,31.02,29.47,29.84,201627.0
2020-07-27,29.83,31.23,29.54,31.08,135114.0
2020-07-28,30.65,32.35,30.65,31.1,199926.0
2020-07-29,31.0,32.5,30.37,32.16,256962.0
2020-07-30,31.47,31.93,30.28,31.43,146196.0
2020-07-31,31.8,31.91,30.3,30.76,166125.0
2020-08-01,31.8,31.91,30.3,30.76,166125.0
2020-08-02,31.8,31.91,30.3,30.76,166125.0
2020-08-03,30.92,31.73,30.19,31.31,166821.0
2020-08-04,31.22,33.44,30.67,32.88,369998.0
2020-08-05,33.95,36.26,32.92,34.47,339895.0
2020-08-06,34.31,35.33,33.78,34.95,160494.0
2020-08-07,33.52,36.26,30.76,34.59,305042.0
2020-08-08,33.52,36.26,30.76,34.59,305042.0
2020-08-09,33.52,36.26,30.76,34.59,305042.0
2020-08-10,35.07,36.26,33.63,34.34,164358.0
2020-08-11,34.76,36.02,34.43,35.17,243814.0
2020-08-12,35.84,36.0,34.76,35.08,220032.0
2020-08-13,35.0,36.49,34.83,35.99,142275.0
2020-08-14,35.8,35.8,34.74,35.22,104103.0
2020-08-15,35.8,35.8,34.74,35.22,104103.0
2020-08-16,35.8,35.8,34.74,35.22,104103.0
2020-08-17,35.44,35.69,35.15,35.44,86589.0
2020-08-18,35.44,35.69,34.72,34.88,105760.0
2020-08-19,35.01,36.88,34.73,36.69,174602.0
2020-08-20,36.41,39.975,36.4,38.8,498288.0
2020-08-21,38.38,39.095,37.99,38.67,131744.0
2020-08-22,38.38,39.095,37.99,38.67,131744.0
2020-08-23,38.38,39.095,37.99,38.67,131744.0
2020-08-24,39.21,40.35,37.31,37.91,726429.0
2020-08-25,38.1,38.1703,36.66,37.35,178703.0
2020-08-26,37.75,38.07,36.84,36.97,158156.0
2020-08-27,37.21,37.47,36.29,36.69,115636.0
2020-08-28,36.92,37.15,36.5,37.05,72965.0
2020-08-29,36.92,37.15,36.5,37.05,72965.0
2020-08-30,36.92,37.15,36.5,37.05,72965.0
2020-08-31,37.15,37.7,36.56,37.34,122740.0
2020-09-01,37.19,40.8299,36.99,40.69,227246.0
2020-09-02,41.0,41.0,38.56,40.23,261081.0
2020-09-03,40.0,40.01,36.2945,37.47,281309.0
2020-09-04,37.96,37.96,34.7601,36.56,274132.0
2020-09-05,37.96,37.96,34.7601,36.56,274132.0
2020-09-06,37.96,37.96,34.7601,36.56,274132.0
2020-09-07,37.96,37.96,34.7601,36.56,274132.0
2020-09-08,36.56,38.53,35.4,37.9,231972.0
2020-09-09,38.54,40.27,38.16,40.09,187363.0
2020-09-10,40.69,41.85,40.69,41.51,244624.0
2020-09-11,41.76,42.7199,40.67,41.34,233510.0
2020-09-12,41.76,42.7199,40.67,41.34,233510.0
2020-09-13,41.76,42.7199,40.67,41.34,233510.0
2020-09-14,42.29,42.35,40.56,41.82,272608.0
2020-09-15,43.85,46.49,43.0,43.33,322367.0
2020-09-16,43.55,44.21,41.48,42.06,315589.0
2020-09-17,41.31,42.94,41.05,42.83,190575.0
2020-09-18,43.24,44.4805,42.3,43.27,503664.0
2020-09-19,43.24,44.4805,42.3,43.27,503664.0
2020-09-20,43.24,44.4805,42.3,43.27,503664.0
2020-09-21,42.25,42.7,40.65,42.21,326065.0
2020-09-22,42.61,43.77,41.74,43.71,182188.0
2020-09-23,43.87,44.34,41.56,42.01,251423.0
2020-09-24,41.25,43.08,40.49,42.16,169769.0
2020-09-25,41.91,43.75,41.706,43.4,153852.0
2020-09-26,41.91,43.75,41.706,43.4,153852.0
2020-09-27,41.91,43.75,41.706,43.4,153852.0
2020-09-28,44.15,45.3399,43.97,44.72,153570.0
2020-09-29,44.51,44.97,43.57,44.28,164724.0
2020-09-30,43.08,43.78,39.94,40.51,682430.0
2020-10-01,36.75,37.35,35.44,36.85,3436016.0
2020-10-02,35.76,37.98,35.5014,37.58,702531.0
2020-10-03,35.76,37.98,35.5014,37.58,702531.0
2020-10-04,35.76,37.98,35.5014,37.58,702531.0
2020-10-05,38.0,38.3,37.3,37.88,456092.0
2020-10-06,38.01,38.25,36.49,36.5,387743.0
2020-10-07,37.36,38.03,37.03,37.62,329484.0
2020-10-08,38.0,38.0,36.33,36.59,174990.0
2020-10-09,37.12,37.15,36.0,36.13,239143.0
2020-10-10,37.12,37.15,36.0,36.13,239143.0
2020-10-11,37.12,37.15,36.0,36.13,239143.0
2020-10-12,36.13,36.235,35.16,35.86,323578.0
2020-10-13,36.21,37.94,36.1,37.53,536690.0
2020-10-14,37.62,38.93,37.62,38.3,523073.0
2020-10-15,37.88,38.8,36.13,38.57,288916.0
2020-10-16,38.55,39.82,38.535,38.66,220022.0
2020-10-17,38.55,39.82,38.535,38.66,220022.0
2020-10-18,38.55,39.82,38.535,38.66,220022.0
2020-10-19,39.03,39.75,37.53,37.75,236205.0
2020-10-20,38.93,39.3,37.21,37.45,255958.0
2020-10-21,37.52,37.81,36.45,36.84,203373.0
2020-10-22,36.84,38.25,36.8,37.8,313104.0
2020-10-23,38.0,38.17,36.67,38.0,217090.0
2020-10-24,38.0,38.17,36.67,38.0,217090.0
2020-10-25,38.0,38.17,36.67,38.0,217090.0
2020-10-26,37.44,37.95,36.25,37.43,247389.0
2020-10-27,37.56,38.19,37.4,38.05,147974.0
2020-10-28,37.14,37.61,36.28,36.49,255625.0
2020-10-29,36.18,38.22,36.12,37.99,151182.0
2020-10-30,37.84,37.84,36.0,36.97,181997.0
2020-10-31,37.84,37.84,36.0,36.97,181997.0
2020-11-01,37.84,37.84,36.0,36.97,181997.0
2020-11-02,37.2,39.04,37.0,39.03,465088.0
2020-11-03,39.39,39.93,38.5714,39.63,244566.0
2020-11-04,39.36,41.22,39.36,40.37,213514.0
2020-11-05,40.5,42.99,40.49,42.57,349787.0
2020-11-06,44.89,45.74,42.11,43.27,542800.0
2020-11-07,44.89,45.74,42.11,43.27,542800.0
2020-11-08,44.89,45.74,42.11,43.27,542800.0
2020-11-09,47.36,47.36,42.24,42.59,457749.0
2020-11-10,42.89,43.55,40.9,43.1,274597.0
2020-11-11,43.86,47.3681,43.47,47.09,335349.0
2020-11-12,46.97,50.05,46.14,47.45,264540.0
2020-11-13,47.91,48.37,46.46,48.09,184170.0
2020-11-14,47.91,48.37,46.46,48.09,184170.0
2020-11-15,47.91,48.37,46.46,48.09,184170.0
2020-11-16,48.72,50.67,48.6125,50.49,307263.0
2020-11-17,50.04,50.235,47.92,49.84,324282.0
2020-11-18,50.1,51.69,49.41,50.88,207248.0
2020-11-19,50.81,52.82,50.81,52.66,200483.0
2020-11-20,52.59,54.38,52.23,53.87,181259.0
2020-11-21,52.59,54.38,52.23,53.87,181259.0
2020-11-22,52.59,54.38,52.23,53.87,181259.0
2020-11-23,54.13,55.48,54.02,54.67,154452.0
2020-11-24,54.85,55.77,54.07,54.98,198191.0
2020-11-25,54.89,57.0,54.2201,56.03,202477.0
2020-11-26,54.89,57.0,54.2201,56.03,202477.0
2020-11-27,56.04,56.68,55.175,55.51,149400.0
2020-11-28,56.04,56.68,55.175,55.51,149400.0
2020-11-29,56.04,56.68,55.175,55.51,149400.0
2020-11-30,55.58,56.34,52.99,53.98,532799.0
2020-12-01,56.38,58.89,55.84,56.13,289907.0
2020-12-02,55.63,55.63,53.69,53.77,160724.0
2020-12-03,53.96,56.01,53.8865,54.99,208141.0
2020-12-04,55.67,58.48,55.45,58.0,209793.0
2020-12-05,55.67,58.48,55.45,58.0,209793.0
2020-12-06,55.67,58.48,55.45,58.0,209793.0
2020-12-07,57.65,60.0,55.38,56.69,196889.0
2020-12-08,56.6,58.53,56.6,57.84,170830.0
2020-12-09,58.4,60.5,57.1,57.46,179957.0
2020-12-10,56.68,58.75,56.04,58.09,142450.0
2020-12-11,57.36,59.45,57.11,57.95,160039.0
2020-12-12,57.36,59.45,57.11,57.95,160039.0
2020-12-13,57.36,59.45,57.11,57.95,160039.0
2020-12-14,60.54,62.21,59.73,61.56,282397.0
2020-12-15,61.86,64.4,61.11,64.4,244549.0
2020-12-16,66.11,67.56,63.8245,65.53,230510.0
2020-12-17,65.53,69.85,65.53,67.5,497513.0
2020-12-18,66.9,68.3084,65.5,65.59,1008507.0
2020-12-19,66.9,68.3084,65.5,65.59,1008507.0
2020-12-20,66.9,68.3084,65.5,65.59,1008507.0
2020-12-21,63.68,64.65,62.43,64.41,218475.0
2020-12-22,64.95,65.71,64.0,65.11,152452.0
2020-12-23,65.32,67.07,64.7302,66.29,166892.0
2020-12-24,66.53,68.25,66.45,66.83,54324.0
2020-12-25,66.53,68.25,66.45,66.83,54324.0
2020-12-26,66.53,68.25,66.45,66.83,54324.0
2020-12-27,66.53,68.25,66.45,66.83,54324.0
2020-12-28,68.06,68.47,65.39,65.73,115152.0
2020-12-29,65.86,66.22,62.65,63.08,159349.0
2020-12-30,63.3,64.21,62.82,62.97,153887.0
2020-12-31,62.84,63.98,62.43,62.79,150721.0
2021-01-01,62.84,63.98,62.43,62.79,150721.0
2021-01-02,62.84,63.98,62.43,62.79,150721.0
2021-01-03,62.84,63.98,62.43,62.79,150721.0
2021-01-04,62.88,63.0,58.48,60.23,280251.0
2021-01-05,59.96,61.35,59.6,60.42,143683.0
2021-01-06,62.1,64.35,60.82,63.19,737757.0
2021-01-07,64.23,65.57,62.44,63.43,211853.0
2021-01-08,63.5,63.9899,61.12,62.11,115698.0
2021-01-09,63.5,63.9899,61.12,62.11,115698.0
2021-01-10,63.5,63.9899,61.12,62.11,115698.0
2021-01-11,61.34,61.83,60.58,60.89,116889.0
2021-01-12,60.92,61.4,58.93,59.32,236344.0
2021-01-13,62.9,68.25,61.74,66.47,625755.0
2021-01-14,66.83,70.18,66.39,69.98,451864.0
2021-01-15,68.98,69.79,67.43,68.61,182922.0
2021-01-16,68.98,69.79,67.43,68.61,182922.0
2021-01-17,68.98,69.79,67.43,68.61,182922.0
2021-01-18,68.98,69.79,67.43,68.61,182922.0
2021-01-19,70.14,73.095,68.76,72.95,321575.0
2021-01-20,73.64,75.89,72.84,73.67,438798.0
2021-01-21,74.05,74.68,70.8575,71.84,181343.0
2021-01-22,71.0,73.04,69.11,70.5,161307.0
2021-01-23,71.0,73.04,69.11,70.5,161307.0
2021-01-24,71.0,73.04,69.11,70.5,161307.0
2021-01-25,70.81,73.5,69.66,72.99,203727.0
2021-01-26,73.5,74.55,68.36,68.67,182022.0
2021-01-27,66.62,68.57,64.17,64.42,238631.0
2021-01-28,65.62,66.56,63.75,65.91,175779.0
2021-01-29,65.92,66.76,61.19,62.26,208920.0
2021-01-30,65.92,66.76,61.19,62.26,208920.0
2021-01-31,65.92,66.76,61.19,62.26,208920.0
2021-02-01,63.32,70.0,63.22,68.87,644151.0
2021-02-02,69.92,74.0,69.785,73.78,254773.0
2021-02-03,74.31,76.62,73.81,76.15,162719.0
2021-02-04,76.26,78.79,76.065,78.58,144994.0
2021-02-05,80.86,81.555,78.36,79.18,328492.0
2021-02-06,80.86,81.555,78.36,79.18,328492.0
2021-02-07,80.86,81.555,78.36,79.18,328492.0
2021-02-08,80.22,81.0,78.0188,79.59,160410.0
2021-02-09,79.48,81.58,78.7501,81.14,108848.0
2021-02-10,81.75,84.49,80.9123,83.33,219282.0
2021-02-11,82.93,84.5199,81.29,83.91,161521.0
2021-02-12,83.56,85.22,82.99,83.64,84268.0
2021-02-13,83.56,85.22,82.99,83.64,84268.0
2021-02-14,83.56,85.22,82.99,83.64,84268.0
2021-02-15,83.56,85.22,82.99,83.64,84268.0
2021-02-16,84.26,85.25,81.834,83.42,178566.0
2021-02-17,82.31,84.38,81.375,83.98,122691.0
2021-02-18,82.88,85.5,81.285,84.18,109228.0
2021-02-19,84.85,87.33,84.25,85.32,118158.0
2021-02-20,84.85,87.33,84.25,85.32,118158.0
2021-02-21,84.85,87.33,84.25,85.32,118158.0
2021-02-22,87.09,90.0,86.55,88.71,209180.0
2021-02-23,84.59,87.429,82.02,85.01,304986.0
2021-02-24,84.19,86.7,83.28,86.31,147669.0
2021-02-25,85.92,86.84,83.21,84.4,178718.0
2021-02-26,86.19,89.4,85.46,86.88,294582.0
2021-02-27,86.19,89.4,85.46,86.88,294582.0
2021-02-28,86.19,89.4,85.46,86.88,294582.0
2021-03-01,88.64,88.88,86.85,87.83,210278.0
2021-03-02,87.99,90.35,85.005,86.58,656557.0
2021-03-03,85.89,87.05,80.56,81.22,257055.0
2021-03-04,80.01,80.1,70.15,71.67,463090.0
2021-03-05,71.76,74.09,66.8012,73.81,466351.0
2021-03-06,71.76,74.09,66.8012,73.81,466351.0
2021-03-07,71.76,74.09,66.8012,73.81,466351.0
2021-03-08,73.35,74.5,67.47,67.62,289818.0
2021-03-09,69.74,73.47,69.74,72.58,201788.0
2021-03-10,73.02,77.99,73.02,76.3,208019.0
2021-03-11,77.96,79.66,76.15,77.63,129142.0
2021-03-12,77.13,79.12,75.14,77.85,219217.0
2021-03-13,77.13,79.12,75.14,77.85,219217.0
2021-03-14,77.13,79.12,75.14,77.85,219217.0
2021-03-15,79.82,79.82,73.75,74.57,258048.0
2021-03-16,78.99,78.99,72.67,75.19,319144.0
2021-03-17,73.85,80.56,73.1474,78.74,385932.0
2021-03-18,76.96,80.55,75.72,77.16,214902.0
2021-03-19,78.62,80.41,76.82,78.54,303397.0
2021-03-20,78.62,80.41,76.82,78.54,303397.0
2021-03-21,78.62,80.41,76.82,78.54,303397.0
2021-03-22,79.41,80.21,77.96,79.12,253200.0
2021-03-23,78.88,79.25,74.98,76.33,273931.0
2021-03-24,77.13,77.53,70.23,70.31,222903.0
2021-03-25,69.14,71.36,67.62,70.5,216628.0
2021-03-26,71.28,71.86,68.72,70.23,167739.0
2021-03-27,71.28,71.86,68.72,70.23,167739.0
2021-03-28,71.28,71.86,68.72,70.23,167739.0
2021-03-29,69.9,69.9,62.53,62.56,287160.0
2021-03-30,62.01,65.435,60.0,64.56,321557.0
2021-03-31,65.09,66.88,64.01,65.41,500994.0
2021-04-01,66.89,68.47,65.45,65.99,232254.0
2021-04-02,66.89,68.47,65.45,65.99,232254.0
2021-04-03,66.89,68.47,65.45,65.99,232254.0
2021-04-04,66.89,68.47,65.45,65.99,232254.0
2021-04-05,67.36,67.95,64.16,64.19,133640.0
2021-04-06,64.01,65.8,63.16,64.97,147745.0
2021-04-07,64.37,65.39,61.92,62.32,148838.0
2021-04-08,63.0,82.0,63.0,78.21,1555019.0
2021-04-09,79.21,83.755,78.5,83.72,965299.0
2021-04-10,79.21,83.755,78.5,83.72,965299.0
2021-04-11,79.21,83.755,78.5,83.72,965299.0
2021-04-12,83.72,85.9,82.47,84.72,333847.0
2021-04-13,85.01,86.27,80.755,80.88,378537.0
2021-04-14,79.7,81.45,77.11,77.75,710476.0
2021-04-15,78.45,81.23,77.02,80.75,357452.0
2021-04-16,81.99,84.25,80.19,80.33,355125.0
2021-04-17,81.99,84.25,80.19,80.33,355125.0
2021-04-18,81.99,84.25,80.19,80.33,355125.0
2021-04-19,80.4,80.4,75.39,78.0,583447.0
2021-04-20,77.4,77.895,73.71,75.34,353866.0
2021-04-21,75.26,76.5,73.0,75.92,323340.0
2021-04-22,76.32,83.2,76.0,77.67,445847.0
2021-04-23,77.78,81.555,77.78,79.26,186037.0
2021-04-24,77.78,81.555,77.78,79.26,186037.0
2021-04-25,77.78,81.555,77.78,79.26,186037.0
2021-04-26,79.31,81.705,78.8186,81.38,169825.0
2021-04-27,81.8,82.679,80.372,81.3,94281.0
2021-04-28,80.6,84.3,80.6,82.03,280867.0
2021-04-29,82.42,83.09,79.8,82.38,160733.0
2021-04-30,80.75,84.73,80.75,82.14,190286.0
2021-05-01,80.75,84.73,80.75,82.14,190286.0
2021-05-02,80.75,84.73,80.75,82.14,190286.0
2021-05-03,83.0,83.12,80.75,82.28,157668.0
2021-05-04,80.55,81.88,77.21,78.89,210064.0
2021-05-05,79.1,79.938,77.46,77.67,124242.0
2021-05-06,77.4,77.45,74.08,75.22,288894.0
2021-05-07,76.23,79.33,75.32,78.21,147306.0
