,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity
2020-07-26,113.1063,113.365,108.9853,109.7903,920663.0
2020-07-27,110.4803,111.6879,109.5028,111.4579,761331.0
2020-07-28,110.7295,111.9275,108.947,109.1099,465151.0
2020-07-29,109.0236,111.18,108.6403,110.8254,541661.0
2020-07-30,108.7457,111.017,107.7203,110.8733,529231.0
2020-07-31,110.5187,111.5537,108.8224,111.41,769317.0
2020-08-01,110.5187,111.5537,108.8224,111.41,769317.0
2020-08-02,110.5187,111.5537,108.8224,111.41,769317.0
2020-08-03,111.8221,113.4896,111.2183,112.5696,537427.0
2020-08-04,112.0904,114.8409,111.8364,114.5438,996381.0
2020-08-05,116.8535,116.8535,110.6529,111.8891,1293249.0
2020-08-06,111.0745,113.0392,109.6562,110.0108,784415.0
2020-08-07,109.0045,110.0683,108.1515,109.9916,678383.0
2020-08-08,109.0045,110.0683,108.1515,109.9916,678383.0
2020-08-09,109.0045,110.0683,108.1515,109.9916,678383.0
2020-08-10,109.4741,110.2216,108.2761,108.2953,675875.0
2020-08-11,109.6466,114.9559,109.1674,112.33,1123210.0
2020-08-12,113.5663,113.5663,111.4387,111.755,855920.0
2020-08-13,111.0458,111.1847,109.0639,109.8095,490761.0
2020-08-14,108.8607,109.1194,108.1156,108.7936,533088.0
2020-08-15,108.8607,109.1194,108.1156,108.7936,533088.0
2020-08-16,108.8607,109.1194,108.1156,108.7936,533088.0
2020-08-17,109.2632,110.327,108.669,108.8895,407914.0
2020-08-18,108.947,109.5699,106.1581,106.3594,750190.0
2020-08-19,106.254,108.2378,106.1773,107.3273,541041.0
2020-08-20,106.6756,108.4294,106.4073,107.6436,630188.0
2020-08-21,107.3369,107.404,105.9281,106.5223,556490.0
2020-08-22,107.3369,107.404,105.9281,106.5223,556490.0
2020-08-23,107.3369,107.404,105.9281,106.5223,556490.0
2020-08-24,107.407,109.0419,107.0801,107.984,540967.0
2020-08-25,108.2052,109.138,106.8974,107.8494,491916.0
2020-08-26,107.6859,107.9311,105.8684,106.907,1026415.0
2020-08-27,108.2052,111.1286,107.5417,110.4362,1177836.0
2020-08-28,110.6767,111.3979,109.3977,110.9171,578548.0
2020-08-29,110.6767,111.3979,109.3977,110.9171,578548.0
2020-08-30,110.6767,111.3979,109.3977,110.9171,578548.0
2020-08-31,110.5997,110.5997,108.3879,109.2919,631394.0
2020-09-01,108.4168,109.1284,105.9069,108.2725,1097007.0
2020-09-02,109.5611,113.3404,108.6187,113.0231,1080820.0
2020-09-03,112.523,113.0231,107.032,107.8686,919022.0
2020-09-04,109.3784,110.994,107.2628,109.8689,1383562.0
2020-09-05,109.3784,110.994,107.2628,109.8689,1383562.0
2020-09-06,109.3784,110.994,107.2628,109.8689,1383562.0
2020-09-07,109.3784,110.994,107.2628,109.8689,1383562.0
2020-09-08,107.8398,109.7823,107.3109,107.4359,1157197.0
2020-09-09,108.1571,108.4649,105.3203,106.3108,637934.0
2020-09-10,106.7435,107.7532,105.1664,105.8588,1083303.0
2020-09-11,105.0606,107.2724,104.8683,107.0512,1073797.0
2020-09-12,105.0606,107.2724,104.8683,107.0512,1073797.0
2020-09-13,105.0606,107.2724,104.8683,107.0512,1073797.0
2020-09-14,108.0513,110.4122,107.5705,108.8111,765170.0
2020-09-15,108.9745,111.0806,108.8591,109.8016,468891.0
2020-09-16,110.6959,112.1768,109.2834,109.5419,894225.0
2020-09-17,107.7725,110.0901,107.4744,109.8496,908856.0
2020-09-18,110.5901,110.8401,107.8686,108.4937,1240261.0
2020-09-19,110.5901,110.8401,107.8686,108.4937,1240261.0
2020-09-20,110.5901,110.8401,107.8686,108.4937,1240261.0
2020-09-21,106.6377,107.1955,104.3298,104.6375,1031921.0
2020-09-22,104.1759,106.08,101.8102,105.9453,847664.0
2020-09-23,106.7531,107.8302,103.8682,105.0221,946435.0
2020-09-24,104.4644,107.6859,103.9932,106.1954,911084.0
2020-09-25,106.0223,108.5322,105.4645,108.4168,688627.0
2020-09-26,106.0223,108.5322,105.4645,108.4168,688627.0
2020-09-27,106.0223,108.5322,105.4645,108.4168,688627.0
2020-09-28,110.0516,112.2442,108.7726,112.0326,1214966.0
2020-09-29,112.5038,114.4031,112.0422,113.5809,790063.0
2020-09-30,113.9848,117.2159,113.5712,114.9464,1013463.0
2020-10-01,115.8263,119.7547,115.8263,118.7642,1000938.0
2020-10-02,116.0138,119.8412,115.8023,118.7545,1128318.0
2020-10-03,116.0138,119.8412,115.8023,118.7545,1128318.0
2020-10-04,116.0138,119.8412,115.8023,118.7545,1128318.0
2020-10-05,119.5816,121.5818,119.3027,121.0529,653728.0
2020-10-06,121.2933,122.3607,117.8217,118.3507,985929.0
2020-10-07,119.8989,121.3991,119.5335,121.101,497869.0
2020-10-08,121.8703,122.2838,120.7548,121.3606,404348.0
2020-10-09,122.3704,122.9281,120.8029,121.1587,506660.0
2020-10-10,122.3704,122.9281,120.8029,121.1587,506660.0
2020-10-11,122.3704,122.9281,120.8029,121.1587,506660.0
2020-10-12,122.957,125.7939,121.6299,125.0245,596325.0
2020-10-13,125.5246,126.1833,124.712,124.9476,688900.0
2020-10-14,125.3803,126.1016,124.4283,124.5533,673178.0
2020-10-15,122.6877,125.1688,122.13,124.8226,473929.0
2020-10-16,125.7362,126.7074,124.3418,125.6111,393909.0
2020-10-17,125.7362,126.7074,124.3418,125.6111,393909.0
2020-10-18,125.7362,126.7074,124.3418,125.6111,393909.0
2020-10-19,125.2169,127.1786,123.207,123.9186,482590.0
2020-10-20,125.7073,126.3516,123.9667,124.361,422356.0
2020-10-21,124.7745,125.3022,123.1782,123.8994,468863.0
2020-10-22,123.5917,124.8514,122.4377,124.4764,337782.0
2020-10-23,125.307,125.5342,123.7359,125.0149,310924.0
2020-10-24,125.307,125.5342,123.7359,125.0149,310924.0
2020-10-25,125.307,125.5342,123.7359,125.0149,310924.0
2020-10-26,123.3513,124.6399,119.4567,120.851,426470.0
2020-10-27,120.5432,121.3606,118.3987,118.5526,620061.0
2020-10-28,115.7157,116.1196,113.7732,114.1771,706867.0
2020-10-29,112.7827,117.4082,112.5327,116.312,733060.0
2020-10-30,115.3407,118.4741,114.0589,117.8987,1147024.0
2020-10-31,115.3407,118.4741,114.0589,117.8987,1147024.0
2020-11-01,115.3407,118.4741,114.0589,117.8987,1147024.0
2020-11-02,120.3701,124.4956,118.4901,121.601,1247647.0
2020-11-03,125.063,126.7555,122.7646,125.7073,676921.0
2020-11-04,127.0825,130.7367,125.1015,128.7173,993776.0
2020-11-05,130.0347,134.391,129.929,132.8812,1322187.0
2020-11-06,132.9966,134.141,131.8523,132.7562,676298.0
2020-11-07,132.9966,134.141,131.8523,132.7562,676298.0
2020-11-08,132.9966,134.141,131.8523,132.7562,676298.0
2020-11-09,135.6796,141.3149,135.6796,138.43,1568912.0
2020-11-10,135.9104,138.6896,131.6215,132.2562,1310312.0
2020-11-11,133.0159,133.9919,131.6215,133.3813,582342.0
2020-11-12,133.1505,133.891,130.0732,130.3617,456458.0
2020-11-13,131.7369,133.1216,131.5734,132.3139,1199473.0
2020-11-14,131.7369,133.1216,131.5734,132.3139,1199473.0
2020-11-15,131.7369,133.1216,131.5734,132.3139,1199473.0
2020-11-16,133.9679,135.42,133.2563,133.7467,677911.0
2020-11-17,132.3331,133.6313,131.1022,131.5349,711413.0
2020-11-18,131.8426,132.8139,130.4675,130.5252,1480993.0
2020-11-19,129.5731,129.8953,126.0246,127.6883,1418938.0
2020-11-20,127.371,128.4769,126.8613,126.8901,783704.0
2020-11-21,127.371,128.4769,126.8613,126.8901,783704.0
2020-11-22,127.371,128.4769,126.8613,126.8901,783704.0
2020-11-23,127.1882,127.6018,125.2361,126.1881,1103111.0
2020-11-24,127.1864,132.7956,127.0032,131.9756,1970328.0
2020-11-25,131.4162,131.5126,126.68,127.2684,786789.0
2020-11-26,131.4162,131.5126,126.68,127.2684,786789.0
2020-11-27,127.4324,127.7314,126.4389,127.5482,357083.0
2020-11-28,127.4324,127.7314,126.4389,127.5482,357083.0
2020-11-29,127.4324,127.7314,126.4389,127.5482,357083.0
2020-11-30,126.844,126.844,124.4904,125.8698,1082054.0
2020-12-01,127.2588,128.3874,126.3907,127.3456,985769.0
2020-12-02,127.2974,127.5964,125.9855,126.5643,587038.0
2020-12-03,126.1784,128.2427,126.1061,126.6029,610855.0
2020-12-04,126.8922,129.622,126.6993,128.7732,925359.0
2020-12-05,126.8922,129.622,126.6993,128.7732,925359.0
2020-12-06,126.8922,129.622,126.6993,128.7732,925359.0
2020-12-07,128.5321,129.9789,127.3263,128.233,742443.0
2020-12-08,128.8697,129.5642,127.635,128.233,1203374.0
2020-12-09,128.2909,128.7346,126.4678,127.2781,687842.0
2020-12-10,126.844,127.6832,126.2604,127.0466,542639.0
2020-12-11,126.0916,126.9507,124.2589,126.0723,689126.0
2020-12-12,126.0916,126.9507,124.2589,126.0723,689126.0
2020-12-13,126.0916,126.9507,124.2589,126.0723,689126.0
2020-12-14,126.9115,129.3616,126.1206,127.0659,937023.0
2020-12-15,127.5096,128.5417,127.09,128.1269,650051.0
2020-12-16,128.0112,128.4694,127.1083,127.5771,570052.0
2020-12-17,124.3427,130.5866,124.3427,130.4516,885874.0
2020-12-18,131.04,131.7924,128.5513,129.6124,2098286.0
2020-12-19,131.04,131.7924,128.5513,129.6124,2098286.0
2020-12-20,131.04,131.7924,128.5513,129.6124,2098286.0
2020-12-21,127.0852,127.4517,124.7219,126.3521,1153790.0
2020-12-22,126.6993,126.9839,124.8859,126.1206,1207149.0
2020-12-23,126.7572,127.8906,125.0788,125.2524,782512.0
2020-12-24,125.8408,125.9084,123.7091,124.6544,392930.0
2020-12-25,125.8408,125.9084,123.7091,124.6544,392930.0
2020-12-26,125.8408,125.9084,123.7091,124.6544,392930.0
2020-12-27,125.8408,125.9084,123.7091,124.6544,392930.0
2020-12-28,126.1206,126.8537,125.0402,126.4196,954136.0
2020-12-29,127.336,129.1494,124.2782,124.8859,740552.0
2020-12-30,124.7508,126.8151,124.4325,125.3971,483624.0
2020-12-31,125.2235,127.4903,124.8184,127.1237,493658.0
2021-01-01,125.2235,127.4903,124.8184,127.1237,493658.0
2021-01-02,125.2235,127.4903,124.8184,127.1237,493658.0
2021-01-03,125.2235,127.4903,124.8184,127.1237,493658.0
2021-01-04,127.0852,128.1076,121.0179,122.6577,1073833.0
2021-01-05,121.722,123.7863,121.2108,123.3136,1026221.0
2021-01-06,122.7156,125.754,122.7156,124.3361,964220.0
2021-01-07,124.5483,127.9244,124.0274,127.2974,1482670.0
2021-01-08,127.5096,130.9339,127.3263,129.8246,999402.0
2021-01-09,127.5096,130.9339,127.3263,129.8246,999402.0
2021-01-10,127.5096,130.9339,127.3263,129.8246,999402.0
2021-01-11,128.3005,130.3744,128.0594,128.9179,686377.0
2021-01-12,128.561,130.9339,128.2041,129.6606,652423.0
2021-01-13,129.622,131.4065,129.352,130.1719,972698.0
2021-01-14,130.3937,131.3872,129.6896,130.0272,677712.0
2021-01-15,129.4581,129.8728,126.5257,128.9275,811042.0
2021-01-16,129.4581,129.8728,126.5257,128.9275,811042.0
2021-01-17,129.4581,129.8728,126.5257,128.9275,811042.0
2021-01-18,129.4581,129.8728,126.5257,128.9275,811042.0
2021-01-19,128.725,130.1043,125.4068,128.262,784341.0
2021-01-20,129.1108,131.9708,128.3874,131.3294,774649.0
2021-01-21,131.0207,132.9209,129.9886,132.7956,750176.0
2021-01-22,131.6573,132.3904,130.5288,130.5288,804819.0
2021-01-23,131.6573,132.3904,130.5288,130.5288,804819.0
2021-01-24,131.6573,132.3904,130.5288,130.5288,804819.0
2021-01-25,131.0111,132.1589,130.0658,130.4419,610115.0
2021-01-26,131.3197,131.3197,128.4935,129.487,461343.0
2021-01-27,128.2523,129.534,125.7396,128.3102,963400.0
2021-01-28,128.8986,131.5802,127.9533,129.7378,986958.0
2021-01-29,128.5417,129.651,125.6093,126.9983,1108846.0
2021-01-30,128.5417,129.651,125.6093,126.9983,1108846.0
2021-01-31,128.5417,129.651,125.6093,126.9983,1108846.0
2021-02-01,128.7443,134.3775,128.0112,133.2682,1230669.0
2021-02-02,133.8277,137.3581,133.4708,136.4321,713303.0
2021-02-03,135.5543,136.8951,134.4354,135.998,768277.0
2021-02-04,140.5509,144.6793,139.6924,144.6697,1211727.0
2021-02-05,145.9168,145.9168,142.2968,145.6246,630930.0
2021-02-06,145.9168,145.9168,142.2968,145.6246,630930.0
2021-02-07,145.9168,145.9168,142.2968,145.6246,630930.0
2021-02-08,146.6953,148.4991,144.7083,145.0652,1436353.0
2021-02-09,145.0652,146.377,143.9848,146.1938,754649.0
2021-02-10,149.7627,152.3479,148.8464,151.7691,1034204.0
2021-02-11,151.4218,151.5376,148.6969,151.3543,730465.0
2021-02-12,151.4604,151.4604,148.9428,149.8978,573729.0
2021-02-13,151.4604,151.4604,148.9428,149.8978,573729.0
2021-02-14,151.4604,151.4604,148.9428,149.8978,573729.0
2021-02-15,151.4604,151.4604,148.9428,149.8978,573729.0
2021-02-16,149.2997,151.2193,149.184,150.409,739966.0
2021-02-17,150.1004,152.9652,148.8367,152.2707,871294.0
2021-02-18,151.2482,152.4829,151.0071,151.1035,672239.0
2021-02-19,151.6823,156.6692,151.2503,155.0584,1035372.0
2021-02-20,151.6823,156.6692,151.2503,155.0584,1035372.0
2021-02-21,151.6823,156.6692,151.2503,155.0584,1035372.0
2021-02-22,152.9845,155.0873,152.7144,153.679,637950.0
2021-02-23,152.8494,152.8494,148.9621,151.6148,772417.0
2021-02-24,149.5356,157.3688,148.936,156.7595,700988.0
2021-02-25,155.6667,156.0971,151.3537,151.7212,789379.0
2021-02-26,153.1427,154.4483,150.5414,151.7212,954859.0
2021-02-27,153.1427,154.4483,150.5414,151.7212,954859.0
2021-02-28,153.1427,154.4483,150.5414,151.7212,954859.0
2021-03-01,154.8254,156.5274,153.3942,155.2799,786835.0
2021-03-02,154.7287,155.512,151.6728,151.9242,701691.0
2021-03-03,151.3343,151.8275,149.2939,150.5317,961077.0
2021-03-04,149.7774,150.6477,144.0041,146.4507,1072103.0
2021-03-05,148.7523,150.1352,144.299,149.3906,891174.0
2021-03-06,148.7523,150.1352,144.299,149.3906,891174.0
2021-03-07,148.7523,150.1352,144.299,149.3906,891174.0
2021-03-08,148.9941,152.021,147.8675,150.0288,774180.0
