,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity
2019-07-06,343.33,348.49,343.33,344.95,481437.0
2019-07-07,343.33,348.49,343.33,344.95,481437.0
2019-07-08,343.61,353.08,343.61,352.69,623014.0
2019-07-09,351.2,353.19,347.0,348.48,729058.0
2019-07-10,349.38,349.91,342.78,347.2,595659.0
2019-07-11,348.0,349.95,346.155,346.98,537158.0
2019-07-12,348.0,357.275,347.27,356.39,651431.0
2019-07-13,348.0,357.275,347.27,356.39,651431.0
2019-07-14,348.0,357.275,347.27,356.39,651431.0
2019-07-15,356.97,361.27,354.3,355.68,741664.0
2019-07-16,356.57,361.85,355.61,360.54,1409531.0
2019-07-17,361.52,368.83,361.52,366.39,713716.0
2019-07-18,363.55,368.72,363.55,366.21,518659.0
2019-07-19,365.19,367.01,356.45,357.0,574627.0
2019-07-20,365.19,367.01,356.45,357.0,574627.0
2019-07-21,365.19,367.01,356.45,357.0,574627.0
2019-07-22,357.79,359.8,351.09,352.95,550264.0
2019-07-23,354.0,354.11,349.98,351.99,648404.0
2019-07-24,351.99,353.17,348.75,352.94,532145.0
2019-07-25,353.73,359.74,352.0,354.62,486877.0
2019-07-26,355.72,356.045,349.56,353.88,497649.0
2019-07-27,355.72,356.045,349.56,353.88,497649.0
2019-07-28,355.72,356.045,349.56,353.88,497649.0
2019-07-29,352.67,353.195,341.4,346.13,815667.0
2019-07-30,345.03,350.45,342.152,348.63,579725.0
2019-07-31,347.62,354.0,344.365,349.25,521277.0
2019-08-01,348.73,352.08,341.895,345.51,683861.0
2019-08-02,346.24,348.57,334.16,337.02,811059.0
2019-08-03,346.24,348.57,334.16,337.02,811059.0
2019-08-04,346.24,348.57,334.16,337.02,811059.0
2019-08-05,331.98,331.98,326.34,330.14,728400.0
2019-08-06,330.37,340.95,329.0,340.28,688204.0
2019-08-07,337.22,344.36,336.7,343.68,756093.0
2019-08-08,345.18,355.36,344.76,353.04,588157.0
2019-08-09,351.49,353.399,345.0,346.7,522708.0
2019-08-10,351.49,353.399,345.0,346.7,522708.0
2019-08-11,351.49,353.399,345.0,346.7,522708.0
2019-08-12,345.91,345.91,332.68,336.51,759225.0
2019-08-13,334.31,348.315,333.334,341.2,576810.0
2019-08-14,330.06,332.2,320.165,321.0,1249274.0
2019-08-15,320.74,324.865,315.49,320.44,990467.0
2019-08-16,323.52,327.89,319.26,322.03,573548.0
2019-08-17,323.52,327.89,319.26,322.03,573548.0
2019-08-18,323.52,327.89,319.26,322.03,573548.0
2019-08-19,327.43,328.765,322.45,325.25,812589.0
2019-08-20,325.17,328.28,320.51,323.08,475818.0
2019-08-21,327.24,331.486,326.81,328.12,521112.0
2019-08-22,328.54,338.5,328.54,334.87,755990.0
2019-08-23,330.64,332.37,321.243,322.1,1100266.0
2019-08-24,330.64,332.37,321.243,322.1,1100266.0
2019-08-25,330.64,332.37,321.243,322.1,1100266.0
2019-08-26,327.0,331.99,324.54,330.22,1008562.0
2019-08-27,333.16,334.8,323.6,323.77,1001709.0
2019-08-28,323.77,331.45,321.16,330.38,754174.0
2019-08-29,337.5,342.0,333.09,337.45,3171999.0
2019-08-30,252.81,254.499,235.76,237.73,16116168.0
2019-08-31,252.81,254.499,235.76,237.73,16116168.0
2019-09-01,252.81,254.499,235.76,237.73,16116168.0
2019-09-02,252.81,254.499,235.76,237.73,16116168.0
2019-09-03,234.05,244.21,231.02,237.41,5435457.0
2019-09-04,238.0,239.86,228.2,228.76,4028313.0
2019-09-05,229.03,237.85,227.71,236.71,3264312.0
2019-09-06,237.84,239.24,233.03,233.1,2026045.0
2019-09-07,237.84,239.24,233.03,233.1,2026045.0
2019-09-08,237.84,239.24,233.03,233.1,2026045.0
2019-09-09,233.74,234.17,226.03,226.16,2181315.0
2019-09-10,225.5,233.17,225.28,231.42,2241474.0
2019-09-11,231.68,233.88,227.26,228.15,1496657.0
2019-09-12,229.06,229.36,225.12,226.16,1872456.0
2019-09-13,227.6,227.95,225.53,226.86,1127024.0
2019-09-14,227.6,227.95,225.53,226.86,1127024.0
2019-09-15,227.6,227.95,225.53,226.86,1127024.0
2019-09-16,226.26,230.12,224.656,225.45,1361659.0
2019-09-17,225.69,235.09,225.15,233.85,2217206.0
2019-09-18,233.74,233.74,227.38,229.34,1685239.0
2019-09-19,229.6,232.7,228.61,230.07,1105848.0
2019-09-20,229.79,232.26,227.65,228.75,2013240.0
2019-09-21,229.79,232.26,227.65,228.75,2013240.0
2019-09-22,229.79,232.26,227.65,228.75,2013240.0
2019-09-23,229.55,239.92,229.27,237.31,2382930.0
2019-09-24,237.89,241.3,235.295,239.48,2325962.0
2019-09-25,238.75,239.425,233.279,235.54,1421394.0
2019-09-26,236.4,238.53,234.75,236.31,1190741.0
2019-09-27,238.14,246.46,237.4,244.4,2107582.0
2019-09-28,238.14,246.46,237.4,244.4,2107582.0
2019-09-29,238.14,246.46,237.4,244.4,2107582.0
2019-09-30,245.58,251.76,245.0,250.65,2335643.0
2019-10-01,253.45,267.25,253.01,265.99,4329279.0
2019-10-02,263.31,264.0,256.89,262.79,2495100.0
2019-10-03,263.37,265.21,250.65,257.43,2261053.0
2019-10-04,257.71,258.094,250.26,250.6,1724765.0
2019-10-05,257.71,258.094,250.26,250.6,1724765.0
2019-10-06,257.71,258.094,250.26,250.6,1724765.0
2019-10-07,250.25,250.98,242.32,242.75,2308657.0
2019-10-08,240.06,240.99,235.2,237.03,3531666.0
2019-10-09,238.14,240.67,235.67,238.04,1494676.0
2019-10-10,237.65,242.3,237.023,241.75,1144269.0
2019-10-11,245.41,249.55,244.115,248.46,1246627.0
2019-10-12,245.41,249.55,244.115,248.46,1246627.0
2019-10-13,245.41,249.55,244.115,248.46,1246627.0
2019-10-14,247.07,249.39,245.8,246.57,768291.0
2019-10-15,247.01,249.19,244.25,245.4,724072.0
2019-10-16,245.71,247.73,243.51,244.98,723055.0
2019-10-17,244.97,251.67,244.97,248.1,1153722.0
2019-10-18,246.8,247.239,239.8,239.92,1326165.0
2019-10-19,246.8,247.239,239.8,239.92,1326165.0
2019-10-20,246.8,247.239,239.8,239.92,1326165.0
2019-10-21,240.57,241.04,235.24,235.3,1677503.0
2019-10-22,236.26,240.38,236.26,236.91,1001014.0
2019-10-23,237.41,238.24,231.08,237.87,956899.0
2019-10-24,237.77,240.85,236.27,238.93,889662.0
2019-10-25,238.38,242.475,237.73,240.9,659343.0
2019-10-26,238.38,242.475,237.73,240.9,659343.0
2019-10-27,238.38,242.475,237.73,240.9,659343.0
2019-10-28,240.0,246.6,240.0,241.74,1163896.0
2019-10-29,242.08,243.98,237.37,242.11,908754.0
2019-10-30,241.76,241.77,238.18,240.25,593305.0
2019-10-31,239.96,240.25,229.79,233.15,2443196.0
2019-11-01,235.16,235.47,232.9,233.11,1533565.0
2019-11-02,235.16,235.47,232.9,233.11,1533565.0
2019-11-03,235.16,235.47,232.9,233.11,1533565.0
2019-11-04,233.95,237.58,232.09,237.19,1890520.0
2019-11-05,237.51,247.64,237.51,245.42,1517161.0
2019-11-06,246.11,246.75,241.35,243.99,627044.0
2019-11-07,246.59,248.88,243.45,243.77,763208.0
2019-11-08,242.23,243.2,238.3,239.29,852814.0
2019-11-09,242.23,243.2,238.3,239.29,852814.0
2019-11-10,242.23,243.2,238.3,239.29,852814.0
2019-11-11,238.78,243.68,238.78,241.96,611967.0
2019-11-12,241.16,246.1,239.74,243.97,867457.0
2019-11-13,241.99,245.14,238.643,244.04,582441.0
2019-11-14,244.95,245.665,241.35,242.87,710244.0
2019-11-15,243.14,246.73,240.13,246.3,872448.0
2019-11-16,243.14,246.73,240.13,246.3,872448.0
2019-11-17,243.14,246.73,240.13,246.3,872448.0
2019-11-18,245.47,245.99,242.76,244.33,810438.0
2019-11-19,243.79,243.85,238.28,239.6,1111997.0
2019-11-20,236.83,236.95,231.97,234.29,1764634.0
2019-11-21,234.35,237.635,226.71,228.49,2393018.0
2019-11-22,229.0,231.95,227.13,228.86,1853947.0
2019-11-23,229.0,231.95,227.13,228.86,1853947.0
2019-11-24,229.0,231.95,227.13,228.86,1853947.0
2019-11-25,227.81,231.512,222.0,231.21,2191263.0
2019-11-26,231.13,236.852,231.13,235.97,1555605.0
2019-11-27,237.47,242.43,233.475,233.98,1405634.0
2019-11-28,237.47,242.43,233.475,233.98,1405634.0
2019-11-29,234.36,236.51,232.821,233.86,661149.0
2019-11-30,234.36,236.51,232.821,233.86,661149.0
2019-12-01,234.36,236.51,232.821,233.86,661149.0
2019-12-02,233.37,237.185,232.617,236.27,1144320.0
2019-12-03,235.24,238.11,234.26,237.1,1126341.0
2019-12-04,238.49,242.45,237.51,239.425,1354847.0
2019-12-05,241.1,244.276,234.69,236.02,3064414.0
2019-12-06,256.86,269.89,254.4,262.2,6790548.0
2019-12-07,256.86,269.89,254.4,262.2,6790548.0
2019-12-08,256.86,269.89,254.4,262.2,6790548.0
2019-12-09,260.39,260.84,252.52,252.64,2738436.0
2019-12-10,251.7,252.73,248.58,250.37,1739950.0
2019-12-11,250.27,251.79,245.92,251.64,1171937.0
2019-12-12,252.51,259.62,250.91,258.87,1209674.0
2019-12-13,259.4,260.22,253.4,253.5,993261.0
2019-12-14,259.4,260.22,253.4,253.5,993261.0
2019-12-15,259.4,260.22,253.4,253.5,993261.0
2019-12-16,254.53,255.84,248.35,249.1,1025738.0
2019-12-17,249.0,256.08,248.8,255.96,1043967.0
2019-12-18,256.22,256.486,249.0,250.07,1320087.0
2019-12-19,251.42,251.879,247.05,250.69,1126346.0
2019-12-20,251.18,251.18,247.56,250.5,1984079.0
2019-12-21,251.18,251.18,247.56,250.5,1984079.0
2019-12-22,251.18,251.18,247.56,250.5,1984079.0
2019-12-23,252.05,253.55,250.84,253.02,996702.0
2019-12-24,253.22,257.69,252.22,252.49,534412.0
2019-12-25,253.22,257.69,252.22,252.49,534412.0
2019-12-26,253.0,255.49,248.782,251.33,776791.0
2019-12-27,252.62,255.62,251.75,253.17,744629.0
2019-12-28,252.62,255.62,251.75,253.17,744629.0
2019-12-29,252.62,255.62,251.75,253.17,744629.0
2019-12-30,253.18,254.05,249.71,251.35,652901.0
2019-12-31,251.29,253.7,250.31,253.14,773817.0
2020-01-01,251.29,253.7,250.31,253.14,773817.0
2020-01-02,254.32,254.829,250.646,254.55,1160371.0
2020-01-03,252.28,252.48,249.22,250.17,921546.0
2020-01-04,252.28,252.48,249.22,250.17,921546.0
2020-01-05,252.28,252.48,249.22,250.17,921546.0
2020-01-06,248.71,251.09,246.74,250.95,880606.0
2020-01-07,250.41,254.84,250.01,253.09,1161814.0
2020-01-08,252.45,259.176,252.45,258.0,1123486.0
2020-01-09,259.67,266.322,259.395,263.5,1580517.0
2020-01-10,264.18,267.3,262.44,267.28,1454140.0
2020-01-11,264.18,267.3,262.44,267.28,1454140.0
2020-01-12,264.18,267.3,262.44,267.28,1454140.0
2020-01-13,269.24,279.45,269.05,275.7,1894020.0
2020-01-14,276.35,283.16,276.172,282.62,1480462.0
2020-01-15,282.63,284.06,275.8,276.2,1469102.0
2020-01-16,277.99,280.16,276.35,277.0,715292.0
2020-01-17,278.0,278.19,271.18,272.89,805475.0
2020-01-18,278.0,278.19,271.18,272.89,805475.0
2020-01-19,278.0,278.19,271.18,272.89,805475.0
2020-01-20,278.0,278.19,271.18,272.89,805475.0
2020-01-21,272.89,276.84,269.75,272.01,1093919.0
2020-01-22,273.38,276.19,272.5,273.92,1068294.0
2020-01-23,273.73,274.39,268.93,272.2,904451.0
2020-01-24,272.26,275.24,270.87,272.98,786360.0
2020-01-25,272.26,275.24,270.87,272.98,786360.0
2020-01-26,272.26,275.24,270.87,272.98,786360.0
2020-01-27,267.36,276.51,266.21,273.7,837826.0
2020-01-28,275.0,277.26,271.78,273.87,636127.0
2020-01-29,274.5,275.69,271.11,273.98,476980.0
2020-01-30,270.55,275.0,270.15,274.49,621514.0
2020-01-31,274.27,274.27,266.738,267.91,730840.0
2020-02-01,274.27,274.27,266.738,267.91,730840.0
2020-02-02,274.27,274.27,266.738,267.91,730840.0
2020-02-03,273.0,280.0,272.16,274.96,947958.0
2020-02-04,277.52,279.88,272.86,273.52,961812.0
2020-02-05,275.55,280.06,274.44,278.18,687526.0
2020-02-06,279.81,293.39,279.505,293.05,1600149.0
2020-02-07,292.16,297.34,290.25,295.96,1277819.0
2020-02-08,292.16,297.34,290.25,295.96,1277819.0
2020-02-09,292.16,297.34,290.25,295.96,1277819.0
2020-02-10,295.0,297.42,291.73,293.25,767590.0
2020-02-11,294.89,295.38,290.03,293.78,687857.0
2020-02-12,294.16,304.65,294.0,299.3,920567.0
2020-02-13,298.03,300.99,295.5,297.09,594705.0
2020-02-14,297.3,299.03,293.435,294.57,450004.0
2020-02-15,297.3,299.03,293.435,294.57,450004.0
2020-02-16,297.3,299.03,293.435,294.57,450004.0
2020-02-17,297.3,299.03,293.435,294.57,450004.0
2020-02-18,295.46,300.05,294.19,298.71,518318.0
2020-02-19,299.9,300.95,296.71,296.86,446990.0
2020-02-20,296.05,301.977,294.31,301.34,641995.0
2020-02-21,299.76,302.89,298.0,299.4,661883.0
2020-02-22,299.76,302.89,298.0,299.4,661883.0
2020-02-23,299.76,302.89,298.0,299.4,661883.0
2020-02-24,290.15,294.73,283.59,285.57,886139.0
2020-02-25,287.53,288.75,277.15,277.99,974297.0
2020-02-26,279.87,280.7,272.352,272.76,771639.0
2020-02-27,266.7,271.84,261.88,265.38,1047695.0
2020-02-28,257.52,262.47,252.09,257.09,1407929.0
2020-02-29,257.52,262.47,252.09,257.09,1407929.0
2020-03-01,257.52,262.47,252.09,257.09,1407929.0
2020-03-02,256.345,261.0,249.01,260.99,1148764.0
2020-03-03,259.33,267.0,255.68,256.7,1062810.0
2020-03-04,260.32,269.3,258.76,268.84,913204.0
2020-03-05,260.96,263.67,252.97,257.14,1096711.0
2020-03-06,252.41,258.09,248.15,256.58,1230370.0
2020-03-07,252.41,258.09,248.15,256.58,1230370.0
2020-03-08,252.41,258.09,248.15,256.58,1230370.0
2020-03-09,237.44,244.14,230.0,235.7,1823477.0
2020-03-10,245.71,248.52,224.31,239.06,1074526.0
2020-03-11,232.57,234.61,218.4,221.21,1417067.0
2020-03-12,198.92,214.14,190.83,198.54,2371318.0
2020-03-13,227.19,229.252,193.65,207.06,2502839.0
2020-03-14,227.19,229.252,193.65,207.06,2502839.0
2020-03-15,227.19,229.252,193.65,207.06,2502839.0
2020-03-16,183.02,187.99,160.0,161.54,1936491.0
2020-03-17,164.16,164.83,141.27,154.6,2258420.0
2020-03-18,144.72,149.06,124.05,128.52,2367177.0
2020-03-19,128.81,153.65,124.33,146.99,2638414.0
2020-03-20,156.35,164.95,143.9,148.06,3077373.0
2020-03-21,156.35,164.95,143.9,148.06,3077373.0
2020-03-22,156.35,164.95,143.9,148.06,3077373.0
2020-03-23,149.45,155.0,140.335,143.24,1596459.0
2020-03-24,157.98,179.15,154.05,177.59,2001451.0
2020-03-25,180.0,201.3,180.0,191.88,2198899.0
2020-03-26,194.87,201.75,184.56,188.83,1945458.0
2020-03-27,178.01,182.31,171.47,174.45,1600579.0
2020-03-28,178.01,182.31,171.47,174.45,1600579.0
2020-03-29,178.01,182.31,171.47,174.45,1600579.0
2020-03-30,179.51,182.68,166.6,179.71,1223646.0
2020-03-31,175.29,181.0,174.01,175.7,1074645.0
2020-04-01,167.94,172.73,159.86,161.5,1177913.0
2020-04-02,158.76,164.801,153.29,161.35,1233745.0
2020-04-03,160.34,163.428,154.96,156.74,1269396.0
2020-04-04,160.34,163.428,154.96,156.74,1269396.0
2020-04-05,160.34,163.428,154.96,156.74,1269396.0
2020-04-06,168.11,189.79,168.11,188.68,1933298.0
2020-04-07,204.91,210.0,185.15,187.55,1870548.0
2020-04-08,189.25,202.75,187.49,200.57,1933191.0
2020-04-09,210.0,215.55,199.01,202.48,1470202.0
2020-04-10,210.0,215.55,199.01,202.48,1470202.0
2020-04-11,210.0,215.55,199.01,202.48,1470202.0
2020-04-12,210.0,215.55,199.01,202.48,1470202.0
2020-04-13,202.75,203.53,195.489,202.6,999947.0
2020-04-14,206.27,210.94,203.3,205.0,1003452.0
2020-04-15,195.58,202.0,194.33,201.52,972172.0
2020-04-16,204.76,209.741,201.493,208.92,1025963.0
2020-04-17,220.8,222.94,208.26,215.51,1095403.0
2020-04-18,220.8,222.94,208.26,215.51,1095403.0
2020-04-19,220.8,222.94,208.26,215.51,1095403.0
2020-04-20,209.19,213.03,207.0,208.07,896230.0
2020-04-21,201.0,206.016,200.1,201.57,842557.0
2020-04-22,205.52,210.75,203.5,208.71,732192.0
2020-04-23,210.56,217.77,210.23,210.68,775434.0
2020-04-24,211.08,212.96,203.06,210.52,1292767.0
2020-04-25,211.08,212.96,203.06,210.52,1292767.0
2020-04-26,211.08,212.96,203.06,210.52,1292767.0
2020-04-27,212.9,214.27,207.33,208.09,818650.0
2020-04-28,212.3,221.61,210.66,218.68,1197230.0
2020-04-29,224.0,230.667,223.01,226.16,1108223.0
2020-04-30,220.74,226.35,216.42,217.92,960565.0
2020-05-01,212.9,217.82,209.12,214.28,581814.0
2020-05-02,212.9,217.82,209.12,214.28,581814.0
