,AMGN US Equity,AMGN US Equity,AMGN US Equity,AMGN US Equity,AMGN US Equity
2019-04-17,160.498,160.83,154.686,155.487,5242078.0
2019-04-18,156.143,156.357,150.699,151.227,8266592.0
2019-04-19,156.143,156.357,150.699,151.227,8266592.0
2019-04-20,156.143,156.357,150.699,151.227,8266592.0
2019-04-21,156.143,156.357,150.699,151.227,8266592.0
2019-04-22,150.911,151.312,149.007,150.281,3215917.0
2019-04-23,150.775,153.936,149.761,153.178,3471657.0
2019-04-24,153.502,154.09,151.9,151.934,2711618.0
2019-04-25,150.894,154.252,149.906,153.792,2453731.0
2019-04-26,153.979,154.959,153.408,154.635,2445431.0
2019-04-27,153.979,154.959,153.408,154.635,2445431.0
2019-04-28,153.979,154.959,153.408,154.635,2445431.0
2019-04-29,154.618,155.487,153.033,154.38,2662549.0
2019-04-30,154.772,155.121,151.576,152.803,3963016.0
2019-05-01,149.463,152.104,145.927,150.093,6109537.0
2019-05-02,150.025,151.934,148.525,150.4,3013969.0
2019-05-03,150.767,151.482,150.375,151.09,2944480.0
2019-05-04,150.767,151.482,150.375,151.09,2944480.0
2019-05-05,150.767,151.482,150.375,151.09,2944480.0
2019-05-06,149.54,151.031,148.168,150.877,2734976.0
2019-05-07,149.241,150.323,146.992,148.159,2796981.0
2019-05-08,147.844,149.548,146.31,146.693,3368429.0
2019-05-09,145.918,147.571,144.384,147.307,2854351.0
2019-05-10,146.958,146.958,143.532,146.438,2942347.0
2019-05-11,146.958,146.958,143.532,146.438,2942347.0
2019-05-12,146.958,146.958,143.532,146.438,2942347.0
2019-05-13,144.214,144.521,142.45,142.816,3371918.0
2019-05-14,142.884,144.625,142.561,142.995,2525336.0
2019-05-15,142.501,145.373,141.708,144.751,2860174.0
2019-05-16,145.593,147.845,145.545,146.04,2716158.0
2019-05-17,145.481,147.174,145.344,146.031,2266628.0
2019-05-18,145.481,147.174,145.344,146.031,2266628.0
2019-05-19,145.481,147.174,145.344,146.031,2266628.0
2019-05-20,144.974,146.449,144.519,144.725,2144250.0
2019-05-21,145.911,146.126,144.845,145.842,2249305.0
2019-05-22,145.55,147.87,144.888,147.226,2615458.0
2019-05-23,147.26,148.738,146.53,147.922,2902510.0
2019-05-24,148.36,149.349,147.045,147.209,2417426.0
2019-05-25,148.36,149.349,147.045,147.209,2417426.0
2019-05-26,148.36,149.349,147.045,147.209,2417426.0
2019-05-27,148.36,149.349,147.045,147.209,2417426.0
2019-05-28,147.449,148.489,145.043,145.12,4066179.0
2019-05-29,144.39,145.902,143.814,145.404,2671597.0
2019-05-30,145.627,146.152,144.562,145.283,1943286.0
2019-05-31,144.441,145.137,143.255,143.272,2809197.0
2019-06-01,144.441,145.137,143.255,143.272,2809197.0
2019-06-02,144.441,145.137,143.255,143.272,2809197.0
2019-06-03,147.827,151.961,146.593,148.137,5774953.0
2019-06-04,149.572,150.715,146.59,150.174,4553205.0
2019-06-05,150.99,151.068,148.764,150.019,2606840.0
2019-06-06,150.217,151.317,149.624,149.933,2396767.0
2019-06-07,150.947,151.265,148.928,150.844,2072154.0
2019-06-08,150.947,151.265,148.928,150.844,2072154.0
2019-06-09,150.947,151.265,148.928,150.844,2072154.0
2019-06-10,151.222,151.403,149.589,150.904,2091427.0
2019-06-11,151.497,152.254,149.718,150.079,2314082.0
2019-06-12,150.664,151.858,149.684,150.922,1888795.0
2019-06-13,151.119,152.512,150.604,151.876,1676044.0
2019-06-14,152.099,152.898,150.879,151.334,1621760.0
2019-06-15,152.099,152.898,150.879,151.334,1621760.0
2019-06-16,152.099,152.898,150.879,151.334,1621760.0
2019-06-17,151.3,153.457,150.75,153.319,1916778.0
2019-06-18,154.076,157.127,153.947,156.087,3125532.0
2019-06-19,155.975,157.385,155.253,157.084,2396491.0
2019-06-20,158.811,159.25,156.517,158.21,2780395.0
2019-06-21,158.046,160.831,157.204,160.814,6948082.0
2019-06-22,158.046,160.831,157.204,160.814,6948082.0
2019-06-23,158.046,160.831,157.204,160.814,6948082.0
2019-06-24,159.92,160.719,158.743,158.854,2948402.0
2019-06-25,158.657,160.53,157.428,158.519,2264689.0
2019-06-26,158.751,158.949,157.058,157.428,2124601.0
2019-06-27,157.582,159.379,157.307,158.158,2193899.0
2019-06-28,158.287,159.946,157.849,158.382,3753184.0
2019-06-29,158.287,159.946,157.849,158.382,3753184.0
2019-06-30,158.287,159.946,157.849,158.382,3753184.0
2019-07-01,160.616,160.977,159.086,160.161,2080828.0
2019-07-02,159.886,160.436,158.311,160.41,1796304.0
2019-07-03,161.218,162.795,160.887,162.077,1932606.0
2019-07-04,161.218,162.795,160.887,162.077,1932606.0
2019-07-05,161.089,162.335,159.207,159.808,2225818.0
2019-07-06,161.089,162.335,159.207,159.808,2225818.0
2019-07-07,161.089,162.335,159.207,159.808,2225818.0
2019-07-08,158.708,159.009,155.15,156.628,2700863.0
2019-07-09,155.743,156.654,155.141,156.07,2273725.0
2019-07-10,156.568,157.531,155.588,156.654,1775662.0
2019-07-11,155.442,155.563,151.222,152.984,3621995.0
2019-07-12,152.83,153.062,149.71,150.346,4488926.0
2019-07-13,152.83,153.062,149.71,150.346,4488926.0
2019-07-14,152.83,153.062,149.71,150.346,4488926.0
2019-07-15,150.32,152.503,150.071,151.368,3256846.0
2019-07-16,151.558,152.787,151.188,152.529,2260139.0
2019-07-17,153.105,154.23,152.133,152.176,1945227.0
2019-07-18,152.236,155.073,151.953,154.308,2374419.0
2019-07-19,155.279,156.061,153.148,153.319,2987154.0
2019-07-20,155.279,156.061,153.148,153.319,2987154.0
2019-07-21,155.279,156.061,153.148,153.319,2987154.0
2019-07-22,152.838,153.68,151.025,151.171,2556793.0
2019-07-23,151.635,151.927,150.853,151.274,2081791.0
2019-07-24,151.282,151.91,150.303,151.068,1898042.0
2019-07-25,151.076,151.695,149.349,149.641,2145772.0
2019-07-26,149.778,150.844,148.79,150.698,3070544.0
2019-07-27,149.778,150.844,148.79,150.698,3070544.0
2019-07-28,149.778,150.844,148.79,150.698,3070544.0
2019-07-29,150.638,152.262,150.268,151.334,1985395.0
2019-07-30,150.337,151.884,149.778,151.652,2005129.0
2019-07-31,154.703,161.579,152.897,160.358,7157551.0
2019-08-01,160.204,162.834,158.26,159.86,3484741.0
2019-08-02,159.86,161.459,159.009,160.908,2966478.0
2019-08-03,159.86,161.459,159.009,160.908,2966478.0
2019-08-04,159.86,161.459,159.009,160.908,2966478.0
2019-08-05,159.499,159.826,155.15,155.992,4060033.0
2019-08-06,155.649,158.657,154.729,158.536,3172905.0
2019-08-07,157.316,158.261,154.368,157.746,3308936.0
2019-08-08,157.685,159.361,157.325,159.198,2449025.0
2019-08-09,159.129,171.892,157.127,168.669,8417091.0
2019-08-10,159.129,171.892,157.127,168.669,8417091.0
2019-08-11,159.129,171.892,157.127,168.669,8417091.0
2019-08-12,170.088,179.438,169.529,176.86,10599278.0
2019-08-13,174.84,182.12,174.471,177.152,5647558.0
2019-08-14,175.542,177.784,172.002,172.132,4533821.0
2019-08-15,173.11,173.976,171.924,172.513,3105128.0
2019-08-16,174.694,177.836,173.422,176.59,3004345.0
2019-08-17,174.694,177.836,173.422,176.59,3004345.0
2019-08-18,174.694,177.836,173.422,176.59,3004345.0
2019-08-19,175.906,178.736,174.071,178.304,2974913.0
2019-08-20,178.217,178.407,175.666,175.854,2710827.0
2019-08-21,176.962,177.758,176.209,176.52,1755252.0
2019-08-22,177.672,178.606,174.841,176.07,2677893.0
2019-08-23,175.785,176.239,171.388,172.314,3416351.0
2019-08-24,175.785,176.239,171.388,172.314,3416351.0
2019-08-25,175.785,176.239,171.388,172.314,3416351.0
2019-08-26,173.63,178.65,172.82,177.793,4005205.0
2019-08-27,178.771,180.857,177.672,178.728,3393961.0
2019-08-28,177.879,181.884,177.724,179.619,3789364.0
2019-08-29,180.9,181.627,177.663,179.152,2391750.0
2019-08-30,180.892,182.605,179.065,180.571,2621349.0
2019-08-31,180.892,182.605,179.065,180.571,2621349.0
2019-09-01,180.892,182.605,179.065,180.571,2621349.0
2019-09-02,180.892,182.605,179.065,180.571,2621349.0
2019-09-03,179.429,179.935,177.161,177.888,2193035.0
2019-09-04,178.909,179.489,175.707,178.581,1935709.0
2019-09-05,178.849,180.441,178.278,179.732,1685301.0
2019-09-06,180.589,181.203,178.39,179.801,2387978.0
2019-09-07,180.589,181.203,178.39,179.801,2387978.0
2019-09-08,180.589,181.203,178.39,179.801,2387978.0
2019-09-09,175.3,175.664,172.063,175.136,4353188.0
2019-09-10,173.811,174.815,169.094,170.401,4866278.0
2019-09-11,170.626,171.777,168.93,169.51,2875335.0
2019-09-12,169.722,170.366,167.83,167.917,4448001.0
2019-09-13,168.272,170.228,168.203,169.189,2428846.0
2019-09-14,168.272,170.228,168.203,169.189,2428846.0
2019-09-15,168.272,170.228,168.203,169.189,2428846.0
2019-09-16,169.787,169.787,167.493,167.986,1597399.0
2019-09-17,167.952,170.323,167.952,170.271,2464757.0
2019-09-18,169.96,170.366,167.276,168.817,1912113.0
2019-09-19,169.406,169.968,168.367,169.345,1490206.0
2019-09-20,169.648,172.522,169.432,170.462,6907346.0
2019-09-21,169.648,172.522,169.432,170.462,6907346.0
2019-09-22,169.648,172.522,169.432,170.462,6907346.0
2019-09-23,171.163,172.081,170.782,171.171,1752281.0
2019-09-24,172.227,172.937,169.31,170.124,2324684.0
2019-09-25,171.016,171.665,169.579,169.7,1806329.0
2019-09-26,169.57,169.916,167.121,169.111,1900710.0
2019-09-27,169.267,170.384,167.778,168.731,1770277.0
2019-09-28,169.267,170.384,167.778,168.731,1770277.0
2019-09-29,169.267,170.384,167.778,168.731,1770277.0
2019-09-30,166.878,170.237,165.917,167.493,2561059.0
2019-10-01,166.688,169.543,166.272,167.216,2331255.0
2019-10-02,167.553,167.553,163.399,163.771,2319213.0
2019-10-03,164.108,166.766,163.589,166.722,1983450.0
2019-10-04,167.173,169.657,167.173,169.293,2161734.0
2019-10-05,167.173,169.657,167.173,169.293,2161734.0
2019-10-06,167.173,169.657,167.173,169.293,2161734.0
2019-10-07,168.384,172.089,168.306,170.661,2230266.0
2019-10-08,170.124,171.379,168.748,169.717,2048466.0
2019-10-09,171.968,171.968,169.613,170.245,1300664.0
2019-10-10,171.379,172.556,170.531,171.968,1320590.0
2019-10-11,173.309,176.477,173.093,173.803,2477386.0
2019-10-12,173.309,176.477,173.093,173.803,2477386.0
2019-10-13,173.309,176.477,173.093,173.803,2477386.0
2019-10-14,174.192,177.351,174.175,175.612,1709540.0
2019-10-15,176.105,177.265,175.361,177.144,1502787.0
2019-10-16,176.702,177.421,174.997,175.889,1906222.0
2019-10-17,174.486,177.222,174.426,176.192,1397661.0
2019-10-18,176.668,176.676,173.811,175.465,2043362.0
2019-10-19,176.668,176.676,173.811,175.465,2043362.0
2019-10-20,176.668,176.676,173.811,175.465,2043362.0
2019-10-21,176.2,176.235,173.788,175.646,1612942.0
2019-10-22,177.118,178.355,175.897,177.291,2175285.0
2019-10-23,176.772,178.208,175.742,175.984,1846377.0
2019-10-24,176.529,176.832,174.547,175.759,1245432.0
2019-10-25,175.352,176.321,174.417,175.75,1321537.0
2019-10-26,175.352,176.321,174.417,175.75,1321537.0
2019-10-27,175.352,176.321,174.417,175.75,1321537.0
2019-10-28,175.854,178.288,175.43,177.447,1652750.0
2019-10-29,177.663,182.848,177.356,180.892,4460040.0
2019-10-30,178.606,182.631,176.711,182.527,3793500.0
2019-10-31,181.852,184.942,181.42,184.579,3255817.0
2019-11-01,185.453,189.88,185.228,188.647,3685494.0
2019-11-02,185.453,189.88,185.228,188.647,3685494.0
2019-11-03,185.453,189.88,185.228,188.647,3685494.0
2019-11-04,189.322,190.283,185.531,185.583,2646580.0
2019-11-05,186.89,189.98,184.527,186.163,3012012.0
2019-11-06,186.483,189.192,186.483,187.305,2540237.0
2019-11-07,187.747,189.132,186.492,188.681,2498281.0
2019-11-08,188.872,191.503,188.223,191.382,2069906.0
2019-11-09,188.872,191.503,188.223,191.382,2069906.0
2019-11-10,188.872,191.503,188.223,191.382,2069906.0
2019-11-11,190.629,191.616,189.296,191.027,1364287.0
2019-11-12,191.555,194.974,190.309,191.555,2704477.0
2019-11-13,190.793,191.884,189.158,190.136,2349050.0
2019-11-14,190.136,190.589,186.067,190.38,2749387.0
2019-11-15,191.329,192.497,189.256,192.436,2028585.0
2019-11-16,191.329,192.497,189.256,192.436,2028585.0
2019-11-17,191.329,192.497,189.256,192.436,2028585.0
2019-11-18,192.61,193.072,190.994,192.27,2239516.0
2019-11-19,192.767,195.764,192.296,195.607,2552130.0
2019-11-20,195.503,197.394,194.414,196.487,3524306.0
2019-11-21,197.89,199.354,196.061,198.5,2659275.0
2019-11-22,198.727,201.158,198.509,201.044,1975139.0
2019-11-23,198.727,201.158,198.509,201.044,1975139.0
2019-11-24,198.727,201.158,198.509,201.044,1975139.0
2019-11-25,201.341,205.453,201.341,204.355,2638668.0
2019-11-26,203.867,204.66,202.151,204.225,3300943.0
2019-11-27,204.451,205.0,202.012,204.355,1579798.0
2019-11-28,204.451,205.0,202.012,204.355,1579798.0
2019-11-29,203.998,205.166,203.667,204.512,945636.0
2019-11-30,203.998,205.166,203.667,204.512,945636.0
2019-12-01,203.998,205.166,203.667,204.512,945636.0
2019-12-02,204.355,205.453,202.691,203.432,1634444.0
2019-12-03,201.689,203.17,201.079,202.813,1933600.0
2019-12-04,202.778,204.66,202.142,203.78,1908545.0
2019-12-05,203.615,203.68,201.672,203.371,2083616.0
2019-12-06,204.477,204.756,203.179,203.684,1860926.0
2019-12-07,204.477,204.756,203.179,203.684,1860926.0
2019-12-08,204.477,204.756,203.179,203.684,1860926.0
2019-12-09,204.721,204.8,202.691,202.857,1912994.0
2019-12-10,202.072,204.861,201.715,203.745,1494839.0
2019-12-11,203.911,204.73,203.04,203.894,1754093.0
2019-12-12,204.39,206.708,203.937,205.619,1851696.0
2019-12-13,205.279,207.475,204.878,206.272,2041194.0
2019-12-14,205.279,207.475,204.878,206.272,2041194.0
2019-12-15,205.279,207.475,204.878,206.272,2041194.0
2019-12-16,208.677,213.06,208.677,211.901,3047750.0
2019-12-17,212.232,213.46,210.228,211.587,2382462.0
2019-12-18,211.038,211.918,209.997,210.803,2956658.0
2019-12-19,211.535,211.988,209.052,210.716,2305894.0
2019-12-20,213.094,213.094,209.723,211.779,5093604.0
2019-12-21,213.094,213.094,209.723,211.779,5093604.0
2019-12-22,213.094,213.094,209.723,211.779,5093604.0
2019-12-23,212.58,212.598,210.498,211.753,1686220.0
2019-12-24,211.57,211.814,210.611,211.143,612809.0
2019-12-25,211.57,211.814,210.611,211.143,612809.0
2019-12-26,211.483,212.284,210.263,210.768,1098813.0
2019-12-27,211.064,211.718,209.252,210.446,1084967.0
2019-12-28,211.064,211.718,209.252,210.446,1084967.0
2019-12-29,211.064,211.718,209.252,210.446,1084967.0
2019-12-30,210.332,211.709,208.59,209.348,1454466.0
2019-12-31,209.357,210.385,207.806,210.045,1748329.0
2020-01-01,209.357,210.385,207.806,210.045,1748329.0
2020-01-02,211.727,211.892,208.224,209.2,1901323.0
2020-01-03,206.641,209.339,205.84,207.78,1879024.0
2020-01-04,206.641,209.339,205.84,207.78,1879024.0
2020-01-05,206.641,209.339,205.84,207.78,1879024.0
2020-01-06,206.673,209.505,206.115,209.374,1802823.0
2020-01-07,208.511,209.113,207.013,207.405,1522109.0
2020-01-08,207.309,208.747,206.159,207.562,2214850.0
2020-01-09,208.843,208.843,207.344,208.18,1628950.0
2020-01-10,207.963,209.923,207.03,207.597,1777614.0
2020-01-11,207.963,209.923,207.03,207.597,1777614.0
2020-01-12,207.963,209.923,207.03,207.597,1777614.0
2020-01-13,207.597,207.658,204.573,206.429,2004364.0
2020-01-14,205.453,209.705,204.904,209.113,2239061.0
2020-01-15,209.696,211.378,209.156,210.594,1920726.0
2020-01-16,211.012,212.467,208.978,209.548,2085686.0
2020-01-17,210.951,210.977,208.477,210.411,2582849.0
2020-01-18,210.951,210.977,208.477,210.411,2582849.0
2020-01-19,210.951,210.977,208.477,210.411,2582849.0
2020-01-20,210.951,210.977,208.477,210.411,2582849.0
2020-01-21,209.958,210.864,206.725,207.021,3094208.0
2020-01-22,208.023,208.851,205.414,206.281,1998233.0
2020-01-23,206.551,206.551,203.074,204.791,2088691.0
2020-01-24,205.453,205.523,195.607,196.557,5020236.0
2020-01-25,205.453,205.523,195.607,196.557,5020236.0
2020-01-26,205.453,205.523,195.607,196.557,5020236.0
2020-01-27,194.893,195.982,192.706,194.257,2843551.0
2020-01-28,194.797,197.524,194.17,195.904,2103970.0
2020-01-29,196.479,199.467,196.043,197.916,2001389.0
2020-01-30,196.914,197.76,194.571,197.045,2581606.0
2020-01-31,190.609,190.885,182.982,188.245,5968931.0
2020-02-01,190.609,190.885,182.982,188.245,5968931.0
2020-02-02,190.609,190.885,182.982,188.245,5968931.0
2020-02-03,188.541,191.355,187.818,188.968,2565440.0
2020-02-04,192.357,195.041,192.105,193.264,2765342.0
2020-02-05,194.945,204.442,194.945,202.09,3669477.0
2020-02-06,203.641,203.789,199.825,201.663,2007526.0
2020-02-07,201.628,202.299,198.369,199.816,2295149.0
2020-02-08,201.628,202.299,198.369,199.816,2295149.0
2020-02-09,201.628,202.299,198.369,199.816,2295149.0
2020-02-10,198.788,199.493,197.141,198.152,2144696.0
2020-02-11,198.396,199.933,197.607,199.493,1934539.0
2020-02-12,199.938,200.6,196.81,197.786,2501250.0
2020-02-13,197.426,198.768,195.522,195.715,1946511.0
2020-02-14,195.618,196.11,194.223,196.101,1611960.0
2020-02-15,195.618,196.11,194.223,196.101,1611960.0
2020-02-16,195.618,196.11,194.223,196.101,1611960.0
2020-02-17,195.618,196.11,194.223,196.101,1611960.0
2020-02-18,196.689,196.864,193.854,194.53,1936402.0
2020-02-19,195.627,196.601,194.846,195.645,1322884.0
2020-02-20,195.855,196.1,191.74,194.925,1637976.0
2020-02-21,195.013,196.382,193.916,195.495,2047484.0
2020-02-22,195.013,196.382,193.916,195.495,2047484.0
2020-02-23,195.013,196.382,193.916,195.495,2047484.0
2020-02-24,192.942,196.548,189.327,191.187,3049587.0
2020-02-25,191.362,192.661,184.114,184.606,3915518.0
2020-02-26,189.695,190.151,186.045,188.256,3313975.0
2020-02-27,188.59,188.905,178.323,178.569,4071060.0
2020-02-28,173.786,178.13,171.268,175.261,5316456.0
2020-02-29,173.786,178.13,171.268,175.261,5316456.0
2020-03-01,173.786,178.13,171.268,175.261,5316456.0
2020-03-02,175.41,186.352,174.365,186.203,4245732.0
2020-03-03,184.571,189.678,177.832,179.376,3975261.0
2020-03-04,183.86,188.914,182.184,188.756,3880450.0
2020-03-05,182.219,189.879,182.149,186.133,3185407.0
2020-03-06,178.981,185.685,178.849,184.843,3100544.0
2020-03-07,178.981,185.685,178.849,184.843,3100544.0
2020-03-08,178.981,185.685,178.849,184.843,3100544.0
2020-03-09,173.514,178.674,167.381,174.067,4065565.0
2020-03-10,178.446,181.728,170.82,181.464,3928777.0
2020-03-11,176.375,178.937,171.821,174.313,3777570.0
2020-03-12,162.01,172.216,159.496,159.913,4902612.0
2020-03-13,166.512,178.279,165.424,177.34,6903858.0
2020-03-14,166.512,178.279,165.424,177.34,6903858.0
2020-03-15,166.512,178.279,165.424,177.34,6903858.0
2020-03-16,162.046,179.635,160.545,165.564,4932563.0
2020-03-17,168.662,185.071,168.173,182.342,5912873.0
2020-03-18,174.234,185.062,172.635,179.78,5597870.0
2020-03-19,176.375,183.175,171.347,174.409,4796717.0
2020-03-20,174.523,177.226,163.213,165.187,5727006.0
2020-03-21,174.523,177.226,163.213,165.187,5727006.0
2020-03-22,174.523,177.226,163.213,165.187,5727006.0
2020-03-23,165.749,168.438,155.359,163.151,4396603.0
2020-03-24,168.012,177.998,166.731,177.551,5288247.0
2020-03-25,173.541,176.691,166.731,169.478,5301004.0
2020-03-26,169.46,175.252,167.161,174.172,5162547.0
2020-03-27,170.601,180.648,170.241,173.979,4119780.0
2020-03-28,170.601,180.648,170.241,173.979,4119780.0
2020-03-29,170.601,180.648,170.241,173.979,4119780.0
2020-03-30,175.541,183.79,175.541,182.939,3218998.0
2020-03-31,178.56,181.855,176.112,177.893,2929128.0
2020-04-01,173.356,176.708,171.101,173.576,2747906.0
2020-04-02,170.592,183.86,170.417,183.29,3867332.0
2020-04-03,182.017,184.053,178.156,180.245,2281426.0
2020-04-04,182.017,184.053,178.156,180.245,2281426.0
2020-04-05,182.017,184.053,178.156,180.245,2281426.0
2020-04-06,186.027,186.65,181.508,185.659,3702502.0
2020-04-07,187.3,188.818,181.929,183.202,2447461.0
2020-04-08,183.307,192.889,181.938,192.336,2861876.0
2020-04-09,190.766,192.477,189.274,191.476,2503361.0
2020-04-10,190.766,192.477,189.274,191.476,2503361.0
2020-04-11,190.766,192.477,189.274,191.476,2503361.0
2020-04-12,190.766,192.477,189.274,191.476,2503361.0
2020-04-13,190.397,192.328,188.791,191.529,2168055.0
2020-04-14,193.933,200.348,193.267,199.014,3028974.0
2020-04-15,197.426,197.88,192.437,194.627,3107124.0
2020-04-16,197.435,203.665,195.873,202.612,2617328.0
2020-04-17,207.815,207.956,201.133,206.183,2864273.0
2020-04-18,207.815,207.956,201.133,206.183,2864273.0
2020-04-19,207.815,207.956,201.133,206.183,2864273.0
2020-04-20,205.507,210.211,203.919,207.613,2824060.0
2020-04-21,206.209,206.885,200.945,202.48,2672870.0
2020-04-22,204.762,205.332,199.707,201.199,2845168.0
